,https://roic.ai/company/DAIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),3200000,2200000,-6600000,1400000,-400000,-200000,-500000,-200000,-2200000,-100000,-250000,-70000,2660000,-5300000,2070000,1132000,124000,-232000,-25000,-35000,78000,-131000,75000,-30000,207000,-227000,-165000,185000,84000,-1000,-71000,265000,114000,159000,122000,-499000,-170000
20,Income Before Tax,6900000,7100000,-5400000,6600000,2600000,4300000,4900000,4300000,-12400000,3700000,5650000,-870000,4560000,-18400000,-1130000,1950000,-5786000,-3167000,1274000,-106000,702000,- -,840000,5207000,-617000,3286000,1296000,-6756000,-2584000,1106000,922000,1692000,5161000,1897000,-1156000,-3577000,-443000
21,Income Before Tax Ratio,0.1228,0.1068,-0.0814,0.1014,0.0429,0.0710,0.0727,0.0620,-0.1962,0.0602,0.0856,-0.0144,0.0985,-0.5212,-0.0331,0.0454,-0.2157,-0.1387,0.0516,-0.0039,0.0248,- -,0.0314,0.1887,-0.0333,0.1245,0.0486,-0.3954,-0.1381,0.0504,0.0419,0.0723,0.1516,0.0649,-0.0536,-0.1760,-0.0171
22,Income Tax expense (Gain),2600000,2600000,-1100000,2000000,1300000,1700000,1900000,1400000,-700000,1000000,890000,230000,350000,100000,60000,40000,224000,-61000,33000,-14000,120000,-46000,8000,79000,194000,274000,233000,-327000,-8000,7000,-5000,36000,-288000,291000,31000,387000,112000
23,Net Income,4300000,4500000,-4300000,4600000,1300000,2600000,3000000,1200000,-11300000,2700000,4760000,-1100000,11320000,-17600000,-350000,-530000,-6010000,-3106000,1241000,-92000,582000,46000,832000,5128000,-811000,3012000,1063000,-6429000,-2576000,1099000,927000,1656000,5449000,1606000,-1187000,-3964000,-555000
24,Net Income ratio,0.0765,0.0677,-0.0649,0.0707,0.0215,0.0429,0.0445,0.0173,-0.1788,0.0439,0.0721,-0.0182,0.2446,-0.4986,-0.0103,-0.0124,-0.2240,-0.1360,0.0503,-0.0034,0.0206,0.0016,0.0311,0.1858,-0.0437,0.1141,0.0399,-0.3763,-0.1376,0.0501,0.0421,0.0707,0.1600,0.0550,-0.0550,-0.1950,-0.0215
25,EPS,0.42,0.45,-0.43,0.61,0.19,0.39,0.44,0.17,-1.57,0.37,0.60,-0.16,1.66,-2.46,-0.05,-0.07,-0.79,-0.40,0.16,-0.01,0.07,0.01,0.10,0.58,-0.09,0.33,0.12,-0.80,-0.33,0.14,0.12,0.21,0.67,0.19,-0.14,-0.48,-0.07
26,EPS Diluted,0.42,0.45,-0.43,0.61,0.19,0.39,0.44,0.17,-1.57,0.37,0.60,-0.16,1.62,-2.46,-0.05,-0.07,-0.79,-0.40,0.15,-0.01,0.07,0.01,0.09,0.57,-0.09,0.33,0.11,-0.80,-0.33,0.14,0.12,0.20,0.65,0.19,-0.14,-0.48,-0.07
27,Weighted Average Shares Outstanding,10238095,10000000,10000000,7540984,6842105,6666667,6818182,7058824,7197452,7420000,7879000,6857000,6909000,7154000,7254000,7405000,7572000,7704000,7910000,8029000,8226000,8427000,8592000,8822000,8906000,8997000,9181000,7995000,7767000,7826000,7907000,7968000,8149000,8378000,8247000,8333000,8517000
28,Weighted Average Shares Outstanding Diluted,10238095,10000000,10000000,7540984,6842105,6666667,6818182,7058824,7197452,7500000,8125000,6923077,7087000,7154000,7254000,7405000,7572000,7704000,8117000,8029000,8532000,8710000,8860000,9053000,8953000,9122000,9320000,7995000,7767000,7948000,8054000,8132000,8436000,8514000,8247000,8333000,8517000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000091205796005194/0000912057-96-005194-index.html,https://www.sec.gov/Archives/edgar/data/351998/000091205797009640/0000912057-97-009640-index.html,https://www.sec.gov/Archives/edgar/data/351998/000089155498000287/0000891554-98-000287-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000035199801000010/0000351998-01-000010-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000091228207000366/0000912282-07-000366-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000091228208000472/0000912282-08-000472-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199809000009/0000351998-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199810000009/0000351998-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199811000010/0000351998-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199812000016/0000351998-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199813000010/0000351998-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199814000005/0000351998-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199815000006/0000351998-15-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/351998/000035199817000010/0000351998-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199818000003/0000351998-18-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/351998/000165495420003376/0001654954-20-003376-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000165495421003344/0001654954-21-003344-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000165495422003978/0001654954-22-003978-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,35500000,35300000,27000000,20300000,1600000,1200000,500000,1800000,1700000,7300000,4500000,4050000,8110000,4000000,3600000,3130000,2656000,4383000,4380000,5534000,4362000,2478000,7637000,13304000,15642000,18942000,18120000,10528000,10426000,9361000,11268000,11571000,18541000,18343000,13936000,14167000,14190000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24860000,- -,9610000,1940000,3236000,1076000,2354000,1037000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,35500000,35300000,27000000,20300000,1600000,1200000,500000,1800000,1700000,7300000,4500000,4050000,32970000,4000000,13210000,5070000,5892000,5459000,6734000,6571000,5162000,2478000,7637000,13304000,15642000,18942000,18120000,10528000,10426000,9361000,11268000,11571000,18541000,18343000,13936000,14167000,14190000
34,Net Receivables,10600000,14100000,13800000,14800000,13700000,13100000,13300000,13000000,9400000,10100000,13120000,7640000,5680000,5400000,5750000,10720000,5666000,4328000,5054000,4489000,6828000,8496000,5299000,5659000,3192000,4975000,4351000,2648000,1980000,4109000,2790000,4725000,3769000,3771000,4099000,2494000,3995000
35,Inventory,5800000,7400000,6700000,6400000,6800000,7400000,7700000,10900000,8300000,6900000,8540000,7540000,8160000,4400000,6240000,9170000,6388000,4476000,4607000,4139000,3529000,5052000,4980000,5039000,3947000,3570000,3964000,4033000,3770000,4445000,3705000,4059000,4168000,5185000,5020000,5270000,6351000
36,Other Current Assets,2300000,2600000,4600000,1400000,2200000,1800000,1700000,2300000,3800000,2600000,1860000,5110000,5890000,19700000,550000,450000,485000,509000,431000,652000,329000,491000,323000,408000,434000,528000,543000,486000,395000,426000,577000,483000,708000,621000,924000,1319000,737000
37,Total Current Assets,54200000,59400000,52100000,42900000,24300000,23500000,23200000,28000000,23200000,26900000,28020000,24340000,52700000,33500000,25750000,25410000,18431000,14772000,16826000,15851000,15848000,16517000,18239000,24410000,23215000,28015000,26978000,17695000,16571000,18341000,18340000,20838000,27186000,27920000,23979000,23250000,25273000
38,PP&E,20700000,22000000,20300000,19200000,18400000,13300000,15200000,13500000,12200000,10700000,12340000,11300000,3390000,2200000,2180000,2190000,1741000,1508000,1151000,1970000,2274000,2852000,2257000,2290000,1819000,1256000,1489000,1006000,843000,926000,1237000,1875000,2458000,1985000,1668000,1216000,946000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2793000,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2793000,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4160000,780000,320000,- -,2120000,1090000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,470000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-100000,- -,2200000,100000,- -,7000000,8300000,8200000,7600000,5900000,40000,2430000,1330000,4400000,- -,60000,168000,87000,11000,26000,15000,122000,124000,111000,102000,153000,85000,86000,88000,65000,63000,63000,643000,818000,2634000,1126000,2838000
45,Total Non-Current Assets,20600000,22000000,22500000,19300000,18400000,20300000,23500000,21700000,19800000,16600000,16760000,14980000,5040000,6600000,4300000,3340000,1909000,1595000,1162000,1996000,2289000,2974000,2381000,2401000,1921000,1409000,4367000,1127000,931000,991000,1300000,1938000,3101000,2803000,4302000,2342000,3784000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,74800000,81400000,74600000,62200000,42700000,43800000,46700000,49700000,43000000,43500000,44780000,39320000,57740000,40100000,30050000,28750000,20340000,16367000,17988000,17847000,18137000,19491000,20620000,26811000,25136000,29424000,31345000,18822000,17502000,19332000,19640000,22776000,30287000,30723000,28281000,25592000,29057000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2400000,2200000,1300000,1900000,2070000,1610000,3760000,3800000,1590000,1670000,1599000,1200000,1285000,1688000,1608000,1673000,1204000,1005000,970000,1234000,1122000,850000,720000,968000,1250000,1428000,1301000,1755000,1151000,1245000,1373000
49,Short-Term Debt,1000000,1100000,1000000,1100000,4400000,2900000,3200000,3400000,2400000,400000,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,112000,118000,125000,132000,92000,- -,- -,- -,- -,- -,- -,- -,- -,678000,673000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,91000,108000,172000,109000,122000,87000,92000,149000,327000,149000,157000,171000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1686000,1613000,1430000,1706000,1329000,1564000,1715000,1541000,1462000,1572000,1464000,1238000,1170000,1801000,1038000,1926000,1787000,1392000,1387000,1068000,1507000
52,Other Current Liabilities,7500000,8900000,14300000,12900000,13500000,15300000,11800000,12800000,16200000,14500000,13940000,12670000,15720000,14000000,7980000,6940000,3136000,2834000,3079000,2207000,2917000,2413000,2140000,3024000,1915000,2514000,2037000,1770000,2437000,2509000,2229000,2911000,4612000,3708000,2266000,2205000,3909000
53,Total Current Liabilities,8500000,10000000,15300000,14000000,17900000,18200000,17400000,18400000,19900000,16800000,16010000,14280000,19480000,18400000,9570000,8610000,6421000,5647000,5794000,5601000,5854000,5762000,5177000,5695000,4479000,5412000,4623000,3858000,4327000,5278000,4517000,6265000,7700000,6855000,5482000,5191000,6789000
54,Long-Term Debt,- -,- -,- -,- -,2400000,- -,- -,- -,1500000,1900000,1500000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,446000,357000,276000,159000,- -,- -,219000,- -,- -,- -,- -,- -,- -,- -,- -,2277000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,400000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,1340000,980000,3640000,2800000,2420000,2100000,1765000,1435000,1106000,776000,- -,- -,- -,- -,- -,47000,253000,- -,313000,183000,429000,479000,527000,511000,1269000,762000,138000
58,Total Non-Current Liabilities,- -,- -,- -,- -,2400000,- -,-100000,- -,1900000,2400000,2840000,2480000,3640000,2800000,2420000,2100000,1765000,1435000,1106000,776000,- -,446000,357000,276000,159000,47000,253000,219000,313000,183000,429000,479000,527000,511000,1269000,762000,2415000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1856000,1261000,2277000
61,Total Liabilities,8500000,10000000,15300000,14000000,20300000,18200000,17300000,18400000,21800000,19200000,18850000,16760000,23120000,21200000,11990000,10710000,8186000,7082000,6900000,6377000,5854000,6208000,5534000,5971000,4638000,5459000,4876000,4077000,4640000,5461000,4946000,6744000,8227000,7366000,6751000,5953000,9204000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17530000,15250000,16410000,- -,17810000,18290000,18500000,18638000,18797000,19001000,19408000,- -,- -,- -,- -,22172000,- -,- -,- -,- -,- -,- -,- -,19254000,18748000,20071000,20886000
64,Retained Earnings,25800000,30500000,26700000,31300000,5300000,8000000,10500000,11700000,500000,3200000,7950000,6850000,18350000,700000,370000,-160000,-6173000,-9279000,-8038000,-8018000,-7436000,-7261000,-6429000,-1301000,-2112000,900000,1963000,-4466000,-7042000,-5943000,-5016000,-3360000,2089000,3695000,2508000,-1456000,-2011000
65,Other Comprehensive Income/Loss,-8000000,-10600000,-14700000,-15200000,-17100000,-19000000,-21100000,-21700000,-17700000,-19000000,-20540000,-19960000,-140000,-13200000,-240000,-180000,-10676000,-74000,329000,487000,311000,491000,791000,810000,852000,893000,1092000,1283000,1561000,1110000,659000,188000,982000,408000,274000,1024000,978000
66,Other Total Stockholders Equity,48500000,51500000,47300000,32100000,34200000,36600000,40000000,41300000,38400000,40100000,20990000,20420000,- -,31400000,120000,90000,10503000,- -,- -,- -,- -,27064000,20515000,21141000,21610000,- -,23506000,18211000,17904000,18814000,- -,23500000,18971000,- -,- -,- -,- -
67,Total Stockholders Equity,66300000,71400000,59300000,48200000,22400000,25600000,29400000,31300000,21200000,24300000,25930000,22560000,34610000,18900000,18060000,18040000,12154000,9285000,11088000,11470000,12283000,13283000,15086000,20840000,20498000,23965000,26469000,14745000,12862000,13871000,14694000,16032000,22060000,23357000,21530000,19639000,19853000
68,Total Liabilities And Stockholders Equity,74800000,81400000,74600000,62200000,42700000,43800000,46700000,49700000,43000000,43500000,44780000,39320000,57730000,40100000,30050000,28750000,20340000,16367000,17988000,17847000,18137000,19491000,20620000,26811000,25136000,29424000,31345000,18822000,17502000,19332000,19640000,22776000,30287000,30723000,28281000,25592000,29057000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,74800000,81400000,74600000,62200000,42700000,43800000,46700000,49700000,43000000,43500000,44780000,39320000,57740000,40100000,30050000,28750000,20340000,16367000,17988000,17847000,18137000,19491000,20620000,26811000,25136000,29424000,31345000,18822000,17502000,19332000,19640000,22776000,30287000,30723000,28281000,25592000,29057000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000091205796005194/0000912057-96-005194-index.html,https://www.sec.gov/Archives/edgar/data/351998/000091205797009640/0000912057-97-009640-index.html,https://www.sec.gov/Archives/edgar/data/351998/000089155498000287/0000891554-98-000287-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000035199801000010/0000351998-01-000010-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000091228207000366/0000912282-07-000366-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000091228208000472/0000912282-08-000472-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199809000009/0000351998-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199810000009/0000351998-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199811000010/0000351998-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199812000016/0000351998-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199813000010/0000351998-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199814000005/0000351998-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199815000006/0000351998-15-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/351998/000035199817000010/0000351998-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199818000003/0000351998-18-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/351998/000165495420003376/0001654954-20-003376-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000165495421003344/0001654954-21-003344-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000165495422003978/0001654954-22-003978-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4300000,4500000,- -,4600000,1300000,2600000,3000000,1200000,-11300000,2700000,4760000,-1100000,11320000,-17600000,-350000,-530000,-6010000,-3106000,1241000,-92000,582000,46000,832000,5128000,-811000,3012000,1063000,-6429000,-2576000,1099000,927000,1656000,5449000,1606000,-1187000,-3964000,-555000
74,Depreciation and Amortization,2300000,4200000,- -,3400000,3100000,2400000,3000000,3600000,4900000,4700000,4300000,4000000,1500000,1700000,1800000,1743000,1877000,688000,419000,623000,1118000,817000,986000,1017000,1011000,1117000,1170000,1265000,613000,593000,542000,602000,822000,955000,867000,815000,667000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-500000,2100000,- -,-400000,-500000,2700000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401000,312000,319000,477000,525000,425000,400000,435000,520000,714000,1230000,1171000,1467000,1238000
77,Change in Working Capital,- -,-12600000,- -,-7900000,-22500000,-1100000,500000,3800000,-6300000,6800000,1910000,-1950000,23160000,-18120000,1080000,620000,-4790000,-2885000,1907000,-782000,-256000,761000,2307000,5653000,21000,3867000,-248000,-8518000,-1593000,819000,760000,750000,4913000,1579000,-2568000,-438000,425000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-467000,2491000,-1810000,636000,1710000,700000,-2270000,1204000,-2051000,1215000,-78000,-375000,1664000,-1565000
79,Inventory,- -,- -,- -,- -,- -,- -,-300000,-3500000,2400000,1300000,-1500000,300000,-600000,-800000,-2000000,-2929000,2778000,1902000,-129000,501000,417000,-1475000,163000,-78000,1117000,333000,-380000,-54000,297000,-754000,645000,-452000,59000,-1135000,139000,-414000,-750000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000
81,Other Working Capital,49400000,36800000,- -,28900000,6400000,5300000,5800000,9600000,3300000,10100000,12010000,10060000,33220000,15100000,16180000,16800000,12010000,9125000,11032000,10250000,9994000,10755000,13062000,18715000,18736000,22603000,22355000,13837000,12244000,13063000,13823000,14573000,19486000,21065000,18497000,18059000,18484000
82,Other Non-Cash Items,-6600000,3900000,- -,-100000,18100000,-3900000,-1600000,-4900000,17800000,-7300000,-4870000,3550000,-34280000,24420000,-8530000,-9366000,10398000,5360000,-2371000,2280000,-1615000,-2798000,2400000,-7560000,2302000,-3985000,365000,11886000,3466000,-2172000,703000,-570000,-2772000,-3258000,-379000,2751000,-365000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,4900000,3700000,4600000,9000000,6100000,4100000,1200000,-6900000,-5600000,-7533000,1475000,57000,1196000,2029000,-171000,-1174000,6525000,4639000,2835000,4330000,2827000,-1271000,335000,739000,3367000,2958000,9126000,2112000,-2096000,631000,1410000
