,https://roic.ai/company/NEU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282637/000119312506040980/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312507039689/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312508035848/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312509033752/0001193125-09-033752-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000119312510034830/0001193125-10-034830-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000119312511041569/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312512071628/0001193125-12-071628-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263713000003/0001282637-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263714000003/neu-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263715000004/neu-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263716000028/0001282637-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263717000005/0001282637-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263718000004/0001282637-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263719000006/0001282637-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263720000005/0001282637-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263721000004/0001282637-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263722000006/0001282637-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15478000,29052000,28778000,56413000,60300000,71872000,21761000,151831000,49192000,50370000,89129000,238703000,103003000,93424000,192154000,84166000,73040000,144397000,125172000,83304000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375918000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15478000,29052000,28778000,56413000,60300000,71872000,21761000,152131000,49492000,50370000,89129000,238703000,103003000,93424000,192154000,84166000,73040000,144397000,125172000,459222000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131848000,134998000,161721000,189460000,198243000,207190000,203551000,214887000,257748000,278332000,297055000,309847000,302803000,287967000,306916000,335317000,314860000,335826000,336395000,391779000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104046000,124428000,157789000,151999000,185581000,193694000,201072000,192903000,273215000,306785000,322674000,307518000,348420000,351631000,311512000,383097000,396341000,365938000,401031000,498539000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21577000,17009000,11967000,13827000,17836000,22285000,19794000,43218000,22320000,44244000,26637000,41251000,42965000,41745000,26301000,31074000,29179000,33237000,35480000,38633000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272949000,305487000,360255000,411699000,461960000,495041000,446178000,603139000,602775000,679731000,735495000,897319000,797191000,774767000,836883000,833654000,813420000,879398000,898078000,1388173000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198719000,174233000,166229000,154006000,162114000,183562000,241736000,302415000,333976000,352966000,358371000,285036000,307859000,402446000,503745000,652281000,644138000,708784000,737250000,784762000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5091000,5132000,5002000,4945000,4804000,4656000,4295000,122541000,122940000,122987000,123958000,123922000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69338000,62849000,56282000,49874000,51708000,45555000,- -,- -,41435000,32915000,25540000,18374000,12055000,6251000,6141000,21796000,13099000,8893000,5986000,3830000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69338000,62849000,56282000,49874000,51708000,45555000,54069000,45063000,46526000,38047000,30542000,23319000,16859000,10907000,10436000,144337000,136039000,131880000,129944000,127752000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9494000,5471000,4367000,23157000,30088000,21396000,37744000,34670000,21974000,35805000,48385000,22961000,48499000,38354000,29063000,4349000,5094000,6327000,7992000,5318000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105751000,97393000,89062000,62796000,38923000,25380000,31725000,39905000,57490000,85113000,84717000,98639000,61517000,63441000,36309000,77533000,98583000,158743000,160611000,252431000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383302000,339946000,315940000,289833000,282833000,275893000,365274000,422053000,459966000,511931000,522015000,429955000,434734000,515148000,579553000,878500000,883854000,1005734000,1035797000,1170263000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656251000,645433000,676195000,701532000,744793000,770934000,811452000,1025192000,1062741000,1191662000,1257510000,1327274000,1231925000,1289915000,1416436000,1712154000,1697274000,1885132000,1933875000,2558436000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44130000,53589000,75719000,88350000,81623000,104636000,60505000,88186000,109250000,103217000,119298000,134132000,137688000,128745000,141869000,159408000,151631000,178773000,189937000,246097000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5616000,4862000,3240000,736000,1783000,36111000,5432000,12646000,8288000,- -,- -,- -,- -,- -,- -,- -,13410000,365143000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9755000,8956000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85603000,67724000,58848000,73575000,75320000,72289000,73625000,73755000,91705000,100161000,89085000,113482000,121986000,134935000,152721000,157385000,119670000,130122000,109108000,113847000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129733000,121313000,140183000,166787000,160183000,177661000,135913000,198052000,206387000,216024000,216671000,247614000,259674000,263680000,294590000,316793000,271301000,308895000,312455000,725087000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249530000,201839000,183837000,153189000,152748000,157061000,236378000,216200000,217544000,232601000,424407000,349467000,363526000,494586000,502505000,597091000,765806000,642941000,657249000,867488000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9656000,9234000,35303000,43071000,57196000,60041000,89438000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123910000,122598000,120293000,115496000,130460000,119205000,148038000,152755000,147170000,193444000,214227000,157745000,187684000,134429000,126856000,161318000,127189000,193002000,144306000,114294000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373440000,324437000,304130000,268685000,283208000,276266000,384416000,368955000,364714000,426045000,638634000,507212000,551210000,638671000,638595000,793712000,936066000,893139000,861596000,1071220000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4770000,5809000,5193000,71947000,71811000,93344000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503173000,445750000,444313000,435472000,443391000,453927000,520329000,567007000,571101000,642069000,855305000,754826000,810884000,902351000,933185000,1110505000,1207367000,1202034000,1174051000,1796307000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16689000,16786000,- -,- -,- -,- -,- -,- -,- -,- -,721000,- -,- -,- -,1603000,- -,- -,1965000,717000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98917000,135970000,169028000,211409000,260304000,346132000,386758000,532694000,565460000,648261000,512173000,632534000,560201000,532090000,664158000,747643000,671223000,843881000,932271000,844356000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-547518000,-577686000,-21870000,-31000000,-47000000,-34000000,-96000000,-75000000,-74000000,-99000000,-111000000,-60000000,-139000000,-145000000,-183000000,-146000000,-181000000,-163000000,-173164000,-82227000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584990000,624613000,- -,85651000,88098000,4875000,365000,491000,180000,332000,311000,- -,- -,474000,490000,6000,- -,252000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153078000,199683000,231882000,266060000,301402000,317007000,291123000,458185000,491640000,549593000,402205000,572448000,421041000,387564000,483251000,601649000,489907000,683098000,759824000,762129000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656251000,645433000,676195000,701532000,744793000,770934000,811452000,1025192000,1062741000,1191662000,1257510000,1327274000,1231925000,1289915000,1416436000,1712154000,1697274000,1885132000,1933875000,2558436000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656251000,645433000,676195000,701532000,744793000,770934000,811452000,1025192000,1062741000,1191662000,1257510000,1327274000,1231925000,1289915000,1416436000,1712154000,1697274000,1885132000,1933875000,2558436000
