,https://roic.ai/company/HMN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),185400000,202000000,222500000,211800000,185100000,207800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12404000,9876000,4693000,6213000,5208000,6986000,4474000,4193000,3255000,4455000,6623000,10302000,14127000,-913031000,900000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,100619000,119638000,116781000,93354000,9721000,28342000,7665000,19179000,69757000,94044000,140293000,117071000,178000,103507000,111291000,94878000,149173000,154066000,146113000,129452000,114232000,88687000,19537000,236449000,159583000,174900000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.1430,0.1602,0.1498,0.1204,0.0124,0.0352,0.0099,0.0225,0.0794,0.1082,0.1606,0.1320,0.0002,0.1104,0.1142,0.0950,0.1476,0.1494,0.1378,0.1198,0.1012,0.0757,0.0164,0.1653,0.1237,0.1398
22,Income Tax expense (Gain),600000,12100000,21600000,36300000,21600000,27800000,26817000,32581000,31469000,28849000,-2438000,4024000,-3668000,204000,13444000,16771000,41585000,34283000,-10739000,30021000,30429000,24398000,45307000,43173000,41870000,35970000,30467000,-80772000,1194000,52006000,26268000,32100000
23,Net Income,2100000,-16900000,58100000,77200000,62900000,73900000,64639000,83576000,85312000,44505000,20841000,25587000,11333000,18975000,56313000,77273000,98708000,82788000,10917000,73486000,80862000,70480000,103866000,110893000,104243000,93482000,83765000,169459000,18343000,184443000,133315000,142800000
24,Net Income ratio,0.0033,-0.0257,0.0825,0.1091,0.0884,0.0998,0.0918,0.1119,0.1095,0.0574,0.0267,0.0318,0.0147,0.0222,0.0641,0.0889,0.1130,0.0933,0.0131,0.0784,0.0830,0.0706,0.1028,0.1075,0.0983,0.0865,0.0742,0.1446,0.0154,0.1289,0.1034,0.1141
25,EPS,0.45,-0.53,1.00,1.33,1.08,1.48,1.38,1.82,1.97,1.08,0.51,0.63,0.28,0.44,1.32,1.80,2.29,1.92,0.27,1.88,2.05,1.77,2.64,2.74,2.55,2.30,2.08,4.16,0.45,4.47,3.22,3.45
26,EPS Diluted,0.45,-0.53,1.00,1.27,1.04,1.39,1.38,1.80,1.95,1.07,0.51,0.63,0.28,0.44,1.25,1.67,2.19,1.86,0.27,1.81,1.97,1.70,2.51,2.66,2.47,2.20,2.02,4.08,0.44,4.40,3.22,3.45
27,Weighted Average Shares Outstanding,4666667,4583333,58100000,58045113,58240741,49932432,46957842,45825410,43238656,41245633,40782173,40616843,40941182,42712822,42762348,42912630,43011980,43145163,39819548,39200000,39300000,39900000,39367862,40511551,40936618,40566032,40244751,40717873,40969885,41238324,41414218,41393484
28,Weighted Average Shares Outstanding Diluted,4666667,4583333,58100000,60787402,60480769,53165468,46957842,46524532,43838434,41708439,40966774,40877120,41199033,42904167,47346636,47884739,45773167,44610496,40588575,40500000,41000000,41400000,41400000,41600000,42200000,42400000,41500000,41600000,41900000,41900000,42000000,42200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850141/000104746998012416/0001047469-98-012416-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850141/000119312505067256/0001193125-05-067256-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312506056252/0001193125-06-056252-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312507043888/0001193125-07-043888-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312508041796/0001193125-08-041796-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312509042231/0001193125-09-042231-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312510044470/0001193125-10-044470-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312511050226/0001193125-11-050226-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312512089669/0001193125-12-089669-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312513084660/0001193125-13-084660-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420414012939/0001144204-14-012939-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420415013348/0001144204-15-013348-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420416085045/0001144204-16-085045-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420417012103/0001144204-17-012103-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828018002567/0001628280-18-002567-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828019002351/0001628280-19-002351-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828020002596/0001628280-20-002596-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828021003421/0001628280-21-003421-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828022003979/0001628280-22-003979-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,13704000,353000,12044000,22848000,21141000,33939000,60162000,19773000,- -,- -,13438000,13209000,9204000,7848000,5928000,7452000,15181000,18189000,11675000,15509000,16670000,7627000,11906000,25508000,22323000,133000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,87392000,- -,- -,- -,- -,- -,142000,192995000,299722000,220701000,354925000,415081000,334030000,228902000,6292097000,6539473000,7403467000,7648030000,7999372000,8352348000,7922161000,6153652000,6691585000,6589500000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,13704000,353000,99436000,22848000,21141000,33939000,60162000,19773000,142000,192995000,313160000,233910000,364129000,422929000,339958000,236354000,6307278000,6557662000,7415142000,7663539000,8016042000,8359975000,7934067000,6179160000,6713908000,6722500000
34,Net Receivables,- -,33800000,38500000,40900000,41500000,51100000,- -,- -,102661000,- -,- -,- -,- -,- -,104530000,103141000,107590000,101427000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5219828000,5497070000,-407312000,-322128000,-354925000,-415081000,-334030000,-228902000,-6292097000,-6539473000,-7403467000,-7663538000,-8016041000,-8359974000,-7934066000,-6179159000,-6713907000,-43000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5324500000,5793206000,13438000,13209000,9204000,7848000,5928000,7452000,15181000,18189000,11675000,1000,1000,1000,1000,1000,1000,6679500000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36994000,34935000,31029000,25640000,32188000,38941000,40976000,60125000,64717000,66000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47396000,47396000,47396000,47396000,47396000,47396000,- -,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,49079000,43454000,43500000
40,Intangible Assets,195000000,177200000,154700000,131900000,141500000,129800000,118600000,108000000,101100000,102100000,92260000,85789000,- -,- -,- -,- -,- -,- -,47396000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177217000,158460000,145400000
41,Intangible Assets,195000000,177200000,154700000,131900000,141500000,129800000,118600000,108000000,101100000,102100000,92260000,85789000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,47396000,226296000,201914000,188900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2991195000,3258674000,3541397000,3896297000,4119904000,4180250000,3901755000,4574624000,5073623000,5677508000,6292097000,6539473000,7403467000,7648030000,7999372000,8352348000,8250677000,6639233000,7262234000,7449500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3541391000,-3896292000,-4119898000,-4180245000,-3901750000,-4574624000,-5073623000,-3926127000,-4516039000,-4352794000,-4618130000,-4768572000,-4975510000,-4972047000,-4834377000,-1111691000,-7326951000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47402000,47401000,47402000,47401000,47401000,47396000,47396000,1798777000,1860448000,2269010000,2863762000,2952494000,3103446000,3466638000,3504672000,5813963000,201914000,7704400000
46,Other Assets,2538200000,2695400000,2889500000,3147600000,3285500000,3662300000,3861026000,4131912000,4395480000,4253846000,4420580000,4489026000,4512289000,4972988000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22088300000
47,Total Assets,2538200000,2695400000,2889500000,3147600000,3285500000,3662300000,3861026000,4131912000,4395480000,4253846000,4420580000,4489026000,4512289000,4972988000,5371902000,5840607000,60840000,60610000,56605000,55244000,53324000,1806229000,1875629000,2287199000,2875437000,2952495000,3103447000,3466639000,3504673000,5813964000,201915000,14383900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,34000000,42000000,50000000,49000000,49000000,53000000,- -,25000000,25000000,- -,- -,- -,38000000,38000000,38000000,38000000,38000000,38000000,38000000,- -,- -,- -,- -,135000000,135000000,249000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,3242000000,3483000000,3749000000,3705000000,3844000000,3877000000,3838000000,4273000000,4626000000,5069000000,5441000000,5367000000,4821000000,5386000000,5888000000,6159000000,6684000000,7489000000,8194125000,8545336000,9035633000,9399298000,9443606000,10478394000,-134865000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,3276000000,3525000000,3799000000,3754000000,3893000000,3930000000,3838000000,4298000000,4651000000,5069000000,5441000000,5367000000,4859000000,5424000000,5926000000,6197000000,6722000000,7527000000,8232125000,8545336000,9035633000,9399298000,9443606000,10613394000,135000,249000000
54,Long-Term Debt,363700000,143900000,128700000,111700000,100600000,100600000,99564000,99599000,99637000,99677000,99721000,99767000,144685000,144703000,144720000,190886000,231982000,199485000,199549000,199614000,199679000,199744000,199809000,199874000,199939000,249346000,247209000,297469000,297740000,298025000,302323000,253600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,436000,401000,363000,323000,279000,233000,315000,297000,280000,114000,18000,-485000,451000,386000,321000,256000,191000,126000,- -,-2371000,- -,- -,- -,- -,-302021000,- -
58,Total Non-Current Liabilities,363700000,143900000,128700000,111700000,100600000,100600000,100000000,100000000,100000000,100000000,100000000,100000000,145000000,145000000,145000000,191000000,232000000,199000000,200000000,200000000,200000000,200000000,200000000,200000000,199939000,246975000,247209000,297469000,297740000,298025000,302000,253600000
59,Other Liabilities,2830300000,2534800000,2661100000,2829400000,2974100000,3292700000,200054000,200363000,- -,- -,- -,- -,290447000,- -,- -,382016000,- -,398035000,- -,- -,- -,- -,- -,400367000,- -,496321000,- -,- -,- -,- -,11681901000,12581100000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2466600000,2390900000,2532400000,2717700000,2873500000,3192100000,3376054000,3625363000,3898637000,3853704000,3992587000,4029836000,3983447000,4442513000,4795696000,5260016000,5672606000,5566035000,5058873000,5623568000,6125534000,6396811000,6921923000,7727367000,8432064000,8794682000,9282842000,9696767000,9741346000,10911419000,11681734000,12576500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,29000,59000,59000,59000,60000,60000,60000,60000,60000,60000,61000,61000,61000,61000,61000,62000,62000,64000,64000,65000,65000,65000,66000,66000,66000,100000
64,Retained Earnings,-900000,-17800000,34500000,104800000,159300000,224400000,278669000,349274000,420274000,449023000,452624000,461139000,455308000,456330000,494665000,553712000,634110000,698539000,694492000,758343000,823579000,875069000,921969000,1000312000,1065318000,1116277000,1155732000,1231177000,1216582000,1352539000,1434634000,1524900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63302000,64356000,70880000,14145000,7614000,-5838000,-193587000,10723000,96582000,249128000,367089000,122214000,284601000,163373000,163921000,286960000,84756000,219681000,355120000,280500000
66,Other Total Stockholders Equity,72500000,322300000,322600000,325100000,252700000,245800000,205697000,156639000,76290000,- -,- -,- -,10172000,9729000,10601000,12674000,15296000,516000,-52121000,-49582000,-40215000,-37333000,-43317000,-23285000,-13520000,-15054000,-25736000,-16629000,-10854000,-5001000,259000,1900000
67,Total Stockholders Equity,71600000,304500000,357100000,429900000,412000000,470200000,484395000,505972000,496623000,400142000,427993000,459190000,528842000,530475000,576206000,580591000,657081000,693278000,448845000,719545000,880007000,1086926000,1245803000,1099305000,1336463000,1264661000,1293982000,1501573000,1290550000,1567285000,1790079000,1807400000
68,Total Liabilities And Stockholders Equity,2538200000,2695400000,2889500000,3147600000,3285500000,3662300000,3860449000,4131335000,4395260000,4253846000,4420580000,4489026000,4512289000,4972988000,5371902000,5840607000,6329687000,6259313000,5507718000,6343113000,7005541000,7483737000,8167726000,8826672000,9768527000,10059343000,10576824000,11198340000,11031896000,12478704000,13471813000,14383900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,577000,577000,220000,- -,- -,- -,- -,- -,- -,- -,-6268847000,-6198703000,-5451113000,-6287869000,-6952217000,-5677508000,-6292097000,-6539473000,-6893090000,-7106848000,-7473377000,-7731701000,-7527223000,-6664740000,-13269898000,- -
70,Total Liabilities & Equity,2538200000,2695400000,2889500000,3147600000,3285500000,3662300000,3861026000,4131912000,4395480000,4253846000,4420580000,4489026000,4512289000,4972988000,5371902000,5840607000,60840000,60610000,56605000,55244000,53324000,1806229000,1875629000,2287199000,2875437000,2952495000,3103447000,3466639000,3504673000,5813964000,201915000,14383900000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850141/000104746998012416/0001047469-98-012416-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850141/000119312505067256/0001193125-05-067256-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312506056252/0001193125-06-056252-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312507043888/0001193125-07-043888-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312508041796/0001193125-08-041796-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312509042231/0001193125-09-042231-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312510044470/0001193125-10-044470-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312511050226/0001193125-11-050226-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312512089669/0001193125-12-089669-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312513084660/0001193125-13-084660-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420414012939/0001144204-14-012939-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420415013348/0001144204-15-013348-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420416085045/0001144204-16-085045-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420417012103/0001144204-17-012103-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828018002567/0001628280-18-002567-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828019002351/0001628280-19-002351-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828020002596/0001628280-20-002596-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828021003421/0001628280-21-003421-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828022003979/0001628280-22-003979-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2100000,-16900000,58100000,77200000,62900000,73900000,64639000,83576000,85312000,44505000,20841000,25587000,11333000,18975000,56313000,77273000,98708000,82788000,10917000,73486000,80862000,70480000,103866000,110893000,104243000,93482000,83765000,169459000,18343000,184443000,133315000,142800000
74,Depreciation and Amortization,- -,- -,20400000,- -,19700000,15600000,13100000,10600000,5300000,-1000000,6761000,8300000,12512000,11082000,11046000,10243000,11927000,12778000,13955000,8352000,8318000,8577000,- -,- -,- -,- -,- -,- -,- -,15629000,23417000,18400000
75,Deferred Income Tax,- -,- -,8800000,-34500000,- -,- -,- -,- -,- -,- -,- -,- -,-9061000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7338000,6660000,8400000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-3276000000,-249000000,-274000000,45000000,-139000000,-37000000,92000000,-460000000,4971500000,50706000,-6151768000,73771000,503995000,-566356000,-503920000,-269476000,-517271000,-801992000,-711639000,-324885000,-490297000,-363665000,-44308000,-1169788000,10613259000,65800000
78,Accounts Receivable,- -,466100000,-4600000,517600000,-600000,-9700000,-14400000,4100000,-2300000,11400000,-7357000,-7160000,21936000,634000,-2404000,3648000,-3796000,5854000,-2717000,-3245000,-2797000,-1263000,- -,- -,- -,- -,- -,- -,- -,16975000,9065000,-1500000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-43700000,131500000,- -,87800000,79700000,74600000,61800000,74900000,76400000,123535000,121703000,91429000,147502000,122360000,92426000,84304000,92046000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-3276000000,-3525000000,-3799000000,-3754000000,-3893000000,-3930000000,-3838000000,-4298000000,673500000,724206000,-5427562000,-5353791000,-4849796000,-5416152000,-5920072000,-6189548000,-6706819000,-7508811000,-8220450000,-8545335000,-9035632000,-9399297000,-9443605000,-10613393000,-134000,11100000
82,Other Non-Cash Items,154700000,185400000,111300000,122800000,75700000,64200000,3337475000,259260000,312154000,59641000,235646000,151970000,58683000,547351000,-4871581000,26944000,6226939000,32308000,-366015000,663420000,572494000,306298000,413405000,691099000,607396000,231403000,406532000,194206000,25965000,1089951000,-10516857000,-30500000
83,Cash Provided by Operating Activities,156800000,168500000,198600000,165500000,158300000,153700000,139214000,104436000,128766000,148146000,124248000,148857000,165467000,117408000,167278000,165166000,185806000,201645000,162852000,178902000,157754000,115879000,- -,- -,- -,- -,- -,- -,- -,127573000,259794000,204900000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32312000,-76548000,-459318000,-67717000,-234100000
86,Purchases of Investments,-882000000,-800900000,-1148000000,-946300000,-1129400000,-983100000,-989009000,-1050081000,-842375000,-698847000,-750928000,-1143037000,-1575304000,-1762957000,-1282092000,-984433000,-1042855000,-1389677000,-1125410000,-2066266000,-1711091000,-1356092000,-1498219000,-1247937000,-1325308000,-1528394000,-1649635000,-1686722000,-1498511000,-1123655000,-1477001000,-1524100000
87,Sales/Maturities of Investments,741200000,666400000,998500000,871000000,951800000,906200000,956283000,1116201000,865353000,675402000,707923000,1015229000,1391402000,1519051000,1001662000,743146000,1623696000,1259207000,935159000,1798354000,1407017000,1053085000,1143421000,649611000,759793000,1112545000,1324275000,1490370000,1388560000,1638915000,1137961000,1456200000
88,Other Investing Activites,- -,-100000,21800000,-43600000,84600000,41400000,- -,- -,- -,-18524000,26814000,- -,- -,- -,- -,- -,-811848000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-140800000,-134600000,-127700000,-118900000,-93000000,-35500000,-32726000,66120000,22978000,-41969000,-16191000,-127808000,-183902000,-243906000,-280430000,-241287000,-231007000,-130470000,-190251000,-267912000,-304074000,-303007000,-354798000,-598326000,-565515000,-415849000,-325360000,-228664000,-186499000,55942000,-406757000,-302000000
90,Debt Repayment,-22000000,-247200000,-155900000,-17000000,-50600000,- -,-143890000,- -,- -,-1000000,- -,- -,-97523000,- -,- -,-54077000,-82846000,-32563000,- -,-176869000,- -,- -,- -,- -,- -,-240292000,- -,- -,- -,-305005000,- -,-416000000
91,Common Stock Issued,- -,247200000,98100000,- -,- -,20600000,6343000,11581000,2200000,362000,5302000,3759000,2183000,- -,1592000,2055000,1874000,4477000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-174900000,- -,-91790000,-76590000,-27519000,-15143000,- -,- -,- -,- -,- -,- -,-20748000,-54338000,- -,- -,- -,-15735000,-3889000,-5411000,-21950000,-21513000,-1660000,-5088000,- -,-2145000,-5300000
