,https://roic.ai/company/EBIX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,-1100000,400000,500000,2300000,-1100000,10400000,-4500000,6600000,2400000,10800000,-2200000,-11800000,1516000,7074000,-10493000,-1972000,-527000,2255000,-1747000,6003000,-40606000,60084000,-7402000,-62655000,2931000,-15693000,-14587000,-12956000,-64648000,-72938000,-12103000,-10515000,-3114000,-1641000,-2334000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3200000,200000,200000,500000,300000,2700000,1100000,-4900000,200000,-13333000,-7663000,-3239000,-742000,3343000,2810000,5483000,4150000,14471000,26825000,33877000,52779000,71286000,72295000,57062000,58510000,48686000,83748000,76807000,89869000,60793000,100356000,69471000
84,CAPEX,- -,- -,- -,- -,-400000,-400000,-500000,-1400000,-1400000,-700000,-600000,-600000,-500000,-894000,-138000,-193000,-538000,-555000,-366000,-484000,-537000,-1754000,-615000,-3129000,-1754000,-2829000,-1965000,-1230000,-16277000,-17483000,-9965000,-10190000,-16111000,-12897000,-9566000,-13165000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15091000,-14138000,-73191000,-4564000,-18151000,-14993000,-62091000,-7717000,-62004000,-18475000,-8659000,-194082000,-231392000,-110814000,-14276000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-507000,-39734000,-11507000,-3098000,-785000,- -,- -,-1435000,-2115000,- -,-4087000,- -,-20964000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7006000,7600000,1466000,107000,495000,- -,- -,1201000,- -,27015000,- -,8567000
88,Other Investing Activites,- -,- -,- -,- -,-1000000,-2600000,-1400000,-2100000,-3000000,-1600000,-1400000,-2500000,-1600000,-50000,- -,-327000,- -,- -,-8156000,- -,225000,568000,- -,-3129000,-1754000,-2829000,-1965000,-1230000,-16277000,-17483000,-9965000,-14230000,-16111000,-12897000,-9566000,-13165000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1400000,-3000000,-1900000,-3500000,-4400000,-2300000,-2000000,-3100000,-2100000,-944000,-138000,-520000,-538000,-555000,-8522000,-484000,-15403000,-15324000,-74313000,-47427000,-24406000,-13320000,-63375000,-8840000,-77786000,-37393000,-20739000,-207111000,-251590000,-96696000,-44806000,-4598000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2881000,-5804000,-6707000,-20009000,-24880000,-32514000,-652000,-59291000,-13011000,-19212000,-15749000,-32119000,-53607000
91,Common Stock Issued,- -,- -,- -,- -,300000,200000,2800000,2500000,3500000,- -,400000,15100000,- -,23922000,4519000,6871000,- -,148000,3059000,131000,779000,19591000,12519000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,-149000,- -,-25275000,-505000,-10650000,-63659000,-19366000,-4173000,-35430000,-83855000,-60782000,-46130000,-41287000,-13182000,-2589000,-1402000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1461000,-7034000,-2794000,-11406000,-10472000,-9829000,-9545000,-9316000,-9193000,-9245000,-9284000
94,Other Financing Activites,- -,- -,- -,- -,-1500000,2900000,-900000,200000,1100000,-1200000,600000,-1500000,2100000,-3446000,-805000,-41000,-221000,-114000,427000,-1460000,9139000,24681000,25031000,26565000,-9228000,16290000,53315000,5398000,95213000,88672000,125824000,146714000,325947000,39029000,2000000,1075000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1200000,3100000,1900000,2700000,4600000,-1200000,1000000,13600000,2100000,20476000,3714000,6830000,-221000,34000,3486000,-4029000,9769000,44272000,12275000,23179000,-25682000,-55537000,6906000,-26449000,15863000,-6307000,-4078000,78028000,256132000,905000,-41953000,-63218000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-197000,92000,36000,327000,100000,154000,-80000,-236000,1034000,-3749000,123000,1479000,-2130000,-3073000,-1548000,-961000,-107000,-1992000,2053000,-5689000,-3314000,-4753000,-7104000
97,Net Change In Cash,- -,- -,- -,- -,-1200000,3100000,1900000,2700000,4600000,-1200000,1000000,13600000,2100000,6002000,-3995000,3107000,-1174000,2922000,-2072000,890000,-1720000,44453000,-38962000,9752000,4170000,299000,12753000,20225000,-4374000,4879000,56939000,-50223000,88722000,-38312000,8844000,-5449000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7055000,3060000,6167000,4993000,7915000,5843000,6733000,5013000,49466000,9475000,19227000,23397000,23696000,36449000,56674000,52300000,57179000,114118000,63895000,159589000,111369000,120213000,114764000
99,Cash at the Beginning of Period,- -,- -,- -,- -,200000,800000,1100000,1400000,1100000,1700000,900000,900000,900000,1053000,7055000,3060000,6167000,4993000,7915000,5843000,6733000,5013000,48437000,9475000,19227000,23397000,23696000,36449000,56674000,52300000,57179000,114118000,70867000,149681000,111369000,120213000
100,Free Cash Flow,- -,- -,- -,- -,2800000,-200000,-300000,-900000,-1100000,2000000,500000,-5500000,-300000,-14227000,-7801000,-3432000,-1280000,2788000,2444000,4999000,3613000,12717000,26210000,30748000,51025000,68457000,70330000,55832000,42233000,31203000,73783000,66617000,73758000,47896000,90790000,56306000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814549/000091205796013278/0000912057-96-013278-index.html,https://www.sec.gov/Archives/edgar/data/814549/000091205797022493/0000912057-97-022493-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814549/000091205702012738/0000912057-02-012738-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746903011341/0001047469-03-011341-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746904010077/0001047469-04-010077-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465905013849/0001104659-05-013849-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465906020276/0001104659-06-020276-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465907027455/0001104659-07-027455-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746908003821/0001047469-08-003821-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000136231009004540/0001362310-09-004540-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000095012310025217/0000950123-10-025217-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000095012311025942/0000950123-11-025942-index.htm,- -,https://www.sec.gov/Archives/edgar/data/814549/000081454913000004/0000814549-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454914000007/0000814549-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454915000012/0000814549-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454916000040/0000814549-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454917000004/0000814549-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454918000008/0000814549-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454919000017/0000814549-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454920000006/0000814549-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000162828021007671/0001628280-21-007671-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000119312522071300/0001193125-22-071300-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
