,https://roic.ai/company/AE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,5400000,5100000,4100000,3400000,3300000,3700000,3300000,3500000,3500000,4200000,9800000,9000000,8500000,11300000,10900000,13208000,14620000,13738000,11964000,14439000,16728000,18021000,10280000,23040000,19909000,20861000,25973000,9769000,9060000,8613000,9939000,10410000,9707000,8937000,10198000,10284000,1943743000
11,COGS and Expenses,123700000,64100000,63500000,65700000,87500000,107900000,117500000,548500000,692900000,630700000,830500000,1488000000,1955300000,1970800000,3987500000,7009299000,4729752000,2321095000,1712701000,2055823000,2339541000,2231636000,2612315000,4171146000,1936727000,2199424000,3178866000,3326177000,3902845000,4110047000,1927625000,1093173000,1320555000,1748805000,1803447000,1028169000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000,362000,62000,188000,965000,1741000,1103000,125000,191000,237000,190000,198000,301000,327000,582000,1103000,2155000,2766000,656000,243000
13,Interest Expense (Gain),1100000,900000,- -,300000,300000,300000,300000,200000,200000,100000,500000,500000,- -,300000,- -,172000,128000,121000,108000,107000,128000,159000,134000,187000,25000,36000,8000,10000,24000,2000,13000,2000,27000,109000,636000,444000,-746000
14,Depreciation and Amortization,2300000,1900000,2000000,1600000,1200000,1300000,1600000,1400000,1500000,2200000,7600000,6200000,5900000,8600000,6100000,6745000,6726000,5565000,5665000,6572000,7060000,9485000,11384000,13373000,- -,- -,- -,- -,- -,24615000,- -,- -,- -,- -,16641000,18573000,19797000
15,EBITDA,6600000,4700000,4300000,4300000,3400000,3400000,3800000,6300000,4100000,7100000,9600000,15400000,14400000,12300000,15200000,20839000,-153000,7902000,11931000,20346000,33412000,25417000,37032000,3002000,6526000,12737000,35770000,44498000,34063000,34701000,-2032000,6636000,-3400000,3563000,27780000,13482000,34707000
16,EBITDA ratio,0.0516,0.0701,0.0648,0.0629,0.0379,0.0309,0.0317,0.0115,0.0059,0.0112,0.0115,0.0103,0.0073,0.0062,0.0038,0.0030,-0.0000,0.0034,0.0069,0.0098,0.0141,0.0113,0.0140,0.0007,0.0034,0.0058,0.0111,0.0132,0.0086,0.0084,-0.0010,0.0060,-0.0026,0.0020,0.0153,0.0132,-46.5241
17,Operating Income,4200000,2900000,2900000,2700000,2200000,2100000,2300000,1600000,2500000,4300000,900000,9100000,8100000,3400000,8000000,12861000,-12510000,2222000,9228000,13965000,25292000,14967000,23907000,-11474000,6401000,12546000,35533000,44049000,34376000,9481000,-2359000,6054000,1502000,1408000,7800000,-5747000,16159000
18,Operating Income ratio,0.0328,0.0433,0.0437,0.0395,0.0245,0.0191,0.0192,0.0029,0.0036,0.0068,0.0011,0.0061,0.0041,0.0017,0.0020,0.0018,-0.0027,0.0010,0.0054,0.0067,0.0107,0.0067,0.0091,-0.0028,0.0033,0.0057,0.0111,0.0130,0.0087,0.0023,-0.0012,0.0055,0.0011,0.0008,0.0043,-0.0056,-21.6609
19,Total Other Income Expenses (Gains),-1000000,-1000000,- -,-300000,- -,- -,-400000,-300000,-100000,500000,700000,-300000,500000,100000,1100000,1061000,5448000,-6000,254000,-45000,60000,766000,1607000,916000,100000,155000,229000,180000,174000,299000,314000,580000,-4929000,2046000,2703000,212000,-503000
20,Income Before Tax,3200000,1900000,- -,2400000,- -,- -,1900000,1300000,2400000,4800000,1600000,8800000,8600000,3500000,9100000,13922000,-7062000,2216000,9482000,13920000,25352000,15733000,25514000,-10558000,6501000,12701000,35762000,44229000,34550000,9780000,-2045000,6634000,-3427000,3454000,10503000,-5535000,15656000
21,Income Before Tax Ratio,0.0250,0.0284,- -,0.0351,- -,- -,0.0159,0.0024,0.0035,0.0076,0.0019,0.0059,0.0044,0.0018,0.0023,0.0020,-0.0015,0.0010,0.0055,0.0067,0.0107,0.0070,0.0097,-0.0025,0.0033,0.0057,0.0111,0.0131,0.0088,0.0024,-0.0011,0.0060,-0.0026,0.0020,0.0058,-0.0054,-20.9866
22,Income Tax expense (Gain),1100000,800000,- -,100000,- -,- -,100000,500000,900000,1800000,300000,3100000,2800000,1100000,2700000,5082000,-2438000,764000,3056000,5059000,8583000,5290000,8458000,-4986000,2352000,4070000,12831000,16697000,12429000,3561000,-770000,2691000,-2945000,509000,2296000,-6530000,-3768000
23,Net Income,2100000,1100000,2300000,2300000,1900000,1800000,1800000,4200000,1500000,3000000,1200000,5600000,5700000,2300000,6400000,8840000,-4569000,1452000,3102000,8608000,17641000,10483000,17056000,-5572000,4149000,8631000,22931000,27791000,21610000,6523000,-1275000,3943000,-482000,2945000,8207000,995000,19424000
24,Net Income ratio,0.0164,0.0164,0.0346,0.0336,0.0212,0.0164,0.0150,0.0076,0.0022,0.0047,0.0014,0.0037,0.0029,0.0012,0.0016,0.0013,-0.0010,0.0006,0.0018,0.0042,0.0075,0.0047,0.0065,-0.0013,0.0021,0.0039,0.0071,0.0082,0.0055,0.0016,-0.0007,0.0036,-0.0004,0.0017,0.0045,0.0010,-26.0375
25,EPS,1.00,0.44,1.12,1.12,0.88,0.92,0.90,1.00,0.35,0.72,0.29,1.34,1.36,0.55,1.51,2.10,-1.08,0.34,0.74,2.04,4.18,2.49,4.04,-1.32,0.98,2.05,5.44,6.59,5.12,1.55,-0.30,0.60,-0.11,0.70,1.94,0.23,4.49
26,EPS Diluted,1.00,0.44,1.12,1.12,0.88,0.92,0.90,1.00,0.35,0.72,0.29,1.34,1.36,0.55,1.51,2.10,-1.08,0.34,0.74,2.04,4.18,2.49,4.04,-1.32,0.98,2.05,5.44,6.59,5.12,1.55,-0.30,0.60,-0.11,0.70,1.94,0.23,4.49
27,Weighted Average Shares Outstanding,3454000,3479000,3479000,3514000,3783000,3783000,4161000,4200000,4285714,4166667,4137931,4179104,4191176,4181818,4238411,4209524,4230556,4270588,4191892,4219608,4220335,4210040,4221782,4217596,4217596,4217596,4217596,4217147,4220703,4208387,4250000,4188333,4218000,4207143,4230412,4326087,4326087
28,Weighted Average Shares Outstanding Diluted,3454000,3479000,3479000,3514000,3783000,3783000,4161000,4200000,4285714,4166667,4197597,4203098,4215596,4217596,4238411,4209524,4230556,4270588,4191892,4219608,4220335,4210040,4221782,4217596,4217596,4217596,4217596,4217147,4220703,4208387,4250000,4188333,4218000,4207143,4230412,4326087,4326087
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2178/0000950129-96-000442-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217805000008/0000002178-05-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217806000013/0000002178-06-000013-index.htm,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217808000011/0000002178-08-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217809000007/0000002178-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217810000008/0000002178-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217811000009/0000002178-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217812000010/0000002178-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217813000014/0000002178-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217814000010/0000002178-14-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217816000064/0000002178-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217817000019/0000002178-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217818000009/0000002178-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217819000011/0000002178-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217820000013/0000002178-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217821000034/0000002178-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217822000033/0000002178-22-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3900000,2400000,1000000,1400000,2700000,1200000,3000000,2700000,3300000,2700000,4000000,3800000,6500000,10200000,24100000,36140000,14177000,27262000,28342000,19942000,18817000,20668000,23697000,18208000,16806000,29032000,37066000,47239000,60733000,80184000,91877000,87342000,109393000,117066000,112994000,39293000,97825000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3900000,2400000,1000000,1400000,2700000,1200000,3000000,2700000,3300000,2700000,4000000,3800000,6500000,10200000,24100000,36140000,14177000,27262000,28342000,19942000,18817000,20668000,23697000,18208000,16806000,29032000,37066000,47239000,60733000,80184000,91877000,87342000,109393000,117066000,112994000,39293000,97825000
34,Net Receivables,11300000,4100000,5000000,5000000,6600000,9100000,6900000,40300000,32200000,36000000,50500000,80200000,73800000,73900000,217000000,346152000,138926000,141852000,140425000,169680000,232355000,208633000,269652000,123030000,158112000,192485000,234995000,240518000,246027000,145404000,74400000,89897000,122670000,88026000,97103000,113087000,137789000
35,Inventory,1800000,900000,1000000,1100000,1300000,1200000,1400000,3400000,1900000,2200000,3200000,4900000,5100000,8300000,21500000,35453000,10004000,6591000,6874000,11372000,11692000,7950000,14776000,14207000,15260000,14591000,20189000,28222000,27616000,13481000,7671000,13070000,12192000,22779000,26407000,19336000,18942000
36,Other Current Assets,100000,300000,300000,400000,400000,500000,400000,500000,600000,500000,1000000,2600000,1700000,800000,1600000,2604000,36198000,3349000,10010000,8345000,7586000,4539000,3768000,13921000,12385000,10868000,12715000,8577000,17354000,11876000,2589000,2209000,1430000,1719000,10820000,15797000,18654000
37,Total Current Assets,17100000,7700000,7300000,7900000,11000000,12000000,11700000,46900000,38000000,41400000,58700000,91500000,87100000,93200000,264200000,420349000,199305000,179054000,185651000,209339000,270450000,241790000,311893000,169366000,202563000,246976000,304965000,324556000,351730000,250945000,176537000,192518000,245685000,229590000,247324000,187513000,273210000
38,PP&E,7100000,6300000,5300000,5300000,5800000,6100000,7400000,7800000,9500000,19700000,18900000,18200000,25900000,27800000,28600000,27517000,23899000,22304000,24407000,29076000,39896000,43316000,39698000,35586000,42305000,47589000,69235000,90712000,91865000,84871000,59715000,46325000,29362000,44623000,78622000,102185000,95149000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4106000,3317000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1597000,4106000,3317000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,425000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2035000,1290000,374000,473000,34000,- -,- -,- -,- -,- -,- -,- -,- -,11320000
44,Other Non-Current Assets,1200000,1500000,1000000,1100000,1500000,1500000,1500000,3400000,2800000,1200000,700000,1200000,1300000,1300000,200000,178000,3823000,762000,203000,439000,2316000,4181000,5484000,3939000,3243000,6366000,4167000,4199000,4487000,4998000,6963000,5529000,7232000,4657000,3299000,2383000,-8293000
45,Total Non-Current Assets,8300000,7800000,6300000,6400000,7300000,7600000,8900000,11200000,12300000,20900000,21700000,19400000,27200000,29100000,28800000,27695000,27722000,23066000,24610000,29515000,42212000,47497000,45182000,41560000,46838000,54329000,73875000,94945000,96352000,89869000,66678000,54354000,37019000,49280000,83518000,108674000,101493000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25400000,15500000,13600000,14300000,18300000,19600000,20600000,58100000,50300000,62300000,80400000,110900000,114300000,122300000,293000000,448044000,227027000,202120000,210261000,238854000,312662000,289287000,357075000,210926000,249401000,301305000,378840000,419501000,448082000,340814000,243215000,246872000,282704000,278870000,330842000,296187000,374703000
48,Accounts Payable,- -,- -,- -,- -,7200000,7800000,5800000,42000000,32300000,35400000,49500000,77400000,74800000,78400000,236500000,345503000,152153000,137244000,145047000,160387000,213668000,185735000,252394000,115272000,158251000,200772000,248714000,258310000,266099000,160743000,74117000,79897000,124706000,116068000,147851000,85991000,168224000
49,Short-Term Debt,2700000,6500000,1200000,700000,600000,300000,300000,200000,400000,700000,1700000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338000,883000,4419000,6162000,5841000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6424000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,14200000,6800000,6300000,6900000,1900000,1800000,2800000,2200000,2500000,2400000,2400000,3500000,3500000,3900000,8300000,42240000,16818000,10518000,7618000,13163000,17461000,20847000,8927000,12535000,5940000,6226000,7380000,7772000,6070000,7860000,6080000,6177000,4554000,6316000,7307000,22395000,11946000
53,Total Current Liabilities,16900000,13300000,7500000,7600000,9700000,9900000,8900000,44400000,35200000,38500000,53600000,81000000,78400000,82300000,244800000,387743000,168971000,147762000,152665000,173550000,231129000,206582000,261321000,127807000,164191000,206998000,256094000,266082000,272169000,168603000,80197000,86074000,129598000,123267000,159577000,114548000,186011000
54,Long-Term Debt,10000000,1800000,4000000,3100000,3600000,3900000,3700000,3900000,3900000,9300000,10600000,6200000,6900000,9100000,9900000,11900000,11475000,11475000,11475000,11475000,11475000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4938000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4088000,5590000,2461000,3183000,3531000,3296000,3762000,4063000,98000,- -,- -,10496000,15675000,18664000,12250000,8039000,7157000,3363000,4271000,6352000,12732000,11320000
57,Other Non-Current Liabilities,6400000,6600000,6400000,5300000,2200000,1300000,600000,1000000,900000,1300000,500000,900000,900000,800000,2300000,- -,1795000,322000,706000,723000,1106000,1575000,2249000,1260000,1409000,4152000,1568000,1886000,2564000,2464000,2469000,2329000,2624000,4734000,13272000,19815000,12048000
58,Total Non-Current Liabilities,16400000,8400000,10400000,8400000,5800000,5200000,4300000,4900000,4800000,10600000,11100000,7100000,7800000,9900000,12200000,15988000,18860000,14258000,15364000,15729000,15877000,8337000,6312000,1358000,1409000,4152000,12064000,17561000,21228000,14714000,10508000,9486000,5987000,9005000,19624000,32547000,28306000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1689000,4092000,16118000,23669000,- -
61,Total Liabilities,33300000,21700000,17900000,16000000,15500000,15100000,13200000,49300000,40000000,49100000,64700000,88100000,86200000,92200000,257000000,403731000,187831000,162020000,168029000,189279000,247006000,214919000,267633000,129165000,165600000,211150000,268158000,283643000,293397000,183317000,90705000,95560000,135585000,132272000,179201000,147095000,214317000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,400000,400000,400000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,423000,423000,433000
64,Retained Earnings,-28700000,-27100000,25200000,-23200000,-21600000,-19800000,-18100000,- -,1500000,4300000,5400000,10700000,16000000,17900000,23900000,32198000,27081000,27985000,30117000,37460000,53541000,62253000,77327000,69646000,71686000,78040000,98567000,123743000,142570000,145382000,140395000,139197000,135004000,134228000,138440000,135329000,143040000
65,Other Comprehensive Income/Loss,-12000000,-12300000,-12100000,-11600000,-11200000,-11400000,-11900000,-13000000,-14200000,-15600000,-21100000,-25400000,-30400000,-36200000,-38600000,-44635000,-50289000,-53115000,-56342000,-59605000,-58965000,- -,-70828000,-83277000,-90355000,-94148000,-106812000,-106403000,-120568000,- -,-153521000,-144323000,-96914000,-94818000,-95198000,- -,- -
66,Other Total Stockholders Equity,32800000,33200000,- -,33100000,35600000,35700000,37400000,21800000,23000000,24500000,31000000,37100000,42100000,48000000,50300000,56328000,61982000,64808000,68035000,71298000,70658000,- -,82521000,94970000,102048000,105841000,118505000,118096000,132261000,11693000,165214000,156016000,108607000,106766000,107976000,13340000,16913000
67,Total Stockholders Equity,-7900000,-6200000,-4300000,-1700000,2800000,4500000,7400000,8800000,10300000,13200000,15700000,22800000,28100000,30100000,36000000,44313000,39196000,40100000,42232000,49575000,65656000,74368000,89442000,81761000,83801000,90155000,110682000,135858000,154685000,157497000,152510000,151312000,147119000,146598000,151641000,149092000,160386000
68,Total Liabilities And Stockholders Equity,25400000,15500000,13600000,14300000,18300000,19600000,20600000,58100000,50300000,62300000,80400000,110900000,114300000,122300000,293000000,448044000,227027000,202120000,210261000,238854000,312662000,289287000,357075000,210926000,249401000,301305000,378840000,419501000,448082000,340814000,243215000,246872000,282704000,278870000,330842000,296187000,374703000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25400000,15500000,13600000,14300000,18300000,19600000,20600000,58100000,50300000,62300000,80400000,110900000,114300000,122300000,293000000,448044000,227027000,202120000,210261000,238854000,312662000,289287000,357075000,210926000,249401000,301305000,378840000,419501000,448082000,340814000,243215000,246872000,282704000,278870000,330842000,296187000,374703000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2178/0000950129-96-000442-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217805000008/0000002178-05-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217806000013/0000002178-06-000013-index.htm,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217808000011/0000002178-08-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217809000007/0000002178-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217810000008/0000002178-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217811000009/0000002178-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217812000010/0000002178-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217813000014/0000002178-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217814000010/0000002178-14-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217816000064/0000002178-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217817000019/0000002178-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217818000009/0000002178-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217819000011/0000002178-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217820000013/0000002178-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217821000034/0000002178-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217822000033/0000002178-22-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2100000,1100000,- -,2300000,1900000,1800000,1800000,4200000,1500000,3000000,1200000,5600000,5700000,2300000,6400000,8840000,-4569000,1452000,3102000,8608000,17641000,10483000,17056000,-5572000,4149000,8631000,22931000,27791000,21610000,6523000,-1275000,3943000,-482000,2945000,8207000,995000,19424000
74,Depreciation and Amortization,2300000,1900000,- -,1600000,1200000,1300000,1600000,1400000,1500000,2200000,7600000,6200000,5900000,8600000,6100000,6745000,6726000,5565000,5665000,6572000,7060000,9485000,11384000,13373000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16641000,18573000,19797000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,400000,800000,1500000,200000,2500000,1700000,900000,900000,1157000,1492000,-3075000,710000,393000,- -,412000,- -,- -,1072000,3699000,7308000,5378000,3161000,-6151000,-4843000,-857000,-3840000,936000,2085000,6389000,-1401000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000,478000,643000,854000
77,Change in Working Capital,- -,500000,- -,1000000,800000,700000,-300000,300000,100000,2200000,5400000,-1800000,2200000,8500000,13206000,-2272000,958000,1694000,2803000,3532000,-4113000,15364000,-9013000,-3187000,1606000,8893000,9603000,21087000,2781000,13998000,10104000,9643000,-9764000,-18576000,-14782000,17559000,-3325000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36515000,-34257000,-45487000,-4820000,-4770000,99749000,72594000,-15368000,-34935000,36350000,-8373000,-5162000,-37984000
79,Inventory,- -,- -,- -,- -,-200000,100000,-200000,-1300000,1500000,-300000,-1100000,-1700000,-200000,-3200000,-13200000,-13978000,25449000,3413000,-1229000,-5072000,-320000,3742000,-6826000,569000,-1053000,669000,-5598000,-9579000,606000,14135000,5810000,-5399000,878000,-10587000,-3628000,4751000,394000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43069000,40521000,47662000,10474000,7809000,-104887000,-87404000,6984000,44790000,-10252000,31795000,-61116000,-2000
81,Other Working Capital,-200000,300000,- -,1300000,2100000,2800000,2500000,2800000,2900000,5100000,10500000,8700000,10900000,19400000,32606000,30334000,31292000,32986000,35789000,39321000,35208000,50572000,41559000,38372000,39978000,48871000,58474000,79561000,82342000,96340000,106444000,116087000,106323000,87747000,72965000,90524000,87199000
82,Other Non-Cash Items,-4400000,-3500000,- -,-4900000,-600000,-2400000,2100000,-4800000,-200000,-2700000,-9100000,-1300000,300000,-8000000,-8006000,1672000,-28162000,13058000,-3187000,-16615000,-2306000,-7729000,-10226000,9025000,15458000,15705000,15973000,238000,16424000,32763000,21491000,-5785000,40182000,45454000,34270000,-88158000,45677000
