,https://roic.ai/company/EQC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122206000,84079000,77401000,80301000,63156000,104292000,52745000,-63000,102221000,233639000,30166000,276064000,494150000,452341000,-16309000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1455,0.1006,0.0911,0.1012,0.0693,0.1029,0.0596,-0.0001,0.1430,0.4666,0.0886,1.4012,3.8651,6.8249,-0.2812
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395000,773000,735000,550000,1347000,3207000,2634000,3191000,2364000,745000,500000,3156000,1284000,248000,-120000
23,Net Income,200000,6100000,7700000,7900000,14300000,22100000,27200000,33400000,49919000,64236000,73254000,114000000,144516000,113862000,142272000,82804000,106763000,114446000,162829000,164984000,250580000,124255000,244645000,164674000,135409000,109984000,-95421000,-177060000,24012000,99857000,232894000,29656000,272813000,492680000,451294000,-16189000
24,Net Income ratio,1.0000,0.5648,0.4074,0.3405,0.4347,0.5046,0.5585,0.5912,0.5759,0.5701,0.6095,0.5458,0.4053,0.2663,0.3513,0.2101,0.2560,0.2286,0.2699,0.2321,0.3149,0.1479,0.2928,0.1938,0.1707,0.1206,-0.0942,-0.1999,0.0279,0.1397,0.4652,0.0871,1.3847,3.8536,6.8091,-0.2791
25,EPS,0.12,3.40,3.08,3.04,3.56,4.04,4.08,3.88,3.80,4.32,4.44,4.96,4.84,3.44,4.32,2.04,2.44,2.00,2.64,2.40,3.80,1.12,3.44,2.04,1.26,0.81,-1.81,-1.97,-0.19,0.56,1.64,0.17,2.17,3.97,3.64,-0.13
26,EPS Diluted,0.12,3.40,3.08,3.04,3.56,4.04,4.08,3.88,3.80,4.32,4.44,4.96,4.84,3.44,4.32,2.04,2.44,2.00,2.64,2.40,3.76,1.12,3.44,2.04,1.14,0.81,-1.81,-1.97,-0.19,0.56,1.62,0.17,2.15,3.90,3.56,-0.13
27,Weighted Average Shares Outstanding,1666667,1794118,2500000,2500000,4016854,5470297,6666667,8608247,13184500,14806750,16563750,23042000,29966750,32960750,32984250,32563250,32204250,34067500,44039250,49457750,52491250,53590250,56617000,56055000,64703000,77428000,83750000,112378000,125163000,128621000,125474000,124125000,122314000,122091000,121786000,122190000
28,Weighted Average Shares Outstanding Diluted,1666667,1794118,2500000,2500000,4016854,5470297,6666667,8608247,13184500,14806750,16563750,23042000,29966750,32960750,32984250,32563250,32204250,34067500,44039250,49457750,54131000,60888500,63915250,63353250,72001000,84726000,83750000,112378000,125163000,129437000,126768000,125129000,123385000,126260000,126606000,122190000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803649/000090873795000026/0000908737-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/803649/000090873796000067/0000908737-96-000067-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803649/000110465904007410/a04-3254_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465905010698/a05-1828_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465906015845/a06-1982_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465907015333/a07-5534_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465908013945/a08-2559_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000104746909002103/0001047469-09-002103-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746910001165/0001047469-10-001165-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746911001393/a2202190z10-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000104746912001632/0001047469-12-001632-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746913001551/0001047469-13-001551-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746914001585/a2218525z10-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000162828015000849/eqc12311410-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364916000024/0000803649-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364917000006/0000803649-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364918000007/0000803649-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364919000033/0000803649-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364920000038/0000803649-20-000038-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364921000023/0000803649-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364922000026/0000803649-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,59766000,18640000,21853000,22355000,15643000,13206000,92681000,50555000,12384000,11526000,21961000,19445000,17783000,19879000,15518000,18204000,194040000,192763000,102219000,222449000,379058000,1802729000,2094674000,2351693000,2400803000,2795642000,2987225000,2800998000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,59766000,18640000,21853000,22355000,15643000,13206000,92681000,50555000,12384000,11526000,21961000,19445000,17783000,19879000,15518000,18204000,194040000,192763000,102219000,222449000,379058000,1802729000,2094674000,2351693000,2400803000,2795642000,2987225000,2800998000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,4712000,7895000,11612000,20455000,36229000,36683000,38335000,46847000,63105000,83973000,113504000,145385000,172566000,197967000,196839000,194358000,191237000,217592000,253394000,223769000,248101000,174676000,152031000,93436000,51089000,19554000,14702000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135961000,5082000,205215000,188458000,595632000,17715000,32245000,6532000,106585000,3298000,5003000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348523000,390359000,615570000,544071000,1041850000,644874000,2009650000,2253237000,2551714000,2455190000,2820199000,3001927000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,633513000,722356000,928818000,1857354000,2786671000,2549485000,2386008000,2373347000,2806513000,3597934000,4379721000,4848680000,5261692000,5498750000,5689456000,5439260000,5506997000,6310062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427756000,255812000,198287000,88760000,48281000,23847000,275000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427756000,255812000,198287000,88760000,48281000,23847000,275000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264087000,260208000,207804000,194297000,- -,- -,- -,158822000,171464000,177477000,184711000,517991000,- -,- -,- -,276928000,249602000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174716000,519700000,343917000,7033096000,4830781000,4918478000,3145962000,2224557000,1384456000,825705000,499178000,275744000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5772798000,6198161000,6831456000,7645563000,5604584000,5116765000,3234722000,2272838000,1685231000,1075582000,499178000,275744000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,840206000,999677000,1229522000,2135963000,3064057000,2953308000,2900143000,2805426000,3206340000,4013244000,4813330000,5327167000,5575949000,5859332000,6016099000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3081383000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,840206000,999677000,1229522000,2135963000,3064057000,2953308000,2900143000,2805426000,3206340000,4013244000,4813330000,5327167000,5575949000,5859332000,6016099000,6121321000,6588520000,7447026000,8189634000,6646434000,5761639000,5244372000,4526075000,4236945000,3530772000,3319377000,3277671000,3081383000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,13948000,13304000,- -,- -,- -,- -,- -,- -,- -,- -,- -,49623000,89441000,- -,111917000,123823000,158272000,194184000,165855000,162204000,123587000,95395000,69220000,62368000,37153000,20588000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,216513000,- -,- -,- -,- -,- -,- -,- -,- -,412000000,175000000,256000000,- -,- -,648693000,47348000,65940000,70179000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36724000,26819000,28015000,13228000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27988000,37653000,- -,- -,- -,- -,- -,- -,- -,- -,2928000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-194813000,30352000,15996000,81800000,104200000,80900000,67900000,51700000,64100000,-287200000,-23900000,-94500000,178377000,92759000,-443593000,80326000,31521000,35074000,15297000,38119000,- -,- -,- -,1840000,- -,7534000,10991000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,21700000,44300000,29300000,81800000,104200000,80900000,67900000,51700000,64100000,124800000,151100000,161500000,228000000,182200000,205100000,239591000,249272000,301178000,209481000,203974000,162204000,123587000,95395000,71060000,62368000,44687000,34507000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,269759000,492175000,792982000,1139273000,1349890000,1302950000,1097217000,1222286000,1910027000,2371449000,2531032000,2409939000,2784559000,2251298000,2992650000,3206066000,3577331000,4349821000,3005410000,2207665000,1710324000,1141667000,848578000,274955000,25691000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35700000,27553000,31359000,27340000,18460000,11076000,9451000,3127000,2928000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,216500000,41000,25000,-5082000,-7173000,10000,50000,-17000,-6286000,-33227000,-16449000,-10832000,-12739000,-10359000,638602000,14000,1492000,- -,93164000,45911000,40828000,14634000,10106000,5736000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,216500000,269800000,492200000,787900000,1132100000,1349900000,1303000000,1097200000,1216000000,1876800000,2355000000,2520200000,2397200000,2774200000,2889900000,2992664000,3207558000,3577331000,4478685000,3078874000,2279852000,1752298000,1170233000,865390000,284406000,28818000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1575803000,- -,2699841000,2606031000,2194426000,- -,- -,4710036000,- -,- -,5548449000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26113000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39843000,38987000,41833000,41607000,47839000,47348000,65940000,70179000,69304000,33935000,26784000,4296000,1946000,1001000,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,238167000,314085000,521474000,869703000,1236264000,1430841000,1370931000,1148926000,1280067000,2001593000,2506136000,2681681000,2625181000,2956449000,3094987000,3232255000,3456830000,3878509000,4688166000,3282848000,2442056000,1875885000,1265628000,936450000,346774000,73505000,34507000,26113000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,482935000,482935000,482935000,482935000,803134000,682364000,682364000,682364000,513285000,778676000,633661000,633661000,384657000,384654000,119263000,119263000,119263000,119263000,119263000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,574000,657000,669000,988000,1315000,1319000,1319000,1288000,1288000,1428000,1773000,2099000,2101000,2254000,2277000,2239000,721000,837000,838000,1184000,1296000,1263000,1240000,1242000,1216000,1219000,1215000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,168808000,233044000,306298000,420298000,564814000,-442857000,-437791000,-483070000,-503703000,-543915000,-572460000,-618707000,-628928000,-705190000,-701515000,-722250000,2372337000,2482321000,-1115036000,-1446402000,-1500287000,-1428354000,-1223025000,-1201357000,-1243310000,-1189736000,-1178432000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-39570000,-55855000,-76921000,-111669000,-169811000,-106859000,-160015000,-219140000,- -,-363015000,-454411000,-549208000,-668460000,-808216000,-862958000,2547000,-3103502000,-3307396000,565000,-38331000,-53216000,-3687000,-208000,-95000,-342000,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,472227000,507746000,478002000,956643000,1431475000,2070864000,2125699000,2357422000,1945753000,2434218000,2849357000,3328367000,3442921000,3731671000,3800944000,2924166000,3348849000,3614079000,3585400000,4213474000,4487133000,4414611000,4363177000,4380313000,4305974000,4313831000,4294632000,3055270000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,602039000,685592000,708048000,1266260000,1827793000,1522467000,1529212000,1656500000,1926273000,2011651000,2307194000,2645486000,2950768000,2902883000,2921112000,2889066000,3131690000,3568517000,3105428000,3363586000,3319583000,3368487000,3260447000,3299366000,3182801000,3244577000,3236678000,3055270000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,840206000,999677000,1229522000,2135963000,3064057000,2953308000,2900143000,2805426000,3206340000,4013244000,4813330000,5327167000,5575949000,5859332000,6016099000,6121321000,6588520000,7447026000,7793594000,6646434000,5761639000,5244372000,4526075000,4235816000,3529575000,3318082000,3271185000,3081383000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396040000,- -,- -,- -,- -,1129000,1197000,1295000,6486000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,840206000,999677000,1229522000,2135963000,3064057000,2953308000,2900143000,2805426000,3206340000,4013244000,4813330000,5327167000,5575949000,5859332000,6016099000,6121321000,6588520000,7447026000,8189634000,6646434000,5761639000,5244372000,4526075000,4236945000,3530772000,3319377000,3277671000,3081383000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/803649/000090873795000026/0000908737-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/803649/000090873796000067/0000908737-96-000067-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803649/000110465904007410/a04-3254_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465905010698/a05-1828_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465906015845/a06-1982_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465907015333/a07-5534_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465908013945/a08-2559_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000104746909002103/0001047469-09-002103-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746910001165/0001047469-10-001165-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746911001393/a2202190z10-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000104746912001632/0001047469-12-001632-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746913001551/0001047469-13-001551-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746914001585/a2218525z10-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000162828015000849/eqc12311410-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364916000024/0000803649-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364917000006/0000803649-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364918000007/0000803649-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364919000033/0000803649-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364920000038/0000803649-20-000038-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364921000023/0000803649-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364922000026/0000803649-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,7900000,14300000,22100000,27200000,33400000,49919000,64236000,73254000,114000000,144516000,113862000,142272000,82804000,106763000,114446000,162829000,164984000,250580000,124255000,244645000,164674000,135409000,109984000,-95421000,-177060000,24012000,99857000,232894000,29656000,272813000,492680000,451294000,-16189000
74,Depreciation and Amortization,- -,- -,- -,4600000,5100000,7300000,9600000,9100000,14724000,22849000,22106000,39330000,60764000,73382000,63813000,65187000,68750000,85224000,102116000,120822000,140250000,197317000,155026000,170547000,196943000,183188000,268254000,256477000,238147000,201474000,138337000,92152000,48700000,28685000,20096000,15235000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15425000,18530000,21414000,19697000,14426000,13215000,15442000
77,Change in Working Capital,- -,- -,- -,2200000,- -,- -,- -,-21700000,- -,-22600000,15000000,-52500000,-22400000,23300000,13000000,16200000,-12400000,-60700000,-26300000,-10400000,-66500000,45800000,-22900000,314032000,32155000,173305000,20198000,503286000,-355206000,1403393000,271779000,322812000,-87832000,382690000,191908000,-2967420000
78,Accounts Receivable,- -,- -,- -,- -,- -,-100000,700000,-6200000,-3300000,-1600000,-7800000,-5300000,-37100000,-8700000,-25222000,-17530000,-14815000,-30740000,-65929000,-66063000,-39598000,-44628000,- -,- -,- -,- -,-38801000,-57039000,-54773000,-47472000,-23921000,-23708000,-19886000,-13099000,-2119000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,1100000,2400000,-2700000,1200000,1600000,12600000,-100000,8500000,46800000,23400000,13300000,485000,-16297000,11271000,17249000,19696000,53000,18142000,-3860000,- -,- -,- -,- -,6034000,-14333000,10389000,-4643000,4663000,- -,- -,- -,- -,-410000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-21700000,-21700000,-44300000,-29300000,-81800000,-104200000,-80900000,-67900000,-51700000,-64100000,-124800000,-151100000,-161500000,-228000000,-182200000,-205100000,108932000,141087000,314392000,334590000,837876000,482670000,1886063000,2157842000,2480654000,2392822000,2775512000,2967420000,- -
82,Other Non-Cash Items,- -,- -,- -,-2000000,7400000,-9800000,5000000,25800000,13691000,16816000,-12042000,84870000,11464000,13076000,-64587000,-19000000,15730000,61234000,-29441000,-49452000,-37951000,-95798000,-78329000,-352249000,-112373000,-203145000,83752000,-348052000,293439000,-1538605000,-498524000,-366038000,-163842000,-819536000,-643185000,2969041000
83,Cash Provided by Operating Activities,- -,- -,- -,12700000,26800000,19600000,41800000,46600000,78334000,81301000,98318000,185700000,194344000,223620000,154498000,145191000,178843000,200204000,209204000,225954000,286379000,271574000,298442000,297004000,252134000,263332000,276783000,234651000,200392000,181544000,163016000,99996000,89536000,98945000,33328000,16109000
