,https://roic.ai/company/ASGN,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0420,0.0550,0.0656,0.0682,0.0694,0.0635,0.0770,0.0852,0.0907,0.0987,0.0876,0.0489,-0.3904,-0.2190,-0.0004,0.0384,0.0164,0.0307,0.0113,-0.0226,0.0407,0.0344,0.0518,0.0415,0.0473,0.0398,0.0600,0.0464,0.0445,0.0507,0.1022
25,EPS,0.07,0.10,0.14,0.18,0.22,0.26,0.39,0.52,0.66,0.87,0.75,0.48,-3.22,-1.68,-0.00,0.41,0.27,0.53,0.13,-0.27,0.66,0.91,1.58,1.44,1.87,1.83,3.01,3.02,3.31,3.80,7.78
26,EPS Diluted,0.07,0.10,0.12,0.17,0.21,0.26,0.38,0.50,0.65,0.83,0.74,0.48,-3.22,-1.68,-0.00,0.39,0.26,0.53,0.13,-0.27,0.64,0.89,1.55,1.42,1.84,1.81,2.97,2.98,3.28,3.76,7.69
27,Weighted Average Shares Outstanding,15714286,18000000,17857143,18333333,19545455,21796000,21122000,21720000,21906000,22193000,22645000,25413000,25422000,25231000,25464000,27155000,35138000,35487000,36011000,36429000,36876000,46739000,53481000,53437000,52259000,53192000,52503000,52333000,52800000,52700000,52700000
28,Weighted Average Shares Outstanding Diluted,15714286,18000000,20833333,19411765,20476190,21796000,22062000,22604000,22372000,23080000,23037000,25542000,25422000,25231000,25464000,28052000,35771000,35858000,36335000,36429000,37758000,47826000,54555000,54294000,53005000,53747000,53205000,53061000,53400000,53300000,53300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890564/000095014802000841/0000950148-02-000841-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000104746903011233/0001047469-03-011233-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000104746904008012/0001047469-04-008012-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000110465905011537/0001104659-05-011537-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000110465906017317/0001104659-06-017317-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000110465907019957/0001104659-07-019957-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000104746908002947/0001047469-08-002947-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056409000011/0000890564-09-000011-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890564/000089056414000014/0000890564-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056415000009/0000890564-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056416000069/0000890564-16-000069-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056417000046/0000890564-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056418000022/0000890564-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056419000019/0000890564-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056420000007/0000890564-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056421000005/0000890564-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056422000007/0000890564-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,2700000,2000000,1500000,3400000,11100000,18300000,27700000,24120000,51202000,65694000,31990000,35134000,20787000,20487000,105483000,37764000,46271000,25974000,18409000,17739000,27479000,37350000,31714000,23869000,27044000,36667000,41826000,95200000,274400000,529600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,11151000,11920000,22886000,2000000,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1100000,2700000,2000000,1500000,3400000,11100000,18300000,27700000,35271000,63122000,88580000,33990000,35134000,22787000,20487000,105483000,37764000,46271000,25974000,18409000,17739000,27479000,37350000,31714000,23869000,27044000,36667000,41826000,95200000,274400000,529600000
34,Net Receivables,3100000,3800000,7200000,10100000,8300000,12300000,15300000,18600000,23861000,27679000,22905000,30296000,26456000,32753000,35892000,39126000,78840000,78370000,50173000,62518000,93925000,243003000,283424000,317489000,368046000,400859000,441238000,628836000,662500000,678700000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,300000,500000,400000,1000000,4800000,4700000,7400000,5500000,3930000,4181000,4838000,7238000,6314000,3106000,8248000,11316000,13248000,20082000,18045000,14719000,19450000,23275000,29100000,36701000,22293000,9621000,21618000,15710000,33800000,41300000,- -
37,Total Current Assets,4500000,7000000,9600000,12600000,16500000,28100000,41000000,51800000,63062000,94982000,116323000,71524000,67904000,58646000,64627000,155925000,129852000,144723000,94192000,95646000,131114000,293757000,349874000,385904000,414208000,437524000,499523000,686372000,791500000,994400000,- -
38,PP&E,700000,900000,700000,1400000,1500000,2300000,2600000,2700000,3510000,3338000,2804000,7377000,9175000,11697000,9639000,9116000,13898000,17495000,15618000,15818000,18057000,26862000,38591000,46819000,53196000,56942000,57996000,79123000,168300000,154300000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17109000,193552000,202777000,202814000,199720000,229234000,498356000,574948000,570697000,874906000,873513000,894095000,1421076000,1486900000,1618400000,- -
40,Intangible Assets,- -,- -,- -,700000,600000,600000,500000,1200000,1468000,1693000,1542000,137313000,52808000,19798000,18152000,667000,40964000,31428000,25523000,25170000,30206000,263840000,288455000,262569000,417925000,377730000,352766000,488691000,476500000,487900000,- -
41,Intangible Assets,- -,- -,- -,700000,600000,600000,500000,1200000,1468000,1693000,1542000,137313000,52808000,19798000,18152000,17776000,234516000,234205000,228337000,224890000,259440000,762196000,863403000,833266000,1292831000,1251243000,1246861000,1909767000,1963400000,2106300000,2057400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000,- -,- -,- -,- -,865000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,700000,1400000,3100000,900000,800000,6300000,3700000,5543000,4128000,1933000,2094000,2241000,1287000,3313000,6414000,5427000,5315000,4762000,2054000,15206000,9326000,8185000,7072000,6958000,5749000,12589000,18200000,23000000,- -
45,Total Non-Current Assets,700000,900000,1400000,3500000,5200000,3800000,3900000,10200000,8678000,10574000,8928000,146623000,64077000,33736000,29078000,31070000,254828000,257127000,249270000,245470000,279551000,804264000,911320000,888270000,1353099000,1315143000,1310606000,2001479000,2149900000,2283600000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3502800000
47,Total Assets,5200000,7900000,11000000,16100000,21700000,31900000,44900000,62000000,71740000,105556000,125251000,218147000,131981000,92382000,93705000,186995000,384680000,401850000,343462000,341116000,410665000,1098021000,1261194000,1274174000,1767307000,1752667000,1810129000,2687851000,2941400000,3278000000,3502800000
48,Accounts Payable,300000,200000,200000,300000,400000,500000,400000,300000,1067000,701000,557000,1453000,2420000,3623000,2604000,2867000,5718000,5204000,4164000,5392000,4112000,6810000,8370000,8876000,9132000,6266000,6870000,43125000,39200000,39800000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,10000000,10000000,18250000,- -,- -,- -,- -,25800000,29400000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1496000,- -,- -,13418000,340000,673000,1260000,1229000,3411000,1200000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1736000,1351000,1107000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,- -
52,Other Current Liabilities,1000000,800000,1000000,2000000,2200000,3700000,5200000,7500000,7226000,9564000,8179000,11724000,11119000,14066000,14394000,17557000,45125000,48327000,27790000,34658000,47297000,101917000,150651000,138440000,151218000,156233000,159847000,265124000,275900000,239000000,- -
53,Total Current Liabilities,1300000,1000000,1200000,2300000,2600000,4200000,5600000,7800000,8293000,10265000,10472000,14528000,14646000,17689000,16998000,20424000,50843000,53531000,31954000,45050000,56409000,118727000,169021000,165566000,160350000,162499000,166717000,308249000,340900000,416200000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135913000,125913000,77913000,61750000,81750000,416588000,389813000,396875000,755508000,640355000,575213000,1100424000,1032300000,1033400000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2572000,1159000,- -,- -,- -,1664000,1997000,5697000,10156000,14856000,23009000,49584000,67909000,61539000,74282000,69436000,79833000,98700000,108700000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,291000,222000,70000,627000,3226000,1895000,1237000,4673000,10907000,6974000,12643000,9416000,5116000,6592000,7372000,17283000,93300000,132600000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,2572000,1450000,222000,70000,627000,140803000,129805000,84847000,76579000,107513000,446571000,452040000,474200000,822163000,721229000,652021000,1197540000,1224300000,1274700000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1637400000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101500000,92300000,- -
61,Total Liabilities,1300000,1000000,1200000,2300000,2600000,4300000,5600000,7800000,8293000,10265000,10472000,17100000,16096000,17911000,17068000,21051000,191646000,183336000,116801000,121629000,163922000,565298000,621061000,639766000,982513000,883728000,818738000,1505789000,1565200000,1690900000,1637400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,108000,231000,238000,279000,279000,280000,286000,367000,382000,388000,363000,365000,370000,530000,539000,514000,530000,527000,521000,525000,500000,500000,- -
64,Retained Earnings,1100000,2900000,5400000,8700000,13000000,18800000,27100000,38400000,52850000,72097000,89137000,101385000,19585000,-22808000,-22904000,-11860000,-2755000,16215000,5090000,-5021000,19034000,61687000,146199000,154562000,249567000,315573000,428419000,586125000,744700000,926300000,- -
65,Other Comprehensive Income/Loss,-700000,-1000000,-1400000,-1800000,-1300000,-2000000,-2600000,-3500000,-4268000,-3389000,-4686000,840000,1480000,2075000,993000,1562000,2190000,800000,1126000,4000,-2038000,-1205000,116000,-4570000,-8162000,-10023000,-3639000,-6342000,-7000000,-1000000,- -
66,Other Total Stockholders Equity,3500000,5000000,5800000,6900000,7400000,10800000,14800000,19300000,14757000,26352000,30090000,98543000,94541000,94924000,98262000,175875000,193217000,201111000,220082000,224139000,229377000,471711000,493279000,483902000,542859000,562862000,566090000,601754000,638000000,661300000,- -
67,Total Stockholders Equity,3900000,6900000,9800000,13800000,19100000,27600000,39300000,54200000,63447000,95291000,114779000,201047000,115885000,74471000,76637000,165944000,193034000,218514000,226661000,219487000,246743000,532723000,640133000,634408000,784794000,868939000,991391000,1182062000,1376200000,1587100000,1865400000
68,Total Liabilities And Stockholders Equity,5200000,7900000,11000000,16100000,21700000,31900000,44900000,62000000,71740000,105556000,125251000,218147000,131981000,92382000,93705000,186995000,384680000,401850000,343462000,341116000,410665000,1098021000,1261194000,1274174000,1767307000,1752667000,1810129000,2687851000,2941400000,3278000000,3502800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5200000,7900000,11000000,16100000,21700000,31900000,44900000,62000000,71740000,105556000,125251000,218147000,131981000,92382000,93705000,186995000,384680000,401850000,343462000,341116000,410665000,1098021000,1261194000,1274174000,1767307000,1752667000,1810129000,2687851000,2941400000,3278000000,3502800000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890564/000095014802000841/0000950148-02-000841-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000104746903011233/0001047469-03-011233-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000104746904008012/0001047469-04-008012-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000110465905011537/0001104659-05-011537-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000110465906017317/0001104659-06-017317-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000110465907019957/0001104659-07-019957-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000104746908002947/0001047469-08-002947-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056409000011/0000890564-09-000011-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890564/000089056414000014/0000890564-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056415000009/0000890564-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056416000069/0000890564-16-000069-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056417000046/0000890564-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056418000022/0000890564-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056419000019/0000890564-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056420000007/0000890564-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056421000005/0000890564-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/890564/000089056422000007/0000890564-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,1800000,2500000,3300000,4300000,5600000,8300000,11300000,14462000,19247000,17040000,12248000,-81800000,-42393000,-96000,11044000,9322000,18970000,4707000,-9897000,24297000,42653000,84512000,77184000,97650000,97201000,157675000,157706000,174700000,200300000,409900000
74,Depreciation and Amortization,200000,400000,400000,400000,500000,700000,800000,900000,1158000,1392000,1537000,5143000,7150000,6598000,6263000,5629000,22078000,14542000,11806000,7996000,2346000,18016000,29882000,38296000,51569000,62249000,58604000,94975000,91200000,89700000,- -
75,Deferred Income Tax,- -,-100000,-100000,-100000,-200000,-400000,-300000,-300000,-785000,-339000,-379000,-2632000,-2071000,2144000,- -,-3906000,-4163000,9000,4287000,2274000,3748000,4970000,4111000,15948000,11549000,12834000,-5140000,11215000,18900000,1300000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5007000,7749000,6927000,9706000,14411000,16199000,22018000,27024000,24044000,31488000,39300000,32300000,- -
77,Change in Working Capital,-100000,2800000,2400000,1900000,3600000,10000000,11500000,8600000,10769000,29948000,21134000,-48855000,-3738000,-12301000,6672000,87872000,-56492000,12183000,-28954000,-11642000,24109000,100325000,5823000,39485000,33520000,21167000,57781000,45317000,72477000,127600000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28024000,-10532000,-25079000,-18604000,-20155000,-45361000,-53775000,-43289000,-50461000,-90668000,-24300000,-12900000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-695000,1032000,-1812000,1987000,-1580000,-1693000,1684000,-2236000,315000,23320000,-7300000,800000,- -
81,Other Working Capital,3200000,6000000,8400000,10300000,13900000,23900000,35400000,44000000,54769000,84717000,105851000,56996000,53258000,40957000,47629000,135501000,79009000,91192000,62238000,50596000,74705000,175030000,180853000,220338000,253858000,275025000,332806000,378123000,450600000,578200000,- -
82,Other Non-Cash Items,-100000,-3800000,-3200000,-2900000,-5000000,-10200000,-12000000,-8900000,-15494000,-28842000,-13851000,54498000,86707000,39616000,-9576000,-86145000,62913000,-10346000,45160000,30381000,-38008000,-134973000,-28215000,-91090000,-98813000,-24225000,-96518000,-53250000,-83377000,-26400000,-216200000
83,Cash Provided by Operating Activities,1100000,1100000,2000000,2600000,3200000,5700000,8300000,11600000,10110000,21406000,25481000,20402000,6248000,-6336000,3263000,14494000,33658000,35358000,42013000,26861000,23419000,40697000,110524000,96022000,117493000,196250000,196446000,287451000,313200000,424800000,193700000
84,CAPEX,-300000,-600000,-300000,-900000,-600000,-1200000,-1200000,-2000000,-1849000,-1111000,-855000,-4659000,-4894000,- -,-3825000,-4111000,-5899000,-8201000,-4673000,-6302000,-8411000,-14354000,-16531000,-19729000,-24689000,-27138000,-24265000,-28701000,-32700000,-32600000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-360000,-360000,- -,-66315000,- -,-6765000,- -,-430000,-232273000,-9013000,-10239000,-10458000,-32818000,-347743000,-110700000,- -,-552777000,- -,-25940000,-760216000,-116400000,-186200000,- -
86,Purchases of Investments,- -,- -,-11600000,-4400000,-4300000,-1000000,-7300000,-10300000,-10777000,-7121000,-26645000,-2000000,- -,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,9300000,2900000,2600000,3600000,4900000,7600000,5455000,5195000,17093000,24886000,2000000,12800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-100000,-300000,-1100000,- -,- -,100000,- -,-403000,242000,-453000,-2676000,3115000,-115000,4085000,-284000,4148000,-499000,1084000,179000,109000,-869000,58876000,169000,115936000,5154000,88000,184000,- -,-200000,246500000
89,Cash Used for Investing Activites,-400000,-700000,-2900000,-3500000,-2300000,1400000,-3500000,-4700000,-7934000,-3155000,-10860000,-50764000,221000,5920000,-5740000,-4825000,-234024000,-17713000,-13828000,-16581000,-41120000,-362966000,-68355000,-19560000,-461530000,-21984000,-50117000,-788733000,-149100000,-219000000,246500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49221000,-81153000,-22231000,-174361000,-459700000,-148688000,-516125000,-129000000,-105000000,-286000000,-736200000,-65500000,- -
91,Common Stock Issued,- -,1200000,200000,500000,700000,1200000,2500000,2500000,2042000,8820000,7382000,5024000,290000,356000,3109000,73883000,2598000,1653000,555000,333000,2701000,8384000,7054000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-7812000,- -,-7509000,-3108000,-4552000,- -,- -,- -,-2297000,- -,-325000,-3955000,-2230000,- -,- -,-100049000,-1645000,-41096000,-60065000,- -,-20000000,-27900000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,- -,- -,-100000,300000,-500000,- -,- -,- -,- -,- -,-5729000,- -,- -,- -,1053000,131838000,-10056000,34000,68161000,39269000,497855000,420256000,167645000,855429000,-888000,26596000,793799000,645700000,64400000,-184400000
95,Cash Used/Provided by Financing Activities,-100000,1200000,200000,400000,1000000,700000,2500000,2500000,-5770000,8820000,-127000,-3813000,-4262000,356000,3109000,74936000,132139000,-8403000,-48957000,-16614000,17509000,331878000,-32390000,-81092000,337659000,-170984000,-138469000,507799000,-110500000,-29000000,-184400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,8000,11000,-2000,471000,937000,513000,-932000,391000,508000,-735000,475000,-1231000,-478000,131000,92000,-1006000,-1467000,-107000,1763000,-1358000,-200000,2400000,- -
