,https://roic.ai/company/SUP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,5100000,5700000,7100000,7700000,10700000,11600000,15900000,14000000,12300000,10600000,7900000,10300000,12100000,8800000,6900000,4768000,8780000,3984000,12354000,36718000,11950000,17049000,- -,22535000,22385000,58541000,33102000,18876000,21070000,15122000,8094000,3628000,28539000,18664000,12369000,9104000,3913000
57,Other Non-Current Liabilities,100000,400000,400000,500000,2600000,3400000,5900000,9100000,10900000,16900000,17200000,17900000,16500000,14800000,13400000,12555000,12180000,14258000,15024000,17203000,18747000,21666000,83753000,72210000,79420000,29881000,31064000,47242000,49825000,53820000,44061000,54938000,202379000,219798000,84688000,85727000,85378000
58,Total Non-Current Liabilities,11100000,34600000,35400000,49800000,81100000,78200000,75100000,67200000,57200000,50600000,30900000,30100000,29900000,24300000,20600000,17323000,20960000,18242000,27378000,53921000,30697000,38715000,83753000,94745000,101805000,88422000,64166000,66118000,70895000,68942000,52155000,58566000,910470000,899888000,708082000,720323000,691646000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6256000,4982000
61,Total Liabilities,35100000,68100000,70100000,97200000,140600000,148400000,167000000,130500000,133200000,157500000,112600000,106500000,95300000,115400000,107400000,92345000,92097000,115365000,110999000,141264000,141331000,151825000,179349000,156946000,168581000,158960000,132716000,132696000,170325000,140904000,126017000,144530000,1105529000,1078351000,899197000,951460000,923525000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144694000,144463000,160980000,179387000,199897000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,12920000,12966000,13287000,13384000,13310000,13305000,13305000,13317000,54634000,- -,- -,- -,71819000,75305000,81473000,88108000,89916000,89755000,87723000,93331000,95247000,103214000
64,Retained Earnings,20000000,19200000,27200000,30600000,43800000,36400000,29200000,54700000,91500000,142900000,190200000,230500000,278300000,315600000,355000000,407709000,451919000,517335000,576702000,605305000,582564000,548886000,527318000,484203000,372994000,407529000,457340000,457700000,468121000,438958000,427517000,433235000,393146000,391037000,258437000,-17323000,-47661000
65,Other Comprehensive Income/Loss,-16800000,-19900000,-24500000,-30000000,-37400000,-45000000,-51600000,-67600000,-84900000,-106900000,-132400000,-160200000,-183300000,-207000000,-225300000,-246051000,-264164000,-23442000,-26311000,-38586000,-40717000,-37097000,-28578000,-67244000,-56576000,-55722000,-65600000,-62614000,-60363000,-81425000,-101713000,-124925000,-89121000,-105495000,-100078000,-99446000,-125974000
66,Other Total Stockholders Equity,36800000,47900000,50900000,63800000,70800000,94600000,126400000,149600000,170300000,164200000,171400000,180800000,192400000,203400000,210200000,224741000,248020000,- -,28431000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144694000,-144463000,- -,- -,- -
67,Total Stockholders Equity,40000000,47200000,53600000,64400000,77200000,86000000,104000000,136700000,176900000,200200000,229200000,251100000,287400000,312000000,353100000,399319000,448741000,530431000,592206000,603264000,578148000,560188000,550573000,471593000,373272000,413482000,460515000,466905000,483063000,439006000,413912000,398226000,393780000,373265000,412670000,157865000,129476000
68,Total Liabilities And Stockholders Equity,75100000,115300000,123700000,161600000,217800000,234400000,271000000,267200000,310100000,357700000,341800000,357600000,382700000,427400000,460500000,491664000,540838000,645796000,703205000,744528000,719479000,712013000,729922000,628539000,541853000,572442000,593231000,599601000,653388000,579910000,539929000,542756000,1499309000,1451616000,1311867000,1109325000,1053001000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51943000,- -,- -,- -,1146000
70,Total Liabilities & Equity,75100000,115300000,123700000,161600000,217800000,234400000,271000000,267200000,310100000,357700000,341800000,357600000,382700000,427400000,460500000,491664000,540838000,645796000,703205000,744528000,719479000,712013000,729922000,628539000,541853000,572442000,593231000,599601000,653388000,579910000,539929000,542756000,1551252000,1451616000,1311867000,1109325000,1054147000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014895000135/0000950148-95-000135-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014802000713/v79868e10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/95552/000095014804000568/v97248e10vk.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95552/000009555213000009/0000095552-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555214000006/sup10k12312013.htm,https://www.sec.gov/Archives/edgar/data/95552/000009555215000015/sup10k12312014.htm,https://www.sec.gov/Archives/edgar/data/95552/000009555216000033/0000095552-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/95552/000009555217000003/0000095552-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312518084240/0001193125-18-084240-index.html,https://www.sec.gov/Archives/edgar/data/95552/000119312519067169/0001193125-19-067169-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459020007814/0001564590-20-007814-index.html,https://www.sec.gov/Archives/edgar/data/95552/000156459021011252/0001564590-21-011252-index.htm,https://www.sec.gov/Archives/edgar/data/95552/000156459022008510/0001564590-22-008510-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7200000,8500000,- -,13100000,16200000,12300000,18200000,28600000,45200000,56300000,53100000,46900000,55400000,52300000,70800000,79937000,55354000,78250000,73720000,44655000,-5836000,-9321000,9292000,-26053000,-94142000,51643000,67169000,30891000,22824000,8803000,23944000,41381000,-6203000,25961000,-96460000,-243561000,3754000
74,Depreciation and Amortization,- -,- -,- -,5400000,7400000,11500000,12400000,21500000,21700000,26600000,27700000,27300000,26900000,26700000,28500000,26920000,28388000,32605000,33577000,39281000,46468000,39137000,42925000,43712000,30779000,29093000,27538000,26362000,28466000,35582000,34530000,34261000,69335000,95056000,100722000,98178000,99635000
75,Deferred Income Tax,- -,- -,- -,-3000000,3600000,-1200000,3400000,-2100000,-3600000,1100000,-2200000,1900000,3900000,-4200000,-3500000,-209000,3825000,-4723000,11409000,8780000,-22808000,3009000,5890000,-9705000,39776000,8627000,-38704000,-12649000,5630000,-5771000,-9531000,-4669000,-3395000,-1048000,-3504000,7489000,-1958000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2380000,2373000,2251000,2072000,2685000,2315000,2807000,3618000,2576000,2131000,5716000,2374000,9479000
77,Change in Working Capital,- -,- -,- -,-400000,18800000,-23700000,41200000,-40300000,8800000,-39800000,5400000,19400000,-17400000,-100000,-11900000,-12960000,-23640000,-12858000,-30462000,-17962000,16753000,-11807000,12659000,28319000,5362000,-69323000,7474000,19341000,10742000,-34362000,3511000,3088000,-7258000,24415000,50001000,82204000,-59956000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4212000,-22136000,-11016000,21428000,9074000,-16184000,-14030000,8043000,4599000,42829000,26737000,28052000,-38233000
79,Inventory,- -,- -,- -,-5100000,2300000,-6500000,10300000,3600000,-2100000,-18100000,-9100000,6100000,5300000,1000000,1900000,-16852000,-4503000,-9133000,-1861000,-21455000,-16838000,-15568000,11037000,30148000,24064000,-25832000,4609000,-8345000,5716000,-9297000,11509000,-22339000,-1264000,-6125000,5262000,20921000,-26371000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3530000,5488000,- -,2684000,-2549000,-6109000,-1132000,15880000,1411000,-9132000,7479000,24523000,-1691000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4582000,3446000,-8499000,- -,- -,- -,2916000,-5077000,6366000,7164000,1504000,-12004000,-3157000,10523000,8708000,6339000
82,Other Non-Cash Items,-7200000,-8500000,- -,3200000,-400000,4800000,500000,1400000,600000,5800000,-300000,1000000,5800000,4900000,3200000,1966000,-4664000,2756000,-11662000,2357000,41924000,15112000,4092000,31599000,38172000,8165000,1932000,-256000,-1095000,5060000,4088000,812000,8655000,9601000,106367000,203437000,-6069000
83,Cash Provided by Operating Activities,- -,- -,- -,18300000,45600000,3700000,75700000,9100000,72700000,50000000,83700000,96500000,74600000,79600000,87100000,95654000,59263000,96030000,76582000,77111000,76501000,36130000,74858000,67872000,22327000,30578000,67660000,65761000,69252000,11627000,59349000,78491000,63710000,156116000,162842000,150121000,44885000
