,https://roic.ai/company/DIOD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,100000,200000,100000,- -,- -,300000,400000,900000,1100000,1100000,1700000,1900000,1600000,2300000,5073000,5634000,5771000,8249000,7102000,7867000,13043000,15749000,19572000,19425000,19955000,24543000,28923000,57865000,61805000,46103000,44438000,37328000,42446000,49950000,122657000,110413000
37,Total Current Assets,- -,6600000,8100000,9800000,6600000,- -,7000000,9100000,12000000,15900000,25900000,25200000,29100000,27400000,37600000,61390000,48943000,50938000,67833000,92086000,200732000,478846000,538009000,296760000,750619000,540752000,426798000,491410000,650085000,686805000,750551000,732782000,662324000,734838000,809959000,1023987000,1187672000
38,PP&E,- -,900000,900000,1400000,1800000,- -,1300000,1200000,1400000,1600000,1500000,4600000,5200000,13800000,20900000,45129000,44925000,44693000,47893000,60857000,68930000,95469000,123407000,174667000,162988000,200745000,225393000,243296000,322013000,309931000,439340000,401988000,459169000,446835000,469574000,530815000,582079000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25030000,25135000,56791000,68075000,68949000,67818000,87359000,84714000,81229000,132913000,129412000,134187000,132437000,141318000,158331000,149890000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,5318000,5090000,5090000,5090000,5090000,5090000,10669000,9643000,35928000,34892000,28770000,24197000,44337000,53571000,45029000,196409000,174876000,156445000,137935000,119523000,110591000,94550000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,5318000,5090000,5090000,5090000,5090000,5090000,35699000,34778000,92719000,102967000,97719000,92015000,131696000,138285000,126258000,329322000,304288000,290632000,270372000,260841000,268922000,244440000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,- -,320625000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3672000,3205000,1816000,7970000,8466000,5428000,3241000,2745000,- -,1574000,26863000,36819000,28237000,32550000,45120000,56047000,40580000,31652000,17516000,57841000,21256000
44,Other Non-Current Assets,- -,300000,100000,300000,300000,- -,300000,- -,300000,- -,2000000,2700000,4100000,4200000,2900000,1113000,628000,1084000,1163000,1798000,297000,6697000,6930000,6627000,5324000,5760000,21995000,16842000,23638000,23613000,36697000,33447000,35968000,42674000,81494000,97892000,159048000
45,Total Non-Current Assets,- -,1200000,1000000,1700000,2100000,- -,1600000,1200000,1700000,1600000,3500000,7300000,9300000,18000000,24800000,51560000,54315000,54072000,55962000,75715000,88783000,143293000,168356000,597383000,271279000,305798000,366266000,428653000,512173000,492352000,850479000,795770000,826349000,791533000,829425000,955470000,1006823000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7800000,9100000,11500000,8700000,- -,8600000,10300000,13700000,17500000,29400000,32500000,38400000,45400000,62400000,112950000,103258000,105010000,123795000,167801000,289515000,622139000,706365000,894143000,1021898000,846550000,793064000,920063000,1162258000,1179157000,1601030000,1528552000,1488673000,1526371000,1639384000,1979457000,2194495000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1600000,1900000,2200000,3500000,6100000,4600000,5500000,4200000,9500000,11718000,9247000,12400000,17482000,21210000,26540000,52149000,55145000,47561000,62448000,70057000,66063000,64072000,89212000,79390000,86463000,87600000,108001000,117808000,122148000,168045000,221254000
49,Short-Term Debt,- -,800000,2100000,1400000,1400000,- -,100000,1100000,100000,- -,- -,1000000,1000000,2900000,5500000,22610000,14836000,9015000,14482000,9846000,7759000,2943000,1490000,7814000,300070000,128959000,8000000,7629000,5814000,1064000,10282000,14356000,21644000,37867000,59904000,173235000,46663000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000,2641000,15412000,14975000,13515000,23620000,27804000,28984000,35575000,52575000,49376000,50199000,75783000,31955000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,900000,1600000,1800000,1400000,- -,600000,700000,3100000,3000000,6500000,2200000,4000000,3600000,6700000,9771000,5062000,8693000,8715000,11459000,19782000,28400000,29573000,31553000,33792000,52349000,35648000,59670000,94639000,106435000,113324000,113932000,151945000,124698000,132065000,203798000,203117000
53,Total Current Liabilities,- -,1700000,3700000,3200000,2800000,- -,2300000,3700000,5400000,6500000,12600000,7800000,10500000,10700000,21700000,44099000,29145000,30108000,40679000,42515000,54081000,83492000,86208000,86928000,396310000,251365000,109711000,131371000,189665000,186889000,210069000,215888000,281590000,280373000,314117000,545078000,471034000
54,Long-Term Debt,- -,1600000,1400000,1000000,1600000,- -,600000,500000,300000,300000,200000,4300000,3200000,6000000,4700000,15997000,21164000,12583000,6750000,7833000,4865000,237115000,235815000,400646000,124797000,3393000,2857000,44131000,182799000,140787000,455941000,413126000,247492000,186143000,64401000,315244000,287888000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7743000,- -,- -,- -,- -,- -,32276000,28213000,25176000,17993000,16333000,34598000,32230000
57,Other Non-Current Liabilities,- -,- -,- -,200000,200000,- -,100000,100000,- -,- -,100000,-100000,- -,100000,- -,- -,- -,2495000,2334000,2172000,1618000,2578000,7580000,24789000,42124000,38900000,31781000,24121000,46117000,41314000,59747000,50858000,60497000,64430000,91750000,68414000,100619000
58,Total Non-Current Liabilities,- -,1600000,1400000,1200000,1800000,- -,700000,600000,300000,300000,300000,4200000,3200000,6600000,4700000,15997000,21164000,15078000,9084000,10005000,6483000,239693000,243395000,425435000,174664000,42293000,34638000,68252000,228916000,182101000,547964000,492197000,333165000,268566000,172484000,418256000,420737000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2495000,2334000,2172000,1618000,1477000,1331000,2231000,1952000,1660000,1082000,789000,384000,- -,- -,- -,- -,- -,41140000,37877000,33528000
61,Total Liabilities,- -,3300000,5100000,4400000,4600000,- -,3000000,4300000,5700000,6800000,12900000,12000000,13700000,17300000,26400000,60096000,50309000,45186000,49763000,52520000,60564000,323185000,329603000,512363000,570974000,293658000,144349000,199623000,418581000,368990000,758033000,708085000,614755000,548939000,486601000,963334000,891771000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,6134000,6151000,6195000,6502000,7260000,16839000,17308000,26782000,27586000,29153000,29775000,30423000,30674000,31120000,31729000,32404000,32919000,33727000,34454000,35111000,35692000,36195000
64,Retained Earnings,- -,2700000,2100000,2700000,-200000,- -,-300000,100000,1700000,4000000,8700000,11700000,16600000,19300000,24900000,39758000,39882000,45684000,55779000,81330000,114659000,162802000,220504000,259479000,248174000,324907000,375644000,399796000,426328000,490006000,514280000,530215000,532687000,636708000,789958000,888046000,1116809000
65,Other Comprehensive Income/Loss,- -,-400000,-500000,-700000,-900000,- -,-900000,-1000000,-800000,-900000,-1200000,-1800000,-2600000,-3300000,-5700000,-10496000,-18429000,-478000,-241000,575000,-688000,608000,900000,-48439000,-48311000,-45080000,-35762000,-33856000,-44374000,-68402000,-84416000,-112666000,-83480000,-101846000,-108139000,-73606000,-50517000
66,Other Total Stockholders Equity,- -,2200000,2400000,5100000,5200000,- -,6800000,6900000,7100000,7600000,9000000,10600000,10700000,12100000,12800000,17458000,25345000,6278000,9410000,22983000,94664000,113449000,121412000,133701000,211618000,231842000,263455000,280571000,289668000,314942000,333077000,325551000,348570000,362147000,389494000,113688000,134755000
67,Total Stockholders Equity,- -,4500000,4000000,7100000,4100000,- -,5600000,6000000,8000000,10700000,16500000,20500000,24700000,28100000,36000000,52854000,52949000,57679000,71450000,112148000,225474000,294167000,369598000,372327000,440634000,541444000,633760000,677185000,702742000,768275000,795345000,776019000,831504000,931463000,1106424000,963820000,1237242000
68,Total Liabilities And Stockholders Equity,- -,7800000,9100000,11500000,8700000,- -,8600000,10300000,13700000,17500000,29400000,32500000,38400000,45400000,62400000,112950000,103258000,102865000,121213000,164668000,286038000,617352000,699201000,884690000,1011608000,835102000,778109000,876808000,1121323000,1137265000,1553378000,1484104000,1446259000,1480402000,1593025000,1927154000,2129013000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2145000,2582000,3133000,3477000,4787000,7164000,9453000,10290000,11448000,14955000,43255000,40935000,41892000,47652000,44448000,42414000,45969000,46359000,52303000,65482000
70,Total Liabilities & Equity,- -,7800000,9100000,11500000,8700000,- -,8600000,10300000,13700000,17500000,29400000,32500000,38400000,45400000,62400000,112950000,103258000,105010000,123795000,167801000,289515000,622139000,706365000,894143000,1021898000,846550000,793064000,920063000,1162258000,1179157000,1601030000,1528552000,1488673000,1526371000,1639384000,1979457000,2194495000
71,SEC Link,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29002/0000950150-96-000215-index.html,- -,https://www.sec.gov/Archives/edgar/data/29002/000095015098000485/0000950150-98-000485-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29002/000114420404002937/0001144204-04-002937-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000114420405007853/0001144204-05-007853-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000114420406010106/0001144204-06-010106-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000114420407010863/0001144204-07-010863-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000114420408012660/0001144204-08-012660-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000095014809000023/0000950148-09-000023-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000095012310019255/0000950123-10-019255-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000095012311019939/0000950123-11-019939-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000119312512084918/0001193125-12-084918-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000119312513080181/0001193125-13-080181-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000119312514073365/0001193125-14-073365-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459015001204/0001564590-15-001204-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459016014609/0001564590-16-014609-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459017002599/0001564590-17-002599-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459018002396/0001564590-18-002396-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459019003715/0001564590-19-003715-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459020004248/0001564590-20-004248-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459021007008/0001564590-21-007008-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000095017022001438/0000950170-22-001438-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,200000,200000,400000,1600000,2400000,4700000,3000000,5100000,2700000,5600000,14895000,124000,5802000,10095000,25551000,33329000,48143000,59657000,38975000,7513000,76733000,50737000,24152000,26532000,63678000,24274000,15935000,-1805000,104021000,153250000,98088000,228763000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,200000,300000,300000,200000,300000,300000,700000,1000000,1200000,2800000,5003000,8670000,9747000,11073000,13173000,16228000,21065000,28333000,41647000,56122000,51796000,61438000,64193000,73607000,76771000,80100000,98965000,95681000,104644000,109584000,108007000,122435000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,300000,500000,-1300000,-1195000,-2978000,646000,270000,- -,-584000,929000,1664000,- -,- -,-4040000,-21916000,-13051000,-1959000,-3611000,1484000,-15978000,25326000,3674000,9904000,-14456000,21459000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10136000,10936000,13051000,13703000,14398000,13551000,14104000,18970000,14029000,18609000,20736000,20535000,25260000,33205000
77,Change in Working Capital,- -,- -,- -,- -,- -,-2800000,900000,700000,1200000,2800000,3900000,4100000,1200000,-1900000,-800000,1391000,2507000,1032000,6324000,22417000,97080000,248703000,56447000,-241969000,144477000,-64922000,27700000,42952000,100381000,39496000,40566000,-23588000,-136160000,73731000,41377000,-16933000,-39184000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24880000,-26758000,-23604000,-4406000,-6360000,-18241000,1810000,-9710000,533000,22261000,-29478000,-30775000,-10501000,-52721000
79,Inventory,- -,- -,- -,- -,- -,-400000,200000,-1100000,-1400000,-1200000,-9300000,3000000,-300000,-300000,-2800000,-9277000,13975000,2102000,-1248000,-6074000,-2373000,-16283000,-4662000,-20336000,12340000,-30388000,-20187000,-5492000,14860000,-2750000,-2165000,5176000,-17199000,-2154000,-11325000,-4560000,-43038000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11239000,14414000,7032000,-3584000,-7440000,-8594000,-9512000,-8617000,2640000,17313000,9977000,3513000,7422000,55628000
