,https://roic.ai/company/SSP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,905100000,945800000,984200000,1052600000,1134300000,1123600000,1089500000,1015767000,995904000,849222000,916000000,991100000,1178500000,1274700000,1374270000,1162694000,1197056000,1507662000,1710104000,2070399000,1811847000,2307016000,1791362000,794201000,731416000,730435000,813923000,798176000,828217000,735444000,815276000,840526000,1075008000,1337270000,1539039000,1863253000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5062000,3369000,4767000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),46000000,- -,55400000,42900000,43800000,38700000,34200000,27286000,16616000,11223000,9600000,- -,47100000,- -,51934000,39197000,28301000,31593000,30878000,38791000,55965000,37982000,10941000,2554000,3666000,1640000,12246000,10448000,8494000,15099000,18039000,26697000,36184000,80596000,92994000,165164000
14,Depreciation and Amortization,43400000,59000000,64800000,-148400000,-153400000,-112100000,-121900000,120878000,116267000,66590000,69400000,77600000,103800000,103900000,109165000,99127000,62768000,68087000,71827000,91204000,115099000,158566000,46972000,45172000,44894000,40069000,49332000,47762000,49070000,51952000,58581000,56343000,63987000,86986000,107155000,161922000
15,EBITDA,165000000,164300000,257000000,59800000,-2600000,56900000,90200000,385449000,342491000,285723000,322400000,352800000,375200000,354900000,432642000,375909000,394985000,508469000,602289000,570442000,743545000,372192000,-723337000,-189051000,179909000,16171000,118751000,49888000,70125000,-48181000,182585000,49880000,138650000,146707000,524938000,520987000
16,EBITDA ratio,0.1592,0.1432,0.2116,0.0472,-0.0020,0.0438,0.0714,0.3197,0.2807,0.2773,0.2874,0.2841,0.2579,0.2259,0.2516,0.2616,0.2572,0.2712,0.2779,0.2269,0.2976,0.1479,-0.7220,-0.2356,0.2316,0.0222,0.1314,0.0611,0.0807,-0.0673,0.1936,0.0577,0.1147,0.1030,0.2826,0.2281
17,Operating Income,131600000,201200000,230300000,213800000,162300000,176000000,173900000,190004000,224047000,181156000,205900000,250900000,276100000,296600000,345089000,274437000,338608000,365336000,457399000,443491000,686230000,210124000,-789570000,-217745000,31578000,-23373000,73900000,13636000,29137000,-82872000,126650000,-1903000,129959000,65537000,303488000,400745000
18,Operating Income ratio,0.1269,0.1754,0.1896,0.1688,0.1252,0.1354,0.1376,0.1576,0.1837,0.1758,0.1835,0.2020,0.1898,0.1888,0.2007,0.1910,0.2205,0.1949,0.2110,0.1764,0.2747,0.0835,-0.7882,-0.2714,0.0406,-0.0321,0.0818,0.0167,0.0335,-0.1158,0.1343,-0.0022,0.1075,0.0460,0.1634,0.1755
19,Total Other Income Expenses (Gains),-56000000,-95900000,-93500000,-48500000,-55300000,-45700000,26400000,47281000,-6451000,-9688000,10200000,24300000,-51800000,-45600000,-73546000,-36852000,-34692000,57726000,85254000,28880000,3974000,44523000,-147422000,-1482000,-1868000,-2315000,-16993000,-22208000,-16883000,-16520000,-20685000,-30173000,-55784000,-86412000,-94468000,-213657000
20,Income Before Tax,75600000,105300000,136800000,165300000,107000000,130300000,200300000,237285000,217596000,171468000,216100000,275200000,224300000,251000000,271543000,237585000,303916000,423062000,542653000,472371000,690204000,254647000,-936992000,-219227000,29710000,-25688000,56907000,-8572000,12254000,-99392000,105965000,-32076000,74175000,-20875000,209020000,187088000
21,Income Before Tax Ratio,0.0729,0.0918,0.1126,0.1305,0.0825,0.1003,0.1585,0.1968,0.1784,0.1664,0.1926,0.2216,0.1542,0.1597,0.1579,0.1653,0.1979,0.2257,0.2504,0.1879,0.2763,0.1012,-0.9353,-0.2732,0.0382,-0.0353,0.0630,-0.0105,0.0141,-0.1389,0.1124,-0.0371,0.0614,-0.0147,0.1125,0.0819
22,Income Tax expense (Gain),41500000,60100000,66700000,76000000,59000000,65700000,94000000,108599000,86925000,74532000,86000000,117500000,93100000,104100000,108090000,99622000,115619000,137974000,195773000,191294000,219261000,177265000,-304660000,-27172000,840000,-10001000,16985000,-7848000,2032000,-32755000,38730000,-20054000,18098000,-2497000,55456000,71189000
23,Net Income,34100000,45200000,70100000,89300000,48000000,64600000,83900000,128686000,122683000,133378000,157400000,157700000,131200000,146900000,163453000,137963000,188297000,270815000,303811000,249153000,353220000,-1621000,-476590000,-209605000,130509000,-15537000,40188000,-474000,10529000,-82477000,67235000,-13106000,20381000,-18378000,269333000,122712000
24,Net Income ratio,0.0329,0.0394,0.0577,0.0705,0.0370,0.0497,0.0664,0.1067,0.1006,0.1294,0.1403,0.1270,0.0902,0.0935,0.0951,0.0960,0.1226,0.1444,0.1402,0.0991,0.1414,-0.0006,-0.4757,-0.2612,0.1680,-0.0213,0.0445,-0.0006,0.0121,-0.1152,0.0713,-0.0152,0.0169,-0.0129,0.1450,0.0537
25,EPS,0.68,0.91,1.41,1.79,0.96,1.30,1.68,2.58,2.42,2.51,2.94,2.94,2.48,2.84,3.14,2.63,3.56,5.06,5.61,4.59,6.48,-0.03,-8.81,-3.89,2.04,-0.27,0.70,-0.01,0.18,-1.06,0.80,-0.16,0.25,-0.23,3.23,1.49
26,EPS Diluted,0.68,0.91,1.41,1.79,0.96,1.30,1.68,2.58,2.42,2.51,2.94,2.90,2.43,2.79,3.09,2.60,3.51,4.98,5.52,4.53,6.42,-0.03,-8.81,-3.89,2.04,-0.27,0.70,-0.01,0.18,-1.07,0.80,-0.16,0.24,-0.23,3.21,1.36
27,Weighted Average Shares Outstanding,49840835,49840835,49840835,49840835,49840835,49840835,49840835,49878245,50800363,53244657,53537361,53639402,53010048,51816527,52138066,52557281,52989947,53510613,54092945,54426278,54407612,54337945,54100000,53902000,56857000,57217000,54907000,56516000,56342000,77373000,83339000,82052000,81369000,80826000,81418000,82482000
28,Weighted Average Shares Outstanding Diluted,49840835,49840835,49840835,49840835,49840835,49840835,49840835,49878245,50800363,53244657,54141360,54473175,53991716,52652277,52897358,53164879,53745946,54312612,54972278,55144944,54949611,54755611,54100000,53902000,56857000,57217000,54907000,56516000,57239000,77373000,83639000,82052000,81927000,80826000,81831000,90131000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832428/000083242895000001/0000832428-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/832428/000083242896000009/0000832428-96-000009-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832428/000095010902001720/0000950109-02-001720-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000102140803004837/0001021408-03-004837-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312504038916/0001193125-04-038916-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312505050451/0001193125-05-050451-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312506056651/0001193125-06-056651-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312507044344/0001193125-07-044344-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312508043666/0001193125-08-043666-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095015209002072/0000950152-09-002072-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012310021571/0000950123-10-021571-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012311021254/0000950123-11-021254-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012312004632/0000950123-12-004632-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242813000014/0000832428-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242814000012/0000832428-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242815000043/0000832428-15-000043-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242816000080/0000832428-16-000080-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242817000010/0000832428-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242818000020/0000832428-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242819000007/0000832428-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242820000007/0000832428-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242821000019/0000832428-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242822000009/0000832428-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,60400000,22600000,17800000,19100000,11600000,27100000,19000000,18606000,16609000,30021000,10100000,14300000,14400000,10500000,14112000,17419000,15508000,18227000,12279000,19243000,30450000,31632000,5376000,14405000,204924000,127889000,242642000,221255000,158459000,108061000,134352000,148699000,107114000,32968000,576021000,66223000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,25013000,- -,- -,- -,- -,- -,- -,- -,- -,8637000,12800000,2872000,44831000,21130000,12180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14404000,- -
33,Cash and Short-Term Investments,60400000,22600000,17800000,19100000,11600000,27100000,19000000,18606000,16609000,55034000,10100000,14300000,14400000,10500000,14112000,17419000,15508000,18227000,20916000,32043000,33322000,76463000,26506000,26585000,204924000,127889000,242642000,221255000,158459000,108061000,134352000,148699000,107114000,32968000,590425000,66223000
34,Net Receivables,147600000,149900000,158000000,197600000,168900000,177300000,154600000,150671000,155917000,174695000,182700000,218300000,217800000,280800000,289583000,236311000,280352000,336681000,404852000,493075000,535901000,562909000,169010000,192569000,130164000,165322000,128565000,140139000,136567000,176527000,193035000,245365000,300572000,443218000,441380000,573298000
35,Inventory,24000000,19300000,21000000,22800000,26500000,31500000,34500000,23748000,22201000,11459000,11800000,13700000,15000000,16200000,17802000,7345000,24234000,29946000,40773000,43317000,11524000,- -,11952000,6989000,7859000,6783000,6437000,6543000,6183000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,77100000,80500000,76300000,78900000,91400000,89000000,79800000,79970000,102301000,93057000,104400000,132800000,160100000,169800000,202488000,189583000,179917000,177583000,176757000,228134000,294572000,287421000,78068000,32032000,19632000,25416000,25056000,34117000,27451000,18042000,18508000,211470000,63331000,101258000,1062380000,62760000
37,Total Current Assets,309100000,272300000,273100000,318400000,298400000,324900000,287900000,272995000,297028000,334245000,309000000,379100000,407300000,477300000,523985000,450658000,500011000,562437000,643298000,796569000,875319000,926793000,285536000,258175000,362579000,325410000,402700000,402054000,328660000,302630000,345895000,605534000,471017000,577444000,2094185000,702281000
38,PP&E,484900000,508700000,537200000,552400000,561300000,650500000,718700000,712726000,713763000,425959000,430700000,480000000,478700000,485600000,502041000,394677000,456789000,478462000,496241000,526221000,511738000,559673000,427138000,423570000,389650000,387972000,374931000,353797000,343389000,271047000,260731000,209995000,237927000,514544000,395391000,581766000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1961051000,1666206000,215432000,- -,- -,28591000,27966000,27966000,106261000,585787000,616780000,755949000,834013000,1271855000,1203212000,2913384000
40,Intangible Assets,767900000,691300000,691500000,658700000,573000000,643100000,612000000,552989000,616113000,495773000,590500000,1237500000,1193300000,1191700000,1209132000,1203191000,1400926000,1174431000,1614835000,2038979000,309243000,454165000,26464000,23635000,23107000,151858000,144783000,137862000,189260000,479187000,467896000,425975000,478953000,1061791000,975444000,1910311000
41,Intangible Assets,767900000,691300000,691500000,658700000,573000000,643100000,612000000,552989000,616113000,495773000,590500000,1237500000,1193300000,1191700000,1209132000,1203191000,1400926000,1174431000,1614835000,2038979000,2270294000,2120371000,241896000,23635000,23107000,180449000,172749000,165828000,295521000,1064974000,1084676000,1181924000,1312966000,2333646000,2178656000,4823695000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10660000,10652000,23214000,21115000,16567000,9530000,13856000,14221000,7699000,7162000,8553000,14404000,21632000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112405000,57132000,30844000,32705000,36095000,8733000,37946000,13640000,9075000,20076000,9141000,11802000,- -,- -
44,Other Non-Current Assets,49000000,56700000,54500000,35200000,88800000,89900000,91600000,137772000,96056000,399575000,133400000,184200000,265800000,365600000,337708000,595234000,512611000,794072000,670475000,670859000,686983000,398455000,22001000,13176000,10710000,20778000,23178000,19151000,17685000,14713000,13775000,104320000,91848000,115364000,176750000,528940000
45,Total Non-Current Assets,1301800000,1256700000,1283200000,1246300000,1223100000,1383500000,1422300000,1403487000,1425932000,1321307000,1154600000,1901700000,1937800000,2042900000,2048881000,2193102000,2370326000,2446965000,2781551000,3236059000,3469015000,3078499000,803440000,528173000,464963000,645118000,628068000,564076000,704071000,1378230000,1382478000,1524014000,1659044000,2983909000,2765201000,5956033000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1610900000,1529000000,1556300000,1564700000,1521500000,1708400000,1710200000,1676482000,1722960000,1655552000,1463600000,2280800000,2345100000,2520200000,2572866000,2643760000,2870337000,3009402000,3424849000,4032628000,4344334000,4005292000,1088976000,786348000,827542000,970528000,1030768000,966130000,1032731000,1680860000,1728373000,2129548000,2130061000,3561353000,4859386000,6658314000
48,Accounts Payable,- -,- -,- -,89800000,87000000,122200000,98700000,79334000,131592000,78538000,88600000,90400000,101400000,116200000,114275000,81690000,113579000,98639000,106484000,92163000,77945000,78935000,55889000,27049000,34091000,17697000,23329000,16529000,21004000,31606000,26670000,23647000,26919000,29153000,68139000,83931000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,78698000,90000000,171300000,267600000,267600000,212828000,613878000,75171000,- -,- -,- -,- -,- -,- -,- -,- -,15900000,15900000,2000000,2000000,6656000,6571000,5656000,3000000,10612000,10612000,18612000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33191000,26072000,26373000,26240000,28633000,29948000,8508000,7122000,7353000,11459000,11678000,14101000,20000000
52,Other Current Liabilities,206900000,238500000,194500000,122500000,112200000,167900000,170600000,208989000,127232000,108883000,144800000,168300000,163500000,193700000,205873000,209943000,237323000,232320000,268862000,256261000,321323000,267867000,131695000,75020000,78321000,65078000,80564000,65959000,81586000,73053000,63768000,174132000,156681000,248037000,265604000,389337000
53,Total Current Liabilities,206900000,238500000,194500000,212300000,199200000,290100000,269300000,288323000,258824000,266119000,323400000,430000000,532500000,577500000,532976000,905511000,426073000,330959000,375346000,348424000,399268000,346802000,187584000,135260000,138484000,125048000,146033000,113121000,134538000,119823000,104131000,210788000,198059000,299480000,358456000,511880000
54,Long-Term Debt,757400000,595500000,486600000,421000000,367600000,435000000,375700000,151535000,110431000,2177000,31800000,601900000,501800000,501800000,501781000,109966000,649801000,509117000,532686000,825775000,766381000,504663000,61166000,35916000,850000,196100000,180200000,198000000,196000000,392487000,386614000,687619000,685764000,1904418000,2923359000,3243285000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20620000,36770000,44945000,47977000
56,Deferred Tax Liabilities,123000000,132300000,149600000,173400000,186900000,188100000,119700000,175308000,158868000,82229000,64000000,88100000,115600000,143900000,129932000,146989000,142630000,192418000,264419000,358198000,334223000,362234000,- -,- -,- -,- -,12534000,10670000,6741000,3492000,17740000,644000,25531000,19833000,85844000,356777000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,201681000,111369000,113601000,99800000,111800000,126500000,132700000,130367000,129394000,136368000,154377000,156277000,121891000,140598000,199302000,245259000,181921000,96676000,132379000,152091000,96602000,175519000,264075000,273953000,293012000,273922000,402917000,283517000,527961000
58,Total Non-Current Liabilities,880400000,727800000,636200000,594400000,554500000,623100000,495400000,528524000,380668000,198007000,195600000,801800000,743900000,778400000,762080000,386349000,928799000,855912000,953382000,1305864000,1241202000,1066199000,306425000,217837000,97526000,328479000,344825000,305272000,378260000,660054000,678307000,981275000,1005837000,2363938000,3337665000,4176000000
59,Other Liabilities,1835000000,1531400000,1369900000,1302900000,1238200000,1367300000,1203200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123739000,42097000,113892000
61,Total Liabilities,1161500000,1042100000,928200000,920800000,882900000,1034300000,977100000,816847000,639492000,464126000,519000000,1231800000,1276400000,1355900000,1295056000,1291860000,1354872000,1186871000,1328728000,1654288000,1640470000,1413001000,494009000,353097000,236010000,453527000,490858000,418393000,512798000,779877000,782438000,1192063000,1203896000,2663418000,3696121000,4687880000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409939000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,748000,799000,801000,- -,- -,- -,800000,787000,792000,801000,810000,1632000,1637000,1636000,1630000,538000,546000,583000,543000,555000,560000,570000,838000,819000,816000,807000,810000,817000,826000
64,Retained Earnings,382300000,419900000,467300000,521800000,546800000,581600000,638100000,733978000,823204000,916602000,676500000,782300000,870300000,973400000,1093138000,1183595000,1324027000,1546522000,1787221000,1930994000,2145875000,1971848000,200827000,-10946000,111641000,96105000,136293000,116893000,118693000,-174038000,-94077000,-90061000,-86229000,-120981000,131778000,205118000
65,Other Comprehensive Income/Loss,-200500000,-238800000,-289200000,-342300000,-407000000,-464200000,-490100000,- -,- -,- -,-351200000,-380800000,-428600000,-468600000,-485988000,-405021000,-443447000,-454270000,-475171000,-12000000,2000000,2000000,-134000000,-91000000,-82000000,-98000000,-117000000,-81000000,-126000000,-90000000,-93000000,-103000000,-95000000,-99000000,-100119,-73909000
66,Other Total Stockholders Equity,267600000,305800000,450000000,464400000,498800000,556700000,585100000,124909000,259465000,274023000,619300000,647500000,627000000,658700000,669873000,572534000,634084000,729469000,782439000,366448000,431924000,474883000,524204000,531295000,558678000,515873000,517848000,509320000,525013000,1164183000,1132193000,1129098000,1106587000,1117106000,1030770119,1428460000
67,Total Stockholders Equity,449400000,486900000,628100000,643900000,638600000,674100000,733100000,859635000,1083468000,1191426000,944600000,1049000000,1068700000,1164300000,1277810000,1351900000,1515465000,1822531000,2096121000,2287079000,2581435000,2450361000,591569000,429895000,588902000,514521000,537696000,545773000,518276000,900983000,945935000,936853000,926165000,897935000,1163265000,1970434000
68,Total Liabilities And Stockholders Equity,1610900000,1529000000,1556300000,1564700000,1521500000,1708400000,1710200000,1676482000,1722960000,1655552000,1463600000,2280800000,2345100000,2520200000,2572866000,2643760000,2870337000,3009402000,3424849000,3941367000,4221905000,3863362000,1085578000,782992000,824912000,968048000,1028554000,964166000,1031074000,1680860000,1728373000,2128916000,2130061000,3561353000,4859386000,6658314000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91261000,122429000,141930000,3398000,3356000,2630000,2480000,2214000,1964000,1657000,- -,- -,632000,- -,- -,- -,- -
70,Total Liabilities & Equity,1610900000,1529000000,1556300000,1564700000,1521500000,1708400000,1710200000,1676482000,1722960000,1655552000,1463600000,2280800000,2345100000,2520200000,2572866000,2643760000,2870337000,3009402000,3424849000,4032628000,4344334000,4005292000,1088976000,786348000,827542000,970528000,1030768000,966130000,1032731000,1680860000,1728373000,2129548000,2130061000,3561353000,4859386000,6658314000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832428/000083242895000001/0000832428-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/832428/000083242896000009/0000832428-96-000009-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832428/000095010902001720/0000950109-02-001720-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000102140803004837/0001021408-03-004837-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312504038916/0001193125-04-038916-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312505050451/0001193125-05-050451-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312506056651/0001193125-06-056651-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312507044344/0001193125-07-044344-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312508043666/0001193125-08-043666-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095015209002072/0000950152-09-002072-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012310021571/0000950123-10-021571-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012311021254/0000950123-11-021254-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012312004632/0000950123-12-004632-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242813000014/0000832428-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242814000012/0000832428-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242815000043/0000832428-15-000043-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242816000080/0000832428-16-000080-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242817000010/0000832428-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242818000020/0000832428-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242819000007/0000832428-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242820000007/0000832428-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242821000019/0000832428-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242822000009/0000832428-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,89300000,48000000,64600000,83900000,128686000,122683000,133378000,157400000,157700000,131200000,146900000,163453000,137963000,188297000,270815000,303811000,249153000,353220000,-1621000,-476590000,-209605000,130509000,-15537000,40188000,-474000,10529000,-82477000,67235000,-13106000,20381000,-18378000,269333000,122712000
74,Depreciation and Amortization,- -,- -,- -,-148400000,-153400000,-112100000,-121900000,120878000,116267000,66590000,69400000,77600000,103800000,103900000,109165000,99127000,62768000,68087000,71827000,91204000,115099000,158566000,46972000,45172000,44894000,40069000,49332000,47762000,49070000,51952000,58581000,56343000,63987000,86986000,107155000,161922000
75,Deferred Income Tax,- -,- -,- -,19600000,4300000,16000000,16900000,37308000,2743000,3814000,13700000,28900000,10300000,14800000,-3119000,14068000,44932000,53263000,61495000,52370000,17319000,45785000,-319754000,45271000,25822000,9786000,8297000,-5065000,7499000,-26831000,39267000,-16084000,19354000,-4665000,80641000,9725000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7131000,8892000,7197000,8223000,7148000,7966000,10125000,11127000,15872000,10741000,14912000,17859000,25963000
77,Change in Working Capital,- -,- -,- -,-3400000,-64400000,-16200000,-33928000,53532000,29922000,-82526000,-36500000,-74300000,25000000,91209000,-445862000,528791000,157540000,36474000,180193000,27906000,103940000,-482039000,24963000,101180000,-23733000,56305000,32266000,-94811000,-11315000,58957000,152982000,-121788000,5006000,1457765000,-1535389000,-4221000
