,https://roic.ai/company/MKC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0694,0.0686,0.0585,0.0661,0.0819,0.0961,0.1020,0.1136,0.1160,0.1172,0.1082,0.0874,0.0931,0.0984,0.0971,0.1065,0.1014,0.1197,0.1302,0.1317,0.1325,0.0992,0.1215,0.1185,0.1463,0.1528,0.1461,0.1441,0.1335,0.1421,0.1276,0.1453,0.1453,0.1670,0.1791,0.1784,0.1607
19,Total Other Income Expenses (Gains),-14700000,-15700000,-14200000,-19900000,-20000000,-19100000,-21900000,-28900000,-20300000,-111700000,-51900000,-84000000,-17600000,-26400000,-31500000,-22000000,-50200000,-42900000,-25500000,-38900000,-47800000,-46600000,-51800000,-38700000,-50400000,-47100000,-48900000,-52200000,-51100000,-48600000,-52200000,-51800000,-107600000,-162000000,-138500000,-118000000,-119300000
20,Income Before Tax,45900000,51200000,48900000,58400000,82000000,108000000,123700000,138300000,160200000,87000000,149200000,67400000,150100000,158700000,163400000,204100000,190400000,234800000,270000000,293800000,295700000,223000000,302400000,337800000,416500000,462700000,491400000,526100000,499400000,554400000,496200000,589200000,594800000,741300000,819200000,881500000,895800000
21,Income Before Tax Ratio,0.0526,0.0525,0.0453,0.0493,0.0658,0.0816,0.0866,0.0940,0.1029,0.0513,0.0803,0.0389,0.0833,0.0844,0.0814,0.0961,0.0802,0.1012,0.1190,0.1163,0.1141,0.0821,0.1037,0.1063,0.1305,0.1387,0.1329,0.1311,0.1211,0.1307,0.1155,0.1336,0.1230,0.1371,0.1532,0.1574,0.1418
22,Income Tax expense (Gain),18100000,21500000,18300000,22800000,29500000,38600000,42800000,53000000,60500000,33800000,53700000,23900000,52700000,54900000,60100000,66600000,62900000,74300000,83400000,89000000,96700000,64700000,92200000,100600000,133000000,118000000,142600000,139800000,133600000,145900000,131300000,153000000,151300000,-157300000,157400000,174900000,192700000
23,Net Income,27800000,29700000,30600000,36300000,52500000,69400000,80900000,95200000,73100000,61100000,97600000,41900000,98400000,103800000,103300000,137500000,146600000,179800000,210800000,214500000,214900000,202200000,230100000,255800000,299800000,370200000,374200000,407800000,389000000,437900000,401600000,472300000,477400000,933400000,702700000,747400000,755300000
24,Net Income ratio,0.0318,0.0304,0.0284,0.0307,0.0421,0.0525,0.0567,0.0647,0.0470,0.0361,0.0525,0.0242,0.0546,0.0552,0.0515,0.0648,0.0618,0.0775,0.0929,0.0849,0.0829,0.0744,0.0789,0.0805,0.0939,0.1109,0.1012,0.1016,0.0943,0.1032,0.0935,0.1071,0.0988,0.1726,0.1314,0.1334,0.1195
25,EPS,0.00,0.00,0.01,0.01,0.05,0.05,0.06,0.14,0.11,0.09,0.30,0.13,0.33,0.35,0.36,0.50,0.53,0.65,0.76,0.79,0.80,0.77,0.89,0.99,1.15,1.40,1.41,1.53,1.47,1.69,1.57,1.86,1.89,3.55,2.65,2.80,2.82
26,EPS Diluted,0.00,0.00,0.01,0.01,0.05,0.05,0.06,0.14,0.11,0.09,0.30,0.13,0.33,0.35,0.36,0.49,0.52,0.63,0.74,0.76,0.78,0.75,0.86,0.97,1.14,1.38,1.40,1.52,1.46,1.67,1.55,1.84,1.86,3.50,2.62,2.78,2.80
27,Weighted Average Shares Outstanding,392000000,385920000,373344000,360448000,331664000,319464000,318728000,321232000,323996000,324824000,324724000,322307692,302769231,292394366,284965517,275000000,275305164,278759690,279205298,273248408,268625000,264313725,258539326,258383838,261600000,265800000,265400000,265400000,264200000,259800000,256000000,253200000,253600000,262929577,265200000,266500000,267400000
28,Weighted Average Shares Outstanding Diluted,392000000,385920000,373344000,360448000,331664000,319464000,318728000,321232000,323996000,324824000,324724000,322307692,302769231,294468085,288951049,277777778,280574163,285396825,284864865,282236842,275512821,269600000,266011561,263711340,264600000,269400000,268600000,268600000,267200000,262000000,258400000,256000000,256800000,266685714,268200000,269100000,270000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63754/000006375495000006/0000063754-95-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/000006375497000007/0000063754-97-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/0000063754-99-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/000091205701006146/0000912057-01-006146-index.html,https://www.sec.gov/Archives/edgar/data/63754/000091205702006688/0000912057-02-006688-index.html,https://www.sec.gov/Archives/edgar/data/63754/000104746903004108/a2102222z10-k.htm,https://www.sec.gov/Archives/edgar/data/63754/000104746904002319/a2127265z10-k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465905002884/a05-2232_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465906004340/a06-3546_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465907005348/a07-2613_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465908005145/a08-3564_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000119312509013251/0001193125-09-013251-index.html,https://www.sec.gov/Archives/edgar/data/63754/000119312510014973/0001193125-10-014973-index.html,https://www.sec.gov/Archives/edgar/data/63754/000119312511014958/d10k.htm,https://www.sec.gov/Archives/edgar/data/63754/000119312512026335/0001193125-12-026335-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375413000002/0000063754-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375414000008/mkc-11302013x10k.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375415000013/mkc-11302014x10kxq42014.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375416000063/0000063754-16-000063-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375417000014/0000063754-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375418000008/0000063754-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375419000017/0000063754-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375420000022/0000063754-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375421000020/0000063754-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375422000005/0000063754-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,12500000,22400000,13500000,17700000,12000000,23900000,31300000,47300000,25100000,70300000,30300000,49000000,45900000,38900000,39500000,50800000,53900000,79000000,63000000,77300000,112600000,118400000,186800000,96600000,155400000,423600000,351700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,12500000,22400000,13500000,17700000,12000000,23900000,31300000,47300000,25100000,70300000,30300000,49000000,45900000,38900000,39500000,50800000,53900000,79000000,63000000,77300000,112600000,118400000,186800000,96600000,155400000,423600000,351700000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,208800000,224000000,217500000,217200000,212800000,213900000,303300000,295500000,341800000,347500000,407600000,369300000,379100000,456500000,414700000,365300000,386700000,427000000,465900000,495500000,493600000,455200000,465200000,555100000,518100000,502900000,528500000,549500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,374500000,383200000,245100000,252100000,250900000,234200000,274000000,278100000,306300000,362800000,350200000,344000000,405700000,430200000,439000000,445900000,477600000,613700000,615000000,676900000,713800000,710800000,756300000,793300000,786300000,801200000,1032600000,1182300000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,58800000,51000000,49400000,23700000,22400000,30500000,18800000,30900000,29200000,26700000,35900000,56600000,65600000,50500000,75700000,119800000,100800000,128300000,125500000,134800000,131500000,127900000,81900000,81800000,78900000,90700000,98900000,112300000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,657700000,670700000,534400000,506500000,503800000,490600000,620000000,635800000,724600000,762100000,864000000,800200000,899400000,983100000,968300000,970500000,1015900000,1222900000,1285400000,1370200000,1416200000,1406500000,1421800000,1617000000,1479900000,1550200000,2083600000,2195800000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,504600000,524800000,400400000,380000000,377000000,363300000,373000000,424500000,468300000,458300000,486600000,469700000,469500000,487600000,461100000,489800000,488000000,523100000,547300000,576600000,602700000,618400000,669400000,809100000,985100000,952600000,1165200000,1277100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499500000,- -,- -,- -,803800000,879500000,1230200000,1479700000,1417400000,1694200000,1695300000,1798500000,1722200000,1759300000,1771400000,4490100000,4527900000,4505200000,4986300000,5335800000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,196200000,180800000,165100000,158000000,160900000,142800000,453000000,464600000,6500000,716900000,828100000,822200000,193600000,207500000,374800000,237300000,232500000,350000000,323500000,333400000,330800000,372100000,424900000,3071100000,2873300000,2923400000,3355400000,3593600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,196200000,180800000,165100000,158000000,160900000,142800000,453000000,464600000,506000000,716900000,828100000,822200000,997400000,1087000000,1605000000,1717000000,1649900000,2044200000,2018800000,2131900000,2053000000,2131400000,2196300000,7561200000,7401200000,7428600000,8341700000,8929400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183900000,265900000,201900000,227800000,264000000,269300000,263200000,250800000,290600000,288000000,310400000,322900000,301300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,210200000,238000000,226700000,211700000,217400000,192100000,213900000,247100000,231900000,210900000,190900000,180600000,201700000,229800000,185900000,26600000,- -,95700000,86100000,107000000,73100000,88300000,97600000,107900000,102200000,120300000,176300000,202200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,911000000,943600000,792200000,749700000,755300000,698200000,1039900000,1136200000,1206200000,1386100000,1505600000,1472500000,1668600000,1804400000,2252000000,2417300000,2403800000,2864900000,2880000000,3079500000,2998100000,3101300000,3214100000,8768800000,8776500000,8811900000,10006100000,10710000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1568700000,1614300000,1326600000,1256200000,1259100000,1188800000,1659900000,1772000000,1930800000,2148200000,2369600000,2272700000,2568000000,2787500000,3220300000,3387800000,3419700000,4087800000,4165400000,4449700000,4414300000,4507800000,4635900000,10385800000,10256400000,10362100000,12089700000,12905800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,128200000,136700000,153600000,150300000,145900000,148800000,185300000,184000000,202300000,178800000,195100000,198200000,224400000,243300000,266100000,283600000,302700000,366600000,375800000,387300000,372100000,411900000,450800000,639900000,710000000,846900000,1032300000,1064200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,232000000,307300000,109000000,121300000,163600000,100600000,551900000,210800000,137300000,171000000,173200000,106100000,81400000,149600000,354000000,116100000,100400000,222400000,392600000,214100000,270800000,343000000,393200000,583200000,643500000,698400000,1150600000,1309400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,240600000,202900000,236700000,226600000,208500000,221200000,290000000,318900000,333800000,362900000,404400000,394700000,474700000,468400000,414000000,418500000,431700000,404300000,419200000,461700000,479100000,485300000,578700000,724200000,648200000,609100000,863600000,850200000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,600800000,646900000,499300000,498200000,518000000,470600000,1027200000,713700000,673400000,712700000,772700000,699000000,780500000,861300000,1034100000,818200000,834800000,993300000,1187600000,1063100000,1122000000,1240200000,1422700000,1947300000,2001700000,2154400000,3046500000,3223800000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,374300000,349100000,291200000,276500000,250400000,241400000,160200000,454100000,453900000,448600000,465000000,463900000,569600000,573500000,885200000,875000000,779900000,1029700000,779200000,1019000000,1014100000,1052700000,1054000000,4443900000,4052900000,3625800000,3753800000,4079400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19200000,25400000,4900000,2000000,4200000,3800000,3200000,25800000,- -,- -,- -,- -,68100000,54900000,- -,- -,- -,71500000,56800000,139300000,108200000,132700000,79900000,1094500000,706500000,697600000,727200000,792300000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,84400000,73600000,81200000,86400000,98400000,90600000,110000000,115300000,211200000,209500000,211200000,280700000,212900000,202800000,245700000,360000000,342300000,374800000,441600000,280600000,360600000,395300000,441200000,329200000,313100000,427600000,622200000,384800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,477900000,448100000,377300000,364900000,353000000,335800000,273400000,595200000,665100000,658100000,676200000,744600000,850600000,831200000,1130900000,1235000000,1122200000,1476000000,1277600000,1438900000,1482900000,1580700000,1575100000,5867600000,5072500000,4751000000,5103200000,5256500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106100000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1078700000,1095000000,876600000,863100000,871000000,806400000,1300600000,1308900000,1338500000,1370800000,1448900000,1443600000,1631100000,1692500000,2165000000,2053200000,1957000000,2469300000,2465200000,2502000000,2604900000,2820900000,2997800000,7814900000,7074200000,6905400000,8149700000,8480300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173800000,175300000,202900000,230700000,262600000,336000000,386900000,- -,- -,- -,- -,- -,- -,- -,962400000,995600000,1039600000,1084200000,1672900000,1770600000,1888600000,1981300000,2055100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,343300000,387700000,313800000,264300000,262300000,242800000,263300000,344100000,458900000,472600000,434100000,385400000,348700000,323800000,425400000,591500000,700900000,838800000,934600000,970400000,982600000,1036700000,1056800000,1166500000,1760200000,2055800000,2415600000,2782400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-332500000,-372600000,-293400000,-313500000,-346300000,-371700000,-407000000,-462800000,-504500000,-454100000,-502400000,28000000,140000000,260000000,48000000,109000000,-4000000,-59000000,-160000000,-831100000,-186000000,-406000000,-514000000,-280000000,-360000000,-500000000,-470800000,-426500000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,479200000,504200000,429600000,442300000,472100000,337500000,327700000,378900000,407200000,474100000,622000000,-400000,444600000,501300000,581900000,634100000,756800000,821900000,908300000,830800000,- -,-100000,-400000,500000,100000,-200000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,490000000,519300000,450000000,393100000,388100000,382400000,359300000,463100000,592300000,755200000,889700000,799900000,933300000,1085100000,1055300000,1334600000,1453700000,1601700000,1682900000,1932500000,1792200000,1670200000,1626600000,2559900000,3170900000,3444200000,3926100000,4411000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1568700000,1614300000,1326600000,1256200000,1259100000,1188800000,1659900000,1772000000,1930800000,2126000000,2338600000,2243500000,2564400000,2777600000,3220300000,3387800000,3410700000,4071000000,4148100000,4434500000,4397100000,4491100000,4624400000,10374800000,10245100000,10349600000,12075800000,12891300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22200000,31000000,29200000,3600000,9900000,- -,- -,9000000,16800000,17300000,15200000,17200000,16700000,11500000,11000000,11300000,12500000,13900000,14500000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1568700000,1614300000,1326600000,1256200000,1259100000,1188800000,1659900000,1772000000,1930800000,2148200000,2369600000,2272700000,2568000000,2787500000,3220300000,3387800000,3419700000,4087800000,4165400000,4449700000,4414300000,4507800000,4635900000,10385800000,10256400000,10362100000,12089700000,12905800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/63754/000006375495000006/0000063754-95-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/000006375497000007/0000063754-97-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/0000063754-99-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/000091205701006146/0000912057-01-006146-index.html,https://www.sec.gov/Archives/edgar/data/63754/000091205702006688/0000912057-02-006688-index.html,https://www.sec.gov/Archives/edgar/data/63754/000104746903004108/a2102222z10-k.htm,https://www.sec.gov/Archives/edgar/data/63754/000104746904002319/a2127265z10-k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465905002884/a05-2232_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465906004340/a06-3546_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465907005348/a07-2613_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465908005145/a08-3564_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000119312509013251/0001193125-09-013251-index.html,https://www.sec.gov/Archives/edgar/data/63754/000119312510014973/0001193125-10-014973-index.html,https://www.sec.gov/Archives/edgar/data/63754/000119312511014958/d10k.htm,https://www.sec.gov/Archives/edgar/data/63754/000119312512026335/0001193125-12-026335-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375413000002/0000063754-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375414000008/mkc-11302013x10k.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375415000013/mkc-11302014x10kxq42014.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375416000063/0000063754-16-000063-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375417000014/0000063754-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375418000008/0000063754-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375419000017/0000063754-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375420000022/0000063754-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375421000020/0000063754-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375422000005/0000063754-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,52500000,69400000,80900000,95200000,73100000,61100000,97600000,41900000,98400000,103800000,103300000,137500000,146600000,179800000,210800000,214500000,214900000,202200000,230100000,255800000,299800000,370200000,374200000,407800000,389000000,437900000,401600000,472300000,477400000,933400000,702700000,747400000,755300000
74,Depreciation and Amortization,- -,- -,- -,- -,34800000,36600000,40500000,43800000,50500000,62500000,63700000,63800000,49300000,54800000,57400000,61300000,73000000,66800000,65300000,72000000,74600000,86800000,82600000,85600000,94300000,95100000,98300000,102800000,106000000,102700000,105900000,108700000,125200000,150700000,158800000,165000000,186300000
75,Deferred Income Tax,- -,- -,- -,- -,2800000,400000,6100000,-700000,-1100000,-27100000,15700000,-26400000,18900000,2000000,9300000,-5100000,2200000,21100000,15600000,-1700000,5900000,-26000000,-12000000,-8800000,24000000,10500000,38000000,24300000,-15300000,6100000,1000000,-40000000,24100000,-269300000,20900000,-11200000,36000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,11900000,13000000,20200000,18700000,18200000,18700000,25600000,23900000,25600000,37200000,46000000,66600000
