,https://roic.ai/company/LAD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,18600000,22100000,43100000,88700000,152000000,203105000,248317000,303950000,322882000,363089000,385225000,423640000,451225000,629820000,288493000,318189000,344171000,390816000,447435000,589570000,852775000,948959000,1107100000,1343500000,1465900000,1538800000,2591500000
11,COGS and Expenses,109800000,138900000,308200000,688100000,1195400000,1594147000,1815030000,2306107000,2433275000,2648940000,2816202000,3058057000,3125574000,2397580000,1708189000,2068357000,2585993000,3168003000,3822231000,5156574000,7541393000,8325801000,9677524000,11387900000,12184800000,12437500000,21164200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24941000,25169000,23512000,22437000,20723000,24603000,39025000,48738000,74112000,118300000,133400000,107500000,130500000
14,Depreciation and Amortization,1900000,1800000,2500000,3500000,5600000,7605000,9275000,7813000,10295000,13143000,14498000,17468000,21342000,17732000,18821000,17586000,16948000,17314000,20035000,26363000,41600000,49369000,57722000,75400000,82400000,121300000,166300000
15,EBITDA,5300000,5000000,12000000,21300000,37700000,47140000,44704000,60579000,69403000,82692000,98256000,80141000,60300000,-326557000,57552000,65567000,132728000,169175000,207332000,264641000,343329000,381630000,478903000,531200000,591200000,877300000,1779000000
16,EBITDA ratio,0.0464,0.0350,0.0375,0.0298,0.0303,0.0284,0.0239,0.0255,0.0276,0.0301,0.0335,0.0253,0.0187,-0.1528,0.0329,0.0308,0.0492,0.0510,0.0518,0.0491,0.0437,0.0440,0.0475,0.0449,0.0467,0.0668,0.0779
17,Operating Income,4400000,3900000,11600000,26600000,47300000,64464000,58158000,70853000,80227000,96847000,119217000,114837000,93427000,-259776000,34150000,47940000,111991000,148369000,183518000,231899000,302735000,338364000,408986000,447000000,495000000,697100000,1667900000
18,Operating Income ratio,0.0385,0.0273,0.0363,0.0372,0.0381,0.0389,0.0310,0.0298,0.0319,0.0353,0.0406,0.0362,0.0290,-0.1215,0.0195,0.0225,0.0415,0.0447,0.0458,0.0430,0.0385,0.0390,0.0405,0.0378,0.0391,0.0531,0.0731
19,Total Other Income Expenses (Gains),1200000,-700000,-2100000,-8800000,-15200000,-24929000,-22729000,-18087000,-21029000,-27396000,-33466000,-49131000,-50034000,-31075000,-23447000,-24747000,-22816000,-19912000,-17730000,-21404000,-40031000,-54841000,-61917000,-109500000,-119600000,-48600000,-183100000
20,Income Before Tax,- -,3200000,9500000,17800000,32100000,39535000,35429000,52766000,59198000,69451000,85751000,65706000,43393000,-290851000,10703000,23193000,89175000,128457000,165788000,210495000,262704000,283523000,347069000,337500000,375400000,648500000,1484800000
21,Income Before Tax Ratio,- -,0.0224,0.0297,0.0249,0.0258,0.0238,0.0189,0.0222,0.0236,0.0253,0.0292,0.0207,0.0135,-0.1361,0.0061,0.0109,0.0330,0.0387,0.0414,0.0391,0.0334,0.0327,0.0344,0.0285,0.0296,0.0494,0.0650
22,Income Tax expense (Gain),- -,-800000,3500000,7000000,12900000,15222000,13675000,20450000,23561000,26878000,33958000,25369000,17409000,-91703000,4639000,9093000,33408000,49062000,60574000,74955000,79705000,86465000,101852000,71800000,103900000,178200000,422100000
23,Net Income,3400000,4000000,6000000,10800000,19200000,24313000,21754000,32316000,35547000,42671000,49800000,37304000,21549000,-252586000,9151000,13719000,58860000,80362000,106000000,138720000,182999000,197058000,245217000,265700000,271500000,470300000,1060100000
24,Net Income ratio,0.0298,0.0280,0.0188,0.0151,0.0155,0.0147,0.0116,0.0136,0.0141,0.0155,0.0170,0.0118,0.0067,-0.1182,0.0052,0.0064,0.0218,0.0242,0.0265,0.0257,0.0233,0.0227,0.0243,0.0225,0.0214,0.0358,0.0464
25,EPS,0.64,0.81,0.85,1.18,1.72,1.95,1.63,1.88,1.94,2.27,2.60,1.91,1.10,-12.62,0.35,0.52,2.24,3.13,4.11,5.31,6.96,7.84,9.78,11.55,11.70,17.75,35.05
26,EPS Diluted,0.60,0.81,0.82,1.14,1.60,1.76,1.60,1.84,1.92,2.13,2.37,1.77,1.06,-12.62,0.35,0.52,2.21,3.07,4.05,5.26,6.91,7.72,9.75,10.86,11.60,17.75,34.82
27,Weighted Average Shares Outstanding,5312500,4973000,7058824,9152542,11162791,12447000,13371000,17233000,18289000,18773000,19175000,19485000,19530000,20017000,21000000,26285000,26230000,25696000,25805000,26121000,26290000,25144000,25065000,23000000,23200000,26500000,30300000
28,Weighted Average Shares Outstanding Diluted,5666667,7777778,7317073,9473684,12000000,13804000,13612000,17598000,18546000,20647000,21807000,22102000,22082000,20017000,22176000,26285000,26664000,26170000,26191000,26382000,26490000,25521000,25145000,24500000,23400000,26500000,30500000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1023128/000104746998013008/0001047469-98-013008-index.html,https://www.sec.gov/Archives/edgar/data/1023128/000104746999012933/0001047469-99-012933-index.html,https://www.sec.gov/Archives/edgar/data/1023128/000091205700015184/0000912057-00-015184-index.html,https://www.sec.gov/Archives/edgar/data/1023128/000089659501500029/0000896595-01-500029-index.html,https://www.sec.gov/Archives/edgar/data/1023128/000089102002000158/0000891020-02-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000089102003001019/0000891020-03-001019-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000095012404000890/0000950124-04-000890-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000110465905011127/0001104659-05-011127-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000110465906015039/0001104659-06-015039-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000110465907017852/0001104659-07-017852-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000119312508079184/0001193125-08-079184-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000119312509055395/0001193125-09-055395-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000119312510046988/0001193125-10-046988-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000119312511057831/0001193125-11-057831-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774912001733/0001437749-12-001733-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774913001877/0001437749-13-001877-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774914002586/0001437749-14-002586-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774915003826/0001437749-15-003826-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774916026190/0001437749-16-026190-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774917003434/0001437749-17-003434-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312818000020/0001023128-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312819000042/0001023128-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312820000018/0001023128-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312821000022/0001023128-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312822000042/0001023128-22-000042-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9400000,15400000,18500000,20900000,30400000,38789000,59855000,15932000,74408000,29264000,48566000,26600000,21665000,10874000,12776000,9306000,20851000,42839000,23686000,29898000,45008000,50282000,57253000,31600000,84000000,160200000,174800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9400000,15400000,18500000,20900000,30400000,38789000,59855000,15932000,74408000,29264000,48566000,26600000,21665000,10874000,24469000,9306000,20851000,42839000,23686000,29898000,45008000,50282000,57253000,31600000,84000000,160200000,174800000
34,Net Receivables,1900000,3000000,8100000,20400000,28500000,34206000,34557000,40847000,42407000,84489000,106443000,118528000,60913000,41816000,30157000,75011000,99407000,133149000,170519000,295379000,308462000,417714000,521938000,529400000,505000000,614000000,910000000
35,Inventory,17700000,28200000,89800000,157400000,268300000,314290000,275398000,445908000,445281000,536653000,606047000,603306000,601759000,422812000,328726000,415228000,506484000,723326000,859019000,1249659000,1470987000,1772587000,2132744000,2365300000,2433700000,2492900000,2385500000
36,Other Current Assets,3800000,2500000,3500000,5500000,7400000,9237000,10599000,53091000,74841000,12469000,43192000,31206000,94201000,221050000,34711000,8999000,21449000,33895000,28325000,40573000,54408000,46611000,70847000,65100000,47800000,70500000,63000000
37,Total Current Assets,32800000,49100000,119900000,204200000,334600000,396522000,380409000,555778000,636937000,662875000,804248000,779640000,778538000,696552000,418063000,508544000,648191000,933209000,1081549000,1615509000,1878865000,2287194000,2782782000,2991400000,3070500000,3337600000,3533300000
38,PP&E,3200000,4600000,16300000,32900000,52400000,90240000,121977000,176911000,227313000,299631000,333177000,417103000,461746000,346276000,386054000,362433000,373779000,425086000,481212000,816745000,876660000,1006130000,1185169000,1448000000,1863600000,2461500000,3448500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307424000,311527000,- -,- -,6186000,18958000,32047000,49511000,199375000,213220000,259399000,256320000,434900000,454600000,593000000,977300000
40,Intangible Assets,- -,4100000,24100000,43000000,110700000,133871000,156849000,206197000,235973000,289181000,260899000,69054000,68946000,42008000,42496000,- -,59095000,62429000,71199000,150892000,157699000,184268000,186977000,288700000,306700000,350200000,799100000
41,Intangible Assets,- -,4100000,24100000,43000000,110700000,133871000,156849000,206197000,235973000,289181000,260899000,376478000,380473000,42008000,42496000,6186000,78053000,94476000,120710000,350267000,370919000,443667000,443297000,723600000,761300000,943200000,1776400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44007000,40735000,39524000,29270000,17123000,10256000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3200000,6000000,6200000,14300000,8700000,7370000,3709000,3163000,2559000,5217000,54390000,6136000,5978000,4616000,7752000,54989000,16840000,22808000,31394000,98411000,100855000,107159000,271818000,221000000,388500000,1159800000,2388700000
45,Total Non-Current Assets,6400000,14700000,46600000,90200000,171800000,231481000,282535000,386271000,465845000,594029000,648466000,799717000,848197000,436907000,477037000,463132000,497942000,559493000,643572000,1265423000,1348434000,1556956000,1900284000,2392600000,3013400000,4564500000,7613600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,39200000,63800000,166500000,294400000,506400000,628003000,662944000,942049000,1102782000,1256904000,1452714000,1579357000,1626735000,1133459000,895100000,971676000,1146133000,1492702000,1725121000,2880932000,3227299000,3844150000,4683066000,5384000000,6083900000,7902100000,11146900000
48,Accounts Payable,1500000,2400000,3900000,6300000,11900000,13651000,16894000,19445000,24402000,26821000,30917000,39794000,38715000,21571000,18782000,23747000,31712000,41589000,51159000,70853000,70871000,88423000,111362000,126300000,125300000,158200000,235400000
49,Short-Term Debt,- -,- -,85400000,132300000,215500000,260479000,10203000,369101000,393260000,457424000,537320000,516236000,464917000,416334000,248791000,263338000,352161000,589766000,720938000,1210591000,1352846000,1622462000,1937902000,2083600000,2106900000,1863200000,1413800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,23500000,26500000,6700000,12000000,32200000,23475000,248478000,40924000,59209000,52453000,80163000,73909000,81459000,159123000,53604000,58784000,72711000,89949000,100414000,161156000,167108000,211109000,251717000,283600000,336900000,458300000,753600000
53,Total Current Liabilities,25000000,28900000,96000000,150600000,259600000,297605000,275575000,429470000,476871000,536698000,648400000,629939000,585091000,597028000,321177000,345869000,456584000,721304000,872511000,1442600000,1590825000,1921994000,2300981000,2493500000,2569100000,2479700000,2402800000
54,Long-Term Debt,10700000,6200000,26600000,41400000,73900000,131586000,164830000,30914000,98308000,267310000,290551000,296769000,455495000,265184000,233065000,268693000,278653000,286876000,245471000,609066000,606463000,769916000,1028476000,1358200000,1430600000,2311400000,3547400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17981000,20158000,25146000,33589000,44005000,54403000,66734000,81929000,103111000,121700000,137900000,155700000,191200000
56,Deferred Tax Liabilities,- -,700000,3100000,2100000,9500000,8144000,9380000,13676000,24141000,36339000,43690000,50133000,63290000,- -,- -,- -,- -,- -,- -,42795000,53129000,59075000,56277000,91200000,131100000,146300000,191000000
57,Other Non-Current Liabilities,1900000,3300000,2900000,8800000,7800000,8893000,9662000,147996000,144536000,10611000,10440000,109123000,14647000,22904000,15839000,16739000,18629000,22832000,28412000,58963000,81984000,100460000,111003000,122200000,347500000,147500000,151300000
58,Total Non-Current Liabilities,12600000,10200000,32600000,52300000,91200000,148623000,183872000,192586000,266985000,314260000,344681000,456025000,533432000,288088000,266885000,305590000,322428000,343297000,317888000,765227000,808310000,1011380000,1298867000,1693300000,2047100000,2760900000,4080900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238500000,246700000,361700000
61,Total Liabilities,37600000,39100000,128600000,202900000,350800000,446228000,459447000,622056000,743856000,850958000,993081000,1085964000,1118523000,885116000,588062000,651459000,779012000,1064601000,1190399000,2207827000,2399135000,2933374000,3599848000,4186800000,4616200000,5240600000,6483700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,102800000,109073000,114055000,204045000,208655000,215801000,225243000,- -,- -,- -,- -,- -,- -,269144000,268574000,276377000,258726000,165731000,149247000,100000,20600000,788200000,1711600000
64,Retained Earnings,100000,100000,9200000,20000000,39200000,63466000,85220000,117536000,150508000,187545000,229647000,260681000,271918000,9888000,19039000,28839000,80877000,149173000,245088000,367879000,530893000,703820000,922662000,1162100000,1401800000,1838200000,2859500000
65,Other Comprehensive Income/Loss,-1800000,-2100000,-2800000,-3900000,-5700000,-8434000,-11793000,-2517000,-1468000,789000,2184000,-54819000,-1437000,-5810000,-3850000,-4869000,-4508000,-2615000,-1538000,-926000,-277000,- -,-197802000,-240500000,-700000,-6300000,-3000000
66,Other Total Stockholders Equity,3300000,26700000,31500000,75400000,19300000,17670000,16015000,929000,1231000,1811000,2559000,287531000,237294000,244455000,291999000,296378000,291244000,12399000,22598000,29775000,38822000,41225000,209111000,275500000,46000000,41400000,58300000
67,Total Stockholders Equity,1600000,24700000,37900000,91500000,155600000,181775000,203497000,319993000,358926000,405946000,459633000,493393000,508212000,248343000,307038000,320217000,367121000,428101000,534722000,673105000,828164000,910776000,1083218000,1197200000,1467700000,2661500000,4626400000
68,Total Liabilities And Stockholders Equity,39200000,63800000,166500000,294400000,506400000,628003000,662944000,942049000,1102782000,1256904000,1452714000,1579357000,1626735000,1133459000,895100000,971676000,1146133000,1492702000,1725121000,2880932000,3227299000,3844150000,4683066000,5384000000,6083900000,7902100000,11110100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36800000
70,Total Liabilities & Equity,39200000,63800000,166500000,294400000,506400000,628003000,662944000,942049000,1102782000,1256904000,1452714000,1579357000,1626735000,1133459000,895100000,971676000,1146133000,1492702000,1725121000,2880932000,3227299000,3844150000,4683066000,5384000000,6083900000,7902100000,11146900000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1023128/000104746998013008/0001047469-98-013008-index.html,https://www.sec.gov/Archives/edgar/data/1023128/000104746999012933/0001047469-99-012933-index.html,https://www.sec.gov/Archives/edgar/data/1023128/000091205700015184/0000912057-00-015184-index.html,https://www.sec.gov/Archives/edgar/data/1023128/000089659501500029/0000896595-01-500029-index.html,https://www.sec.gov/Archives/edgar/data/1023128/000089102002000158/0000891020-02-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000089102003001019/0000891020-03-001019-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000095012404000890/0000950124-04-000890-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000110465905011127/0001104659-05-011127-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000110465906015039/0001104659-06-015039-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000110465907017852/0001104659-07-017852-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000119312508079184/0001193125-08-079184-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000119312509055395/0001193125-09-055395-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000119312510046988/0001193125-10-046988-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000119312511057831/0001193125-11-057831-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774912001733/0001437749-12-001733-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774913001877/0001437749-13-001877-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774914002586/0001437749-14-002586-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774915003826/0001437749-15-003826-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774916026190/0001437749-16-026190-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000143774917003434/0001437749-17-003434-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312818000020/0001023128-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312819000042/0001023128-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312820000018/0001023128-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312821000022/0001023128-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1023128/000102312822000042/0001023128-22-000042-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3400000,4000000,6000000,10800000,19200000,24313000,21754000,32316000,35547000,42671000,49800000,37304000,21549000,-252586000,9151000,13719000,58860000,80362000,106000000,138720000,182999000,197058000,245217000,265700000,271500000,470300000,1060100000
74,Depreciation and Amortization,1900000,1800000,2500000,3500000,5600000,7605000,9275000,7813000,10295000,13143000,14498000,17468000,21342000,17732000,18821000,17586000,16948000,17314000,20035000,26363000,41600000,49369000,57722000,75400000,82400000,121300000,166300000
75,Deferred Income Tax,- -,-900000,300000,600000,-1700000,196000,-97000,4963000,10235000,12139000,5286000,6312000,14450000,-105033000,5627000,-2131000,8093000,14172000,14477000,13355000,12341000,10138000,-2798000,33000000,40100000,17200000,43100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2054000,2419000,2001000,3116000,6565000,7436000,11871000,11047000,11272000,13300000,16200000,23200000,34700000
77,Change in Working Capital,100000,12400000,3700000,29700000,21400000,23917000,5917000,21474000,33758000,-33889000,29671000,-6147000,43746000,-93923000,-2638000,65789000,28932000,20298000,-2867000,-36129000,115131000,77160000,116601000,16099000,3500000,356500000,414300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11921000,-22881000,-22503000,-33704000,-37370000,-59474000,-13047000,-105961000,-57360000,4700000,24400000,-113500000,-147100000
79,Inventory,1400000,-6800000,-9000000,-17600000,-20100000,1814000,64200000,-107126000,38466000,-23601000,-59311000,45360000,-13843000,79173000,119693000,-68305000,-78202000,-230442000,-106896000,-76002000,-197079000,-168847000,-193099000,-108900000,-19700000,228800000,674600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2789000,4960000,5998000,8001000,8480000,-3105000,674000,16449000,20008000,15100000,-1800000,28200000,78400000
81,Other Working Capital,7800000,20200000,23900000,53600000,75000000,98917000,104834000,126308000,160066000,126177000,155848000,149701000,193447000,99524000,96886000,162675000,191607000,211905000,209038000,172909000,288040000,365200000,481801000,497900000,501400000,857900000,- -
82,Other Non-Cash Items,500000,-15800000,7300000,-35300000,-22100000,-19744000,12410000,-18900000,-1522000,41483000,-26637000,-16998000,-150298000,518975000,-23081000,-118712000,-115600000,-347738000,-112151000,-119426000,-289733000,-258256000,-279158000,116201000,85800000,-446300000,78700000
83,Cash Provided by Operating Activities,5900000,1500000,19800000,9300000,22400000,36287000,49259000,47666000,88313000,75547000,72618000,37939000,-49211000,85165000,9934000,-21330000,-766000,-212476000,32059000,30319000,74209000,86516000,148856000,519700000,499500000,542200000,1797200000
84,CAPEX,-500000,- -,-8800000,-40500000,-57700000,-25983000,-30686000,-38483000,-49776000,-61820000,-53289000,-73699000,-91941000,-57423000,-21131000,-7589000,-31673000,-64584000,-50025000,-85983000,-83244000,-100761000,-105378000,-158000000,-124900000,-167800000,-260400000
85,Acquisitions Net,- -,- -,- -,- -,- -,-56660000,-45496000,-81698000,-63799000,-79395000,-51713000,-101590000,3180000,43480000,27697000,-22750000,-36647000,-38098000,-81105000,-649017000,-58649000,-222863000,-439451000,-339500000,-319900000,-1445800000,-2623000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9110000,-28110000,-30280000,-8570000,-62700000,-7200000,-11200000,-10300000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-6600000,-24900000,2300000,17000000,3166000,14955000,-2098000,5195000,13017000,18348000,512000,8129000,18229000,-6607000,2784000,-2896000,-60899000,-49217000,-78205000,-82974000,-98550000,-90177000,-154900000,-110900000,-148800000,-257100000
89,Cash Used for Investing Activites,-600000,-6600000,-33700000,-38200000,-40700000,-79477000,-61227000,-122279000,-108380000,-128198000,-86654000,-174777000,-80632000,4286000,21090000,-19966000,-39422000,-98997000,-130322000,-736332000,-169733000,-351693000,-538198000,-557100000,-438000000,-1605800000,-2890400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-205619000,-72394000,-75575000,-629381000,-847225000,-1260041000,-1322383000,-1167502000,-1904673000,-2574100000,-3573200000,-1991700000,-3736300000
91,Common Stock Issued,100000,24200000,3900000,42600000,800000,2213000,1853000,82265000,4802000,7083000,7994000,6844000,6500000,4441000,45576000,4192000,5654000,8652000,4973000,4590000,6065000,6932000,7509000,10100000,11000000,790400000,1136200000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-481000,- -,-4366000,-215000,-13000,-10000,-4720000,-5247000,-2000,-1000,-1626000,-13568000,-23279000,-7903000,-22968000,-31548000,-112939000,-33753000,-148900000,-3200000,-50600000,-230700000
93,Dividends Paid,-6100000,-6400000,- -,- -,- -,- -,- -,- -,-2575000,-5634000,-7698000,-10184000,-11018000,-9444000,- -,-3919000,-6822000,-12066000,-10085000,-15929000,-19985000,-24131000,-26544000,-27700000,-27600000,-29100000,-38800000
94,Other Financing Activites,3200000,-7000000,13100000,-11300000,27000000,49883000,31181000,-6168000,76531000,6071000,33447000,122932000,134673000,-95237000,130922000,111573000,142044000,989535000,939350000,2006573000,1478485000,1568091000,2353774000,2752300000,3583900000,2420700000,3976300000
95,Cash Used/Provided by Financing Activities,-2800000,10800000,17000000,31300000,27800000,51615000,33034000,71731000,78543000,7507000,33733000,114872000,124908000,-100242000,-29122000,37826000,51733000,333461000,79110000,712225000,110634000,270451000,396313000,11700000,-9100000,1139700000,1106700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000
97,Net Change In Cash,-2800000,10800000,17000000,31300000,9500000,8425000,21066000,-2882000,58476000,-45144000,19697000,-21966000,-4935000,-10791000,1902000,-3470000,11545000,21988000,-19153000,6212000,15110000,5274000,6971000,-25700000,52400000,76200000,16000000
98,Cash at the End of Period,- -,- -,- -,- -,30400000,38789000,59855000,15932000,74408000,29264000,48566000,26600000,21665000,10874000,12776000,9306000,20851000,42839000,23686000,29898000,45008000,50282000,57253000,31600000,84000000,160200000,178500000
