,https://roic.ai/company/SIMO,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,16688000,24225250,25969500,29003750,31372000,33322750,32183000,27673000,29040000,32343000,33626000,33642000,34197000,34909000,35513000,35902000,36128000,35296000,34541963,34541963
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329394/000119312506140505/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312507148404/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312508111683/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312509148459/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312510147017/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312511178762/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312512196459/d306662d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312513186530/d480665d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312514171476/d659986d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312515161139/d847447d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312516569960/d145083d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312517148143/d324031d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312518143458/d530204d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312519147977/d653643d20f.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10305150,22486399,23114000,48231000,55478000,49592000,48309662,60992852,54236314,91227485,154734000,161720000,194211000,180519000,274483000,359453000,284989000,323166000,342961000,360082000
32,Short-Term Investments,- -,- -,4909000,35304000,44764000,53997000,3424878,661095,1423460,3062825,14882000,742000,703000,4681000,3302000,6941000,3609000,2010000,- -,- -
33,Cash and Short-Term Investments,10305150,22486399,28023000,83535000,100242000,103589000,51734540,61653946,55659774,94290310,169616000,162462000,194914000,185200000,277785000,366394000,288598000,325176000,342961000,360082000
34,Net Receivables,- -,5080831,14290000,22204000,31241000,35400000,30586267,15939342,28014591,39863831,36785000,31213000,28854000,58979000,73599000,79135000,91763000,108734000,115826000,208574000
35,Inventory,- -,4589870,16184000,8492000,13106000,16879000,19439228,14305622,24135974,31156621,32143000,33666000,44076000,47110000,71887000,94186000,81518000,88439000,110162000,163104000
36,Other Current Assets,- -,3865518,6713000,5386000,7273000,9170000,6549566,5254973,10016667,19237276,19868000,19198000,22596000,23887000,53629000,29082000,36611000,42850000,49144000,86352000
37,Total Current Assets,- -,36022619,65210000,119617000,151862000,165038000,108309601,97153883,117827005,184548038,258412000,246539000,290440000,315176000,476900000,568797000,498490000,565199000,618093000,818112000
38,PP&E,- -,1549364,2087000,2553000,9799000,16010000,27759575,24165381,25671617,25414109,23386000,30195000,35537000,50469000,47892000,51370000,101410000,107091000,112200000,124478000
39,Goodwill,- -,- -,- -,- -,- -,67456000,66569354,36528723,40382282,39832503,35472000,35474000,35467000,68660000,68656000,58964000,58331000,17489000,- -,- -
40,Intangible Assets,- -,- -,217000,- -,- -,20409000,13843318,2886277,797690,- -,- -,- -,- -,7330000,5227000,7429000,1021000,- -,- -,- -
41,Intangible Assets,- -,1121456,217000,- -,- -,87865000,80412672,39415000,41179972,39832503,35472000,35474000,35467000,75990000,73883000,66393000,59352000,17489000,- -,- -
42,Investments,- -,211893,- -,- -,- -,- -,1533303,490953,186535,183253,178000,133000,133000,133000,120000,- -,4242000,3000000,5000000,8541000
43,Tax Assets,- -,- -,- -,- -,1450000,5664000,6187063,5842310,5622598,3779103,804000,714000,1909000,610000,3983000,3402000,5066000,3948000,4615000,- -
44,Other Non-Current Assets,- -,1215725,1368000,2469000,6533000,6651000,2427871,2309253,3148991,3808055,3494000,3708000,3436000,3250000,3248000,3770000,4054000,1002000,2152000,20197000
45,Total Non-Current Assets,- -,4098438,3672000,5022000,17782000,116190000,118320484,72222898,75809714,73017023,63334000,70224000,76482000,130452000,129126000,124935000,174124000,132530000,123967000,153216000
46,Other Assets,24865558,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24865558,40121057,68882000,124639000,169644000,281228000,226630086,169376781,193636719,257565062,321746000,316763000,366922000,445628000,606026000,693732000,672614000,697729000,742060000,971328000
48,Accounts Payable,- -,4147708,17350000,9725000,16117000,- -,11535753,10146286,11403746,21579715,26642000,14661000,14246000,22541000,31739000,56423000,27657000,30687000,44535000,80768000
49,Short-Term Debt,- -,- -,- -,- -,- -,13746000,- -,- -,- -,- -,- -,- -,- -,- -,25000000,25000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44240000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3109125,5285000,9524000,13295000,31198000,20362808,14387943,16541849,22328985,29755000,26006000,42208000,65746000,89247000,95821000,85994000,100801000,114209000,200790000
53,Total Current Liabilities,- -,7256833,22635000,19249000,29412000,44944000,31898561,24534229,27945595,43908700,56397000,40667000,56454000,88287000,145986000,177244000,113651000,131488000,158744000,281558000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,216222,213000,213000,63000,2424000,3263809,3774581,2392898,3188919,3083000,5399000,6368000,12843000,17277000,22437000,26686000,29457000,25574000,32192000
58,Total Non-Current Liabilities,- -,216222,213000,213000,63000,2424000,3263809,3774581,2392898,3188919,3083000,5399000,6368000,12843000,17277000,22437000,26686000,29457000,25574000,32192000
59,Other Liabilities,3888322,- -,- -,- -,- -,- -,6527618,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3046000,3058000,- -
61,Total Liabilities,3888322,7473055,22848000,19462000,29475000,47368000,35162370,28308810,30338493,47097619,59480000,46066000,62822000,101130000,163263000,199681000,140337000,160945000,184318000,313750000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,26504998,33507000,1179000,1198000,1287000,1289280,1110982,1284949,1345699,1300000,1316000,1356000,1395000,1413000,1431000,1447000,1391000,1382000,- -
64,Retained Earnings,- -,-15133971,-20965000,419000,29494000,69742000,77783883,-14263275,-5367930,36184382,83449000,85270000,109456000,133227000,215724000,247490000,301860000,270968000,281577000,- -
65,Other Comprehensive Income/Loss,- -,- -,-1420000,-2069000,-3126000,-8545000,-11490425,-16955658,-22606307,-27783329,-33273000,4000000,3000000,1000000,-1000000,3000000,-52234000,-1000000,-66331000,- -
66,Other Total Stockholders Equity,20977235,21276975,34912000,105648000,112603000,171376000,123884978,171175922,189987514,200720691,210790000,180111000,190288000,208876000,226626000,242130000,281204000,265425000,341114000,- -
67,Total Stockholders Equity,20977235,32648002,46034000,105177000,140169000,233860000,191467715,141067971,163298226,210467442,262266000,270697000,304100000,344498000,442763000,494051000,532277000,536784000,557742000,657578000
68,Total Liabilities And Stockholders Equity,24865558,40121057,68882000,124639000,169644000,281228000,226630086,169376781,193636719,257565062,321746000,316763000,366922000,445628000,606026000,693732000,672614000,697729000,742060000,971328000
69,Minority Interest,0,-0,- -,- -,- -,- -,-0,-0,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,24865558,40121057,68882000,124639000,169644000,281228000,226630086,169376781,193636719,257565062,321746000,316763000,366922000,445628000,606026000,693732000,672614000,697729000,742060000,971328000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329394/000119312506140505/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312507148404/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312508111683/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312509148459/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312510147017/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312511178762/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312512196459/d306662d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312513186530/d480665d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312514171476/d659986d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312515161139/d847447d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312516569960/d145083d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312517148143/d324031d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312518143458/d530204d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312519147977/d653643d20f.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-12529710,3252546,8519000,20528000,29073000,40472000,8932323,-72169361,-5367930,41457850,47218000,27376000,44467000,60251000,110940000,74955000,98070000,64398000,79746000,199949000
74,Depreciation and Amortization,561804,1541855,1255000,866000,1092000,7894000,10625020,11111066,7598098,6352110,5881000,6429000,6917000,8987000,11585000,13133000,14796000,13213000,13562000,17160000
75,Deferred Income Tax,- -,-2805260,1731000,-693000,-2630000,-3425000,264663,1621343,-172405,2296550,1582000,1181000,471000,911000,-3373000,581000,-1664000,1118000,-667000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,8403880,13953307,6603472,8859915,11802000,10262000,10347000,10418000,17364000,15494000,20779000,14591000,14589000,19546000
77,Change in Working Capital,- -,-477443,-5947000,-3893000,-11221000,-5650000,54935151,16297189,-18555423,-5925493,2611000,3997000,6509000,-14628000,-10992000,-8760000,-28213000,-18687000,-7757000,-59990000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2002000,5572000,2359000,-29179000,-14620000,-5156000,-12628000,-18755000,-7091000,- -
79,Inventory,- -,-711954,-11240000,7031000,-4559000,640000,-2775276,5651480,-8321195,-7445382,-1828000,-1523000,-10410000,-410000,-24777000,-22299000,12668000,-10155000,-21723000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-1994012,-1696788,187088,10376682,5644000,-11981000,-415000,7651000,9198000,24248000,-28766000,4426000,13848000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,2599000,2545712,308530,-1395855,-440703,- -,- -,- -,- -,- -,- -,- -,-18025000,- -,- -
82,Other Non-Cash Items,10416182,2267385,1902000,-375000,1997000,10024000,1621280,39310146,269145,-12015,142000,-117000,14000,7000,44000,8478000,4474000,3062000,17756000,208000
83,Cash Provided by Operating Activities,-1551724,3779083,7460000,16433000,18311000,49315000,84782317,10123690,-9625043,53028917,69236000,49128000,68725000,65946000,125568000,103881000,108242000,77695000,117229000,176873000
84,CAPEX,- -,-412182,-1157000,-1302000,-8337000,-6970000,-17861845,-3109048,-4736356,-4898374,-4280000,-12772000,-11596000,-23664000,-12220000,-11683000,-74853000,-11015000,-19545000,-26833000
85,Acquisitions Net,- -,- -,- -,- -,- -,-55266000,-12057712,- -,- -,-719197,- -,- -,- -,-30287000,- -,-2865000,- -,43968000,- -,- -
86,Purchases of Investments,- -,-92190008,-84136000,-254975000,-4759000,-588000,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,-4715000,- -,-2000000,-3506000
87,Sales/Maturities of Investments,- -,92427463,79549000,225598000,- -,1882000,- -,807859,104237,- -,- -,46000,- -,- -,4000000,- -,- -,1715000,- -,- -
88,Other Investing Activites,-905395,460569,-2619000,-173000,55000,784000,-354497,885460,-5359534,-8912424,-469000,-89000,-3817000,-463000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-905395,285842,-8363000,-30852000,-13041000,-60158000,-30274054,-1415730,-9991653,-14529995,-4749000,-12815000,-15413000,-58414000,-8220000,-14548000,-79568000,34668000,-21545000,-30339000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-33090,-238960,- -,- -,- -,- -,- -,- -,- -,-25000000,-25000000,- -,-50000000,- -
91,Common Stock Issued,- -,7951499,- -,38999000,1839000,3221000,1027448,- -,- -,2289592,224000,422000,514000,494000,93000,380000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-51381991,- -,- -,- -,- -,-10018000,- -,- -,- -,- -,-33539000,-26231000,-25013000,-45696000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19897000,-20224000,-20765000,-22899000,-32120000,-43281000,-44029000,-48901000,-54039000
94,Other Financing Activites,355149,-42349,-98000,-9000,- -,628000,1149033,816235,- -,- -,- -,- -,- -,- -,25000000,25000000,- -,- -,50000000,- -
95,Cash Used/Provided by Financing Activities,355149,7909150,-98000,38990000,1839000,3849000,-49238600,577274,- -,2289592,224000,-29493000,-19710000,-20271000,2194000,-31740000,-101820000,-70260000,-73914000,-99735000
96,Effect of Forex Changes on Cash,- -,-43733,-155000,1490000,138000,834000,-5919021,2110953,6425782,-2842914,1260000,166000,-1111000,-953000,-521000,2753000,-1250000,-977000,-812000,-487000
97,Net Change In Cash,355149,11930341,-1156000,26061000,7247000,-6160000,-649358,11396187,-13190914,37945599,65971000,6986000,32491000,-13692000,119021000,60346000,-74396000,41126000,20958000,46312000
98,Cash at the End of Period,- -,22486399,23114000,48231000,55478000,49592000,48309662,60992852,54236314,91227485,154734000,161720000,194211000,180519000,321177000,381523000,307127000,348253000,369211000,415523000
99,Cash at the Beginning of Period,- -,10556057,24270000,22170000,48231000,55752000,48959020,49596664,67427227,53281886,88763000,154734000,161720000,194211000,202156000,321177000,381523000,307127000,348253000,369211000
100,Free Cash Flow,-1551724,3366900,6303000,15131000,9974000,42345000,66920472,7014642,-14361399,48130542,64956000,36356000,57129000,42282000,113348000,92198000,33389000,66680000,97684000,150040000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1329394/000119312506140505/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312507148404/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312508111683/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312509148459/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312510147017/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312511178762/d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312512196459/d306662d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312513186530/d480665d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312514171476/d659986d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312515161139/d847447d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312516569960/d145083d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312517148143/d324031d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312518143458/d530204d20f.htm,https://www.sec.gov/Archives/edgar/data/1329394/000119312519147977/d653643d20f.htm,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,
