,https://roic.ai/company/GLAE,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,127400000,81300000,-166800000,-15000000,-206000000,109900000,69300000,-26300000,-6800000,112600000,122100000,53200000,106700000,111800000,-34600000,-35300000,-76700000,-76400000,-42900000,-341100000,-23000000,-109300000,-142800000,-39700000,-8000000,-8800000,11400000,-63600000,13000000
21,Income Before Tax Ratio,0.0552,0.0357,-0.0743,-0.0066,-0.0936,0.0537,0.0491,-0.0213,-0.0058,0.1056,0.1049,0.0436,0.0848,0.0705,-0.0168,-0.0164,-0.0465,-0.0523,-0.0332,-0.3102,-0.0267,-0.1498,-2.2739,-0.9002,-Infinity,-Infinity,114.0000,-127.2000,130.0000
22,Income Tax expense (Gain),51800000,29300000,-70500000,5900000,-25900000,52800000,27000000,-25300000,-5100000,39400000,40300000,10900000,24900000,36600000,15800000,-2000000,-32700000,81900000,3800000,-400000,1400000,3100000,-100000,100000,-110600000,-100000,- -,- -,-16000000
23,Net Income,75300000,54300000,-85000000,-20500000,-180100000,57100000,43900000,-4400000,-1700000,75100000,82000000,29900000,87900000,76400000,-50400000,-33300000,-42200000,-158500000,-46700000,-340700000,-44400000,-114700000,-194000000,-125200000,-8400000,4100000,20200000,-62300000,29000000
24,Net Income ratio,0.0326,0.0238,-0.0379,-0.0090,-0.0818,0.0279,0.0311,-0.0036,-0.0014,0.0704,0.0705,0.0245,0.0699,0.0482,-0.0244,-0.0155,-0.0256,-0.1085,-0.0362,-0.3098,-0.0516,-0.1572,-3.0892,-2.8390,-Infinity,Infinity,202.0000,-124.6000,290.0000
25,EPS,2991.78,2157.42,-3377.17,-980.00,-9080.00,2900.00,2360.00,-260.00,-100.00,4300.00,4620.00,1700.00,5180.00,4420.00,-2720.00,-1780.00,-2260.00,-8380.00,-2480.00,-18180.00,-2200.00,-5600.00,-9680.00,-6768.00,-358.00,160.00,792.16,-2472.77,1150.79
26,EPS Diluted,2991.78,2157.42,-3377.17,-980.00,-9080.00,2900.00,2340.00,-260.00,-100.00,4220.00,4520.00,1680.00,5080.00,4340.00,-2720.00,-1780.00,-2260.00,-8380.00,-2480.00,-18180.00,-2200.00,-5600.00,-9680.00,-6768.00,-358.00,160.00,792.16,-2472.77,1150.79
27,Weighted Average Shares Outstanding,25169,25169,25169,20650,19850,19700,18650,17550,17400,17500,17750,17500,16950,17300,18500,18750,18750,18900,18850,18750,20250,20500,20050,18500,23500,25500,25500,25200,25200
28,Weighted Average Shares Outstanding Diluted,25169,25169,25169,21170,19850,19750,18800,17550,17400,17800,18150,17800,17300,17600,18500,18750,18750,18900,18850,18750,20250,20500,20050,18500,23500,25500,25500,25200,25200
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1014111/000089710197000372/0000897101-97-000372-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000089710198000377/0000897101-98-000377-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000089710199000287/0000897101-99-000287-index.html,- -,https://www.sec.gov/Archives/edgar/data/1014111/000091205701006717/0000912057-01-006717-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000091205702010121/a2072803z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1014111/000095013403003921/0000950134-03-003921-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095013404002740/0000950134-04-002740-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095013405004613/0000950134-05-004613-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095013406003949/c02577e10vk.htm,https://www.sec.gov/Archives/edgar/data/1014111/000095013707002624/c12435e10vk.htm,https://www.sec.gov/Archives/edgar/data/1014111/000095013708003070/0000950137-08-003070-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095013709001364/0000950137-09-001364-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095012310018081/0000950123-10-018081-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095012311021340/c62265e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/1014111/000101411113000008/0001014111-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000101411114000004/imn1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1014111/000101411115000009/imn1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1014111/000101411116000044/0001014111-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000101411117000007/0001014111-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000101411118000002/0001014111-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000149315219004550/0001493152-19-004550-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000149315220005787/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1014111/000149315221018560/0001493152-21-018560-index.htm,https://www.sec.gov/Archives/edgar/data/1014111/000149315222008479/0001493152-22-008479-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,61700000,103500000,64200000,194600000,269700000,389800000,474700000,411400000,397100000,483000000,252500000,135500000,96600000,163400000,304900000,223100000,108700000,132600000,114600000,70400000,10000000,8800000,4900000,5500000,1300000,4100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,700000,- -,200000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,61700000,103500000,64200000,194600000,269700000,389800000,474700000,411400000,415200000,483000000,252500000,135500000,96600000,163400000,304900000,223100000,108700000,132600000,114600000,70400000,32000000,9500000,4900000,5700000,1300000,4100000
34,Net Receivables,- -,476500000,479500000,467600000,459300000,326300000,252400000,171400000,150300000,138100000,196800000,185100000,194700000,308100000,507100000,378300000,314900000,258800000,234900000,220800000,163300000,134400000,25400000,7700000,5800000,- -,100000,100000,100000
35,Inventory,- -,473500000,426300000,392800000,399900000,263700000,191300000,141200000,130300000,139000000,159400000,131300000,134900000,258000000,366100000,363200000,235700000,203300000,208800000,166000000,84300000,57700000,10500000,4100000,3500000,- -,- -,- -,- -
36,Other Current Assets,- -,47600000,48800000,94500000,141700000,265700000,133100000,103900000,86500000,90400000,70800000,54400000,75600000,58300000,109900000,138100000,164400000,74200000,49700000,61600000,48800000,32700000,45400000,13700000,2600000,3600000,2800000,1000000,- -
37,Total Current Assets,- -,997600000,954600000,1016600000,1104400000,919900000,771400000,686200000,756900000,842200000,838400000,786000000,888200000,876900000,1118600000,976200000,878400000,841200000,716500000,557100000,429000000,339400000,151700000,57500000,21400000,8500000,8600000,2400000,4200000
38,PP&E,- -,654900000,513200000,480100000,381600000,233800000,212800000,200700000,171200000,181500000,226500000,214400000,195000000,178000000,171500000,122400000,109800000,66900000,55400000,58900000,51600000,45000000,4600000,2800000,800000,- -,- -,1500000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67600000,55500000,23500000,23500000,- -,31300000,73500000,72100000,36100000,3800000,3800000,- -,- -,50600000,8300000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29800000,35400000,19900000,230200000,371000000,357000000,337300000,320400000,321700000,81900000,68600000,57900000,4200000,3400000,8200000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29800000,35400000,19900000,297800000,426500000,380500000,360800000,320400000,353000000,155400000,140700000,94000000,8000000,7200000,8200000,- -,50600000,8300000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,14800000,12800000,200000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,91300000,- -,50100000,37000000,24300000,16300000,14900000,31400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,19200000,73700000,64600000,179500000,168500000,143400000,101000000,34300000,96200000,28000000,37800000,18800000,13900000,19500000,11800000,44800000,22500000,24400000,22100000,20500000,20800000,4100000,3800000,9800000,2500000,2400000,400000,12800000
45,Total Non-Current Assets,- -,674100000,586900000,544700000,561100000,402300000,356200000,301700000,296800000,277700000,334400000,324600000,258000000,506000000,632400000,546100000,515400000,409800000,432800000,236400000,212800000,159800000,16700000,13800000,18800000,6500000,67800000,23000000,13000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1671700000,1541500000,1561300000,1665500000,1322200000,1127600000,987900000,1053700000,1119900000,1172800000,1110600000,1146200000,1382900000,1751000000,1522300000,1393800000,1251000000,1149300000,793500000,641800000,499200000,168400000,71300000,40200000,15000000,76400000,25400000,17200000
48,Accounts Payable,- -,129000000,125900000,182100000,182200000,125500000,104400000,82900000,81800000,96200000,148300000,128200000,131800000,227300000,350100000,296100000,201400000,219200000,205200000,162700000,94700000,95500000,44300000,7100000,6100000,400000,2000000,1800000,1100000
49,Short-Term Debt,- -,- -,- -,26500000,31300000,25200000,27300000,23700000,12800000,4500000,- -,- -,- -,- -,10000000,- -,- -,- -,- -,20000000,20000000,18900000,200000,- -,- -,- -,- -,11000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,6700000,7200000,- -,- -,- -,- -
52,Other Current Liabilities,- -,154600000,170300000,200700000,352000000,271400000,225500000,184500000,252600000,209300000,148900000,147000000,113300000,164300000,270800000,207500000,170500000,172300000,151200000,158400000,116400000,98200000,57400000,49000000,14800000,7900000,1500000,1800000,400000
53,Total Current Liabilities,- -,283600000,296200000,409300000,565500000,422100000,357200000,291100000,347200000,310000000,297200000,275200000,245100000,391600000,630900000,503600000,371900000,391500000,356400000,341100000,231100000,212600000,110100000,62800000,28100000,8300000,3500000,14600000,1500000
54,Long-Term Debt,- -,- -,- -,123100000,319700000,32700000,1100000,- -,- -,- -,- -,- -,- -,- -,21300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23700000,41600000,18400000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,2500000,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,88100000,96600000,98600000,98100000,106300000,44000000,34300000,50800000,71400000,55300000,48600000,45800000,39300000,42500000,69900000,94700000,77800000,69200000,52000000,37500000,45800000,33900000,33800000,38800000,2200000,- -,- -,3600000
58,Total Non-Current Liabilities,- -,88100000,96600000,221700000,417800000,139000000,45100000,34300000,50800000,71400000,55300000,48600000,45800000,45000000,66300000,74100000,94700000,77800000,69200000,52000000,37500000,45800000,33900000,33800000,38800000,25900000,41600000,18400000,3600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,371700000,392800000,631000000,983300000,561100000,402300000,325400000,398000000,381400000,352500000,323800000,290900000,436600000,697200000,577700000,466600000,469300000,425600000,393100000,268600000,258400000,144000000,96600000,66900000,34200000,45100000,33000000,5100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,- -,100000,100000,- -,- -,- -
64,Retained Earnings,- -,- -,- -,11200000,-171100000,-123900000,-84100000,-90800000,-93400000,-19300000,49400000,57100000,120500000,172600000,101500000,47300000,5100000,-153400000,-200100000,-540800000,-585200000,-699900000,-893900000,-1019100000,-1027500000,-1022900000,-1002700000,-1065000000,-1036000000
65,Other Comprehensive Income/Loss,- -,-1110800000,-1355100000,-1229800000,-1322900000,-1120800000,-768400000,-737600000,-602500000,-109700000,-97600000,-86800000,-111000000,-91400000,-44100000,-85000000,-68900000,-60700000,-72600000,-74200000,-62800000,-84800000,-96100000,-20600000,-18900000,-20700000,-20600000,- -,- -
66,Other Total Stockholders Equity,- -,2410800000,2503800000,2148900000,2176200000,2005800000,1577400000,1490500000,1351200000,867100000,868100000,816100000,845400000,864700000,996000000,981900000,990600000,995400000,996000000,1015000000,1020800000,1025100000,1014000000,1014800000,1024300000,1024300000,1055000000,- -,1048100000
67,Total Stockholders Equity,- -,1300000000,1148700000,930300000,682200000,761100000,725300000,662500000,655700000,738500000,820300000,786800000,855300000,946300000,1053800000,944600000,927200000,781700000,723700000,400400000,373200000,240800000,24400000,-25300000,-22000000,-19200000,5700000,-30300000,12100000
68,Total Liabilities And Stockholders Equity,- -,1671700000,1541500000,1561300000,1665500000,1322200000,1127600000,987900000,1053700000,1119900000,1172800000,1110600000,1146200000,1382900000,1751000000,1522300000,1393800000,1251000000,1149300000,793500000,641800000,499200000,168400000,71300000,44900000,15000000,50800000,2700000,17200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4700000,- -,25600000,22700000,- -
70,Total Liabilities & Equity,- -,1671700000,1541500000,1561300000,1665500000,1322200000,1127600000,987900000,1053700000,1119900000,1172800000,1110600000,1146200000,1382900000,1751000000,1522300000,1393800000,1251000000,1149300000,793500000,641800000,499200000,168400000,71300000,40200000,15000000,76400000,25400000,17200000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1014111/000089710197000372/0000897101-97-000372-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000089710198000377/0000897101-98-000377-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000089710199000287/0000897101-99-000287-index.html,- -,https://www.sec.gov/Archives/edgar/data/1014111/000091205701006717/0000912057-01-006717-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000091205702010121/a2072803z10-k405.htm,https://www.sec.gov/Archives/edgar/data/1014111/000095013403003921/0000950134-03-003921-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095013404002740/0000950134-04-002740-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095013405004613/0000950134-05-004613-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095013406003949/c02577e10vk.htm,https://www.sec.gov/Archives/edgar/data/1014111/000095013707002624/c12435e10vk.htm,https://www.sec.gov/Archives/edgar/data/1014111/000095013708003070/0000950137-08-003070-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095013709001364/0000950137-09-001364-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095012310018081/0000950123-10-018081-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000095012311021340/c62265e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/1014111/000101411113000008/0001014111-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000101411114000004/imn1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1014111/000101411115000009/imn1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1014111/000101411116000044/0001014111-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000101411117000007/0001014111-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000101411118000002/0001014111-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000149315219004550/0001493152-19-004550-index.html,https://www.sec.gov/Archives/edgar/data/1014111/000149315220005787/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1014111/000149315221018560/0001493152-21-018560-index.htm,https://www.sec.gov/Archives/edgar/data/1014111/000149315222008479/0001493152-22-008479-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,75300000,54300000,-85000000,-20500000,-180100000,57100000,43900000,-4400000,-1700000,75100000,82000000,29900000,87900000,76400000,-50400000,-33300000,-42200000,-158500000,-46700000,-340700000,-44400000,-114700000,-194000000,-125200000,-8400000,4100000,20200000,-62300000,29000000
74,Depreciation and Amortization,184400000,185900000,189500000,181100000,147500000,129400000,87700000,122300000,54100000,38700000,39000000,46300000,38300000,38400000,46900000,49300000,43000000,41800000,36700000,35800000,23700000,21700000,16800000,2500000,4100000,2200000,100000,800000,300000
75,Deferred Income Tax,-10000000,14000000,-68100000,12600000,-45200000,23700000,-15100000,-10000000,-33400000,38200000,19600000,-1500000,23900000,9700000,-10700000,200000,-2000000,-48600000,-2900000,5700000,-4700000,3200000,13000000,-200000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,6900000,7500000,7300000,6900000,5300000,1700000,800000,-100000,-300000,200000,- -,- -
77,Change in Working Capital,-44900000,714000000,-55600000,-51100000,-68400000,-41100000,-83600000,-19100000,14600000,122500000,9000000,-30400000,132300000,-157800000,2400000,-15100000,33900000,-56800000,-89600000,-144100000,-18100000,-71100000,-85200000,-46900000,-1400000,6900000,4900000,-17300000,14900000
78,Accounts Receivable,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67600000,59700000,28000000,23700000,48800000,19100000,101200000,18000000,1900000,300000,-100000,-200000,700000
79,Inventory,- -,- -,47200000,22300000,-22000000,46300000,10200000,46600000,-10500000,-7500000,-13200000,31200000,-11900000,-49300000,7800000,200000,132900000,16100000,-12200000,45800000,64200000,15500000,35200000,6400000,600000,800000,- -,- -,- -
80,Accounts Payable,- -,- -,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98400000,13600000,-17700000,-44000000,-63300000,6800000,-50400000,-14400000,-1000000,-700000,-5600000,-400000,100000
81,Other Working Capital,- -,714000000,658400000,607300000,538900000,497800000,414200000,395100000,409700000,532200000,541200000,510800000,643100000,485300000,487700000,472600000,506500000,449700000,360100000,216000000,197900000,126800000,41600000,-5300000,-6700000,200000,5100000,-12200000,2700000
82,Other Non-Cash Items,24400000,-798100000,276000000,183900000,279700000,-175500000,51800000,103200000,94600000,-153700000,-68600000,83800000,-194700000,130800000,99300000,83600000,27300000,366600000,78700000,427500000,58700000,147800000,229900000,84200000,2200000,-23400000,-36700000,71300000,-50800000
83,Cash Provided by Operating Activities,229200000,170100000,256800000,306000000,133500000,-6400000,84700000,192000000,128200000,120800000,81000000,128100000,87700000,97500000,87500000,84700000,67500000,151400000,-16300000,-8500000,22100000,-7800000,-17800000,-84800000,-3600000,-10500000,-11300000,-7500000,-6600000
84,CAPEX,-211400000,-182700000,-180200000,-167400000,-145300000,-132400000,-64100000,-50500000,-47000000,-42600000,-75100000,-35800000,-21600000,-16000000,-14500000,-13600000,-11000000,-13300000,-7300000,-14200000,-7000000,-5600000,-3000000,-800000,-1100000,-200000,- -,-1700000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-329900000,-68300000,-15300000,- -,- -,-47000000,-103800000,12600000,3400000,200000,25800000,2000000,5300000,-4500000,-1800000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15100000,-41700000,-16100000,-300000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,-1300000,-1100000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,31400000,28900000,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,200000,- -
88,Other Investing Activites,1200000,3000000,-7300000,-17200000,-95300000,380000000,206900000,-7800000,46800000,-900000,-39400000,3800000,20900000,3200000,300000,-7100000,2000000,-13100000,-7300000,-12800000,-6800000,-5600000,-3000000,-800000,-1100000,-200000,2500000,2000000,8600000
89,Cash Used for Investing Activites,-210200000,-179700000,-187500000,-184600000,-240600000,247600000,142800000,-58300000,-200000,-43500000,-129600000,-62300000,14600000,-314100000,-82500000,-36100000,2000000,-13100000,-54300000,-115700000,5800000,-2200000,-2800000,25000000,-3100000,5100000,-3300000,-2400000,8600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3200000,-1000000,- -,-5000000,-4900000,-39200000,-35000000,-200000,- -,- -,- -,-16000000,-100000
91,Common Stock Issued,- -,- -,- -,- -,1400000,2600000,12900000,7600000,8200000,13400000,12200000,18500000,24100000,31700000,7700000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-60900000,- -,-86800000,-66500000,-1000000,-9900000,-20000000,-90500000,-15900000,-35600000,-108200000,-26400000,- -,- -,-9700000,-6500000,-2500000,-2500000,-1700000,-200000,-100000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8500000,-13200000,-15700000,-18800000,-23200000,-20900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-13100000,18500000,-72900000,-53100000,207700000,-282800000,-21100000,4200000,-9900000,-4700000,- -,- -,- -,3300000,-6300000,-31300000,- -,- -,600000,21400000,4000000,39100000,16500000,- -,5600000,- -,14800000,22200000,400000
95,Cash Used/Provided by Financing Activities,-13100000,18500000,-72900000,-53100000,148200000,-280200000,-95000000,-54700000,-2700000,-1200000,-16300000,-85200000,-7500000,-19400000,-130000000,-78000000,-3200000,-1000000,-9100000,9900000,-3400000,-2600000,-20200000,-400000,5500000,- -,14800000,6200000,300000
