,https://roic.ai/company/EQT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,92500000,89500000,45800000,63600000,68400000,78000000,84600000,78800000,93500000,69500000,-27800000,90000000,124200000,-49500000,108500000,163344000,239531000,228218000,255349000,422548000,411612000,325731000,401878000,410524000,253597000,355220000,759129000,301707000,521158000,723711000,426561000,-394527000,742523000,-3077431000,-1597471000,-1266034000,-1588688000
21,Income Before Tax Ratio,0.1956,0.1967,0.1124,0.1565,0.1337,0.1183,0.1245,0.0970,0.0854,0.0497,-0.0195,0.0483,0.0577,-0.0561,0.1021,0.0989,0.1358,0.2135,0.2438,0.3546,0.3282,0.2569,0.2953,0.2605,0.1934,0.2585,0.5734,0.2191,0.2799,0.2930,0.1823,-0.2844,0.2402,-0.6752,-0.3617,-0.4762,-0.5184
22,Income Tax expense (Gain),37500000,35400000,11200000,16500000,17500000,19100000,20400000,18800000,20000000,8800000,-29300000,30600000,46100000,-22400000,39400000,57171000,87723000,77592000,81792000,142694000,153038000,109706000,144395000,154920000,96668000,127520000,279360000,105296000,175186000,214092000,104675000,-263464000,-1115619000,-696511000,-375776000,-298858000,-434175000
23,Net Income,55000000,54100000,34600000,47100000,50900000,58900000,64200000,60000000,73500000,60700000,1500000,59400000,78100000,-44200000,69100000,106173000,151808000,154107000,170001000,279854000,260055000,220286000,257483000,255604000,156929000,227700000,479769000,183395000,390572000,386965000,85171000,-452983000,1508529000,-2244568000,-1221695000,-967166000,-1154513000
24,Net Income ratio,0.1163,0.1189,0.0849,0.1159,0.0995,0.0894,0.0945,0.0739,0.0671,0.0434,0.0011,0.0319,0.0363,-0.0501,0.0650,0.0643,0.0860,0.1442,0.1623,0.2349,0.2074,0.1737,0.1892,0.1622,0.1197,0.1657,0.3624,0.1332,0.2098,0.1567,0.0364,-0.3266,0.4880,-0.4924,-0.2767,-0.3638,-0.3767
25,EPS,0.47,0.45,0.28,0.38,0.41,0.47,0.51,0.48,0.57,0.44,0.01,0.42,0.54,-0.30,0.51,0.81,1.18,1.23,1.37,2.27,2.15,1.83,2.12,2.01,1.20,1.58,3.21,1.23,2.59,2.55,0.56,-2.71,8.05,-8.60,-4.79,-3.71,-3.24
26,EPS Diluted,0.44,0.43,0.28,0.37,0.41,0.47,0.51,0.48,0.56,0.44,0.01,0.42,0.54,-0.30,0.50,0.80,1.15,1.21,1.34,2.22,2.10,1.80,2.10,2.00,1.19,1.57,3.19,1.22,2.57,2.54,0.56,-2.71,8.04,-8.60,-4.79,-3.71,-3.24
27,Weighted Average Shares Outstanding,115789474,121573034,122477876,124768212,125679012,125319149,125268293,125000000,129515419,138036000,139172000,140752000,144012000,147332000,136157635,130273620,128650847,125801633,124088321,123283700,120955814,120374863,121454245,127234000,130820000,144458000,149392000,149619000,150574000,151553000,152398000,166978000,187380000,260932000,255141000,260613000,356792000
28,Weighted Average Shares Outstanding Diluted,125714286,125813953,125818182,126442953,125679012,125319149,125268293,125000000,130666667,138036000,139753086,140752000,144629630,147332000,137512438,132716250,132006957,127889627,126866418,126060360,123835714,122381111,122610952,128106000,131482000,145232000,150209000,150506000,151787000,152513000,152939000,166978000,187727000,260932000,255141000,260613000,356792000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33213/000003321395000002/0000033213-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321396000004/0000033213-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321397000004/0000033213-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321398000006/0000033213-98-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/33213/000095012801000488/0000950128-01-000488-index.html,https://www.sec.gov/Archives/edgar/data/33213/000091205702010471/0000912057-02-010471-index.html,- -,https://www.sec.gov/Archives/edgar/data/33213/000110465904006053/0001104659-04-006053-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465905008241/0001104659-05-008241-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465906011976/0001104659-06-011976-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465907013316/0001104659-07-013316-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465908012255/0001104659-08-012255-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465909010903/0001104659-09-010903-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465910007860/0001104659-10-007860-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465911009751/0001104659-11-009751-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465912010579/0001104659-12-010579-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465913012699/0001104659-13-012699-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465914011816/0001104659-14-011816-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321315000004/0000033213-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321316000018/0000033213-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321317000003/0000033213-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321318000003/0000033213-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321319000006/0000033213-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321320000008/0000033213-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321321000006/0000033213-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321322000007/0000033213-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,23400000,30200000,14700000,69400000,102400000,18000000,52023000,29622000,17748000,37334000,- -,74966000,- -,81711000,- -,- -,- -,831251000,182055000,845641000,1077429000,1601232000,1103540000,147315000,3487000,4596000,18210000,113963000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163879000,225339000,- -,- -,- -,- -,- -,286396000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,23400000,30200000,14700000,69400000,102400000,18000000,52023000,29622000,17748000,37334000,- -,74966000,- -,81711000,- -,163879000,225339000,831251000,182055000,845641000,1077429000,1601232000,1389936000,147315000,3487000,4596000,18210000,113963000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000000,272600000,320400000,386600000,234600000,194800000,380556000,209830000,291126000,306332000,387620000,308355000,240113000,237305000,258938000,193874000,195070000,183578000,233178000,235781000,306085000,176957000,341628000,725236000,1373416000,908942000,566552000,1438031000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,22500000,38000000,37200000,33700000,40900000,85246000,96445000,74735000,162090000,204585000,289921000,269128000,283485000,288182000,182957000,137853000,123960000,76787000,19656000,4145000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,58400000,52400000,112700000,191500000,74300000,73100000,96847000,277447000,46442000,44305000,60444000,423981000,192209000,139746000,380062000,154456000,269678000,551345000,360825000,154347000,516664000,472830000,96655000,290504000,592761000,841317000,630688000,734772000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,307800000,377700000,485800000,684700000,445000000,326800000,614672000,613344000,430051000,550061000,652649000,1097223000,701450000,742247000,927182000,695166000,827940000,1690134000,852845000,1255425000,1904323000,2251019000,1828219000,1163055000,1969664000,1754855000,1215450000,2286766000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1595700000,1457600000,1479700000,1506500000,1198100000,1221400000,1419429000,1414277000,1561815000,1766782000,1879787000,2083205000,2377471000,2919491000,4097519000,4914731000,5910091000,6806309000,7715298000,8333762000,10076814000,11472021000,13162216000,24885015000,17392507000,16155490000,16054265000,18418920000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1998726000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,66800000,68100000,64400000,60635000,57364000,51656000,51656000,51656000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736360000,77333000,26006000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,66800000,68100000,64400000,60635000,57364000,51656000,51656000,51656000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2735086000,77333000,26006000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,66000000,171000000,195121000,218022000,220233000,136972000,130368000,128983000,- -,77000000,184562000,460546000,1013002000,676009000,203380000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,938612000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,115600000,126500000,122400000,153000000,143000000,177000000,361114000,433762000,393369000,571393000,612454000,100857000,111990000,104233000,109840000,129338000,140174000,139304000,151351000,73883000,83763000,176132000,297925000,278902000,268838000,196867000,640374000,-36910000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1711300000,1584100000,1610500000,1726300000,1409200000,1462800000,1841178000,1905403000,2006840000,2389831000,2543897000,2245062000,2555461000,3194724000,4402480000,5262091000,6270498000,7082585000,7997017000,8536628000,10160577000,11725153000,13644703000,28359549000,18751680000,17054372000,16898019000,19320622000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2019100000,1961800000,2096300000,2411000000,1854200000,1789600000,2455850000,2518747000,2436891000,2939892000,3196546000,3342285000,3256911000,3936971000,5329662000,5957257000,7098438000,8772719000,8849862000,9792053000,12064900000,13976172000,15472922000,29522604000,20721344000,18809227000,18113469000,21607388000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,123400000,182200000,232000000,288200000,152800000,81400000,285723000,101654000,136478000,146086000,187797000,242618000,213326000,279257000,356732000,248987000,212134000,256757000,289032000,330329000,444077000,291550000,309978000,654624000,1059873000,796438000,705461000,1339251000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,293800000,135000000,204900000,286400000,189800000,207500000,312828000,292143000,146305000,220867000,306081000,368300000,145999000,479329000,324217000,5000000,59650000,219315000,23204000,11162000,166011000,299000000,- -,7999000,704390000,45240000,179165000,954900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37048000,39073000,52035000,44925000,56874000,78749000,75978000,57850000,68528000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,81700000,72100000,83500000,171100000,94400000,140600000,277966000,218393000,268957000,335874000,521439000,1481578000,720454000,760722000,361659000,358687000,325200000,328838000,258229000,181919000,223391000,205269000,494662000,569614000,590738000,504224000,877784000,2786020000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,498900000,389300000,520400000,745700000,437000000,429500000,876517000,612190000,551740000,702827000,1015317000,2092496000,1079779000,1519308000,1042608000,612674000,596984000,804910000,570465000,523410000,833479000,795819000,804640000,1232237000,2355001000,1345902000,1762410000,5080171000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,398300000,415500000,422100000,417600000,281400000,298400000,287789000,271250000,447000000,632147000,617769000,763434000,753500000,753500000,1249200000,1949200000,1943200000,2527627000,2502969000,2490354000,2822889000,2793343000,3289459000,7323555000,4792991000,5276775000,4771305000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,938612000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,326600000,265700000,260700000,291200000,172500000,183900000,247833000,364633000,350690000,459877000,486241000,24042000,338012000,400465000,781520000,1039473000,1274888000,1618944000,1666029000,1655765000,1750870000,1972170000,1760004000,1768900000,1823381000,1485814000,1371967000,938612000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,45300000,176200000,150800000,133000000,129900000,110000000,225016000,424520000,308822000,179701000,202547000,107845000,139340000,166226000,206241000,204880000,204670000,227408000,221597000,258396000,284599000,386798000,499572000,783299000,791742000,897148000,945057000,4604230000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,770200000,857400000,833600000,841800000,583800000,592300000,760638000,1060403000,1106512000,1271725000,1306557000,895321000,1230852000,1320191000,2236961000,3193553000,3422758000,4373979000,4390595000,4404515000,4858358000,5152311000,5549035000,9875754000,7408114000,7659737000,7088329000,6481454000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29036000,25004000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1269100000,1246700000,1354000000,1587500000,1020800000,1021800000,1637155000,1672593000,1658252000,1974552000,2321874000,2987817000,2310631000,2839499000,3279569000,3806227000,4019742000,5178889000,4961060000,4927925000,5691837000,5948130000,6353675000,11107991000,9763115000,9005639000,8850739000,11561625000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000000,223900000,227700000,269900000,280400000,280600000,281100000,282920000,287597000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1770545000,1869843000,1895632000,2153280000,3440185000,9388903000,7828554000,7818205000,8241684000,10167963000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,541500000,502000000,519900000,555200000,467300000,496100000,563755000,675207000,787505000,897087000,1087577000,1247895000,1363310000,1509596000,1653797000,1695358000,1795766000,2143910000,2195502000,2567980000,2917129000,2982212000,2509073000,3996775000,3184275000,2023089000,1048259000,-115779000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-638000000,-664100000,-731300000,-704300000,-762300000,-831100000,-806992000,-923067000,-24533000,15265000,-180347000,-755600000,-314302000,-309264000,-68737000,-14440000,38104000,188141000,99547000,44703000,199494000,46378000,2042000,-2458000,-5406000,-5199000,-5355000,-4611000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,621500000,653300000,726000000,702700000,848000000,822200000,780832000,811094000,- -,1093270000,875224000,- -,- -,- -,465296000,469672000,1244930000,1261920000,-461774000,-447738000,-429440000,-104079000,-91019000,-63602000,-49194000,-32507000,-29348000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000000,715100000,742300000,823500000,833400000,767800000,818695000,846154000,778639000,965340000,874672000,354468000,946280000,1097472000,2050093000,2151030000,3078696000,3593830000,3603820000,4034788000,4582815000,5077791000,5860281000,13319618000,10958229000,9803588000,9255240000,10045763000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2019100000,1961800000,2096300000,2411000000,1854200000,1789600000,2455850000,2518747000,2436891000,2939892000,3196546000,3342285000,3256911000,3936971000,5329662000,5957257000,7098438000,8772719000,8564880000,8962713000,10274652000,11025921000,12213956000,24427609000,20721344000,18809227000,18105979000,21607388000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284982000,829340000,1790248000,2950251000,3258966000,5094995000,- -,- -,7490000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2019100000,1961800000,2096300000,2411000000,1854200000,1789600000,2455850000,2518747000,2436891000,2939892000,3196546000,3342285000,3256911000,3936971000,5329662000,5957257000,7098438000,8772719000,8849862000,9792053000,12064900000,13976172000,15472922000,29522604000,20721344000,18809227000,18113469000,21607388000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/33213/000003321395000002/0000033213-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321396000004/0000033213-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321397000004/0000033213-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321398000006/0000033213-98-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/33213/000095012801000488/0000950128-01-000488-index.html,https://www.sec.gov/Archives/edgar/data/33213/000091205702010471/0000912057-02-010471-index.html,- -,https://www.sec.gov/Archives/edgar/data/33213/000110465904006053/0001104659-04-006053-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465905008241/0001104659-05-008241-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465906011976/0001104659-06-011976-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465907013316/0001104659-07-013316-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465908012255/0001104659-08-012255-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465909010903/0001104659-09-010903-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465910007860/0001104659-10-007860-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465911009751/0001104659-11-009751-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465912010579/0001104659-12-010579-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465913012699/0001104659-13-012699-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465914011816/0001104659-14-011816-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321315000004/0000033213-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321316000018/0000033213-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321317000003/0000033213-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321318000003/0000033213-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321319000006/0000033213-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321320000008/0000033213-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321321000006/0000033213-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321322000007/0000033213-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,50900000,58900000,64200000,60000000,73500000,60700000,1500000,59400000,78100000,-44200000,69100000,106173000,151808000,154107000,170001000,279854000,260055000,220286000,257483000,255604000,156929000,227700000,479769000,183395000,390572000,386965000,85171000,-452983000,1508529000,-2244568000,-1221695000,-967166000,-1154513000
74,Depreciation and Amortization,- -,- -,- -,- -,42500000,47200000,54600000,65900000,76900000,93300000,104600000,82400000,95100000,89500000,123800000,97777000,75041000,69448000,79818000,84738000,93527000,100122000,109802000,- -,- -,- -,- -,499118000,676570000,679298000,819216000,927920000,1088499000,1807113000,1597957000,1419471000,1676702000
75,Deferred Income Tax,- -,- -,- -,- -,4900000,2300000,4800000,-2000000,800000,-5100000,-74300000,26100000,25300000,-29500000,14600000,54519000,62340000,42869000,64284000,141151000,-125200000,64642000,32380000,245801000,234776000,153912000,234019000,95185000,110363000,32021000,17876000,-180261000,-1050612000,-510405000,-275063000,-155840000,-433608000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6768000,- -,20080000,40230000,52618000,42123000,58629000,44605000,94592000,25189000,31233000,19552000,28169000
