,https://roic.ai/company/CNX,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070412/000092701603001246/0000927016-03-001246-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312504039975/0001193125-04-039975-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312505038419/0001193125-05-038419-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312506054754/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312507034823/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312508033184/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312509030578/0001193125-09-030578-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312510025522/0001193125-10-025522-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312511030435/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041212000008/0001070412-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041213000011/0001070412-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041214000005/cnx-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041215000009/cnx-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041216000095/0001070412-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041217000017/0001070412-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041218000031/0001070412-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041219000024/0001070412-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041220000011/0001070412-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041221000016/0001070412-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041222000011/0001070412-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18788000,31300000,23600000,8181000,- -,11517000,6513000,6422000,340640000,223883000,41651000,138512000,65607000,32794000,375736000,21878000,327420000,176989000,72578000,60475000,509167000,17198000,16283000,15617000,3565000
32,Short-Term Investments,114829000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,133617000,31300000,23600000,8181000,- -,11517000,6513000,6422000,340640000,223883000,41651000,138512000,65607000,32794000,375736000,21878000,327420000,176989000,72578000,60475000,509167000,17198000,16283000,15617000,3565000
34,Net Receivables,282598000,289300000,262800000,287792000,- -,355052000,181372000,141831000,299617000,356343000,269406000,335143000,333443000,506647000,883470000,915692000,613113000,627364000,336490000,406974000,237248000,412982000,209584000,150255000,339118000
35,Inventory,140724000,170600000,207000000,156853000,- -,135621000,103358000,121902000,140976000,149307000,163193000,227810000,307597000,258538000,258335000,247766000,157914000,101873000,97438000,65461000,10742000,9715000,6984000,9657000,6147000
36,Other Current Assets,113300000,124000000,129200000,124902000,- -,120647000,179597000,200014000,217267000,184963000,208905000,282349000,234389000,317027000,380436000,353758000,347145000,260124000,298257000,93229000,95347000,61791000,265250000,97803000,110977000
37,Total Current Assets,670239000,615200000,622600000,577728000,- -,622837000,470840000,470169000,998500000,914496000,683155000,983814000,941036000,1115006000,1897977000,1539094000,1445592000,1166350000,804763000,626139000,852504000,501686000,498101000,273332000,459807000
38,PP&E,2439090000,2687000000,2674300000,2574444000,- -,2904024000,2686458000,3182580000,3534763000,4040287000,4965042000,5765972000,6124290000,10129251000,9326416000,10190967000,9442262000,10162472000,9669377000,8140439000,5789753000,6942444000,7323672000,7134228000,7045505000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,796359000,796359000,323314000,323314000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,375049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103200000,96647000,90095000,83543000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,375049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,899559000,893006000,413409000,406857000
42,Investments,- -,- -,- -,- -,- -,135362000,- -,- -,52000000,84000000,95000000,72996000,83533000,93509000,182036000,222830000,291675000,152958000,237330000,190964000,197921000,18663000,16710000,16022000,- -
43,Tax Assets,201270000,- -,- -,- -,- -,420718000,409090000,355008000,367228000,507996000,374811000,333543000,425297000,484846000,507724000,444585000,- -,- -,- -,4290000,- -,- -,- -,- -,328601000
44,Other Non-Current Assets,237412000,561200000,578100000,714139000,- -,210219000,377541000,187854000,135161000,116553000,90082000,214133000,151245000,247998000,611547000,273433000,214138000,277750000,218432000,222149000,91735000,229818000,329317000,204773000,-140019000
45,Total Non-Current Assets,2877772000,3248200000,3252400000,3288583000,- -,3670323000,3848138000,3725442000,4089152000,4748836000,5524935000,6386644000,6784365000,10955604000,10627723000,11131815000,9948075000,10593180000,10125139000,8557842000,6079409000,8090484000,8562705000,7768432000,7640944000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3548011000,3863400000,3875000000,3866311000,- -,4293160000,4318978000,4195611000,5087652000,5663332000,6208090000,7370458000,7725401000,12070610000,12525700000,12670909000,11393667000,11759530000,10929902000,9183981000,6931913000,8592170000,9060806000,8041764000,8100751000
48,Accounts Payable,200985000,226300000,194600000,143815000,- -,151371000,134772000,166068000,197375000,225060000,238312000,385197000,269560000,354011000,522003000,507982000,514580000,531973000,271394000,241616000,211161000,229806000,202553000,118185000,121751000
49,Short-Term Debt,55051000,667500000,359300000,471067000,- -,213160000,122090000,8945000,4629000,59518000,265783000,580101000,518244000,508783000,20691000,76404000,11455000,13016000,958650000,12000000,7111000,6997000,68834000,82025000,23495000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27944000,- -,133322000,70391000,26305000,17951000,15172000,20679000,9779000,7300000,9115000,10580000,72000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18211000,11559000,17693000,13964000,10986000,- -
52,Other Current Liabilities,336890000,323800000,330200000,337920000,- -,449902000,567737000,530472000,601918000,455546000,512302000,546442000,640782000,801991000,845703000,802713000,593936000,602972000,450893000,668187000,211848000,268479000,243588000,230116000,809330000
53,Total Current Liabilities,592926000,1217600000,884100000,952802000,- -,814433000,824599000,705485000,803922000,740124000,1016397000,1511740000,1428586000,1664785000,1388397000,1387099000,1119971000,1147961000,1680937000,940014000,441679000,522975000,528939000,441312000,954576000
54,Long-Term Debt,389618000,315100000,312700000,300605000,- -,485535000,441912000,425760000,438367000,391983000,398077000,393312000,363729000,3128736000,3122234000,3124473000,3115963000,3236422000,2712911000,2722995000,2187026000,2378205000,2754443000,2455719000,2249011000
55,Deferred Revenue,- -,- -,- -,- -,- -,102400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328601000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242643000,325592000,74629000,- -,44373000,398682000,476108000,466253000,328601000
57,Other Non-Current Liabilities,2262702000,2433900000,2423500000,2358725000,- -,2728745000,2761830000,2595345000,2726563000,3329415000,3416079000,4003219000,3908607000,4341076000,4404184000,4205592000,1908801000,1720097000,1605649000,1580084000,358936000,210565000,339007000,256043000,539689000
58,Total Non-Current Liabilities,2652320000,2749000000,2736200000,2659330000,- -,3316680000,3203742000,3021105000,3164930000,3721398000,3814156000,4396531000,4272336000,7469812000,7526418000,7330065000,5267407000,5282111000,4393189000,4303079000,2590335000,2987452000,3569558000,3178015000,3445902000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,2896000,- -,- -,- -,100762000,90848000,75039000,59179000,57402000,55189000,50113000,56094000,47420000,35294000,49397000,27195000,20296000,187006000,113743000,58385000
61,Total Liabilities,3245246000,3966600000,3620300000,3612132000,- -,4131113000,4028341000,3726590000,3968852000,4461522000,4830553000,5908271000,5700922000,9134597000,8914815000,8717164000,6387378000,6430072000,6074126000,5243093000,3032014000,3510427000,4098497000,3619327000,4400478000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1088000,- -,800000,803000,- -,803000,913000,913000,925000,1851000,1851000,1830000,1830000,2273000,2273000,2284000,2294000,2306000,2294000,2298000,2241000,1990000,1870000,2208000,2039000
64,Retained Earnings,-500239000,-405600000,-388100000,-370152000,- -,-372017000,-425470000,-277406000,252109000,600541000,766536000,1010902000,1456898000,1680597000,2184737000,2402551000,2964520000,3054150000,2579834000,1727789000,1455811000,2071809000,1971676000,1476056000,877894000
65,Other Comprehensive Income/Loss,-2067707000,-2157000000,-2188900000,-2277573000,- -,-93370000,-102601000,-94076000,-111919000,-375717000,-419284000,-461900000,-640504000,-874338000,-801554000,-747342000,-325117000,-151100000,-315598000,-392556000,-8476000,-7904000,-12605000,-15184000,-14523000
66,Other Total Stockholders Equity,2869623000,2459400000,2830900000,2901101000,- -,626631000,817795000,839590000,884241000,839476000,865316000,911355000,967324000,2135945000,2225429000,2296299000,2364592000,2424102000,2435497000,2460864000,2450323000,2264063000,2199605000,2959357000,2834863000
67,Total Stockholders Equity,302765000,-103200000,254700000,254179000,- -,162047000,290637000,469021000,1025356000,1066151000,1214419000,1462187000,1785548000,2944477000,3610885000,3953792000,5006289000,5329458000,4702027000,3798395000,3899899000,4329958000,4160546000,4422437000,3700273000
68,Total Liabilities And Stockholders Equity,3548011000,3863400000,3875000000,3866311000,- -,4293160000,4318978000,4195611000,4994208000,5527673000,6044972000,7370458000,7486470000,12079074000,12525700000,12670956000,11393667000,11759530000,10776153000,9041488000,6931913000,7840385000,8259043000,8041764000,8100751000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,93444000,135659000,163118000,- -,238931000,-8464000,- -,-47000,- -,- -,153749000,142493000,- -,751785000,801763000,- -,- -
70,Total Liabilities & Equity,3548011000,3863400000,3875000000,3866311000,- -,4293160000,4318978000,4195611000,5087652000,5663332000,6208090000,7370458000,7725401000,12070610000,12525700000,12670909000,11393667000,11759530000,10929902000,9183981000,6931913000,8592170000,9060806000,8041764000,8100751000
71,SEC Link,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1070412/000092701603001246/0000927016-03-001246-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312504039975/0001193125-04-039975-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312505038419/0001193125-05-038419-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312506054754/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312507034823/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312508033184/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312509030578/0001193125-09-030578-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312510025522/0001193125-10-025522-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312511030435/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041212000008/0001070412-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041213000011/0001070412-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041214000005/cnx-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041215000009/cnx-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041216000095/0001070412-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041217000017/0001070412-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041218000031/0001070412-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041219000024/0001070412-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041220000011/0001070412-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041221000016/0001070412-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041222000011/0001070412-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,183789000,174600000,40000000,107040000,183650000,11676000,-7798000,115209000,580861000,408882000,267782000,442470000,539717000,346781000,632497000,388470000,660442000,163090000,-374885000,-848102000,380747000,796533000,-80730000,-483775000,-498643000
74,Depreciation and Amortization,- -,255500000,127300000,266321000,260464000,- -,249165000,285304000,266334000,300010000,329234000,394492000,441387000,571823000,626005000,627438000,461122000,571191000,649601000,598503000,412036000,493423000,508463000,501821000,515118000
75,Deferred Income Tax,-16024000,-26400000,-19300000,-23172000,28631000,-45557000,-18511000,-26914000,-4644000,19041000,59555000,135594000,47430000,17029000,-53011000,-6649000,-36777000,-10430000,-152051000,120305000,-142829000,345560000,79092000,-118300000,-137887000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25186000,39032000,47593000,48842000,47838000,56987000,41877000,24506000,31483000,16983000,21341000,38425000,14382000,16560000
77,Change in Working Capital,69273000,679713000,-679713000,340900000,-113574000,183478000,-162163000,118443000,429894000,-20206000,-507614000,-194684000,40376000,-62229000,1059359000,-357585000,173626000,-307232000,-894563000,562299000,724700000,-432114000,-9549000,-137142000,-326789000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40147000,-115000000,- -,- -,-20218000,135970000,-97248000,118205000,-48014000,-32792000,-57734000,118622000,-4895000,-184461000
79,Inventory,-8997000,-15700000,-36400000,50142000,61807000,-21727000,27044000,-18544000,-13361000,-7427000,13448000,-53994000,-79787000,48919000,-380000,10569000,12894000,19933000,4435000,1330000,4254000,1027000,2731000,-2673000,1487000
80,Accounts Payable,- -,- -,- -,- -,- -,-20552000,- -,- -,- -,- -,- -,64851000,-70458000,78839000,144652000,-20106000,-99944000,27465000,-148580000,-27371000,45669000,12760000,-6405000,-48485000,3006000
81,Other Working Capital,-602400000,77313000,-602400000,-261500000,-375074000,-191596000,-353759000,-235316000,194578000,174372000,-333242000,-527926000,-487550000,-549779000,509580000,151995000,325621000,18389000,-876174000,-313875000,410825000,-21289000,-30838000,-167980000,-494769000
82,Other Non-Cash Items,190875000,-688113000,616713000,-396061000,76512000,179959000,320434000,-133951000,-863359000,-43180000,535076000,226406000,-162491000,210315000,-786086000,28617000,-656624000,478284000,1253241000,4797000,-742950000,-338920000,444859000,1018085000,1357998000
83,Cash Provided by Operating Activities,427913000,395300000,85000000,295028000,435683000,329556000,381127000,358091000,409086000,664547000,684033000,1029464000,945451000,1131312000,1527606000,728129000,658776000,936780000,505849000,469285000,648687000,885823000,980560000,795071000,926357000
84,CAPEX,-206736000,-354900000,-105100000,-142598000,-213999000,-295235000,-290652000,-410611000,-523467000,-665796000,-743114000,-1061669000,-920080000,-1154024000,-1382371000,-1575230000,-1496056000,-1493425000,-1022567000,-226820000,-632846000,-1116397000,-1192599000,-487291000,-465861000
85,Acquisitions Net,- -,- -,- -,-163506000,-39072000,- -,- -,- -,- -,-24750000,-306724000,-67259000,- -,-3470212000,- -,-23451000,-35712000,95207000,-84221000,73743000,42873000,-299272000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-2299000,- -,-67969000,- -,- -,- -,-30963000,-7057000,- -,- -,-991034000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,114800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1879000,4855000,11452000,55876000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,52243000,4200000,4300000,8849000,19906000,-271967000,86038000,10069000,449054000,59963000,84791000,-1033476000,-850196000,-1094180000,-634400000,-976959000,-166269000,-1136589000,-911996000,413628000,-264794000,-595380000,-1147439000,-438969000,-420610000
89,Cash Used for Investing Activites,52243000,-235900000,-100800000,-299554000,-233165000,-339936000,-204614000,-400542000,-74413000,-661546000,-972104000,-1098856000,-845341000,-5543974000,-578524000,-1000410000,-201981000,-1041382000,-996217000,487371000,-221921000,-894652000,-1147439000,-438969000,-420610000
90,Debt Repayment,-50065000,- -,- -,- -,- -,-190278000,- -,- -,- -,- -,- -,-10414000,-104040000,-50262000,-549785000,- -,-69390000,-1865888000,-1268057000,-960312000,-247753000,-1027684000,-413025000,-1410318000,-690796000
91,Common Stock Issued,- -,- -,340700000,- -,1622000,1941000,191232000,14864000,39150000,14670000,19224000,15215000,2547000,1834855000,9033000,8278000,3727000,15016000,8288000,4000,1009000,1713000,565000,2057000,5087000
92,Common Stock Repurchased,- -,-500000000,- -,-19396000,- -,- -,- -,- -,- -,-116450000,-80157000,-97794000,- -,- -,- -,-9485000,-2151000,- -,-71674000,- -,-103209000,-381752000,-117477000,-37247000,-245243000
93,Dividends Paid,-460000000,-80000000,-22500000,-89055000,-88014000,-66086000,-45613000,-50471000,-51321000,-51416000,-56475000,-72957000,-72292000,-85861000,-96356000,-142278000,-85832000,-57506000,-33281000,-2294000,- -,- -,- -,- -,- -
94,Other Financing Activites,8711000,433100000,-310100000,97599000,-107682000,260738000,-327136000,77967000,11716000,33438000,223247000,332203000,770000,2681117000,30968000,61908000,2409000,1862549000,1750681000,-6153000,386055000,924583000,695901000,1094722000,407171000
95,Cash Used/Provided by Financing Activities,-501354000,-146900000,8100000,-10852000,-194074000,6315000,-181517000,42360000,-455000,-119758000,105839000,166253000,-173015000,4379849000,-606140000,-81577000,-151237000,-45829000,385957000,-968755000,36102000,-483140000,165964000,-350786000,-523781000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-21198000,-146900000,-7700000,-15378000,8444000,-4065000,-5004000,-91000,334218000,-116757000,-182232000,96861000,-72905000,-32813000,342942000,-353858000,305558000,-150431000,-104411000,-12099000,462868000,-491969000,-915000,5316000,-18034000
98,Cash at the End of Period,18788000,- -,23600000,8181000,16625000,11517000,6513000,6422000,340640000,223883000,41651000,138512000,65607000,32794000,375736000,21878000,327420000,176989000,72578000,60475000,509167000,17198000,16283000,21599000,3565000
99,Cash at the Beginning of Period,39986000,18800000,31300000,23559000,8181000,15582000,11517000,6513000,6422000,340640000,223883000,41651000,138512000,65607000,32794000,375736000,21862000,327420000,176989000,72574000,46299000,509167000,17198000,16283000,21599000
100,Free Cash Flow,221177000,40400000,-20100000,152430000,221684000,34321000,90475000,-52520000,-114381000,-1249000,-59081000,-32205000,25371000,-22712000,145235000,-847101000,-837280000,-556645000,-516718000,242465000,15841000,-230574000,-212039000,307780000,460496000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070412/000092701603001246/0000927016-03-001246-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312504039975/0001193125-04-039975-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312505038419/0001193125-05-038419-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312506054754/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312507034823/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312508033184/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000119312509030578/0001193125-09-030578-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312510025522/0001193125-10-025522-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000119312511030435/d10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041212000008/0001070412-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041213000011/0001070412-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041214000005/cnx-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041215000009/cnx-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041216000095/0001070412-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041217000017/0001070412-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041218000031/0001070412-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041219000024/0001070412-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041220000011/0001070412-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1070412/000107041221000016/0001070412-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1070412/000107041222000011/0001070412-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
