,https://roic.ai/company/VEC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),33000000,35731000,47000000,14079000,2458000,13532000,-22917000,7956000,10429000,1731000,8307000
23,Net Income,54000000,74665000,84000000,22812000,30973000,23655000,59497000,35296000,34716000,36951000,45728000
24,Net Income ratio,0.0299,0.0408,0.0556,0.0190,0.0262,0.0199,0.0534,0.0276,0.0251,0.0265,0.0256
25,EPS,5.40,7.47,8.40,2.18,2.94,2.21,5.40,3.14,3.03,3.19,3.94
26,EPS Diluted,5.40,7.47,8.40,2.13,2.86,2.16,5.31,3.10,2.99,3.14,3.89
27,Weighted Average Shares Outstanding,10000000,10000000,10000000,10476000,10551000,10714000,11021000,11224000,11444000,11599000,11599000
28,Weighted Average Shares Outstanding Diluted,10000000,10000000,10000000,10692000,10825000,10974000,11209000,11378000,11612000,11751000,11751000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1601548/000160154815000012/0001601548-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154816000082/0001601548-16-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154817000007/0001601548-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154818000008/0001601548-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154819000016/0001601548-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154820000016/0001601548-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154821000014/0001601548-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154822000018/0001601548-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,14000000,10000000,42823000,39995000,47651000,77453000,66145000,35318000,66949000,38513000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,14000000,10000000,42823000,39995000,47651000,77453000,66145000,35318000,66949000,38513000
34,Net Receivables,- -,329000000,228000000,209844000,211804000,183074000,187746000,232119000,269239000,314959000,348605000
35,Inventory,- -,5000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,10000000,11000000,10883000,9708000,13412000,6747000,15063000,16154000,26480000,36222000
37,Total Current Assets,- -,358000000,255000000,263550000,261507000,244137000,271946000,313327000,320711000,408388000,423340000
38,PP&E,- -,10000000,9000000,8920000,4762000,3061000,3733000,13419000,33798000,41291000,67409000
39,Goodwill,- -,222000000,222000000,216930000,216930000,216930000,216930000,233619000,261983000,339702000,321734000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,8630000,14926000,48105000,66582000
41,Intangible Assets,- -,222000000,222000000,216930000,216930000,216930000,216930000,242249000,276909000,387807000,388316000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1000000,3000000,10091000,1197000,1177000,2942000,3248000,5066000,6325000,10394000
45,Total Non-Current Assets,- -,233000000,234000000,235941000,222889000,221168000,223605000,258916000,315773000,435423000,466119000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,591000000,489000000,499491000,484396000,465305000,495551000,572243000,636484000,843811000,889459000
48,Accounts Payable,- -,162000000,111000000,114487000,122442000,118055000,115899000,156393000,148015000,159586000,212533000
49,Short-Term Debt,- -,- -,- -,11375000,22000000,15750000,4000000,4500000,12243000,14845000,22383000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6425000
51,Deferred Revenue,- -,12000000,12000000,5806000,6025000,1421000,3766000,- -,- -,- -,- -
52,Other Current Liabilities,- -,126000000,85000000,99067000,62051000,52610000,58513000,64093000,81999000,113980000,123332000
53,Total Current Liabilities,- -,300000000,208000000,230735000,212518000,187836000,182178000,224986000,242257000,288411000,358248000
54,Long-Term Debt,- -,- -,- -,126000000,89615000,67842000,73211000,69137000,63041000,168751000,128782000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,70000000,75000000,75337000,91343000,89667000,55329000,55358000,49808000,39386000,40662000
57,Other Non-Current Liabilities,- -,20000000,15000000,13544000,1610000,2559000,1461000,1462000,19997000,42325000,11680000
58,Total Non-Current Liabilities,- -,90000000,90000000,214881000,182568000,160068000,130001000,125957000,132846000,250462000,181124000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,5743000,20215000,46519000
61,Total Liabilities,- -,390000000,298000000,445616000,395086000,347904000,312179000,350943000,375103000,538873000,539372000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,105000,106000,109000,111000,113000,115000,116000,117000
64,Retained Earnings,- -,- -,- -,3331000,34304000,57959000,117415000,152616000,187591000,222026000,267754000
65,Other Comprehensive Income/Loss,- -,-2000000,-1000000,-2528000,-3740000,-4577000,-1680000,-3158000,-5082000,-27000,-5900000
66,Other Total Stockholders Equity,- -,209000000,202000000,52967000,58640000,63910000,67526000,71729000,78757000,82823000,- -
67,Total Stockholders Equity,- -,201000000,191000000,53875000,89310000,117401000,183372000,221300000,261381000,304938000,350087000
68,Total Liabilities And Stockholders Equity,- -,591000000,489000000,499491000,484396000,465305000,495551000,572243000,636484000,843811000,889459000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,591000000,489000000,499491000,484396000,465305000,495551000,572243000,636484000,843811000,889459000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1601548/000160154815000012/0001601548-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154816000082/0001601548-16-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154817000007/0001601548-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154818000008/0001601548-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154819000016/0001601548-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154820000016/0001601548-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154821000014/0001601548-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154822000018/0001601548-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,54000000,74665000,84000000,22812000,30973000,23655000,59497000,35296000,34716000,36951000,45728000
74,Depreciation and Amortization,3000000,3035000,3000000,2149000,3138000,1920000,1686000,3797000,6490000,8126000,16554000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,2324000,6658000,4649000,4467000,4096000,8262000,9445000,8331000
77,Change in Working Capital,-22000000,-13000000,-11000000,-14185000,16174000,7312000,33467000,-1427000,-9887000,41523000,-10251000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,78000000,9918000,-51000000,6169000,8874000,-3766000,-4346000,29960000,-11733000,-2680000,56985000
81,Other Working Capital,71000000,58000000,47000000,32815000,48989000,56301000,89768000,88341000,78454000,119977000,-6147000
82,Other Non-Cash Items,- -,51169000,16000000,29879000,-38063000,-918000,-63707000,-1706000,-12024000,-31964000,977000
83,Cash Provided by Operating Activities,35000000,115869000,92000000,42979000,18880000,36618000,35410000,40056000,27557000,64081000,61339000
84,CAPEX,-3000000,-3230000,-2000000,-3847000,-793000,-741000,-2344000,-10025000,-16151000,-4500000,-9776000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-36855000,-45074000,-133609000,-2883000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3000000,-2564000,-2000000,-3350000,118000,-52000,-2344000,-9992000,-10751000,-4416000,16000
89,Cash Used for Investing Activites,-3000000,-2564000,-2000000,-3350000,118000,-52000,-2344000,-46847000,-55825000,-138025000,-12643000
90,Debt Repayment,- -,- -,- -,-2625000,-347375000,-103000000,-128500000,-211000000,-338000000,-205500000,-602600000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-17000000,-113753000,-95000000,-3982000,325665000,74938000,121370000,207715000,336104000,311274000,527015000
95,Cash Used/Provided by Financing Activities,-17000000,-113753000,-95000000,-6607000,-21710000,-28062000,-7130000,-3285000,-1896000,105774000,-75585000
96,Effect of Forex Changes on Cash,-2000000,1052000,1000000,-645000,-116000,-848000,3866000,-1232000,-663000,1579000,-3325000
97,Net Change In Cash,13000000,604000,-4000000,32377000,-2828000,7656000,29802000,-11308000,-30827000,33409000,-30214000
98,Cash at the End of Period,14000000,14400000,10000000,42823000,39995000,47651000,77453000,66145000,35318000,68727000,38513000
99,Cash at the Beginning of Period,1000000,13796000,14000000,10446000,42823000,39995000,47651000,77453000,66145000,35318000,68727000
100,Free Cash Flow,32000000,112639000,90000000,39132000,18087000,35877000,33066000,30031000,11406000,59581000,51563000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1601548/000160154815000012/0001601548-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154816000082/0001601548-16-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154817000007/0001601548-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154818000008/0001601548-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154819000016/0001601548-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154820000016/0001601548-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154821000014/0001601548-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1601548/000160154822000018/0001601548-22-000018-index.htm
102,false,,,,,,,,,,,
