,https://roic.ai/company/LNG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,- -,4965500,6666667,8007727,12898207,26367953,26070512,26594786,29543400,38894000,53358000,54423000,50537000,47365000,51598000,55765000,76483000,181768000,218869000,224338000,226903000,228768000,233100000,248000000,258100000,252400000,253600000
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/3570/000089924396001542/0000899243-96-001542-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3570/000089924301000827/0000899243-01-000827-index.html,https://www.sec.gov/Archives/edgar/data/3570/000089924302000927/0000899243-02-000927-index.html,- -,https://www.sec.gov/Archives/edgar/data/3570/000119312504049308/0001193125-04-049308-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312505046389/0001193125-05-046389-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312506051265/0001193125-06-051265-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312507041208/0001193125-07-041208-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312508039317/0001193125-08-039317-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312509040197/0001193125-09-040197-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357010000005/0000003570-10-000005-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357011000026/0000003570-11-000026-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357012000016/0000003570-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357013000036/0000003570-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357014000031/0000003570-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357015000025/0000003570-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357016000284/0000003570-16-000284-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357017000052/0000003570-17-000052-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357018000031/0000003570-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357019000030/0000003570-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357020000043/0000003570-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357021000039/0000003570-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357022000024/0000003570-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1100000,- -,100000,1200000,1888562,610718,590039,1257693,308443000,692592000,462963000,296530000,102192000,88372000,74161000,459160000,201711000,960842000,1747583000,1201112000,875836000,722000000,981000000,2474000000,1628000000,1404000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1100000,- -,100000,1200000,1888562,610718,590039,1257693,309343000,692592000,462963000,296530000,102192000,88372000,74161000,459160000,201711000,960842000,1747583000,1201112000,875836000,722000000,981000000,2474000000,1628000000,1404000000
34,Net Receivables,- -,- -,- -,600000,900000,851706,636527,1137682,2828065,1374000,2912000,7941000,48786000,3630000,9899000,4699000,3043000,3486000,4486000,4419000,5749000,217925000,371000000,585000000,491000000,647000000,1506000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32602000,1212000,6562000,7045000,10563000,4294000,18125000,160161000,243000000,316000000,312000000,292000000,706000000
36,Other Current Assets,- -,- -,- -,100000,1300000,98532,96914,121099,401594,564000,175959000,358073000,255296000,310770000,155402000,85538000,122687000,536321000,615289000,502581000,557600000,984396000,2033000000,2352000000,935000000,602000000,1440000000
37,Total Current Assets,- -,1100000,- -,800000,3400000,2838800,1344159,1848820,4487352,311281000,871463000,828977000,600612000,416592000,286275000,165610000,591452000,748563000,1591180000,2258877000,1782586000,2238318000,3369000000,4234000000,4212000000,3169000000,5056000000
38,PP&E,- -,- -,- -,20100000,31000000,25187548,18582318,17810570,19713235,20094000,298083000,748818000,1645112000,2170158000,2216855000,2157597000,2107129000,3282305000,6454399000,9246753000,16193907000,20635294000,23978000000,27245000000,30112000000,31180000000,32390000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76844000,76844000,76844000,76819000,76819000,76819000,76819000,76819000,76819000,76819000,76819000,77000000,77000000,77000000,77000000,77000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,79670,88000,76937000,4331000,20402000,6106000,6088000,6067000,4782000,4356000,3366000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,79670,88000,76937000,81175000,97246000,82950000,82907000,82886000,81601000,81175000,80185000,76819000,76819000,76819000,77000000,77000000,77000000,77000000,77000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20295000,15091000,64000000,94000000,108000000,81000000,56000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529000000,489000000,1204000000
44,Other Non-Current Assets,- -,4000000,- -,-100000,100000,6639270,5097199,1400000,310500,2104000,61641000,945518000,619329000,252370000,146585000,147414000,135143000,527042000,1547473000,991234000,945982000,737215000,418000000,337000000,454000000,701000000,475000000
45,Total Non-Current Assets,- -,4000000,- -,20000000,31100000,31826818,23679517,19210570,20103405,22286000,436661000,1775511000,2361687000,2505478000,2446347000,2387897000,2323873000,3890522000,8082057000,10314806000,17237003000,21464419000,24537000000,27753000000,31280000000,32528000000,34202000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5100000,- -,20800000,34500000,34665618,25023676,21059390,24590757,333567000,1308124000,2604488000,2962299000,2922070000,2732622000,2553507000,2915325000,4639085000,9673237000,12573683000,19019589000,23702737000,27906000000,31987000000,35492000000,35697000000,39258000000
48,Accounts Payable,- -,300000,- -,500000,1800000,1472293,1464812,1828267,1984314,1262000,778000,3659000,6620000,1220000,426000,1283000,1103000,74360000,10367000,13426000,22820000,48577000,25000000,58000000,66000000,35000000,155000000
49,Short-Term Debt,- -,400000,- -,2000000,5000000,- -,- -,750000,1000000,- -,- -,- -,- -,- -,- -,- -,492724000,- -,- -,- -,1676197000,247467000,- -,239000000,236000000,533000000,902000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26456000,26592000,26628000,26540000,26593000,26655000,26669000,72631000,111000000,139000000,161000000,138000000,155000000
52,Other Current Liabilities,- -,- -,- -,- -,-100000,132117,409589,683788,1347512,4267000,60544000,58280000,166481000,64913000,39330000,38459000,64505000,58863000,200051000,192394000,462400000,707994000,1115000000,1306000000,1411000000,1490000000,3481000000
53,Total Current Liabilities,- -,700000,- -,2500000,6700000,1604410,1874401,3262055,4331826,5529000,61322000,61939000,173101000,66133000,66212000,66334000,584960000,159763000,237011000,232475000,2188086000,1076669000,1251000000,1742000000,1874000000,2196000000,4693000000
54,Long-Term Debt,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,917500000,2357000000,2757000000,3164727000,3041875000,2927509000,2474711000,2167113000,6576273000,9806084000,15128145000,21687532000,25336000000,28179000000,30774000000,31125000000,31047000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29994000,25500000,21500000,17500000,13500000,9500000,5500000,1000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,- -,- -,- -,1000000,23099000,42784000,42302000,48637000,45641000,56662000,2280000,3146000,29104000,2396000,20107000,132455000,94640000,78000000,137000000,409000000,158000000,3551000000
58,Total Non-Current Liabilities,- -,- -,- -,2000000,100000,- -,- -,- -,1000000,23099000,960284000,2399302000,2805637000,3210368000,3098537000,2959783000,2503357000,2217717000,6596169000,9839691000,15270100000,21787672000,25415000000,28316000000,31183000000,31283000000,34598000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,483000000,815000000,2133000000
61,Total Liabilities,- -,700000,- -,4500000,6800000,1604410,1874401,3262055,5331826,28628000,1021606000,2461241000,2978738000,3276501000,3164749000,3026117000,3088317000,2377480000,6833180000,10072166000,17458186000,22864341000,26666000000,30058000000,33057000000,33479000000,39291000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,37642,39892,39892,49465,76000,164000,166000,143000,157000,170000,204000,389000,671000,716000,712000,708000,714000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,-1200000,- -,-3800000,-5600000,-6359223,-18024485,-23656793,-28944810,-53513000,-83311000,-247141000,-428918000,-785389000,-985246000,-1061449000,-1260205000,-1592985000,-2100907000,-2648839000,-3623948000,-4233939000,-4627000000,-4156000000,-3508000000,-3593000000,-6021000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-100000,- -,-30837,-10607817,-10853121,-700617,-6543000,-5886000,-34000,-5000,-154000,-133000,-173000,-258000,-27351000,- -,-380666000,-506045000,-619195000,-968000000,-1411000000,-2194000000,- -,- -
66,Other Total Stockholders Equity,- -,5600000,- -,20200000,33200000,39413626,51741685,52267357,48734861,364581000,375551000,390256000,126666000,180793000,335477000,399787000,878507000,2129666000,2279873000,2864616000,3227435000,3455995000,3830000000,5040000000,5687000000,3401000000,3449000000
67,Total Stockholders Equity,- -,4400000,- -,16300000,27700000,33061208,23149275,17797335,19138899,304601000,286518000,143247000,-302114000,-604593000,-649732000,-661631000,-381567000,510001000,179682000,-164177000,-901850000,-1396425000,-1764000000,-526000000,-14000000,-191000000,-2571000000
68,Total Liabilities And Stockholders Equity,- -,5100000,- -,20800000,34500000,34665618,25023676,21059390,24470725,333229000,1308124000,2604488000,2676624000,2671908000,2515017000,2364486000,2706750000,2887481000,7012862000,9907989000,16556336000,21467916000,24902000000,29532000000,33043000000,33288000000,36720000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,120032,338000,- -,- -,285675000,250162000,217605000,189021000,208575000,1751604000,2660375000,2665694000,2463253000,2234821000,3004000000,2455000000,2449000000,2409000000,2538000000
70,Total Liabilities & Equity,- -,5100000,- -,20800000,34500000,34665618,25023676,21059390,24590757,333567000,1308124000,2604488000,2962299000,2922070000,2732622000,2553507000,2915325000,4639085000,9673237000,12573683000,19019589000,23702737000,27906000000,31987000000,35492000000,35697000000,39258000000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/3570/000089924396001542/0000899243-96-001542-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/3570/000089924301000827/0000899243-01-000827-index.html,https://www.sec.gov/Archives/edgar/data/3570/000089924302000927/0000899243-02-000927-index.html,- -,https://www.sec.gov/Archives/edgar/data/3570/000119312504049308/0001193125-04-049308-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312505046389/0001193125-05-046389-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312506051265/0001193125-06-051265-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312507041208/0001193125-07-041208-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312508039317/0001193125-08-039317-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000119312509040197/0001193125-09-040197-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357010000005/0000003570-10-000005-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357011000026/0000003570-11-000026-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357012000016/0000003570-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357013000036/0000003570-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357014000031/0000003570-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357015000025/0000003570-15-000025-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357016000284/0000003570-16-000284-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357017000052/0000003570-17-000052-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357018000031/0000003570-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357019000030/0000003570-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357020000043/0000003570-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357021000039/0000003570-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/3570/000000357022000024/0000003570-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-300000,-400000,-1600000,-1800000,-780980,-11665262,-5632308,-5288017,-24568000,-29798000,-145853000,-181777000,-356471000,-161490000,-76203000,-198756000,-332780000,-507922000,-547932000,-975109000,-609991000,-393000000,471000000,648000000,-85000000,-2343000000
74,Depreciation and Amortization,- -,- -,- -,- -,1400000,3371383,1243828,368562,428680,1324000,3702000,3131000,12713000,34293000,- -,- -,- -,- -,- -,- -,- -,- -,- -,449000000,794000000,932000000,1011000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2045000,2045000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-521000000,40000000,-715000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58696000,271367000,102003000,168157000,100523000,91000000,113000000,131000000,110000000,140000000
77,Change in Working Capital,- -,300000,400000,-2100000,-1600000,4534390,-1764632,-882993,1568761,305596474,504389000,-43103000,-339527000,-77052000,-130396000,-120787000,-92784000,582308000,765369000,672233000,-2431902000,1567149000,956351000,374000000,-154000000,-1365000000,-1255000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,704000,-31000,67000,-662000,-207470000,-141000000,-133000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32628000,31390000,-16342000,-483000,-26576000,-18191000,-27876000,-119302000,-73000000,-73000000,11000000,21000000,-409000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,- -,- -
81,Other Working Capital,- -,- -,400000,-1700000,-3300000,1234390,-530242,-1413235,155526,305752000,810141000,767038000,427511000,350459000,220063000,99276000,6492000,588800000,1354169000,2026402000,-405500000,1161649000,2118000000,2492000000,2338000000,973000000,-672000000
82,Other Non-Cash Items,- -,- -,-500000,1900000,2500000,-1921387,9973789,3382414,-4268288,-283013474,-494642000,103354000,424300000,257085000,194029000,180070000,248776000,-416064000,-581250000,-350423000,2973232000,-1461523000,576649000,583000000,935000000,1633000000,5631000000
83,Cash Provided by Operating Activities,- -,- -,-500000,-1800000,500000,5203406,-2212277,-2764325,-7558864,-661000,-18394000,-80426000,-84291000,-142145000,-97857000,-16920000,-42764000,-107840000,-52436000,-124119000,-265622000,-403842000,1231000000,1990000000,1833000000,1265000000,2469000000
84,CAPEX,- -,-100000,-3100000,-2900000,-9500000,-6881531,-4751522,-1444978,-2855194,-2940000,-239377000,-455029000,-830201000,-611279000,-113313000,-4252000,-8934000,-1117956000,-3114343000,-2829558000,-6852583000,-4355598000,-3357000000,-3643000000,-3056000000,-1839000000,-966000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-545144000,-11122000,- -,- -,- -,-41000000,-25000000,-105000000,-100000000,- -
86,Purchases of Investments,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98442000,- -,- -,- -,-17806000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16702000,- -,108230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,100000,- -,200000,2000000,5192626,3438624,2884680,4125000,-166772000,-1084899000,488749000,461515000,125297000,5008000,4609000,1578566000,3096042000,2617571000,6193160000,-57813000,17000000,14000000,-2000000,-8000000,54000000
89,Cash Used for Investing Activites,- -,-4100000,-3000000,-2900000,-9300000,-4881531,441104,1993646,29486,1185000,-406149000,-1539928000,-439894000,-133062000,11984000,108986000,-22131000,-84534000,-29423000,-211987000,-659423000,-4413411000,-3381000000,-3654000000,-3163000000,-1947000000,-912000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30151000,-104690000,- -,-1326514000,-100000000,-177000000,- -,-7670712000,-3632000000,-1391000000,-4346000000,-6940000000,-6810000000
91,Common Stock Issued,- -,5300000,600000,4300000,8400000,5156500,500000,- -,4429988,320933000,2972000,1953000,305546000,- -,- -,- -,520949000,2792925000,1033471000,228781000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-325101000,-31295000,-999000,-2844000,-14363000,-20414000,- -,- -,- -,- -,- -,- -,-249000000,-155000000,-9000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26392000,-26393000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85000000
94,Other Financing Activites,- -,-300000,3400000,-200000,1400000,-4765763,-6671,750000,3767044,-14272000,805720000,1388772000,377307000,112164000,129595000,27650000,-56692000,-1511072000,-92481000,1071066000,378574000,12578287000,6568000000,3598000000,5763000000,6860000000,5087000000
95,Cash Used/Provided by Financing Activities,- -,5000000,4000000,4100000,9800000,390737,493329,750000,8197032,306661000,808692000,1390725000,357752000,80869000,72053000,-106277000,449894000,-65075000,840990000,1122847000,378574000,4907575000,2936000000,2207000000,1168000000,-235000000,-1817000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,5000000,4000000,4100000,1100000,712612,-1277844,-20679,667654,307185000,384149000,-229629000,-166433000,-194338000,-13820000,-14211000,384999000,-257449000,759131000,786741000,-546471000,90322000,786000000,543000000,-162000000,-917000000,-260000000
98,Cash at the End of Period,- -,- -,- -,- -,1200000,1888562,610718,590039,1257693,308443000,692592000,462963000,296530000,102192000,88372000,74161000,459160000,201711000,960842000,1747583000,1201112000,1826553000,2613000000,3156000000,2994000000,2077000000,1817000000
99,Cash at the Beginning of Period,- -,100000,200000,800000,100000,1175950,1888562,610718,590039,1258000,308443000,692592000,462963000,296530000,102192000,88372000,74161000,459160000,201711000,960842000,1747583000,1736231000,1827000000,2613000000,3156000000,2994000000,2077000000
100,Free Cash Flow,- -,-100000,-3600000,-4700000,-9000000,-1678125,-6963799,-4209303,-10414058,-3601000,-257771000,-535455000,-914492000,-753424000,-211170000,-21172000,-51698000,-1225796000,-3166779000,-2953677000,-7118205000,-4759440000,-2126000000,-1653000000,-1223000000,-574000000,1503000000
