,https://roic.ai/company/CWST,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911177/000104746903024983/0001047469-03-024983-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465904018050/0001104659-04-018050-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465905030116/0001104659-05-030116-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465906043029/0001104659-06-043029-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465907049370/0001104659-07-049370-index.html,https://www.sec.gov/Archives/edgar/data/911177/000104746908007628/0001047469-08-007628-index.html,https://www.sec.gov/Archives/edgar/data/911177/000104746909006345/0001047469-09-006345-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465910033533/0001104659-10-033533-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465911035452/0001104659-11-035452-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465912046685/0001104659-12-046685-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000119312513275023/0001193125-13-275023-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/911177/000091117717000017/0000911177-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117718000007/0000911177-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117719000014/0000911177-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117720000010/0000911177-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117721000009/0000911177-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000091117722000009/0000911177-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,1900000,3900000,8864000,22001000,4298000,15652000,8007000,8578000,7429000,12363000,2814000,1838000,2035000,1817000,4534000,1755000,2464000,2312000,2544000,1995000,4007000,3471000,154342000,33809000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1400000,1900000,3900000,8864000,22001000,4298000,15652000,8007000,8578000,7429000,12363000,2814000,1838000,2035000,1817000,4534000,1755000,2464000,2312000,2544000,1995000,4007000,3471000,154342000,33809000
34,Net Receivables,12900000,17100000,21800000,97244000,53729000,44235000,46754000,50567000,52688000,56356000,61944000,64385000,52627000,63177000,54914000,48753000,48817000,53068000,60818000,61850000,66475000,77191000,81456000,74427000,86979000
35,Inventory,- -,- -,- -,10986000,3017000,2410000,1740000,1848000,2538000,2975000,3524000,3876000,3114000,3604000,3461000,3595000,3494000,3905000,4282000,4915000,6534000,6542000,7679000,7868000,9729000
36,Other Current Assets,4100000,3600000,6100000,51723000,46838000,26157000,22131000,22388000,5579000,12214000,15442000,24410000,19156000,13248000,12213000,10474000,6987000,11368000,9256000,9279000,9376000,9353000,10207000,10617000,15962000
37,Total Current Assets,18400000,22600000,31800000,168817000,125585000,77100000,86277000,82810000,69383000,78974000,93273000,95485000,76735000,82064000,72405000,67356000,61053000,70805000,76668000,78588000,84380000,97093000,102813000,247254000,146479000
38,PP&E,64800000,81700000,124400000,379086000,290537000,287115000,302328000,372038000,412753000,481284000,487621000,488028000,490360000,480053000,453361000,416717000,422502000,403424000,402252000,398466000,361547000,404577000,551850000,605822000,738403000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,171258000,173350000,179716000,125709000,125792000,101204000,101706000,115928000,119139000,118976000,119899000,122605000,162734000,185819000,194901000,232860000
40,Intangible Assets,46000000,78900000,103500000,294283000,237573000,228451000,162696000,160808000,160203000,2762000,2217000,2608000,2635000,3085000,2455000,2970000,11674000,13420000,9252000,7696000,8149000,34767000,58721000,58324000,93723000
41,Intangible Assets,46000000,78900000,103500000,294283000,237573000,228451000,162696000,160808000,160203000,174020000,175567000,182324000,128344000,128877000,103659000,104676000,127602000,132559000,128228000,127595000,130754000,197501000,244540000,253225000,326583000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,38000000,44000000,50000000,45000000,41798000,40965000,38263000,22781000,20252000,16752000,12333000,12333000,12333000,11264000,11264000,11264000,11264000
43,Tax Assets,- -,- -,- -,- -,5259000,648000,- -,5631000,3155000,- -,1546000,- -,428000,553000,- -,- -,- -,- -,- -,- -,11567000,9594000,8577000,61163000,43957000
44,Other Non-Current Assets,4100000,5800000,10500000,29991000,27339000,27727000,51340000,54990000,28960000,32833000,24559000,25250000,13297000,22302000,22893000,22213000,28218000,26357000,30402000,14530000,14368000,12381000,13138000,15170000,16894000
45,Total Non-Current Assets,114900000,166400000,238400000,703360000,560708000,543941000,516364000,593467000,643071000,732137000,739293000,740602000,674227000,672750000,618176000,566387000,598574000,579092000,573215000,552924000,530569000,635317000,829369000,946644000,1137101000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,133300000,189000000,270200000,872177000,686293000,621041000,602641000,676277000,712454000,811111000,832566000,836087000,750962000,754814000,690581000,633743000,659627000,649897000,649883000,631512000,614949000,732410000,932182000,1193898000,1283580000
48,Accounts Payable,8100000,10100000,13900000,43335000,29158000,23690000,33743000,40034000,46107000,46364000,52371000,51731000,34623000,40139000,42499000,46709000,51974000,51788000,44921000,44997000,47081000,57289000,64396000,49198000,63086000
49,Short-Term Debt,6000000,3100000,3800000,9155000,8119000,8252000,5821000,6144000,913000,1588000,2319000,2758000,523811000,3449000,1533000,1566000,1218000,885000,1448000,4686000,4926000,2298000,13657000,17787000,17208000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3786000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,520000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3074000,2299000,2685000,3404000
52,Other Current Liabilities,9000000,5600000,6300000,32025000,32731000,41141000,35908000,41193000,45734000,46813000,131935000,58335000,39350000,46492000,39889000,40060000,34906000,37073000,38977000,32743000,36562000,48836000,50237000,61538000,68495000
53,Total Current Liabilities,23100000,18800000,24000000,84515000,70528000,73083000,75472000,87371000,92754000,94765000,186625000,112824000,597784000,90080000,83921000,88335000,88098000,89746000,85346000,82426000,88569000,111497000,130589000,131208000,152193000
54,Long-Term Debt,71900000,74800000,80100000,444552000,355104000,277545000,302389000,349163000,378436000,452720000,476225000,550416000,26396000,556130000,461418000,473381000,493531000,507134000,522199000,503961000,477576000,542001000,509021000,591390000,598878000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1600000,3900000,5700000,30948000,- -,- -,5473000,- -,- -,6957000,- -,313000,2684000,6277000,5578000,5336000,3306000,6954000,5595000,6178000,2305000,2519000,2643000,912000,868000
57,Other Non-Current Liabilities,5200000,9600000,10000000,21066000,677000,93094000,100155000,109688000,102482000,107179000,40220000,47852000,57788000,52031000,45677000,48460000,59241000,54600000,58340000,63497000,84361000,92225000,167176000,108246000,109184000
58,Total Non-Current Liabilities,78700000,88300000,95800000,496566000,355781000,370639000,408017000,458851000,480918000,566856000,516445000,598581000,86868000,614438000,512673000,527177000,556078000,568688000,586134000,573636000,564242000,636745000,678840000,700548000,708930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,1969000,1367000,1475000,1747000,650000,8811000,13625000,12281000,2472000,2156000,1817000,- -,- -,- -,- -,- -,80065000,69526000,63682000
61,Total Liabilities,101800000,107100000,119800000,581081000,426309000,443722000,483489000,546222000,573672000,661621000,703070000,711405000,684652000,704518000,596594000,615512000,644176000,658434000,671480000,656062000,652811000,748242000,809429000,831756000,861123000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,232000,232000,237000,238000,245000,249000,252000,253000,255000,257000,259000,266000,270000,397000,401000,411000,416000,423000,429000,478000,511000,514000
64,Retained Earnings,-10200000,-14200000,-4500000,4136000,-99369000,-91888000,-151696000,-143591000,-136322000,-125218000,-143101000,-149194000,-217219000,-231077000,-192649000,-270235000,-324377000,-347472000,-366459000,-373308000,-395107000,-388669000,-357016000,-266099000,-224999000
65,Other Comprehensive Income/Loss,-22300000,-36800000,-66200000,-97152000,-125160000,-163521000,542000,408000,767000,159000,-1001000,-2568000,3828000,-785000,378000,-1952000,-592000,39000,7000,-68000,184000,-1308000,-6041000,-11517000,-5103000
66,Other Total Stockholders Equity,64000000,132900000,221100000,383880000,484281000,432491000,270068000,272993000,274088000,274297000,273345000,276189000,279444000,281899000,285992000,288348000,335857000,- -,- -,348434000,356638000,373716000,485332000,639247000,- -
67,Total Stockholders Equity,31500000,81900000,150400000,291096000,259984000,177319000,119152000,130055000,138782000,149490000,129496000,124682000,66310000,50296000,93987000,16431000,11285000,-8407000,-21523000,-24526000,-37862000,-15832000,122753000,362142000,422457000
68,Total Liabilities And Stockholders Equity,133300000,189000000,270200000,872177000,686293000,621041000,602641000,676277000,712454000,811111000,832566000,836087000,750962000,754814000,690581000,631943000,655461000,650027000,649957000,631536000,614949000,732410000,932182000,1193898000,1283580000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,4166000,-130000,-74000,-24000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,133300000,189000000,270200000,872177000,686293000,621041000,602641000,676277000,712454000,811111000,832566000,836087000,750962000,754814000,690581000,633743000,659627000,649897000,649883000,631512000,614949000,732410000,932182000,1193898000,1283580000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911177/000104746903024983/0001047469-03-024983-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465904018050/0001104659-04-018050-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465905030116/0001104659-05-030116-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465906043029/0001104659-06-043029-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465907049370/0001104659-07-049370-index.html,https://www.sec.gov/Archives/edgar/data/911177/000104746908007628/0001047469-08-007628-index.html,https://www.sec.gov/Archives/edgar/data/911177/000104746909006345/0001047469-09-006345-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465910033533/0001104659-10-033533-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465911035452/0001104659-11-035452-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465912046685/0001104659-12-046685-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000119312513275023/0001193125-13-275023-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/911177/000091117717000017/0000911177-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117718000007/0000911177-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117719000014/0000911177-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117720000010/0000911177-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117721000009/0000911177-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000091117722000009/0000911177-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,2700000,9100000,11050000,-101535000,7481000,-59808000,8105000,7269000,11104000,-17883000,-7835000,-68025000,-13858000,38428000,-77586000,-54142000,-23095000,-12969000,-6849000,-21799000,6420000,31653000,91106000,41100000
74,Depreciation and Amortization,13100000,18300000,24800000,40211000,52883000,50696000,47930000,60921000,65637000,70873000,78761000,83779000,72677000,67548000,57650000,58576000,56576000,60339000,62704000,61856000,62102000,70508000,79790000,90782000,103590000
75,Deferred Income Tax,- -,2200000,1600000,11939000,-10866000,5593000,7531000,-2005000,5132000,4984000,-11246000,-2373000,8806000,3031000,-23615000,1899000,-3543000,1579000,795000,583000,-15525000,1250000,-1244000,-52288000,15073000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1679000,2242000,1592000,1855000,2516000,2404000,3079000,3393000,6432000,8445000,7223000,8219000,11551000
77,Change in Working Capital,1200000,8500000,4000000,76502000,-29245000,-51040000,6788000,-15366000,-18810000,7580000,-77561000,76013000,-503710000,513033000,-3500000,-9463000,-6066000,8104000,10263000,4840000,-351000,-10215000,-13372000,143822000,-7416000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10467000,-3273000,7442000,139000,-3418000,-4419000,-1029000,-4664000,-5833000,-5464000,5815000,-7422000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17117000,5516000,7443000,4210000,4152000,-186000,-3597000,76000,2084000,9091000,6762000,-15226000,13888000
81,Other Working Capital,-4700000,3800000,7800000,84302000,55057000,4017000,10805000,-4561000,-23371000,-15791000,-93352000,-17339000,-521049000,-8016000,-11516000,-20979000,-27045000,-18941000,-8678000,-3838000,-4189000,-14404000,-27776000,116046000,- -
82,Other Non-Cash Items,400000,-12300000,-1400000,-98117000,139776000,49165000,62511000,18243000,23806000,-19477000,108505000,-77367000,566140000,-502259000,-23823000,88494000,47483000,110000,6635000,16611000,76679000,44426000,12779000,-141719000,18839000
83,Cash Provided by Operating Activities,14700000,19400000,38100000,41585000,51013000,61895000,64952000,69898000,83034000,75064000,80576000,72217000,77567000,69737000,46732000,63775000,42824000,49441000,70507000,80434000,107538000,120834000,116829000,139922000,182737000
84,CAPEX,-49800000,-60400000,-81000000,-69455000,-61518000,-37674000,-41925000,-58335000,-80064000,-124550000,-107168000,-73174000,-62838000,-68087000,-62512000,-66357000,-55379000,-45959000,-49995000,-54238000,-64862000,-73232000,-103165000,-108108000,-123295000
85,Acquisitions Net,- -,- -,- -,-81838000,-9331000,-4601000,-18068000,-64170000,-9513000,-19691000,4633000,-9508000,-2394000,-864000,-1744000,-2102000,-28432000,-10412000,5335000,-2839000,-5056000,-88918000,-75379000,-32457000,-170647000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3047000,-4378000,-156000,-2530000,-49000,- -,-5045000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3530000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3442000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-500000,3900000,-7500000,-5050000,15284000,29212000,-1215000,-1153000,-14178000,-2930000,7474000,-2299000,2346000,7267000,136998000,2217000,-7357000,-4811000,-4124000,-5887000,-6529000,-2047000,1082000,533000,788000
89,Cash Used for Investing Activites,-50300000,-56500000,-88500000,-156343000,-55565000,-9533000,-61208000,-123658000,-103755000,-150218000,-99439000,-85137000,-65416000,-61733000,74350000,-71287000,-90550000,-57740000,-48784000,-62964000,-76447000,-164197000,-177462000,-140032000,-293154000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142003000,-500411000,-502257000,-152806000,-360858000,-152380000,-370996000,-608198000,-216966000,-584223000,-243374000,-149378000,-10305000
91,Common Stock Issued,- -,49300000,56000000,2135000,55000000,3560000,460000,4006000,1653000,2200000,1608000,1367000,- -,- -,- -,337000,42184000,- -,- -,- -,- -,- -,103065000,144790000,- -
92,Common Stock Repurchased,- -,-3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,36500000,-8200000,-4800000,117255000,-36235000,-73625000,7150000,42109000,19639000,71805000,22193000,77057000,128876000,492604000,380957000,162698000,363621000,161388000,349380000,590960000,185326000,629598000,200406000,155569000,189000
95,Cash Used/Provided by Financing Activities,36500000,37600000,51200000,119390000,18765000,-70065000,7610000,46115000,21292000,74005000,23801000,3368000,-13127000,-7807000,-121300000,10229000,44947000,9008000,-21616000,-17238000,-31640000,45375000,60097000,150981000,-10116000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,900000,600000,800000,4632000,14213000,-17703000,11354000,-7645000,571000,-1149000,4938000,-9552000,-976000,197000,-218000,2717000,-2779000,709000,107000,232000,-549000,2012000,-536000,150871000,-120533000
98,Cash at the End of Period,1400000,1900000,3900000,8864000,22001000,4298000,15652000,8007000,8578000,7429000,12363000,2814000,1838000,2035000,1817000,4534000,1755000,2464000,2312000,2544000,1995000,4007000,3471000,154342000,33809000
99,Cash at the Beginning of Period,500000,1300000,3100000,4232000,7788000,22001000,4298000,15652000,8007000,8578000,7425000,12366000,2814000,1838000,2035000,1817000,4534000,1755000,2205000,2312000,2544000,1995000,4007000,3471000,154342000
100,Free Cash Flow,-35100000,-41000000,-42900000,-27870000,-10505000,24221000,23027000,11563000,2970000,-49486000,-26592000,-957000,14729000,1650000,-15780000,-2582000,-12555000,3482000,20512000,26196000,42676000,47602000,13664000,31814000,59442000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911177/000104746903024983/0001047469-03-024983-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465904018050/0001104659-04-018050-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465905030116/0001104659-05-030116-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465906043029/0001104659-06-043029-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000110465907049370/0001104659-07-049370-index.html,https://www.sec.gov/Archives/edgar/data/911177/000104746908007628/0001047469-08-007628-index.html,https://www.sec.gov/Archives/edgar/data/911177/000104746909006345/0001047469-09-006345-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465910033533/0001104659-10-033533-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465911035452/0001104659-11-035452-index.html,https://www.sec.gov/Archives/edgar/data/911177/000110465912046685/0001104659-12-046685-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000119312513275023/0001193125-13-275023-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/911177/000091117717000017/0000911177-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117718000007/0000911177-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117719000014/0000911177-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117720000010/0000911177-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/911177/000091117721000009/0000911177-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/911177/000091117722000009/0000911177-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
