,https://roic.ai/company/ITW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,403264000,410032000,414584000,422784000,429328000,438436000,445744000,448624000,453172000,453551020,471246201,494961832,503862661,503970037,609492754,608241270,612668441,616962771,616674699,609883371,574949615,570679734,556506548,521213000,500177000,503350000,494646000,473200000,449300000,404600000,370100000,357100000,346800000,337100000,325600000,318300000,314600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000091205795001849/0000912057-95-001849-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095013196001325/0000950131-96-001325-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095013797001181/0000950137-97-001181-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000095013702001470/c67784e10-k405.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013703001256/c75093e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013704001633/c83293e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013705002667/c92475e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013706002224/c02489e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013707002694/c12075e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013708002954/c23108e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013709001368/0000950137-09-001368-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095012310017817/0000950123-10-017817-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000004982614000022/itw-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982615000016/itw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982616000151/0000049826-16-000151-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982617000022/0000049826-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982618000017/0000049826-18-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/49826/000004982620000020/0000049826-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982621000007/0000049826-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982622000006/0000049826-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,76900000,116600000,137700000,185900000,93500000,233000000,151295000,282224000,1057687000,1684483000,667390000,370417000,590207000,827524000,742950000,1318772000,1190038000,1177875000,2779000000,3618000000,3990000000,3090000000,2472000000,3094000000,1504000000,1981000000,2564000000,1527000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,76900000,116600000,137700000,185900000,93500000,233000000,151295000,282224000,1057687000,1684483000,667390000,370417000,590207000,827524000,742950000,1318772000,1190038000,1177875000,2779000000,3618000000,3990000000,3090000000,2472000000,3094000000,1504000000,1981000000,2564000000,1527000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,612600000,741300000,840100000,902000000,989100000,1630900000,1654632000,1450029000,1500031000,1721186000,2054624000,2098276000,2773242000,3205115000,2612515000,2491492000,2678084000,2818892000,3044000000,2553000000,2472000000,2398000000,2433000000,2819000000,2799000000,2611000000,2621000000,2942000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,439500000,519000000,526000000,523000000,581800000,1084200000,1181385000,994156000,962746000,991979000,1281156000,1203063000,1482508000,1625820000,1673175000,1356233000,1547447000,1715859000,1585000000,1247000000,1180000000,1086000000,1076000000,1220000000,1318000000,1164000000,1189000000,1694000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,133900000,155600000,197300000,247700000,170100000,324800000,341749000,436835000,358345000,385554000,319028000,439849000,360448000,507196000,895078000,508098000,552832000,1136720000,552000000,2398000000,434000000,146000000,142000000,145000000,157000000,497000000,149000000,211000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1262900000,1532500000,1701100000,1858600000,1834500000,3272900000,3329061000,3163244000,3878809000,4783202000,4322198000,4111605000,5206405000,6165655000,5923718000,5674595000,5968401000,6849346000,7960000000,9816000000,8076000000,6720000000,6123000000,7278000000,5778000000,6253000000,6523000000,6374000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,641200000,694900000,808300000,884100000,987500000,1633900000,1722524000,1633690000,1631249000,1728638000,1876875000,1807109000,2053457000,2194010000,1968636000,2136527000,2023045000,2025396000,1994000000,1709000000,1686000000,1577000000,1652000000,1778000000,1791000000,1935000000,1993000000,2031000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4025053000,4387165000,4504285000,4860732000,4879312000,5197601000,5530000000,4886000000,4667000000,4439000000,4558000000,4752000000,4633000000,4492000000,4690000000,4965000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,394200000,518700000,711200000,774300000,1189300000,2030000000,2483882000,2738694000,2624810000,2798863000,3193055000,3678938000,1113634000,1296176000,1773970000,1723417000,1694631000,2233378000,2258000000,1999000000,1799000000,1560000000,1463000000,1272000000,1084000000,851000000,781000000,972000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,394200000,518700000,711200000,774300000,1189300000,2030000000,2483882000,2738694000,2624810000,2798863000,3193055000,3678938000,5138687000,5683341000,6278255000,6584149000,6573943000,7430979000,7788000000,6885000000,6466000000,5999000000,6021000000,6024000000,5717000000,5343000000,5471000000,5937000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,896000000,595000000,508000000,466000000,451293000,441606000,408906000,320000000,294000000,251000000,212000000,73000000,53000000,51000000,51000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439278000,541625000,370737000,233172000,45269000,116245000,61416000,76269000,673044000,623344000,633832000,391000000,359000000,301000000,346000000,449000000,505000000,554000000,516000000,533000000,552000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,282200000,867000000,1585600000,1877800000,2106900000,2123500000,2067989000,1847443000,1946608000,1511881000,1726634000,906722000,770645000,913440000,500205000,562376000,619934000,635055000,856000000,903000000,898000000,875000000,883000000,1142000000,979000000,970000000,1092000000,1183000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1317600000,2080600000,3105100000,3536200000,4283700000,5787400000,6274395000,6659105000,6744292000,6410119000,7029736000,7334038000,8674034000,9360207000,9289365000,10407389000,10281872000,11134168000,11349000000,10150000000,9602000000,9009000000,9078000000,9502000000,9092000000,8815000000,9089000000,9703000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2580500000,3613100000,4806200000,5394800000,6118200000,9060300000,9603456000,9822349000,10623101000,11193321000,11351934000,11445643000,13880439000,15525862000,15213083000,16081984000,16250273000,17983514000,19309000000,19966000000,17678000000,15729000000,15201000000,16780000000,14870000000,15068000000,15612000000,16077000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,174700000,221500000,248100000,269100000,268900000,470200000,455417000,367249000,416958000,481407000,603811000,560078000,707656000,854148000,642121000,689572000,754117000,696776000,676000000,634000000,512000000,449000000,511000000,590000000,524000000,472000000,534000000,585000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,176200000,390400000,298300000,406700000,553700000,425789000,313447000,121604000,56094000,203523000,252899000,462721000,410512000,2433482000,213681000,317787000,502063000,459000000,3551000000,1476000000,526000000,652000000,850000000,1351000000,55000000,405000000,839000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417267000,459056000,56517000,116000000,69000000,64000000,57000000,169000000,89000000,68000000,48000000,60000000,77000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173036000,220412000,215226000,- -,- -,- -,243000000,207000000,194000000,169000000,180000000,205000000,215000000,188000000,222000000,394000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,386700000,453200000,580800000,590500000,546400000,1021500000,936404000,837462000,1028600000,951402000,1043637000,1187754000,1293171000,1475213000,1584752000,1932385000,2021688000,1777888000,1273000000,1642000000,1351000000,1224000000,1417000000,1408000000,1452000000,1439000000,1428000000,1652000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,628400000,850900000,1219300000,1157900000,1222000000,2045400000,1817610000,1518158000,1567162000,1488903000,1850971000,2000731000,2636584000,2960285000,4875581000,2835638000,3093592000,2976727000,2651000000,6034000000,3533000000,2368000000,2760000000,3053000000,3542000000,2154000000,2589000000,3470000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000000,615600000,818900000,854300000,947000000,1360700000,1549038000,1267141000,1460381000,920360000,921098000,958321000,955610000,1888839000,1243693000,2914874000,2511959000,3488198000,4589000000,2793000000,5981000000,6896000000,7177000000,7478000000,6029000000,7754000000,7905000000,7042000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,69500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259159000,260658000,114556000,207677000,186935000,116954000,244000000,507000000,338000000,256000000,134000000,164000000,707000000,668000000,588000000,654000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,68100000,222400000,372000000,576100000,611200000,838800000,835821000,996312000,946487000,909772000,952255000,939696000,1011578000,1064755000,1315778000,1305919000,1076541000,1367571000,1255000000,923000000,1002000000,981000000,871000000,1496000000,1334000000,1462000000,1348000000,1285000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,410600000,838000000,1190900000,1430400000,1558200000,2199500000,2384859000,2263453000,2406868000,1830132000,1873353000,1898017000,2226347000,3214252000,2674027000,4428470000,3775435000,4972723000,6088000000,4223000000,7321000000,8133000000,8182000000,9138000000,8070000000,9884000000,9841000000,8981000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179000000,188000000,194000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1039000000,1688900000,2410200000,2588300000,2780200000,4244900000,4202469000,3781611000,3974030000,3319035000,3724324000,3898748000,4862931000,6174537000,7549608000,7264108000,6869027000,7949450000,8739000000,10257000000,10854000000,10501000000,10942000000,12191000000,11612000000,12038000000,12430000000,12451000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3027000,3052000,3068000,3089000,3114000,3120000,6309000,5625000,5318000,5350000,5385000,5425000,5000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1344200000,1673300000,2105100000,2592400000,3130200000,4485500000,5214098000,5765421000,6202263000,6937110000,7963518000,9112328000,10406511000,9879065000,9196465000,9521740000,10399224000,11794184000,13973000000,14943000000,17173000000,18316000000,19505000000,20210000000,21217000000,22403000000,23114000000,24325000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-759600000,-925600000,-1132800000,-1233300000,-1429900000,-2278400000,-2477086000,-2470270000,-302376000,109811000,413415000,122012000,446639000,1050786000,-253211000,400726000,245543000,224223000,293000000,384000000,-658000000,-1504000000,-1807000000,-1287000000,-1677000000,-1705000000,-1642000000,-1502000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,956900000,1176500000,1423700000,1447400000,1637700000,2605300000,2660948000,2742535000,746116000,824276000,-752437000,-1690565000,-1841951000,-1584151000,-1285097000,-1119609000,- -,- -,- -,-5630000000,-9702000000,-11594000000,-13450000000,-14344000000,- -,-17678000000,-18297000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1541500000,1924200000,2396000000,2806500000,3338000000,4815400000,5400987000,6040738000,6649071000,7874286000,7627610000,7546895000,9017508000,9351325000,7663475000,8808207000,9370276000,10017791000,10561000000,9703000000,6819000000,5224000000,4254000000,4585000000,3254000000,3026000000,3181000000,3625000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2580500000,3613100000,4806200000,5394800000,6118200000,9060300000,9603456000,9822349000,10623101000,11193321000,11351934000,11445643000,13880439000,15525862000,15213083000,16072315000,16239303000,17967241000,19300000000,19960000000,17673000000,15725000000,15196000000,16776000000,14866000000,15064000000,15611000000,16076000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9669000,10970000,16273000,9000000,6000000,5000000,4000000,5000000,4000000,4000000,4000000,1000000,1000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2580500000,3613100000,4806200000,5394800000,6118200000,9060300000,9603456000,9822349000,10623101000,11193321000,11351934000,11445643000,13880439000,15525862000,15213083000,16081984000,16250273000,17983514000,19309000000,19966000000,17678000000,15729000000,15201000000,16780000000,14870000000,15068000000,15612000000,16077000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/49826/000091205795001849/0000912057-95-001849-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095013196001325/0000950131-96-001325-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095013797001181/0000950137-97-001181-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000095013702001470/c67784e10-k405.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013703001256/c75093e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013704001633/c83293e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013705002667/c92475e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013706002224/c02489e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013707002694/c12075e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013708002954/c23108e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013709001368/0000950137-09-001368-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095012310017817/0000950123-10-017817-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000004982614000022/itw-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982615000016/itw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982616000151/0000049826-16-000151-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982617000022/0000049826-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982618000017/0000049826-18-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/49826/000004982620000020/0000049826-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982621000007/0000049826-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982622000006/0000049826-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,163800000,182400000,180600000,192100000,206600000,277800000,387600000,486300000,587000000,672800000,841100000,957980000,805659000,712592000,1023680000,1338694000,1494869000,1717746000,1869862000,1519003000,947009000,1527193000,2071384000,2870000000,1679000000,2946000000,1899000000,2035000000,1687000000,2563000000,2521000000,2109000000,2694000000
74,Depreciation and Amortization,- -,- -,- -,- -,84700000,102100000,115400000,125300000,131700000,132100000,151900000,178200000,185400000,211800000,343300000,413370000,386308000,305752000,306553000,385797000,383074000,443906000,524744000,691907000,674925000,548278000,594009000,613000000,613000000,507000000,477000000,470000000,462000000,461000000,426000000,427000000,410000000
