,https://roic.ai/company/BTU,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,-18658000,-157578000,-200635000,- -,-94884000,-147967000,-93627000,-92298000,-132120000,-227889000,-216100000,-193100000,-212500000,-219700000,-381100000,-409500000,-412800000,-525500000,-481400000,-792400000,2500000,-204000000,-123500000,-62000000
20,Income Before Tax,- -,- -,250529000,21143000,-7398000,- -,78804000,-3181000,153071000,426085000,530962000,340835000,1176800000,651700000,1113200000,1373700000,-208600000,-734300000,-547900000,-1990300000,-758300000,92800000,664100000,-142300000,-1851800000,370200000
21,Income Before Tax Ratio,- -,- -,0.1116,0.0101,-0.0027,- -,0.0290,-0.0011,0.0421,0.0917,0.1010,0.0745,0.1785,0.1084,0.1623,0.1723,-0.0258,-0.1047,-0.0807,-0.3548,-0.1608,0.0166,0.1190,-0.0308,-0.6427,0.1116
22,Income Tax expense (Gain),- -,- -,90193000,9047000,-141522000,- -,-40007000,-47708000,-26437000,960000,-81515000,-78112000,185800000,193800000,308100000,363200000,262300000,-448300000,201200000,-176400000,-84000000,-424800000,18400000,46000000,8000000,22800000
23,Net Income,- -,- -,160336000,10209000,28210000,- -,105519000,31348000,175387000,422653000,600697000,264285000,953500000,448200000,774000000,957700000,-585700000,-524900000,-787000000,-1996000000,-739800000,461600000,646900000,-211300000,-1870300000,360100000
24,Net Income ratio,- -,- -,0.0714,0.0049,0.0104,- -,0.0388,0.0111,0.0483,0.0910,0.1143,0.0578,0.1446,0.0745,0.1128,0.1201,-0.0725,-0.0748,-0.1159,-0.3558,-0.1569,0.0827,0.1159,-0.0457,-0.6492,0.1085
25,EPS,- -,- -,8.76,0.56,1.54,- -,2.02,0.59,1.41,1.62,2.28,1.00,3.55,1.66,42.97,52.99,-32.71,-29.15,-43.45,-110.52,-39.99,-6.93,4.93,-2.18,-19.12,3.68
26,EPS Diluted,- -,- -,8.76,0.56,1.54,- -,1.96,0.57,1.38,1.58,2.23,0.98,3.51,1.66,2.86,3.52,-32.71,-29.15,-43.45,-112.66,-40.45,-8.18,4.43,-2.18,-19.14,3.68
27,Weighted Average Shares Outstanding,- -,- -,18300000,18300000,18300000,52165735,52165735,53409521,124366372,261519424,263419344,264068180,268860528,267500000,18013423,18073423,17906756,18006756,18113423,18500000,18500000,105200000,110400000,96900000,97800000,97800000
28,Weighted Average Shares Outstanding Diluted,- -,- -,18300000,18300000,18300000,53821760,53821760,54835628,127406316,268013476,269166005,269166290,271275849,267500000,269200000,270300000,268000000,267100000,268100000,18500000,18500000,105200000,121000000,103700000,97800000,97800000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1064728/000095013403003569/0000950134-03-003569-index.html,https://www.sec.gov/Archives/edgar/data/1064728/000095013704001462/0000950137-04-001462-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013705003132/0000950137-05-003132-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013706002560/0000950137-06-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013707003006/0000950137-07-003006-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013708002952/0000950137-08-002952-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013709001381/0000950137-09-001381-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095012310016425/0000950123-10-016425-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095012311019465/0000950123-11-019465-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472812000020/0001064728-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472813000014/0001064728-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472814000015/0001064728-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472815000021/0001064728-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472816000157/0001064728-16-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472817000026/0001064728-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472818000007/0001064728-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472819000013/0001064728-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472820000007/0001064728-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472821000008/0001064728-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000008/0001064728-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,96821000,194078000,65618000,- -,71210000,117502000,389636000,503278000,326511000,45279000,449700000,988800000,1295200000,799100000,558800000,444000000,298000000,261300000,872300000,1012100000,981900000,732200000,709200000,954300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140000000,- -
33,Cash and Short-Term Investments,- -,- -,96821000,194078000,65618000,- -,71210000,117502000,389636000,503278000,326511000,45279000,449700000,988800000,1295200000,799100000,558800000,444000000,298000000,261300000,872300000,1012100000,981900000,732200000,849200000,954300000
34,Net Receivables,- -,- -,439303000,312748000,153021000,- -,153212000,220891000,193784000,221541000,358242000,257950000,383600000,303000000,558200000,922500000,737800000,557900000,563100000,228800000,473000000,552100000,450400000,329500000,244800000,350500000
35,Inventory,- -,- -,264823000,249897000,242150000,- -,229688000,246493000,323609000,389771000,215384000,268862000,277700000,325100000,332900000,446300000,548400000,506700000,406500000,307800000,203700000,291300000,280200000,331500000,261600000,226700000
36,Other Current Assets,- -,- -,1325205000,1075738000,171756000,- -,95813000,97854000,147573000,210054000,374203000,1355202000,860300000,572100000,771900000,838000000,730500000,484100000,443400000,580100000,541600000,334500000,243100000,220700000,64700000,270200000
37,Total Current Assets,- -,- -,2126152000,1832461000,632545000,- -,549923000,682740000,1054602000,1324644000,1274340000,1927293000,1971300000,2189000000,2958200000,3005900000,2575500000,1992700000,1711000000,1378000000,2090600000,2190000000,1955600000,1613900000,1420300000,1801700000
38,PP&E,- -,- -,3673542000,4763141000,4815510000,- -,4273042000,4280986000,4781431000,5177708000,7551517000,7332400000,7315200000,7261500000,7426100000,11362700000,11801700000,11082500000,10577300000,9258500000,8776700000,5111900000,5207000000,4761500000,3101000000,2986400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,369000000,305000000,483000000,427000000,504800000,978800000,2364400000,1431800000,1050400000,902100000,382600000,910400000,470600000,212600000,139100000,140900000,162000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118400000,- -,- -,- -,- -,7800000,700000,2200000,- -,85600000,48500000,28300000,4900000,- -
44,Other Non-Current Assets,- -,- -,543315000,428329000,378794000,- -,317212000,316539000,342559000,-19346000,142532000,-74386000,-9500000,- -,- -,- -,- -,- -,- -,- -,- -,323100000,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,4216857000,5191470000,5194304000,- -,4590254000,4597525000,5123990000,5527362000,8239716000,7741014000,7851100000,7766300000,8404900000,13727100000,13233500000,12140700000,11480100000,9643300000,9687100000,5991200000,5468100000,4928900000,3246800000,3148400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,6343009000,7023931000,5826849000,- -,5140177000,5280265000,6178592000,6852006000,9514056000,9668307000,9822400000,9955300000,11363100000,16733000000,15809000000,14133400000,13191100000,11021300000,11777700000,8181200000,7423700000,6542800000,4667100000,4949800000
48,Accounts Payable,- -,- -,587674000,627734000,573137000,- -,547013000,572615000,691600000,867965000,462553000,398186000,427900000,387600000,467100000,735600000,555000000,483000000,461700000,333300000,288600000,388000000,281700000,254800000,146300000,201700000
49,Short-Term Debt,- -,- -,46616000,72404000,57977000,- -,47515000,23049000,18979000,22585000,95757000,134373000,17000000,14100000,43200000,101100000,47800000,31700000,21200000,5930400000,20200000,42100000,36500000,47900000,69400000,76000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253000000,245000000,196800000,203800000,227300000,178600000,142700000,125800000,132300000,121400000,101600000,82700000,99000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -
52,Other Current Liabilities,- -,- -,955891000,645370000,89477000,- -,37008000,36304000,63565000,132373000,809221000,1654427000,1411300000,910700000,1003400000,987000000,1071300000,1260800000,1380200000,1128600000,703000000,814800000,740300000,672600000,570900000,654000000
53,Total Current Liabilities,- -,- -,1590181000,1345508000,720591000,- -,631536000,631968000,774144000,1022923000,1367531000,2186986000,1856200000,1312400000,1513700000,1823700000,1674100000,1775500000,1863100000,7392300000,1011800000,1244900000,1058500000,975300000,790600000,931700000
54,Long-Term Debt,- -,- -,555660000,2469975000,2018189000,- -,981696000,1173490000,1405986000,1382921000,3168069000,3138727000,3139200000,2738200000,2706800000,6556400000,6205100000,5970700000,5965600000,385200000,- -,1418700000,1330500000,1292500000,1502900000,1105400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,661572000,780175000,625124000,- -,499310000,434426000,393266000,338488000,195213000,315604000,- -,299100000,539800000,554200000,577300000,40900000,89100000,69100000,17600000,5400000,9700000,28800000,35000000,27300000
57,Other Non-Current Liabilities,- -,- -,1847754000,1909133000,1913254000,- -,1909376000,1906415000,1878695000,1926657000,2411380000,1506618000,1921800000,1849700000,1913500000,2282900000,2413700000,2398400000,2546800000,2256200000,10410500000,1856400000,1573400000,1573700000,1357300000,1064600000
58,Total Non-Current Liabilities,- -,- -,3064986000,5159283000,4556567000,- -,3390382000,3514331000,3677947000,3648066000,5774662000,4960949000,5061000000,4887000000,5160100000,9393500000,9196100000,8410000000,8601500000,2710500000,10428100000,3280500000,2913600000,2895000000,2895200000,2197300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82400000,93900000,43600000
61,Total Liabilities,- -,- -,4655167000,6504791000,5277158000,- -,4021918000,4146299000,4452091000,4670989000,7142193000,7147935000,6917200000,6199400000,6673800000,11217200000,10870200000,10185500000,10464600000,10102800000,11439900000,4525400000,3972100000,3870300000,3685800000,3129000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576000000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,197000,197000,- -,524000,548000,1298000,2638000,2666000,2729000,2800000,2800000,2800000,2800000,2800000,2800000,2900000,200000,200000,1000000,1400000,1400000,1400000,1800000
64,Retained Earnings,- -,- -,- -,10209000,38419000,- -,200859000,208149000,350968000,729086000,1115994000,941424000,1803500000,2183800000,2878400000,3744000000,3066400000,2449800000,1570500000,-503400000,-1243200000,613600000,1074500000,597000000,-1273300000,-913200000
65,Other Comprehensive Income/Loss,- -,- -,-1565397000,-193492000,-411270000,- -,-78769000,-81961000,-61077000,-52738000,-249058000,-67066000,-388500000,-183500000,-67900000,-142400000,11000000,-419200000,-764800000,-618900000,-477000000,1400000,40100000,31600000,205800000,297900000
66,Other Total Stockholders Equity,- -,- -,3253239000,702226000,922345000,- -,958524000,1005321000,1433403000,1499481000,1468924000,1642584000,1486000000,1746600000,1847400000,1880700000,1824700000,1875300000,1916200000,2039000000,2050200000,2414400000,2279600000,1983800000,1995700000,2375300000
67,Total Stockholders Equity,- -,- -,1687842000,519140000,549691000,- -,1081138000,1132057000,1724592000,2178467000,2338526000,2519671000,2903800000,3749700000,4660700000,5485100000,4904900000,3908700000,2724800000,916900000,330200000,3606400000,3395600000,2613800000,929600000,1761800000
68,Total Liabilities And Stockholders Equity,- -,- -,6343009000,7023931000,5826849000,- -,5103056000,5278356000,6176683000,6849456000,9480719000,9667606000,9821000000,9949100000,11334500000,16702300000,15775100000,14094200000,13189400000,11019700000,11770100000,8131800000,7367700000,6484100000,4615400000,4890800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,37121000,1909000,1909000,2550000,33337000,701000,1400000,6200000,28600000,30700000,33900000,39200000,1700000,1600000,7600000,49400000,56000000,58700000,51700000,59000000
70,Total Liabilities & Equity,- -,- -,6343009000,7023931000,5826849000,- -,5140177000,5280265000,6178592000,6852006000,9514056000,9668307000,9822400000,9955300000,11363100000,16733000000,15809000000,14133400000,13191100000,11021300000,11777700000,8181200000,7423700000,6542800000,4667100000,4949800000
71,SEC Link,undefined,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1064728/000095013403003569/0000950134-03-003569-index.html,https://www.sec.gov/Archives/edgar/data/1064728/000095013704001462/0000950137-04-001462-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013705003132/0000950137-05-003132-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013706002560/0000950137-06-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013707003006/0000950137-07-003006-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013708002952/0000950137-08-002952-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095013709001381/0000950137-09-001381-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095012310016425/0000950123-10-016425-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000095012311019465/0000950123-11-019465-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472812000020/0001064728-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472813000014/0001064728-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472814000015/0001064728-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472815000021/0001064728-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472816000157/0001064728-16-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472817000026/0001064728-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472818000007/0001064728-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472819000013/0001064728-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472820000007/0001064728-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472821000008/0001064728-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000008/0001064728-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,160336000,10209000,28210000,107060000,105519000,31348000,175387000,422653000,600697000,264285000,953500000,448200000,774000000,957700000,-585700000,-524900000,-787000000,-1996000000,-739800000,461600000,646900000,-211300000,-1870300000,360100000
74,Depreciation and Amortization,- -,- -,202640000,184191000,- -,232159000,242181000,242494000,278489000,323052000,384620000,368744000,412900000,405200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,65508000,-679000,-157803000,31795000,-41323000,-48259000,-31925000,-24962000,-189243000,-201444000,-32900000,131100000,71700000,180600000,-2600000,-434100000,231900000,-107600000,-86500000,- -,35500000,39400000,27800000,-7500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38800000,41100000,43900000,45400000,50900000,46800000,28200000,12800000,- -,34900000,38300000,13500000,10000000
77,Change in Working Capital,- -,- -,-28602000,- -,-49018000,-574999000,6433000,132385000,229686000,21263000,-394912000,-166502000,374793000,761500000,567900000,-262300000,-280800000,-684200000,-369300000,-5862200000,7093100000,-133700000,-48000000,-258500000,-8900000,-100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81400000,-149200000,-221000000,285300000,104800000,55400000,188000000,-101300000,- -,171800000,82900000,84600000,-105600000
79,Inventory,- -,- -,-16598000,9401000,16001000,-10072000,-12873000,-16805000,-57781000,-67125000,-38208000,-63440000,-13000000,-48900000,-7700000,-50400000,-112900000,39900000,104900000,96200000,104000000,- -,50200000,-53300000,70600000,35000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,535971000,535971000,486953000,-88046000,-81613000,50772000,280458000,301721000,-93191000,-259693000,115100000,876600000,1444500000,1182200000,901400000,217200000,-152100000,-6014300000,1078800000,945100000,897100000,638600000,629700000,- -
82,Other Non-Cash Items,- -,- -,-218204000,76792000,441522000,355965000,-81606000,-169107000,-367877000,-39247000,194564000,51282000,-422593000,-736900000,-367600000,713300000,2338800000,2314700000,1214200000,7923200000,-6332400000,683300000,820400000,1069500000,1828200000,57500000
83,Cash Provided by Operating Activities,- -,- -,181678000,270513000,262911000,151980000,231204000,188861000,283760000,702759000,595726000,316365000,1285700000,1047900000,1087100000,1633200000,1515100000,722400000,336600000,-14400000,-52800000,1011200000,1489700000,677400000,-9700000,420000000
84,CAPEX,- -,- -,-166336000,-174872000,-204046000,-151358000,-208562000,-156443000,-266597000,-643863000,-655914000,-470434000,-444700000,-390300000,-557000000,-846900000,-1157800000,-725900000,-487700000,-413200000,-381700000,-185100000,-301400000,-285300000,-197500000,-175700000
85,Acquisitions Net,- -,- -,- -,- -,-4325000,-10502000,-46012000,-91400000,-429061000,- -,-1552313000,- -,- -,-56800000,-76000000,-2941800000,-824000000,-671700000,-529800000,-425400000,-309500000,-401200000,-862700000,-421500000,-343000000,-485600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2149000,-4566000,-43500000,-15000000,-93400000,-283900000,-62200000,-22800000,-15100000,-28800000,- -,- -,-10000000,-3000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,32110000,- -,- -,- -,- -,- -,- -,12400000,204600000,46400000,27700000,13500000,90300000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,36477000,-2062955000,-2305000,550322000,110496000,23453000,-9372000,59661000,66558000,-100332000,-17300000,-68000000,10400000,60200000,1010200000,756300000,688000000,477900000,441000000,522800000,656900000,448600000,327700000,537200000
89,Cash Used for Investing Activites,- -,- -,-129859000,-2237827000,-185384000,388462000,-144078000,-192280000,-705030000,-584202000,-2143818000,-575332000,-505500000,-406500000,-703600000,-3807800000,-1092100000,-515700000,-314500000,-290000000,-244100000,-78300000,-517300000,-261300000,-206700000,-131500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37100000,-1167300000,-263900000,-415800000,-1390200000,-21000000,-671300000,-513700000,-543900000,-85000000,-71100000,-169500000,-285300000
91,Common Stock Issued,- -,- -,- -,- -,- -,562000,3251000,33066000,412734000,25582000,20135000,32574000,19300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1113000,- -,- -,- -,- -,-99774000,- -,-199800000,- -,-13500000,-18700000,-108300000,-3100000,- -,- -,- -,-175700000,-849200000,-342200000,-1600000,-1400000
93,Dividends Paid,- -,- -,-65109000,-3080000,- -,- -,-20863000,-24058000,-32568000,-44535000,-63456000,-63658000,-64900000,-66800000,-79400000,-92100000,-91900000,-91700000,-92300000,-1400000,- -,- -,-59600000,-258100000,- -,- -
94,Other Financing Activites,- -,- -,-170280000,2164361000,-205181000,-542786000,-37186000,39590000,313238000,14038000,1514420000,8819000,-130400000,1600000,1183100000,2053200000,-47300000,1163500000,-54800000,940400000,1421600000,-73500000,-31400000,-29900000,364500000,-26500000
95,Cash Used/Provided by Financing Activities,- -,- -,-235389000,2161281000,-205181000,-543337000,-54798000,48598000,693404000,-4915000,1371325000,-22265000,-375800000,-102300000,-77100000,1678500000,-663300000,-321500000,-168100000,267700000,907900000,-793100000,-1025200000,-701300000,193400000,-43400000
96,Effect of Forex Changes on Cash,- -,- -,-718000,111000,-806000,- -,260000,1113000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-184288000,2161281000,-128460000,-2895000,32588000,46292000,272134000,113642000,-176767000,-281232000,404400000,539100000,306400000,-496100000,-240300000,-114800000,-146000000,-36700000,611000000,139800000,-52800000,-285200000,-23000000,245100000
98,Cash at the End of Period,- -,- -,96821000,194078000,65618000,62723000,71210000,117502000,389636000,503278000,326511000,45279000,449700000,988800000,1295200000,799100000,558800000,444000000,298000000,261300000,872300000,1012100000,1017400000,732200000,709200000,954300000
99,Cash at the Beginning of Period,- -,- -,281109000,- -,194078000,65618000,38622000,71210000,117502000,389636000,503278000,326511000,45300000,449700000,988800000,1295200000,799100000,558800000,444000000,298000000,261300000,872300000,1070200000,1017400000,732200000,709200000
100,Free Cash Flow,- -,- -,15342000,95641000,58865000,622000,22642000,32418000,17163000,58896000,-60188000,-154069000,841000000,657600000,530100000,786300000,357300000,-3500000,-151100000,-427600000,-434500000,826100000,1188300000,392100000,-207200000,244300000
