,https://roic.ai/company/ALV,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.1246,0.1427,0.1433,0.1227,0.1032,0.1077,0.1203,0.1259,0.1200,0.1181,0.1213,0.0822,0.0780,0.1586,0.1403,0.1187,0.1192,0.1120,0.1155,0.1584,0.1374,0.1024,0.1248,0.0985,0.1295
17,Operating Income,275400000,351300000,368600000,333700000,173700000,330800000,426800000,513100000,512700000,520000000,502000000,306500000,68900000,869200000,889200000,705400000,761400000,722600000,727800000,847700000,605300000,686000000,725800000,382100000,675000000
18,Operating Income ratio,0.1005,0.1007,0.0967,0.0811,0.0435,0.0745,0.0805,0.0835,0.0826,0.0840,0.0742,0.0474,0.0135,0.1212,0.1080,0.0853,0.0865,0.0782,0.0794,0.1070,0.0744,0.0790,0.0849,0.0513,0.0820
19,Total Other Income Expenses (Gains),-752400000,-39300000,-38600000,-43700000,-66000000,-44800000,-27800000,-28600000,-30700000,-39000000,-56000000,-57500000,-62900000,-63200000,-61200000,-36400000,-27400000,-55600000,-52100000,-63500000,187100000,-73600000,-77400000,-90900000,-61000000
20,Income Before Tax,-477000000,312000000,330000000,290000000,107700000,286000000,399000000,484500000,482000000,481000000,446000000,249000000,6000000,806000000,828000000,669000000,734000000,667000000,675700000,784200000,792400000,612400000,648400000,291200000,614000000
21,Income Before Tax Ratio,-0.1741,0.0894,0.0866,0.0705,0.0270,0.0644,0.0753,0.0789,0.0777,0.0777,0.0659,0.0385,0.0012,0.1124,0.1006,0.0809,0.0834,0.0722,0.0737,0.0990,0.0974,0.0706,0.0759,0.0391,0.0746
22,Income Tax expense (Gain),99000000,124000000,132000000,117000000,59800000,95000000,120000000,149000000,173000000,59000000,150000000,76000000,7000000,210000000,201300000,183000000,244100000,198000000,218200000,242200000,203500000,234900000,185600000,102900000,177000000
23,Net Income,-579000000,188000000,200000000,168000000,47900000,180000000,271000000,326300000,293000000,402000000,288000000,165000000,10000000,591000000,623000000,483000000,486000000,468000000,456800000,567100000,427100000,190400000,461500000,186900000,435000000
24,Net Income ratio,-0.2113,0.0539,0.0525,0.0408,0.0120,0.0405,0.0511,0.0531,0.0472,0.0650,0.0425,0.0255,0.0020,0.0824,0.0757,0.0584,0.0552,0.0506,0.0498,0.0716,0.0525,0.0219,0.0540,0.0251,0.0529
25,EPS,-6.70,1.84,1.95,1.67,0.49,1.84,2.81,3.46,3.28,4.90,3.70,2.28,0.12,6.39,6.99,5.17,5.09,5.08,5.18,6.43,4.88,2.18,5.29,2.14,4.98
26,EPS Diluted,-6.70,1.84,1.95,1.67,0.49,1.84,2.81,3.46,3.26,4.88,3.68,2.28,0.12,6.39,6.65,5.08,5.07,5.06,5.17,6.42,4.87,2.18,5.29,2.14,4.97
27,Weighted Average Shares Outstanding,86500000,102300000,102400000,100900000,98000000,98000000,95400000,94306358,89100000,82100000,77900000,72236842,83333333,92425665,89200000,93442940,95442043,92086614,88185328,88195956,87520492,87100000,87300000,87336449,87336449
28,Weighted Average Shares Outstanding Diluted,102200000,102300000,102400000,100900000,98000000,98000000,95400000,94306358,89700000,82500000,78300000,72600000,83333333,92425665,93700000,95100000,95900000,92400000,88400000,88400000,87700000,87700000,87300000,87500000,87500000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1034670/000103467001500012/0001034670-01-500012-index.html,- -,https://www.sec.gov/Archives/edgar/data/1034670/000103467003000007/0001034670-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/1034670/000103467004000041/0001034670-04-000041-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1034670/000115752308001642/0001157523-08-001642-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000115752309001524/0001157523-09-001524-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312510035083/0001193125-10-035083-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312511043338/0001193125-11-043338-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312512074898/0001193125-12-074898-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312513070928/0001193125-13-070928-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312514061778/0001193125-14-061778-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312515053479/0001193125-15-053479-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312516469305/0001193125-16-469305-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312517052888/0001193125-17-052888-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459018002787/0001564590-18-002787-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459019003571/0001564590-19-003571-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459020005667/0001564590-20-005667-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459021006803/0001564590-21-006803-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000095017022001528/0000950170-22-001528-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,152000000,119000000,119000000,82000000,- -,102000000,94000000,229200000,295900000,168100000,153800000,488600000,472700000,587700000,739200000,977700000,1118300000,1529000000,1333500000,1226700000,959500000,615800000,444700000,1178200000,969000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,152000000,119000000,119000000,82000000,- -,102000000,94000000,229200000,295900000,168100000,153800000,488600000,472700000,587700000,739200000,977700000,1118300000,1529000000,1333500000,1226700000,959500000,615800000,444700000,1178200000,969000000
34,Net Receivables,590000000,707000000,746000000,879000000,- -,1027000000,1235000000,1303000000,1160000000,1266700000,1262900000,884800000,1083100000,1394000000,1483300000,1536900000,1744000000,1760900000,1821000000,1996100000,2198500000,1701200000,1653500000,2029400000,1745000000
35,Inventory,198000000,265000000,274000000,334000000,- -,382000000,452000000,509200000,485400000,545400000,561300000,592400000,489000000,561700000,623300000,611000000,661800000,675500000,711400000,773400000,859100000,757900000,740900000,798300000,777000000
36,Other Current Assets,35000000,41000000,43000000,54000000,- -,45000000,59000000,149400000,221200000,118200000,117200000,120500000,134800000,145200000,154500000,163600000,176300000,170800000,172400000,144700000,187600000,210500000,163000000,263100000,184000000
37,Total Current Assets,975000000,1132000000,1182000000,1349000000,- -,1556000000,1840000000,2190800000,2162500000,2098400000,2095200000,2086300000,2179600000,2688600000,3000300000,3289200000,3700400000,4136200000,4038300000,4140900000,4204700000,3285400000,3002100000,4269000000,3675000000
38,PP&E,727000000,869000000,834000000,868000000,- -,917000000,1052000000,1159700000,1080700000,1160400000,1259800000,1158200000,1041800000,1025800000,1121200000,1232800000,1336200000,1390200000,1437100000,1658100000,1973100000,1690100000,1972500000,2009900000,1987000000
39,Goodwill,1464000000,1479000000,1490000000,1686000000,- -,1498000000,1531000000,- -,1524800000,1537100000,1613400000,1607800000,1614400000,1612300000,1607000000,1610800000,1610100000,1594000000,1666300000,1870700000,1688800000,1389900000,1387900000,1398100000,1387000000
40,Intangible Assets,230000000,170000000,106000000,54000000,- -,192000000,179000000,1709300000,154300000,139200000,146100000,137400000,114300000,109700000,109200000,96200000,77300000,67200000,128000000,212500000,164800000,32700000,22300000,13600000,8000000
41,Intangible Assets,1694000000,1649000000,1596000000,1740000000,- -,1690000000,1710000000,1709300000,1679100000,1676300000,1759500000,1745200000,1728700000,1722000000,1716200000,1707000000,1687400000,1661200000,1794300000,2083200000,1853600000,1422600000,1410200000,1411700000,1395000000
42,Investments,35000000,19000000,35000000,112000000,- -,- -,- -,- -,- -,- -,- -,215900000,235500000,228100000,279600000,25400000,26600000,26800000,22900000,18500000,110600000,12500000,8600000,8700000,11000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281100000,271000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,134000000,292000000,294300000,142900000,175700000,190900000,- -,- -,- -,- -,315900000,232400000,228500000,232900000,333700000,407900000,311000000,377800000,176400000,198000000
45,Total Non-Current Assets,2456000000,2537000000,2465000000,2720000000,- -,2741000000,3054000000,3163300000,2902700000,3012400000,3210200000,3119300000,3006000000,2975900000,3117000000,3281100000,3282600000,3306700000,3487200000,4093500000,4345200000,3436200000,3769100000,3887800000,3862000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3431000000,3669000000,3647000000,4069000000,- -,4297000000,4894000000,5354100000,5065200000,5110800000,5305400000,5205600000,5185600000,5664500000,6117300000,6570300000,6983000000,7442900000,7525500000,8234400000,8549900000,6721600000,6771200000,8156800000,7537000000
48,Accounts Payable,385000000,457000000,453000000,540000000,- -,619000000,721000000,798900000,682600000,762500000,834000000,613400000,771700000,1003100000,1083900000,1055900000,1199900000,1091500000,1169600000,1196500000,1280800000,978300000,941000000,1226700000,1129000000
49,Short-Term Debt,186200000,192600000,244500000,353800000,- -,122900000,149400000,313800000,508400000,294100000,311900000,270000000,318600000,87100000,302800000,69800000,339400000,79600000,39600000,219800000,19700000,620700000,405900000,339100000,384000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38400000,50200000,91800000,63800000,53900000,74800000,69100000,71100000,81600000,102200000,64900000,38800000,97300000,81000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29400000,- -,- -,- -
52,Other Current Liabilities,427800000,413400000,407500000,363200000,- -,447100000,495600000,686600000,573300000,475000000,517400000,497300000,603200000,744300000,699200000,724100000,889200000,967500000,1017200000,1181300000,1354100000,1237100000,1063300000,1581100000,1308000000
53,Total Current Liabilities,999000000,1063000000,1105000000,1257000000,- -,1189000000,1366000000,1799300000,1764300000,1531600000,1663300000,1380700000,1693500000,1834500000,2085900000,1849800000,2428500000,2138600000,2226400000,2597600000,2654600000,2865500000,2410200000,3146900000,2821000000
54,Long-Term Debt,612000000,629000000,470000000,737000000,- -,843000000,846000000,667100000,757100000,887700000,1040300000,1401100000,820700000,637700000,363500000,562900000,279100000,1521200000,1499400000,1323600000,1321700000,1609000000,1726100000,2212900000,1756000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,83700000,74100000,64300000,55000000,20000000,39500000,39600000,- -,- -,- -
57,Other Non-Current Liabilities,115000000,131000000,141000000,165000000,- -,216000000,280000000,192500000,227700000,288600000,252700000,307300000,283200000,265000000,259500000,315300000,220000000,291700000,289100000,616000000,499000000,323800000,525700000,373900000,312000000
58,Total Non-Current Liabilities,727000000,760000000,611000000,902000000,- -,1059000000,1126000000,859600000,984800000,1176300000,1293000000,1708400000,1103900000,902700000,698000000,961900000,573200000,1877200000,1843500000,1959600000,1860200000,1972400000,2251800000,2586800000,2068000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157200000,140600000,132000000
61,Total Liabilities,1726000000,1823000000,1716000000,2159000000,- -,2248000000,2492000000,2658900000,2749100000,2707900000,2956300000,3089100000,2797400000,2737200000,2783900000,2811700000,3001700000,4015800000,4069900000,4557200000,4514800000,4837900000,4662000000,5733700000,4889000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,102000000,102000000,102000000,102000000,- -,102000000,103000000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,102800000,103000000
64,Retained Earnings,-337000000,-196000000,-113000000,-31000000,- -,135000000,523000000,887500000,900900000,1161400000,1339300000,1402800000,1412800000,1910100000,2374600000,2672500000,2965900000,3240000000,3499400000,3861800000,4079200000,2041800000,2283500000,2471100000,2742000000
65,Other Comprehensive Income/Loss,-381000000,-806000000,-810000000,-905000000,- -,-1240000000,-1553000000,- -,37700000,57900000,187500000,54300000,74300000,36400000,-42300000,-40500000,500000,-253000000,-408500000,-565500000,-287500000,-423200000,-448900000,-346900000,-408000000
66,Other Total Stockholders Equity,2334400000,2760600000,2761000000,2766100000,- -,3049700000,3329000000,- -,1274700000,1080800000,719500000,556600000,798300000,878000000,898300000,1023800000,912100000,337300000,261900000,278100000,140600000,162300000,171800000,181900000,- -
67,Total Stockholders Equity,1718400000,1860600000,1940000000,1932100000,- -,2046700000,2402000000,2636400000,2316100000,2402900000,2349100000,2116500000,2388200000,2927300000,3333400000,3758600000,3981300000,3427100000,3455600000,3677200000,4035100000,1883700000,2109200000,2408900000,2633000000
68,Total Liabilities And Stockholders Equity,3444400000,3683600000,3656000000,4091100000,- -,4294700000,4894000000,5295300000,5065200000,5110800000,5305400000,5205600000,5185600000,5664500000,6117300000,6570300000,6983000000,7442900000,7525500000,8234400000,8549900000,6721600000,6771200000,8142600000,7522000000
69,Minority Interest,-13400000,-14600000,-9000000,-22100000,- -,2300000,- -,58800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,15000000
70,Total Liabilities & Equity,3431000000,3669000000,3647000000,4069000000,- -,4297000000,4894000000,5354100000,5065200000,5110800000,5305400000,5205600000,5185600000,5664500000,6117300000,6570300000,6983000000,7442900000,7525500000,8234400000,8549900000,6721600000,6771200000,8156800000,7537000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1034670/000103467001500012/0001034670-01-500012-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1034670/000103467003000007/0001034670-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/1034670/000103467004000041/0001034670-04-000041-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1034670/000115752308001642/0001157523-08-001642-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000115752309001524/0001157523-09-001524-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312510035083/0001193125-10-035083-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312511043338/0001193125-11-043338-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312512074898/0001193125-12-074898-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312513070928/0001193125-13-070928-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312514061778/0001193125-14-061778-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312515053479/0001193125-15-053479-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312516469305/0001193125-16-469305-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312517052888/0001193125-17-052888-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459018002787/0001564590-18-002787-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459019003571/0001564590-19-003571-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459020005667/0001564590-20-005667-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459021006803/0001564590-21-006803-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000095017022001528/0000950170-22-001528-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-579000000,188000000,200000000,168000000,47900000,180000000,271000000,326300000,293000000,402000000,288000000,165000000,10000000,591000000,623000000,483000000,486000000,468000000,456800000,567100000,427100000,190400000,461500000,186900000,435000000
74,Depreciation and Amortization,162600000,228000000,253400000,269100000,304200000,248500000,278800000,298300000,308900000,302600000,320800000,346900000,314300000,281700000,268300000,273200000,286000000,305400000,319100000,383000000,425800000,397100000,350600000,370900000,394000000
75,Deferred Income Tax,1400000,38300000,46500000,24000000,19100000,29600000,32700000,-2800000,13500000,15900000,-1000000,-12200000,-62500000,17800000,5000000,-31800000,35200000,-800000,-24100000,-24800000,-47200000,3000000,-16000000,-23900000,-20000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,34500000,93000000,8000000,15000000,275000000,107000000,-82500000,6700000,168600000,-134900000,273700000,-219500000,368000000,60300000,525000000,-167500000,725700000,-185700000,-268600000,6800000,-1130200000,172000000,530200000,-268100000,-62000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-16100000,-52400000,-16100000,-37500000,-8200000,-29800000,-11200000,-19500000,-21300000,-31500000,11900000,-66100000,134200000,-50400000,-65500000,6900000,-63600000,-69800000,-92700000,-72600000,-21000000,-123900000,15400000,-34000000,-19000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-24000000,69000000,77000000,92000000,367000000,474000000,391500000,398200000,566800000,431900000,705600000,486100000,854100000,914400000,1439400000,1271900000,1997600000,1811900000,1543300000,1550100000,419900000,591900000,1122100000,854000000,-12000000
82,Other Non-Cash Items,769100000,-233000000,-71800000,-210300000,-380000000,-56100000,30100000,51700000,-305100000,-25800000,-100700000,333400000,-137200000,-26400000,-663100000,131600000,-695000000,125800000,267300000,-63700000,1260400000,-171900000,-685600000,583100000,7000000
83,Cash Provided by Operating Activities,388600000,314300000,436100000,265800000,266200000,509000000,530100000,680200000,478900000,559800000,780800000,613600000,492600000,924400000,758200000,688500000,837900000,712700000,750500000,868400000,935900000,590600000,640700000,848900000,754000000
84,CAPEX,-227600000,-314300000,-304600000,-244800000,-248400000,-228400000,-258000000,-324200000,-314600000,-330800000,-325900000,-294000000,-139700000,-236400000,-367300000,-365400000,-385600000,-456000000,-490700000,-507900000,-580100000,-560000000,-483400000,-343500000,-458000000
85,Acquisitions Net,- -,- -,- -,-211000000,-13100000,-22300000,-29200000,- -,- -,- -,-120600000,-49300000,-36300000,-77400000,-23200000,3400000,-2000000,1000000,-103100000,-226300000,-123900000,-72000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,4200000,5600000,49200000,27900000,-8100000,10500000,10500000,21300000,12000000,42400000,14300000,12700000,18700000,16600000,-349500000,3800000,10200000,2000000,-22200000,7100000,6700000,4300000,7300000,3900000,-454000000
89,Cash Used for Investing Activites,-223400000,-308700000,-255400000,-427900000,-269600000,-240200000,-276700000,-302900000,-302600000,-288400000,-431100000,-327800000,-157300000,-297200000,-372700000,-358200000,-377400000,-453000000,-591100000,-726000000,-697300000,-627700000,-476100000,-339600000,-454000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-345000000,-1203800000,-179100000,-226000000,-9400000,-277300000,-1200000,-12200000,- -,- -,- -,- -,-722500000,-20000000
91,Common Stock Issued,- -,- -,1500000,100000,900000,700000,7100000,10200000,4600000,7700000,11400000,- -,236900000,- -,- -,106300000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-20800000,- -,- -,-103000000,- -,-30400000,-43000000,-143900000,-377800000,-221500000,-380000000,-173500000,- -,- -,- -,- -,-147900000,-616000000,-104400000,- -,-157000000,- -,- -,- -,- -
93,Dividends Paid,-42900000,-45000000,-45000000,-44500000,-43000000,-42900000,-51300000,-70300000,-109500000,-112100000,-120600000,-118500000,-17900000,-57700000,-154700000,-177600000,-191000000,-194900000,-195700000,-202800000,-208700000,-214300000,-217000000,-54100000,-165000000
94,Other Financing Activites,-63800000,400000,-128500000,278300000,52400000,-184400000,-185600000,-56700000,397200000,-112300000,114500000,742300000,608700000,-292100000,157800000,-10600000,297900000,1038400000,-6600000,2600000,-200500000,-30700000,-121100000,936700000,-284000000
95,Cash Used/Provided by Financing Activities,-127500000,-44600000,-172000000,130900000,10300000,-257000000,-272800000,-260700000,-85500000,-438200000,-374700000,105300000,-376100000,-528900000,-222900000,-91300000,-318300000,226300000,-318900000,-200200000,-566200000,-245000000,-338100000,160100000,-469000000
96,Effect of Forex Changes on Cash,-17400000,5500000,-8000000,-5800000,-4900000,5500000,11600000,18900000,-24100000,39000000,10700000,-56300000,24900000,16700000,-11100000,-500000,-1600000,-75300000,-36000000,-49000000,60400000,-61600000,2400000,64100000,-39000000
97,Net Change In Cash,20300000,-44600000,700000,-37000000,2000000,17300000,-7800000,135500000,66700000,-127800000,-14300000,334800000,-15900000,115000000,151500000,238500000,140600000,410700000,-195500000,-106800000,-267200000,-343700000,-171100000,733500000,-209000000
98,Cash at the End of Period,152000000,- -,119200000,82200000,84200000,101500000,93700000,229200000,295900000,168100000,153800000,488600000,472700000,587700000,739200000,977700000,1118300000,1529000000,1333500000,1226700000,959500000,615800000,444700000,1178200000,969000000
99,Cash at the Beginning of Period,131700000,152000000,118500000,119200000,82200000,84200000,101500000,93700000,229200000,295900000,168100000,153800000,488600000,472700000,587700000,739200000,977700000,1118300000,1529000000,1333500000,1226700000,959500000,615800000,444700000,1178000000
100,Free Cash Flow,161000000,- -,131500000,21000000,17800000,280600000,272100000,356000000,164300000,229000000,454900000,319600000,352900000,688000000,390900000,323100000,452300000,256700000,259800000,360500000,355800000,30600000,157300000,505400000,296000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1034670/000103467001500012/0001034670-01-500012-index.html,- -,https://www.sec.gov/Archives/edgar/data/1034670/000103467003000007/0001034670-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/1034670/000103467004000041/0001034670-04-000041-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1034670/000115752308001642/0001157523-08-001642-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000115752309001524/0001157523-09-001524-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312510035083/0001193125-10-035083-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312511043338/0001193125-11-043338-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312512074898/0001193125-12-074898-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312513070928/0001193125-13-070928-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312514061778/0001193125-14-061778-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312515053479/0001193125-15-053479-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312516469305/0001193125-16-469305-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312517052888/0001193125-17-052888-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459018002787/0001564590-18-002787-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459019003571/0001564590-19-003571-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459020005667/0001564590-20-005667-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459021006803/0001564590-21-006803-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000095017022001528/0000950170-22-001528-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
