,https://roic.ai/company/LGND,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-2.0376,-2.6204,-1.0136,-1.9381,-6.6610,-1.8264,-1.5044,-0.5632,-0.3373,-0.2654,-0.2761,-0.2061,-0.2252,21.8464,-3.5919,-0.0500,-0.4407,0.3388,-0.0168,0.2332,0.1863,3.5780,-0.0150,0.0890,0.5700,5.2319,-0.0160,0.2078
25,EPS,-9.42,-16.20,-7.80,-18.12,-17.52,-9.48,-7.80,-4.32,-2.82,-3.18,-3.66,-2.94,-2.34,17.22,-6.18,-0.12,-0.64,0.52,-0.03,0.56,0.59,13.00,-0.08,0.60,6.77,33.13,-0.18,2.22
26,EPS Diluted,-9.42,-16.20,-7.80,-18.12,-17.52,-9.48,-7.80,-4.32,-2.82,-3.18,-3.66,-2.94,-2.34,17.22,-6.18,-0.12,-0.64,0.52,-0.03,0.55,0.56,12.12,-0.08,0.53,5.96,31.85,-0.18,2.16
27,Weighted Average Shares Outstanding,2876864,3734947,4796828,5521406,6732083,7857734,9277505,9902231,11519852,11780895,12282189,12336608,13436448,16354154,15917602,18862871,19613201,19655632,19853095,20312395,20418569,19789991,20831454,21032400,21160000,18995000,16185000,16688000
28,Weighted Average Shares Outstanding Diluted,2876864,3734947,4796828,5521406,6732083,7857734,9277505,9902231,11519852,11780895,12282189,12336608,13436448,16354154,15917602,18862871,19613201,19713320,19853095,20745454,21433177,21227887,20831454,23480537,24067000,19757000,16185000,17142000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886163/000088616303000010/0000886163-03-000010-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616304000005/0000886163-04-000005-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000089256905001059/0000892569-05-001059-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000093639206000303/0000936392-06-000303-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000093639207000206/0000936392-07-000206-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312508046720/0001193125-08-046720-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312509055524/0001193125-09-055524-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312510046761/0001193125-10-046761-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312511055119/0001193125-11-055119-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312512075655/0001193125-12-075655-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616313000025/0000886163-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616314000031/0000886163-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616315000028/0000886163-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616316000149/0000886163-16-000149-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616317000021/0000886163-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616318000030/0000886163-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616319000041/0000886163-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616320000025/0000886163-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616321000050/0000886163-21-000050-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616322000030/0000886163-22-000030-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7600000,16000000,34800000,62300000,32800000,29900000,9224000,20741000,42423000,59030000,92310000,66756000,158401000,76812000,28753000,16032000,3346000,7041000,12381000,11639000,160203000,97428000,18752000,20620000,117164000,71543000,47619000,341108000
32,Short-Term Investments,- -,- -,- -,- -,- -,17300000,14439000,16947000,21825000,40004000,20182000,20174000,13447000,17596000,51918000,37200000,19351000,10000000,- -,4340000,7133000,102791000,122296000,181041000,647408000,998324000,363567000,- -
33,Cash and Short-Term Investments,7600000,16000000,34800000,62300000,32800000,47200000,23663000,37688000,64248000,99034000,112492000,86930000,171848000,94408000,80671000,53232000,22697000,17041000,12381000,15979000,167336000,200219000,141048000,201661000,764572000,1069867000,411186000,341108000
34,Net Receivables,1200000,2300000,3100000,- -,- -,1700000,12824000,9798000,7356000,19051000,30847000,20954000,11521000,- -,12100000,10400000,13602000,12307000,8942000,6724000,13641000,11683000,18218000,29970000,55850000,41748000,59064000,91646000
35,Inventory,- -,- -,- -,- -,6200000,5700000,5651000,3756000,4841000,8262000,11772000,9333000,3856000,- -,- -,- -,- -,1301000,1697000,1392000,269000,1633000,1923000,4373000,7124000,7296000,26487000,27326000
36,Other Current Assets,32800000,54700000,47500000,21800000,39000000,2100000,2511000,2332000,7308000,3810000,17713000,15750000,48332000,15535000,1158000,4534000,720000,1581000,803000,786000,3912000,2037000,1864000,1017000,42994000,4734000,3822000,4671000
37,Total Current Assets,41600000,73000000,85400000,84100000,78000000,56700000,44649000,53574000,83753000,130157000,172824000,132967000,235557000,109943000,93929000,68166000,37019000,32230000,23823000,24881000,185158000,215572000,163053000,237021000,870540000,1123645000,500559000,464751000
38,PP&E,3900000,12300000,11700000,14900000,23700000,20500000,10972000,9690000,9672000,23501000,23647000,22483000,5551000,2865000,12903000,8522000,559000,455000,788000,867000,486000,372000,1819000,4212000,5372000,17538000,21326000,16542000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5375000,- -,- -,14894000,12238000,12238000,12238000,12238000,72207000,85959000,86646000,95229000,189662000,734996000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,137857000,127443000,146770000,83083000,- -,- -,2515000,12951000,57437000,55912000,57670000,55291000,56901000,230526000,248110000,251253000,230538000,606309000,10110000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,137857000,127443000,146770000,83083000,- -,5375000,2515000,12951000,72331000,68150000,69908000,67529000,69139000,302733000,334069000,337899000,325767000,795971000,745106000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1462000,1341000,1341000,- -,- -,- -,29728000,8345000,6438000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25068000,- -,- -,8000,- -,- -,216564000,123891000,84422000,46521000,25608000,24320000,35525000
44,Other Non-Current Assets,1200000,8300000,5000000,8400000,54300000,57400000,57801000,54209000,177184000,9740000,8552000,12399000,1862000,60470000,59241000,36074000,23689000,15993000,11491000,9057000,4856000,2554000,1744000,4859000,471000,2357000,20109000,39459000
45,Total Non-Current Assets,5100000,20600000,16700000,23300000,78000000,77900000,68773000,63899000,186856000,171098000,159642000,181652000,90496000,63335000,77519000,73641000,38540000,90120000,80437000,79832000,72871000,318357000,438532000,434000000,390263000,371270000,861726000,836632000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46700000,93600000,102100000,107400000,156000000,134600000,113422000,117473000,270609000,301255000,332466000,314619000,326053000,173278000,171448000,141807000,75559000,122350000,104260000,104713000,258029000,533929000,601585000,671021000,1260803000,1494915000,1362285000,1301383000
48,Accounts Payable,2300000,3900000,4100000,10700000,12400000,5400000,3827000,5385000,11979000,18691000,17352000,15360000,12259000,12682000,14627000,16945000,8597000,11065000,5854000,3951000,7698000,4083000,2734000,2259000,4183000,2420000,3784000,- -
49,Short-Term Debt,- -,- -,2600000,2800000,3200000,4100000,3478000,2867000,2087000,2479000,2924000,2745000,37750000,1528000,1829000,91000,8034000,10000000,14835000,9109000,334000,- -,212910000,224529000,26433000,1242000,8478000,46000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,8729000,4683000,2564000,152528000,157519000,59945000,1964000,12265000,6691000,1702000,1240000,486000,116000,150000,- -,- -,173000,3286000,2139000,29435000,10996000
52,Other Current Liabilities,5800000,11800000,7100000,8200000,11300000,11200000,21110000,14745000,11786000,30315000,43908000,59587000,60856000,34794000,41893000,28445000,15155000,21338000,14264000,15763000,14597000,16753000,11485000,11907000,48347000,11201000,58414000,30623000
53,Total Current Liabilities,8100000,15700000,13800000,21700000,26900000,20700000,28415000,31726000,30535000,54049000,216712000,235211000,170810000,50968000,70614000,52172000,33488000,43643000,35439000,28939000,22779000,20836000,227129000,238868000,82249000,17002000,100111000,41665000
54,Long-Term Debt,12300000,49900000,54000000,51400000,90500000,136700000,131705000,136758000,155250000,170052000,167089000,166745000,- -,627000,2178000,30993000,22851000,20286000,13443000,- -,195908000,205372000,29563000,18859000,609864000,638959000,442293000,336211000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5197000,2546000,3466000,2369000,2085000,2085000,- -,- -,3525000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372000,2522000,725000,1098000,2792000,- -,- -,- -,- -,32937000,64598000,62419000
57,Other Non-Current Liabilities,- -,-100000,-200000,- -,50000000,2800000,8427000,6864000,10809000,6426000,23982000,23082000,127891000,92568000,109021000,49701000,21151000,43787000,25799000,22978000,10057000,3330000,3603000,9981000,7776000,38785000,45758000,39459000
58,Total Non-Current Liabilities,12300000,49800000,53800000,51400000,140500000,139500000,140132000,143622000,166059000,176478000,191071000,189827000,127891000,93195000,111199000,85891000,46920000,70061000,42336000,26161000,210842000,208702000,33166000,32365000,617640000,710681000,552649000,438089000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4003000,3430000,2156000,- -,- -,5372000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11212000,14121000,15540000
61,Total Liabilities,20400000,65500000,67600000,73100000,167400000,160200000,168547000,175348000,196594000,230527000,407783000,425038000,298701000,144163000,181813000,138063000,80408000,113704000,77775000,55100000,233621000,229538000,260295000,271233000,699889000,727683000,652760000,479754000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,57000,60000,72000,73000,73000,73000,100000,101000,119000,123000,21000,21000,21000,21000,20000,20000,21000,21000,21000,17000,16000,- -
64,Retained Earnings,-76100000,-140300000,-177600000,-277700000,-395600000,-470300000,-542725000,-585720000,-618316000,-655778000,-794660000,-831059000,-862802000,-581512000,-679626000,-681574000,-691947000,-681771000,-682759000,-671339000,-659315000,-402010000,-431127000,-400924000,-229197000,400105000,391952000,- -
65,Other Comprehensive Income/Loss,-4400000,-7100000,-11000000,-14500000,-17800000,-23300000,-26289000,-29541000,-43000,-66000,229000,490000,-481000,9000,81000,513000,31000,- -,-4881000,2914000,4953000,4903000,2743000,2486000,-1024000,-216000,-801000,-917000
66,Other Total Stockholders Equity,106800000,175500000,223100000,326500000,402000000,467900000,513832000,557326000,692302000,726499000,719041000,720077000,890535000,610517000,669061000,684682000,687046000,690396000,714104000,718017000,680660000,701478000,799216000,817064000,791114000,367326000,318358000,- -
67,Total Stockholders Equity,26300000,28100000,34500000,34300000,-11400000,-25600000,-55125000,-57875000,74015000,70728000,-75317000,-110419000,27352000,29115000,-10365000,3744000,-4849000,8646000,26485000,49613000,26318000,304391000,370853000,418647000,560914000,767232000,709525000,821629000
68,Total Liabilities And Stockholders Equity,46700000,93600000,102100000,107400000,156000000,134600000,113422000,117473000,270609000,301255000,332466000,314619000,326053000,173278000,171448000,141807000,75559000,122350000,104260000,104713000,259939000,533929000,631148000,689880000,1260803000,1494915000,1362285000,1301383000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1910000,- -,-29563000,-18859000,- -,- -,- -,- -
70,Total Liabilities & Equity,46700000,93600000,102100000,107400000,156000000,134600000,113422000,117473000,270609000,301255000,332466000,314619000,326053000,173278000,171448000,141807000,75559000,122350000,104260000,104713000,258029000,533929000,601585000,671021000,1260803000,1494915000,1362285000,1301383000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886163/000088616303000010/0000886163-03-000010-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616304000005/0000886163-04-000005-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000089256905001059/0000892569-05-001059-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000093639206000303/0000936392-06-000303-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000093639207000206/0000936392-07-000206-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312508046720/0001193125-08-046720-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312509055524/0001193125-09-055524-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312510046761/0001193125-10-046761-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312511055119/0001193125-11-055119-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000119312512075655/0001193125-12-075655-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616313000025/0000886163-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616314000031/0000886163-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616315000028/0000886163-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616316000149/0000886163-16-000149-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616317000021/0000886163-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616318000030/0000886163-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616319000041/0000886163-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616320000025/0000886163-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616321000050/0000886163-21-000050-index.htm,https://www.sec.gov/Archives/edgar/data/886163/000088616322000030/0000886163-22-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-27100000,-64200000,-37300000,-100200000,-117900000,-74700000,-72376000,-42995000,-32596000,-37462000,-45141000,-36399000,-31743000,281688000,-98114000,-1948000,-10373000,10176000,-527000,11420000,12024000,257305000,-1636000,12556000,143321000,629302000,-2985000,57586000
74,Depreciation and Amortization,2500000,3700000,9400000,9800000,7700000,7400000,6973000,6573000,10472000,14280000,15275000,18707000,16217000,2615000,1052000,3134000,2212000,2790000,2727000,2663000,2657000,2627000,11290000,11714000,14718000,43731000,27966000,51071000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13257000,-1204000,374000,410000,-219613000,10697000,44518000,29739000,74829000,-19053000,-8618000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3365000,2325000,3351000,4067000,5666000,11270000,12458000,18893000,24915000,20846000,24515000,30727000,38783000
77,Change in Working Capital,3200000,23800000,14300000,-9200000,-11300000,-15100000,-19766000,5614000,31370000,22890000,-119996000,-58356000,166991000,-5772000,-35660000,-7321000,-12463000,-14944000,-203000,7558000,166437000,32357000,-258812000,62229000,790138000,318352000,-706195000,22638000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-618000,-375000,-3915000,1521000,2367000,-10412000,6489000,-8525000,-8358000,-29544000,25463000,-26061000,-28616000
79,Inventory,- -,- -,- -,- -,-2900000,400000,81000,1895000,-1085000,-3421000,-3292000,-3430000,1584000,930000,- -,- -,- -,1114000,1030000,646000,4369000,-401000,-244000,-843000,-2559000,-2061000,-17799000,-427000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4801000,-2758000,-3155000,-4027000,-2369000,-1713000,-4542000,- -,-1245000,2810000
81,Other Working Capital,33500000,57300000,71600000,62400000,51100000,36000000,16234000,21848000,53218000,76108000,-43888000,-102244000,64747000,58975000,23315000,15994000,3531000,-11413000,-11616000,-4058000,162379000,194736000,-64076000,-1847000,788291000,1106643000,400448000,423086000
82,Other Non-Cash Items,7100000,-1200000,-19700000,86200000,54900000,21900000,37814000,10902000,-34358000,566000,155616000,84413000,-289986000,-376258000,112097000,-31031000,-8768000,10712000,-4699000,-6991000,-172232000,-43407000,282569000,-62364000,-804703000,-1120065000,724126000,-82662000
83,Cash Provided by Operating Activities,-14300000,-37900000,-33300000,-13400000,-66600000,-60500000,-47355000,-19906000,-25112000,274000,5754000,8365000,-138521000,-97727000,-20625000,-33801000,-27067000,-1172000,161000,20690000,20566000,41727000,63001000,93568000,194059000,-29336000,54586000,78798000
84,CAPEX,-600000,-200000,-400000,-4300000,-2400000,-39500000,-1085000,-1974000,-3161000,-2783000,-3604000,-35596000,-1783000,-440000,-495000,-522000,-70000,-78000,-8644000,-4937000,-4499000,-10863000,-28322000,-7154000,-11887000,-2553000,-4458000,-8761000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,183332000,310139000,4135000,9796000,-2834000,-32024000,- -,- -,- -,-9247000,-94202000,-26653000,-5856000,-12840000,-383323000,- -
86,Purchases of Investments,-18300000,-17700000,-53100000,-35000000,-52200000,-21400000,-11974000,-18263000,-13934000,-28026000,-26322000,-29626000,-18383000,-25565000,-68370000,-32806000,-35584000,-10000000,- -,- -,- -,-166025000,-164438000,-254258000,-1434255000,-2356545000,-422523000,-181325000
87,Sales/Maturities of Investments,27500000,37200000,61200000,60300000,35200000,41200000,16027000,15784000,18054000,10053000,49668000,31323000,25554000,20116000,32015000,47761000,54040000,19346000,10000000,- -,2342000,73273000,143470000,196634000,1024815000,2030728000,1038694000,221335000
88,Other Investing Activites,-7500000,9300000,-200000,-16700000,-9200000,-5200000,11883000,281000,-106204000,-3863000,-131000,181000,8145000,39587000,233000,539000,-1012000,-2376000,-8142000,-4597000,-4363000,-10770000,-26172000,2256000,-7086000,808128000,3258000,-726000
89,Cash Used for Investing Activites,1100000,28600000,7500000,4300000,-28600000,-24900000,14651000,-4172000,-105245000,-24619000,19611000,-33718000,196865000,343837000,-32482000,24768000,14540000,-25132000,1263000,-4974000,-2027000,-112862000,-143192000,-84177000,-423269000,466918000,231648000,30523000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3916000,-91000,- -,-10000000,-19586000,-9366000,- -,- -,- -,-217674000,-27323000,-231758000,-155760000
91,Common Stock Issued,10300000,21100000,39000000,36700000,38300000,22300000,14194000,28576000,70760000,49490000,6619000,930000,9050000,4387000,130000,228000,23000,54000,5437000,154000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15867000,- -,- -,- -,-39610000,-1613000,- -,-91000,-55000,- -,- -,-67954000,-489000,-3901000,-1966000,-122868000,-453048000,-77998000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-252557000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8900000,-3500000,5700000,-200000,27500000,60200000,-2169000,7019000,81279000,7329000,1296000,-1131000,24251000,-39919000,-1527000,- -,- -,30000000,8479000,2974000,207345000,8849000,5416000,-5557000,669127000,-4801000,-789000,17999000
95,Cash Used/Provided by Financing Activities,19200000,17600000,44700000,36500000,65800000,82500000,12025000,35595000,152039000,40952000,7915000,-201000,33301000,-327699000,-3010000,-3688000,-159000,29999000,3916000,-16458000,130025000,8360000,1515000,-7523000,328585000,-485172000,-310545000,-137761000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215000,83000,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-29500000,-2900000,-20679000,11517000,21682000,16607000,33280000,-25554000,91645000,-81589000,-48059000,-12721000,-12686000,3695000,5340000,-742000,148564000,-62775000,-78676000,1868000,99160000,-47507000,-24311000,-28440000
98,Cash at the End of Period,- -,- -,- -,- -,32800000,29900000,9224000,20741000,42423000,59030000,92310000,66756000,158401000,76812000,28753000,16032000,3346000,7041000,12381000,11639000,160203000,97428000,18752000,20620000,119780000,72273000,47962000,19522000
99,Cash at the Beginning of Period,1600000,7600000,16000000,34800000,62300000,32800000,29903000,9224000,20741000,42423000,59030000,92310000,66756000,158401000,76812000,28753000,16032000,3346000,7041000,12381000,11639000,160203000,97428000,18752000,20620000,119780000,72273000,47962000
100,Free Cash Flow,-14900000,-38100000,-33700000,-17700000,-69000000,-100000000,-48440000,-21880000,-28273000,-2509000,2150000,-27231000,-140304000,-98167000,-21120000,-34323000,-27137000,-1250000,-8483000,15753000,16067000,30864000,34679000,86414000,182172000,-31889000,50128000,70037000
