,https://roic.ai/company/SQM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
26,EPS Diluted,0.11,0.21,0.31,0.26,0.27,0.16,0.09,0.09,0.15,0.22,0.28,0.43,0.53,0.68,1.90,1.31,1.44,2.06,2.45,1.76,1.12,0.80,1.05,1.61,1.66,1.05,0.62
27,Weighted Average Shares Outstanding,205872055,195218713,228098143,241357628,251630525,260563884,265110705,265110705,265110221,265110705,265110705,265110221,265110705,265110705,264425513,265110705,265433275,265110225,265110225,265110225,265110225,265110225,265110225,265110225,265110225,265105682,265100321
28,Weighted Average Shares Outstanding Diluted,205872055,195218713,228098143,241357628,251630525,260563884,265110705,265110705,265110221,265110705,265110705,265110221,265110705,265110705,265110221,265110705,265433275,265110225,265110225,265110225,265110225,265110225,265110225,265110225,265110225,265105682,265100321
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909037/000112528203004052/0001125282-03-004052-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000112528204003102/0001125282-04-003102-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000112528205003509/0001125282-05-003509-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000112528206003835/0001125282-06-003835-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420407034332/0001144204-07-034332-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420408037078/0001144204-08-037078-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420409035120/0001144204-09-035120-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420410035789/0001144204-10-035789-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420411038411/0001144204-11-038411-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420412024527/0001144204-12-024527-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420413023175/0001144204-13-023175-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420414025407/0001144204-14-025407-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420415031830/0001144204-15-031830-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420416095518/0001144204-16-095518-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420417022407/0001144204-17-022407-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420418021258/0001144204-18-021258-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420419020107/0001144204-19-020107-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000110465920049813/0001104659-20-049813-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,19729000,15251000,66753000,13273000,183943000,164212000,158231000,545437000,524652000,444992000,324353000,476622000,354566000,527259000,514669000,630438000,556066000,588530000,509102000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,44318000,51832000,- -,132303000,- -,- -,165689000,- -,76178000,169261000,244161000,431883000,653442000,617267000,284160000,360941000,291790000,485689000,345459000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,64047000,67083000,66753000,145576000,183943000,164212000,323920000,545437000,600830000,614253000,568514000,908505000,1008008000,1144526000,798829000,991379000,847856000,1074219000,854561000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,152521000,183012000,204212000,222032000,280733000,323057000,422892000,463382000,444890000,533966000,649384000,533472000,543436000,492544000,516577000,543695000,593137000,571639000,584838000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,232802000,245394000,274602000,327232000,365499000,387768000,540727000,637689000,605101000,744402000,896236000,955530000,919603000,1003846000,993072000,902074000,913674000,983338000,1093028000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,37185000,38981000,29883000,47943000,15700000,28917000,51875000,98623000,44442000,63792000,132600000,57542000,40771000,55929000,26588000,29113000,44929000,52970000,36831000
