,https://roic.ai/company/LAMR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,- -,0.21,0.02,0.05,-0.24,-0.65,-1.04,-1.11,-0.36,-0.46,0.12,0.39,0.42,0.47,0.10,-0.64,-0.44,0.09,0.10,0.42,2.66,2.72,3.05,3.23,3.08,3.71,2.41,4.86
27,Weighted Average Shares Outstanding,- -,50952381,45000000,48000000,51250000,69230769,91164884,98566949,101089215,102686780,104041030,105605873,102720744,96779009,92125660,91730109,92261157,92851067,93379246,94387230,95218083,96321578,97129614,97930555,98817525,100130721,100756361,101195158
28,Weighted Average Shares Outstanding Diluted,- -,50952381,45000000,48000000,51250000,69230769,91164884,98566949,101089215,102686780,104571483,106089757,103495522,97553907,92306840,91836094,92673650,93173785,93666641,94745515,95284126,96375130,97693424,98369865,99086160,100320574,100902700,101401754
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899045/000095013400002550/0000950134-00-002550-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013401002534/0000950134-01-002534-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013402002406/0000950134-02-002406-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013503001940/0000950135-03-001940-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013404003215/0000950134-04-003215-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013405004571/0000950134-05-004571-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013406005174/d33719e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090425/000095013407004540/d43959e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090425/000095013408003604/d54259e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090425/000095013409004004/0000950134-09-004004-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095012310018150/0000950123-10-018150-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095012311018470/d78824e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090425/000119312512081940/0001193125-12-081940-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000119312513084458/0001193125-13-084458-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000119312514072774/d651857d10k.htm,https://www.sec.gov/Archives/edgar/data/1090425/000119312515066077/d846166d10k.htm,https://www.sec.gov/Archives/edgar/data/1090425/000119312516478563/0001193125-16-478563-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459017002293/0001564590-17-002293-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459018003444/0001564590-18-003444-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459019004025/0001564590-19-004025-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459020005593/0001564590-20-005593-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459021009276/0001564590-21-009276-index.htm,https://www.sec.gov/Archives/edgar/data/1090425/000162828022003948/0001628280-22-003948-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,8400000,72340000,12885000,282267000,7797000,44201000,19419000,11796000,76048000,14139000,112253000,91679000,33503000,58911000,33212000,26035000,22327000,35530000,115471000,21494000,26188000,121569000,99788000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,8400000,72340000,12885000,282267000,7797000,44201000,19419000,11796000,76048000,14139000,112253000,91679000,33503000,58911000,33212000,26035000,22327000,35530000,115471000,21494000,26188000,121569000,99788000
34,Net Receivables,- -,- -,- -,- -,- -,81200000,91674000,95135000,92382000,90567000,87962000,114733000,127552000,134959000,155043000,142518000,141166000,147436000,159829000,161741000,169610000,174398000,189935000,201699000,235576000,254930000,240854000,269917000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,35900000,31902000,35195000,43834000,45753000,50417000,53123000,91422000,89518000,91801000,113165000,76564000,75686000,82495000,87105000,77499000,85007000,90370000,103349000,106599000,29051000,18147000,18902000
37,Total Current Assets,- -,- -,- -,- -,- -,125500000,195916000,143215000,418483000,144117000,182580000,187275000,230770000,300525000,260983000,367936000,309409000,256625000,301235000,282058000,273144000,281732000,315835000,420519000,363669000,310169000,380570000,388607000
38,PP&E,- -,- -,- -,- -,- -,1193700000,1294875000,1325713000,1283768000,1253798000,1269644000,1289305000,1405948000,1516964000,1595033000,1406911000,1257451000,1193617000,1180359000,1121929000,1083640000,1095137000,1182715000,1214138000,1295048000,2669894000,2523532000,2578836000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1357706000,1376240000,1416396000,1424283000,1426135000,1426848000,1485150000,1503553000,1512768000,1546594000,1726358000,1740454000,1919386000,1912274000,1912328000,1936426000
40,Intangible Assets,- -,- -,- -,- -,- -,1874200000,2129733000,2179475000,2167381000,2207273000,2185479000,2191993000,860850000,802953000,773764000,670501000,569723000,476880000,468312000,419385000,366985000,402886000,637153000,796348000,915453000,992244000,914446000,1045177000
41,Intangible Assets,- -,- -,- -,- -,- -,1874200000,2129733000,2179475000,2167381000,2207273000,2185479000,2191993000,2218556000,2179193000,2190160000,2094784000,1995858000,1903728000,1953462000,1922938000,1879753000,1949480000,2363511000,2536802000,2834839000,2904518000,2826774000,2981603000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12496000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,13500000,17249000,17304000,18474000,32159000,51769000,68506000,68954000,72739000,70849000,73910000,86243000,73383000,78974000,74693000,69785000,65429000,38405000,42886000,51085000,56574000,60565000,98448000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,3081400000,3441857000,3522492000,3469623000,3493230000,3506892000,3549804000,3693458000,3768896000,3856042000,3575605000,3339552000,3170728000,3212795000,3119560000,3045674000,3110046000,3584631000,3793826000,4180972000,5630986000,5410871000,5658887000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,3206900000,3637773000,3665707000,3888106000,3637347000,3689472000,3737079000,3924228000,4069421000,4117025000,3943541000,3648961000,3427353000,3514030000,3401618000,3318818000,3391778000,3900466000,4214345000,4544641000,5941155000,5791441000,6047494000
48,Accounts Payable,- -,- -,- -,- -,- -,11500000,9918000,10048000,10051000,8813000,10412000,13730000,14567000,19569000,15108000,10678000,13208000,12663000,13539000,13341000,16368000,17452000,17653000,17961000,21246000,14974000,12017000,16429000
49,Short-Term Debt,- -,- -,- -,- -,- -,4300000,66814000,66559000,259687000,5044000,72510000,2788000,8648000,31742000,58751000,121282000,5694000,17310000,33134000,55935000,15625000,21332000,33916000,17664000,204120000,423355000,319204000,374395000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,11618000,13942000,14372000,14669000,14945000,17824000,18315000,30612000,36131000,38136000,36717000,51323000,77153000,84558000,87661000,91322000,92694000,107202000,127254000,111363000,137103000
52,Other Current Liabilities,- -,- -,- -,- -,- -,68900000,51729000,33674000,38881000,45986000,50513000,61996000,69940000,75670000,72407000,95616000,96542000,94654000,99461000,98924000,108790000,115208000,134433000,197675000,122467000,107225000,105288000,135038000
53,Total Current Liabilities,- -,- -,- -,- -,- -,84700000,128461000,121899000,322561000,74215000,148104000,93459000,110979000,145296000,176878000,263707000,153580000,161344000,197457000,245353000,225341000,241653000,277324000,325994000,455035000,672808000,547872000,662965000
54,Long-Term Debt,- -,- -,- -,- -,- -,1611500000,1671466000,1745026000,1734746000,1699819000,1587424000,1573538000,1981820000,2694028000,2777607000,2553630000,2403446000,2141218000,2127720000,1882867000,1884270000,1898152000,2315267000,2539026000,2684568000,2753604000,3776466000,3851450000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,112400000,140452000,118837000,114260000,94542000,76240000,107696000,140019000,136118000,126212000,116130000,87234000,92317000,107973000,119150000,- -,2052000,1861000,884000,20734000,5713000,4854000,6416000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,6800000,7939000,7724000,7366000,45966000,141357000,144904000,152877000,162972000,176077000,178276000,186178000,193476000,206047000,221302000,227741000,228862000,236486000,244948000,252520000,1328724000,259481000,309574000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1730700000,1819857000,1871587000,1856372000,1840327000,1805021000,1826138000,2274716000,2993118000,3079896000,2848036000,2676858000,2427011000,2441740000,2223319000,2112011000,2129066000,2553614000,2784858000,2957822000,4088041000,4040801000,4167440000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1265022000,1209154000,1212250000
61,Total Liabilities,- -,- -,- -,- -,- -,1815400000,1948318000,1993486000,2178933000,1914542000,1953125000,1919597000,2385695000,3138414000,3256774000,3111743000,2830438000,2588355000,2639197000,2468672000,2337352000,2370719000,2830938000,3110852000,3412857000,4760849000,4588673000,4830405000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,97000,100000,101000,103000,105000,106000,107000,108000,108000,109000,109000,110000,111000,112000,96000,97000,98000,98000,100000,101000,101000,102000
64,Retained Earnings,- -,- -,- -,- -,- -,-87500000,-181945000,-290944000,-327637000,-374853000,-395207000,-353793000,-315072000,-587523000,-578165000,-651317000,-691784000,-683599000,-674143000,-647577000,-632859000,-635799000,-630955000,-639106000,-695337000,-708408000,-717331000,-734415000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-218900000,-3559991000,-451686000,-566889000,-679205000,-807735000,-902138000,2253000,9286000,-2039000,5248000,6110000,5326000,5978000,3867000,2454000,-1178000,-624000,1302000,12000,685000,934000,855000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,1697800000,5431294000,2414751000,2603598000,2776760000,2939184000,3073307000,1851245000,1509136000,1440347000,1477758000,1504088000,1517161000,1542887000,1576544000,1611775000,1657939000,1701009000,1741199000,1827009000,1887928000,1919064000,1950547000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,1391500000,1689455000,1672221000,1709173000,1722805000,1736347000,1817482000,1538533000,931007000,860251000,831798000,818523000,838998000,874833000,932946000,981466000,1021059000,1069528000,1103493000,1131784000,1180306000,1202768000,1217089000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,3206900000,3637773000,3665707000,3888106000,3637347000,3689472000,3737079000,3924228000,4069421000,4117025000,3943541000,3648961000,3427353000,3514030000,3401618000,3318818000,3391778000,3900466000,4214345000,4544641000,5941155000,5791441000,6047494000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,3206900000,3637773000,3665707000,3888106000,3637347000,3689472000,3737079000,3924228000,4069421000,4117025000,3943541000,3648961000,3427353000,3514030000,3401618000,3318818000,3391778000,3900466000,4214345000,4544641000,5941155000,5791441000,6047494000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/899045/000095013400002550/0000950134-00-002550-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013401002534/0000950134-01-002534-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013402002406/0000950134-02-002406-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013503001940/0000950135-03-001940-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013404003215/0000950134-04-003215-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013405004571/0000950134-05-004571-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095013406005174/d33719e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090425/000095013407004540/d43959e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090425/000095013408003604/d54259e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090425/000095013409004004/0000950134-09-004004-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095012310018150/0000950123-10-018150-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000095012311018470/d78824e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090425/000119312512081940/0001193125-12-081940-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000119312513084458/0001193125-13-084458-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000119312514072774/d651857d10k.htm,https://www.sec.gov/Archives/edgar/data/1090425/000119312515066077/d846166d10k.htm,https://www.sec.gov/Archives/edgar/data/1090425/000119312516478563/0001193125-16-478563-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459017002293/0001564590-17-002293-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459018003444/0001564590-18-003444-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459019004025/0001564590-19-004025-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459020005593/0001564590-20-005593-index.html,https://www.sec.gov/Archives/edgar/data/1090425/000156459021009276/0001564590-21-009276-index.htm,https://www.sec.gov/Archives/edgar/data/1090425/000162828022003948/0001628280-22-003948-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,10700000,1000000,2800000,-11900000,-44600000,-94105000,-108634000,-36328000,-46851000,13155000,41779000,43899000,46217000,9723000,-58038000,-40102000,8550000,9821000,40139000,253518000,262570000,298809000,317676000,305232000,372111000,243386000,388090000
74,Depreciation and Amortization,- -,14100000,3400000,48000000,88600000,177100000,318096000,355529000,277893000,282273000,299386000,292547000,306478000,311466000,331654000,336725000,312703000,299639000,296083000,300579000,258435000,191433000,204958000,211104000,225261000,250028000,251296000,271294000
75,Deferred Income Tax,- -,-3300000,600000,-2800000,-7500000,-13600000,-36974000,-46387000,-15584000,-20601000,7748000,23852000,6364000,6131000,24675000,- -,- -,3702000,7550000,18749000,-122137000,11099000,-343000,804000,1538000,-14130000,-797000,1574000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14466000,24936000,24120000,25890000,28560000,9599000,29443000,29647000,18772000,37368000
77,Change in Working Capital,- -,700000,- -,- -,- -,40800000,26655000,-46139000,74606000,-26020000,-35426000,59340000,25975000,35438000,-71124000,20124000,51600000,-60548000,8497000,-67073000,11098000,-7724000,-1568000,56014000,-185891000,-271273000,195337000,9582000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4452000,-4383000,2460000,-489000,-127000,-89000,1076000,-458000,-746000,309000,1366000,700000,841000,1308000
81,Other Working Capital,- -,- -,- -,- -,- -,40800000,67455000,21316000,95922000,69902000,34476000,93816000,119791000,155229000,84105000,104229000,155829000,95281000,103778000,36705000,47803000,40079000,38511000,94525000,-91366000,-362639000,-167302000,- -
82,Other Non-Cash Items,- -,2900000,-8300000,-2200000,3300000,-49100000,-36071000,36263000,-63570000,71274000,38301000,-70261000,-18199000,-44783000,51592000,-5068000,-1381000,67478000,39492000,77375000,27495000,-5618000,-8593000,-88181000,189263000,264482000,-138121000,26509000
83,Cash Provided by Operating Activities,- -,25100000,-3300000,45800000,72500000,110600000,177601000,190632000,237017000,260075000,323164000,347257000,364517000,354469000,346520000,293743000,322820000,318821000,375909000,394705000,452529000,477650000,521823000,507016000,564846000,630865000,569873000,734417000
84,CAPEX,- -,-14000000,-5000000,-36700000,-55200000,-77200000,-78304000,-85320000,-78390000,-78275000,-82031000,-121117000,-223350000,-220534000,-198070000,-38815000,-43452000,-107070000,-105570000,-105650000,-107573000,-110425000,-107612000,-109329000,-117638000,-140956000,-62272000,-126090000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-189540000,-145228000,-227649000,-153593000,-249951000,-4457000,-6703000,-23497000,-206068000,-92248000,-65021000,-153877000,-585054000,-297305000,-477389000,-226278000,-45584000,-342257000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-137595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8435000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-3800000,-6100000,-333500000,-480000000,-873500000,-357291000,-297151000,-77373000,5829000,7824000,-1625000,12103000,33046000,-187468000,-24582000,-43212000,-93758000,-97331000,-99621000,-98976000,-100003000,-95929000,-102761000,-106759000,-135756000,-51304000,-119503000
89,Cash Used for Investing Activites,- -,-17800000,-11100000,-370200000,-535200000,-950700000,-435595000,-382471000,-155763000,-210041000,-263747000,-267970000,-438896000,-341081000,-437419000,-29039000,-41480000,-117255000,-303399000,-191869000,-163997000,-253880000,-680983000,-400066000,-584148000,-362034000,-96888000,-461760000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29412000,- -,-679956000,-261053000,-1187294000,-427434000,-837502000,-297468000,-424118000,-741493000,-1018118000,-668471000,-2920805000,-695397000
91,Common Stock Issued,- -,- -,- -,2400000,402600000,7400000,205098000,60368000,13976000,8798000,23806000,18672000,35236000,14208000,11182000,4840000,10160000,5457000,13855000,20893000,20615000,28399000,23082000,26684000,62662000,44262000,11148000,19042000
92,Common Stock Repurchased,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25522000,-373949000,-390503000,-93390000,-44000,-1629000,-3481000,-1113000,-4200000,-2987000,-6099000,-6204000,-8997000,-4112000,-8882000,-10492000,-6066000
93,Dividends Paid,- -,-500000,-200000,-400000,-400000,-400000,-365000,-365000,-365000,-365000,-365000,-365000,-365000,-318668000,-365000,-365000,-365000,-365000,-365000,-365000,-238800000,-265510000,-293965000,-244201000,-443088000,-385182000,-252309000,-405174000
94,Other Financing Activites,- -,-7900000,10500000,248700000,181900000,712900000,117200000,72381000,-92140000,-66280000,-46454000,-96854000,406051000,734240000,141987000,-172780000,369361000,- -,1127500000,183911000,764359000,315870000,873113000,939366000,1329093000,753916000,2794541000,793076000
95,Cash Used/Provided by Financing Activities,- -,-9400000,10300000,250700000,584100000,719900000,321933000,132384000,-78529000,-57847000,-23013000,-104069000,66973000,39277000,30002000,-168349000,-302429000,-259442000,-47417000,-227195000,-294315000,-224808000,171908000,-28641000,-73563000,-264357000,-377917000,-294519000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-217000,11587000,-1012000,1759000,515000,-300000,315000,-1340000,-1394000,-2670000,455000,1632000,-1112000,220000,313000,81000
97,Net Change In Cash,- -,-9400000,10300000,250700000,584100000,-120200000,63939000,-59455000,2725000,-7813000,36404000,-24782000,-7623000,64252000,-61909000,98114000,-20574000,-58176000,25408000,-25699000,-7177000,-3708000,13203000,79941000,-93977000,4694000,95381000,-21781000
98,Cash at the End of Period,- -,- -,- -,- -,- -,8400000,72340000,12885000,15610000,7797000,44201000,19419000,11796000,76048000,14139000,112253000,91679000,33503000,58911000,33212000,26035000,22327000,35530000,115471000,21494000,26188000,121569000,99788000
