,https://roic.ai/company/TA,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,0.0087,0.0001,0.0103,-0.0175,-0.0052,-0.0189,-0.0108,0.0032,0.0042,0.0003,0.0123,0.0076,-0.0007,-0.0124,-0.0007,0.0062,-0.0044,0.0103
22,Income Tax expense (Gain),- -,- -,8472000,2309000,18277000,-694000,735000,901000,1421000,1379000,1491000,-26618000,38023000,16539000,-1733000,-84439000,-1574000,4339000,-6178000,17263000
23,Net Income,1271000,8891000,14862000,-2095000,31033000,-101308000,-40201000,-89874000,-65571000,23574000,32198000,31623000,60969000,27719000,-2018000,9262000,-120553000,33345000,-13899000,58524000
24,Net Income ratio,0.0007,0.0041,0.0055,-0.0005,0.0065,-0.0174,-0.0052,-0.0191,-0.0110,0.0030,0.0040,0.0040,0.0078,0.0047,-0.0004,0.0015,-0.0193,0.0055,-0.0029,0.0080
25,EPS,0.90,6.60,10.70,-1.50,22.35,-41.10,-13.55,-26.90,-18.90,4.90,5.60,5.30,8.10,3.60,-0.25,1.15,-15.10,4.12,-1.23,5.34
26,EPS Diluted,0.90,6.30,10.20,-1.50,20.45,-41.10,-13.55,-26.90,-18.90,4.90,5.60,5.30,8.10,3.60,-0.25,1.15,-15.10,4.12,-1.23,5.34
27,Weighted Average Shares Outstanding,1412222,1347121,1388972,1396667,1388501,2256000,2966600,3338800,3472400,4537080,5438777,5616358,7527037,7699722,8072000,8053913,7983642,8093447,10961000,10961000
28,Weighted Average Shares Outstanding Diluted,1412222,1411270,1457059,1396667,1517506,2256000,2966600,3338800,3472400,4820991,5438777,5616358,7527037,7699722,8072000,8053913,7983642,8093447,10961000,10961000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378453/000104746908003867/a2184309z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746909002130/0001047469-09-002130-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746910001234/0001047469-10-001234-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746911001060/a2202049z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746912002775/0001047469-12-002775-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746913002908/0001047469-13-002908-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746914005419/a2217886z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746915002130/a2223074z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000137845316000040/0001378453-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845317000008/0001378453-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845318000009/0001378453-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845319000009/0001378453-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845320000009/0001378453-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845321000006/0001378453-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1378453/000137845322000006/0001378453-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,45846000,47547000,55297000,148876000,145516000,155632000,125396000,118255000,35189000,85657000,224275000,172087000,61312000,36082000,314387000,17206000,483151000,536002000
32,Short-Term Investments,- -,- -,- -,- -,- -,271415000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,45846000,47547000,55297000,420291000,145516000,155632000,125396000,118255000,35189000,85657000,224275000,172087000,61312000,36082000,314387000,17206000,483151000,536002000
34,Net Receivables,- -,- -,61484000,75075000,91850000,135555000,76260000,78638000,82374000,130672000,106273000,105932000,96478000,91580000,107246000,125501000,97449000,173496000,94429000,111392000
35,Inventory,- -,- -,75907000,87702000,90350000,148005000,128962000,129185000,139810000,168267000,191006000,199201000,172750000,183492000,207829000,209640000,196721000,196611000,172830000,191843000
36,Other Current Assets,- -,- -,15299000,20077000,29457000,42163000,58269000,47143000,54596000,67056000,61020000,79604000,69029000,48181000,25674000,27295000,35119000,32456000,35506000,37947000
37,Total Current Assets,- -,- -,198536000,230401000,266954000,746014000,409007000,410598000,402176000,484250000,393488000,470394000,562532000,495340000,402061000,398518000,643676000,419769000,785916000,877184000
38,PP&E,- -,- -,604359000,629253000,653668000,397266000,418765000,417458000,438649000,479943000,576512000,704866000,765828000,989606000,1082022000,1001090000,628537000,2686501000,2536672000,2490953000
39,Goodwill,- -,- -,48898000,49681000,49681000,- -,- -,- -,- -,- -,1690000,24940000,32271000,79768000,88542000,93859000,25259000,25259000,22213000,22213000
40,Intangible Assets,- -,- -,- -,- -,1907000,39962000,34545000,28885000,25749000,21957000,18351000,23832000,22279000,26209000,37738000,34383000,22887000,20707000,11529000,10934000
41,Intangible Assets,- -,- -,48898000,49681000,51588000,39962000,34545000,28885000,25749000,21957000,20041000,48772000,54550000,105977000,126280000,128242000,48146000,45966000,33742000,33147000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,4363000,207000,438000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,41573000,30162000,22944000,80079000,27480000,28419000,27515000,30381000,28240000,33250000,42264000,44171000,49478000,90004000,121749000,78659000,87530000,107217000
45,Total Non-Current Assets,- -,- -,699193000,709303000,728638000,517307000,480790000,474762000,491913000,532281000,624793000,786888000,862642000,1139754000,1257780000,1219336000,798432000,2811126000,2657944000,2631317000
46,Other Assets,660767000,650567000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,660767000,650567000,897729000,939704000,995592000,1263321000,889797000,885360000,894089000,1016531000,1018281000,1257282000,1425174000,1635094000,1659841000,1617854000,1442108000,3230895000,3443860000,3508501000
48,Accounts Payable,- -,- -,88754000,117271000,121198000,154906000,82164000,97701000,110228000,149051000,143605000,149645000,123084000,125079000,157964000,155581000,120914000,147440000,158075000,206420000
49,Short-Term Debt,- -,- -,198000,7009000,7019000,262866000,- -,- -,- -,- -,2038000,2358000,31637000,37030000,39720000,41389000,1032000,104070000,111255000,120854000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,42240000,35127000,34096000,38554000,43457000,47875000,48976000,42985000,52320000,56028000,55029000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000,385000,- -,- -,- -,- -,10128000,- -,- -,- -
52,Other Current Liabilities,- -,- -,61800000,69482000,71278000,150011000,118787000,121984000,126781000,138697000,137178000,151225000,112417000,133513000,132648000,130140000,156617000,138455000,175867000,192004000
53,Total Current Liabilities,- -,- -,150752000,193762000,199495000,567783000,200951000,219685000,237009000,287748000,283127000,303613000,267138000,295622000,330332000,327110000,288691000,389965000,445197000,519278000
54,Long-Term Debt,523934000,- -,682892000,675638000,668734000,- -,- -,- -,- -,- -,- -,110000000,230000000,330000000,318739000,319634000,320528000,329321000,525397000,2180140000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,117991000,171222000,74453000,- -,2792000,3117000,- -,- -,- -,- -,100913000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1156000,1226000,15492000,- -,- -,- -,- -,- -,- -,18510000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,25076000,23706000,35997000,256098000,168528000,179700000,331322000,410182000,378928000,368165000,409426000,460153000,457691000,403811000,281584000,1939073000,1832287000,106230000
58,Total Non-Current Liabilities,523934000,- -,709124000,700570000,720223000,256098000,286519000,350922000,405775000,410182000,381720000,499792000,639426000,790153000,776430000,723445000,703025000,2268394000,2357684000,2286370000
59,Other Liabilities,1184701000,650567000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,105859000,103700000,101248000,98464000,364369000,84233000,86120000,364571000,422528000,421574000,410171000,23397000,1984258000,1874421000,1773364000
61,Total Liabilities,660767000,650567000,859876000,894332000,919718000,823881000,487470000,570607000,642784000,697930000,664847000,803405000,906564000,1085775000,1106762000,1050555000,991716000,2658359000,2802881000,2805648000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,216868000,226482000,225951000,- -,- -,- -,- -,- -,605106000,674391000,679482000,682219000,686348000,690688000,695315000,8000,14000,14000
64,Retained Earnings,- -,- -,-179015000,-181110000,-150077000,-101308000,-141509000,-231383000,-296954000,-285169000,-252971000,-221348000,-160379000,-132660000,-134678000,-125416000,-246773000,-127185000,-141084000,-82560000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,1272000,-95000,815000,1193000,1134000,1299000,834000,435000,-240000,11000,580000,355000,-172000,-205000,-198000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,539476000,543931000,545321000,547066000,602636000,- -,- -,-928000,- -,- -,- -,- -,698402000,781841000,- -
67,Total Stockholders Equity,- -,- -,37853000,45372000,75874000,439440000,402327000,314753000,251305000,318601000,353434000,453877000,518610000,549319000,551681000,565852000,448897000,571053000,640566000,702853000
68,Total Liabilities And Stockholders Equity,660767000,650567000,897729000,939704000,995592000,1263321000,889797000,885360000,894089000,1016531000,1018281000,1257282000,1425174000,1635094000,1658443000,1616407000,1440613000,3229412000,3443447000,3508501000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1398000,1447000,1495000,1483000,413000,- -
70,Total Liabilities & Equity,660767000,650567000,897729000,939704000,995592000,1263321000,889797000,885360000,894089000,1016531000,1018281000,1257282000,1425174000,1635094000,1659841000,1617854000,1442108000,3230895000,3443860000,3508501000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378453/000104746908003867/a2184309z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746909002130/0001047469-09-002130-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746910001234/0001047469-10-001234-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746911001060/a2202049z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746912002775/0001047469-12-002775-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746913002908/0001047469-13-002908-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746914005419/a2217886z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746915002130/a2223074z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000137845316000040/0001378453-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845317000008/0001378453-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845318000009/0001378453-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845319000009/0001378453-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845320000009/0001378453-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845321000006/0001378453-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1378453/000137845322000006/0001378453-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,14862000,-2095000,31033000,-101308000,-40201000,-89874000,-65571000,23574000,32198000,31623000,60969000,27719000,-2018000,9262000,-120553000,33345000,-13899000,58524000
74,Depreciation and Amortization,- -,- -,58750000,64981000,71856000,33919000,45968000,44060000,43619000,47466000,51534000,58928000,65584000,72383000,92389000,128416000,83179000,100260000,127789000,96507000
75,Deferred Income Tax,- -,- -,5974000,1235000,9248000,-1252000,- -,- -,741000,429000,641000,-29386000,13790000,7367000,4342000,-85432000,403000,5710000,-5418000,16949000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,878000,1445000,1745000,2435000,2470000,4183000,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,13628000,-11145000,30820000,110772000,29825000,-17143000,-25746000,31335000,-86141000,56420000,128613000,-95676000,-127989000,-321000,283577000,-325181000,310915000,-1162000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,46597000,-10092000,-10250000,-48444000,24200000,2138000,8838000,5076000,-14503000,-18507000,27340000,-76636000,78328000,-17060000
79,Inventory,- -,- -,-6321000,-11237000,-2648000,-24304000,18933000,-147000,-10589000,-27048000,-17045000,-2411000,27594000,5140000,-20642000,-4660000,-9102000,154000,23460000,-19011000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13131000,9543000,-12010000,18023000,39896000,8123000,-31932000,26698000,46952000,42925000
81,Other Working Capital,- -,- -,47784000,36639000,67459000,178231000,208056000,190913000,165167000,196502000,110361000,166781000,295394000,199718000,71729000,71408000,354985000,29804000,340719000,- -
82,Other Non-Cash Items,- -,- -,3932000,28006000,-35471000,-156983000,42983000,114220000,73517000,-75098000,82370000,-50255000,-107831000,125095000,144053000,-16251000,-165000000,268333000,-174979000,-16357000
83,Cash Provided by Operating Activities,- -,- -,97146000,80982000,107486000,-114852000,79453000,52708000,28305000,30141000,83072000,71513000,161125000,136888000,110777000,35674000,81606000,82467000,244408000,154461000
84,CAPEX,- -,- -,-122919000,-85403000,-92810000,-138123000,-83249000,-37685000,-59485000,-124851000,-188694000,-164242000,-169825000,-295437000,-329997000,-145401000,-144781000,-83955000,-54386000,-104852000
85,Acquisitions Net,- -,- -,-126117000,-1180000,- -,-44102000,- -,-5134000,- -,37906000,-52070000,-109978000,-29520000,-320290000,-83123000,-25858000,297155000,-311137000,-2928000,-1350000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-6970000,- -,-76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-109103000,-82618000,-90158000,1438000,2739000,175000,17000,147000,68290000,78181000,64927000,378250000,193082000,109374000,55829000,8675000,-52227000,-92564000
89,Cash Used for Investing Activites,- -,- -,-235220000,-83798000,-90158000,-180787000,-87480000,-42644000,-58584000,-86798000,-172474000,-196039000,-134418000,-237477000,-220038000,-61885000,208203000,-386417000,-55155000,-93914000
90,Debt Repayment,- -,- -,-320258000,-655149000,-7009000,- -,- -,- -,- -,-3046000,-2089000,-1644000,-2380000,-46347000,-578000,-761000,-1074000,- -,-7900000,-2664000
91,Common Stock Issued,- -,- -,- -,- -,- -,205301000,- -,- -,- -,53135000,- -,65102000,- -,- -,- -,- -,- -,- -,79980000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-942000,-1842000,-1394000,-1175000,-1744000,-346000,-1750000,-1994000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,489176000,659625000,-2564000,-5964000,4801000,- -,- -,-542000,8411000,111569000,115263000,96684000,937000,2777000,416000,7019000,206311000,-3048000
95,Cash Used/Provided by Financing Activities,- -,- -,168918000,4476000,-9573000,199337000,4801000,- -,- -,49547000,6322000,175027000,111941000,48495000,-1035000,841000,-2402000,6673000,276641000,-7706000
96,Effect of Forex Changes on Cash,- -,- -,-3000,41000,-5000,169000,-134000,52000,43000,-31000,14000,-33000,-30000,-94000,-479000,140000,-198000,96000,51000,10000
97,Net Change In Cash,- -,- -,30841000,1701000,7750000,-96133000,-3360000,10116000,-30236000,-7141000,-83066000,50468000,138618000,-52188000,-110775000,-25230000,278305000,-297181000,465945000,52851000
98,Cash at the End of Period,- -,- -,45846000,47547000,55297000,148876000,145516000,155632000,125396000,118255000,35189000,85657000,224275000,172087000,61312000,36082000,314387000,17206000,483151000,536002000
99,Cash at the Beginning of Period,- -,- -,15005000,45846000,47547000,245009000,148876000,145516000,155632000,125396000,118255000,35189000,85657000,224275000,172087000,61312000,36082000,314387000,17206000,483151000
100,Free Cash Flow,- -,- -,-25773000,-4421000,14676000,-252975000,-3796000,15023000,-31180000,-94710000,-105622000,-92729000,-8700000,-158549000,-219220000,-109727000,-63175000,-1488000,190022000,49609000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378453/000104746908003867/a2184309z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746909002130/0001047469-09-002130-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746910001234/0001047469-10-001234-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746911001060/a2202049z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746912002775/0001047469-12-002775-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746913002908/0001047469-13-002908-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000104746914005419/a2217886z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000104746915002130/a2223074z10-k.htm,https://www.sec.gov/Archives/edgar/data/1378453/000137845316000040/0001378453-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845317000008/0001378453-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845318000009/0001378453-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845319000009/0001378453-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845320000009/0001378453-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1378453/000137845321000006/0001378453-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1378453/000137845322000006/0001378453-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
