,https://roic.ai/company/OGE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,1084800000,1090900000,1064500000,1098200000,1141300000,1230800000,1314800000,1315000000,1447300000,272600000,271000000,279400000,268400000,339600000,338200000,349821000,278015000,235700000,306900000,317500000,330500000,432700000,455300000,462100000,491900000,593900000,646700000,676900000,553500000,536800000,481200000,503300000,510300000,489600000,504300000,522200000,544200000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2012,0.2081,0.2014,0.1823,0.2099,0.1557,0.1060,0.0874,0.0779,0.0812,0.0644,0.0556,0.1080,0.1199,0.1135,0.1714,0.1598,0.1651,0.1844,0.1930,0.2188,0.2190,0.2228,0.2257,0.2157,0.2260,0.2461,0.1489
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-76800000,-76900000,-67900000,-61400000,-65100000,-97000000,-126281000,-124861000,-110100000,-97600000,-84300000,-92600000,-86100000,-94400000,-129500000,-109700000,-132500000,-122400000,-156800000,-29400000,31800000,-112500000,-17000000,59400000,8100000,-40900000,-823300000,334300000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,195800000,194100000,211500000,207000000,274500000,241200000,223540000,153154000,125600000,209300000,233200000,237900000,346600000,360900000,332600000,382200000,461400000,524300000,520100000,524100000,568600000,368700000,486300000,569700000,497700000,463400000,-301100000,878500000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1445,0.1491,0.1524,0.1406,0.1697,0.1110,0.0678,0.0481,0.0415,0.0554,0.0473,0.0400,0.0865,0.0950,0.0817,0.1332,0.1241,0.1339,0.1417,0.1828,0.2318,0.1678,0.2153,0.2520,0.2192,0.2077,-0.1419,0.2404
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,68800000,78200000,74400000,108600000,89900000,76505000,52583000,44600000,73700000,80200000,71800000,120500000,116700000,101200000,121100000,161000000,160700000,135100000,130300000,172800000,97400000,148100000,-49300000,72200000,29800000,-127400000,141200000
23,Net Income,108600000,126300000,114000000,137800000,129400000,139200000,133900000,99700000,114300000,123800000,125300000,133300000,132600000,165900000,151300000,147035000,100571000,90800000,129800000,153500000,211000000,262100000,244200000,231400000,258300000,295300000,342900000,355000000,387600000,395800000,271300000,338200000,619000000,425500000,433600000,-173700000,737300000
24,Net Income ratio,0.1001,0.1158,0.1071,0.1255,0.1134,0.1131,0.1018,0.0758,0.0790,0.0914,0.0962,0.0961,0.0901,0.1025,0.0696,0.0446,0.0316,0.0300,0.0343,0.0312,0.0355,0.0654,0.0643,0.0568,0.0900,0.0794,0.0876,0.0967,0.1352,0.1613,0.1235,0.1497,0.2738,0.1874,0.1943,-0.0818,0.2018
25,EPS,0.57,0.69,0.65,0.80,0.77,0.84,0.82,0.60,0.69,0.76,0.77,0.81,0.81,1.02,0.97,0.94,0.65,0.58,0.80,0.87,1.17,1.44,1.33,1.25,1.34,3.01,1.75,1.80,1.96,1.99,1.36,1.69,3.10,2.13,2.17,-0.87,1.92
26,EPS Diluted,0.57,0.69,0.65,0.80,0.77,0.84,0.82,0.60,0.69,0.76,0.77,0.81,0.81,1.02,0.97,0.94,0.65,0.58,0.79,0.86,1.16,1.42,1.32,1.25,1.33,1.49,1.73,1.79,1.94,1.98,1.36,1.69,3.10,2.12,2.16,-0.87,1.92
27,Weighted Average Shares Outstanding,168173913,172608696,171538462,169125000,165882353,161775148,160487805,160991736,161151079,160927152,160784314,161468000,161492000,161544000,155832000,155728000,155858000,156200000,163600000,176000000,180600000,182000000,183400000,184800000,192400000,194600000,195800000,197200000,198200000,199200000,199600000,199700000,199700000,199700000,200100000,200100000,200200000
28,Weighted Average Shares Outstanding Diluted,168173913,172608696,171538462,169125000,165882353,161775148,160487805,160991736,161151079,160927152,160784314,161468000,161492000,161574000,155832000,155728000,155858000,156400000,164200000,177000000,181600000,184200000,185000000,185600000,194400000,197800000,198400000,198200000,199400000,199900000,199600000,199900000,200000000,200500000,200700000,200100000,200400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163598000010/0001021635-98-000010-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163599000007/0001021635-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163500000006/0001021635-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163501000010/0001021635-01-000010-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000007414502000009/0000074145-02-000009-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163503000012/0001021635-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163504000075/0001021635-04-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163505000037/0001021635-05-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163506000039/0001021635-06-000039-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163508000045/0001021635-08-000045-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163510000011/0001021635-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163511000004/0001021635-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163512000006/0001021635-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163513000018/0001021635-13-000018-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163516000172/0001021635-16-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163517000013/0001021635-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163518000015/0001021635-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163519000015/0001021635-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163520000016/0001021635-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163521000026/0001021635-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163522000037/0001021635-22-000037-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,400000,7300000,454000,32493000,29500000,245600000,26400000,26400000,47900000,8800000,174400000,58100000,2300000,4600000,1800000,6800000,5500000,75200000,300000,14400000,94300000,- -,1100000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,400000,7300000,454000,32493000,29500000,245600000,26400000,26400000,47900000,8800000,174400000,58100000,2300000,4600000,1800000,6800000,5500000,75200000,300000,14400000,94300000,- -,1100000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166200000,176600000,314400000,519898000,257713000,332800000,388200000,533400000,633200000,384000000,380100000,335100000,506300000,339400000,390100000,359900000,282300000,334200000,245500000,254600000,262900000,247200000,229400000,233500000,381800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77800000,87000000,156400000,241833000,115945000,142300000,208400000,196500000,120100000,124300000,145600000,160800000,196900000,242100000,187900000,174200000,155100000,137400000,193900000,161500000,165100000,184300000,136900000,152700000,158500000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,39400000,25600000,102111000,72376000,92300000,166200000,262900000,293900000,107900000,95000000,74300000,64800000,48300000,70100000,258300000,250400000,228700000,55600000,133100000,54600000,31500000,63900000,41200000,73300000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259700000,303400000,503700000,864296000,478527000,596900000,1008400000,1019200000,1073600000,664100000,629500000,744600000,826100000,632100000,652700000,794200000,694600000,705800000,570200000,549500000,497000000,557300000,430200000,428500000,613600000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2353900000,2526500000,3242000000,3219464000,3304066000,3247100000,3344200000,3581000000,3596600000,3867500000,4246300000,5249800000,5911600000,6464400000,7474000000,8397000000,6733800000,7050000000,7393100000,7769800000,8416600000,8717200000,9127300000,9461300000,9952900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39400000,39400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000000,127400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42700000,40200000,69400000,32800000,- -,- -,- -,- -,- -,176400000,166800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,- -,45000000,- -,43700000,44900000,46700000,52200000,1298800000,1318200000,1194400000,1158600000,1160400000,1177500000,1151500000,397400000,785100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152300000,154000000,175600000,235870000,213999000,240500000,191900000,200700000,166900000,370400000,317000000,524100000,466200000,527700000,556200000,512000000,407500000,453800000,439700000,461700000,338700000,296600000,315300000,431600000,1254800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2506200000,2680500000,3417600000,3455334000,3518065000,3530300000,3576300000,3851100000,3825300000,4237900000,4608300000,5773900000,6440600000,7037000000,8253300000,9128000000,8440100000,8822000000,9027200000,9390100000,9915700000,10191300000,10594100000,10290300000,11992800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2765900000,2983900000,3921300000,4319630000,3996592000,4127200000,4584700000,4870300000,4898900000,4902000000,5237800000,6518500000,7266700000,7669100000,8906000000,9922200000,9134700000,9527800000,9597400000,9939600000,10412700000,10748600000,11024300000,10718800000,12606400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77700000,96900000,161200000,330445000,153223000,254100000,280200000,476200000,510400000,295000000,399300000,279700000,297000000,321700000,388000000,396700000,251000000,179100000,262500000,205400000,230400000,239300000,194900000,251500000,274000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,121100000,589100000,284500000,230000000,275000000,202500000,161300000,30000000,3000000,296800000,298000000,464200000,145000000,277100000,430900000,539600000,98000000,110000000,460900000,418200000,250000000,112000000,95000000,486900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39900000,39700000,- -,- -,- -,- -,- -,55700000,52900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67600000,70300000,70900000,73700000,77000000,77700000,80700000,83600000,83000000,81100000,81100000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131500000,152700000,326600000,194987000,216515000,207700000,345000000,337900000,410200000,375000000,292400000,310700000,514500000,347800000,265800000,378500000,232300000,222500000,303300000,283200000,221200000,296500000,268000000,269800000,247600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235200000,370700000,1076900000,809932000,599738000,736800000,827700000,975400000,950600000,673000000,988500000,888400000,1275700000,814500000,998500000,1276400000,1093800000,573300000,752800000,1027200000,950500000,869400000,657900000,697400000,1089600000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,841900000,935600000,1140500000,1648523000,1526303000,1501900000,1436100000,1424100000,1350800000,1346300000,1344600000,2161800000,2088900000,2362900000,2737100000,2848600000,2300100000,2755300000,2645600000,2405800000,2749600000,2896900000,3195200000,3494400000,4496400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36700000,40800000,37700000,400000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576900000,599600000,628700000,675789000,687225000,674100000,789300000,838800000,838800000,886000000,875600000,1014200000,1259700000,1444200000,1657500000,1952700000,2127200000,2268300000,2178200000,2334500000,1227800000,1310900000,1382900000,1279500000,1346100000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78200000,34800000,55800000,120688000,142472000,230000000,329600000,347100000,382400000,- -,347800000,- -,581600000,610800000,652800000,734400000,576100000,686500000,694800000,728300000,1633700000,1666300000,1648800000,1615700000,1618000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1497000000,1570000000,1825000000,2445000000,2356000000,2406000000,2555000000,2610000000,2572000000,2232300000,2568000000,3176000000,3930200000,4454600000,5088200000,5573400000,5003800000,5710100000,5518600000,5468600000,5611100000,5874100000,6226900000,6389600000,7460500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4890390000,4712285000,4812500000,5110400000,- -,5144500000,4857500000,5136400000,6909300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1731600000,1940500000,2901900000,3255322000,2956023000,3143300000,3383100000,3584700000,3523100000,3298200000,3556900000,4621700000,5205900000,5269100000,6086700000,6849800000,6097600000,6283400000,6271400000,6495800000,6561600000,6743500000,6884800000,7087000000,8550100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,800000,800000,779000,444689000,800000,636100000,700800000,715500000,741000000,756200000,802900000,887700000,969200000,1035300000,1047400000,1073600000,1087600000,1101300000,1105800000,1114800000,1127700000,1131300000,1124600000,1125800000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472100000,529800000,577500000,621010000,617924000,604700000,623900000,659800000,750500000,890800000,1005700000,1107600000,1227800000,1380600000,1574800000,1772400000,1991700000,2198200000,2259800000,2367300000,2759500000,2906300000,3036100000,2544600000,2955400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1797800000,-1914700000,-202400000,-2151093000,-2291304000,-2340700000,-2358500000,-2492900000,-90000000,-28000000,-81000000,-13700000,-75000000,-60000000,-41000000,-49000000,-28200000,-41400000,-35000000,-29000000,-23000000,-29000000,-28000000,-32100000,-24800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2359600000,2427500000,643500000,2593612000,2269260000,2719100000,2300100000,2417900000,-200000,- -,- -,- -,300000,-200000,-5800000,-3600000,- -,- -,-100000,-300000,-200000,100000,100000,-5300000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1034300000,1043400000,1019400000,1064308000,1040569000,983900000,1201600000,1285600000,1375800000,1603800000,1680900000,1896800000,2040800000,2289600000,2563300000,2767200000,3037100000,3244400000,3326000000,3443800000,3851100000,4005100000,4139500000,3631800000,4056300000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2765900000,2983900000,3921300000,4319630000,3996592000,4127200000,4584700000,4870300000,4898900000,4902000000,5237800000,6518500000,7246700000,7558700000,8650000000,9617000000,9134700000,9527800000,9597400000,9939600000,10412700000,10748600000,11024300000,10718800000,12606400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,110400000,256000000,305200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2765900000,2983900000,3921300000,4319630000,3996592000,4127200000,4584700000,4870300000,4898900000,4902000000,5237800000,6518500000,7266700000,7669100000,8906000000,9922200000,9134700000,9527800000,9597400000,9939600000,10412700000,10748600000,11024300000,10718800000,12606400000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1021635/000102163598000010/0001021635-98-000010-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163599000007/0001021635-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163500000006/0001021635-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163501000010/0001021635-01-000010-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000007414502000009/0000074145-02-000009-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163503000012/0001021635-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163504000075/0001021635-04-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163505000037/0001021635-05-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163506000039/0001021635-06-000039-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163508000045/0001021635-08-000045-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163510000011/0001021635-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163511000004/0001021635-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163512000006/0001021635-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163513000018/0001021635-13-000018-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163516000172/0001021635-16-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163517000013/0001021635-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163518000015/0001021635-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163519000015/0001021635-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163520000016/0001021635-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163521000026/0001021635-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163522000037/0001021635-22-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,123800000,125300000,133300000,132600000,165900000,151300000,147035000,100571000,90800000,129800000,153500000,211000000,262100000,244200000,231400000,258300000,295300000,342900000,355000000,387600000,395800000,271300000,338200000,619000000,425500000,433600000,-173700000,737300000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262600000,292400000,307100000,374800000,298600000,281400000,307900000,322600000,283500000,321600000,355000000,391300000,416000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,21900000,-9100000,-3000000,17100000,23900000,31100000,46999000,27779000,33100000,116300000,53100000,21900000,32300000,16100000,123400000,269800000,146400000,166000000,143700000,125900000,177300000,102600000,153800000,-50000000,78500000,27600000,-134500000,125900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,7400000,7800000,-2600000,-3500000,-2700000,5900000,4600000,9100000,13400000,13900000,9800000,9800000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90900000,2400000,-4000000,25700000,-91800000,-505900000,627564000,-175575000,-18689000,320600000,-136900000,79200000,-131900000,-350100000,215200000,-305800000,267200000,-163400000,-136400000,83000000,531700000,-315100000,-295100000,24200000,141400000,84400000,-41200000,-190800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,11900000,-48000000,27100000,-34000000,-2600000,19600000,-700000,-21800000,19800000,18800000,3100000,-1900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-6500000,-4200000,9800000,-9200000,-25000000,-85454000,125888000,-26500000,-54800000,52500000,22100000,-4400000,-21300000,-15200000,-36100000,-45200000,54200000,13700000,5100000,20400000,-56500000,32400000,-3600000,27300000,4200000,-8900000,-3400000
