,https://roic.ai/company/HNP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,655564704,660552640,1111122320,2584672580,3229750859,2663499991,4520808493,4869282549,6368504967,7324217385,10703612169,11663141815,12382256702,16177076000,12460126000,14802853000,19157993000,24565100000,26960670000,26443546000,32240931000,31271152000,42308101000,44531699000,54092055000,47193142000,49472551000
11,COGS and Expenses,- -,- -,3254499744,3427239200,5320470960,5902855700,7508110945,8635183556,10779243925,12897679100,16315082987,23200103124,33081085515,35543882278,41708507667,68713379000,62996238000,90553637000,118317449000,117009719000,109721836000,100132213000,99761947000,95436496000,143276054000,159436359000,161631670000,147774102000,212304937000
12,Interest Income ,- -,- -,- -,- -,- -,143224970,- -,- -,113103407,83020864,53046385,43096049,53704922,51837780,53531626,83522000,60397000,89026000,166183000,175402000,170723000,159550000,160723000,147063000,198906000,234604000,264554000,292724000,288291000
13,Interest Expense (Gain),- -,- -,394005216,285464960,- -,600220250,- -,943707175,867691789,561924348,597326470,782872924,1427192963,1588748423,2132265191,4064779000,4260400000,5282549000,7736186000,8897097000,7787472000,7814114000,7945734000,6817526000,9749004000,10486412000,10762718000,9200612000,8798200000
14,Depreciation and Amortization,- -,- -,655564704,660552640,1111122320,1533252280,2398788910,2679133644,3049379773,3328756695,3956069938,4569530522,6266408495,6827943255,7349312259,7908735000,8663736000,10559727000,11995170000,11167888000,11433131000,11779752000,14624838000,15041327000,20521955000,20810491000,21864903000,22146316000,22270421000
15,EBITDA,- -,- -,2423173728,2506116800,3154527600,4343110940,4651502820,6546085983,8083718960,8793001410,11133242544,11690544159,13612114764,15605214725,16481443903,7181958000,18447467000,20032936000,21780795000,28087809000,34169298000,35838391000,41921448000,33844431000,33068321000,32674511000,35405221000,35887952000,18502672000
16,EBITDA ratio,- -,- -,0.5272,0.5181,0.4681,0.5373,0.4435,0.5221,0.5118,0.4759,0.4760,0.3882,0.3395,0.3539,0.3321,0.1065,0.2400,0.1920,0.1638,0.2097,0.2553,0.2858,0.3252,0.2974,0.2169,0.1927,0.2035,0.2118,0.0904
17,Operating Income,- -,- -,1341950112,1409898160,1419123440,2179834370,2979959795,3901840767,5014943645,5578531887,7073165930,6918190684,7011834750,8546137975,7922834090,-1255949000,9173703000,8628991000,8747602000,16956940000,24111039000,25274642000,29142926000,18377740000,9183390000,10114265000,12377731000,11918215000,-7367486000
18,Operating Income ratio,- -,- -,0.2920,0.2915,0.2106,0.2697,0.2841,0.3112,0.3175,0.3019,0.3024,0.2297,0.1749,0.1938,0.1596,-0.0186,0.1194,0.0827,0.0658,0.1266,0.1802,0.2015,0.2261,0.1615,0.0602,0.0597,0.0711,0.0703,-0.0360
19,Total Other Income Expenses (Gains),- -,- -,31653696,150201040,624281840,29804040,-727245884,-978595603,-848296248,-676211521,-493319793,-322996857,-416931687,-540865790,-603048964,-3535607000,-3469727000,-4464901000,-6697235000,-8080155000,-6688350000,-6225062000,-6184876000,-4564602000,-6381657000,-8141118000,-9258271000,-7144479000,-7753158000
20,Income Before Tax,- -,- -,1373603808,1560099200,2043405280,2209638410,2252713910,2923245164,4166647397,4902320366,6579846137,6595193827,6594903063,8005272185,7319785126,-4791556000,5703976000,4164090000,2050367000,8876785000,17422689000,19049580000,22958050000,13813138000,2801733000,1973147000,3119460000,4773736000,-15120644000
21,Income Before Tax Ratio,- -,- -,0.2988,0.3225,0.3032,0.2734,0.2148,0.2332,0.2638,0.2653,0.2813,0.2190,0.1645,0.1816,0.1475,-0.0710,0.0742,0.0399,0.0154,0.0663,0.1302,0.1519,0.1781,0.1214,0.0184,0.0116,0.0179,0.0282,-0.0739
22,Income Tax expense (Gain),- -,- -,169097376,229035840,381689560,370894720,384549928,410666560,715350283,980944202,1149437684,1014263772,1044727047,1126075963,838330981,-239723000,593787000,842675000,868927000,2510370000,4522671000,5487208000,5698943000,3465151000,1217526000,643173000,2011255000,2163173000,-1929755000
23,Net Income,- -,- -,1204506432,1331063360,1661715720,1838743690,1868163982,2512578604,3451297114,3921376164,5430408453,5323876941,4873786260,6062447085,6161535472,-4551833000,4929544000,3347985000,1180512000,5512454000,10426024000,10757317000,13651933000,8520427000,1579836000,734435000,766345000,2377851000,-10636194000
24,Net Income ratio,- -,- -,0.2621,0.2752,0.2466,0.2275,0.1781,0.2004,0.2185,0.2122,0.2322,0.1768,0.1216,0.1375,0.1241,-0.0675,0.0641,0.0321,0.0089,0.0411,0.0779,0.0858,0.1059,0.0749,0.0104,0.0043,0.0044,0.0140,-0.0520
25,EPS,- -,- -,4.83,5.31,6.67,6.62,6.58,0.21,11.59,10.00,13.85,13.54,12.31,19.98,20.40,-13.20,16.40,11.20,3.20,15.60,29.60,30.40,37.60,22.40,4.00,1.20,0.40,1.60,-27.10
26,EPS Diluted,- -,- -,4.83,5.31,6.42,6.58,6.58,0.21,11.59,10.00,13.85,13.54,12.31,19.98,20.40,-13.20,16.40,11.20,3.20,15.60,29.60,30.40,37.60,22.40,4.00,1.20,0.40,1.60,-27.10
27,Weighted Average Shares Outstanding,- -,- -,249310345,250625000,249316770,277625000,282500000,282500000,300000000,392085801,392127434,393159340,395833804,301375000,301994658,301375000,301384575,302685950,351384575,351384575,351384575,352145000,362134575,380009575,380009575,382083375,392452325,392452325,392452325
28,Weighted Average Shares Outstanding Diluted,- -,- -,249310345,250625000,258967742,279371069,298254000,298254000,300000000,392085801,392127434,393159340,395833804,301375000,301994658,301375000,301384575,302685950,351384575,351384575,351384575,352145000,362134575,380009575,380009575,382083375,392452325,392452325,392452325
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929058/000134100408000704/0001341004-08-000704-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000134100409000858/0001341004-09-000858-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/929058/000134100412000592/0001341004-12-000592-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000138713113001365/0001387131-13-001365-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000114420414022627/0001144204-14-022627-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000134100415000312/0001341004-15-000312-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000134100416001293/0001341004-16-001293-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000134100417000229/0001341004-17-000229-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000114420418020280/0001144204-18-020280-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000114420419019848/0001144204-19-019848-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000110465920048558/0001104659-20-048558-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2186604000,1767559200,1479564520,2185629600,3743712012,1985804678,2173525797,3002881798,4128652809,2295530995,2648745807,3202589200,7312743029,5765873000,5452050000,9547908000,8670015000,10505387000,9307184000,12238367000,7478250000,7810501000,9282390000,15402578000,12443258000,13257892000,16350332000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,59922115,1100985,1141613457,145000075,12640735,2656182,100034128,- -,- -,- -,- -,96154000,93753000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,2186604000,1767559200,1479564520,2185629600,3743712012,2045726793,2174626782,4144495255,4273652885,2308171730,2651401988,3302623328,7312743029,5765873000,5452050000,9547908000,8766169000,10599140000,9307184000,12238367000,7478250000,7810501000,9282390000,15402578000,12443258000,13257892000,16350332000
34,Net Receivables,- -,- -,1912549632,2959209440,3125549000,1169808570,1431942278,7145398076,1646907460,2604987605,3063445302,5696426803,6291985343,7148490683,8699020755,8894220000,12850644000,16685174000,19978093000,16952141000,16696898000,16968973000,19177323000,20223169000,30198651000,33804164000,36760766000,43726835000,58643903000
35,Inventory,- -,- -,383176320,569270240,618486120,517431250,543414562,563009940,719125088,923428102,800281873,1431408029,2312298841,2118448193,2319443256,5169847000,4083986000,5190435000,7525621000,7022384000,6469026000,6702274000,5422732000,6879143000,7385411000,9543691000,8883183000,6602459000,16824431000
36,Other Current Assets,- -,- -,3323638080,4524287680,2736407800,1837087910,146969032,294542660,6225182385,13261484,165819623,217649120,812420158,637796513,221073636,188237000,1803085000,132632000,147455000,1512596000,1713803000,1955670000,1487098000,2053803000,1671258000,3048636000,2694194000,2550445000,652458000
37,Total Current Assets,- -,- -,7805968032,9820326560,7960007440,5709957330,5866037884,10048677469,10765841714,7686172446,8303199682,9653655682,12068106330,13207358715,18552280676,20018177000,24189765000,31556149000,36417338000,36086261000,34186911000,37865284000,33565403000,36966616000,48537710000,61799069000,60781401000,66137631000,92471124000
38,PP&E,- -,- -,14265820992,15708871200,27400508240,32315858260,34603053203,32177952643,37563849242,41107339332,42658383110,57780443953,79029602301,90314504763,90131844869,116737198000,140777336000,155224597000,177174662000,183233465000,187829121000,195255556000,229633107000,233164427000,297239149000,295022492000,291815007000,307228150000,341805038000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1432070281,- -,672070434,670834520,555302961,11108096000,11610998000,12640904000,13890179000,14417543000,12758031000,11725555000,11677182000,12135729000,15484120000,15572227000,15934955000,14738016000,14276224000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1851839608,1037856500,439081354,1680450584,2010593173,2269359627,6707265000,8144914000,8164014000,10168285000,4500030000,4303280000,4173068000,4130351000,4260507000,4614130000,4713513000,17487539000,17445021000,4416395000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1851839608,-394213781,439081354,2352521018,2681427693,2824662589,17815361000,19755912000,20804918000,24058464000,18917573000,17061311000,15898623000,15807533000,16396236000,20098250000,20285740000,33422494000,32183037000,18692619000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10282251000,12124548000,14197030000,15889179000,17649593000,19789858000,21960287000,24823055000,23038145000,21122616000,21637383000,21562477000,23040323000,23766974000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21307958,97541441,64103590,98287488,211664693,316699000,374733000,672475000,526399000,532387000,652358000,884274000,1064391000,1263957000,2300091000,2282585000,2160187000,2699395000,4907081000
44,Other Non-Current Assets,- -,- -,93295104,88792880,128333800,116732490,113318637,185421247,-1028460381,1523928303,3021028061,4809182964,5966025854,7136116050,12583840384,748072000,664885000,5483044000,3349832000,2681093000,2713201000,3307744000,3972865000,4010358000,7291695000,18876042000,18508497000,18616122000,19128387000
45,Total Non-Current Assets,- -,- -,14359116096,15797664080,27528842040,32432590750,34716371840,32363373890,36535388861,40779428028,45306505347,63126249713,87412252763,100230335993,105752012535,145899581000,173697414000,196382064000,220998536000,223014111000,228045849000,237306484000,275300951000,277873123000,348051801000,358104242000,367468662000,383767027000,408300099000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,22165084128,25617990640,35488849480,38142548080,40582409724,42412051359,47301230575,48465600473,53609705029,72779905395,99480359093,113437694708,124304293212,165917758000,197887179000,227938213000,257415874000,259100372000,262232760000,275171768000,308866354000,314839739000,396589511000,419903311000,428250063000,449904658000,500771223000
48,Accounts Payable,- -,- -,523951968,619060640,1641844680,1943057830,3159577574,2714443709,521287254,471602218,3342518294,4551161307,1970733277,2033533418,8849958318,10867480000,4386461000,19555321000,25767999000,7354260000,12277872000,11685285000,9403088000,12059004000,15496475000,14683707000,15850958000,15777784000,25774238000
49,Short-Term Debt,- -,- -,2044995360,2300316480,1960609280,1150767100,1906085867,3004943611,5627074548,2963925154,4642436189,9642240113,14691105745,16209965433,20955973420,40386844000,44081524000,62899981000,69377605000,71948542000,71559676000,74516563000,93582367000,98404243000,113886181000,97520602000,98035570000,105477572000,125309102000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420464000,529931000,744223000,1018541000,1275430000,1647925000,1858024000,2071471000,1089105000,1302210000,1474437000,2101617000,2044869000,2053418000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,939553802,- -,- -,- -,- -,- -,- -,932625000,- -,- -,990355000,705938000,649431000,472886000,365887000,1504926000,1976647000,2706529000,2903296000,3274770000
52,Other Current Liabilities,- -,- -,468141504,656403440,4248262760,1008370020,1679920443,1342071844,2775565721,3277863060,1257459263,2539562579,6454755177,8222978385,1572688758,1231876000,10180998000,1181578000,1452016000,13301163000,14435359000,17994842000,20378292000,19367117000,25062906000,24025258000,25027353000,29889439000,32040191000
53,Total Current Liabilities,- -,- -,3037088832,3575780560,7850716720,4102194950,6745583884,7061459164,8923927524,7652944233,9242413746,16732963999,23116594198,26466477235,31378620496,52486200000,59581608000,83636880000,96597620000,93594320000,98978845000,104846121000,123836633000,130196251000,155950488000,138206214000,141620410000,154048091000,186398301000
54,Long-Term Debt,- -,- -,7099590816,8700042560,12635497560,14027768160,12306110947,11221689251,9577481940,9341689109,9153605753,15955298032,28874057327,35048273178,39326847044,68861869000,85066870000,79016053000,97699791000,95545398000,84356207000,81618453000,78192611000,77693533000,124153912000,156648950000,148131638000,136265435000,172393481000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1021650000,1203607000,1022625000,1257877000,1296622000,3250650000,3863854000,3957238000,4091487000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,121861616,103112636,546713860,1158248531,1077349385,1092613511,1371572000,1839362000,1966387000,1993155000,2011729000,2032417000,1810755000,2494143000,2262752000,4566680000,3866159000,3137791000,3002527000,2300088000
57,Other Non-Current Liabilities,- -,- -,832992,829840,- -,166405890,266976358,379903565,14875710,19395541,- -,12996695,168405137,309490573,423146759,638164000,751219000,893421000,1567555000,966933000,468710000,1091108000,1391401000,1203844000,1053177000,1196464000,1023940000,880920000,6121340000
58,Total Non-Current Liabilities,- -,- -,7100423808,8700872400,12635497560,14194174050,12573087305,11601592816,9592357649,9482946266,9256718390,16515008588,30200710994,36435113135,40842607314,70871605000,87657451000,81875861000,101260501000,99545710000,88060941000,85542941000,83336032000,82456751000,133024419000,165575427000,156250607000,144240369000,180814909000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33030017176,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95886000,115986000,1584020000,1422572000,1088846000,1600106000,1442174000,4712670000,5482346000,6939367000
61,Total Liabilities,- -,- -,10137512640,12276652960,20486214280,18296369000,19318671189,18663051980,18516285173,17135890499,18499132136,33247972587,53317305192,62901590370,72221227810,123357805000,147239059000,165512741000,197858121000,193140030000,187039786000,190389062000,207172665000,212653002000,288974907000,303781641000,297871017000,298288460000,367213210000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,5650349250,5649955162,5642698918,6001078203,6000838139,6027676975,12055387064,12060315403,12038092400,12056172541,12055383000,12055383000,14055383000,14055383000,14055383000,14055383000,14420383000,15200383000,15200383000,15200383000,15698093000,15698093000,15698093000,15698093000
64,Retained Earnings,- -,- -,1333620192,2410685200,3759766360,5270347740,5825715356,7868671565,8987883970,10393849633,12818880838,11171984286,13463094101,15936967160,18114867096,10569653000,14293564000,21209599000,19582024000,17306157000,24780003000,30085379000,37313885000,38690132000,35793257000,34665305000,33677466000,32164398000,16567610000
65,Other Comprehensive Income/Loss,- -,- -,-984596544,-980870880,-2739719640,-4271912400,-6656279957,-9305281129,-12457632924,3418391746,4328677748,4065970657,5538655132,6444041140,7771056443,-534433000,-362067000,93405000,-570973000,7049517000,6268211000,6001530000,6812191000,7352149000,7464976000,7799693000,8085218000,7401103000,6696632000
66,Other Total Stockholders Equity,- -,- -,11678547840,11911523360,13982588480,13197394490,16444347973,19542910025,26253616153,10605842984,10780138056,8972198374,8991779890,8976076530,8989565702,14738717000,16137303000,18430746000,17816495000,17719077000,17347068000,19622199000,24815489000,24760331000,29182950000,36272327000,51342958000,74582329000,74085479000
67,Total Stockholders Equity,- -,- -,12027571488,13341337680,15002635200,19846179080,21263738534,23748999379,28784945402,30418922501,33955373617,36265540381,40053844525,43395177230,46931661782,36829320000,42124183000,53789133000,50882929000,56130134000,62450665000,70129491000,84141948000,86002995000,87641566000,94435418000,108803735000,129845923000,113047814000
68,Total Liabilities And Stockholders Equity,- -,- -,22165084128,25617990640,35488849480,38142548080,40582409724,42412051359,47301230575,47554812999,52454505753,69513512968,93371149717,106296767600,119152889592,160187125000,189363242000,219301874000,248741050000,249270164000,249490451000,260518553000,291314613000,298655997000,376616473000,398217059000,406674752000,428134383000,480261024000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-0,- -,- -,910787474,1155199276,3266392427,6109209377,7140927108,5151403619,5730633000,8523937000,8636339000,8674824000,9830208000,12742309000,14653215000,17551741000,16183742000,19973038000,21686252000,21575311000,21770275000,20510199000
70,Total Liabilities & Equity,- -,- -,22165084128,25617990640,35488849480,38142548080,40582409724,42412051359,47301230575,48465600473,53609705029,72779905395,99480359093,113437694708,124304293212,165917758000,197887179000,227938213000,257415874000,259100372000,262232760000,275171768000,308866354000,314839739000,396589511000,419903311000,428250063000,449904658000,500771223000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929058/000134100408000704/0001341004-08-000704-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000134100409000858/0001341004-09-000858-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/929058/000134100412000592/0001341004-12-000592-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000138713113001365/0001387131-13-001365-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000114420414022627/0001144204-14-022627-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000134100415000312/0001341004-15-000312-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000134100416001293/0001341004-16-001293-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000134100417000229/0001341004-17-000229-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000114420418020280/0001144204-18-020280-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000114420419019848/0001144204-19-019848-index.htm,https://www.sec.gov/Archives/edgar/data/929058/000110465920048558/0001104659-20-048558-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,1204506432,1331063360,1661715720,1838743690,1868163982,2512578604,3451297114,3921376164,5430408453,5323876941,4873786260,6062447085,6161535472,-4551833000,4929544000,3347985000,1180512000,5512454000,10426024000,10757317000,13651933000,8520427000,1579836000,734435000,766345000,2377851000,- -
74,Depreciation and Amortization,- -,- -,655564704,660552640,1111122320,1533252280,2398788910,2679133644,3049379773,3328756695,3956069938,4569530522,6266408495,6827943255,7349312259,7908735000,8663736000,10559727000,11995170000,11167888000,11433131000,11779752000,14624838000,15041327000,20521955000,20810491000,21864903000,22146316000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-4139137248,-2152604960,2567503960,2583844690,476709793,-973296200,-2217176113,-222812801,-67086128,-1219942687,-1779439768,-99254378,-1799007441,-1294116000,-3043647000,-39532000,533905000,-175854000,6777910000,-226180000,1013467000,1050309000,-718218000,-2391540000,-932474000,1719398000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,566249000,-2361918000,-650910000,-4194500000,303586000,-846214000,466878000,-175429000,-838272000,-6201149000,-3273058000,-3442544000,-6885418000,- -
79,Inventory,- -,- -,-11661888,-186714000,140753200,101830470,18716739,-30887006,-62077322,-39279490,159420613,-414271739,-831958028,187787193,-190341164,-2159007000,1328674000,-1031869000,-1807503000,479071000,517837000,-195853000,2106821000,-1270582000,714045000,-1996075000,638055000,2244127000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,542386000,955293000,4155406000,-3222999000,4598219000,-1417668000,-2932761000,1811681000,2414376000,349703000,-520570000,2343598000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91222477,182742210,220701077,- -,22922000,31004000,53174000,43259000,99393000,-243624000,499899000,-11566000,9670000,123944000,589085000,139777000,- -
82,Other Non-Cash Items,- -,- -,832992,829840,- -,7451010,263673404,1417652415,1636460523,53062493,213899118,-510761855,-619108274,-1227240728,-2152529483,3123107000,4431357000,4198544000,7239568000,10423594000,11602364000,11009178000,13072470000,6898761000,7813790000,9574592000,15625419000,15743473000,- -
83,Cash Provided by Operating Activities,- -,- -,-2278233120,-160159120,5340342000,5963291670,5007336089,5636068463,5919961297,7080382551,9533291381,8162702920,8741646713,11563895235,9559310807,5185893000,14980990000,18066724000,20949155000,26928082000,40239429000,33320067000,42362708000,31510824000,29197363000,28727978000,37324193000,41987038000,- -
84,CAPEX,- -,- -,-2444831520,-2124390400,-6846401240,-6457542000,-2274327977,-351513313,-2871367941,-1594358208,-3606707174,-9877554805,-13847949773,-15975627165,-14593431367,-27969570000,-22620671000,-20731717000,-16788659000,-15555996000,-17697329000,-20358316000,-24327330000,-20234333000,-26011937000,-20707998000,-31382657000,-42558250000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-5770529456,2614598456,-2776732931,-2959620744,-4575002379,-1942879702,- -,-548056322,-20430209000,-2484377000,-6704083000,-5067538000,-1096622000,-1975055000,218941000,-9777662000,-118697000,-10588586000,-1138104000,-414243000,-792675000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-60972075,-4666121910,-255014532,- -,- -,- -,- -,-449488877,-213860000,- -,-12113000,-310000000,-500000000,-200000000,- -,- -,- -,-5600000,-450000,-7450000,-61713000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,586485412,954380389,384640987,5085439774,1066631349,132897420,9994993,2651150,603443438,- -,- -,- -,- -,- -,102784000,- -,- -,1474301000,2186758000,- -,1250000000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,886670190,-947095133,-82020875,-27085878,614870948,274611070,669371209,361159949,80259668,-1270930513,580524000,57352000,464496000,432996000,1761632000,709403000,168462000,953935000,1139653000,2456612000,1375986000,1520365000,1175506000,- -
89,Cash Used for Investing Activites,- -,- -,-2444831520,-2124390400,-6846401240,-5570871810,-2634937698,-5310655331,-4565336286,1074205051,-5225085499,-13650288555,-15419674532,-15892716348,-16258463641,-47957065000,-24880261000,-26980538000,-21664831000,-15309604000,-19054250000,-19470813000,-33015012000,-17649646000,-31748825000,-20375882000,-29033985000,-42237132000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54738208000,-71568853000,-71293460000,-89894385000,-108316273000,-88758368000,-94119153000,-98400674000,-135106910000,-164764055000,-176752357000,-167905380000,-200045616000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,1122618840,- -,- -,2770549205,- -,- -,- -,- -,- -,- -,- -,- -,10280169000,- -,- -,- -,2453986000,4684314000,- -,- -,3245330000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-451999724,-507841580,-1266546240,-1939131962,-2197625315,-3172708603,-3023331986,-3009523100,-3809964474,-3871996000,-1495604000,-2528050000,-2807084000,-702867000,-2951631000,-5341046000,-5535655000,-7206220000,-4352973000,-1520038000,-1569809000,-2119243000,- -
94,Other Financing Activites,- -,- -,1075392672,1869629520,1217929160,-809676420,-1612619652,-321750673,-2673828118,-5385917522,-984536936,6827180702,10110880019,7982737410,14821517880,99865495000,82568343000,76604664000,93371117000,99202240000,69469911000,86112033000,85111356000,128711280000,173130208000,172783995000,158147006000,203968675000,- -
