,https://roic.ai/company/KELYA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0730,0.0701,0.0792,0.0782,0.0820,0.0768,0.0419,0.0354,0.0363,- -,0.0421,0.0372,0.0356,- -,0.0351,0.0324,0.0069,0.0075,0.0019,- -,0.0061,0.0143,0.0147,-0.0134,- -,-0.0344,0.0066,0.0126,0.0090,0.0034,- -,0.0115,0.0152,-0.0017,0.0217,-0.0236,- -
22,Income Tax expense (Gain),31400000,36100000,41500000,39000000,42100000,41800000,21600000,21800000,26300000,- -,43800000,49900000,56200000,- -,58900000,58100000,11000000,12100000,3400000,- -,10800000,22700000,29600000,8000000,- -,-43200000,6600000,19100000,-10100000,-7100000,- -,8700000,12800000,-27100000,400000,-34000000,- -
23,Net Income,32600000,36400000,50500000,60300000,70800000,71200000,38600000,39200000,44600000,- -,69500000,73000000,80800000,- -,84700000,87200000,16500000,18500000,4900000,- -,21200000,63500000,61000000,-82200000,- -,-104500000,26100000,50100000,58900000,23700000,- -,53800000,71600000,22900000,112400000,-72000000,- -
24,Net Income ratio,0.0372,0.0352,0.0435,0.0475,0.0514,0.0484,0.0268,0.0228,0.0228,- -,0.0258,0.0221,0.0210,- -,0.0207,0.0194,0.0041,0.0046,0.0011,- -,0.0043,0.0114,0.0108,-0.0149,- -,-0.0242,0.0053,0.0092,0.0109,0.0043,- -,0.0097,0.0133,0.0042,0.0210,-0.0159,- -
25,EPS,0.37,0.41,0.86,1.03,1.51,1.52,0.82,0.83,1.18,- -,1.83,1.92,2.12,- -,2.24,2.44,0.46,0.52,0.14,- -,0.63,1.76,1.68,-2.37,- -,-3.00,0.71,1.32,1.54,0.61,- -,1.39,1.84,0.59,2.85,-1.83,- -
26,EPS Diluted,0.37,0.41,0.86,1.03,1.51,1.52,0.82,0.83,1.18,- -,1.83,1.92,2.12,- -,2.23,2.43,0.46,0.52,0.14,- -,0.62,1.75,1.67,-2.37,- -,-3.00,0.71,1.32,1.54,0.61,- -,1.39,1.81,0.58,2.84,-1.83,- -
27,Weighted Average Shares Outstanding,37825000,37525000,37501000,37520000,46825397,46842105,47303922,47115385,37796610,- -,37993000,38043000,38099000,- -,37745000,35721000,35829000,35724000,35289000,- -,35115000,35999000,36357000,34760000,- -,34833333,36100000,37000000,37300000,37500000,- -,37800000,38300000,38800000,39100000,39300000,- -
28,Weighted Average Shares Outstanding Diluted,37825000,37525000,37501000,37520000,46825397,46842105,47303922,47115385,37796610,- -,37993000,38088235,38099000,- -,37945000,35843000,35930000,35900000,35355000,- -,35461000,36314000,36495000,34760000,- -,34833333,36100000,37000000,37300000,37500000,- -,37900000,39000000,39100000,39200000,39300000,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/55135/000005513596000003/0000055135-96-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/55135/0000055135-98-000005-index.html,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55135/000119312504025561/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55135/000119312505033771/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312507031656/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312508028653/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312509024852/0001193125-09-024852-index.html,undefined,https://www.sec.gov/Archives/edgar/data/55135/000095012310014089/0000950123-10-014089-index.html,https://www.sec.gov/Archives/edgar/data/55135/000095012311015111/c12448e10vk.htm,https://www.sec.gov/Archives/edgar/data/55135/000143774913001540/0001437749-13-001540-index.html,https://www.sec.gov/Archives/edgar/data/55135/000143774914002057/kelya20131119_10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000005513515000009/kelya-20141228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55135/000005513516000093/0000055135-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513518000006/0000055135-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513519000006/0000055135-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513520000006/0000055135-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513521000004/0000055135-21-000004-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,48100000,65700000,101300000,147200000,67400000,96600000,41300000,29700000,36000000,- -,52800000,33400000,76700000,- -,59800000,43300000,83500000,100900000,76400000,- -,79300000,118400000,92800000,118300000,- -,88900000,80500000,76300000,125700000,83100000,- -,42200000,32500000,35300000,25800000,223000000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74700000,28000000,67300000,- -,12100000,2400000,600000,600000,1200000,- -,6300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,48100000,65700000,101300000,147200000,67400000,96600000,41300000,29700000,36000000,- -,127500000,61400000,144000000,- -,71900000,45700000,84100000,101500000,77600000,- -,85600000,118400000,92800000,118300000,- -,88900000,80500000,76300000,125700000,83100000,- -,42200000,32500000,35300000,25800000,223000000,- -
34,Net Receivables,99100000,113000000,123100000,135500000,154400000,163500000,357000000,363600000,248200000,- -,397500000,554000000,572100000,- -,584700000,631800000,539700000,567500000,658100000,- -,727400000,838200000,888300000,815800000,- -,717900000,810900000,1013900000,1023100000,1122800000,- -,1139100000,1286700000,1293300000,1282200000,1265200000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4700000,6200000,7700000,9500000,132100000,133100000,13200000,15300000,162900000,- -,33600000,43200000,54900000,- -,63300000,43600000,46400000,50400000,57100000,- -,80000000,74900000,82700000,93900000,- -,91600000,67200000,102400000,87700000,82300000,- -,45800000,65100000,71900000,97700000,61400000,- -
37,Total Current Assets,151900000,184900000,232100000,292200000,353900000,393200000,411500000,408600000,447100000,- -,558600000,658600000,771000000,- -,719900000,721100000,670200000,719400000,792800000,- -,893000000,1031500000,1063800000,1028000000,- -,898400000,958600000,1192600000,1236500000,1288200000,- -,1227100000,1384300000,1400500000,1405700000,1549600000,- -
38,PP&E,26100000,27900000,27500000,30800000,34000000,37900000,51500000,69300000,68300000,- -,84400000,97700000,112700000,- -,146400000,201100000,212000000,202300000,188500000,- -,181100000,170300000,178000000,151300000,- -,127100000,104000000,89900000,92000000,93000000,- -,88900000,86100000,86300000,103500000,124200000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55400000,58000000,56000000,- -,64100000,77400000,73600000,80300000,85800000,- -,94700000,96500000,147200000,117800000,- -,67300000,67300000,89500000,90300000,90300000,- -,90300000,107100000,107300000,127800000,3500000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20300000,24600000,27500000,- -,33900000,- -,- -,- -,- -,- -,- -,- -,9700000,19900000,- -,13000000,9100000,8100000,4300000,2700000,- -,1300000,18200000,16500000,49900000,55600000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75700000,82600000,83500000,- -,98000000,77400000,73600000,80300000,85800000,- -,94700000,96500000,156900000,137700000,- -,80300000,76400000,97600000,94600000,93000000,- -,91600000,125300000,123800000,177700000,59100000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48700000,33000000,22500000,- -,23600000,27800000,42800000,84500000,107500000,- -,151700000,345500000,256400000,290400000,282700000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282000000,- -
44,Other Non-Current Assets,600000,600000,2200000,3400000,6400000,12700000,16400000,18200000,26700000,- -,- -,- -,- -,- -,-100000,90000000,83600000,70100000,72100000,- -,81000000,122400000,142300000,117800000,- -,183100000,201600000,212800000,291000000,336200000,- -,380300000,437000000,447400000,503300000,264300000,- -
45,Total Non-Current Assets,26700000,28500000,29700000,34200000,40400000,50600000,67900000,87500000,95000000,- -,160100000,180300000,196200000,- -,244300000,368500000,369200000,352700000,346400000,- -,356800000,437900000,510200000,429300000,- -,414100000,409800000,443100000,562100000,629700000,- -,712500000,993900000,913900000,1074900000,1012300000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,178600000,213400000,261800000,326400000,394300000,443800000,479400000,496100000,542100000,- -,718700000,838900000,967200000,- -,964200000,1089600000,1039400000,1072100000,1139200000,- -,1249800000,1469400000,1574000000,1457300000,- -,1312500000,1368400000,1635700000,1798600000,1917900000,- -,1939600000,2378200000,2314400000,2480600000,2561900000,- -
48,Accounts Payable,- -,- -,- -,- -,17300000,18400000,27800000,13800000,24600000,- -,36600000,48100000,60400000,- -,79100000,84700000,88200000,85300000,94500000,- -,102900000,132800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503000000,536800000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57839000,- -,24770000,39190000,- -,34289000,68928000,49729000,35197000,- -,79600000,78800000,64100000,28300000,91900000,- -,55500000,10200000,2200000,22000000,19900000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47400000,56000000,65300000,68800000,68800000,- -,60000000,65200000,62700000,65200000,53200000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,49500000,65500000,77600000,96500000,93300000,87600000,96600000,115000000,131300000,- -,206000000,273900000,347000000,- -,347400000,242261000,260000000,257130000,285910000,- -,342711000,366572000,535571000,565403000,- -,461200000,512200000,658200000,733700000,768200000,- -,760300000,916000000,895300000,359100000,368900000,- -
53,Total Current Liabilities,49500000,65500000,77600000,96500000,110600000,106000000,124400000,128800000,155900000,- -,242600000,322000000,407400000,- -,426500000,384800000,348200000,367200000,419600000,- -,479900000,568300000,585300000,600600000,- -,540800000,591000000,722300000,762000000,860100000,- -,815800000,926200000,897500000,884100000,925600000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48400000,80000000,- -,57500000,- -,- -,- -,- -,- -,- -,- -,- -,2100000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21065000,14606000,- -,14606000,35437000,43436000,40020000,- -,77000000,84000000,1100000,18200000,23700000,- -,189300000,183400000,198700000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81300000,84000000,64835000,92094000,- -,101194000,107163000,108664000,83680000,- -,70800000,69600000,171300000,195800000,200400000,- -,39100000,117100000,58700000,329900000,433300000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81300000,84000000,85900000,106700000,- -,115800000,142600000,200500000,203700000,- -,205300000,153600000,172400000,214000000,224100000,- -,228400000,300500000,257400000,332000000,433300000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63400000,87100000,- -
61,Total Liabilities,49500000,65500000,77600000,96500000,110600000,106000000,124400000,128800000,155900000,- -,242600000,322000000,407400000,- -,426500000,466100000,432200000,453100000,526300000,- -,595700000,710900000,785800000,804300000,- -,746100000,744600000,894700000,976000000,1084200000,- -,1044200000,1226700000,1154900000,1216100000,1358900000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40100000,40100000,40100000,- -,40100000,40100000,40100000,40100000,40100000,- -,40100000,40100000,40100000,40100000,- -,40100000,40100000,40100000,40100000,40100000,- -,40100000,40100000,40100000,40100000,40100000,- -
64,Retained Earnings,123000000,149400000,179900000,226400000,257100000,310700000,327500000,338300000,352100000,- -,435100000,474400000,522000000,- -,572500000,675400000,661500000,665800000,655900000,- -,663000000,735100000,777300000,676000000,- -,571500000,597600000,700000000,751300000,767400000,- -,813500000,983600000,1138100000,1238600000,1162900000,- -
65,Other Comprehensive Income/Loss,-13800000,-17200000,-2500000,-24500000,-24000000,-24800000,-29200000,-37900000,-43800000,- -,-64300000,600000,-14200000,- -,-15600000,-47600000,-58600000,-12554000,10853000,- -,24544000,30130000,42587000,12185000,- -,25100000,29000000,35400000,61400000,51100000,- -,60700000,130800000,-17100000,-15800000,-4200000,- -
66,Other Total Stockholders Equity,19900000,15700000,6800000,28000000,50600000,51900000,56700000,66900000,77900000,- -,65200000,1800000,11900000,- -,- -,- -,- -,-74282000,-93220000,- -,-73334000,-46773000,-71758000,-75378000,- -,-70300000,-42900000,-34500000,-30200000,-24900000,- -,-18900000,-3000000,-1600000,1600000,4200000,- -
67,Total Stockholders Equity,129100000,147900000,184200000,229900000,283700000,337800000,355000000,367300000,386200000,- -,476100000,516900000,559800000,- -,537800000,623469000,607200000,619064000,613633000,- -,654310000,758557000,788229000,652907000,- -,566400000,623800000,741000000,822600000,833700000,- -,895400000,1151500000,1159500000,1264500000,1203000000,- -
68,Total Liabilities And Stockholders Equity,178600000,213400000,261800000,326400000,394300000,443800000,479400000,496100000,542100000,- -,718700000,838900000,967200000,- -,964300000,1089569000,1039400000,1072164000,1139933000,- -,1250010000,1469457000,1574029000,1457207000,- -,1312500000,1368400000,1635700000,1798600000,1917900000,- -,1939600000,2378200000,2314400000,2480600000,2561900000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,31000,- -,-64000,-733000,- -,-210000,-57000,-29000,93000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,178600000,213400000,261800000,326400000,394300000,443800000,479400000,496100000,542100000,- -,718700000,838900000,967200000,- -,964200000,1089600000,1039400000,1072100000,1139200000,- -,1249800000,1469400000,1574000000,1457300000,- -,1312500000,1368400000,1635700000,1798600000,1917900000,- -,1939600000,2378200000,2314400000,2480600000,2561900000,- -
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/55135/000005513596000003/0000055135-96-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/55135/0000055135-98-000005-index.html,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55135/000119312504025561/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55135/000119312505033771/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312507031656/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312508028653/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312509024852/0001193125-09-024852-index.html,undefined,https://www.sec.gov/Archives/edgar/data/55135/000095012310014089/0000950123-10-014089-index.html,https://www.sec.gov/Archives/edgar/data/55135/000095012311015111/c12448e10vk.htm,https://www.sec.gov/Archives/edgar/data/55135/000143774913001540/0001437749-13-001540-index.html,https://www.sec.gov/Archives/edgar/data/55135/000143774914002057/kelya20131119_10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000005513515000009/kelya-20141228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55135/000005513516000093/0000055135-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513518000006/0000055135-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513519000006/0000055135-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513520000006/0000055135-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513521000004/0000055135-21-000004-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,70800000,71200000,38600000,39200000,44600000,- -,69500000,73000000,80800000,- -,84700000,87200000,16500000,18500000,4900000,- -,21200000,63500000,61000000,-82200000,- -,-104500000,26100000,50100000,58900000,23700000,- -,53800000,71600000,22900000,112400000,-72000000,- -
74,Depreciation and Amortization,- -,- -,- -,- -,7900000,8800000,9800000,14000000,16600000,- -,22700000,26100000,28300000,- -,28900000,39465000,44396000,45428000,47795000,- -,44137000,41730000,42601000,45958000,- -,40900000,34900000,22300000,22100000,21700000,- -,22300000,22700000,26200000,53900000,45300000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,-593000,-242000,6590000,2936000,- -,-9611000,-9159000,-5298000,7505000,- -,-31000000,-9300000,4700000,-31300000,-26800000,- -,-11800000,-5900000,-47500000,-18300000,-57100000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,3200000,4800000,3800000,5300000,- -,6100000,9100000,8100000,5600000,3900000,- -
77,Change in Working Capital,- -,- -,- -,- -,-8600000,43900000,-100000,-7300000,11400000,- -,200000,20600000,27000000,- -,-70200000,-8400000,-14300000,30200000,21000000,- -,39900000,35200000,15300000,-51100000,- -,-69800000,10000000,53300000,4200000,-46400000,- -,-16800000,14600000,44900000,18600000,102400000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116600000,-95500000,-57900000,-14600000,-155400000,- -,-64200000,-126200000,-32000000,46000000,55900000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43800000,36400000,- -,50900000,63900000,17000000,-43000000,10500000,- -
81,Other Working Capital,- -,- -,- -,- -,243300000,287200000,287100000,279800000,291200000,- -,316000000,336600000,363600000,- -,293400000,336300000,322000000,352200000,373200000,- -,413100000,463200000,478500000,427400000,- -,357600000,367600000,470300000,474500000,428100000,- -,411300000,458100000,503000000,521600000,624000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-64400000,10200000,-33700000,-27700000,- -,-63200000,-133300000,11700000,- -,81600000,-28815000,98441000,-11112000,-46038000,- -,-36266000,-15006000,-40259000,181434000,- -,142100000,-23100000,-74100000,57600000,-47500000,- -,-30100000,-40900000,6800000,-70000000,163500000,- -
83,Cash Provided by Operating Activities,- -,- -,- -,- -,70100000,59500000,58500000,12200000,44900000,- -,29200000,-13600000,147800000,- -,118600000,88857000,144795000,89606000,30593000,- -,59360000,116265000,73344000,101597000,- -,-17200000,41800000,61100000,115300000,-70000000,- -,23500000,71200000,61400000,102200000,186000000,- -
84,CAPEX,- -,- -,- -,- -,-11200000,-12000000,-23500000,-32400000,-16100000,- -,-34000000,-36500000,-39700000,- -,-59200000,-54237000,-54308000,-33406000,-30222000,- -,-35556000,-45526000,-45975000,-31136000,- -,-13100000,-11000000,-21500000,-20000000,-21700000,- -,-16900000,-24600000,-25600000,-20000000,-15500000,- -
