,https://roic.ai/company/JUVF,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6307000,7083000,7533000,7781000,6914000,6545000,4680000,3648000,4001000,4216000,3141000,5975000,5597000,5245000,5821000,5552000,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2778,0.2872,0.2819,0.3084,0.2971,0.3034,0.3031,0.2512,0.2892,0.2941,0.2048,0.3283,0.3022,4.0977,4.3150,0.2172,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542000,978000,505000,525000,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,3344000,3440000,3545000,3895000,5714000,5638000,5762000,6070000,6761000,7467000,7798000,6307000,7083000,7533000,7781000,6914000,6545000,6222000,4626000,4506000,4741000,3141000,5975000,5597000,5245000,5821000,5552000,6888000
21,Income Before Tax Ratio,4.3372,4.8045,4.3604,4.0113,4.1049,0.4088,0.4065,0.4072,0.4177,0.4198,0.4159,0.2778,0.2872,0.2819,0.3084,0.2971,0.3034,0.4029,0.3186,0.3257,0.3308,0.2048,0.3283,0.3022,4.0977,4.3150,0.2172,0.2594
22,Income Tax expense (Gain),791000,780000,781000,850000,1313000,1360000,1375000,1428000,1746000,1820000,1969000,1741000,2081000,2099000,2057000,1808000,1630000,1542000,978000,505000,525000,83000,819000,1060000,-659000,-14000,-50000,284000
23,Net Income,2553000,2660000,2764000,3045000,4401000,4278000,4387000,4642000,5015000,5647000,5829000,4566000,5002000,5434000,5724000,5106000,4915000,4680000,3648000,4001000,4216000,3058000,5156000,4537000,5904000,5835000,5602000,6604000
24,Net Income ratio,3.3113,3.7151,3.3998,3.1359,3.1616,0.3102,0.3095,0.3114,0.3099,0.3175,0.3109,0.2011,0.2028,0.2033,0.2269,0.2194,0.2278,0.3031,0.2512,0.2892,0.2941,0.1994,0.2833,0.2450,4.6125,4.3254,0.2191,0.2487
25,EPS,0.67,0.70,0.90,0.99,0.86,0.85,0.90,0.98,1.07,1.24,1.28,1.00,1.12,1.23,1.31,1.18,1.14,1.10,0.86,0.95,1.01,0.72,1.07,0.95,1.10,1.14,1.10,1.33
26,EPS Diluted,0.67,0.70,0.90,0.99,0.86,0.85,0.90,0.98,1.07,1.23,1.27,1.00,1.11,1.22,1.31,1.18,1.14,1.10,0.86,0.95,1.01,0.72,1.07,0.95,1.10,1.14,1.10,1.33
27,Weighted Average Shares Outstanding,3825940,3825940,3065180,3072082,5095895,5032941,4849950,4736735,4665116,4572470,4553906,4550483,4480245,4434859,4376077,4341097,4297443,4241286,4231404,4210336,4192761,4240319,4801245,4765165,4987186,5118421,5092727,4968571
28,Weighted Average Shares Outstanding Diluted,3825940,3825940,3065180,3072082,5095895,5032941,4849950,4736735,4665116,4591057,4589764,4568098,4492552,4444466,4385612,4345236,4300966,4244507,4233448,4211078,4193129,4241265,4802175,4775505,5009484,5118421,5092727,4968571
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/714712/000089322006000576/0000893220-06-000576-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322007000764/0000893220-07-000764-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322008000709/0000893220-08-000709-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322009000546/0000893220-09-000546-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000095012310024021/0000950123-10-024021-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000095012311025468/0000950123-11-025468-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000119312512116289/0001193125-12-116289-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420413015213/0001144204-13-015213-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420414015715/0001144204-14-015715-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420415016192/0001144204-15-016192-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420416088128/0001144204-16-088128-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420417014681/0001144204-17-014681-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420418015200/0001144204-18-015200-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420419017688/0001144204-19-017688-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837020002801/0001558370-20-002801-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837021003030/0001558370-21-003030-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837022003773/0001558370-22-003773-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,16591000,17717000,17660000,16373000,16476000,12254000,12264000,18613000,12758000,14174000,14397000,8613000,6767000,10458000,9559000,9897000,16456000,12740000,32356000,14261000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111281000,122338000,126046000,142903000,152327000,150488000,153824000,1118000,210686000,286415000,335424000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,16591000,17717000,17660000,16373000,16476000,12254000,12264000,18613000,12758000,125455000,136735000,134659000,149670000,162785000,160047000,163721000,17574000,223426000,318771000,349685000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,13139000,13640000,14240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3939000,5840000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-310842000,98426000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16373000,16476000,12254000,12264000,18613000,12758000,125455000,136735000,134659000,149670000,162785000,160047000,163721000,17574000,223426000,11868000,453951000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,5767000,6755000,6802000,- -,- -,- -,- -,- -,- -,6710000,6472000,6330000,6533000,6909000,6857000,8887000,8744000,9243000,8808000,8371000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2046000,2046000,2046000,2046000,2046000,2046000,2046000,2046000,2046000,5381000,5448000,5448000,9139000,9047000,9047000,9047000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,434000,389000,344000,299000,254000,209000,164000,167000,193000,205000,205000,225000,200000,180000,399000,295000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2480000,2435000,2390000,2345000,2300000,2255000,2210000,2213000,2239000,5586000,5653000,5673000,9339000,9227000,9446000,9342000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,100402000,99708000,77397000,70192000,58883000,67056000,67497000,80694000,83473000,115077000,130134000,134208000,151119000,160248000,159003000,163881000,147616000,215734000,290611000,338854000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58883000,-67056000,-67497000,-80694000,-83473000,197936000,173318000,171372000,170968000,248400000,248794000,249783000,441963000,213002000,-299577000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2480000,2435000,2390000,2345000,2300000,321978000,312134000,314123000,330859000,421143000,420307000,428224000,607662000,447206000,9288000,356567000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,375735000,387780000,396758000,394429000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167085000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,375735000,387780000,396758000,410802000,18956000,14689000,14654000,20958000,15058000,447433000,448869000,448782000,480529000,583928000,580354000,591945000,625236000,670632000,21156000,810518000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,4789000,4313000,4247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4966000,4986000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,- -,- -,8635000,- -,- -,- -,1600000,8400000,15950000,30061000,27700000,12000000,11600000,9700000,20000000,4227000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7804000,- -,- -,- -,4495000,- -,- -,- -,- -,- -,- -,- -,3429000,-216000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,- -,7804000,8635000,- -,- -,4495000,1600000,8400000,15950000,30061000,27700000,12000000,11600000,13129000,24750000,9213000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,- -,7804000,5000000,5000000,- -,4495000,5330000,- -,22500000,22500000,25000000,25000000,15000000,45000000,35000000,20000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7804000,- -,- -,- -,4495000,5330000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,- -,15608000,5000000,5000000,- -,8990000,10660000,- -,22500000,22500000,25000000,25000000,15000000,45000000,35000000,20000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,327408000,337297000,351605000,363083000,368145000,379378000,375964000,396506000,385777000,402208000,407632000,390398000,437223000,516405000,518564000,545558000,561258000,628796000,727371000,750015000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,327408000,337297000,346605000,363683000,368145000,371574000,379599000,391506000,385777000,397713000,398572000,398798000,430673000,523966000,521264000,532558000,557858000,596925000,717121000,739228000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2373000,2373000,2373000,- -,- -,- -,- -,- -,- -,4746000,4746000,4746000,4746000,4798000,4805000,4811000,5134000,5142000,5151000,5151000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,25652000,29016000,29966000,29486000,31531000,32755000,34758000,36478000,37868000,38900000,38824000,39118000,39644000,39015000,39945000,40876000,42525000,43954000,45096000,47298000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,1795000,1472000,414000,-694000,-1098000,-557000,-1247000,-805000,-1465000,-2256000,-1419000,-1659000,-2197000,-2203000,-3209000,-4034000,-4299000,516000,3518000,-3365000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,18507000,17622000,17400000,18327000,17353000,16374000,14974000,14930000,13573000,8330000,8146000,7779000,7663000,18352000,17549000,17734000,24018000,24095000,22832000,22206000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,48327000,50483000,50153000,47119000,47786000,48572000,48485000,50603000,49976000,49720000,50297000,49984000,49856000,59962000,59090000,59387000,67378000,73707000,76597000,71290000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,375735000,387780000,396758000,410802000,415931000,420146000,428084000,442109000,435753000,447433000,448869000,448782000,480529000,583928000,580354000,591945000,625236000,670632000,793718000,810518000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-396975000,-405457000,-413430000,-421151000,-420695000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-772562000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,375735000,387780000,396758000,410802000,18956000,14689000,14654000,20958000,15058000,447433000,448869000,448782000,480529000,583928000,580354000,591945000,625236000,670632000,21156000,810518000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/714712/000089322006000576/0000893220-06-000576-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322007000764/0000893220-07-000764-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322008000709/0000893220-08-000709-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322009000546/0000893220-09-000546-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000095012310024021/0000950123-10-024021-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000095012311025468/0000950123-11-025468-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000119312512116289/0001193125-12-116289-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420413015213/0001144204-13-015213-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420414015715/0001144204-14-015715-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420415016192/0001144204-15-016192-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420416088128/0001144204-16-088128-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420417014681/0001144204-17-014681-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420418015200/0001144204-18-015200-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420419017688/0001144204-19-017688-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837020002801/0001558370-20-002801-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837021003030/0001558370-21-003030-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837022003773/0001558370-22-003773-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2553000,2660000,2764000,3045000,4401000,4278000,4387000,4642000,5015000,5647000,5829000,4566000,5002000,5434000,5724000,5106000,4915000,4680000,3648000,4001000,4216000,3058000,5156000,4537000,5904000,5835000,5602000,6604000
74,Depreciation and Amortization,181000,174000,192000,191000,273000,380000,481000,573000,612000,737000,788000,799000,742000,802000,887000,632000,610000,626000,569000,542000,539000,557000,700000,739000,894000,888000,883000,778000
75,Deferred Income Tax,-40000,-74000,-56000,-53000,-172000,-57000,-110000,-103000,-146000,95000,93000,-134000,40000,94000,609000,223000,163000,-20000,-64000,662000,194000,-66000,320000,681000,-96000,-782000,-155000,49000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,58000,26000,25000,30000,47000,57000,67000,71000,82000,113000,128000,158000
77,Change in Working Capital,812000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10773000,5703000,-12026000,-821000,14984000,-5855000,108202000,14175000,-8876000,7461000,-996000,-377000,19374000,-145747000,204323000,-223179000,457620000,480000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,478000,930000,-41000,292000,461000,-6000,-1493000,1872000,-776000,476000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000,167000,-997000,83000,497000,-1056000,393000,-821000,1967000,-354000,4000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10773000,16476000,4450000,3629000,18613000,12758000,120960000,135135000,126259000,133720000,132724000,132347000,151721000,5974000,210297000,-12882000,444738000,- -
82,Other Non-Cash Items,-583000,55000,-144000,140000,-218000,461000,432000,136000,-217000,-530000,-11020000,-5766000,11603000,1646000,-17960000,4564000,-107074000,-13906000,10508000,-6897000,1908000,2014000,-19314000,146519000,-205786000,227066000,-457303000,797000
83,Cash Provided by Operating Activities,2923000,2815000,2756000,3323000,4284000,5062000,5190000,5248000,5264000,5949000,6463000,5168000,5361000,7155000,4244000,4710000,6874000,5581000,5810000,5799000,5908000,5243000,6303000,6800000,5321000,9941000,6775000,8866000
84,CAPEX,-69000,-222000,-230000,-158000,-547000,-842000,-2887000,-473000,-141000,-1445000,-607000,-255000,-786000,-1383000,-838000,-128000,-754000,-224000,-286000,-355000,-697000,-463000,-542000,-2703000,-548000,-1308000,-371000,-274000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13801000,- -,- -,- -,- -,- -,- -,- -,- -,1244000,- -,- -,7561000,- -,- -,- -
86,Purchases of Investments,-23995000,-22477000,-25855000,-25221000,-54380000,-17359000,-1852000,-41744000,-43824000,-52096000,-17609000,-17100000,-22093000,-63314000,-37165000,-56245000,-53198000,-87201000,-90722000,-46088000,-66787000,-67047000,-49118000,-44555000,-20710000,-125573000,-268399000,-181122000
87,Sales/Maturities of Investments,10298000,7240000,17063000,18568000,56227000,34945000,21179000,33123000,37000000,52660000,38448000,21696000,30332000,55371000,38996000,42912000,49863000,56057000,75816000,38973000,50542000,92989000,48139000,38121000,29606000,59833000,195928000,121723000
88,Other Investing Activites,8550000,6118000,- -,- -,-9796000,-15813000,-18599000,-17482000,-7940000,-14984000,-30402000,-17543000,-5015000,5159000,-17183000,6665000,13036000,8795000,11516000,-1264000,-17445000,-37727000,1062000,-4661000,-1074000,19080000,-19706000,5799000
89,Cash Used for Investing Activites,-5216000,-9341000,-9022000,-6811000,-8496000,1773000,728000,-26103000,-14764000,-14420000,-9563000,-12947000,17025000,-2784000,-15352000,-6796000,8947000,-22573000,-3676000,-8734000,-34387000,-11004000,-459000,-13798000,14835000,-47968000,-92548000,-53874000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,-7372000,-5000000,- -,- -,- -,- -,- -,-7500000,- -,-10000000,-16382000,-13343000,-42955000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000,151000,48000,59000,110000,64000,206000,132000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-543000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-217000,-1476000,-589000,-360000,-445000,-222000,-63000,-927000,-86000,-70000,-428000,-1452000,-861000
93,Dividends Paid,- -,- -,- -,- -,- -,-2935000,-2935000,-1904000,-2042000,-2283000,-4879000,-5046000,-2957000,-4210000,-3241000,-3386000,-3525000,-3648000,-3724000,-3707000,-3690000,-3687000,-4226000,-4194000,-4411000,-4489000,-4465000,-4402000
94,Other Financing Activites,-2151000,12214000,3615000,5722000,7274000,-8594000,-3320000,18720000,14785000,9480000,9152000,14464000,-13090000,2585000,6282000,20499000,-439000,10061000,2022000,1255000,30486000,13092000,5846000,11410000,752000,55610000,133914000,65131000
95,Cash Used/Provided by Financing Activities,-2151000,12214000,3615000,5179000,7274000,-11529000,-6255000,16816000,12743000,7197000,4273000,9418000,-21047000,-1625000,3041000,9524000,-10440000,5890000,-1911000,-2849000,26633000,9452000,-6743000,7336000,-13597000,34311000,114654000,16913000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4444000,5688000,-2651000,1691000,3062000,-4694000,-337000,-4039000,3243000,-1274000,1173000,1639000,1339000,2746000,-8067000,7438000,5381000,-11102000,223000,-5784000,-1846000,3691000,-899000,338000,6559000,-3716000,28881000,-28095000
98,Cash at the End of Period,5985000,11673000,9022000,10713000,20728000,16034000,15697000,11658000,14901000,13627000,14800000,16439000,17778000,20524000,12457000,19895000,25276000,14174000,14397000,8613000,6767000,10458000,9559000,9897000,16456000,12740000,41621000,13526000
99,Cash at the Beginning of Period,10429000,5985000,11673000,9022000,17666000,20728000,16034000,15697000,11658000,14901000,13627000,14800000,16439000,17778000,20524000,12457000,19895000,25276000,14174000,14397000,8613000,6767000,10458000,9559000,9897000,16456000,12740000,41621000
100,Free Cash Flow,2854000,2593000,2526000,3165000,3737000,4220000,2303000,4775000,5123000,4504000,5856000,4913000,4575000,5772000,3406000,4582000,6120000,5357000,5524000,5444000,5211000,4780000,5761000,4097000,4773000,8633000,6404000,8592000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/714712/000089322006000576/0000893220-06-000576-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322007000764/0000893220-07-000764-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322008000709/0000893220-08-000709-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000089322009000546/0000893220-09-000546-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000095012310024021/0000950123-10-024021-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000095012311025468/0000950123-11-025468-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000119312512116289/0001193125-12-116289-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420413015213/0001144204-13-015213-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420414015715/0001144204-14-015715-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420415016192/0001144204-15-016192-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420416088128/0001144204-16-088128-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420417014681/0001144204-17-014681-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420418015200/0001144204-18-015200-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000114420419017688/0001144204-19-017688-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837020002801/0001558370-20-002801-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837021003030/0001558370-21-003030-index.htm,https://www.sec.gov/Archives/edgar/data/714712/000155837022003773/0001558370-22-003773-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
