,https://roic.ai/company/SBOW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.4118,0.3958,0.5739,0.5726,0.6042,0.5567,0.2643,0.2527,0.2833,0.1975,0.2565,0.4948,0.4419,-0.9129,0.2727,0.4913,-0.1860,0.1227,0.2402,0.3259,0.4211,0.4262,0.3739,-0.5029,-0.1744,0.1702,0.2243,0.0660,-0.0438,-0.7913,-7.0431,- -,0.3574,0.2936,0.3225,-1.6262,- -
22,Income Tax expense (Gain),600000,800000,2600000,2400000,3000000,3600000,1200000,1500000,1700000,1100000,2000000,9800000,10800000,-25200000,10400000,33265480,-12237436,6485062,16468514,32989325,62661095,100720825,91968000,-155628000,-25541000,27833000,50494000,15639000,-6773000,-150043000,-80543000,- -,-1954000,928000,-21582000,20911000,- -
23,Net Income,800000,1100000,4000000,4700000,5700000,7200000,2500000,4100000,4900000,-13100000,4900000,19000000,22300000,-48200000,19300000,60443724,-22347765,11923227,29893812,68450917,115778456,161565340,21287000,-260490000,-39330000,46294000,98821000,20939000,-19032000,-283427000,-1653971000,- -,71971000,74615000,114656000,-309382000,86759000
24,Net Income ratio,0.2353,0.2292,0.3478,0.3790,0.3958,0.3711,0.1786,0.2204,0.2103,-0.5391,0.1822,0.3265,0.2977,-0.5995,0.1772,0.3190,-0.1216,0.0795,0.1415,0.2199,0.2732,0.2625,0.0325,-0.3174,-0.1062,0.1060,0.1641,0.0378,-0.0323,-0.5174,-6.7161,- -,0.3674,0.2900,0.3972,-1.7441,Infinity
25,EPS,0.16,0.23,0.84,0.95,1.12,1.23,0.43,0.61,0.68,-1.78,0.54,1.40,1.35,-2.93,1.07,2.79,-0.90,0.45,1.09,2.46,4.06,5.52,0.71,-8.50,-1.05,1.19,2.29,0.48,-0.44,-6.47,-37.20,- -,6.28,6.40,9.76,-25.99,6.61
26,EPS Diluted,0.16,0.23,0.84,0.95,1.12,1.23,0.43,0.61,0.64,-1.78,0.54,1.37,1.26,-2.93,1.07,2.51,-0.90,0.45,1.08,2.41,3.95,5.38,0.69,-8.50,-1.05,1.18,2.27,0.48,-0.44,-6.47,-37.20,- -,6.25,6.34,9.74,-25.99,6.42
27,Weighted Average Shares Outstanding,5000000,4782609,4761905,4947368,5089286,5853659,5813953,6721311,7205882,7359551,9122857,13637182,16492856,16436972,18050106,21244684,24732099,26382906,27357579,27822413,28496275,29265366,29984000,30661000,32310000,38300000,42394000,42840000,43331000,43795000,44463000,11453000,11453000,11655000,11753000,11902000,13118000
28,Weighted Average Shares Outstanding Diluted,5000000,4782609,4761905,4947368,5089286,5853659,5813953,6721311,7656250,7359551,9122857,13868613,17698413,16436972,18050106,24081165,24732099,26382906,27679456,28402870,29311002,30030732,30850725,30661000,32310000,38524000,43533480,42930000,43331000,43795000,44463000,11453000,11514000,11764000,11778000,11902000,13520000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351817/000035181708000011/0000351817-08-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/351817/000035181710000006/0000351817-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181711000012/0000351817-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/351817/000035181712000006/0000351817-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181713000007/0000351817-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181714000009/0000351817-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/351817/000035181715000006/a2014-10k.htm,https://www.sec.gov/Archives/edgar/data/351817/000035181716000042/0000351817-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181717000011/0000351817-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181718000004/0000351817-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181719000004/0000351817-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181720000004/0000351817-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181721000005/0000351817-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/351817/000035181722000009/0000351817-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
