,https://roic.ai/company/BOOM,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.44,0.07,0.07,0.02,0.01,0.08,0.07,0.29,0.35,0.24,-0.48,-0.25,0.28,0.01,-0.07,0.27,0.86,1.70,2.00,1.91,0.66,0.40,0.93,0.87,0.54,0.18,-1.72,-0.46,-1.31,2.04,2.28,-0.10,-0.01
27,Weighted Average Shares Outstanding,1600000,8571429,10000000,13333333,10000000,10322581,10370370,5483736,5363886,5540278,5644368,8009746,10006798,10084764,10134648,10269080,11290053,11841373,12083851,12445685,12640069,12869666,13089691,13264636,13533566,13687485,13935097,14126108,14346851,14529745,14579608,14790296,14790296
28,Weighted Average Shares Outstanding Diluted,1828571,9230769,10000000,13333333,10000000,10322581,10370370,10285714,5751406,5705094,5644368,8009746,10102446,10174102,10221612,10968090,12086884,12213075,12293500,12579598,12662440,12881754,13099121,13268713,13537525,13689707,13935097,14126108,14346851,14620635,14655350,14790296,14790296
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/0000932384-96-000127-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/000093238499000108/0000932384-99-000108-index.html,- -,https://www.sec.gov/Archives/edgar/data/34067/000089808001000126/0000898080-01-000126-index.html,https://www.sec.gov/Archives/edgar/data/34067/000089808002000088/0000898080-02-000088-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/000110465905012404/0001104659-05-012404-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465906016592/0001104659-06-016592-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465907017391/0001104659-07-017391-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000104746908002774/0001047469-08-002774-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000104746909002596/0001047469-09-002596-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465910013851/0001104659-10-013851-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465911010898/0001104659-11-010898-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465912016908/0001104659-12-016908-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465913020365/0001104659-13-020365-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406714000003/0000034067-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406715000018/0000034067-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406716000072/0000034067-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406717000007/0000034067-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406718000009/0000034067-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406719000005/0000034067-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406720000009/0000034067-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406721000015/0000034067-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406722000023/0000034067-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,700000,100000,- -,700000,700000,500000,200000,100000,- -,- -,186530,1811618,1158234,521697,2403561,5763000,17886000,9045000,14360000,22411000,4572000,5276000,8200000,10617000,9400000,6291000,6419000,8983000,13375000,20353000,28187000,30810000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25736000,- -
33,Cash and Short-Term Investments,- -,700000,100000,- -,700000,700000,500000,200000,100000,- -,- -,186530,1811618,1158234,521697,2403561,7713000,17886000,9045000,14360000,22411000,4572000,5276000,8200000,10617000,9400000,6291000,6419000,8983000,13375000,20353000,53923000,30810000
34,Net Receivables,2500000,2600000,4000000,3800000,3200000,3600000,4500000,6200000,5200000,5300000,3800000,4632123,6486171,8747238,6922630,14878900,15576000,21549000,40936000,37330000,28613000,27567000,36368000,36981000,38715000,35501000,35798000,32959000,49468000,59709000,60855000,31366000,71932000
35,Inventory,1500000,1500000,1700000,1500000,1100000,1600000,2600000,4800000,4000000,5400000,3400000,3881155,6708422,5863261,7441712,7999952,11869000,19226000,41628000,35300000,32501000,35880000,43218000,48320000,41550000,40101000,35449000,28833000,35742000,51074000,53728000,52573000,124214000
36,Other Current Assets,100000,100000,- -,200000,200000,200000,200000,500000,500000,400000,1700000,258493,1404756,1113736,1753215,962974,1394000,5186000,3121000,3778000,4449000,4716000,6327000,7165000,7882000,10094000,8916000,5148000,5763000,8058000,9417000,5448000,12240000
37,Total Current Assets,4100000,4900000,5800000,5500000,5200000,6100000,7800000,11700000,9800000,11100000,8900000,8958301,16410967,16882469,16639254,26245387,36552000,63847000,94730000,90768000,87974000,72735000,91189000,100666000,98764000,95096000,86454000,73359000,99956000,132216000,144353000,143310000,239196000
38,PP&E,1000000,1400000,1400000,1500000,1500000,2100000,2100000,3000000,2800000,8800000,14300000,13276659,15209474,15398498,14016649,11843499,12572000,20260000,35446000,40457000,42052000,39806000,41402000,53976000,65015000,63835000,57999000,57133000,59872000,95140000,108234000,120144000,122078000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,847000,45862000,43066000,43164000,39173000,37507000,37431000,37970000,32762000,17190000,16097000,- -,- -,- -,- -,141266000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1300000,1200000,5600000,5300000,4992750,4703769,936244,913744,847076,847000,- -,61914000,52264000,49079000,48490000,42054000,41958000,36458000,26734000,20418000,15827000,12861000,8589000,5880000,3665000,255576000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1300000,1200000,5600000,5300000,4992750,4703769,936244,913744,847076,847000,847000,107776000,95330000,92243000,87663000,79561000,79389000,74428000,59496000,37608000,31924000,12861000,8589000,5880000,3665000,396842000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1132000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,819000,- -,42000,245000,332000,248000,485000,804000,505000,587000,- -,- -,98000,4001000,3836000,4582000,- -
44,Other Non-Current Assets,- -,- -,300000,500000,500000,200000,100000,500000,600000,7700000,1600000,439745,589135,480781,811761,4816559,4521000,19000,1905000,1419000,1443000,941000,789000,596000,1900000,315000,805000,139000,296000,472000,15118000,7944000,106296000
45,Total Non-Current Assets,1000000,1400000,1700000,2000000,2000000,2300000,2200000,4800000,4600000,22100000,21200000,18709154,20502378,16815523,15742154,17507134,18759000,21126000,146169000,138451000,137202000,128658000,122237000,134765000,141848000,124233000,96412000,89196000,73127000,108202000,133068000,136335000,625216000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5100000,6300000,7500000,7500000,7200000,8400000,10000000,16500000,14400000,33200000,30100000,27667455,36913345,33697992,32381408,43752521,55311000,84973000,240899000,229219000,225176000,201393000,213426000,235431000,240612000,219329000,182866000,162555000,173083000,240418000,277421000,279645000,864412000
48,Accounts Payable,1300000,1200000,1500000,1300000,1200000,1400000,2200000,2300000,2300000,2300000,1800000,2051301,3153391,2404662,2759121,6040863,7278000,13572000,22915000,15419000,9183000,16109000,14753000,11281000,14668000,14076000,14624000,13260000,19826000,24243000,34758000,17574000,40276000
49,Short-Term Debt,800000,200000,300000,300000,200000,200000,100000,900000,100000,2000000,16800000,728394,1821666,2637678,4686673,6401513,573000,382000,16011000,14613000,15568000,12489000,1232000,1098000,2931000,- -,- -,- -,- -,3125000,3125000,4866000,15000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1485000,477000,780000,406000,2811000,3770000,9157000,7098000,6548000,17545000,9651000,7279000,9000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1531000,1918000,1363000,1025000,3510000,2396000,2619000,5888000,1140000,2736000,4928000,21052000
52,Other Current Liabilities,400000,200000,400000,500000,500000,500000,1100000,900000,1100000,1800000,1300000,1275579,3085766,3340071,2667645,4519761,6987000,11343000,19892000,15434000,17384000,8263000,11407000,10636000,12568000,14922000,15878000,14868000,19913000,36057000,30804000,19740000,29486000
53,Total Current Liabilities,2500000,1600000,2200000,2100000,1900000,2100000,3400000,4100000,3500000,6100000,19900000,4055274,8060823,8382411,10113439,16962137,14838000,25297000,58818000,45466000,42135000,38392000,29310000,24378000,31192000,32508000,32898000,30747000,45627000,64565000,71423000,47108000,105814000
54,Long-Term Debt,300000,800000,700000,500000,300000,500000,200000,4100000,100000,14300000,- -,10230000,13675431,9278630,6021540,2905608,2221000,382000,61530000,46178000,34120000,14579000,26580000,37834000,26400000,22782000,27500000,15732000,17984000,38230000,11147000,18205000,132425000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,469000,334179,485555,728974,195000,1512000,20604000,16986000,15217000,12083000,10185000,9211000,8347000,7003000,2119000,1448000,573000,379000,3786000,2254000,2202000
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,- -,-100000,100000,- -,- -,200000,77887,62097,138032,176468,3085794,3102000,202000,1668000,2087000,1593000,1415000,1308000,1452000,1881000,2121000,1928000,2219000,3119000,2958000,18924000,15164000,66250000
58,Total Non-Current Liabilities,400000,800000,700000,500000,300000,500000,100000,4200000,100000,14500000,200000,10307887,14206528,9750841,6683563,6720376,5518000,2096000,83802000,65251000,50930000,28077000,38073000,48497000,36628000,31906000,31547000,19399000,21676000,41567000,33857000,35623000,200877000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521000,336000,742000,427000,136000,71000,32000,- -,- -,- -,- -,- -,- -,11807000,- -
61,Total Liabilities,2900000,2400000,2900000,2600000,2200000,2600000,3500000,8300000,3500000,20600000,20100000,14363161,22267351,18133252,16797002,23682513,20356000,27393000,142620000,110717000,93065000,66469000,67383000,72875000,67820000,64414000,64445000,50146000,67303000,106132000,105280000,82731000,306691000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,249517,251500,253071,254446,266023,588000,599000,622000,639000,643000,661000,668000,676000,689000,700000,711000,725000,741000,749000,756000,796000,- -
64,Retained Earnings,-2500000,-1900000,-1200000,-1000000,-1000000,-200000,500000,2100000,4100000,5500000,2800000,792668,2592898,2763027,2053869,4886630,14104000,33102000,55868000,78042000,85048000,88210000,98565000,108101000,113399000,113723000,87767000,80107000,60074000,89291000,119002000,115657000,- -
65,Other Comprehensive Income/Loss,-800000,-1000000,-1300000,-1600000,-1300000,-1700000,-2000000,-2400000,-3000000,-3900000,-4500000,-4492850,-6046251,175074,847546,1300424,485000,1713000,3543000,-2229000,340000,-6398000,-9256000,-6463000,-4230000,-26596000,-40465000,-41514000,-30819000,-35014000,-25803000,-22962000,- -
66,Other Total Stockholders Equity,5500000,6800000,7100000,7500000,7300000,7700000,8000000,8500000,9800000,11000000,11600000,16754959,17847847,12373568,12428545,13616931,19778000,22166000,38246000,42050000,46080000,52451000,55983000,60158000,62934000,67088000,70408000,73091000,75784000,79260000,78186000,103423000,- -
67,Total Stockholders Equity,2200000,3900000,4600000,4900000,5000000,5800000,6500000,8200000,10900000,12600000,10000000,13304294,14645994,15564740,15584406,20070008,34955000,57580000,98279000,118502000,132111000,134924000,145960000,162472000,172792000,154915000,118421000,112409000,105780000,134286000,172141000,196914000,360525000
68,Total Liabilities And Stockholders Equity,5100000,6300000,7500000,7500000,7200000,8400000,10000000,16500000,14400000,33200000,30100000,27667455,36913345,33697992,32381408,43752521,55311000,84973000,240899000,229219000,225176000,201393000,213343000,235347000,240612000,219329000,182866000,162555000,173083000,240418000,277421000,279645000,667216000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000,84000,- -,- -,- -,- -,- -,- -,- -,- -,197196000
70,Total Liabilities & Equity,5100000,6300000,7500000,7500000,7200000,8400000,10000000,16500000,14400000,33200000,30100000,27667455,36913345,33697992,32381408,43752521,55311000,84973000,240899000,229219000,225176000,201393000,213426000,235431000,240612000,219329000,182866000,162555000,173083000,240418000,277421000,279645000,864412000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/0000932384-96-000127-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/000093238499000108/0000932384-99-000108-index.html,- -,https://www.sec.gov/Archives/edgar/data/34067/000089808001000126/0000898080-01-000126-index.html,https://www.sec.gov/Archives/edgar/data/34067/000089808002000088/0000898080-02-000088-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/000110465905012404/0001104659-05-012404-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465906016592/0001104659-06-016592-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465907017391/0001104659-07-017391-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000104746908002774/0001047469-08-002774-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000104746909002596/0001047469-09-002596-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465910013851/0001104659-10-013851-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465911010898/0001104659-11-010898-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465912016908/0001104659-12-016908-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465913020365/0001104659-13-020365-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406714000003/0000034067-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406715000018/0000034067-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406716000072/0000034067-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406717000007/0000034067-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406718000009/0000034067-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406719000005/0000034067-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406720000009/0000034067-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406721000015/0000034067-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406722000023/0000034067-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,600000,700000,300000,- -,800000,700000,1600000,2000000,1400000,-2700000,-2010610,2789230,170129,-709158,2832761,10372000,20764000,24587000,24068000,8549000,5265000,12491000,11696000,7495000,2567000,-23971000,-6505000,-18853000,30473000,34041000,-1412000,-202000
74,Depreciation and Amortization,200000,200000,300000,300000,300000,300000,300000,500000,700000,1100000,1500000,1569124,1743620,1761870,1488961,1387560,1568000,1419000,3377000,11913000,10106000,10713000,11199000,11747000,12895000,13154000,10277000,10767000,10566000,9520000,9860000,11081000,12694000
75,Deferred Income Tax,- -,- -,- -,- -,- -,200000,100000,-100000,100000,100000,- -,- -,79600,1303953,882439,1180584,-1431000,2115000,-357000,-2079000,-2784000,-1708000,-1587000,-1267000,-1767000,-255000,5649000,-108000,-2551000,-4332000,4289000,-2313000,-1846000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3425000,3501000,3397000,4443000,3401000,3588000,2826000,2326000,2975000,3580000,5204000,5675000,6574000
77,Change in Working Capital,-800000,1700000,300000,-200000,-100000,700000,400000,3200000,-1300000,-1300000,-16000000,15903027,3447117,149914,-1974243,2757435,12430750,16836000,-2638000,9390000,537000,-11496000,27536000,14409000,-8716000,-4984000,-9032000,-10944000,11717000,13322000,5279000,23272000,-29395000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11891000,2690000,-9551000,560000,-1382000,-427000,-2394000,2679000,-14425000,-11409000,-1221000,30227000,- -
79,Inventory,-700000,- -,-200000,200000,400000,-500000,-1000000,-500000,800000,- -,2000000,-470327,-600267,1294161,-1511423,-1992705,-4486000,-6424000,-6386000,4911000,6604000,1696000,-8392000,-2342000,6693000,-3459000,1386000,6829000,-5294000,-16610000,-2671000,2992000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8045000,2970000,-1035000,-3618000,2235000,-932000,758000,-1338000,5216000,2197000,10145000,-14772000,- -
81,Other Working Capital,1600000,3300000,3600000,3400000,3300000,4000000,4400000,7600000,6300000,5000000,-11000000,4903027,8350144,8500058,6525815,9283250,21714000,38550000,35912000,45302000,45839000,34343000,61879000,76288000,67572000,62588000,53556000,42612000,54329000,67651000,72930000,96202000,- -
82,Other Non-Cash Items,-100000,-2100000,-1500000,- -,1100000,-1500000,-1400000,-2900000,2500000,2300000,17100000,-15596243,-3374233,910178,1703705,-5170419,-11301750,-24577000,-6285000,-9289000,9707000,10418000,-43310000,-21058000,18744000,9243000,15869000,22662000,2893000,-24925000,5921000,-5941000,-637000
83,Cash Provided by Operating Activities,100000,400000,-200000,400000,1300000,500000,100000,2300000,4000000,3600000,-100000,-134702,4685334,4296044,1391704,2987921,11638000,16557000,18684000,34003000,29540000,16693000,9726000,19970000,32052000,23313000,1618000,18198000,6747000,27638000,64594000,30362000,-12812000
84,CAPEX,-500000,-600000,-300000,-400000,-300000,-1000000,-300000,-200000,-400000,-11400000,-400000,-233876,-1360186,-1493549,-1009447,-1138063,-2848000,-8650000,-8979000,-9925000,-3917000,-3527000,-7726000,-15647000,-17565000,-21403000,-5433000,-5719000,-6186000,-45095000,-27210000,-13853000,-8659000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81224000,-559000,-284000,-5685000,- -,-10294000,-180000,6830000,- -,- -,- -,- -,- -,- -,-261000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10090,- -,- -,- -,- -,-1950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25740000,-123984000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255008,- -,- -,- -,- -,- -,1950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149720000
88,Other Investing Activites,- -,- -,-200000,100000,- -,- -,- -,-5500000,-300000,-7100000,-400000,1204248,-2121,28354,91520,843010,1304000,7620000,-87000,20000,59000,-53000,-5000,386000,-494000,1190000,107000,17000,2000,- -,1263000,36000,-23883000
