,https://roic.ai/company/MTEX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,10100000,10800000,-7349000,-3660000,1888000,8790000,19552000,28647000,32390000,6594000,-12628000,-17368000,-10616000,-20659000,-1388000,3174000,6496000,5839000,-586000,-1787000,-3886000,3289000,6261000,9842000
24,Net Income ratio,0.0612,0.0601,-0.0490,-0.0284,0.0134,0.0460,0.0664,0.0736,0.0790,0.0160,-0.0380,-0.0600,-0.0465,-0.1029,-0.0080,0.0179,0.0342,0.0324,-0.0033,-0.0101,-0.0224,0.0209,0.0414,0.0616
25,EPS,4.50,4.50,-3.00,-1.50,0.80,3.40,7.40,10.60,12.20,2.50,-4.80,-6.60,-4.00,-7.80,-0.52,1.20,2.44,2.18,-0.22,-0.66,-1.53,1.38,2.80,5.17
26,EPS Diluted,4.20,4.30,-3.00,-1.50,0.70,3.40,7.10,10.30,11.90,2.50,-4.80,-6.60,-4.00,-7.80,-0.52,1.18,2.40,2.14,-0.22,-0.66,-1.53,1.35,2.77,4.85
27,Weighted Average Shares Outstanding,2244444,2400000,2494600,2473000,2513500,2549400,2643600,2699000,2659800,2644300,2646100,2646700,2648800,2649000,2648000,2650000,2663000,2680000,2688000,2708000,2541000,2391000,2235000,1903000
28,Weighted Average Shares Outstanding Diluted,2404762,2511628,2494600,2473000,2526500,2617500,2749100,2777100,2721900,2689300,2646100,2646700,2648800,2649000,2648000,2683000,2706000,2728000,2688000,2708000,2541000,2441000,2264000,2031000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1056358/000093066100000838/0000930661-00-000838-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000093066101000914/0000930661-01-000914-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000114544302000054/0001145443-02-000054-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000093066103001374/0000930661-03-001374-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312504042259/0001193125-04-042259-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312505066816/0001193125-05-066816-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312506056564/0001193125-06-056564-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312507056895/0001193125-07-056895-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312508058789/0001193125-08-058789-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635809000023/0001056358-09-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635810000020/0001056358-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635811000007/0001056358-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635812000015/0001056358-12-000015-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1056358/000114036114013302/0001140361-14-013302-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000114036115011119/0001140361-15-011119-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000114036116057737/0001140361-16-057737-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635817000009/0001056358-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635818000026/0001056358-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635819000022/0001056358-19-000022-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1056358/000105635821000020/0001056358-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635822000020/0001056358-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,11600000,5736000,9926000,17693000,28291000,44198000,56207000,45701000,47103000,30945000,17367000,21584000,18057000,14377000,20395000,27999000,31994000,28687000,37682000,21845000,24762000,22207000,24185000
32,Short-Term Investments,- -,1400000,- -,- -,- -,- -,- -,1974000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13000000,5736000,9926000,17693000,28291000,44198000,58181000,45701000,47103000,30945000,17367000,21584000,18057000,14377000,20395000,27999000,31994000,28687000,37682000,21845000,24762000,22207000,24185000
34,Net Receivables,- -,500000,3179000,732000,1082000,189000,4697000,701000,3154000,2754000,3822000,8739000,1333000,1192000,1208000,427000,508000,373000,1885000,1180000,397000,1175000,186000,90000
35,Inventory,- -,13300000,13326000,8386000,5515000,7861000,13157000,19811000,23923000,23706000,31313000,31290000,24070000,17786000,15154000,13988000,10591000,9199000,11961000,9385000,12821000,10152000,12827000,- -
36,Other Current Assets,- -,1200000,1946000,2599000,1772000,6587000,5431000,6919000,8052000,8182000,11442000,7089000,8228000,4696000,4563000,8864000,10265000,8319000,8229000,8001000,7324000,4940000,7257000,18563000
37,Total Current Assets,- -,28000000,24187000,21643000,26062000,42928000,67483000,85612000,80830000,81745000,77522000,64485000,55215000,41731000,35302000,43674000,49363000,49885000,50762000,56248000,42387000,41029000,42477000,42838000
38,PP&E,- -,14100000,13324000,10448000,7467000,5515000,10013000,19108000,41248000,44412000,37042000,27461000,18973000,9566000,4833000,3239000,4103000,4687000,4623000,4314000,6764000,6126000,4494000,2882000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,200000,200000,200000,200000,200000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1003000,103000,278000,151000,459000,652000,649000,772000,502000,1303000,3320000,3725000,5361000,4239000,1928000,881000,1178000,2825000
44,Other Non-Current Assets,- -,2700000,1391000,1052000,1287000,11580000,19847000,17972000,29879000,26146000,9035000,9704000,6586000,6201000,6923000,7845000,10612000,10345000,10442000,11441000,11119000,14887000,-1178000,11080000
45,Total Non-Current Assets,- -,16800000,14715000,11500000,8754000,17095000,30863000,37183000,71405000,70709000,46536000,37817000,26208000,16539000,12258000,12387000,18035000,18757000,20426000,19994000,19811000,21894000,4494000,16787000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,44800000,38902000,33143000,34816000,60023000,98346000,122795000,152235000,152454000,124058000,102302000,81423000,58270000,47560000,56061000,67398000,68642000,71188000,76242000,62198000,62923000,46971000,59625000
48,Accounts Payable,- -,1900000,4309000,509000,1846000,2687000,2227000,5476000,3339000,3637000,5067000,11319000,5534000,4825000,4154000,4996000,4252000,2683000,5223000,6008000,6724000,3526000,4797000,3969000
49,Short-Term Debt,- -,700000,301000,315000,136000,16000,8000,23000,92000,110000,131000,- -,- -,- -,780000,- -,- -,713000,801000,815000,702000,2448000,76000,205000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4623000,- -,- -,- -,- -,- -,- -,2619000,1400000,342000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,2256000,3712000,2697000,4769000,3476000,2807000,1930000,1569000,1654000,6623000,11101000,8830000,8293000,8714000,5699000,4772000,5472000,4867000
52,Other Current Liabilities,- -,13700000,12288000,14897000,14549000,24035000,35412000,38302000,45908000,47652000,36842000,28553000,24776000,23482000,17633000,18439000,17655000,14153000,15664000,17908000,20489000,18146000,21642000,21057000
53,Total Current Liabilities,- -,16300000,16898000,15721000,16531000,26738000,39903000,47513000,52036000,56168000,45516000,42679000,32240000,29876000,24221000,30058000,33008000,26379000,29981000,33445000,33614000,28892000,31987000,30098000
54,Long-Term Debt,- -,300000,27000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,938000,- -,- -,1069000,567000,- -,883000,539000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,800000,1752000,380000,77000,- -,4000,1086000,7444000,5165000,6075000,3923000,1903000,1000,2000,- -,26000,24000,29000,1147000,3000,3000,- -,- -
57,Other Non-Current Liabilities,- -,100000,1500000,950000,158000,497000,2214000,3878000,3958000,4266000,3738000,4416000,6200000,6740000,2178000,2551000,2988000,2606000,1726000,1409000,2374000,6214000,7245000,5115000
58,Total Non-Current Liabilities,- -,1200000,3279000,1330000,235000,497000,2218000,4964000,11402000,9431000,9813000,8339000,8103000,6741000,3118000,2551000,3014000,3699000,2322000,2556000,3260000,6756000,7245000,5115000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14622000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,8000,32000,26000,- -,349000,261000,155000,1915000,2532000,2210000,1718000,1154000,1753000,1059000,618000,372000,147000,1885000,2272000,- -
61,Total Liabilities,- -,17500000,20177000,17051000,16766000,27235000,42121000,52477000,63438000,65599000,55329000,51018000,40343000,36617000,27339000,32609000,36022000,30078000,32303000,36001000,36874000,35648000,39364000,35213000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,10100000,2798000,-1407000,481000,9271000,21672000,42505000,66393000,62620000,44170000,25743000,15127000,-5532000,-6920000,-3746000,2750000,8589000,7331000,4190000,-2782000,-690000,2213000,7708000
65,Other Comprehensive Income/Loss,- -,-6200000,-9319000,-13006000,-15830000,-18717000,-18758000,-1000000,-2000000,-1000000,-1000000,-1000000,-1000000,-74243000,-677000,-1000000,-73065000,1000000,2000000,6000000,4000000,3757000,5150000,2342000
66,Other Total Stockholders Equity,- -,23400000,25243000,30502000,33396000,42231000,53308000,28810000,24401000,25232000,25556000,26538000,26950000,101428000,- -,28198000,101691000,28975000,29554000,30051000,24106000,- -,18609000,14362000
67,Total Stockholders Equity,- -,27300000,18725000,16092000,18050000,32788000,56225000,70318000,88797000,86855000,68729000,51284000,41080000,21653000,20221000,23452000,31376000,38564000,38885000,40241000,25324000,27275000,25972000,24412000
68,Total Liabilities And Stockholders Equity,- -,44800000,38902000,33143000,34816000,60023000,98346000,122795000,152235000,152454000,124058000,102302000,81423000,58270000,47560000,56061000,67398000,68642000,71188000,76242000,62198000,62923000,65336000,59625000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18365000,- -
70,Total Liabilities & Equity,- -,44800000,38902000,33143000,34816000,60023000,98346000,122795000,152235000,152454000,124058000,102302000,81423000,58270000,47560000,56061000,67398000,68642000,71188000,76242000,62198000,62923000,46971000,59625000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1056358/000093066100000838/0000930661-00-000838-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000093066101000914/0000930661-01-000914-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000114544302000054/0001145443-02-000054-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000093066103001374/0000930661-03-001374-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312504042259/0001193125-04-042259-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312505066816/0001193125-05-066816-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312506056564/0001193125-06-056564-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312507056895/0001193125-07-056895-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312508058789/0001193125-08-058789-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635809000023/0001056358-09-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635810000020/0001056358-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635811000007/0001056358-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635812000015/0001056358-12-000015-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1056358/000114036114013302/0001140361-14-013302-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000114036115011119/0001140361-15-011119-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000114036116057737/0001140361-16-057737-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635817000009/0001056358-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635818000026/0001056358-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635819000022/0001056358-19-000022-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1056358/000105635821000020/0001056358-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635822000020/0001056358-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10100000,10800000,-7349000,-3660000,1888000,8790000,19552000,28647000,32390000,6594000,-12628000,-17368000,-10616000,-20659000,-1388000,3174000,6496000,5839000,-586000,-1787000,-3886000,3289000,6261000,9842000
74,Depreciation and Amortization,2200000,3000000,3738000,3916000,3991000,3177000,3101000,3905000,4960000,10236000,12310000,12333000,11517000,10697000,4755000,2120000,1608000,1793000,1898000,1864000,2064000,2088000,1990000,- -
75,Deferred Income Tax,900000,-800000,298000,-1706000,219000,-2057000,156000,3087000,5360000,-2440000,-3062000,761000,-2044000,-380000,583000,-2079000,-1659000,154000,-1266000,2143000,1167000,1064000,-280000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636000,630000,356000,209000,173000,678000,592000,690000,490000,1145000,734000,334000,- -
77,Change in Working Capital,3600000,11700000,-4411000,-1367000,3609000,6659000,11390000,10519000,-9305000,-3217000,6429000,-10200000,1169000,-11120000,-774000,2535000,2739000,7151000,-2725000,2022000,-14030000,3364000,-1647000,2250000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-405000,197000,59000,-40000,-291000,-713000,-266000,-495000,-308000,-376000,-931000,561000,- -
79,Inventory,-1600000,-6400000,82000,3541000,2784000,-2433000,-5677000,-7163000,-4456000,-337000,-9512000,-1198000,4954000,2539000,1065000,10000,970000,605000,-3154000,2379000,-4145000,2051000,-2664000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6245000,-5785000,-730000,-646000,883000,-709000,-1562000,2553000,710000,716000,-3198000,1271000,- -
81,Other Working Capital,- -,11700000,7289000,5922000,9531000,16190000,27580000,38099000,28794000,25577000,32006000,21806000,22975000,11855000,11081000,13616000,16355000,23506000,20781000,22803000,8773000,12137000,10490000,12740000
82,Other Non-Cash Items,1400000,-19900000,3163000,10230000,-3000,3636000,-4339000,-3194000,6507000,6603000,-22937000,3528000,3339000,18232000,-4577000,2639000,-442000,-11143000,1966000,5266000,13318000,-5622000,-628000,-12092000
83,Cash Provided by Operating Activities,18200000,4800000,-4561000,7413000,9704000,20205000,29860000,42964000,39912000,17776000,-19888000,-10310000,3995000,-2874000,-1192000,8562000,9420000,4386000,-23000,9998000,-222000,4917000,6030000,- -
84,CAPEX,-4600000,-3200000,-4109000,-1316000,-983000,-892000,-7241000,-13114000,-26720000,-13409000,-5614000,-2797000,-1766000,-777000,-379000,-602000,-1534000,-1979000,-2286000,-1340000,-2338000,-1220000,-949000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-7079000,-276000,-8011000,1000,-7400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,2293000,1000,- -,- -,- -,- -,- -,12424000,20350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,-1400000,124000,124000,-306000,-11604000,1832000,-2258000,-955000,-6855000,-136000,1510000,3692000,154000,-225000,1000,9000,- -,1000,1000,62000,- -,2000,- -
89,Cash Used for Investing Activites,-4500000,-4600000,-1692000,-1191000,-1289000,-12496000,-12488000,-15648000,-35686000,-7839000,7200000,-1287000,1926000,-623000,-604000,-601000,-1525000,-1979000,-2285000,-1339000,-2276000,-1220000,-947000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-473000,-1387000,-1160000,-1074000,-1576000,-1540000,-1526000,-1551000,-1567000,-1540000,-1220000,-2872000,- -
91,Common Stock Issued,- -,600000,363000,897000,- -,2917000,3308000,799000,1050000,157000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-656000,- -,- -,- -,-6998000,-7000000,- -,- -,- -,- -,-5000,-3000,- -,- -,- -,-274000,-226000,-7543000,-294000,-5933000,- -
93,Dividends Paid,-9900000,-1300000,- -,- -,- -,- -,-5263000,-7563000,-8502000,-9522000,-5822000,-1059000,- -,- -,- -,- -,- -,- -,-672000,-1354000,-3086000,-1200000,-3358000,- -
94,Other Financing Activites,-3000000,11300000,221000,-2265000,-699000,-135000,-14000,-11000,419000,-7000,-115000,66000,28000,- -,- -,22000,116000,1668000,39000,83000,114000,- -,2244000,- -
95,Cash Used/Provided by Financing Activities,-12900000,10600000,584000,-2024000,-699000,2782000,-1969000,-13773000,-14033000,-9372000,-5937000,-1466000,-1359000,-1165000,-1077000,-1554000,-1424000,142000,-2458000,-3064000,-12055000,-2714000,-9919000,- -
96,Effect of Forex Changes on Cash,- -,- -,-171000,-8000,51000,107000,504000,-1534000,-699000,837000,2467000,-515000,-345000,1135000,-807000,-389000,1133000,1446000,1459000,3400000,-1624000,-567000,1333000,- -
97,Net Change In Cash,-12900000,10800000,-5840000,4190000,7767000,10598000,15907000,12009000,-10506000,1402000,-16158000,-13578000,4217000,-3527000,-3680000,6018000,7604000,3995000,-3307000,8995000,-16177000,416000,-3503000,-3312000
98,Cash at the End of Period,- -,11600000,5736000,9926000,17693000,28291000,44198000,56207000,45701000,47103000,30945000,17367000,21584000,18057000,14377000,20395000,27999000,31994000,28687000,37682000,30584000,31000000,27497000,24185000
99,Cash at the Beginning of Period,100000,800000,11576000,5736000,9926000,17693000,28291000,44198000,56207000,45701000,47103000,30945000,17367000,21584000,18057000,14377000,20395000,27999000,31994000,28687000,46761000,30584000,31000000,27497000
100,Free Cash Flow,13600000,1600000,-8670000,6097000,8721000,19313000,22619000,29850000,13192000,4367000,-25502000,-13107000,2229000,-3651000,-1571000,7960000,7886000,2407000,-2309000,8658000,-2560000,3697000,5081000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1056358/000093066100000838/0000930661-00-000838-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000093066101000914/0000930661-01-000914-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000114544302000054/0001145443-02-000054-index.html,https://www.sec.gov/Archives/edgar/data/1056358/000093066103001374/0000930661-03-001374-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312504042259/0001193125-04-042259-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312505066816/0001193125-05-066816-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312506056564/0001193125-06-056564-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312507056895/0001193125-07-056895-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000119312508058789/0001193125-08-058789-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635809000023/0001056358-09-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635810000020/0001056358-10-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635811000007/0001056358-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635812000015/0001056358-12-000015-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1056358/000114036114013302/0001140361-14-013302-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000114036115011119/0001140361-15-011119-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000114036116057737/0001140361-16-057737-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635817000009/0001056358-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635818000026/0001056358-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635819000022/0001056358-19-000022-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1056358/000105635821000020/0001056358-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1056358/000105635822000020/0001056358-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
