,https://roic.ai/company/PAAS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.1452,-0.0688,-0.0327,-0.1992,-0.2159,-1.5328,-0.2166,-0.7464,-0.1506,0.0214,-0.2336,0.2279,0.2952,0.0727,0.1363,0.1781,0.4121,0.0941,-0.5408,-0.7256,-0.3359,0.1292,0.1481,0.0131,0.0820,0.1329,0.0597
25,EPS,-0.07,-0.09,-0.04,-0.24,-0.20,-1.35,-0.22,-0.80,-0.20,0.14,-0.43,0.79,1.16,0.31,0.71,1.05,3.31,0.62,-2.94,-3.60,-1.49,0.66,0.79,0.07,0.55,0.85,0.46
26,EPS Diluted,-0.07,-0.09,-0.04,-0.24,-0.20,-1.35,-0.22,-0.80,-0.20,0.13,-0.43,0.76,1.12,0.30,0.71,1.05,3.29,0.55,-2.96,-3.60,-1.49,0.66,0.79,0.07,0.55,0.84,0.46
27,Weighted Average Shares Outstanding,12857143,21664154,21658327,24728000,29248013,33987958,36162815,41849413,51058212,63168995,67041967,73628000,76453000,80236000,87578000,106969000,106434000,140883000,151501000,151511000,151664000,152118000,153070000,153315000,201397000,210100000,210298000
28,Weighted Average Shares Outstanding Diluted,12857143,21664154,21658327,24728000,29248013,33987958,36162815,41849413,51058212,65268137,67041967,76152000,79174000,80773000,87751000,107575000,106655000,142442000,153430000,151511000,151664000,152504000,153353000,153522000,201571000,210300000,210435000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771992/000110465908021297/a08-9589_1ex1d2.htm,https://www.sec.gov/Archives/edgar/data/771992/000134100409000680/0001341004-09-000680-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100410000616/0001341004-10-000616-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100411000789/ex1-3.htm,https://www.sec.gov/Archives/edgar/data/771992/000110465912020212/0001104659-12-020212-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100413000363/0001341004-13-000363-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100414000258/ex1-3.htm,https://www.sec.gov/Archives/edgar/data/771992/000134100415000243/ex1_2.htm,https://www.sec.gov/Archives/edgar/data/771992/000127956916003005/0001279569-16-003005-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199217000031/0000771992-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199218000013/0000771992-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199219000023/0000771992-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199220000017/0000771992-20-000017-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,10078000,15898000,7544000,3331000,10185000,14192000,28345000,29291000,80347000,51915000,26789000,100474000,179921000,262901000,346208000,249937000,146193000,133963000,180881000,175953000,138510000,120564000,167113000,283550000
32,Short-Term Investments,- -,- -,- -,129000,- -,46000,513000,13000,74940000,69791000,26031000,91601000,55400000,3350000,92623000,180583000,228321000,196116000,172785000,184220000,92678000,36729000,51590000,74004000,117776000,111946000,51723000
33,Cash and Short-Term Investments,- -,- -,- -,10207000,15898000,7590000,3844000,10198000,89132000,98136000,55322000,171948000,107315000,30139000,193097000,360504000,491222000,542324000,422722000,330413000,226641000,217610000,227543000,212514000,238340000,279059000,335273000
34,Net Receivables,- -,- -,- -,4587000,4700000,3627000,6037000,4598000,7545000,25757000,27342000,65971000,68600000,51067000,78191000,66980000,98376000,132139000,131202000,143270000,114414000,147577000,112410000,109199000,185962000,149807000,148432000
35,Inventory,- -,- -,- -,4910000,4631000,4413000,4655000,4637000,6613000,10674000,16667000,22216000,51737000,72650000,93446000,106854000,135696000,270089000,284352000,252549000,204361000,237329000,218715000,214465000,346507000,406191000,500462000
36,Other Current Assets,- -,- -,- -,1679000,1590000,3465000,6534000,3197000,1288000,1684000,2798000,9962000,17266000,20507000,7721000,14692000,16942000,30715000,33388000,4464000,6748000,10337000,36802000,12196000,18110000,21867000,17002000
37,Total Current Assets,- -,- -,- -,21383000,26819000,19095000,21070000,22630000,104578000,136251000,102129000,270097000,244918000,174363000,372455000,549030000,742236000,975267000,871664000,730696000,552164000,612853000,595470000,548374000,788919000,856924000,1001169000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2415006000,2344551000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211292000,7134000,3057000,3057000,3057000,3057000,3057000,3057000,4171000,2775000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211292000,7134000,3057000,3057000,3057000,3057000,3057000,3057000,4171000,2775000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123000000,188000000,- -,840000,- -,1618000,- -,1450000,1450000,1450000,1450000,49734000,55017000,70566000,84319000,71560000,78657000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,1251000,4170000,1450000,165000,2584000,3730000,1727000,2679000,12244000,36447000,57850000,55953000
44,Other Non-Current Assets,- -,- -,- -,49289000,81008000,63992000,70447000,72336000,175313000,233828000,137151000,221398000,517985000,698180000,1476154000,1520709000,1205390000,2198520000,1887043000,1280086000,1154636000,1230770000,1337109000,1303235000,2548940000,28364000,35479000
45,Total Non-Current Assets,- -,- -,- -,49289000,81008000,63992000,70447000,72336000,175313000,233828000,260151000,409898000,517985000,699020000,1476154000,1523578000,1209560000,2412712000,1895792000,1287177000,1162873000,1285288000,1397862000,1389102000,2672763000,2576951000,2517415000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,70672000,107827000,83087000,91517000,94966000,279891000,370079000,362280000,679995000,762903000,873383000,1848609000,2072608000,1951796000,3387979000,2767456000,2017873000,1715037000,1898141000,1993332000,1937476000,3461682000,3433875000,3518584000
48,Accounts Payable,- -,- -,- -,5620000,10022000,9475000,12283000,15227000,8782000,20331000,22333000,40095000,29144000,21619000,96159000,81230000,30879000,56059000,51590000,52985000,53570000,45344000,47138000,52201000,66924000,80280000,77461000
49,Short-Term Debt,- -,- -,- -,- -,- -,7276000,1390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20095000,52397000,19578000,- -,3000000,- -,- -,3000000,14063000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91471000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,643000,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,452000,70000,573000,6827000,4874000,13867000,1265000,5033000,25386000,29437000,57662000,4021000,34011000,144927000,140539000,110947000,102659000,86792000,138942000,134576000,98327000,204746000,278476000,296151000
53,Total Current Liabilities,- -,- -,- -,6072000,10092000,17324000,21143000,20231000,22649000,21596000,27366000,65481000,58581000,79281000,100180000,115241000,175806000,196598000,182632000,208041000,159940000,184286000,184714000,150528000,271670000,361756000,387675000
54,Long-Term Debt,- -,- -,- -,2132000,- -,4987000,5010000,3942000,10803000,- -,- -,- -,- -,- -,20788000,- -,- -,41134000,34302000,- -,36200000,36200000,- -,- -,275000000,- -,31798000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11561000,12017000,13288000,12542000,13273000,12516000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,19036000,33212000,32396000,48499000,48698000,45392000,305820000,331228000,54919000,321630000,285947000,160072000,142127000,170863000,171228000,148819000,176808000,175311000,184785000
57,Other Non-Current Liabilities,- -,- -,- -,775000,2833000,3232000,6487000,15301000,43300000,33688000,41398000,44309000,50521000,57323000,62775000,98077000,118984000,101888000,75786000,79823000,78154000,96227000,104322000,111492000,257816000,277696000,265802000
58,Total Non-Current Liabilities,- -,- -,- -,2907000,2833000,8219000,11497000,19243000,73139000,66900000,73794000,92808000,99219000,102715000,389383000,429305000,173903000,464652000,396035000,239895000,256481000,314851000,287567000,273599000,722166000,466280000,494901000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1763000,2639000,134000,223000,- -,1505000,1897000,- -,- -,31665000,36850000,10154000,8037000,3997000,7101000,7559000,6676000,41208000,33565000,30561000
61,Total Liabilities,- -,- -,- -,8979000,12925000,25543000,32640000,39474000,95788000,88496000,101160000,158289000,157800000,181996000,489563000,544546000,349709000,661250000,578667000,447936000,416421000,499137000,472281000,424127000,993836000,828036000,882576000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300517000,2295208000,2296672000,2298390000,2303978000,2318252000,2321498000,3123514000,3132140000,3136214000
64,Retained Earnings,- -,- -,- -,-13178000,-19008000,-64889000,-72966000,-106624000,-120546000,-111976000,-145387000,-87228000,1632000,26234000,88232000,192779000,339821000,397360000,-133847000,-755186000,-1023539000,-931060000,-825470000,-836067000,-754689000,-623030000,-598035000
65,Other Comprehensive Income/Loss,- -,- -,- -,-7687000,-9815000,-10320000,-14394000,-32720000,-38659000,-48551000,-41287000,-57588000,-91832000,-124259000,-212423000,-300348000,-378091000,-598902000,-1071347000,-1816608000,-2097153000,-2246946000,-2302367000,-2409843000,-2676428000,-3037659000,- -
66,Other Total Stockholders Equity,- -,- -,- -,82558000,123725000,132753000,146237000,194836000,343308000,440731000,443996000,656842000,689817000,783666000,1467981000,1627857000,1632109000,620426000,1092320000,1838214000,2119524000,2270326000,2326435000,2432624000,2770702000,3131068000,93375000
67,Total Stockholders Equity,- -,- -,- -,61693000,94902000,57544000,58877000,55492000,184103000,280204000,257322000,512026000,599617000,685641000,1343790000,1520288000,1593839000,2719401000,2182334000,1563092000,1297222000,1396298000,1516850000,1508212000,2463099000,2602519000,2631554000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,70672000,107827000,83087000,91517000,94966000,279891000,368700000,358482000,670315000,757417000,867637000,1833353000,2064834000,1943548000,3380651000,2761001000,2011028000,1713643000,1895435000,1989131000,1932339000,3456935000,3430555000,3514130000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1379000,3798000,9680000,5486000,5746000,15256000,7774000,8248000,7328000,6455000,6845000,1394000,2706000,4201000,5137000,4747000,3320000,4454000
70,Total Liabilities & Equity,- -,- -,- -,70672000,107827000,83087000,91517000,94966000,279891000,370079000,362280000,679995000,762903000,873383000,1848609000,2072608000,1951796000,3387979000,2767456000,2017873000,1715037000,1898141000,1993332000,1937476000,3461682000,3433875000,3518584000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771992/000110465908021297/a08-9589_1ex1d2.htm,https://www.sec.gov/Archives/edgar/data/771992/000134100409000680/0001341004-09-000680-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100410000616/0001341004-10-000616-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100411000789/ex1-3.htm,https://www.sec.gov/Archives/edgar/data/771992/000110465912020212/0001104659-12-020212-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100413000363/0001341004-13-000363-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100414000258/ex1-3.htm,https://www.sec.gov/Archives/edgar/data/771992/000134100415000243/ex1_2.htm,https://www.sec.gov/Archives/edgar/data/771992/000127956916003005/0001279569-16-003005-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199217000031/0000771992-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199218000013/0000771992-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199219000023/0000771992-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199220000017/0000771992-20-000017-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1897000,-909000,-6008000,-5806000,-45878000,-8077000,-33658000,-6794000,19902000,-28594000,58206000,88860000,24602000,61998000,112573000,352494000,87359000,-445851000,-545588000,-226650000,100085000,120991000,10294000,110738000,177882000,97428000
74,Depreciation and Amortization,- -,1240000,1959000,2003000,2281000,2509000,4312000,4872000,3325000,10869000,13095000,17520000,28992000,46349000,83169000,86483000,82756000,108153000,135913000,147710000,150845000,115955000,122888000,147289000,253453000,272444000,302958000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-816000,-3343000,-1448000,3210000,2113000,17227000,7771000,93822000,16757000,-92494000,-4199000,74446000,59034000,21147000,71268000,75557000,146429000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2223000,2382000,4028000,3502000,4142000,2173000,2529000,2569000,3826000,3077000,2957000,4448000,3024000,5128000
77,Change in Working Capital,- -,-1678000,- -,- -,- -,- -,- -,- -,-5021000,-9083000,-3371000,-2889000,-38578000,-6947000,-35690000,23947000,-39435000,-22224000,-1673000,11597000,19840000,-5545000,11709000,-4261000,-27944000,96982000,-71069000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9047000,-26772000,-2905000,-8595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,1095000,- -,- -,- -,- -,- -,- -,-1975000,2652000,-4838000,-3864000,-26939000,-21175000,-15162000,-12097000,-28416000,-30804000,-12045000,11267000,23412000,19527000,10898000,-12128000,22753000,-14623000,-82885000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2256000,253000,-1659000,-3304000,-2225000,-5994000,-8514000,-8320000,-4622000,-2402000,-4445000
82,Other Non-Cash Items,- -,584000,839000,-582000,207000,43984000,1679000,28044000,4664000,-18555000,30449000,-3596000,-10465000,23548000,1996000,-2002000,-47633000,-77947000,412287000,600434000,146287000,-73963000,-93140000,-22448000,-129935000,-163574000,-88766000
83,Cash Provided by Operating Activities,- -,-1751000,1889000,-4587000,-3318000,615000,-2086000,-742000,-3826000,3133000,10763000,65898000,67361000,92985000,115968000,242256000,359455000,193305000,119606000,124188000,88692000,214804000,224559000,154978000,282028000,462315000,392108000
84,CAPEX,- -,-6202000,-14060000,-21512000,-29998000,-18892000,-6683000,-9780000,-17513000,-17043000,-59638000,-96999000,-117170000,-243800000,-52751000,-83370000,-123579000,-159915000,-159401000,-131761000,-146735000,-202661000,-162451000,-151848000,-207352000,-178556000,-243478000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,1000000,- -,- -,87000000,- -,- -,- -,- -,- -,- -,-247000000,- -,- -
86,Purchases of Investments,- -,- -,-70000,- -,- -,-13000,- -,-1158000,-74609000,- -,- -,-65570000,- -,- -,-80136000,-80162000,-51071000,- -,- -,-13524000,- -,-4965000,-14571000,-25554000,- -,-2594000,- -
87,Sales/Maturities of Investments,- -,- -,280000,7171000,- -,- -,256000,- -,- -,5147000,44100000,- -,24931000,62779000,- -,- -,- -,30383000,19920000,- -,93807000,56870000,- -,2449000,42396000,90384000,11018000
88,Other Investing Activites,- -,-2627000,70000,-65000,69000,-59000,-105000,- -,887000,-12467000,50000,1832000,-1250000,12199000,-14455000,-2585000,-2618000,3209000,14133000,2039000,536000,10859000,-799000,15781000,9788000,6848000,45798000
89,Cash Used for Investing Activites,- -,-8829000,-13780000,-14406000,-29929000,-18964000,-6532000,-10938000,-91235000,-24363000,-15488000,-160737000,-99489000,-168822000,-146342000,-166117000,-177268000,-39323000,-125348000,-143246000,-52392000,-139897000,-177821000,-159172000,-402168000,-83918000,-186662000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5630000,- -,-6213000,-30238000,-7785000,-43766000,-22583000,-40742000,-7911000,-204270000,-368101000,-14096000
91,Common Stock Issued,- -,27583000,979000,4328000,41610000,- -,9789000,22821000,8350000,62437000,6361000,153611000,5164000,50843000,103909000,11887000,4453000,3195000,- -,3000,- -,2399000,2606000,1081000,2781000,4737000,619000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-340000,- -,- -,- -,- -,- -,- -,- -,-5592000,- -,-94033000,-41749000,-6740000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2347000,-2626000,- -,-9018000,-10732000,-24919000,-75755000,-75751000,-41703000,-7606000,-15314000,-21284000,-29332000,-46223000,-71500000
94,Other Financing Activites,- -,- -,- -,- -,-2626000,10043000,-5044000,-4287000,90717000,-27053000,-690000,-7717000,879000,2494000,5742000,5360000,903000,-1074000,22571000,-375000,37633000,-428000,1948000,-5020000,334076000,80000000,-933000
95,Cash Used/Provided by Financing Activities,- -,27583000,979000,4328000,38984000,10043000,4405000,18534000,99067000,35384000,5671000,145894000,3696000,50711000,104059000,2599000,-99409000,-70760000,-90162000,-83908000,-47836000,-28218000,-51502000,-33134000,103255000,-329587000,-85910000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,709000,202000,85000,-367000,-778000,-694000,229000,-164000,-115000,-1061000,-2261000,-3099000
97,Net Change In Cash,- -,17002000,-10982000,-14793000,5806000,-8306000,-4213000,6854000,4007000,14154000,946000,51056000,-28432000,-25126000,73685000,79447000,82980000,83307000,-96271000,-103744000,-12230000,46918000,-4928000,-37443000,-17946000,46549000,116437000
98,Cash at the End of Period,- -,42760000,31827000,10078000,15898000,7544000,3331000,10185000,14192000,28345000,29291000,80347000,51915000,26789000,100474000,179921000,262901000,346208000,249937000,146193000,133963000,180881000,175953000,138510000,120564000,167113000,283550000
99,Cash at the Beginning of Period,- -,25758000,42809000,24871000,10092000,15850000,7544000,3331000,10185000,14191000,28345000,29291000,80347000,51915000,26789000,100474000,179921000,262901000,346208000,249937000,146193000,133963000,180881000,175953000,138510000,120564000,167113000
100,Free Cash Flow,- -,-7953000,-12171000,-26099000,-33316000,-18277000,-8769000,-10522000,-21339000,-13910000,-48875000,-31101000,-49809000,-150815000,63217000,158886000,235876000,33390000,-39795000,-7573000,-58043000,12143000,62108000,3130000,74676000,283759000,148630000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771992/000110465908021297/a08-9589_1ex1d2.htm,https://www.sec.gov/Archives/edgar/data/771992/000134100409000680/0001341004-09-000680-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100410000616/0001341004-10-000616-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100411000789/ex1-3.htm,https://www.sec.gov/Archives/edgar/data/771992/000110465912020212/0001104659-12-020212-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100413000363/0001341004-13-000363-index.html,https://www.sec.gov/Archives/edgar/data/771992/000134100414000258/ex1-3.htm,https://www.sec.gov/Archives/edgar/data/771992/000134100415000243/ex1_2.htm,https://www.sec.gov/Archives/edgar/data/771992/000127956916003005/0001279569-16-003005-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199217000031/0000771992-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199218000013/0000771992-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199219000023/0000771992-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/771992/000077199220000017/0000771992-20-000017-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
