,https://roic.ai/company/MAR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,8437000000,- -,326000000,120000000,263000000,- -,359000000,607000000,753000000,677000000,740000000,- -,810000000,780000000,1094000000,645000000,726000000,807000000,773000000,872000000,1184000000,1153000000,1279000000,1108000000,1043000000
11,COGS and Expenses,8437000000,- -,8073000000,9215000000,9719000000,- -,7994000000,9622000000,10995000000,11149000000,11774000000,- -,12066000000,10996000000,11809000000,10874000000,11796000000,12637000000,13136000000,15318000000,20376000000,18237000000,19034000000,10220000000,12099000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,14000000,17000000,23000000,30000000,29000000,35000000,38000000,22000000,26000000,27000000,28000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000000,164000000,137000000,120000000,115000000,167000000,234000000,288000000,340000000,394000000,445000000,420000000
14,Depreciation and Amortization,126000000,- -,162000000,195000000,222000000,- -,187000000,166000000,184000000,188000000,197000000,- -,190000000,178000000,168000000,145000000,127000000,148000000,139000000,168000000,290000000,284000000,403000000,478000000,295000000
15,EBITDA,657000000,- -,799000000,952000000,592000000,- -,432000000,862000000,759000000,510000000,452000000,- -,202000000,909000000,688000000,1131000000,1144000000,1351000000,1561000000,1586000000,3414000000,2969000000,2396000000,457000000,1895000000
16,EBITDA ratio,0.0726,- -,0.0914,0.0950,0.0583,- -,0.0512,0.0854,0.0657,0.0419,0.0348,- -,0.0157,0.0778,0.0559,0.0957,0.0895,0.0979,0.1078,0.0929,0.1491,0.1430,0.1142,0.0432,0.1368
17,Operating Income,609000000,- -,666000000,802000000,385000000,- -,435000000,477000000,555000000,1011000000,1188000000,- -,785000000,695000000,526000000,940000000,988000000,1159000000,1350000000,1368000000,2359000000,2366000000,1800000000,84000000,1750000000
18,Operating Income ratio,0.0673,- -,0.0762,0.0801,0.0379,- -,0.0515,0.0472,0.0481,0.0831,0.0915,- -,0.0610,0.0594,0.0427,0.0796,0.0773,0.0840,0.0932,0.0801,0.1030,0.1140,0.0858,0.0079,0.1263
19,Total Other Income Expenses (Gains),-78000000,- -,-29000000,-45000000,-15000000,- -,36000000,177000000,162000000,-14000000,-51000000,- -,-91000000,-144000000,-170000000,-91000000,-91000000,-71000000,-95000000,-184000000,477000000,-21000000,-201000000,-550000000,-570000000
20,Income Before Tax,531000000,- -,637000000,757000000,370000000,- -,471000000,654000000,717000000,997000000,1137000000,- -,694000000,551000000,356000000,849000000,897000000,1088000000,1255000000,1184000000,2836000000,2345000000,1599000000,-466000000,1180000000
21,Income Before Tax Ratio,0.0587,- -,0.0729,0.0756,0.0364,- -,0.0558,0.0648,0.0621,0.0820,0.0875,- -,0.0539,0.0471,0.0289,0.0719,0.0702,0.0789,0.0866,0.0694,0.1239,0.1130,0.0762,-0.0441,0.0852
22,Income Tax expense (Gain),207000000,- -,237000000,278000000,134000000,- -,-32000000,100000000,-94000000,-286000000,-441000000,- -,-350000000,93000000,158000000,278000000,271000000,335000000,396000000,404000000,1464000000,438000000,326000000,-199000000,81000000
23,Net Income,324000000,- -,400000000,479000000,236000000,- -,277000000,596000000,669000000,608000000,696000000,- -,362000000,458000000,198000000,571000000,626000000,753000000,859000000,780000000,1372000000,1907000000,1273000000,-267000000,1099000000
24,Net Income ratio,0.0358,- -,0.0458,0.0478,0.0232,- -,0.0328,0.0590,0.0579,0.0500,0.0536,- -,0.0281,0.0392,0.0161,0.0483,0.0490,0.0546,0.0593,0.0457,0.0599,0.0919,0.0607,-0.0253,0.0793
25,EPS,0.63,- -,0.80,0.98,0.48,- -,0.57,1.30,1.53,1.48,1.83,- -,1.02,1.26,0.56,1.77,2.05,2.60,3.22,2.68,3.89,5.73,3.83,-0.82,3.36
26,EPS Diluted,0.59,- -,0.75,0.93,0.46,- -,0.54,1.23,1.43,1.39,1.73,- -,0.98,1.21,0.55,1.72,2.00,2.54,3.15,2.64,3.84,5.73,3.80,-0.82,3.34
27,Weighted Average Shares Outstanding,515812867,- -,499224464,486668592,491916230,- -,487004317,458185556,437742305,409763440,380328086,- -,355645012,362800000,350100000,322600000,305000000,289900000,267300000,290900000,375200000,332700000,332700000,325800000,327200000
28,Weighted Average Shares Outstanding Diluted,550489363,- -,535591809,512418253,518650807,- -,509140877,485898392,468035891,435918553,402061120,- -,355645012,378300000,362300000,332900000,305000000,296800000,272800000,295700000,379900000,332700000,335500000,325800000,329300000
29,SEC Link,- -,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000092838500000655/0000928385-00-000655-index.html,- -,https://www.sec.gov/Archives/edgar/data/1048286/000092838502000921/0000928385-02-000921-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000092838503000294/0000928385-03-000294-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312505034535/0001193125-05-034535-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312506036627/0001193125-06-036627-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312507035757/0001193125-07-035757-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312508032582/0001193125-08-032582-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000119312509027236/0001193125-09-027236-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312511039869/0001193125-11-039869-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530512000342/0001445305-12-000342-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530513000255/0001445305-13-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530514000495/0001445305-14-000495-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828015000842/0001628280-15-000842-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828016011346/0001628280-16-011346-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828017001506/0001628280-17-001506-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828018001756/0001628280-18-001756-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828019002337/0001628280-19-002337-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828020002376/0001628280-20-002376-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828021002433/0001628280-21-002433-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828022002666/0001628280-22-002666-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,489000000,334000000,817000000,- -,198000000,770000000,203000000,193000000,332000000,- -,134000000,505000000,102000000,88000000,126000000,104000000,96000000,858000000,383000000,316000000,225000000,877000000,1393000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,493000000,- -,-216000000,-95000000,343000000,- -,346000000,- -,265000000,216000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,489000000,334000000,817000000,- -,691000000,770000000,-13000000,98000000,675000000,- -,480000000,505000000,367000000,304000000,126000000,104000000,96000000,858000000,383000000,316000000,225000000,877000000,1393000000
34,Net Receivables,- -,- -,740000000,728000000,611000000,- -,524000000,797000000,837000000,1117000000,1148000000,- -,898000000,938000000,875000000,1028000000,1081000000,1100000000,1103000000,1695000000,1991000000,2133000000,2395000000,1768000000,1982000000
35,Inventory,- -,- -,93000000,97000000,96000000,- -,- -,- -,- -,1208000000,1557000000,- -,1981000000,1489000000,11000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,278000000,256000000,606000000,- -,529000000,379000000,1186000000,891000000,192000000,- -,9000000,450000000,71000000,133000000,696000000,717000000,185000000,818000000,373000000,257000000,507000000,180000000,251000000
37,Total Current Assets,- -,- -,1600000000,1415000000,2130000000,- -,1744000000,1946000000,2010000000,3314000000,3572000000,- -,3368000000,3382000000,1324000000,1475000000,1903000000,1921000000,1384000000,3371000000,2747000000,2706000000,3127000000,2825000000,3626000000
38,PP&E,- -,- -,2845000000,3241000000,2930000000,- -,2589000000,2389000000,2341000000,1238000000,1329000000,- -,1443000000,1307000000,1168000000,1539000000,1543000000,1460000000,1029000000,2335000000,1793000000,1956000000,2792000000,2266000000,2565000000
39,Goodwill,- -,- -,- -,- -,- -,- -,923000000,- -,924000000,921000000,921000000,- -,875000000,875000000,875000000,874000000,874000000,894000000,943000000,7598000000,9207000000,9039000000,9048000000,9175000000,9073000000
40,Intangible Assets,- -,- -,1820000000,1833000000,1764000000,- -,495000000,1436000000,466000000,575000000,635000000,- -,710000000,768000000,846000000,1115000000,1131000000,1351000000,1451000000,9270000000,8805000000,8380000000,8641000000,8989000000,8926000000
41,Intangible Assets,- -,- -,1820000000,1833000000,1764000000,- -,1418000000,1436000000,1390000000,1496000000,1556000000,- -,1585000000,1643000000,1721000000,1989000000,2005000000,2245000000,2394000000,16868000000,18012000000,17419000000,17689000000,18164000000,17999000000
42,Investments,- -,- -,- -,747000000,823000000,- -,- -,- -,- -,- -,- -,- -,- -,250000000,265000000,216000000,222000000,224000000,165000000,728000000,740000000,732000000,577000000,422000000,387000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,397000000,- -,- -,- -,- -,- -,932000000,- -,- -,647000000,530000000,672000000,116000000,93000000,171000000,154000000,249000000,228000000
44,Other Non-Current Assets,- -,- -,1059000000,1001000000,1460000000,- -,2545000000,2500000000,2789000000,2540000000,2485000000,- -,2507000000,1469000000,1432000000,1123000000,474000000,485000000,438000000,722000000,563000000,712000000,712000000,775000000,748000000
45,Total Non-Current Assets,- -,- -,5724000000,6822000000,6977000000,- -,6552000000,6722000000,6520000000,5274000000,5370000000,- -,5535000000,5601000000,4586000000,4867000000,4891000000,4944000000,4698000000,20769000000,21201000000,20990000000,21924000000,21876000000,21927000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,7324000000,8237000000,9107000000,- -,8296000000,8668000000,8530000000,8588000000,8942000000,- -,8903000000,8983000000,5910000000,6342000000,6794000000,6865000000,6082000000,24140000000,23948000000,23696000000,25051000000,24701000000,25553000000
48,Accounts Payable,- -,- -,628000000,660000000,697000000,- -,529000000,570000000,591000000,658000000,789000000,- -,704000000,634000000,548000000,569000000,557000000,605000000,593000000,687000000,780000000,767000000,720000000,527000000,726000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,102000000,489000000,499000000,-188000000,- -,- -,- -,138000000,-331000000,-501000000,6000000,324000000,300000000,309000000,398000000,833000000,977000000,1173000000,805000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,101000000,- -,70000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1115000000,1257000000,1105000000,- -,1576000000,1297000000,902000000,1874000000,1986000000,- -,1759000000,1729000000,2341000000,2705000000,2112000000,2131000000,2340000000,4151000000,4832000000,4837000000,4980000000,4052000000,4876000000
53,Total Current Liabilities,- -,- -,1743000000,1917000000,1802000000,- -,2207000000,2356000000,1992000000,2522000000,2876000000,- -,2533000000,2501000000,2558000000,2773000000,2675000000,3060000000,3233000000,5147000000,6010000000,6437000000,6677000000,5752000000,6407000000
54,Long-Term Debt,- -,- -,1676000000,2016000000,2815000000,- -,1553000000,836000000,1681000000,1818000000,2790000000,- -,2975000000,2691000000,1816000000,2528000000,3147000000,3457000000,3807000000,8197000000,7840000000,8514000000,9963000000,10026000000,10431000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,731000000,840000000,1542000000,1181000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282000000,280000000,- -,- -,- -,1020000000,604000000,485000000,290000000,83000000,169000000
57,Other Non-Current Liabilities,- -,- -,997000000,1037000000,1012000000,- -,963000000,1383000000,1605000000,1630000000,1847000000,- -,2015000000,2206000000,2035000000,2046000000,2387000000,2548000000,2632000000,4419000000,5763000000,5304000000,6578000000,6868000000,5951000000
58,Total Non-Current Liabilities,- -,- -,2673000000,3053000000,3827000000,- -,2516000000,2219000000,3286000000,3448000000,4637000000,- -,4990000000,4897000000,4133000000,4854000000,5534000000,6005000000,6439000000,13636000000,14207000000,15034000000,17671000000,18519000000,17732000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,882000000,823000000,1098000000
61,Total Liabilities,- -,- -,4416000000,4970000000,5629000000,- -,4723000000,4575000000,5278000000,5970000000,7513000000,- -,7523000000,7398000000,6691000000,7627000000,8209000000,9065000000,9672000000,18783000000,20217000000,21471000000,24348000000,24271000000,24139000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000000,3000000,3000000,- -,3000000,3000000,3000000,5000000,5000000,- -,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
64,Retained Earnings,- -,- -,508000000,851000000,941000000,- -,1126000000,1951000000,2500000000,2860000000,3332000000,- -,3565000000,3286000000,3212000000,3509000000,3837000000,4286000000,4878000000,6501000000,7391000000,8982000000,9644000000,9206000000,10305000000
65,Other Comprehensive Income/Loss,- -,- -,-427000000,-88000000,-100000000,- -,-140000000,-681000000,-11000000,44000000,51000000,- -,13000000,-2000000,-48000000,-44000000,-44000000,-70000000,-196000000,-497000000,-17000000,-391000000,-361000000,-135000000,-342000000
66,Other Total Stockholders Equity,- -,- -,2824000000,2501000000,2634000000,- -,2584000000,2808000000,760000000,-291000000,-1959000000,- -,-2203000000,-1704000000,-3950000000,-4755000000,-5213000000,-6421000000,-8277000000,-652000000,-3648000000,-6371000000,-8585000000,-8646000000,- -
67,Total Stockholders Equity,- -,- -,2908000000,3267000000,3478000000,- -,3573000000,4081000000,3252000000,2618000000,1429000000,- -,1380000000,1585000000,-781000000,-1285000000,-1415000000,-2200000000,-3590000000,5357000000,3731000000,2225000000,703000000,430000000,1414000000
68,Total Liabilities And Stockholders Equity,- -,- -,7324000000,8237000000,9107000000,- -,8296000000,8656000000,8530000000,8588000000,8942000000,- -,8903000000,8983000000,5910000000,6342000000,6794000000,6865000000,6082000000,24140000000,23948000000,23696000000,25051000000,24701000000,25553000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,7324000000,8237000000,9107000000,- -,8296000000,8668000000,8530000000,8588000000,8942000000,- -,8903000000,8983000000,5910000000,6342000000,6794000000,6865000000,6082000000,24140000000,23948000000,23696000000,25051000000,24701000000,25553000000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000092838500000655/0000928385-00-000655-index.html,- -,https://www.sec.gov/Archives/edgar/data/1048286/000092838502000921/0000928385-02-000921-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000092838503000294/0000928385-03-000294-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312505034535/0001193125-05-034535-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312506036627/0001193125-06-036627-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312507035757/0001193125-07-035757-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312508032582/0001193125-08-032582-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000119312509027236/0001193125-09-027236-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312511039869/0001193125-11-039869-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530512000342/0001445305-12-000342-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530513000255/0001445305-13-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530514000495/0001445305-14-000495-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828015000842/0001628280-15-000842-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828016011346/0001628280-16-011346-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828017001506/0001628280-17-001506-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828018001756/0001628280-18-001756-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828019002337/0001628280-19-002337-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828020002376/0001628280-20-002376-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828021002433/0001628280-21-002433-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828022002666/0001628280-22-002666-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,324000000,- -,400000000,479000000,236000000,- -,277000000,596000000,669000000,608000000,696000000,- -,362000000,458000000,198000000,571000000,626000000,753000000,859000000,780000000,1372000000,1907000000,1273000000,-267000000,1099000000
74,Depreciation and Amortization,126000000,- -,162000000,195000000,222000000,- -,187000000,166000000,184000000,188000000,197000000,- -,190000000,178000000,168000000,145000000,127000000,148000000,139000000,168000000,290000000,284000000,403000000,478000000,295000000
75,Deferred Income Tax,- -,- -,87000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000000,224000000,73000000,71000000,143000000,76000000,828000000,-239000000,-200000000,-478000000,-281000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000000,113000000,212000000,181000000,184000000,187000000,201000000,182000000
77,Change in Working Capital,39000000,- -,-64000000,-359000000,830000000,- -,-791000000,125000000,428000000,774000000,-96000000,- -,139000000,317000000,-2115000000,-64000000,526000000,-367000000,-710000000,73000000,-1487000000,-468000000,181000000,623000000,110000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-17000000,-4000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-143000000,-502000000,328000000,- -,-463000000,-410000000,18000000,792000000,696000000,- -,835000000,881000000,-1234000000,-1298000000,-772000000,-1139000000,-1849000000,-1776000000,-3263000000,-3731000000,-3550000000,-2927000000,- -
82,Other Non-Cash Items,32000000,- -,126000000,535000000,-888000000,- -,843000000,4000000,-444000000,-600000000,-19000000,- -,-50000000,198000000,2725000000,113000000,-212000000,510000000,886000000,273000000,1252000000,689000000,-159000000,1082000000,-228000000
83,Cash Provided by Operating Activities,521000000,- -,711000000,850000000,400000000,- -,516000000,891000000,837000000,970000000,778000000,- -,641000000,1151000000,1089000000,989000000,1140000000,1224000000,1430000000,1582000000,2436000000,2357000000,1685000000,1639000000,1177000000
84,CAPEX,-520000000,- -,-990000000,-1095000000,-560000000,- -,-292000000,-181000000,-780000000,-529000000,-671000000,- -,-357000000,-363000000,-257000000,-690000000,-404000000,-411000000,-305000000,-199000000,-240000000,-556000000,-653000000,-135000000,-183000000
85,Acquisitions Net,-859000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,20000000,65000000,-77000000,180000000,408000000,-2274000000,1229000000,479000000,395000000,260000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-231000000,-122000000,-40000000,- -,-25000000,-29000000,-83000000,-32000000,-65000000,- -,-7000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,- -,22000000,- -,- -,155000000,- -,- -,121000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-189000000,- -,203000000,69000000,79000000,- -,609000000,468000000,881000000,770000000,793000000,- -,-123000000,-349000000,-184000000,-773000000,-377000000,-493000000,-155000000,-135000000,-209000000,-531000000,-679000000,-225000000,-187000000
89,Cash Used for Investing Activites,-1048000000,- -,-787000000,-1026000000,-481000000,- -,317000000,287000000,-130000000,119000000,125000000,- -,-483000000,-264000000,-247000000,-585000000,-519000000,-313000000,367000000,-2409000000,1020000000,-52000000,-284000000,35000000,-187000000
90,Debt Repayment,-15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-810000000,-264000000,-370000000,-407000000,-7000000,-325000000,-326000000,-310000000,-397000000,-835000000,-4177000000,-2174000000
91,Common Stock Issued,- -,- -,43000000,58000000,76000000,- -,35000000,206000000,125000000,378000000,203000000,- -,51000000,198000000,124000000,179000000,199000000,178000000,40000000,34000000,6000000,4000000,7000000,- -,2000000
92,Common Stock Repurchased,- -,- -,-354000000,-340000000,-235000000,- -,-252000000,-664000000,-1644000000,-1546000000,-1757000000,- -,-434000000,-57000000,-1425000000,-1145000000,-834000000,-1510000000,-1917000000,-568000000,-3013000000,-2850000000,-2260000000,-150000000,- -
93,Dividends Paid,- -,- -,-52000000,-55000000,-61000000,- -,-65000000,-73000000,-84000000,-93000000,-105000000,- -,-115000000,-43000000,-134000000,-191000000,-196000000,-223000000,-253000000,-374000000,-482000000,-543000000,-612000000,-156000000,- -
94,Other Financing Activites,592000000,- -,538000000,358000000,784000000,- -,-1165000000,-106000000,329000000,162000000,897000000,- -,142000000,215000000,454000000,1109000000,655000000,629000000,650000000,2823000000,-132000000,1412000000,2192000000,3450000000,1709000000
95,Cash Used/Provided by Financing Activities,577000000,- -,175000000,21000000,564000000,- -,-1447000000,-637000000,-1274000000,-1099000000,-762000000,- -,-356000000,-497000000,-1245000000,-418000000,-583000000,-933000000,-1805000000,1589000000,-3931000000,-2374000000,-1508000000,-1033000000,-463000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,50000000,- -,99000000,-155000000,483000000,- -,-614000000,541000000,-567000000,-10000000,141000000,- -,-198000000,390000000,-403000000,-14000000,38000000,-22000000,-8000000,762000000,-475000000,-69000000,-107000000,641000000,527000000
98,Cash at the End of Period,289000000,- -,489000000,334000000,817000000,- -,198000000,770000000,203000000,193000000,332000000,- -,134000000,505000000,102000000,88000000,126000000,104000000,96000000,858000000,383000000,360000000,253000000,894000000,1421000000
99,Cash at the Beginning of Period,239000000,- -,390000000,489000000,334000000,- -,812000000,229000000,770000000,203000000,191000000,- -,332000000,115000000,505000000,102000000,88000000,126000000,104000000,96000000,858000000,429000000,360000000,253000000,894000000
100,Free Cash Flow,1000000,- -,-279000000,-245000000,-160000000,- -,224000000,710000000,57000000,441000000,107000000,- -,284000000,788000000,832000000,299000000,736000000,813000000,1125000000,1383000000,2196000000,1801000000,1032000000,1504000000,994000000
101,SEC Link,- -,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000092838500000655/0000928385-00-000655-index.html,- -,https://www.sec.gov/Archives/edgar/data/1048286/000092838502000921/0000928385-02-000921-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000092838503000294/0000928385-03-000294-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312505034535/0001193125-05-034535-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312506036627/0001193125-06-036627-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312507035757/0001193125-07-035757-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312508032582/0001193125-08-032582-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1048286/000119312509027236/0001193125-09-027236-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000119312511039869/0001193125-11-039869-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530512000342/0001445305-12-000342-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530513000255/0001445305-13-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000144530514000495/0001445305-14-000495-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828015000842/0001628280-15-000842-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828016011346/0001628280-16-011346-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828017001506/0001628280-17-001506-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828018001756/0001628280-18-001756-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828019002337/0001628280-19-002337-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828020002376/0001628280-20-002376-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828021002433/0001628280-21-002433-index.htm,https://www.sec.gov/Archives/edgar/data/1048286/000162828022002666/0001628280-22-002666-index.htm
