,https://roic.ai/company/JAN,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0533,0.0795,-0.0345,0.0452,-0.0556,-0.5214,- -,-0.0583,-0.2279,0.0419,0.0594,0.0066,- -,-0.0344,-0.0125,-0.0180,0.0248,- -,-0.0330,- -,0.0352,-0.0341,0.0256,- -,0.0059,-0.0140,0.0028,-0.1524,-0.3409,- -,-0.2509
25,EPS,9.60,25.60,-9.40,16.40,-18.00,-130.60,- -,-3.30,-12.75,2.05,5.75,0.70,- -,-3.30,-1.10,-1.65,2.90,- -,-3.65,- -,4.05,-3.45,3.00,- -,0.70,-1.20,0.10,-3.75,-6.78,- -,-4.59
26,EPS Diluted,9.60,25.60,-9.40,16.40,-18.00,-130.60,- -,-3.30,-12.75,1.60,4.30,0.55,- -,-3.30,-1.10,-1.65,2.85,- -,-3.65,- -,3.85,-3.45,2.90,- -,0.65,-1.20,0.10,-3.75,-6.78,- -,-4.59
27,Weighted Average Shares Outstanding,161400,168200,200600,207600,211400,55700,- -,227400,240000,457400,458200,464000,- -,468600,852200,867000,880000,- -,915600,- -,1099400,1110200,1112400,- -,1135200,1210800,1341600,1495000,1763670,- -,1852147
28,Weighted Average Shares Outstanding Diluted,161400,168200,200600,207600,211400,55700,- -,285714,240000,577800,613600,605000,- -,468600,852200,867000,895000,- -,915600,- -,1164200,1110200,1148400,- -,1156000,1244200,1351600,1495000,1763670,- -,1852147
29,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/862861/000110465904008514/0001104659-04-008514-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000110465906021067/0001104659-06-021067-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000110465907023609/0001104659-07-023609-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000110465908020723/0001104659-08-020723-index.htm,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/862861/000110465912018445/0001104659-12-018445-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000086286113000008/0000862861-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000086286114000011/0000862861-14-000011-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/862861/000086286115000009/0000862861-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000168316817000707/0001683168-17-000707-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000168316818001663/0001683168-18-001663-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000168316819000853/0001683168-19-000853-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000156459020015355/0001564590-20-015355-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/862861/000156459021016696/0001564590-21-016696-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,280000,- -,10000,10000,300000,510000,2800000,- -,1200000,2095000,2750000,2780000,- -,2799000,- -,4401000,3170000,1950000,- -,3523000,968000,3313000,1195000,481000,- -,379000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,280000,- -,10000,10000,300000,510000,2800000,- -,1200000,2095000,2750000,2780000,- -,2799000,- -,4401000,3170000,1950000,- -,3523000,968000,3313000,1195000,481000,- -,379000
34,Net Receivables,- -,- -,- -,- -,- -,1530000,- -,770000,500000,1730000,4380000,1650000,- -,2790000,2896000,2410000,10090000,- -,4252000,- -,7445000,6780000,12360000,- -,11663000,10525000,16536000,5905000,6654000,- -,3600000
35,Inventory,- -,- -,- -,- -,- -,440000,- -,690000,1980000,4230000,6750000,8320000,- -,9340000,11900000,11000000,14060000,- -,16785000,- -,18456000,17270000,16650000,- -,16113000,16291000,762000,801000,1348000,- -,1630000
36,Other Current Assets,- -,- -,- -,- -,- -,250000,- -,140000,100000,390000,740000,940000,- -,1080000,842000,1260000,1250000,- -,1209000,- -,1593000,1340000,1150000,- -,3178000,761000,506000,1036000,356000,- -,1332000
37,Total Current Assets,- -,- -,- -,- -,- -,2500000,- -,1610000,2590000,6650000,12380000,13710000,- -,14410000,17733000,17420000,28180000,- -,25045000,- -,31895000,28560000,32110000,- -,34477000,28545000,21117000,8937000,8839000,- -,6941000
38,PP&E,- -,- -,- -,- -,- -,7420000,- -,6710000,5780000,5720000,6230000,6210000,- -,6180000,6052000,6060000,6760000,- -,4139000,- -,12535000,12250000,11420000,- -,11761000,10116000,538000,617000,2218000,- -,732000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,190000,150000,80000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1120000,40000,40000,- -,- -,38000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280000,200000,- -,- -,- -,24718000,20988000,17705000,- -,13989000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,190000,150000,80000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1120000,320000,240000,- -,- -,38000,24718000,20988000,17705000,- -,13989000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,370000,- -,450000,- -,600000,260000,- -,- -,- -,27000,920000,1090000,- -,- -,2081000,4577000,3549000,270000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,70000,- -,60000,320000,200000,220000,-50000,- -,-210000,706000,-170000,330000,- -,2266000,- -,1232000,-250000,120000,- -,722000,1076000,-4059000,949000,2000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,7490000,- -,6960000,6250000,6000000,6560000,6530000,- -,6420000,6758000,6490000,7350000,- -,6405000,- -,14914000,13240000,12870000,- -,12483000,13311000,25774000,26103000,20195000,- -,14721000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,9990000,- -,8570000,8840000,12650000,18940000,20240000,- -,20830000,24491000,23910000,35530000,- -,31450000,- -,46809000,41800000,44980000,- -,46960000,41856000,46891000,35040000,29034000,- -,21662000
48,Accounts Payable,- -,- -,- -,- -,- -,1390000,- -,1140000,1200000,1280000,1960000,2930000,- -,2960000,3868000,3200000,4350000,- -,3364000,- -,4323000,4960000,5880000,- -,6380000,6143000,3321000,3169000,4365000,- -,4701000
49,Short-Term Debt,- -,- -,- -,- -,- -,1390000,- -,1510000,1080000,2400000,4710000,3774000,- -,5329000,6387000,7181000,14374000,- -,13373000,- -,11674000,11514000,10792000,- -,10375000,12426000,5877000,256000,3832000,- -,5239000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000,- -,- -,- -,- -,- -,3922000,4203000,3000,4722000,5438000,- -,6068000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,566000000,- -,601000000,259000000,- -,- -,- -,96000,25000,523000,- -,1868000,227000,4577000,3549000,270000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,1390000,- -,920000,780000,1790000,2520000,2006000,- -,-563319000,3599000,-596991000,-254664000,- -,4589000,- -,4357000,4431000,4285000,- -,6265000,8661000,1987000,2710000,9106000,- -,10657000
53,Total Current Liabilities,- -,- -,- -,- -,- -,4170000,- -,3570000,3060000,5470000,9190000,8710000,- -,10970000,13854000,14390000,23060000,- -,21326000,- -,20450000,20930000,21480000,- -,24888000,27457000,15762000,9684000,17573000,- -,20597000
54,Long-Term Debt,- -,- -,- -,- -,- -,1710000,- -,1630000,4970000,4430000,4280000,5420000,- -,5210000,4823000,4780000,4960000,- -,1963000,- -,7251000,6360000,5450000,- -,5118000,2826000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1827000,- -,853000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393000,- -,- -,- -,691000,- -,875000,921000,1092000,- -,1048000,- -,4577000,3549000,270000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,370000,- -,440000,- -,600000,250000,- -,- -,- -,- -,1959000,1908000,- -,2304000,364000,314000,196000,850000,- -,1388000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1710000,- -,1630000,4970000,4430000,4350000,5790000,- -,5650000,5216000,5380000,5210000,- -,4481000,- -,8979000,9240000,8450000,- -,8470000,3190000,4891000,3745000,1120000,- -,1388000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989000,7312000,- -,- -,- -,2093000,30000,- -,1929000,- -,2585000
61,Total Liabilities,- -,- -,- -,- -,- -,5880000,- -,5200000,8030000,9900000,13540000,14500000,- -,16620000,19070000,19770000,28270000,- -,25807000,- -,29429000,30170000,29930000,- -,33358000,30647000,20653000,13429000,18693000,- -,21985000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,10350000,- -,10350000,10860000,11360000,11360000,11370000,- -,11380000,14840000,14970000,15480000,- -,- -,- -,- -,20580000,20850000,- -,21137000,- -,7000,2000,2000,- -,2000
64,Retained Earnings,- -,- -,- -,- -,- -,-6240000,- -,-6990000,-10040000,-8610000,-5960000,-5630000,- -,-7170000,-9419000,-10830000,-8290000,- -,-11267000,- -,-4797000,-8650000,-5330000,- -,-6860000,-11028000,-10910000,-16518000,-28419000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-4090000,- -,-4810000,-3880000,-3930000,-4290000,-4760000,- -,-5320000,-6798000,-7580000,76000,- -,-368000,- -,-361000,-290000,-464000,- -,-661000,-574000,-493000,-533000,-533000,- -,-588000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,4090000,- -,4820000,3880000,3930000,4290000,4757000,- -,5319000,6798000,7582000,-4000,- -,- -,- -,33592000,-2000,-5000,- -,687000,23237000,37634000,38660000,39291000,- -,2952000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,4110000,- -,3370000,820000,2750000,5400000,5737000,- -,4209000,5421000,4142000,7262000,- -,5643000,- -,15180000,11638000,15051000,- -,14303000,10803000,26238000,21611000,10341000,- -,2366000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,9990000,- -,8570000,8850000,12650000,18940000,20237000,- -,20829000,24491000,23912000,35532000,- -,31450000,- -,44609000,41808000,44981000,- -,47661000,41450000,46891000,35040000,29034000,- -,24351000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,3000,- -,1000,- -,-2000,-2000,- -,- -,- -,2200000,-8000,-1000,- -,-701000,406000,- -,- -,- -,- -,-2689000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,9990000,- -,8570000,8840000,12650000,18940000,20240000,- -,20830000,24491000,23910000,35530000,- -,31450000,- -,46809000,41800000,44980000,- -,46960000,41856000,46891000,35040000,29034000,- -,21662000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/862861/000110465904008514/0001104659-04-008514-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000110465906021067/0001104659-06-021067-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000110465907023609/0001104659-07-023609-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000110465908020723/0001104659-08-020723-index.htm,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/862861/000110465912018445/0001104659-12-018445-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000086286113000008/0000862861-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000086286114000011/0000862861-14-000011-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/862861/000086286115000009/0000862861-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000168316817000707/0001683168-17-000707-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000168316818001663/0001683168-18-001663-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000168316819000853/0001683168-19-000853-index.htm,https://www.sec.gov/Archives/edgar/data/862861/000156459020015355/0001564590-20-015355-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/862861/000156459021016696/0001564590-21-016696-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,400000,1200000,-500000,900000,-900000,-7300000,- -,-700000,-3100000,900000,2600000,300000,- -,-1500000,-933000,-1400000,2500000,- -,-3338000,- -,4461000,-3900000,3300000,- -,771000,-1451000,118000,-5608000,-11964000,- -,-8498000
74,Depreciation and Amortization,-300000,-700000,-1300000,-1700000,-1500000,2477000,- -,1027000,704000,385000,483000,507000,- -,611000,818000,788000,873000,- -,1287000,- -,1303000,1221000,1369000,- -,1355000,1264000,2147000,3998000,4076000,- -,4122000
75,Deferred Income Tax,100000,100000,-100000,-200000,-600000,650000,- -,- -,- -,-33000,-400000,391000,- -,5000,- -,- -,- -,- -,-58000,- -,1621000,367000,703000,- -,-313000,-97000,-1633000,-1028000,-3279000,- -,-270000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,578000,- -,428000,153000,233000,- -,267000,245000,272000,656000,631000,- -,578000
77,Change in Working Capital,-200000,- -,- -,- -,- -,-1670000,- -,-290000,1490000,640000,2010000,1810000,- -,-1560000,-721000,-849000,2090000,- -,-2061000,- -,10115000,-3815000,3000000,- -,-1041000,-3411000,4267000,-6102000,-7987000,- -,-4922000
78,Accounts Receivable,-300000,-500000,-600000,-2300000,2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1735000,- -,-2417000,1178000,-6018000,- -,1232000,1012000,-1159000,3947000,-765000,- -,2980000
79,Inventory,- -,-100000,-100000,100000,-200000,37000,- -,-250000,-1285000,-2647000,-2515000,-1568000,- -,-1022000,-1746000,902000,-3066000,- -,2094000,- -,-1863000,1182000,620000,- -,541000,442000,264000,-41000,-546000,- -,-282000
80,Accounts Payable,100000,200000,400000,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1660000,5058000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-1670000,- -,-1960000,-470000,1180000,3190000,5000000,- -,3440000,3879000,3030000,5120000,- -,3719000,- -,11445000,7630000,10630000,- -,9589000,1088000,5355000,-747000,-8734000,- -,-13656000
82,Other Non-Cash Items,700000,1700000,1000000,2800000,6700000,1701000,- -,271000,-2172000,-3082000,-5817000,299000,- -,53000,-1313000,1451000,-11711000,- -,4928000,- -,-16552000,6525000,-6865000,- -,2556000,6109000,-3945000,12229000,15013000,- -,8373000
83,Cash Provided by Operating Activities,700000,2300000,-900000,1800000,3700000,-4142000,- -,308000,-3078000,-1190000,-1124000,3307000,- -,-2391000,-2149000,-10000,-6248000,- -,1336000,- -,1376000,551000,1740000,- -,3595000,2659000,1226000,4145000,-3510000,- -,-617000
84,CAPEX,-200000,-1800000,-5300000,-700000,-1500000,-1285000,- -,-299000,-289000,-609000,-910000,-598000,- -,-558000,-517000,-553000,-932000,- -,-509000,- -,-1757000,-818000,-501000,- -,-818000,-375000,-221000,-401000,-500000,- -,-834000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,765000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-263000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-200000,400000,100000,331000,- -,-168000,271000,667000,- -,100000,- -,- -,- -,732000,- -,- -,3560000,- -,712000,- -,-490000,- -,516000,-37000,6586000,229000,557000,- -,-327000
89,Cash Used for Investing Activites,-200000,-1800000,-5500000,-300000,-1400000,-954000,- -,-467000,-18000,58000,-910000,-498000,- -,-558000,-517000,179000,-932000,- -,2788000,- -,-1045000,-818000,-991000,- -,-302000,-412000,7329000,-172000,345000,- -,-834000
90,Debt Repayment,- -,- -,- -,- -,- -,-1412000,- -,-231000,-840000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5322000,- -,-8315000,-990000,-1032000,- -,-1547000,-941000,-2231000,-6671000,-509000,- -,-2065000
91,Common Stock Issued,- -,- -,- -,- -,- -,700000,- -,- -,200000,- -,- -,8000,- -,13000,368000,29000,398000,- -,- -,- -,117000,86000,36000,- -,24000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1700000,-500000,4700000,400000,-600000,1462000,- -,123000,3737000,1214000,2238000,-521000,- -,1330000,108000,460000,6730000,- -,410000,- -,9288000,-126000,-807000,- -,- -,-2283000,-4037000,562000,2971000,- -,3469000
95,Cash Used/Provided by Financing Activities,1700000,-500000,4700000,400000,-600000,750000,- -,-108000,3097000,1214000,2238000,-513000,- -,1343000,399000,489000,7128000,- -,-4912000,- -,1090000,-1030000,-1803000,- -,-1523000,-3224000,-6268000,-6109000,2462000,- -,1404000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,21000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000,- -,89000,- -,-85000,70000,-172000,- -,-195000,-24000,58000,18000,-11000,- -,-55000
97,Net Change In Cash,1700000,-500000,4700000,400000,-600000,-4325000,- -,-267000,1000,82000,204000,2296000,- -,-1606000,-2267000,658000,24000,- -,-699000,- -,1336000,-1227000,-1226000,- -,1575000,-1001000,2345000,-2118000,-714000,- -,-102000
98,Cash at the End of Period,- -,- -,- -,- -,- -,280000,- -,13000,14000,302000,506000,2802000,- -,1196000,2095000,2753000,2777000,- -,2799000,- -,4401000,3174000,1948000,- -,3523000,968000,3313000,1195000,481000,- -,379000
99,Cash at the Beginning of Period,400000,2600000,2600000,1000000,2900000,4605000,- -,280000,13000,220000,302000,506000,- -,2802000,4362000,2095000,2753000,- -,3498000,- -,3065000,4401000,3174000,- -,1948000,1969000,968000,3313000,1195000,- -,481000
100,Free Cash Flow,500000,500000,-6200000,1100000,2200000,-5427000,- -,9000,-3367000,-1799000,-2034000,2709000,- -,-2949000,-2666000,-563000,-7180000,- -,827000,- -,-381000,-267000,1239000,- -,2777000,2284000,1005000,3744000,-4010000,- -,-1451000
