,https://roic.ai/company/TXRH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,7291000,23829000,31705000,39864000,61174000,74738000,90922000,95283000,116086000,129939000,135887000,155002000,168326000,187275000,211533000,251000000,275183000,284289000,320879000,141221000,415296000
16,EBITDA ratio,0.0456,0.1023,0.1107,0.1098,0.1333,0.1252,0.1237,0.1082,0.1232,0.1293,0.1225,0.1227,0.1183,0.1184,0.1170,0.1261,0.1240,0.1157,0.1164,0.0589,0.1199
17,Operating Income,13689000,26312000,34258000,38682000,47296000,54369000,63213000,62027000,75861000,90617000,95239000,110458000,119715000,130449000,144565000,171900000,186206000,187789000,212023000,23844000,297192000
18,Operating Income ratio,0.0856,0.1130,0.1196,0.1066,0.1031,0.0911,0.0860,0.0704,0.0805,0.0902,0.0859,0.0874,0.0842,0.0825,0.0800,0.0864,0.0839,0.0764,0.0769,0.0099,0.0858
19,Total Other Income Expenses (Gains),-6398000,- -,- -,-4682000,-696000,-969000,-2013000,-3627000,-3061000,-2217000,-2039000,-1958000,-1488000,-482000,-318000,-144000,-89000,762000,1892000,-4591000,-4300000
20,Income Before Tax,7291000,- -,- -,34000000,46600000,53400000,61200000,58400000,72800000,88400000,93200000,108500000,118227000,129967000,144247000,171756000,186117000,188551000,213915000,19253000,292892000
21,Income Before Tax Ratio,0.0456,- -,- -,0.0937,0.1016,0.0894,0.0833,0.0663,0.0773,0.0880,0.0840,0.0859,0.0831,0.0821,0.0798,0.0863,0.0839,0.0767,0.0776,0.0080,0.0846
22,Income Tax expense (Gain),- -,- -,- -,7159000,16292000,19381000,21176000,19389000,23491000,27683000,26765000,34738000,34140000,38990000,42986000,51183000,48581000,24257000,32397000,-15672000,39578000
23,Net Income,7291000,16953000,23143000,21700000,30300000,34000000,39300000,38200000,47500000,58300000,64000000,71200000,80423000,87022000,96894000,115598000,131526000,158225000,174452000,34925000,245294000
24,Net Income ratio,0.0456,0.0728,0.0808,0.0598,0.0660,0.0569,0.0535,0.0434,0.0504,0.0580,0.0577,0.0564,0.0565,0.0550,0.0536,0.0581,0.0593,0.0644,0.0633,0.0146,0.0708
25,EPS,0.08,0.23,0.30,0.27,0.44,0.46,0.53,0.53,0.68,0.82,0.90,1.02,1.15,1.25,1.38,1.64,1.85,2.21,2.47,0.45,3.53
26,EPS Diluted,0.07,0.22,0.28,0.27,0.42,0.44,0.51,0.52,0.67,0.80,0.88,1.00,1.13,1.23,1.37,1.63,1.84,2.20,2.46,0.45,3.51
27,Weighted Average Shares Outstanding,95120000,46668000,49430000,81890566,68677000,73876000,74611000,72672000,69967000,71432000,70829000,70026000,70089000,69719000,70032000,70396000,70989000,71467000,70509000,69438000,69438000
28,Weighted Average Shares Outstanding Diluted,103532000,49376000,52094000,108544000,72565000,76520000,76832000,74079000,71298000,72929000,72278000,71485000,71362000,70608000,70747000,71052000,71527000,71964000,70916000,69893000,69893000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289460/000104746905007862/0001047469-05-007862-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000110465906014379/0001104659-06-014379-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000110465907013492/0001104659-07-013492-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746908001679/0001047469-08-001679-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746909002017/0001047469-09-002017-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746910001543/0001047469-10-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746911001381/0001047469-11-001381-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746912001439/0001047469-12-001439-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746913001478/0001047469-13-001478-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746914001564/0001047469-14-001564-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746915001392/0001047469-15-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837016003617/0001558370-16-003617-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837017001021/0001558370-17-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837018001026/0001558370-18-001026-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837019000899/0001558370-19-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837020001734/0001558370-20-001734-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837021001970/0001558370-21-001970-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837022002141/0001558370-22-002141-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7816000,5728000,46200000,29000000,33800000,11600000,5300000,46900000,82200000,78800000,81700000,94874000,86122000,59334000,112944000,150918000,210125000,107879000,363155000,335645000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7816000,5728000,46200000,29000000,33800000,11600000,5300000,46900000,82200000,78800000,81700000,94874000,86122000,59334000,112944000,150918000,210125000,107879000,363155000,335645000
34,Net Receivables,- -,4258000,10473000,6100000,9600000,8300000,18300000,9900000,12300000,12600000,11500000,16400000,25391000,34023000,45421000,56127000,76496000,92114000,99305000,98418000,161358000
35,Inventory,- -,1787000,3505000,5200000,5900000,6400000,7300000,8100000,8000000,9200000,10700000,10900000,11954000,14256000,15633000,16088000,16306000,18827000,20267000,22364000,31595000
36,Other Current Assets,- -,1538000,1268000,3300000,4800000,4000000,4400000,11500000,7100000,9900000,11000000,13500000,13524000,13325000,13425000,15100000,13361000,23953000,20448000,26714000,34927000
37,Total Current Assets,- -,15399000,20974000,60800000,49300000,52500000,41600000,34800000,74300000,113900000,112000000,122500000,145743000,147726000,133813000,200259000,257081000,345019000,247899000,510651000,563525000
38,PP&E,- -,110151000,123051000,163000000,210400000,305700000,390400000,456100000,456300000,459000000,497200000,531700000,586192000,649637000,751288000,830054000,912147000,956676000,1556364000,1088623000,1740854000
39,Goodwill,- -,2190000,2190000,50800000,51100000,86600000,101900000,114800000,113500000,111800000,110900000,113400000,116468000,116571000,116571000,116571000,121040000,123220000,124748000,127001000,127001000
40,Intangible Assets,- -,- -,- -,- -,- -,4900000,8400000,12800000,11200000,10100000,9000000,9300000,8625000,6203000,4827000,3622000,2700000,1959000,1234000,2271000,1520000
41,Intangible Assets,- -,2190000,2190000,50800000,51100000,91500000,110300000,127600000,124700000,121900000,119900000,122700000,125093000,122774000,121398000,120193000,123740000,125179000,125982000,129272000,128521000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,31000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,5100000,6700000,7800000,4900000,6200000,6700000,8400000,8700000,6100000,- -,6004000,6402000,12268000,5301000,17268000,- -,- -,- -
44,Other Non-Current Assets,- -,787000,1978000,-3800000,-4900000,-4900000,-1200000,-2000000,69000,-400000,2900000,8300000,20616000,17001000,19805000,17197000,32354000,25134000,53320000,- -,79052000
45,Total Non-Current Assets,- -,113128000,127219000,215100000,263300000,400100000,504400000,587900000,587800000,588900000,628700000,668800000,731901000,795416000,898893000,979712000,1073542000,1124257000,1735666000,1217895000,1948427000
46,Other Assets,96428000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,96428000,128527000,148193000,275900000,312600000,452600000,546000000,622700000,662100000,702800000,740700000,791300000,877644000,943142000,1032706000,1179971000,1330623000,1469276000,1983565000,1728546000,2511952000
48,Accounts Payable,- -,7381000,11570000,12100000,17400000,18800000,23700000,32200000,27900000,26900000,32700000,32400000,38404000,43585000,50996000,50789000,57579000,62060000,61653000,66977000,95234000
49,Short-Term Debt,- -,6701000,8280000,723000,638000,653000,302000,228000,247000,274000,304000,338000,243000,129000,144000,167000,9000,- -,17263000,69271000,21952000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,6194000,- -,12381000,13253000,17434000,19175000,18869000,19698000,24491000,24631000,30433000,27610000,33460000
51,Deferred Revenue,- -,- -,- -,14676000,19355000,26205000,32088000,32265000,34443000,39165000,44058000,53041000,62723000,79462000,101274000,129558000,156627000,192242000,209258000,232812000,300657000
52,Other Current Liabilities,- -,16768000,20723000,46901000,18607000,31242000,32210000,34907000,45610000,45761000,59338000,72921000,73810000,92795000,104228000,99013000,115783000,130840000,129046000,137258000,184301000
53,Total Current Liabilities,- -,30850000,40573000,74400000,56000000,76900000,88300000,99600000,108200000,112100000,136400000,158700000,175180000,215971000,256642000,279527000,329998000,385142000,417220000,506318000,602144000
54,Long-Term Debt,35092000,59094000,56254000,13500000,6900000,35400000,66500000,132500000,101200000,51900000,61600000,51300000,50990000,50693000,25550000,52381000,51981000,2081000,- -,50000000,722892000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17133000,20168000,- -,26964000,31493000,36103000,42141000,48079000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8715000,-6102000,5774000,-6004000,6402000,12268000,5301000,17268000,22695000,- -,11734000
57,Other Non-Current Liabilities,- -,5746000,7779000,14700000,18100000,21200000,23800000,30600000,32300000,42200000,42382000,42134000,51840000,47626000,42957000,49466000,62123000,71137000,612481000,- -,101698000
58,Total Non-Current Liabilities,35092000,64840000,64033000,28200000,25000000,56600000,90300000,163100000,133500000,94100000,112400000,107500000,108604000,119279000,106402000,150218000,161546000,138565000,635176000,50000000,836324000
59,Other Liabilities,110330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,925792000,- -
60,Capital Lease Obligations,- -,1381000,1135000,771000,626000,575000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555973000,591442000,644844000
61,Total Liabilities,75238000,95690000,104606000,102600000,81000000,133500000,178600000,262700000,241700000,206200000,248800000,266200000,283784000,335250000,363044000,429745000,491544000,523707000,1052396000,1382110000,1438468000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,100000,100000,70000,70000,70000,71000,71000,72000,69000,70000,69000
64,Retained Earnings,- -,- -,- -,-600000,29700000,63700000,103100000,141200000,188700000,247000000,288400000,327500000,374190000,419436000,468678000,530723000,602499000,688337000,775649000,781915000,943551000
65,Other Comprehensive Income/Loss,- -,- -,- -,107000,3000,-69100000,-95500000,-1704000,19000,-1338000,-2609000,-2461000,-1652000,-782000,-109000,-194000,-39000,-228000,-225000,-106000,- -
66,Other Total Stockholders Equity,16535000,26987000,37902000,173604000,201772000,324374000,359681000,220394000,231553000,250854000,206013000,199945000,215051000,189168000,201023000,219626000,236548000,257388000,140501000,145626000,114504000
67,Total Stockholders Equity,16535000,26987000,37902000,173211000,231575000,319074000,367381000,359990000,420372000,496616000,491904000,525084000,587659000,607892000,669662000,750226000,839079000,945569000,915994000,927505000,1058124000
68,Total Liabilities And Stockholders Equity,91773000,122677000,142508000,275811000,312575000,452574000,545981000,622690000,662072000,702816000,740704000,791284000,871443000,943142000,1032706000,1179971000,1330623000,1469276000,1968390000,2309615000,2496592000
69,Minority Interest,4655000,5850000,5685000,89000,25000,26000,19000,10000,28000,-16000,-4000,16000,6201000,- -,- -,- -,- -,- -,15175000,-581069000,15360000
70,Total Liabilities & Equity,96428000,128527000,148193000,275900000,312600000,452600000,546000000,622700000,662100000,702800000,740700000,791300000,877644000,943142000,1032706000,1179971000,1330623000,1469276000,1983565000,1728546000,2511952000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289460/000104746905007862/0001047469-05-007862-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000110465906014379/0001104659-06-014379-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000110465907013492/0001104659-07-013492-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746908001679/0001047469-08-001679-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746909002017/0001047469-09-002017-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746910001543/0001047469-10-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746911001381/0001047469-11-001381-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746912001439/0001047469-12-001439-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746913001478/0001047469-13-001478-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746914001564/0001047469-14-001564-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746915001392/0001047469-15-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837016003617/0001558370-16-003617-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837017001021/0001558370-17-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837018001026/0001558370-18-001026-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837019000899/0001558370-19-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837020001734/0001558370-20-001734-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837021001970/0001558370-21-001970-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837022002141/0001558370-22-002141-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7291000,16953000,23143000,21700000,30300000,34000000,39300000,38200000,47500000,58300000,64000000,71200000,80423000,87022000,96894000,115598000,131526000,158225000,174452000,34925000,245294000
74,Depreciation and Amortization,- -,6876000,8562000,11005000,14582000,21357000,30446000,37694000,41822000,41283000,42709000,46717000,51562000,59179000,69694000,82964000,93499000,101216000,115544000,117877000,126761000
75,Deferred Income Tax,- -,- -,- -,4533000,-24000,-679000,-2698000,1184000,-126000,1799000,70000,-2166000,-947000,-480000,411000,5994000,-5069000,12319000,6335000,-19932000,8896000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,7493000,7686000,10525000,13193000,14740000,14883000,22825000,26067000,26934000,33983000,35500000,29431000,38139000
77,Change in Working Capital,- -,-15451000,-4148000,5999000,6900000,-17700000,-22300000,-18100000,30900000,35700000,-26200000,-11800000,6763000,-38808000,-54584000,43561000,6351000,32794000,-129198000,173654000,36161000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-854000,-1718000,-1647000,-724000,-243000,-610000,-515000,136000,-1193000,-1533000,-119000,-1057000,-2278000,-1377000,-455000,-48000,-2495000,-1414000,-2017000,-9231000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-4293000,-1018000,5880000,-370000,5712000,5366000,7611000,138000,1601000,8882000,407000,490000,27730000
81,Other Working Capital,- -,-15451000,-19599000,-13600000,-6700000,-24400000,-46700000,-64800000,-33900000,1800000,-24400000,-36200000,-29437000,-68245000,-122829000,-79268000,-72917000,-40123000,-169321000,4333000,64425000
82,Other Non-Cash Items,15211000,23340000,14601000,14038000,12626000,42766000,31819000,42236000,-12460000,-24860000,46403000,28796000,21295000,69917000,92701000,-17119000,33132000,14331000,171665000,-105517000,13575000
83,Cash Provided by Operating Activities,22502000,31718000,42158000,57275000,64384000,79744000,76567000,101214000,115129000,119908000,137507000,145940000,173836000,191713000,227941000,257065000,286373000,352868000,374298000,230438000,468826000
84,CAPEX,- -,-104088000,-79930000,-49985000,-61043000,-111207000,-101923000,-102536000,-45516000,-45051000,-81758000,-84879000,-111478000,-125445000,-173475000,-164738000,-161628000,-155980000,-214340000,-154401000,-200692000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-33222000,-17835000,25000,- -,- -,-4297000,-1180000,- -,- -,- -,-16528000,-2165000,-1536000,-10580000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-35769000,1932000,358000,250000,22000,1362000,613000,250000,-43159000,235000,188000,-83751000,-110068000,-124240000,-173203000,-164738000,-161628000,-155980000,-213284000,-150525000,-195104000
89,Cash Used for Investing Activites,-35769000,-32764000,-26524000,-49735000,-61021000,-109845000,-134532000,-120216000,-43134000,-44816000,-81570000,-88048000,-111248000,-124240000,-173203000,-164738000,-178156000,-158145000,-214820000,-161105000,-195104000
90,Debt Repayment,- -,-5048000,- -,- -,- -,- -,- -,- -,-31284000,-49246000,-275000,-10303000,-369000,-1461000,-25128000,-145000,-558000,-50000000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,106134000,10966000,3881000,2071000,2642000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,602000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-56974000,-1484000,-2828000,-59147000,-33154000,-19719000,-49587000,-19969000,-13422000,-11639000,-14067000,-152320000,-24305000,-69262000
93,Dividends Paid,- -,-8265000,-14784000,- -,- -,- -,- -,- -,-2068000,-2212000,-19282000,-24486000,-46877000,-31333000,-46176000,-52054000,-58154000,-68550000,-102366000,-24989000,-83658000
94,Other Financing Activites,9894000,18258000,-2938000,-73167000,-31577000,31017000,33674000,67028000,4441000,14551000,14283000,13020000,17505000,6156000,9747000,26904000,108000,-2899000,-7038000,235237000,-148914000
95,Cash Used/Provided by Financing Activities,9894000,4945000,-17722000,32967000,-20611000,34898000,35745000,12696000,-30395000,-39735000,-64421000,-54923000,-49460000,-76225000,-81526000,-38717000,-70243000,-135516000,-261724000,185943000,-301232000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9894000,3899000,-2088000,40507000,-17248000,4797000,-22220000,-6306000,41600000,35357000,-8484000,2969000,13128000,-8752000,-26788000,53610000,37974000,59207000,-102246000,255276000,-27510000
98,Cash at the End of Period,- -,7816000,5728000,46235000,28987000,33784000,11564000,5258000,46858000,82215000,73731000,81746000,94874000,86122000,59334000,112944000,150918000,210125000,107879000,363155000,335645000
99,Cash at the Beginning of Period,- -,3917000,7816000,5728000,46235000,28987000,33784000,11564000,5258000,46858000,82215000,78777000,81746000,94874000,86122000,59334000,112944000,150918000,210125000,107879000,363155000
100,Free Cash Flow,22502000,-72370000,-37772000,7290000,3341000,-31463000,-25356000,-1322000,69613000,74857000,55749000,61061000,62358000,66268000,54466000,92327000,124745000,196888000,159958000,76037000,268134000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289460/000104746905007862/0001047469-05-007862-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000110465906014379/0001104659-06-014379-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000110465907013492/0001104659-07-013492-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746908001679/0001047469-08-001679-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746909002017/0001047469-09-002017-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746910001543/0001047469-10-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746911001381/0001047469-11-001381-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746912001439/0001047469-12-001439-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746913001478/0001047469-13-001478-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746914001564/0001047469-14-001564-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000104746915001392/0001047469-15-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837016003617/0001558370-16-003617-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837017001021/0001558370-17-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837018001026/0001558370-18-001026-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837019000899/0001558370-19-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837020001734/0001558370-20-001734-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837021001970/0001558370-21-001970-index.htm,https://www.sec.gov/Archives/edgar/data/1289460/000155837022002141/0001558370-22-002141-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
