,https://roic.ai/company/EOG,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,124800000,190500000,206500000,259700000,361900000,396100000,400000000,442300000,441700000,375400000,1027600000,1003583000,1023844000,517708000,1088588000,1430415000,2619395000,2729730000,2696413000,5073414000,972912000,537562000,4636543000,4663995000,3672346000,5196773000,-6684163000,2277593000,4344941000,4486050000,3730396000,-41206788000,9762000000
16,EBITDA ratio,0.4312,0.5131,0.5328,0.5733,0.6375,0.6387,0.6166,0.6054,0.5638,0.4880,1.2823,0.6736,0.6187,0.4728,0.5980,0.6213,0.7262,0.6991,0.6677,0.7944,0.2032,0.0881,0.4579,0.4219,0.2550,0.3123,-0.7722,0.3052,0.3877,0.2612,0.2202,-4.1736,0.4963
17,Operating Income,6200000,41700000,63400000,99700000,102200000,154000000,195400000,208800000,192700000,113700000,18100000,696863000,674552000,181331000,697314000,979195000,1991815000,1895426000,1648396000,3767185000,970841000,523319000,2113309000,1479797000,3675211000,5241823000,-6686079000,-1225281000,926402000,4469346000,3699011000,-544016000,6102000000
18,Operating Income ratio,0.0214,0.1123,0.1636,0.2201,0.1800,0.2483,0.3012,0.2858,0.2459,0.1478,0.0226,0.4677,0.4076,0.1656,0.3831,0.4253,0.5522,0.4855,0.4082,0.5899,0.2028,0.0858,0.2087,0.1339,0.2552,0.3150,-0.7724,-0.1642,0.0827,0.2602,0.2183,-0.0551,0.3102
19,Total Other Income Expenses (Gains),-15700000,-7100000,-17800000,-19800000,10000000,-100000,-11400000,-17800000,-29200000,-53400000,549600000,-63306000,-43107000,-61659000,-43438000,-53183000,-26678000,17215000,-17528000,-20646000,-98830000,-115343000,42838000,-199057000,-238325000,-246508000,-235477000,-332224000,-265220000,-228348000,-153744000,-195038000,-169000000
20,Income Before Tax,-9500000,34600000,45600000,79900000,112200000,153900000,184000000,191000000,163500000,60300000,567700000,633557000,631445000,119672000,653876000,926012000,1965137000,1912641000,1630868000,3746539000,872011000,407976000,2156147000,1280740000,3436886000,4995315000,-6921556000,-1557505000,661182000,4240998000,3545267000,-739054000,5933000000
21,Income Before Tax Ratio,-0.0328,0.0932,0.1176,0.1764,0.1976,0.2481,0.2836,0.2614,0.2087,0.0784,0.7084,0.4252,0.3816,0.1093,0.3592,0.4022,0.5448,0.4899,0.4038,0.5866,0.1822,0.0669,0.2129,0.1159,0.2387,0.3002,-0.7996,-0.2087,0.0590,0.2469,0.2093,-0.0749,0.3016
22,Income Tax expense (Gain),-3400000,-10900000,-9300000,-17700000,-25800000,5900000,41900000,51000000,41500000,4100000,-1400000,236626000,232829000,32499000,216600000,301157000,705561000,612756000,540950000,1309620000,325384000,247322000,818676000,710461000,1239777000,2079828000,-2397041000,-460819000,-1921397000,821958000,810357000,-134482000,1269000000
23,Net Income,-6100000,45500000,54900000,97600000,138000000,148000000,142100000,140000000,122000000,56200000,569100000,396931000,398616000,87173000,430145000,624855000,1259576000,1299885000,1089918000,2436919000,546627000,160654000,1091123000,570279000,2197109000,2915487000,-4524515000,-1096686000,2582579000,3419040000,2734910000,-604572000,4664000000
24,Net Income ratio,-0.0211,0.1225,0.1416,0.2155,0.2431,0.2386,0.2191,0.1916,0.1557,0.0731,0.7101,0.2664,0.2409,0.0796,0.2363,0.2714,0.3492,0.3329,0.2699,0.3816,0.1142,0.0263,0.1078,0.0516,0.1526,0.1752,-0.5227,-0.1469,0.2305,0.1990,0.1614,-0.0612,0.2371
25,EPS,-0.01,0.07,0.09,0.16,0.21,0.23,0.22,0.22,0.20,0.09,1.01,0.82,0.84,0.17,0.92,1.31,2.62,2.67,2.23,4.94,1.10,0.32,2.08,1.06,4.07,5.36,-8.29,-1.98,4.49,5.93,4.73,-1.04,8.03
26,EPS Diluted,-0.01,0.07,0.09,0.16,0.21,0.23,0.22,0.22,0.19,0.09,1.00,0.81,0.82,0.16,0.90,1.29,2.56,2.62,2.19,4.86,1.08,0.32,2.05,1.05,4.02,5.32,-8.29,-1.98,4.46,5.89,4.71,-1.04,7.99
27,Weighted Average Shares Outstanding,488000000,606666667,610000000,619682540,641860465,639380000,639668000,639412000,629504000,617380000,563476000,467736000,463060000,461340000,458388000,467504000,477594000,483564000,486938000,493324000,498000000,501800000,525400000,535200000,540340000,543400000,545700000,553400000,574600000,576600000,577700000,578949000,581000000
28,Weighted Average Shares Outstanding Diluted,488000000,606666667,610000000,619682540,649411765,639380000,641739130,655625000,632640000,620216000,569408000,476408000,469952000,468980000,466076000,476752000,487950000,492200000,495274000,501084000,503800000,509000000,532600000,541600000,546228000,548500000,545700000,553400000,578700000,580400000,580800000,578949000,584000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118906000040/0000821189-06-000040-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118907000056/0000821189-07-000056-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118908000042/0000821189-08-000042-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118909000008/0000821189-09-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118910000011/0000821189-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118911000022/0000821189-11-000022-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118912000014/0000821189-12-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118914000007/0000821189-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118915000010/0000821189-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118916000054/0000821189-16-000054-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118919000009/0000821189-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118920000010/0000821189-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118921000017/0000821189-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118922000017/0000821189-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,5800000,23000000,7600000,9300000,6300000,24800000,20152000,2512000,9848000,4443000,20980000,643811000,218255000,54231000,331311000,685751000,788853000,615726000,876435000,1318209000,2087213000,718506000,1599895000,834228000,1555634000,2027972000,3328928000,5209000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,5800000,23000000,7600000,9300000,6300000,24800000,20152000,2512000,9848000,4443000,20980000,643811000,218255000,54231000,331311000,685751000,788853000,615726000,876435000,1318209000,2087213000,718506000,1599895000,834228000,1555634000,2027972000,3328928000,5209000000
34,Net Receivables,- -,- -,- -,- -,- -,126200000,168500000,277300000,232100000,193600000,148200000,342579000,194624000,310133000,303094000,450974000,762462000,848445000,946040000,749748000,808426000,1168195000,1451227000,1685781000,1663650000,1850932000,971314000,1228625000,1710851000,2343124000,2153323000,1545293000,2335000000
35,Inventory,- -,- -,- -,- -,- -,15700000,11700000,20700000,32000000,39600000,18800000,16623000,18871000,18928000,21922000,40037000,63215000,113591000,102322000,187970000,261723000,415792000,590594000,683187000,563268000,706597000,598935000,350017000,483865000,859359000,767297000,629401000,584000000
36,Other Current Assets,- -,- -,- -,- -,- -,8700000,14600000,20300000,8600000,6900000,8700000,15073000,56414000,55883000,66555000,74812000,93750000,169789000,189446000,839422000,83641000,154606000,- -,344481000,526888000,771279000,303489000,376066000,250164000,299273000,324747000,358546000,456000000
37,Total Current Assets,- -,- -,- -,- -,- -,156400000,217800000,325900000,282000000,246400000,200500000,394427000,272421000,394792000,396014000,586803000,1563238000,1350080000,1292039000,2108451000,1839541000,2527446000,2657547000,3589884000,4072015000,5416021000,2592244000,3554603000,3279108000,5057390000,5273339000,5862168000,8584000000
38,PP&E,- -,- -,- -,- -,- -,1684800000,1881400000,2099600000,2387200000,2676400000,2334900000,2525007000,3055910000,3321548000,4248917000,5101603000,6087179000,7944047000,10429254000,13657302000,16139225000,18680900000,2149989000,23337681000,26148836000,29172644000,24210721000,25707078000,25665037000,28075519000,30364595000,28598627000,28426000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17506000,777000,2363000,2127000,11000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,20700000,48100000,32900000,54200000,95300000,75400000,81381000,85713000,97666000,104084000,110517000,102903000,108033000,367614000,185473000,139901000,415887000,- -,409013000,353387000,174022000,172279000,197752000,871427000,800788000,1484311000,1341679000,1215000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,1705500000,1929500000,2132500000,2441400000,2771700000,2410300000,2606388000,3141623000,3419214000,4353001000,5212120000,6190082000,8052080000,10796868000,13842775000,16279126000,19096787000,2149989000,23746694000,26502223000,29346666000,24383000000,25904830000,26553970000,28877084000,31851269000,29942433000,29652000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,1861900000,2147300000,2458400000,2723400000,3018100000,2610800000,3000815000,3414044000,3814006000,4749015000,5798923000,7753320000,9402160000,12088907000,15951226000,18118667000,21624233000,4807536000,27336578000,30574238000,34762687000,26975244000,29459433000,29833078000,33934474000,37124608000,35804601000,38236000000
48,Accounts Payable,- -,- -,- -,- -,- -,131200000,133700000,277600000,235700000,206300000,172800000,246030000,219561000,201931000,282379000,424581000,679548000,896572000,1152140000,1122209000,979139000,1664944000,2033615000,2078948000,2254418000,2860548000,1471953000,1511826000,1847131000,2239850000,2429127000,1681193000,2242000000
49,Short-Term Debt,- -,- -,- -,- -,- -,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126075000,- -,- -,37000000,37000000,220000000,- -,406579000,6579000,6579000,6579000,6579000,356235000,913093000,1383889000,1076143000,277000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147105000,162083000,159365000,140098000,93618000,118411000,148874000,214726000,254850000,205754000,518000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135989000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,31700000,35600000,39800000,55300000,56300000,45800000,123648000,91286000,74420000,194140000,207623000,366418000,358440000,322030000,605707000,329421000,335155000,- -,438531000,600719000,517181000,340755000,508886000,522176000,575421000,673972000,702768000,1523000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,164600000,169300000,317400000,291000000,262600000,218600000,369678000,310847000,276351000,476519000,632204000,1172041000,1255012000,1474170000,1764916000,1345560000,2220099000,2169604000,2924058000,2861716000,3384308000,1819287000,2027291000,2725542000,3728364000,4486988000,3460104000,4042000000
54,Long-Term Debt,- -,- -,- -,- -,- -,190300000,289100000,466100000,741300000,1142800000,990300000,859000000,855969000,1145132000,1108872000,1077622000,858992000,733442000,1185000000,1860000000,2760000000,5003341000,5009166000,5905602000,5906642000,5903354000,6653685000,6979779000,6030836000,5170169000,4160919000,5035351000,5630000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,269300000,308100000,308900000,287700000,260300000,226000000,340079000,551020000,660948000,769128000,902354000,1122588000,1513128000,2071307000,2813522000,3382413000,3501706000,- -,4327396000,5522354000,6822946000,4587902000,5188640000,3518214000,4413398000,5046101000,4859327000,4749000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,194300000,217100000,100900000,122400000,72100000,46300000,51133000,53522000,59180000,171115000,241319000,283407000,300907000,368336000,498291000,632652000,667455000,- -,894758000,865067000,939497000,971335000,1282142000,1275213000,1258355000,1789884000,2147932000,1635000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,653900000,814300000,875900000,1151400000,1475200000,1262600000,1250212000,1460511000,1865260000,2049115000,2221295000,2264987000,2547477000,3624643000,5171813000,6775065000,9172502000,5009166000,11127756000,12294063000,13665797000,12212922000,13450561000,10824263000,10841922000,10996904000,12042610000,12014000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27678359000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369365000,295089000,1048000000
61,Total Liabilities,- -,- -,- -,- -,- -,818500000,983600000,1193300000,1442400000,1737800000,1481200000,1619890000,1771358000,2141611000,2525634000,2853499000,3437028000,3802489000,5098813000,6936729000,8120625000,11392601000,24838797000,14051814000,15155779000,17050105000,14032209000,15477852000,13549805000,14570286000,15483892000,15502714000,16056000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147999000,148416000,98826000,99062000,52887000,4977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201200000,201247000,201247000,201247000,201247000,201247000,202495000,202495000,202495000,202498000,202526000,202542000,202693000,202720000,202732000,205492000,205502000,205770000,205788000,205804000,205822000,205837000,206000000
64,Retained Earnings,- -,- -,- -,- -,- -,453800000,576700000,697600000,800700000,838400000,930900000,1301067000,1668708000,1723948000,2121214000,2706845000,3920483000,5151034000,6156721000,8466143000,8866747000,8870179000,9789345000,10175631000,12168277000,14763098000,9870816000,8398118000,10593533000,13543130000,15648604000,14169969000,15919000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1330600000,-1499400000,-1653600000,-1904200000,-2138100000,-2267800000,-2597721000,-3009693000,-64910000,50461000,118154000,140891000,176704000,466702000,27787000,339720000,440071000,401746000,439895000,415834000,-23056000,-33338000,-19010000,-19297000,-1358000,-4652000,-12328000,-12000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,1920200000,2086400000,2221100000,2384500000,2580000000,2265300000,2476332000,2782424000,-335889000,-297957000,-179648000,-46639000,16551000,159199000,318069000,589049000,718840000,2247120000,- -,2631616000,2767048000,2900055000,- -,- -,5616612000,5790942000,5938409000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,1043400000,1163700000,1265100000,1281000000,1280300000,1129600000,1380925000,1642686000,1672395000,2223381000,2945424000,4316292000,5599671000,6990094000,9014497000,9998042000,10231632000,12640904000,13284764000,15418459000,17712582000,12943035000,13981581000,16283273000,19364188000,21640716000,20301887000,22180000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,1861900000,2147300000,2458400000,2723400000,3018100000,2610800000,3000815000,3414044000,3814006000,4749015000,5798923000,7753320000,9402160000,12088907000,15951226000,18118667000,21624233000,37479701000,27336578000,30574238000,34762687000,26975244000,29459433000,29833078000,33934474000,37124608000,35804601000,38236000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32672165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,1861900000,2147300000,2458400000,2723400000,3018100000,2610800000,3000815000,3414044000,3814006000,4749015000,5798923000,7753320000,9402160000,12088907000,15951226000,18118667000,21624233000,4807536000,27336578000,30574238000,34762687000,26975244000,29459433000,29833078000,33934474000,37124608000,35804601000,38236000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118906000040/0000821189-06-000040-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118907000056/0000821189-07-000056-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118908000042/0000821189-08-000042-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118909000008/0000821189-09-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118910000011/0000821189-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118911000022/0000821189-11-000022-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118912000014/0000821189-12-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118914000007/0000821189-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118915000010/0000821189-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118916000054/0000821189-16-000054-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118919000009/0000821189-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118920000010/0000821189-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118921000017/0000821189-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118922000017/0000821189-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6100000,45500000,54900000,97600000,138000000,148000000,142100000,140000000,122000000,56200000,569100000,396931000,398616000,87173000,430145000,624855000,1259576000,1299885000,1089918000,2436919000,546627000,160654000,1091123000,570279000,2197109000,2915487000,-4524515000,-1096686000,2582579000,3419040000,2734910000,-604572000,4664000000
74,Depreciation and Amortization,134300000,155900000,160900000,179800000,249700000,242200000,216000000,251300000,278200000,315100000,459900000,370026000,392399000,398036000,441843000,504403000,654258000,817089000,1065545000,1326875000,- -,- -,2516381000,- -,- -,- -,- -,- -,- -,- -,- -,-40673000000,- -
75,Deferred Income Tax,12700000,-21700000,-19000000,-17900000,25600000,1800000,45200000,2300000,16700000,-26800000,-26300000,97729000,164945000,82179000,191726000,204231000,270291000,385842000,426827000,1133630000,174392000,76245000,-499300000,292938000,874765000,1704946000,-2482307000,-515206000,-1473872000,894156000,631658000,-186390000,-122000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95180000,107378000,128345000,127778000,134055000,145086000,130577000,128090000,133849000,155337000,174738000,146396000,152000000
77,Change in Working Capital,-41100000,- -,- -,- -,-8200000,- -,56700000,-40000000,-17500000,-7200000,-1900000,42849000,-63175000,156867000,-198946000,35104000,436598000,-296129000,-277199000,525666000,150446000,-186634000,180596000,177883000,544473000,821414000,-1258756000,754355000,-973746000,775460000,-542675000,1615713000,-518000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47818000,-339126000,-339780000,-178683000,-23613000,84982000,641412000,-232799000,-392131000,-368180000,-91792000,466523000,-821000000
79,Inventory,-4000000,2000000,- -,3700000,-4500000,-2200000,4000000,-9000000,-11300000,-7500000,5200000,2345000,-2248000,-57000,-2994000,-17898000,-23085000,-50370000,9638000,-92049000,-50146000,-171791000,176623000,-156762000,53402000,-161958000,58450000,170694000,-174548000,-395408000,90284000,122647000,-13000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-153565000,654688000,351087000,-17150000,178701000,543630000,-1409197000,-74048000,324192000,439347000,168539000,-795267000,456000000
81,Other Working Capital,- -,- -,- -,- -,-8200000,-8200000,48500000,8500000,-9000000,-16200000,-18100000,24749000,-38426000,118441000,-80505000,-45401000,391197000,95068000,-182131000,343535000,493981000,307347000,487943000,665826000,1210299000,2031713000,772957000,1527312000,553566000,1329026000,786351000,2402064000,-200000000
82,Other Non-Cash Items,17400000,59900000,45100000,46900000,74600000,33900000,-124600000,11500000,131500000,66300000,-558700000,59875000,304642000,-55685000,455533000,75754000,-251297000,371866000,588274000,-789841000,1955794000,2550959000,1161265000,4067899000,3579012000,3062222000,11730166000,3088510000,3996526000,2524615000,5164549000,44709636000,4615000000
83,Cash Provided by Operating Activities,117200000,239600000,241900000,306400000,479700000,425900000,335400000,365100000,530900000,403600000,442100000,967410000,1197427000,668570000,1320301000,1444347000,2369426000,2578553000,2893365000,4633249000,2922439000,2708602000,4578410000,5236777000,7329414000,8649155000,3595165000,2359063000,4265336000,7768608000,8163180000,5007783000,8791000000
84,CAPEX,-233600000,-308900000,-211700000,-362400000,-383100000,-442100000,-445000000,-539300000,-626200000,-690400000,-402800000,-602638000,-974016000,-714127000,-1204383000,-1416684000,-1724763000,-2819230000,-3679062000,-5195471000,-3503009000,-5581382000,-656415000,-7355116000,-7060627000,-8246805000,-5013163000,-2582795000,-4124242000,-6076475000,-6422526000,-3464700000,-3850000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210000000,- -,- -,- -,- -,- -,54534000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118221000,- -,-23922000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,8400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,35500000,55700000,-18900000,361300000,-129500000,-52700000,53700000,27700000,-70900000,-69200000,39400000,-64523000,-114039000,-158411000,-64127000,19776000,46655000,108857000,223288000,228953000,206679000,888608000,-5079739000,1235853000,745849000,733240000,-307093000,1275317000,136833000,-93687000,245353000,117194000,431000000
