,https://roic.ai/company/FRT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,19500000,24200000,27000000,28200000,35200000,45199000,65117000,65648000,72170000,90427000,102183000,106146000,108545000,119069000,122391000,161113000,174460000,184401000,214209000,228285000,256765000,256735000,244711000,296633000,314498000,346130000,359835000,419254000,459177000,516688000,461919000,369929000,471352000
84,CAPEX,- -,- -,- -,- -,-48200000,-33200000,-20200000,-15200000,-34300000,-138960000,-244021000,-213940000,-553051000,-258922000,-141470000,-192946000,-321891000,- -,-50629000,-101688000,-96920000,-386663000,-69487000,-237611000,-112610000,-146228000,-246019000,-180671000,-44410000,1252000,-56891000,-142958000,-300597000,164272000,117481000,-501936000,-440514000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23554000,-61415000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6947000,- -,- -,-6731000,-2802000,-7220000,-696000,36961000,-1052000,-3348000,-3115000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-28200000,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,-9426000,-13000,-4960000,-20427000,- -,-7020000,-16930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,15900000,6300000,- -,10100000,31600000,300000,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2800000,1600000,1500000,-24900000,-108000000,-42428000,-32664000,-75627000,-27992000,-94700000,-73976000,-74633000,-109308000,-175744000,-40643000,-43159000,-55316000,-45485000,-61525000,-107942000,-109790000,-113025000,-85865000,-273558000,-345198000,-389419000,-350961000,-583001000,-836106000,-229208000,-315480000,-365035000,-657003000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-35100000,-25300000,-18700000,-58200000,-110700000,-90465000,-134360000,-161819000,-279343000,-187646000,-99313000,-121741000,-232138000,-175744000,-91272000,-154273000,-152249000,-317429000,-151439000,-207567000,-127341000,-187088000,-196369000,-273558000,-345198000,-396150000,-353763000,-590221000,-836802000,-192247000,-316532000,-368383000,-660118000
90,Debt Repayment,- -,- -,- -,- -,-4100000,-1300000,-30300000,-33800000,-89800000,-5480000,-189290000,-55435000,-3712000,-55248000,-1151000,-268552000,-176977000,- -,- -,- -,- -,-550392000,-7603000,-39312000,-636588000,-262340000,-248111000,-228414000,-469024000,-228662000,-400543000,-106475000,-218258000,-57620000,-305041000,-581235000,-277643000
91,Common Stock Issued,- -,- -,- -,- -,44900000,200000,42300000,67100000,79500000,84247000,1682000,86054000,86893000,5310000,2243000,3428000,1301000,- -,- -,117739000,11234000,293190000,170855000,11585000,115502000,6610000,156862000,114134000,186548000,216155000,110855000,329103000,118583000,130918000,143027000,99177000,172981000
92,Common Stock Repurchased,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2565000,-22632000,- -,- -,- -,- -,- -,-270000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4229000,-958000,-4626000,-4052000,-2998000
93,Dividends Paid,- -,- -,- -,- -,-19200000,-23700000,-25400000,-31100000,-38100000,-43973000,-47918000,-52084000,-62621000,-74284000,-76617000,-77499000,-80593000,-96461000,-104802000,-108756000,-130500000,-139845000,-131443000,-146418000,-162323000,-168466000,-169254000,-179884000,-193016000,-215216000,-243314000,-267694000,-282995000,-301194000,-313649000,-324596000,-335656000
94,Other Financing Activites,- -,- -,- -,- -,25800000,800000,23400000,20700000,97200000,4832000,311295000,118156000,192615000,221628000,69728000,380469000,386068000,158696000,85528000,-20316000,75219000,802931000,-55383000,117959000,674151000,234957000,264170000,240271000,558131000,236767000,500025000,218355000,756344000,-12455000,380184000,1472442000,-9651000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,50400000,-24000000,10000000,22900000,48800000,39626000,75769000,96691000,213175000,97406000,-8362000,15214000,129799000,62235000,-19274000,-11333000,-44047000,135884000,-23574000,-56186000,-9258000,-189239000,3667000,-53893000,82639000,9044000,-32977000,173289000,369445000,-241309000,-100105000,661736000,-452967000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,50400000,-24000000,10000000,22900000,48800000,-5640000,6526000,520000,6002000,187000,-5492000,-381000,6206000,5560000,11845000,-4493000,-21836000,2856000,39196000,-35468000,120166000,-119592000,52009000,-30818000,51939000,-40976000,-26905000,2322000,-8180000,83132000,45282000,663282000,-641733000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3995000,10521000,11041000,17043000,17230000,11738000,11357000,17563000,23123000,34968000,30475000,8639000,11495000,50691000,15223000,135389000,15797000,67806000,36988000,88927000,47951000,21046000,23368000,15188000,108332000,153614000,816896000,175163000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15400000,50100000,25100000,43400000,36300000,9635000,3995000,10521000,11041000,17043000,17230000,11738000,11357000,17563000,23123000,34968000,30475000,8639000,11495000,50691000,15223000,135389000,15797000,67806000,36988000,88927000,47951000,21046000,23368000,25200000,108332000,153614000,816896000
100,Free Cash Flow,- -,- -,- -,- -,-28700000,-9000000,6800000,13000000,900000,-93761000,-178904000,-148292000,-480881000,-168495000,-39287000,-86800000,-213346000,119069000,71762000,59425000,77540000,-202262000,144722000,-9326000,144155000,110507000,-1308000,115962000,24356000,-14828000,77302000,-18026000,-59759000,148430000,52009000,-132007000,30838000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34903/000092838596000186/0000928385-96-000186-index.html,https://www.sec.gov/Archives/edgar/data/34903/000092838597000296/0000928385-97-000296-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34903/000095013304000888/w94595e10vk.htm,https://www.sec.gov/Archives/edgar/data/34903/000119312505043736/d10k.htm,https://www.sec.gov/Archives/edgar/data/34903/000119312506044561/d10k.htm,https://www.sec.gov/Archives/edgar/data/34903/000119312507043678/d10k.htm,https://www.sec.gov/Archives/edgar/data/34903/000119312508039905/d10k.htm,https://www.sec.gov/Archives/edgar/data/34903/000119312509038641/0001193125-09-038641-index.html,https://www.sec.gov/Archives/edgar/data/34903/000119312510033308/0001193125-10-033308-index.html,https://www.sec.gov/Archives/edgar/data/34903/000119312511036800/d10k.htm,https://www.sec.gov/Archives/edgar/data/34903/000003490312000008/0000034903-12-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/34903/000003490314000009/frt-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/34903/000003490315000014/frt-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/34903/000003490316000045/0000034903-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/34903/000003490317000008/0000034903-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/34903/000003490318000009/0000034903-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/34903/000003490319000013/0000034903-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/34903/000003490320000008/0000034903-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/34903/000003490321000020/0000034903-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/34903/000003490322000023/0000034903-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
