,https://roic.ai/company/VIV,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1066119/000119312503014310/0001193125-03-014310-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312504112207/0001193125-04-112207-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312505077655/0001193125-05-077655-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312506078736/0001193125-06-078736-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010307000917/0000950103-07-000917-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010308000986/0000950103-08-000986-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010309000808/0000950103-09-000808-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010310000874/0000950103-10-000874-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010311000811/0000950103-11-000811-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010312002060/0000950103-12-002060-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1066119/000095010314001981/0000950103-14-001981-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010315001604/0000950103-15-001604-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010316011408/0000950103-16-011408-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010317001652/0000950103-17-001652-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000129281418000427/0001292814-18-000427-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1066119/000095010320003040/0000950103-20-003040-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,900833920,8116637,97026526,206294554,490640291,41356027,238639882,463456000,39775390,933197641,31995477,2277016000,1556715000,2940342000,7196079000,6543936000,4692689000,5336845000,5105110000,4050338000,3381328000,3393377000,5762081000,6449000000
32,Short-Term Investments,- -,60354894,- -,- -,- -,172706276,- -,- -,172747428,- -,1709143227,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,900833920,68471531,97026526,206294554,490640291,214062303,238639882,463456000,212522818,933197641,1741138704,2277016000,1556715000,2940342000,7196079000,6543936000,4692689000,5336845000,5105110000,4050338000,3381328000,3393377000,5762081000,6449000000
34,Net Receivables,794512320,1226666312,1618350203,1781350405,1982047873,2421153879,2696714597,4406042000,3270124775,2831816050,3153069625,2931292000,3301034000,7825959000,8083175000,7995961000,8926723000,10807100000,11728918000,11152456000,13253189000,13307454000,11214237000,8100000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164422165,148436000,77499000,471721000,387809000,505615000,479801000,603631000,410413000,348755000,462053000,578003000,633100000,640000000
36,Other Current Assets,676592000,851126149,1143977064,1677782792,2231127307,1469301674,1227611064,243400000,1185096358,1436818872,1401689405,1691532000,212201000,572096000,604879000,891121000,1418155000,1161727000,1154554000,1180117000,1266422000,1365844000,1451450000,5871000000
37,Total Current Assets,2371938240,2146263992,2859353794,3665427750,4703815471,4104517856,4162965542,5112898000,4667743950,5201832563,6460319899,7048276000,5147449000,11810118000,16271942000,15936633000,15517368000,17909303000,18398995000,16731666000,18362992000,18644678000,19060868000,21060000000
38,PP&E,13977061700,17094266716,20307735821,21118201973,18892911375,14675974043,13372930325,12358023000,10722589585,10279859450,9869679751,9672137000,10200697000,17153920000,17610851000,18441647000,20453864000,30476765000,31924918000,33222316000,34115327000,42847264000,44352593000,44409000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,728201000,1064792000,10225280000,10225280000,10225280000,10225280000,23062421000,23062421000,23062421000,23062421000,23059172000,23026429000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,87370436,- -,900731748,861545784,1852573062,728676000,665682000,19828404000,19784009000,19277779000,21062144000,22544770000,21421075000,20269483000,19158564000,18215780000,17555688000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,87370436,- -,900731748,861545784,1852573062,1456877000,1730474000,30053684000,30009289000,29503059000,31287424000,45607191000,44483496000,43331904000,42220985000,41274952000,40582117000,44104000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,253565000,- -,- -,- -,340299000,100837000,136949000,23683000,86349000,79805000,101161000,85745000,98902000,101657000,104251000,144433000,- -
43,Tax Assets,- -,- -,- -,963431700,698204716,439316180,354475098,- -,561679175,539326977,579851750,701086000,503679000,1428878000,1029598000,210294000,144817000,711590000,27497000,371408000,230097000,171042000,138641000,- -
44,Other Non-Current Assets,634909100,2366440358,1436053037,713466295,760647141,821728153,778987316,1124656000,1249286740,2040508421,1231097792,1242756000,2283158000,4906424000,5309304000,5363093000,5582010000,6879054000,7145608000,7626639000,7530260000,5247535000,4459726000,6090000000
45,Total Non-Current Assets,14611970800,19460707074,21743788858,22795099969,20351763232,15937018376,14593763174,13736244000,13434287248,13721240632,13533202356,13413155000,14818845000,53679855000,53982725000,53604442000,57547920000,83775761000,83667264000,84651169000,84198326000,89645044000,89677510000,94603000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189207000000
47,Total Assets,16983909040,21606971066,24603142652,26460527719,25055578703,20041536232,18756728717,18849142000,18102031198,18923073196,19993522255,20461431000,19966294000,65489973000,70254667000,69541075000,73065288000,101685064000,102066259000,101382835000,102561318000,108289722000,108738378000,115664000000
48,Accounts Payable,904458520,1418403868,1685541463,1265344634,1075786696,1283727540,1195098478,1677641000,1641792558,1846080005,2314874251,2362422000,2780672000,6081611000,5889377000,6914009000,7641191000,8373235000,7611246000,7447100000,7642782000,6871799000,6613004000,8021000000
49,Short-Term Debt,452712540,388150452,1193660262,2636182068,2471427988,1974056395,530071215,246755000,1824121308,806073149,518881859,1767559000,420412000,1457037000,1972337000,1523713000,2264518000,2342991000,4663479000,3033441000,1464166000,4126490000,3682472000,6907000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1794138000,- -,- -,- -,1022434000,972123000,1691991000,1781480000,1315164000,1281673000,1716002000,1770731000,1731315000,1809974000,1146397000,1609127000,1485000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761268000,734573000,817551000,717019000,564557000,429853000,372561000,525509000,506181000,506806000,- -
52,Other Current Liabilities,1167242020,1266461578,1717736097,2350355706,1716848098,2676130778,2439737414,3507005000,2780528365,3122466947,3013561382,3524535000,2518762000,4440347000,4941184000,4512971000,5388278000,6700930000,7733997000,7009429000,7528363000,6227618000,7072802000,7531000000
53,Total Current Liabilities,2524413080,3073015898,4596937821,6251882408,5264062782,5933914713,4164907108,5431401000,6246442230,5774620101,5847317492,7654516000,5719846000,12740263000,13537471000,13768244000,16011006000,17981713000,20438575000,17862531000,17160820000,17732088000,17875084000,22459000000
54,Long-Term Debt,491374940,684107279,704514756,1367778965,2114964574,991067436,2226900961,2150853000,508385868,2502822516,3217595341,1752402000,1405314000,4746922000,6028151000,7229842000,5534742000,7878299000,4560595000,5428400000,4675271000,9698183000,9556694000,10027000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156266000,303362000,253661000,482782000,359237000,511786000,350637000,250526000,211901000,239438000,- -
56,Deferred Tax Liabilities,496449380,1215655245,1560286379,- -,- -,- -,- -,- -,- -,- -,- -,- -,38700000,788954000,1216651000,722634000,- -,- -,- -,709325000,1982952000,3146453000,4414540000,4172000000
57,Other Non-Current Liabilities,181834100,400458526,225996151,1744894940,1416331539,897051286,963271339,11265274000,762729143,741204922,882157034,997098000,1135320000,3726783000,4487912000,4672252000,6086663000,6898573000,7310884000,7570584000,6884722000,7045519000,7095858000,9000000000
58,Total Non-Current Liabilities,1169658420,2300221050,2490797286,3112673904,3531296113,1888118722,3190172300,13416127000,1271115010,3244027438,4099752375,2749500000,2579334000,9418925000,12036076000,12878389000,12104187000,15136109000,12383265000,14058946000,13793471000,20102056000,21306530000,23199000000
59,Other Liabilities,- -,- -,- -,- -,- -,3776237443,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33259000,- -,- -,296684000,374428000,385460000,393027000,9191151000,10818778000,- -
61,Total Liabilities,3694071500,5373236947,7087735106,9364556313,8795358896,7822033435,7355079408,18847528000,7517557240,9018647539,9947069867,10404016000,8299180000,22159188000,25573547000,26646633000,28115193000,33117822000,32821840000,31921477000,30954291000,37834144000,39181614000,45658000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3255736540,6810299006,7653497640,7436039435,7774053569,5953926252,5979657062,- -,6559309835,- -,- -,6575480000,6575480000,37798110000,37798110000,37798110000,37798110000,63571416000,63571416000,63571416000,63571416000,63571416000,63571416000,- -
64,Retained Earnings,2482488540,5489910004,5615932786,5333542807,4452601525,2984353489,2016263709,879604000,703925455,- -,659605471,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-14605204880,-19370799850,-23898292515,-26256655325,547804844,548274625,667917035,3346529000,657961550,659502255,140177274,811447000,3397535000,3604507000,6953458000,5166780000,7222433000,5071214000,5673003000,5889942000,8035611000,6884162000,5985348000,- -
66,Other Total Stockholders Equity,18047245860,23304324960,28144269635,30583044489,3485759869,2732948431,2737811503,- -,2663277118,- -,- -,2670488000,1694099000,1923100000,-70448000,-70448000,-70448000,-75388000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,9180266060,16233734118,17515407546,17095971407,16260219807,12219502798,11401649309,1614000,10584473958,9904425656,10046452388,10057415000,11667114000,43325717000,44681120000,42894442000,44950095000,68567242000,69244419000,69461358000,71607027000,70455578000,69556764000,70006000000
68,Total Liabilities And Stockholders Equity,12874337560,21606971066,24603142652,26460527719,25055578703,20041536232,18756728717,18849142000,18102031198,18923073196,19993522255,20461431000,19966294000,65484905000,70254667000,69541075000,73065288000,101685064000,102066259000,101382835000,102561318000,108289722000,108738378000,115664000000
69,Minority Interest,4109571480,- -,-0,- -,-0,-0,0,- -,- -,- -,- -,- -,- -,5068000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16983909040,21606971066,24603142652,26460527719,25055578703,20041536232,18756728717,18849142000,18102031198,18923073196,19993522255,20461431000,19966294000,65489973000,70254667000,69541075000,73065288000,101685064000,102066259000,101382835000,102561318000,108289722000,108738378000,115664000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1066119/000119312503014310/0001193125-03-014310-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312504112207/0001193125-04-112207-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312505077655/0001193125-05-077655-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312506078736/0001193125-06-078736-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010307000917/0000950103-07-000917-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010308000986/0000950103-08-000986-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010309000808/0000950103-09-000808-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010310000874/0000950103-10-000874-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010311000811/0000950103-11-000811-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010312002060/0000950103-12-002060-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1066119/000095010314001981/0000950103-14-001981-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010315001604/0000950103-15-001604-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010316011408/0000950103-16-011408-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010317001652/0000950103-17-001652-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000129281418000427/0001292814-18-000427-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1066119/000095010320003040/0000950103-20-003040-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,550214280,488462513,928455723,930828931,456516426,1581586720,2181727033,2541947000,2809344838,2362764618,2420153051,2172973000,2398836000,4355318000,4453573000,3715945000,4936659000,3420249000,4085242000,4608790000,8928258000,5001014000,4770527000,6229000000
74,Depreciation and Amortization,1517378380,2379725234,2948906392,3324298136,3768025116,2841430823,2769585710,2716491000,2669567993,2698899657,2775837374,2505475000,1913494000,4585994000,5493159000,5643310000,5295589000,6814951000,7654406000,7853734000,8368623000,10919792000,11227498000,12038331000
75,Deferred Income Tax,-461411580,-166892948,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,514840000,660771000,546204000,993508000,985176000,999419000,1098251000,625480000,673905000,1066022000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4504000,-1163000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,176638840,-267867003,-1323834918,-1137954868,-1718894114,898606393,360382131,79785000,-865716098,-842761720,-920532624,-823066000,29163000,-948077000,-1409666000,-2032891000,-1091206000,-4394694000,-3408540000,-3210995000,-10350586000,-1717995000,-138017000,-2285412000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-502541000,- -,- -,- -,-385055000,87501000,-933558000,-1070370000,-1160903000,-1859857000,-1841659000,-1739550000,-1274181000,-1603002000,-2078801000,-1142973000,-1404934000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55669000,83122000,-111905000,54876000,-81820000,230116000,106393000,-68127000,-15843000,61783000,-45166000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,- -,-613004000,-490538000,539136000,103346000,-434334000,121577000,1056817000,286513000,287273000,1046087000
81,Other Working Capital,- -,- -,- -,-375255812,- -,- -,- -,-86069000,-217295353,-171075640,-281055991,-396775000,-411980000,-255119000,13910000,-54570000,240981000,-1051042000,-849586000,-42830000,-3881055000,-1740481000,-944812000,746728000
82,Other Non-Cash Items,355694080,252813808,88470409,652090229,2067927446,-365103838,296119244,198518000,381819860,511092125,854810057,558021000,186261000,149303000,681263000,1589145000,-303027000,3063191000,2124541000,2390112000,3896881000,2892905000,2807837000,1024659000
83,Cash Provided by Operating Activities,2138514000,2686241604,2641997606,3769262428,4573574874,4956520098,5607814118,5536741000,4995016593,4729994680,5130267859,4413403000,4532258000,8141375000,9733169000,9576280000,9384219000,9897205000,11440825000,12641060000,11941427000,17721196000,19341750000,18072600000
84,CAPEX,-2593763760,-2859788683,-4217364434,-4478478914,-1568749109,-1315888530,-1339260361,-1673691000,-1716726475,-1991415246,-2102596612,-2324141000,-2126465000,-4653708000,-4549100000,-5837172000,-7535011000,-6792895000,-7470869000,-8367660000,-8517458000,-8838641000,-8289264000,-9295484000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,18539955,-417380122,- -,- -,- -,2013993000,- -,- -,- -,-8528986000,- -,-206649000,- -,-70844000,-6756000,- -
86,Purchases of Investments,-2658040,-167351667,-279438736,- -,-14081404,- -,- -,-20768000,- -,-8938010,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,172124590,248486,20764584,222158,- -,- -,- -,- -,- -,- -,178453000,- -,10069000,- -,- -,- -,- -,31804000,10000,- -,116411000,244139000
88,Other Investing Activites,-12927740,25738661,586129134,-47481746,-51553938,42536061,-76241628,29299000,-182776575,147681914,27800715,-2295901000,289301000,610880000,-3407322000,-5543799000,-7607642000,-6096721000,-6894572000,-8263377000,-5676343000,-7856344000,-6518111000,923577000
89,Cash Used for Investing Activites,-2609349540,-3001401689,-3738549446,-4525712174,-1613619867,-1273130310,-1415501989,-1665160000,-1880963095,-2270051464,-2074795898,-2295901000,-1658711000,-2028835000,-3397253000,-5543799000,-7607642000,-14625707000,-6894572000,-8438222000,-5676333000,-7927188000,-6408456000,-8127768000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-1720014000,- -,- -,- -,-396854000,-1742818000,-1426334000,-1279654000,-2336023000,-1563272000,-8710567000,-2171100000,-4485495000,-2893219000,-3696660000,-5297688000,-3901147000
91,Common Stock Issued,- -,- -,11699,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16107285000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-17676293,-112139972,- -,- -,- -,-61620000,-32768000,-289000,-245000,-87805000,-164000,-32000,- -,- -,-22721000,-495995000
93,Dividends Paid,-114054080,-513620129,-572454556,-809365674,-1490126167,-3126471193,-3659332550,-3133833000,-3074335685,-2628510161,-2217982659,-1488705000,-1919906000,-5387601000,-3493997000,-4535519000,-2446621000,-3678665000,-2966384000,-3668551000,-4136878000,-6176842000,-5259367000,-4901326000
94,Other Financing Activites,622827100,-178906002,705277163,1675074990,-1185485718,-831511764,-509330199,1207145000,-271857498,1000886149,-29696692,304067000,68876000,2146642000,2726240000,2249801000,382314000,1742410000,359660000,2896468000,95993000,91543000,15186000,40038000
95,Cash Used/Provided by Financing Activities,508773020,-692526131,132834306,865709316,-2675611885,-3957982957,-4168662748,-3646702000,-3363869475,-1739763983,-2247679351,-1581492000,-3593848000,-4728913000,-2080179000,-4622030000,-3627824000,5372658000,-4777988000,-5257610000,-6934104000,-9781959000,-10564590000,-9258430000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,37937480,-1007686215,-963717533,109259570,284343121,-274593170,23652036,224879000,-249815978,720179233,807792611,536010000,-720301000,1383627000,4255737000,-589549000,-1851247000,644156000,-231735000,-1054772000,-669010000,12049000,2368704000,686402000
98,Cash at the End of Period,900833920,68471531,-888442030,206294554,490640291,214065188,238639882,463456000,212520685,933197641,1741138704,2277016000,1556715000,2940342000,7196079000,6543936000,4692689000,5336845000,5105110000,4050338000,3381328000,3393377000,5762081000,6448483000
99,Cash at the Beginning of Period,862896440,1076157746,75275503,97034983,206297170,488658358,214987846,238577000,462336663,213018408,933346093,1741006000,2277016000,1556715000,2940342000,7133485000,6543936000,4692689000,5336845000,5105110000,4050338000,3381328000,3393377000,5762081000
100,Free Cash Flow,-455249760,-173547079,-1575366828,-709216486,3004825764,3640631568,4268553756,3863050000,3278290118,2738579434,3027671246,2089262000,2405793000,3487667000,5184069000,3739108000,1849208000,3104310000,3969956000,4273400000,3423969000,8882555000,11052486000,8777116000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1066119/000119312503014310/0001193125-03-014310-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312504112207/0001193125-04-112207-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312505077655/0001193125-05-077655-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000119312506078736/0001193125-06-078736-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010307000917/0000950103-07-000917-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010308000986/0000950103-08-000986-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010309000808/0000950103-09-000808-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010310000874/0000950103-10-000874-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010311000811/0000950103-11-000811-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010312002060/0000950103-12-002060-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1066119/000095010314001981/0000950103-14-001981-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010315001604/0000950103-15-001604-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010316011408/0000950103-16-011408-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000095010317001652/0000950103-17-001652-index.htm,https://www.sec.gov/Archives/edgar/data/1066119/000129281418000427/0001292814-18-000427-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1066119/000095010320003040/0000950103-20-003040-index.htm,- -,- -
102,Forex Rate,0.8276,0.5539,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
