,https://roic.ai/company/TXT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,98900000,118700000,170300000,204700000,214300000,220000000,222800000,396200000,280800000,398000000,415000000,387000000,- -,435000000,361000000,494000000,514000000,368000000,- -,356000000,303000000,290000000,336000000,403000000,409000000,393000000,403000000,383000000,389000000,- -,459000000,449000000,447000000,437000000,- -,416000000,391000000
15,EBITDA,443200000,567800000,625900000,638000000,624600000,679200000,717800000,243700000,894300000,1139000000,1215000000,985000000,- -,1383000000,1289000000,1046000000,1366000000,674000000,- -,1005000000,1019000000,1598000000,2122000000,1635000000,611000000,743000000,986000000,1444000000,1236000000,- -,1498000000,1618000000,1384000000,1987000000,- -,1529000000,839000000
16,EBITDA ratio,0.1097,0.1130,0.1162,0.0876,0.0971,0.0858,0.0916,0.0292,0.0985,0.1176,0.1218,0.1062,- -,0.1312,0.1331,0.0799,0.1109,0.0632,- -,0.1019,0.1015,0.1391,0.1605,0.1148,0.0582,0.0706,0.0875,0.1180,0.1021,- -,0.1079,0.1173,0.0975,0.1422,- -,0.1122,0.0720
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),9300000,43600000,56200000,-1298100000,274700000,-1744700000,-1829900000,-1858000000,-1813000000,-1939000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-408000000,-438000000,- -,-958000000,-570000000,-460000000,-246000000,- -,-173000000,- -,-191000000,-297000000,-174000000,-90000000,- -,-58000000,-230000000
20,Income Before Tax,300800000,444800000,452600000,433300000,410300000,459200000,495000000,527000000,613500000,741000000,813000000,827000000,- -,948000000,763000000,611000000,419000000,490000000,- -,401000000,739000000,975000000,1300000000,658000000,-149000000,86000000,337000000,841000000,674000000,- -,853000000,876000000,762000000,1384000000,- -,942000000,282000000
21,Income Before Tax Ratio,0.0745,0.0885,0.0840,0.0595,0.0638,0.0580,0.0631,0.0631,0.0676,0.0765,0.0815,0.0892,- -,0.0899,0.0788,0.0467,0.0340,0.0460,- -,0.0407,0.0736,0.0849,0.0983,0.0462,-0.0142,0.0082,0.0299,0.0687,0.0557,- -,0.0615,0.0635,0.0537,0.0991,- -,0.0691,0.0242
22,Income Tax expense (Gain),120700000,203200000,191500000,161200000,141600000,176200000,195500000,202900000,234400000,308000000,321000000,322000000,- -,364000000,294000000,308000000,227000000,100000000,- -,107000000,223000000,269000000,385000000,314000000,-76000000,-6000000,95000000,260000000,176000000,- -,248000000,33000000,456000000,162000000,- -,127000000,-27000000
23,Net Income,223600000,245900000,264100000,272100000,268700000,283000000,299500000,-355400000,379100000,433000000,479000000,276000000,- -,584000000,634000000,244000000,192000000,-98000000,- -,272000000,203000000,601000000,917000000,486000000,-31000000,86000000,242000000,589000000,498000000,- -,600000000,962000000,307000000,1222000000,- -,815000000,309000000
24,Net Income ratio,0.0554,0.0490,0.0490,0.0373,0.0418,0.0357,0.0382,-0.0426,0.0418,0.0447,0.0480,0.0298,- -,0.0554,0.0655,0.0186,0.0156,-0.0092,- -,0.0276,0.0202,0.0523,0.0693,0.0341,-0.0030,0.0082,0.0215,0.0481,0.0411,- -,0.0432,0.0698,0.0216,0.0875,- -,0.0598,0.0265
25,EPS,0.75,0.75,0.82,0.78,0.76,0.80,0.69,0.72,0.84,1.20,1.38,0.73,- -,1.69,1.89,0.76,0.58,-0.45,- -,0.95,0.76,2.35,3.67,1.98,-0.12,0.31,0.87,2.17,1.77,- -,2.17,3.56,1.17,4.83,- -,3.52,1.35
26,EPS Diluted,0.75,0.75,0.82,0.78,0.76,0.80,0.68,0.71,0.83,1.20,1.38,0.73,- -,1.65,1.84,0.74,0.58,-0.45,- -,0.94,0.74,2.31,3.60,1.95,-0.12,0.28,0.79,2.00,1.75,- -,2.13,3.53,1.14,4.83,- -,3.50,1.35
27,Weighted Average Shares Outstanding,293733333,324133333,320121212,349032258,354039735,354339623,432463768,352714286,447573964,360000000,347731397,344217687,- -,330177515,322015915,288741722,282100000,277490000,- -,271750000,267062000,255098000,249792000,245686000,262923000,274452000,278900000,271300000,282100000,- -,276600000,270287000,261500000,253237000,- -,228000000,226400000
28,Weighted Average Shares Outstanding Diluted,293733333,324133333,322073171,349032258,354039735,354339623,438823529,352714286,455662651,362711864,347731397,344217687,- -,339209726,329891304,292617450,285874000,280504000,- -,274434000,272892000,260444000,254826000,249830000,262923000,302555000,307255000,294663000,284428000,- -,281790000,272365000,268750000,253237000,- -,228000000,226400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/217346/000021734695000003/0000217346-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734696000008/0000217346-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734697000001/0000217346-97-000001-index.html,undefined,https://www.sec.gov/Archives/edgar/data/217346/000021734698000002/0000217346-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734699000003/0000217346-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/217346/000095013501000833/0000950135-01-000833-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/217346/000095013504000995/b49049tie10vk.htm,https://www.sec.gov/Archives/edgar/data/217346/000110465906011793/a06-1864_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/217346/000110465908011718/a08-2392_110k.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/217346/000110465913011048/0001104659-13-011048-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465914009908/a13-26941_110k.htm,undefined,https://www.sec.gov/Archives/edgar/data/217346/000110465915013784/a14-26298_110k.htm,https://www.sec.gov/Archives/edgar/data/217346/000110465917010809/0001104659-17-010809-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465918009905/0001104659-18-009905-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465919008151/0001104659-19-008151-index.html,undefined,https://www.sec.gov/Archives/edgar/data/217346/000110465920024773/0001104659-20-024773-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734621000019/0000217346-21-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,99000000,47000000,- -,87000000,53000000,289000000,260000000,307000000,- -,843000000,796000000,780000000,531000000,547000000,1892000000,931000000,885000000,1413000000,1211000000,- -,822000000,1298000000,1262000000,1107000000,- -,1357000000,2254000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5926000000,820000000,- -,844000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,6025000000,867000000,- -,931000000,53000000,289000000,260000000,307000000,- -,843000000,796000000,780000000,531000000,547000000,1892000000,931000000,885000000,1413000000,1211000000,- -,822000000,1298000000,1262000000,1107000000,- -,1357000000,2254000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,9285000000,10139000000,10738000000,- -,11146000000,4688000000,6791000000,7151000000,7016000000,- -,6151000000,7558000000,9181000000,9597000000,9306000000,7578000000,5176000000,3595000000,2819000000,979000000,- -,1035000000,1999000000,1363000000,1024000000,- -,921000000,1531000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1211000000,1284000000,1192000000,- -,1349000000,1640000000,1871000000,1727000000,1611000000,- -,1439000000,1712000000,2069000000,2724000000,3159000000,2273000000,2277000000,2402000000,2712000000,2963000000,- -,3928000000,4464000000,4150000000,3818000000,- -,4069000000,3513000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5294000000,- -,1520000000,- -,1571000000,348000000,443000000,390000000,563000000,- -,532000000,1586000000,521000000,568000000,628000000,1702000000,1612000000,1594000000,470000000,467000000,- -,579000000,388000000,435000000,785000000,- -,894000000,950000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15839000000,17448000000,14317000000,- -,14997000000,6729000000,9394000000,9528000000,9497000000,- -,8965000000,11652000000,12551000000,13420000000,13640000000,13445000000,9996000000,8476000000,7414000000,5620000000,- -,6364000000,8149000000,7210000000,6734000000,- -,7241000000,8248000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1253000000,1408000000,1539000000,- -,1860000000,2185000000,2568000000,2044000000,1981000000,- -,1925000000,1574000000,1773000000,1999000000,2115000000,1968000000,1932000000,1996000000,2149000000,2215000000,- -,2497000000,2581000000,2721000000,2615000000,- -,2527000000,2516000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1607000000,1609000000,- -,1753000000,2119000000,2557000000,2169000000,1549000000,- -,1589000000,1148000000,1426000000,2301000000,1865000000,1622000000,1632000000,1635000000,1411000000,1735000000,- -,2027000000,2113000000,2364000000,2218000000,- -,2150000000,2157000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1512000000,- -,- -,- -,- -,- -,- -,- -,83000000,- -,40000000,32000000,- -,512000000,- -,- -,- -,- -,238000000,276000000,- -,833000000,- -,765000000,658000000,- -,589000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1512000000,1607000000,1609000000,- -,1753000000,2119000000,2557000000,2169000000,1632000000,- -,1629000000,1180000000,1426000000,2813000000,1865000000,1622000000,1632000000,1635000000,1649000000,2011000000,- -,2860000000,2113000000,3129000000,2876000000,- -,2739000000,2157000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,770000000,- -,- -,1176000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322000000,315000000,357000000,398000000,- -,390000000,- -,- -,472000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2321000000,2709000000,- -,- -,- -,1190000000,1536000000,1954000000,1997000000,- -,2181000000,2093000000,1800000000,1252000000,2400000000,1905000000,1722000000,1508000000,1821000000,3098000000,- -,2884000000,2515000000,2280000000,2039000000,- -,2511000000,2522000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5086000000,5724000000,3918000000,- -,3613000000,6992000000,6976000000,6524000000,6008000000,- -,6125000000,4847000000,4999000000,6536000000,6380000000,5495000000,5286000000,5139000000,5619000000,7324000000,- -,8241000000,7209000000,8130000000,7530000000,- -,7777000000,7195000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,20925000000,23172000000,18235000000,- -,18610000000,13721000000,16370000000,16052000000,15505000000,- -,15090000000,16499000000,17550000000,19956000000,20020000000,18940000000,15282000000,13615000000,13033000000,12944000000,- -,14605000000,15358000000,15340000000,14264000000,- -,15018000000,15443000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,619000000,684000000,850000000,- -,963000000,1010000000,1200000000,994000000,877000000,- -,702000000,677000000,814000000,927000000,1117000000,569000000,622000000,833000000,1021000000,1107000000,- -,1014000000,1273000000,1205000000,1099000000,- -,1378000000,776000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10346000000,- -,10496000000,1671000000,528000000,146000000,25000000,- -,316000000,275000000,80000000,355000000,876000000,134000000,19000000,146000000,535000000,8000000,- -,8000000,363000000,14000000,258000000,- -,561000000,509000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390000000,- -,- -,472000000,- -,- -,- -,- -,115000000,- -,- -,- -,991000000,- -,876000000,- -,715000000,758000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2424000000,7889000000,3373000000,- -,3440000000,1238000000,1535000000,1935000000,1337000000,- -,848000000,2195000000,4349000000,2368000000,2773000000,2165000000,2016000000,1952000000,1841000000,1888000000,- -,2616000000,1266000000,2441000000,1273000000,- -,1192000000,1227000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3043000000,8573000000,14569000000,- -,14899000000,3919000000,3263000000,3075000000,2239000000,- -,2256000000,3147000000,5243000000,4122000000,4766000000,2868000000,2657000000,2931000000,3512000000,3003000000,- -,3638000000,3893000000,3660000000,3506000000,- -,3846000000,3270000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9364000000,10249000000,483000000,- -,483000000,4192000000,6648000000,5962000000,7038000000,- -,6144000000,7079000000,8582000000,9104000000,9081000000,9117000000,5943000000,4287000000,3452000000,3179000000,- -,3866000000,3317000000,3898000000,3526000000,- -,3249000000,3860000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,461000000,497000000,- -,337000000,136000000,- -,- -,465000000,129000000,- -,118000000,- -,381000000,322000000,- -,269000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5636000000,938000000,- -,- -,- -,2613000000,2465000000,3081000000,2822000000,- -,3000000000,2536000000,579000000,3223000000,3470000000,3993000000,3710000000,3652000000,2613000000,2249000000,- -,2711000000,2574000000,1754000000,1718000000,- -,2136000000,2468000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000000,11187000000,483000000,- -,483000000,6805000000,9113000000,9043000000,9860000000,- -,9144000000,10076000000,9658000000,12327000000,12888000000,13246000000,9653000000,7939000000,6530000000,5557000000,- -,6695000000,5891000000,6033000000,5566000000,- -,5654000000,6328000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18043000000,19760000000,15052000000,- -,15382000000,10724000000,12376000000,12118000000,12099000000,- -,11400000000,13223000000,14901000000,16449000000,17654000000,16114000000,12310000000,10870000000,10042000000,8560000000,- -,10333000000,9784000000,9693000000,9072000000,- -,9500000000,9598000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,- -,10000000,10000000,10000000,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,12000000,- -,24000000,24000000,24000000,25000000,25000000,- -,25000000,26000000,26000000,32000000,32000000,35000000,35000000,35000000,35000000,35000000,- -,36000000,34000000,33000000,30000000,- -,29000000,29000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,2518000000,2864000000,2969000000,- -,3362000000,3786000000,5848000000,5829000000,5526000000,- -,5606000000,5808000000,6211000000,2766000000,3025000000,2973000000,3037000000,3257000000,3824000000,4045000000,- -,4623000000,5546000000,5368000000,5407000000,- -,5682000000,5973000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1450000000,258000000,14000000,- -,-124000000,-192000000,-344000000,-446000000,-225000000,- -,-64000000,-78000000,-644000000,-400000000,-1422000000,-1321000000,-1316000000,-1625000000,-1770000000,-1027000000,- -,-1506000000,-1605000000,-1375000000,-1762000000,- -,-1847000000,-1739000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1814000000,278000000,188000000,- -,- -,- -,- -,- -,-1931000000,- -,-1887000000,-2490000000,-2954000000,1107000000,729000000,1139000000,- -,- -,902000000,1331000000,- -,1119000000,1599000000,1621000000,1517000000,- -,1654000000,1582000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2882000000,3412000000,3183000000,- -,3228000000,2997000000,3994000000,3934000000,3406000000,- -,3690000000,3276000000,2649000000,3507000000,2366000000,2826000000,2972000000,2745000000,2991000000,4384000000,- -,4272000000,5574000000,5647000000,5192000000,- -,5518000000,5845000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,20925000000,23172000000,18235000000,- -,18610000000,13721000000,16370000000,16052000000,15505000000,- -,15090000000,16499000000,17550000000,19956000000,20020000000,18940000000,15282000000,13615000000,13033000000,12944000000,- -,14605000000,15358000000,15340000000,14264000000,- -,15018000000,15443000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,20925000000,23172000000,18235000000,- -,18610000000,13721000000,16370000000,16052000000,15505000000,- -,15090000000,16499000000,17550000000,19956000000,20020000000,18940000000,15282000000,13615000000,13033000000,12944000000,- -,14605000000,15358000000,15340000000,14264000000,- -,15018000000,15443000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/217346/000021734695000003/0000217346-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734696000008/0000217346-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734697000001/0000217346-97-000001-index.html,undefined,https://www.sec.gov/Archives/edgar/data/217346/000021734698000002/0000217346-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734699000003/0000217346-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/217346/000095013501000833/0000950135-01-000833-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/217346/000095013504000995/b49049tie10vk.htm,https://www.sec.gov/Archives/edgar/data/217346/000110465906011793/a06-1864_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/217346/000110465908011718/a08-2392_110k.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/217346/000110465913011048/0001104659-13-011048-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465914009908/a13-26941_110k.htm,undefined,https://www.sec.gov/Archives/edgar/data/217346/000110465915013784/a14-26298_110k.htm,https://www.sec.gov/Archives/edgar/data/217346/000110465917010809/0001104659-17-010809-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465918009905/0001104659-18-009905-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465919008151/0001104659-19-008151-index.html,undefined,https://www.sec.gov/Archives/edgar/data/217346/000110465920024773/0001104659-20-024773-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734621000019/0000217346-21-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,268700000,283000000,299500000,-355400000,379100000,433000000,479000000,276000000,- -,584000000,634000000,244000000,192000000,-98000000,- -,272000000,203000000,601000000,917000000,486000000,-31000000,86000000,242000000,589000000,498000000,- -,600000000,962000000,307000000,1222000000,- -,815000000,309000000
74,Depreciation and Amortization,- -,- -,- -,- -,214300000,220000000,222800000,396200000,280800000,398000000,415000000,387000000,- -,435000000,361000000,494000000,514000000,368000000,- -,356000000,303000000,290000000,336000000,403000000,409000000,393000000,403000000,383000000,389000000,- -,459000000,449000000,447000000,437000000,- -,416000000,391000000
75,Deferred Income Tax,- -,- -,- -,- -,50700000,-8500000,3700000,- -,- -,92000000,92000000,11000000,- -,76000000,-16000000,9000000,96000000,330000000,- -,-41000000,17000000,37000000,-13000000,-43000000,-265000000,69000000,81000000,171000000,86000000,- -,-19000000,48000000,346000000,49000000,- -,89000000,-7000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,41000000,49000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-277700000,- -,- -,- -,- -,12796000000,-3921000000,-9127000000,- -,350000000,2712000000,148000000,322000000,805000000,- -,-549000000,1447000000,-1197000000,1990000000,-424000000,1703000000,-3238000000,-1794000000,-1643000000,-1285000000,- -,109000000,1511000000,-706000000,-322000000,- -,167000000,1583000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102000000,- -,- -,87000000,-87000000,-14000000,-42000000,16000000,17000000,-1000000,36000000,32000000,-118000000,- -,56000000,-33000000,-236000000,50000000,- -,99000000,149000000
79,Inventory,- -,- -,- -,- -,-89100000,26600000,-64600000,54800000,175900000,64000000,-28000000,-33000000,- -,-89000000,-157000000,5000000,103000000,120000000,- -,172000000,-188000000,-427000000,-490000000,-671000000,803000000,-10000000,-127000000,-316000000,-118000000,- -,-209000000,-352000000,412000000,41000000,- -,-292000000,434000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000000,-162000000,- -,-199000000,173000000,115000000,52000000,274000000,- -,- -,211000000,179000000,65000000,- -,-228000000,215000000,-156000000,-63000000,- -,280000000,-613000000
