,https://roic.ai/company/AIM,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.6000,-46.0000,-20.3333,-18.2500,-13.1429,-10.8528,-23.2897,-21.7713,-22.4810,-19.6420,-12.2004,-20.7921,-17.1284,-46.1094,-121.0631,-97.3037,-55.9938,-81.4742,-108.1667,-88.5787,-114.5113,-81.5435,-18.8993,-26.7384,-68.0929,-88.3436,-141.6815
25,EPS,-95.04,-153.12,-184.80,-168.96,-184.80,-153.12,-153.12,-121.44,-221.76,-279.84,-137.28,-163.68,-132.00,-84.48,-63.36,-52.80,-36.96,-63.36,-52.80,-47.52,-31.68,-14.96,-12.76,-9.68,-2.62,-0.45,-0.60
26,EPS Diluted,-95.04,-153.12,-184.80,-168.96,-184.80,-153.12,-153.12,-121.44,-221.76,-279.84,-137.28,-163.68,-132.00,-84.48,-63.36,-52.80,-36.96,-63.36,-52.80,-47.52,-31.68,-14.96,-12.76,-9.68,-2.62,-0.45,-0.60
27,Weighted Average Shares Outstanding,31565,29768,32719,43038,49961,55400,59531,60767,66730,85562,97489,117072,136058,142312,207410,253818,256496,267073,316899,356607,447250,495862,651721,1004288,3642717,31842799,31842799
28,Weighted Average Shares Outstanding Diluted,31565,29768,32719,43038,49961,55400,59531,60767,66730,85562,97489,117072,136058,142312,207410,253818,256496,267073,316899,356607,447250,495862,651721,1004288,3642717,31842799,31842799
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946644/000094664404000002/0000946644-04-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/946644/000114420406023585/0001144204-06-023585-index.htm,- -,https://www.sec.gov/Archives/edgar/data/946644/000114420408015808/v107109_10k.htm,https://www.sec.gov/Archives/edgar/data/946644/000094664409000003/0000946644-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420410013215/0001144204-10-013215-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420411017852/v216127_10k.htm,https://www.sec.gov/Archives/edgar/data/946644/000114420412014793/0001144204-12-014793-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420413015749/0001144204-13-015749-index.html,https://www.sec.gov/Archives/edgar/data/946644/000094664414000005/heb1231201310k.htm,https://www.sec.gov/Archives/edgar/data/946644/000094664415000008/heb1231201410k.htm,https://www.sec.gov/Archives/edgar/data/946644/000161577416004671/0001615774-16-004671-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315217003242/0001493152-17-003242-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315218004291/0001493152-18-004291-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315219004583/0001493152-19-004583-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315220005290/0001493152-20-005290-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315221007259/0001493152-21-007259-index.htm,https://www.sec.gov/Archives/edgar/data/946644/000149315222008324/0001493152-22-008324-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11300000,5300000,9000000,12000000,6400000,3721000,3107000,2256000,3764000,8813000,3827000,3646000,11471000,6119000,58072000,2920000,3103000,2212000,803000,2156000,2115000,2408000,1412000,299000,1470000,38501,32093
32,Short-Term Investments,- -,- -,- -,- -,2200000,4657000,5310000,555000,1495000,7924000,12377000,18375000,3944000,- -,- -,32689000,27255000,41741000,17391000,13952000,6795000,3460000,695000,1526000,7308000,501,16175
33,Cash and Short-Term Investments,11300000,5300000,9000000,12000000,8600000,8378000,8417000,2811000,5259000,16737000,16204000,22021000,15415000,6119000,58072000,35609000,30358000,43953000,18194000,16108000,8910000,5868000,2107000,1825000,8778000,39002,48268
34,Net Receivables,- -,- -,- -,100000,2300000,60000,8000,1507000,282000,139000,96000,93000,77000,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,1094000,820000,34,1641
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,2896000,2148000,1767000,957000,511000,864000,- -,787000,897000,453000,- -,- -,1326000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,100000,1100000,1600000,100000,607000,381000,71000,170000,266000,216000,168000,596000,330000,332000,278000,531000,322000,358000,399000,335000,1073000,1374000,880000,848000,1274,304
37,Total Current Assets,11400000,5400000,10100000,13700000,11000000,9045000,8806000,4389000,8607000,19290000,18283000,23239000,16599000,7313000,58404000,36674000,31786000,44728000,18552000,16507000,10571000,6941000,3505000,3799000,10446000,40310,50213
38,PP&E,100000,100000,100000,200000,300000,373000,246000,155000,94000,3303000,4185000,5344000,4821000,4877000,4839000,5361000,6760000,5292000,12099000,11938000,11237000,9514000,8586000,7782000,7268000,6473,4196
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1200000,1500000,1400000,1400000,1400000,1204000,1025000,995000,1027000,908000,795000,857000,958000,969000,830000,794000,863000,1034000,1080000,861000,862000,872000,858000,912000,1151000,- -,- -
41,Intangible Assets,1200000,1500000,1400000,1400000,1400000,1204000,1025000,995000,1027000,908000,795000,857000,958000,969000,830000,794000,863000,1034000,1080000,861000,862000,872000,858000,912000,1151000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,35000,8813000,4033000,- -,- -,- -,- -,- -,- -,- -,- -,15376000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-100000,1000000,1500000,2445000,1958000,501000,3676000,1671000,1409000,1991000,764000,17000,886000,38000,71000,6645000,136000,134000,134000,1546000,1258000,1352000,1354000,-15375499,3290
45,Total Non-Current Assets,1300000,1600000,1400000,2600000,3200000,4022000,3229000,1651000,4797000,5882000,6389000,8192000,6543000,5898000,6590000,15006000,11727000,12971000,13315000,12933000,12233000,11932000,10702000,10046000,9773000,6974,7486
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12700000,7000000,11500000,16300000,14200000,13067000,12035000,6040000,13404000,25172000,24672000,31431000,23142000,13211000,64994000,51680000,43513000,57699000,31867000,29440000,22804000,18873000,14207000,13845000,20219000,47284,57699
48,Accounts Payable,1100000,600000,500000,800000,1100000,1341000,979000,786000,488000,526000,995000,1548000,1118000,791000,1294000,1328000,1681000,2157000,1271000,2081000,1213000,887000,741000,680000,472000,383,198
49,Short-Term Debt,4900000,- -,- -,- -,- -,- -,- -,- -,- -,3248000,- -,3871000,- -,- -,- -,61000,1744000,46000,33000,22000,1000,- -,- -,3607000,252000,277000,37
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2300000,500000,300000,300000,400000,154000,293000,678000,1119000,1012000,623000,1261000,1069000,876000,1321000,1443000,1644000,10446000,1228000,2333000,1219000,1548000,1966000,1005000,403000,-276281,438
53,Total Current Liabilities,8300000,1100000,800000,1100000,1500000,1495000,1272000,1464000,1607000,4786000,1618000,6680000,2187000,1667000,2615000,2832000,5069000,12649000,2532000,4436000,2433000,2435000,2707000,5292000,1127000,1102,673
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2058000,305000,3217000,- -,- -,- -,- -,- -,380000,- -,- -,- -,- -,- -,1835000,- -,3910000,- -,112
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,491000,- -,- -,- -,- -,- -,- -,2901000,99000,350000,37000,- -,- -,940000,962000,3379000,2275000,- -,35
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2549000,305000,3217000,- -,- -,- -,- -,2901000,479000,350000,37000,- -,- -,940000,2797000,3379000,6185000,- -,147
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2188,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000,148000,101000,56000,22000,1000,- -,- -,2517000,2470000,2285000,- -
61,Total Liabilities,8300000,1100000,800000,1100000,1500000,1495000,1272000,1464000,4156000,5091000,4835000,6680000,2187000,1667000,2615000,5733000,5548000,12999000,2569000,4436000,2433000,3375000,5504000,8671000,7312000,3290,820
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,778000,732000,- -
63,Common Stock,- -,- -,- -,- -,- -,30000,33000,33000,39000,50000,56000,67000,74000,79000,133000,135000,136000,166000,168000,204000,247000,24000,33000,49000,10000,42,48
64,Retained Earnings,-43500000,-48200000,-54400000,-61700000,-70900000,-82566000,-91649000,-99073000,-113843000,-137983000,-149677000,-167051000,-185190000,-197409000,-210847000,-217725000,-226740000,-244094000,-260319000,-277769000,-292999000,-300501000,-308760000,-318573000,-328109000,- -,-361101
65,Other Comprehensive Income/Loss,- -,-600000,-600000,-700000,-800000,-901000,-1028000,35000,-770000,-10000,-171000,46000,-7000,- -,-2149000,-974000,-389000,-43000,-114000,-160000,-97000,-5000,11000,-3000,-8545000,-47000,- -
66,Other Total Stockholders Equity,47900000,54700000,65700000,77600000,84400000,95009000,103407000,102635000,123822000,158024000,169629000,191689000,206078000,208874000,275242000,264511000,264958000,288671000,289563000,302729000,313220000,315980000,317419000,323701000,348773000,60608958,417932
67,Total Stockholders Equity,4400000,5900000,10700000,15200000,12700000,11572000,10763000,3630000,9248000,20081000,19837000,24751000,20955000,11544000,62379000,45947000,37965000,44700000,29298000,25004000,20371000,15498000,8703000,5174000,12907000,61294000,56879
68,Total Liabilities And Stockholders Equity,12700000,7000000,11500000,16300000,14200000,13067000,12035000,5094000,13404000,25172000,24672000,31431000,23142000,13211000,64994000,51680000,43513000,57699000,31867000,29440000,22804000,18873000,14207000,13845000,20219000,61297290,57699
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,946000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61250006,- -
70,Total Liabilities & Equity,12700000,7000000,11500000,16300000,14200000,13067000,12035000,6040000,13404000,25172000,24672000,31431000,23142000,13211000,64994000,51680000,43513000,57699000,31867000,29440000,22804000,18873000,14207000,13845000,20219000,47284,57699
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946644/000094664404000002/0000946644-04-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/946644/000114420406023585/0001144204-06-023585-index.htm,- -,https://www.sec.gov/Archives/edgar/data/946644/000114420408015808/v107109_10k.htm,https://www.sec.gov/Archives/edgar/data/946644/000094664409000003/0000946644-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420410013215/0001144204-10-013215-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420411017852/v216127_10k.htm,https://www.sec.gov/Archives/edgar/data/946644/000114420412014793/0001144204-12-014793-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420413015749/0001144204-13-015749-index.html,https://www.sec.gov/Archives/edgar/data/946644/000094664414000005/heb1231201310k.htm,https://www.sec.gov/Archives/edgar/data/946644/000094664415000008/heb1231201410k.htm,https://www.sec.gov/Archives/edgar/data/946644/000161577416004671/0001615774-16-004671-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315217003242/0001493152-17-003242-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315218004291/0001493152-18-004291-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315219004583/0001493152-19-004583-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315220005290/0001493152-20-005290-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315221007259/0001493152-21-007259-index.htm,https://www.sec.gov/Archives/edgar/data/946644/000149315222008324/0001493152-22-008324-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1800000,-4600000,-6100000,-7300000,-9200000,-8552000,-9083000,-7424000,-14770000,-24140000,-13213000,-19399000,-18139000,-12219000,-13438000,-13136000,-9015000,-17354000,-16225000,-17450000,-15230000,-7502000,-8259000,-9813000,-9533000,-14400000,-19127000
74,Depreciation and Amortization,300000,100000,200000,300000,300000,487000,524000,297000,7547000,12983000,4412000,980000,717000,716000,981000,780000,630000,683000,867000,1142000,1190000,1303000,1011000,878000,792000,733000,659000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,573000,826000,740000,377000,356000,376000,326000,181000,410000,571000,929000,853000,1036000,1568000
77,Change in Working Capital,-800000,1200000,5000000,3300000,-3100000,-1950000,-16000,-4609000,4075000,7504000,2161000,-106000,-2147000,-8766000,50143000,-21947000,-7125000,5362000,-16059000,-3949000,-3933000,-3632000,-3708000,-2291000,10812000,-9279792,10332
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000,-1070000,274000,40000,34000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-1429000,523000,505000,669000,337000,-288000,- -,77000,-110000,-579000,- -,- -,-1326000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1702000,1884000,362000,424000,860000,-617000,869000,-196000,-326000,566000,166000,-207000,-89000,-185000
81,Other Working Capital,3100000,4300000,9300000,12600000,9500000,7550000,7534000,2925000,7000000,14504000,16665000,16559000,14412000,5646000,55789000,33842000,26717000,32079000,16020000,12071000,8138000,4506000,798000,-1493000,9319000,39208,49540
82,Other Non-Cash Items,400000,-2800000,-3700000,-2200000,5000000,1941000,1294000,5327000,-3874000,-3587000,-596000,4778000,4457000,10338000,-47809000,21677000,5037000,-2183000,14211000,6013000,1739000,2041000,2444000,-343000,-11991000,11542792,2924668
83,Cash Provided by Operating Activities,-1900000,-6100000,-4600000,-5900000,-7000000,-8074000,-7281000,-6409000,-7022000,-7240000,-7236000,-13747000,-15112000,-9358000,-9297000,-11886000,-10096000,-13136000,-16830000,-13918000,-16053000,-7380000,-7941000,-10640000,-9067000,-10368000,-13965000
84,CAPEX,- -,-100000,- -,-200000,-300000,-171000,- -,- -,-19000,-150000,-1170000,-1424000,-423000,-215000,-574000,-1066000,-2036000,-5966000,-1140000,-762000,-490000,-454000,-69000,-127000,-365000,-595000,1779000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-154000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1000000,-1600000,-2200000,-4589000,-5293000,-520000,-1496000,-7934000,-12548000,-18329000,-6754000,- -,- -,-49889000,-10201000,-32765000,- -,- -,- -,- -,- -,-831000,-5782000,-18613000,-22535000
87,Sales/Maturities of Investments,- -,- -,- -,1000000,1600000,2157000,4613000,5293000,520000,1496000,7934000,12548000,21132000,3951000,- -,7448000,20896000,22658000,23479000,3248000,6842000,3370000,2799000,- -,- -,10044000,47000
88,Other Investing Activites,-100000,-400000,-300000,-1300000,-500000,-642000,-240000,-176000,-638000,-208000,- -,- -,- -,-142000,-242000,-346000,-238000,-205000,-313000,-256000,-250000,-294000,-49000,974000,-297000,-573000,20078000
89,Cash Used for Investing Activites,-100000,-500000,-1300000,-2100000,-1400000,-3245000,-920000,4597000,-1787000,-6796000,-5784000,-7205000,13955000,3736000,-574000,-43516000,8655000,-16067000,22268000,2488000,6352000,2916000,2730000,92000,-6147000,-9164000,-631000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43000,-71000,- -,- -,- -,- -,-1000,- -,-2221000,-2550000,-4685000,- -
91,Common Stock Issued,19000000,5500000,14600000,11000000,4800000,12235000,8147000,1011000,1235000,12077000,8034000,20771000,11620000,270000,55570000,293000,- -,23003000,249000,12817000,9681000,4744000,2417000,5070000,15303000,61248000,- -
92,Common Stock Repurchased,-2800000,- -,-5000000,-100000,-2100000,-3591000,-560000,-50000,-83000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2900000,-4900000,100000,100000,100000,- -,- -,- -,9165000,7008000,- -,- -,-2638000,- -,6254000,- -,1695000,5309000,-7096000,-34000,-21000,14000,1798000,6586000,3632000,- -,8188000
95,Cash Used/Provided by Financing Activities,13300000,600000,9700000,11000000,2800000,8644000,7587000,961000,10317000,19085000,8034000,20771000,8982000,270000,61824000,250000,1624000,28312000,-6847000,12783000,9660000,4757000,4215000,9435000,16385000,56563000,8188000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,13300000,600000,9700000,11000000,-5600000,-2675000,-614000,-851000,1508000,5049000,-4986000,-181000,7825000,-5352000,51953000,-55152000,183000,-891000,-1409000,1353000,-41000,293000,-996000,-1113000,1171000,37031000,-6408000
98,Cash at the End of Period,- -,- -,- -,- -,6400000,3721000,3107000,2256000,3764000,8813000,3827000,3646000,11471000,6119000,58072000,2920000,3103000,2212000,803000,2156000,2115000,2408000,1412000,299000,1470000,38501000,32093000
99,Cash at the Beginning of Period,100000,11300000,5300000,9000000,12000000,6396000,3721000,3107000,2256000,3764000,8813000,3827000,3646000,11471000,6119000,58072000,2920000,3103000,2212000,803000,2156000,2115000,2408000,1412000,299000,1470000,38501000
100,Free Cash Flow,-1900000,-6200000,-4600000,-6100000,-7300000,-8245000,-7281000,-6409000,-7041000,-7390000,-8406000,-15171000,-15535000,-9573000,-9871000,-12952000,-12132000,-19102000,-17970000,-14680000,-16543000,-7834000,-8010000,-10767000,-9432000,-10963000,-12186000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/946644/000094664404000002/0000946644-04-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/946644/000114420406023585/0001144204-06-023585-index.htm,- -,https://www.sec.gov/Archives/edgar/data/946644/000114420408015808/v107109_10k.htm,https://www.sec.gov/Archives/edgar/data/946644/000094664409000003/0000946644-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420410013215/0001144204-10-013215-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420411017852/v216127_10k.htm,https://www.sec.gov/Archives/edgar/data/946644/000114420412014793/0001144204-12-014793-index.html,https://www.sec.gov/Archives/edgar/data/946644/000114420413015749/0001144204-13-015749-index.html,https://www.sec.gov/Archives/edgar/data/946644/000094664414000005/heb1231201310k.htm,https://www.sec.gov/Archives/edgar/data/946644/000094664415000008/heb1231201410k.htm,https://www.sec.gov/Archives/edgar/data/946644/000161577416004671/0001615774-16-004671-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315217003242/0001493152-17-003242-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315218004291/0001493152-18-004291-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315219004583/0001493152-19-004583-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315220005290/0001493152-20-005290-index.html,https://www.sec.gov/Archives/edgar/data/946644/000149315221007259/0001493152-21-007259-index.htm,https://www.sec.gov/Archives/edgar/data/946644/000149315222008324/0001493152-22-008324-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
