,https://roic.ai/company/RPT,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,10764885,13178941,37846000,46388000,64342000,68315000,74563000,77670000,80749000,97120000,109530000,128651000,93672000,99800000,94978000,44314000,21533000,55905000,58924000,78578000,102852000,109516000,113834000,117494000,121188000,108557000,21915000,104582000
11,COGS and Expenses,-39700000,-400000,-4800000,-900000,-2500000,-2700000,10764885,13178941,37846000,46388000,64342000,68315000,74563000,77670000,80749000,97120000,109530000,128651000,93672000,99800000,94978000,82191000,58126000,92300000,94717000,124939000,165278000,183128000,188729000,192279000,194479000,180066000,166977000,172859000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36518000,31088000,35362000,28138000,25895000,29075000,33742000,40778000,43071000,44866000,43439000,40057000,39317000,37025000
14,Depreciation and Amortization,- -,- -,- -,100000,600000,600000,749404,1016147,4798000,8216000,12189000,13311000,15274000,17083000,17736000,22976000,27491000,30134000,32675000,36976000,32121000,30866000,31990000,37026000,39822000,56841000,81182000,89439000,91793000,91335000,87327000,78647000,77213000,72254000
15,EBITDA,-5400000,23700000,23800000,12900000,9400000,3700000,16391280,4554166,5090000,17414000,20847000,25150000,27030000,30946000,28742000,34069000,42611000,48627000,68299000,75651000,92140000,75674000,47204000,39201000,72887000,96977000,112614000,195665000,194827000,205404000,148583000,210394000,106272000,177830000
16,EBITDA ratio,-0.1574,0.7953,0.6467,0.4624,0.3144,0.1375,0.6207,0.2724,0.1256,0.2939,0.2716,0.2949,0.2928,0.3402,0.3151,0.3143,0.3231,0.3434,0.4457,0.4936,0.6480,0.6096,0.3942,0.3231,0.5662,0.5702,0.5157,0.7771,0.7467,0.7749,0.5701,0.8988,0.5543,0.8330
17,Operating Income,74000000,30200000,41600000,28800000,32400000,29600000,15641876,3538019,2667000,12856000,12413000,16958000,17764000,13303000,10474000,11543000,19998000,12972000,14168000,53455000,5589000,6482000,32845000,29020000,34021000,45129000,23330000,65497000,70908000,63399000,52260000,54022000,26696000,111736000
18,Operating Income ratio,2.1574,1.0134,1.1304,1.0323,1.0836,1.1004,0.5923,0.2116,0.0658,0.2170,0.1617,0.1989,0.1924,0.1462,0.1148,0.1065,0.1516,0.0916,0.0925,0.3488,0.0393,0.0522,0.2743,0.2392,0.2643,0.2654,0.1068,0.2601,0.2718,0.2392,0.2005,0.2308,0.1393,0.5234
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,3795000,- -,- -,3169000,-2367000,1136000,23388000,32643000,16998000,1959000,-19148000,-65533000,-25400000,-36694000,-25688000,1737000,-9497000,7463000,-34026000,39843000,-37195000,-41560000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36513000,8621000,8435000,-2358000,67234000,61411000,70862000,18234000,93865000,-10499000,70176000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.3010,0.0670,0.0496,-0.0108,0.2670,0.2354,0.2673,0.0700,0.4010,-0.0548,0.3287
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,795000,-34000,64000,54000,339000,299000,143000,198000,179000,-25000,-88000
23,Net Income,-5400000,23700000,23800000,12800000,8800000,3100000,15641876,3538019,292000,9198000,8658000,11839000,11756000,13863000,11006000,11093000,15120000,18493000,35624000,38675000,23501000,13720000,-20148000,-26758000,7204000,10997000,-2364000,65109000,59664000,69060000,17619000,91511000,-10233000,68639000
24,Net Income ratio,-0.1574,0.7953,0.6467,0.4588,0.2943,0.1152,0.5923,0.2116,0.0072,0.1553,0.1128,0.1388,0.1273,0.1524,0.1206,0.1023,0.1146,0.1306,0.2325,0.2524,0.1653,0.1105,-0.1682,-0.2206,0.0560,0.0647,-0.0108,0.2586,0.2287,0.2605,0.0676,0.3909,-0.0534,0.3215
25,EPS,-0.80,3.36,3.36,1.76,1.28,0.43,2.20,0.48,0.04,1.25,0.99,1.17,1.17,1.48,1.17,0.62,0.61,0.70,1.74,1.92,1.26,0.44,-0.57,-0.84,0.16,0.06,-0.14,0.73,0.66,0.78,0.13,1.06,-0.21,0.87
26,EPS Diluted,-0.80,3.36,3.36,1.76,1.28,0.43,2.20,0.48,0.04,1.25,0.98,1.17,1.17,1.47,1.16,0.62,0.60,0.70,1.73,1.91,1.26,0.44,-0.57,-0.84,0.16,0.06,-0.14,0.73,0.66,0.78,0.13,1.04,-0.21,0.79
27,Weighted Average Shares Outstanding,6750000,7053571,7083333,7272727,6875000,7209302,7109944,7370873,7123000,7123000,7133000,7218000,7186000,7105000,10529000,13955000,16816000,16837000,16665000,17851000,18470000,19292000,35046000,38466000,44101000,59336000,72118000,78848000,79236000,79344000,79592000,79802000,79998000,80418000
28,Weighted Average Shares Outstanding Diluted,6750000,7053571,7083333,7272727,6875000,7209302,7109944,7370873,7307692,7148000,7165000,7218000,7187000,7125000,10628000,14141000,17031000,16880000,16718000,18529000,21397000,19292000,35224000,38466000,44485000,59728000,72118000,79035000,79435000,79530000,80088000,87722000,79998000,88851000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/0000950123-96-001725-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/000095012499001895/0000950124-99-001895-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/000095012402000796/k67896e10-k.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012403000831/k74377e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012404000899/k82513e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012405002130/k91899e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012406000988/k02503e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012407001329/k12916e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012408001128/k24646e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095015209002465/0000950152-09-002465-index.html,https://www.sec.gov/Archives/edgar/data/842183/000095012310024206/0000950123-10-024206-index.html,https://www.sec.gov/Archives/edgar/data/842183/000115752311001382/a6631679.htm,https://www.sec.gov/Archives/edgar/data/842183/000115752312001309/0001157523-12-001309-index.html,https://www.sec.gov/Archives/edgar/data/842183/000115752313001055/0001157523-13-001055-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218314000003/rpt_12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218315000009/rpt-12312014_10k.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218316000076/0000842183-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218317000013/0000842183-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218318000013/0000842183-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218319000008/0000842183-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218320000009/0000842183-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218321000022/0000842183-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218322000015/0000842183-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,802384,1166958,3541000,5033000,4550000,5744000,2939000,5542000,9974000,19883000,15045000,14929000,11550000,14977000,5295000,8800000,10175000,12155000,4233000,5795000,9335000,6644000,3582000,8081000,41064000,110259000,208887000,13367000
32,Short-Term Investments,- -,- -,- -,5400000,5400000,- -,73781582,10299545,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117987000,830392000,804295000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,5400000,5400000,- -,74583966,11466503,3541000,5033000,4550000,5744000,2939000,5542000,9974000,19883000,15045000,14929000,11550000,132964000,835687000,813095000,10175000,12155000,4233000,5795000,9335000,6644000,3582000,8081000,41064000,110259000,208887000,13367000
34,Net Receivables,- -,8000000,10500000,11700000,13200000,10000000,50499761,43771776,3901000,6035000,9864000,12791000,15954000,17627000,21425000,30578000,26845000,32341000,33692000,35787000,40736000,44466000,13451000,12614000,22775000,24763000,27802000,36071000,42810000,45515000,45027000,44579000,44150000,40174000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-825501000,-800457000,63984000,6063000,8528000,8083000,15217000,14499000,15391000,9041000,6532000,6955000,5402000,3585000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50922000,57104000,87610000,30832000,35536000,38641000,52354000,57214000,61783000,62637000,92623000,161793000,258439000,57126000
38,PP&E,- -,- -,- -,- -,- -,- -,56109381,55299163,307752000,458294000,509844000,507463000,509629000,496269000,628953000,736753000,951176000,984098000,897975000,876410000,830392000,804295000,860030000,861735000,- -,- -,- -,- -,- -,- -,- -,19222000,18585000,17934000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2089000,2089000,2089000,2089000,2089000,2089000,2089000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25611000,69635000,77045000,88819000,74622000,61732000,46580000,34278000,26354000,37854000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25611000,69635000,77045000,90908000,76711000,63821000,48669000,36367000,28443000,39943000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9578000,9091000,9182000,53398000,75824000,117987000,95867000,97506000,105189000,97020000,95987000,30931000,28733000,4325000,3150000,3493000,1572000,130321000,126333000,280712000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37345000,39052000,- -,59236000,1008157000,1513041000,1790247000,1976224000,1919854000,1900443000,1785576000,1570856000,1518240000,1506364000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,963604000,940853000,965219000,1017991000,1129755000,1613607000,1896025000,2071457000,1999715000,1967757000,1835817000,1756766000,1691601000,1844953000
46,Other Assets,227100000,240300000,235600000,241600000,215600000,186400000,186170822,180581201,322854000,484682000,544404000,550506000,560284000,552729000,697842000,826979000,1043778000,1125275000,1064870000,1088499000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,227100000,240300000,235600000,241600000,215600000,186400000,186170822,180581201,322854000,484682000,544404000,550506000,560284000,552729000,697842000,826979000,1043778000,1125275000,1064870000,1088499000,1014526000,997957000,1052829000,1048823000,1165291000,1652248000,1948379000,2128671000,2061498000,2030394000,1928440000,1918559000,1950040000,1902079000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1282196,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26751000,26440000,24986000,31546000,21589000,32026000,44232000,44480000,57357000,56750000,56355000,55360000,45292000,47034000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1027751000,35000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,3600000,- -,59600000,61100000,69100000,69500000,67700000,72000000,73600000,76900000,80400000,88100000,84100000,116300000,4945000,5477000,10142000,11250000,10379000,14809000,17951000,18807000,19627000,19666000,19728000,19792000,-1026028000,12555000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,3600000,- -,59600000,61100000,69100000,69500000,67700000,72000000,73600000,76900000,80400000,88100000,84100000,116300000,31696000,31917000,35128000,42796000,31968000,46835000,62183000,63287000,76984000,76416000,76083000,75152000,47015000,94589000
54,Long-Term Debt,- -,24300000,24300000,36900000,20700000,5000000,- -,- -,143410000,295618000,328248000,337552000,354008000,347275000,423248000,454358000,633435000,724831000,676225000,690801000,662601000,552551000,571694000,518512000,541281000,753174000,921705000,1083711000,1021223000,999215000,963149000,930808000,1027751000,867437000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-18000,-48000,48000,-8000,25000,-48000,42000,-35000,-31000,-25000,-1000,7191000,6924000,6641000,6341000,32210000,54279000,66212000,75336000,71600000,69594000,57665000,64344000,73905000,44599000
58,Total Non-Current Liabilities,- -,24300000,24300000,36900000,20700000,5000000,- -,- -,143400000,295600000,328200000,337600000,354000000,347300000,423200000,454400000,633400000,724800000,676200000,690800000,669792000,559475000,578335000,524853000,573491000,807453000,987917000,1159047000,1092823000,1068809000,1020814000,995152000,1101656000,912036000
59,Other Liabilities,29100000,60600000,62100000,87300000,53700000,15100000,- -,3561590,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7942000,7682000,7443000,7191000,6924000,6641000,6341000,6023000,5686000,1828000,65301000,64800000,61219000,49622000,58005000,53977000,18252000
61,Total Liabilities,29100000,36300000,37800000,50400000,33000000,10100000,3571654,3561590,158283000,314436000,348727000,358662000,374439000,371167000,450253000,488307000,673401000,774442000,720722000,765742000,701488000,591392000,613463000,567649000,605459000,854288000,1050100000,1222334000,1169807000,1145225000,1096897000,1070304000,1148671000,1006625000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23804000,23804000,75545000,75545000,75518000,- -,- -,- -,- -,100000000,100000000,100000000,100000000,92427000,92427000,92427000,92427000,92427000,92427000,92427000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000,72000,72000,71000,71000,122000,167000,168000,168000,166000,185000,185000,309000,379000,387000,485000,667000,776000,792000,793000,794000,797000,798000,801000,839000
64,Retained Earnings,-43500000,-43500000,-43500000,-7300000,-17700000,-21700000,-15200000,-20800000,-30700000,-33767000,-38732000,-42426000,-46084000,-47502000,-53641000,-69306000,-88639000,-106270000,-107086000,-106100000,-112671000,-117663000,-161476000,-218888000,-249070000,-289837000,-356715000,-363937000,-381912000,-392619000,-450130000,-436361000,-471017000,-441478000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106000000,-107000000,-107000000,-116000000,-120000000,-161000000,-222000000,-254000000,-290000000,-359000000,-367000000,-384000000,-390000000,-446000000,-435000000,-14132000,-2635000
66,Other Total Stockholders Equity,241500000,247500000,241300000,198500000,200300000,198000000,197799168,197819611,150565000,161660000,185802000,185802000,184557000,180836000,230718000,341029000,342939000,448967000,442985000,494319000,501677000,604582000,724370000,789576000,932368000,1249267000,1487296000,1521941000,1543415000,1553720000,1614868000,1606376000,1174315000,1227791000
67,Total Stockholders Equity,198000000,204000000,197800000,191200000,182600000,176300000,182599168,177019611,119865000,127964000,147142000,143448000,138544000,133405000,201003000,295694000,330013000,312410000,304583000,281404000,273191000,367228000,402273000,449075000,529783000,770097000,872357000,884223000,870723000,864322000,811962000,828240000,782394000,876944000
68,Total Liabilities And Stockholders Equity,227100000,240300000,235600000,241600000,215600000,186400000,186170822,180581201,278148000,442400000,495869000,502110000,512983000,504572000,651256000,784001000,1003414000,1086852000,1025305000,1047146000,974679000,958620000,1015736000,1016724000,1135242000,1624385000,1922457000,2106557000,2040530000,2009547000,1908859000,1898544000,1931065000,1883569000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,44706000,42282000,48535000,48396000,47301000,48157000,46586000,42978000,40364000,38423000,39565000,41353000,39847000,39337000,37093000,32099000,30049000,27863000,25922000,22114000,20968000,20847000,19581000,20015000,18975000,18510000
70,Total Liabilities & Equity,227100000,240300000,235600000,241600000,215600000,186400000,186170822,180581201,322854000,484682000,544404000,550506000,560284000,552729000,697842000,826979000,1043778000,1125275000,1064870000,1088499000,1014526000,997957000,1052829000,1048823000,1165291000,1652248000,1948379000,2128671000,2061498000,2030394000,1928440000,1918559000,1950040000,1902079000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/0000950123-96-001725-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/000095012499001895/0000950124-99-001895-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/000095012402000796/k67896e10-k.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012403000831/k74377e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012404000899/k82513e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012405002130/k91899e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012406000988/k02503e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012407001329/k12916e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012408001128/k24646e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095015209002465/0000950152-09-002465-index.html,https://www.sec.gov/Archives/edgar/data/842183/000095012310024206/0000950123-10-024206-index.html,https://www.sec.gov/Archives/edgar/data/842183/000115752311001382/a6631679.htm,https://www.sec.gov/Archives/edgar/data/842183/000115752312001309/0001157523-12-001309-index.html,https://www.sec.gov/Archives/edgar/data/842183/000115752313001055/0001157523-13-001055-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218314000003/rpt_12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218315000009/rpt-12312014_10k.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218316000076/0000842183-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218317000013/0000842183-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218318000013/0000842183-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218319000008/0000842183-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218320000009/0000842183-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218321000022/0000842183-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218322000015/0000842183-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,23700000,23800000,12800000,8800000,3100000,15641876,3538019,292000,9198000,8658000,11839000,11756000,13863000,11006000,11093000,15120000,18493000,35624000,38675000,23501000,13720000,-20148000,-26758000,7204000,10997000,-2364000,65109000,59664000,69060000,17619000,91511000,-10233000,68639000
74,Depreciation and Amortization,- -,- -,- -,100000,600000,600000,749404,1016147,4798000,8216000,12189000,13311000,15274000,17083000,17736000,22976000,27491000,30134000,32675000,36976000,32121000,30866000,31990000,37026000,39822000,56841000,81182000,89439000,91793000,91335000,87327000,78647000,77213000,72254000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,795000,-34000,64000,54000,339000,299000,143000,198000,179000,-25000,-88000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1291000,1279000,1849000,2120000,2151000,2093000,1888000,2861000,4405000,6676000,6538000,6340000,8075000
77,Change in Working Capital,- -,7200000,- -,- -,- -,- -,-3600000,3600000,-59600000,-1500000,-8000000,-400000,1800000,-4300000,-1600000,-3300000,-3500000,-7700000,4000000,-32200000,135526000,5961000,27295000,-64446000,15532000,-11762000,-1635000,3756000,-9128000,1422000,30319000,70101000,124783000,1424000
78,Accounts Receivable,- -,-1200000,-2500000,-1200000,-1400000,200000,-2500000,-4600000,-4900000,-7000000,-11000000,-6700000,-11510000,-5919000,-10906000,-17212000,-5149000,-9328000,796000,5035000,-4949000,2120000,5112000,-252000,1128000,-1672000,-2349000,-6708000,1859000,-1974000,2390000,-637000,-1647000,1095000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,4800000,-1100000,-2100000,- -,-5100000,-2300000,-2500000,9300000,2700000,2100000,700000,282000,-696000,-235000,4491000,1558000,-1153000,-5324000,26031000,-20864000,901000,-792000,-3903000,- -,- -,- -,- -,- -,-3903000,-11910000,-2172000,-9994000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-3600000,- -,-59600000,-61100000,-69100000,-69500000,-67700000,-72000000,-73600000,-76900000,-80400000,-88100000,-84100000,-116300000,19226000,25187000,52482000,-11964000,3568000,-8194000,-9829000,-6073000,-15201000,-13779000,16540000,86641000,211424000,- -
82,Other Non-Cash Items,- -,-1000000,800000,6800000,10500000,6200000,1660223,-5818674,68761000,1112000,3947000,-796000,-11704000,-2090000,-8595000,-4740000,7276000,3678000,-25514000,42537000,-164150000,-3774000,2833000,96237000,-2450000,27292000,31262000,-55373000,-28394000,-48440000,-35817000,-156383000,-135019000,-57440000
83,Cash Provided by Operating Activities,- -,29900000,24600000,19700000,19900000,9900000,14451503,2335492,14251000,17026000,16794000,23954000,17126000,24556000,18547000,26029000,46387000,44605000,46785000,85988000,26998000,48064000,43249000,44703000,62194000,85583000,110592000,105158000,117095000,117925000,106322000,90593000,63059000,92864000
84,CAPEX,- -,- -,- -,- -,- -,- -,-8832548,-1005929,-41727000,-152492000,-38501000,-43178000,-27332000,-21727000,-105548000,-96194000,-119084000,-59468000,-50424000,-87133000,-67880000,-21598000,-87718000,-101690000,-38431000,-44625000,-80742000,-60923000,-72038000,-63256000,-77173000,-56601000,-23124000,-28142000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10272000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3869000,-4979000,-14000,14098000,- -,- -,3000000,-4738000,-11000,-156526000
86,Purchases of Investments,- -,- -,- -,-5400000,- -,- -,- -,-255596,- -,- -,- -,-2329000,-1430000,-2469000,- -,- -,-6547000,-44311000,-22886000,-38177000,-6079000,-10922000,-13720000,-10279000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1957000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,9300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22907000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3150000,- -,712000
