,https://roic.ai/company/WEYS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.22,0.20,0.23,0.26,0.33,0.34,0.26,0.34,0.30,0.33,0.40,0.55,0.63,0.70,0.86,0.87,0.83,1.17,1.50,1.78,1.68,1.88,1.98,1.49,1.14,1.21,1.38,1.75,1.63,1.76,1.69,1.57,1.61,2.01,2.11,-0.87,2.13
26,EPS Diluted,0.22,0.20,0.23,0.26,0.33,0.34,0.26,0.34,0.30,0.33,0.40,0.55,0.63,0.69,0.85,0.86,0.82,1.15,1.46,1.73,1.62,1.81,1.91,1.45,1.11,1.19,1.37,1.73,1.62,1.75,1.68,1.56,1.60,1.97,2.10,-0.87,2.12
27,Weighted Average Shares Outstanding,21481796,21136972,19990005,19860200,19384247,19297282,19357410,19213694,19111323,18778490,16906077,14668008,14368421,14000000,12906977,12209578,11493438,11271725,11385250,11391952,11548074,11625293,11566153,11397000,11266000,11293000,11066000,10844000,10779000,10791000,10773000,10519000,10253000,10168000,9904000,9758000,9662000
28,Weighted Average Shares Outstanding Diluted,21481796,21136972,19990005,19860200,19384247,19297282,19357410,19213694,19111323,18778490,16906440,14750689,14521277,14202899,13058824,12303861,11586880,11501091,11776496,11755173,11975781,12074890,11990043,11757000,11510000,11493000,11159000,10950000,10865000,10888000,10859000,10572000,10314000,10391000,9953000,9758000,9693000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106532/000095012497001773/0000950124-97-001773-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106532/000095013403004395/0000950134-03-004395-index.html,https://www.sec.gov/Archives/edgar/data/106532/000095013704001795/0000950137-04-001795-index.html,https://www.sec.gov/Archives/edgar/data/106532/000095013705002913/0000950137-05-002913-index.html,https://www.sec.gov/Archives/edgar/data/106532/000127528706001360/0001275287-06-001360-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000127528707001331/0001275287-07-001331-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420408015019/0001144204-08-015019-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420409013541/0001144204-09-013541-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420410013068/0001144204-10-013068-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420411014846/0001144204-11-014846-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420412014516/0001144204-12-014516-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420413015061/0001144204-13-015061-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420414015028/0001144204-14-015028-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420415015293/0001144204-15-015293-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420416087188/0001144204-16-087188-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420417013739/0001144204-17-013739-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420418014341/0001144204-18-014341-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420419013992/0001144204-19-013992-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000110465920032373/0001104659-20-032373-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000110465921035462/0001104659-21-035462-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000141057822000345/0001410578-22-000345-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8900000,9100000,7400000,8700000,6600000,8800000,14100000,9300000,9100000,3600000,11200000,6800000,3300000,4200000,3800000,3519190,16850998,7301104,9091567,10514707,22780913,15314140,7858677,11486000,30000000,7150000,10329000,17288000,15969000,12499000,17926000,13710000,23453000,22973000,9799000,32476000,19711000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,7690551,3266846,2099140,4206100,180000,875317,1600871,5603858,6623000,3954000,4989000,4745000,8004000,5196000,5914000,4522000,4601000,5970000,1525000,5904000,2215000,8341000
33,Cash and Short-Term Investments,8900000,9100000,7400000,8700000,6600000,8800000,14100000,9300000,9100000,3600000,11200000,6800000,3300000,4200000,8700000,11209741,20117844,9400244,13297667,10694707,23656230,16915011,13462535,18109000,33954000,12139000,15074000,25292000,21165000,18413000,22448000,18311000,29423000,24498000,15703000,34691000,28052000
34,Net Receivables,16300000,16400000,18600000,20100000,22900000,19800000,21000000,19900000,19700000,17600000,18900000,18200000,17700000,19600000,21900000,23864339,20867106,33178874,30128271,30774337,27843048,30641632,35964696,32099000,33020000,38840000,44452000,50184000,49585000,55100000,54009000,51515000,50120000,51533000,51532000,36005000,53782000
35,Inventory,13800000,12800000,19800000,18200000,25000000,26800000,22700000,16500000,17100000,10700000,14900000,12400000,11200000,11800000,19500000,13713216,17501656,49740933,43727578,47620220,38548602,51000849,44632321,47012000,40363000,56111000,62689000,65366000,63196000,69015000,97184000,69898000,60270000,72684000,86713000,59025000,71026000
36,Other Current Assets,-100000,- -,100000,- -,1300000,1100000,7200000,17100000,19100000,30600000,14500000,10400000,10700000,12500000,3000000,2882342,3233531,3224108,3451301,3460324,2599093,2664968,3776216,4257000,3922000,4398000,6008000,5602000,6136000,7521000,5835000,6203000,5770000,5380000,6047000,4610000,4317000
37,Total Current Assets,38900000,38300000,45900000,47000000,55800000,56500000,65000000,62800000,65000000,62500000,59500000,47800000,42900000,48100000,53100000,51669638,61720137,95544159,90604817,92549588,92646973,101222460,97835768,101477000,111259000,111488000,128223000,146444000,140082000,150049000,179476000,145927000,145583000,154095000,159995000,134331000,157177000
38,PP&E,5400000,4800000,4300000,3800000,4300000,4000000,3600000,4600000,4900000,4600000,3500000,2700000,2300000,13800000,16600000,16272197,15337383,22159983,29689257,27910304,27440762,28445900,28676728,28043000,26872000,25675000,31077000,37218000,35112000,33694000,31833000,33717000,31643000,28707000,50967000,40372000,38745000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11112000,11112000,11112000,11112000,11112000,11112000,11112000,11112000,11112000,11112000,12317000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10821681,10867969,10867969,10867969,10867969,10867969,10868000,10868000,12748000,34748000,37947000,37674000,37401000,37127000,35117000,34884000,34540000,34307000,34074000,35740000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10821681,10867969,10867969,10867969,10867969,10867969,10868000,10868000,12748000,45860000,49059000,48786000,48513000,48239000,46229000,45996000,45652000,45419000,45186000,48057000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42823000,58059000,46839000,36216000,25024000,24540000,20685000,21061000,17669000,18702000,15814000,12800000,9996000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,736000,2261000,1090000,3428000,792000,- -,1999000,- -,660000,750000,1277000,2487000,1235000,1063000
44,Other Non-Current Assets,200000,400000,900000,1300000,2000000,2600000,3100000,4400000,5000000,5700000,16300000,22600000,37000000,30900000,26200000,24001274,20896791,17709379,20024212,25027801,44542693,49086642,52771082,49516000,13070000,14375000,18081000,15592000,18529000,18651000,18764000,20646000,21191000,21611000,22235000,22795000,22629000
45,Total Non-Current Assets,5600000,5200000,5200000,5100000,6300000,6600000,6700000,9000000,9900000,10300000,19800000,25300000,39300000,44700000,42800000,40273471,36234174,50691043,60581438,63806074,82851424,88400511,92315779,89163000,95894000,111947000,145285000,138877000,127451000,127397000,119521000,122313000,117249000,115949000,136922000,122388000,120490000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44500000,43500000,51100000,52100000,62100000,63100000,71700000,71800000,74900000,72800000,79300000,73100000,82200000,92800000,95900000,91943109,97954311,146235202,151186255,156355662,175498397,189622971,190151547,190640000,207153000,223435000,273508000,285321000,267533000,277446000,298997000,268240000,262832000,270044000,296917000,256719000,277667000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,9800000,5600000,5900000,5200000,9200000,6800000,6300000,7400000,9400000,5955873,5317817,11268713,7465606,6661241,12222907,12398740,10541233,7494000,9202000,10360000,12936000,11133000,13956000,15657000,13339000,11942000,8905000,12764000,12455000,8444000,19234000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,8800000,5206948,7509904,- -,27944830,11359536,9552504,10957518,550000,1250000,- -,5000000,37000000,45000000,12000000,5405000,26649000,4268000,- -,5840000,13554000,4245000,3593000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1241000,116000,1234000,1225000,1299000,1285000,1142000,1193000,1182000,1682000,1116000,1123000,991000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1235000,- -
52,Other Current Liabilities,8900000,7100000,10200000,10300000,14100000,9500000,5300000,5500000,3200000,4300000,4300000,7200000,8300000,9500000,8100000,6595019,8082827,8964183,8843488,9879588,8137771,9557528,10012064,8079000,11075000,12359000,14959000,13888000,13700000,16695000,21199000,12764000,16259000,17526000,15867000,10421000,11681000
53,Total Current Liabilities,8900000,7100000,10200000,10300000,14100000,9500000,15100000,11100000,9100000,9500000,13500000,14000000,14600000,26400000,26300000,17757840,20910548,20232896,44253924,27900365,29913182,32913786,21103297,16823000,20277000,27719000,64895000,70021000,39656000,37757000,61187000,28974000,25164000,36130000,41876000,24345000,34508000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37801992,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7520000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2600000,3000000,3300000,500000,1300000,1200000,900000,- -,- -,- -,- -,- -,900000,1200000,1900000,2840000,3452000,3416000,5009158,5394516,5344702,1915869,2247701,- -,- -,- -,- -,- -,1993000,- -,70000,703000,2069000,3724000,3085000,2914000,5026000
57,Other Non-Current Liabilities,500000,800000,1100000,1600000,1700000,2200000,2700000,3000000,3500000,3900000,1700000,- -,- -,100000,-100000,- -,- -,- -,3077285,3312860,3672312,6620842,6042961,15160000,18533000,18572000,37223000,33911000,28892000,41735000,33011000,30283000,29940000,24607000,41962000,41535000,29218000
58,Total Non-Current Liabilities,3100000,3800000,4400000,2100000,3000000,3400000,3600000,3000000,3500000,3900000,1700000,- -,900000,1300000,1800000,2840000,3452000,41217992,8086443,8707376,9017014,8536711,8290662,15160000,18533000,18572000,37223000,33911000,30885000,41735000,33081000,30986000,32009000,28331000,45047000,44449000,41764000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20615000,11979000,11113000
61,Total Liabilities,12000000,10900000,14600000,12400000,17100000,12900000,18700000,14100000,12600000,13400000,15200000,14000000,15500000,27700000,28100000,20597840,24362548,61450888,52340367,36607741,38930196,41450497,29393959,31983000,38810000,46291000,102118000,103932000,70541000,79492000,94268000,59960000,57173000,64461000,86923000,68794000,76272000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,3972850,3748818,3789064,5630418,5742675,11574274,11714343,11534059,11353000,11333000,11356000,10922000,10831000,10876000,10821000,10767000,10505000,10162000,10057000,9873000,9797000,9709000
64,Retained Earnings,47600000,51100000,34300000,37400000,42600000,46700000,49500000,54400000,58500000,55900000,59400000,55900000,59800000,58100000,60500000,63591622,65953557,77092150,88917253,106747060,121334722,134264076,142774698,142617000,146241000,150546000,146266000,149664000,156983000,160179000,160325000,157468000,150350000,152835000,158825000,138955000,147762000
65,Other Comprehensive Income/Loss,-5400000,-5400000,-5900000,-5900000,-5500000,-5100000,-5200000,-4800000,-4100000,-4700000,-5300000,-6000000,-6300000,-6600000,-4900000,-5987377,-7260488,-1095947,109079,438050,221508,-5382041,-4339096,-10516000,-10066000,-9004000,-13419000,-12514000,-9422000,-18030000,-18467000,-16569000,-17859000,-21572000,-24536000,-28005000,-24794000
66,Other Total Stockholders Equity,- -,- -,8100000,8200000,7900000,8600000,8700000,8100000,7900000,8200000,10000000,9200000,13200000,13600000,8000000,9768174,11149876,4999047,4189138,6820136,3437697,7576096,10787927,15203000,16788000,19548000,22222000,26184000,31729000,37966000,45759000,50184000,55884000,64263000,65832000,67178000,- -
67,Total Stockholders Equity,32500000,32600000,36500000,39700000,45000000,50200000,53000000,57700000,62300000,59400000,64100000,59100000,66700000,65100000,67800000,71345269,73591763,84784314,98845888,119747921,136568201,148172474,160757588,158657000,164296000,172446000,165991000,174165000,190166000,190936000,198384000,201588000,198537000,205583000,209994000,187925000,201395000
68,Total Liabilities And Stockholders Equity,44500000,43500000,51100000,52100000,62100000,63100000,71700000,71800000,74900000,72800000,79300000,73100000,82200000,92800000,95900000,91943109,97954311,146235202,151186255,156355662,175498397,189622971,190151547,190640000,203106000,218737000,268109000,278097000,260707000,270428000,292652000,261548000,255710000,270044000,296917000,256719000,277667000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4047000,4698000,5399000,7224000,6826000,7018000,6345000,6692000,7122000,- -,- -,- -,- -
70,Total Liabilities & Equity,44500000,43500000,51100000,52100000,62100000,63100000,71700000,71800000,74900000,72800000,79300000,73100000,82200000,92800000,95900000,91943109,97954311,146235202,151186255,156355662,175498397,189622971,190151547,190640000,207153000,223435000,273508000,285321000,267533000,277446000,298997000,268240000,262832000,270044000,296917000,256719000,277667000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106532/000095012497001773/0000950124-97-001773-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106532/000095013403004395/0000950134-03-004395-index.html,https://www.sec.gov/Archives/edgar/data/106532/000095013704001795/0000950137-04-001795-index.html,https://www.sec.gov/Archives/edgar/data/106532/000095013705002913/0000950137-05-002913-index.html,https://www.sec.gov/Archives/edgar/data/106532/000127528706001360/0001275287-06-001360-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000127528707001331/0001275287-07-001331-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420408015019/0001144204-08-015019-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420409013541/0001144204-09-013541-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420410013068/0001144204-10-013068-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420411014846/0001144204-11-014846-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420412014516/0001144204-12-014516-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420413015061/0001144204-13-015061-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420414015028/0001144204-14-015028-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420415015293/0001144204-15-015293-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420416087188/0001144204-16-087188-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420417013739/0001144204-17-013739-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420418014341/0001144204-18-014341-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420419013992/0001144204-19-013992-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000110465920032373/0001104659-20-032373-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000110465921035462/0001104659-21-035462-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000141057822000345/0001410578-22-000345-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4800000,4300000,- -,5100000,6400000,6500000,5100000,6600000,5800000,6200000,6800000,8100000,9100000,9800000,11100000,10622333,9501242,13187918,17134801,20277674,19400765,21855551,22900982,17025000,12821000,13668000,15251000,18957000,17601000,19020000,18212000,16472000,16491000,20484000,20882000,-8485000,20555000
74,Depreciation and Amortization,1100000,1100000,- -,1200000,900000,1200000,1200000,1300000,1200000,1200000,1100000,1000000,800000,600000,1200000,1489511,1608525,2231119,2509814,2597806,2311724,2281044,2574424,2745000,3041000,2816000,2844000,3643000,4234000,4020000,4038000,4057000,4305000,4030000,3486000,3217000,2797000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-500000,-1100000,300000,-400000,200000,100000,-200000,100000,1300000,1110000,295000,1164000,978527,1187260,457086,517973,79734,436000,-18000,503000,-343000,1648000,1268000,1115000,346000,-2645000,2187000,643000,-869000,2755000,910000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,877000,1128000,1224000,1201000,1283000,1465000,1559000,1559000,1622000,1513000,1452000,1377000,1575000
77,Change in Working Capital,- -,4500000,- -,1000000,5000000,5300000,2900000,1800000,4200000,-2900000,-7000000,-12200000,-5500000,-6600000,5100000,7111798,6897791,34501674,-28960370,18298330,-1915432,5574883,8423797,7921529,6328000,-7213000,-20441000,13095000,24003000,11866000,5997000,-1336000,3466000,-2454000,154000,-8133000,-19923000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2917000,-4607000,-1267000,-5586000,421000,-6787000,1009000,3179000,637000,-2409000,-138000,11397000,-18717000
79,Inventory,- -,- -,- -,- -,- -,- -,4200000,6200000,-600000,6300000,-4200000,2500000,1200000,-600000,-7800000,5826515,-3788440,-7374620,6013355,-3892642,9071618,-12452247,6368528,-2380000,15758000,-14889000,-3667000,-2676000,2048000,-5807000,-28282000,27313000,9634000,-12387000,-14042000,27520000,-11349000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-231000,1031000,2141000,-1802000,2846000,1626000,-2326000,-1389000,-2813000,3898000,-315000,-4149000,10755000
