,https://roic.ai/company/TDY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0624,- -,0.0406,0.0089,0.0329,0.0353,- -,0.0410,0.0560,0.0607,0.0646,- -,0.0686,0.0733,0.0771,0.0791,0.0909,- -,0.0852,0.0873,0.1150,0.1272,- -,0.1302
25,EPS,1.73,- -,1.13,0.20,0.79,0.92,- -,1.29,2.34,2.82,3.41,- -,3.14,3.31,4.42,4.87,5.94,- -,5.52,6.39,9.25,11.01,- -,10.88
26,EPS Diluted,1.73,- -,1.09,0.20,0.77,0.91,- -,1.24,2.26,2.72,3.35,- -,3.10,3.27,4.39,4.87,5.75,- -,5.44,6.26,9.01,10.73,- -,10.62
27,Weighted Average Shares Outstanding,28150289,- -,28584071,33000000,32151899,32282609,- -,32325581,34316239,34929078,35400000,- -,36000000,36363372,37162697,37987680,36655584,- -,34514599,35540233,36087297,36547966,- -,36951607
28,Weighted Average Shares Outstanding Diluted,28150289,- -,29633028,33000000,32987013,32637363,- -,33629032,35530973,36213235,36500000,- -,36600000,36900000,37400000,38000000,37900000,- -,36000000,36300000,37000000,37500000,- -,37900000
29,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1094285/000095014802000625/0000950148-02-000625-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095014803000464/0000950148-03-000464-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095014804000489/0000950148-04-000489-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000095012905001911/0000950129-05-001911-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095013707003050/0000950137-07-003050-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095012408000940/0000950124-08-000940-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095013409003862/0000950134-09-003862-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000095012310020097/0000950123-10-020097-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095012311021752/0000950123-11-021752-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428513000064/0001094285-13-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428514000072/0001094285-14-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/0001094285-15-000037-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/0001094285-16-000177-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428518000053/0001094285-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428519000064/0001094285-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428520000045/0001094285-20-000045-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000109428521000066/0001094285-21-000066-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,14900000,11900000,19000000,37800000,- -,11400000,13000000,13400000,20400000,- -,26100000,75100000,45800000,66000000,141400000,- -,85100000,70900000,142500000,199500000,- -,673100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,14900000,11900000,19000000,37800000,- -,11400000,13000000,13400000,20400000,- -,26100000,75100000,45800000,66000000,141400000,- -,85100000,70900000,142500000,199500000,- -,673100000
34,Net Receivables,- -,- -,118500000,108700000,109200000,121300000,- -,141700000,226100000,241100000,281400000,- -,228700000,254800000,350300000,378000000,414300000,- -,401800000,478100000,561800000,660900000,- -,624100000
35,Inventory,- -,- -,65200000,56100000,66800000,63600000,- -,97700000,155800000,174600000,207000000,- -,164800000,172300000,281200000,294300000,311800000,- -,309200000,400200000,364300000,393400000,- -,347300000
36,Other Current Assets,- -,- -,24200000,32600000,26900000,29800000,- -,36100000,51900000,47600000,84200000,- -,149000000,145800000,67500000,60800000,74200000,- -,30700000,62700000,45800000,59900000,- -,78100000
37,Total Current Assets,- -,- -,222800000,209300000,221900000,252500000,- -,286900000,446800000,476700000,593000000,- -,568600000,648000000,744800000,799100000,941700000,- -,826800000,1011900000,1114400000,1313700000,- -,1722600000
38,PP&E,- -,- -,74000000,80200000,74700000,76000000,- -,90800000,164800000,177200000,202600000,- -,187900000,203400000,349500000,357700000,336500000,- -,321300000,442800000,442600000,615000000,- -,489300000
39,Goodwill,- -,- -,- -,26200000,44300000,56200000,- -,166000000,313600000,351600000,502500000,- -,501500000,546300000,990200000,1037800000,1150600000,- -,1140200000,1776700000,1735200000,2050500000,- -,2150000000
40,Intangible Assets,- -,- -,7600000,- -,- -,5400000,- -,26000000,69400000,61700000,117000000,- -,109600000,113900000,265700000,270900000,277600000,- -,243300000,398900000,344300000,430800000,- -,409700000
41,Intangible Assets,- -,- -,7600000,26200000,44300000,61600000,- -,192000000,383000000,413300000,619500000,- -,611100000,660200000,1255900000,1308700000,1428200000,- -,1383500000,2175600000,2079500000,2481300000,- -,2559700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,38600000,- -,- -,- -,- -,- -,33300000,112300000,77300000,- -,37900000,- -,51200000,34000000,- -,- -
44,Other Non-Current Assets,- -,- -,46500000,33600000,50200000,43500000,- -,55100000,28200000,92200000,119400000,- -,53900000,46200000,22900000,173300000,78500000,- -,147600000,216100000,121600000,135800000,- -,313200000
45,Total Non-Current Assets,- -,- -,128100000,140000000,169200000,181100000,- -,337900000,614600000,682700000,941500000,- -,852900000,909800000,1661600000,1952000000,1920500000,- -,1890300000,2834500000,2694900000,3266100000,- -,3362200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,350900000,349300000,391100000,433600000,- -,624800000,1061400000,1159400000,1534500000,- -,1421500000,1557800000,2406400000,2751100000,2862200000,- -,2717100000,3846400000,3809300000,4579800000,- -,5084800000
48,Accounts Payable,- -,- -,58700000,36900000,53100000,48100000,- -,62300000,94100000,105100000,108200000,- -,96700000,100600000,148600000,147500000,162500000,- -,136500000,191700000,227800000,271100000,- -,229100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,3200000,1200000,800000,1100000,- -,500000,2000000,2000000,3500000,86200000,- -,19100000,3600000,138300000,100600000,- -,97600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,18000000,18000000,22000000,- -,26000000,- -,34000000,42000000,- -,37000000,28000000,39000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,56500000,39100000,48200000,52900000,- -,71000000,135100000,123100000,160400000,- -,191800000,210600000,217700000,267100000,290300000,- -,238000000,345300000,354700000,391500000,- -,434200000
53,Total Current Liabilities,- -,- -,115200000,94000000,119300000,123000000,- -,162500000,230400000,263000000,311700000,- -,326000000,341200000,407300000,418100000,539000000,- -,393600000,540600000,720800000,763200000,- -,760900000
54,Long-Term Debt,- -,- -,- -,30000000,- -,- -,- -,74400000,230700000,142400000,332100000,- -,251600000,265300000,556200000,549000000,618900000,- -,761500000,1069300000,612300000,750000000,- -,680900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,72600000,52300000,95000000,89600000,- -,125800000,168500000,223800000,384900000,- -,177400000,165300000,255300000,312300000,277000000,- -,217900000,289200000,246500000,351900000,- -,414400000
58,Total Non-Current Liabilities,- -,- -,72600000,82300000,95000000,89600000,- -,200200000,399200000,366200000,717000000,- -,429000000,430600000,851300000,861300000,895900000,- -,979400000,1358500000,858800000,1101900000,- -,1095300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119300000,- -,- -
61,Total Liabilities,- -,- -,187800000,176300000,214300000,212600000,- -,362700000,629600000,629200000,1028700000,- -,755000000,771800000,1258600000,1279400000,1434900000,- -,1373000000,1899100000,1579600000,1865100000,- -,1856200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,300000,300000,300000,300000,- -,300000,300000,400000,400000,- -,400000,400000,400000,400000,400000,- -,400000,400000,400000,400000,- -,400000
64,Retained Earnings,- -,- -,37900000,44500000,69900000,99600000,- -,141300000,285800000,384100000,471200000,- -,583200000,703700000,1123000000,1308000000,1525700000,- -,1721500000,2139600000,2523700000,2926000000,- -,3327900000
65,Other Comprehensive Income/Loss,- -,- -,-111800000,400000,-23200000,-11300000,- -,-22300000,-42300000,-61200000,-205800000,- -,-171800000,-185600000,-273400000,-165500000,-323200000,- -,-413200000,-329300000,-493200000,-475800000,- -,-430100000
66,Other Total Stockholders Equity,- -,- -,236700000,127800000,129800000,132400000,- -,142800000,188000000,206900000,264200000,- -,254700000,267500000,297800000,328800000,224400000,- -,35400000,136600000,198800000,264100000,- -,330400000
67,Total Stockholders Equity,- -,- -,163100000,173000000,176800000,221000000,- -,262100000,431800000,530200000,530000000,- -,666500000,786000000,1147800000,1471700000,1427300000,- -,1344100000,1947300000,2229700000,2714700000,- -,3228600000
68,Total Liabilities And Stockholders Equity,- -,- -,350900000,349300000,391100000,433600000,- -,624800000,1061400000,1159400000,1558700000,- -,1421500000,1557800000,2406400000,2751100000,2862200000,- -,2717100000,3846400000,3809300000,4579800000,- -,5084800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,350900000,349300000,391100000,433600000,- -,624800000,1061400000,1159400000,1534500000,- -,1421500000,1557800000,2406400000,2751100000,2862200000,- -,2717100000,3846400000,3809300000,4579800000,- -,5084800000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1094285/000095014802000625/0000950148-02-000625-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095014803000464/0000950148-03-000464-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095014804000489/0000950148-04-000489-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000095012905001911/0000950129-05-001911-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095013707003050/0000950137-07-003050-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095012408000940/0000950124-08-000940-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095013409003862/0000950134-09-003862-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000095012310020097/0000950123-10-020097-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095012311021752/0000950123-11-021752-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428513000064/0001094285-13-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428514000072/0001094285-14-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/0001094285-15-000037-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/0001094285-16-000177-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428518000053/0001094285-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428519000064/0001094285-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428520000045/0001094285-20-000045-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000109428521000066/0001094285-21-000066-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,48700000,- -,32300000,6600000,25400000,29700000,- -,41700000,80300000,98500000,111300000,- -,113300000,120500000,164100000,185000000,217700000,- -,195800000,227200000,333800000,402300000,- -,401900000
74,Depreciation and Amortization,11100000,- -,14800000,20500000,21800000,23100000,- -,24800000,32000000,34700000,47300000,- -,44700000,45200000,78300000,91100000,94300000,- -,90300000,113000000,113000000,111900000,- -,116200000
75,Deferred Income Tax,-400000,- -,3400000,17700000,-13700000,5700000,- -,-10200000,-12100000,-21300000,-41000000,- -,64600000,17100000,-17900000,17400000,-57000000,- -,-7900000,-12300000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,10700000,14000000,- -,12200000,18800000,25100000,30700000,- -,30000000
77,Change in Working Capital,10100000,- -,7700000,-12700000,26900000,-5100000,- -,29600000,-2700000,67600000,-38700000,- -,64200000,-38300000,43500000,21700000,30500000,- -,-88800000,-77700000,156900000,411200000,- -,-16000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,- -,36100000,-19000000,-28500000,-7100000,-18900000,- -,21900000,-19600000,-66700000,-58800000,- -,- -
79,Inventory,-6100000,- -,-13800000,1400000,-8000000,8500000,- -,-11900000,-23200000,-10200000,-2300000,- -,16800000,1300000,-6800000,600000,-5700000,- -,-6400000,-7400000,-1700000,12200000,- -,54300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6100000,- -,-4700000,-3700000,22300000,-11800000,13400000,- -,-26800000,12400000,39900000,29600000,- -,-46300000
81,Other Working Capital,98500000,- -,115300000,102600000,129500000,124400000,- -,154000000,213700000,281300000,242600000,- -,306800000,268500000,381000000,402700000,433200000,- -,344400000,393600000,550500000,961700000,- -,945700000
82,Other Non-Cash Items,-2400000,- -,-20200000,-14400000,12900000,3300000,- -,-1000000,-19100000,-12800000,41500000,- -,-131900000,-2700000,-86500000,-121800000,-11600000,- -,8600000,105700000,-181900000,-474000000,- -,86800000
83,Cash Provided by Operating Activities,67100000,- -,38000000,17700000,73300000,56700000,- -,84900000,78400000,166700000,120400000,- -,154900000,141800000,189500000,204100000,287900000,- -,210200000,374700000,446900000,482100000,- -,618900000
84,CAPEX,-18100000,- -,-30700000,-26400000,-15400000,-20200000,- -,-18800000,-26400000,-40300000,-41900000,- -,-36200000,-31000000,-65300000,-72600000,-43500000,- -,-47000000,-58500000,-86800000,-88400000,- -,-71400000
85,Acquisitions Net,- -,- -,- -,-26500000,-23000000,-19900000,- -,-187800000,-252000000,-47300000,-285100000,- -,-32500000,-67900000,-388100000,-122400000,-195200000,- -,-62900000,-772700000,-1800000,-483500000,- -,-29000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,17300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2500000,- -,11300000,-300000,800000,-200000,- -,200000,700000,- -,400000,- -,- -,-2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
89,Cash Used for Investing Activites,-15600000,- -,-19400000,-53200000,-37600000,-40300000,- -,-189100000,-277700000,-87600000,-326600000,- -,-68700000,-101200000,-453400000,-195000000,-238700000,- -,-109900000,-831200000,-88600000,-571900000,- -,-99400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81600000,-246400000,- -,-5000000,- -,- -,-102800000,-139300000,-318000000,-137200000,- -,-100800000
91,Common Stock Issued,- -,- -,86200000,2500000,1400000,2400000,- -,7300000,12300000,6500000,- -,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,- -,-146600000,- -,-243800000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-51500000,- -,-97000000,30000000,-30000000,- -,- -,70500000,190700000,-85200000,213200000,- -,1100000,254800000,260300000,16100000,177000000,- -,201600000,553400000,46700000,278900000,- -,39000000
95,Cash Used/Provided by Financing Activities,-51500000,- -,-10800000,32500000,-28600000,2400000,- -,77800000,203000000,-78700000,213200000,- -,-80500000,8400000,260300000,11100000,30400000,- -,-145000000,414100000,-271300000,141700000,- -,-61800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4200000,- -,-11600000,14700000,-15400000,5100000,- -,15900000
97,Net Change In Cash,-51500000,- -,7800000,-3000000,7100000,18800000,- -,-26400000,3700000,400000,7000000,- -,5700000,49000000,-3600000,20200000,75400000,- -,-56300000,-27700000,71600000,57000000,- -,473600000
98,Cash at the End of Period,- -,- -,14900000,11900000,19000000,37800000,- -,11400000,13000000,13400000,20400000,- -,26100000,75100000,45800000,66000000,141400000,- -,85100000,70900000,142500000,199500000,- -,673100000
99,Cash at the Beginning of Period,- -,- -,7100000,14900000,11900000,19000000,- -,37800000,9300000,13000000,13400000,- -,20400000,26100000,49400000,45800000,66000000,- -,141400000,98600000,70900000,142500000,- -,199500000
100,Free Cash Flow,49000000,- -,7300000,-8700000,57900000,36500000,- -,66100000,52000000,126400000,78500000,- -,118700000,110800000,124200000,131500000,244400000,- -,163200000,316200000,360100000,393700000,- -,547500000
101,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1094285/000095014802000625/0000950148-02-000625-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095014803000464/0000950148-03-000464-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095014804000489/0000950148-04-000489-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000095012905001911/0000950129-05-001911-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095013707003050/0000950137-07-003050-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095012408000940/0000950124-08-000940-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095013409003862/0000950134-09-003862-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000095012310020097/0000950123-10-020097-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000095012311021752/0000950123-11-021752-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428513000064/0001094285-13-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428514000072/0001094285-14-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/0001094285-15-000037-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/0001094285-16-000177-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428518000053/0001094285-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428519000064/0001094285-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1094285/000109428520000045/0001094285-20-000045-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1094285/000109428521000066/0001094285-21-000066-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
