,https://roic.ai/company/HIBB,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14,Depreciation and Amortization,2000000,2300000,3100000,3762000,4802000,5873000,6866000,7267000,9939000,10119000,10932000,12154000,14324000,13905000,13623000,13205000,13029000,13847000,15990000,17038000,19047000,24207000,27052000,29323000,29583000,35827000
15,EBITDA,5500000,11900000,14100000,17862000,22202000,24273000,29532000,39311000,49789000,62963000,73573000,60783000,62337000,66323000,87212000,106801000,129042000,127772000,134158000,129073000,115835000,80924000,65324000,66665000,128098000,263719000
16,EBITDA ratio,0.0637,0.1048,0.0983,0.1025,0.1059,0.1007,0.1058,0.1225,0.1319,0.1430,0.1437,0.1167,0.1105,0.1117,0.1311,0.1458,0.1576,0.1500,0.1469,0.1369,0.1191,0.0836,0.0648,0.0563,0.0902,0.1559
17,Operating Income,7300000,9700000,11200000,14446000,18235000,18964000,23409000,31938000,39422000,51722000,61738000,48227000,47972000,52407000,73547000,93531000,115981000,113891000,118146000,112004000,96764000,56678000,37541000,36117000,98388000,228166000
18,Operating Income ratio,0.0845,0.0854,0.0781,0.0829,0.0870,0.0787,0.0838,0.0995,0.1044,0.1175,0.1206,0.0926,0.0850,0.0883,0.1106,0.1277,0.1417,0.1337,0.1293,0.1188,0.0995,0.0585,0.0372,0.0305,0.0693,0.1349
19,Total Other Income Expenses (Gains),-2700000,-100000,-200000,-446000,-835000,-664000,-1009000,106000,478000,1178000,862000,473000,-619000,-7000,-147000,-231000,-181000,-191000,-293000,-292000,-268000,-231000,17000,211000,-436000,-274000
20,Income Before Tax,4600000,9600000,11000000,14000000,17400000,18300000,22400000,32044000,39900000,52900000,62600000,48700000,47353000,52400000,73400000,93300000,115800000,113700000,117853000,111712000,96496000,56447000,37558000,36328000,97952000,227892000
21,Income Before Tax Ratio,0.0532,0.0845,0.0767,0.0803,0.0830,0.0759,0.0802,0.0998,0.1057,0.1201,0.1222,0.0935,0.0839,0.0883,0.1104,0.1274,0.1414,0.1335,0.1290,0.1185,0.0992,0.0583,0.0372,0.0307,0.0690,0.1348
22,Income Tax expense (Gain),1800000,3700000,4200000,5400000,6600000,6800000,8466000,11696000,14750000,19244000,24541000,18329000,17905000,19801000,27042000,34254000,43231000,42826000,44269000,41184000,35421000,21417000,9137000,8984000,23686000,53579000
23,Net Income,1700000,5900000,6800000,8700000,10800000,11600000,14200000,20348000,25100000,33600000,38100000,30300000,29448000,32500000,46400000,59100000,72600000,70900000,73584000,70528000,61075000,35030000,28421000,27344000,74266000,174313000
24,Net Income ratio,0.0197,0.0519,0.0474,0.0499,0.0515,0.0481,0.0509,0.0634,0.0665,0.0763,0.0744,0.0582,0.0522,0.0548,0.0698,0.0807,0.0887,0.0832,0.0806,0.0748,0.0628,0.0362,0.0282,0.0231,0.0523,0.1031
25,EPS,0.08,0.19,0.21,0.27,0.33,0.35,0.44,0.59,0.72,1.00,1.19,0.98,1.03,1.14,1.63,2.19,2.78,2.74,2.90,2.95,2.75,1.72,1.52,1.54,4.49,10.53
26,EPS Diluted,0.07,0.18,0.21,0.26,0.32,0.34,0.43,0.57,0.71,0.98,1.17,0.96,1.02,1.12,1.60,2.15,2.72,2.70,2.87,2.92,2.72,1.71,1.51,1.52,4.36,10.53
27,Weighted Average Shares Outstanding,22602776,31526288,32411512,32475460,32670147,33278796,33818540,34521673,34838262,33605568,32094127,31049058,28547000,28629000,28426000,26978000,26132000,25870000,25369000,23947000,22240000,20347000,18644000,17746000,16547000,16547000
28,Weighted Average Shares Outstanding Diluted,23213579,32211447,33034725,32991991,33479061,33965784,34501498,35397087,35672526,34393026,32619839,31525050,28954000,29089000,29033000,27506000,26638000,26266000,25620000,24129000,22427000,20450000,18826000,17957000,17037000,16547000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1017480/000095014497004803/0000950144-97-004803-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176398001058/0000931763-98-001058-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176399001310/0000931763-99-001310-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176300001079/0000931763-00-001079-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176301500433/0000931763-01-500433-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176302001286/0000931763-02-001286-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176303001165/0000931763-03-001165-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748004000050/0001017480-04-000050-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748005000025/f05_10k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748006000080/f06_10-k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748007000050/0001017480-07-000050-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748008000020/0001017480-08-000020-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748009000008/0001017480-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748010000007/0001017480-10-000007-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748011000018/f11_10k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748012000015/0001017480-12-000015-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748013000010/0001017480-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748014000009/form10k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748015000006/form10k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748016000052/0001017480-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748017000009/0001017480-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748018000012/0001017480-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748019000011/0001017480-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748020000010/0001017480-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748021000077/0001017480-21-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748022000023/0001017480-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2300000,4500000,900000,900000,1900000,2000000,12000000,41963000,58300000,25900000,30400000,10700000,20650000,49700000,75500000,55100000,76900000,66200000,88397000,32274000,38958000,73544000,61756000,66078000,209290000,17054000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,- -,200000,191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2300000,4500000,900000,900000,1900000,2000000,12000000,41963000,58300000,39100000,30400000,10900000,20841000,49700000,75500000,55100000,76900000,66200000,88397000,32274000,38958000,73544000,61756000,66078000,209290000,17054000
34,Net Receivables,2200000,1800000,2200000,2100000,2600000,2400000,3400000,3594000,4900000,4700000,4700000,5600000,5388000,4600000,5400000,6100000,6000000,- -,7577000,7076000,8902000,6599000,9470000,8477000,11905000,- -
35,Inventory,24500000,33300000,47700000,58100000,70100000,81100000,86200000,94777000,103000000,108900000,125200000,141400000,151776000,169400000,174900000,195100000,221400000,226500000,240408000,283099000,280701000,253201000,280287000,288011000,202038000,221219000
36,Other Current Assets,1100000,1300000,1600000,1400000,1900000,2200000,1600000,1925000,1200000,2800000,6600000,8100000,7760000,7800000,13500000,12500000,17300000,30900000,19116000,7919000,9703000,13430000,16343000,9946000,16567000,38741000
37,Total Current Assets,30100000,40900000,52400000,62500000,76500000,87700000,103200000,142259000,167400000,155500000,166900000,166000000,185765000,231500000,269300000,268800000,321600000,323600000,355498000,330368000,338264000,346774000,367856000,372512000,439800000,277014000
38,PP&E,9900000,12100000,15400000,20000000,23700000,26500000,26200000,26173000,32900000,37600000,42600000,46500000,45309000,41100000,40100000,39600000,49100000,86000000,92981000,101389000,111634000,109698000,115394000,332361000,326668000,389718000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23133000,19661000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32400000,32400000,23500000,23500000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55533000,52061000,23500000,23500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3481000,- -,- -,- -,- -,- -,306000,- -,- -,- -,- -,- -,14625000,7187000
44,Other Non-Current Assets,400000,400000,800000,800000,1100000,1100000,200000,130000,1800000,2700000,3400000,4200000,532000,4100000,4900000,5300000,6600000,6700000,3612000,10615000,8956000,5374000,7282000,12825000,3573000,5798000
45,Total Non-Current Assets,10300000,12500000,16200000,20800000,24800000,27600000,26400000,26303000,34700000,40300000,46000000,50700000,49322000,45200000,45000000,44900000,55700000,92700000,96899000,112004000,120590000,115072000,178209000,397247000,368366000,426203000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40400000,53400000,68600000,83300000,101300000,115300000,129600000,168562000,202100000,195800000,212900000,216700000,235087000,276700000,314300000,313700000,377300000,416300000,452397000,442372000,458854000,461846000,546065000,769759000,808166000,703217000
48,Accounts Payable,10400000,11000000,16200000,19000000,18300000,23700000,24900000,37976000,50200000,45900000,42000000,64100000,64460000,64900000,76000000,73700000,102000000,74500000,84439000,88456000,77046000,93435000,107315000,131662000,107215000,85647000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000,312000,173000,714000,322000,436000,478000,595000,663000,36017000,61535000,59569000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2459000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,798000,- -,149000,1203000,1607000,2725000,4445000,6163000,7528000,7802000,8768000,9048000,- -,6657000,5285000,2176000,2278000,8996000,- -,- -
52,Other Current Liabilities,3400000,4200000,7100000,5700000,6500000,7600000,6502000,7093000,10951000,9797000,16893000,9775000,9805000,12720000,10460000,10025000,7218000,7530000,17250000,9599000,13146000,19293000,27663000,31468000,58536000,109217000
53,Total Current Liabilities,13800000,15200000,23300000,24700000,24800000,31300000,32200000,45069000,61300000,56900000,60500000,76600000,78710000,83900000,94300000,91700000,118700000,91400000,102125000,105190000,96072000,115567000,173273000,233661000,225320000,194864000
54,Long-Term Debt,- -,- -,- -,4400000,9700000,3900000,- -,- -,- -,- -,- -,- -,- -,200000,2200000,2100000,2100000,- -,- -,3149000,2857000,2522000,1994000,1704000,188732000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16543000,- -,12816000,11571000,12006000,13803000,- -,19119000,21664000,20291000,19522000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,603000,- -,- -,- -,- -,2957000,- -,7528000,2899000,3027000,1738000,- -,1355000,1401000,1294000,1401000,955000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,100000,- -,- -,10800000,14200000,15700000,21100000,302000,17500000,-2644000,1630000,2367000,5359000,25491000,2713000,2820000,2576000,13826000,204456000,3078000,508353000
58,Total Non-Current Liabilities,- -,- -,- -,4400000,9800000,4000000,- -,603000,10800000,14200000,15700000,21100000,19802000,17700000,19900000,18200000,19500000,20900000,25491000,26336000,28742000,26683000,36743000,207115000,191810000,508353000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000,2245000,2072000,2852000,3211000,3465000,3627000,3452000,3185000,3011000,253938000,248301000,- -
61,Total Liabilities,13800000,15200000,23300000,29100000,34600000,35300000,32200000,45672000,72100000,71100000,76200000,97700000,98512000,101600000,114200000,109900000,138200000,112300000,127616000,131526000,124814000,142250000,210016000,440776000,417130000,703217000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,- -,100000,100000,100000,100000,200000,155000,400000,400000,400000,400000,363000,400000,400000,400000,400000,400000,385000,386000,387000,389000,390000,391000,394000,- -
64,Retained Earnings,-21500000,-15600000,-8800000,-100000,10700000,22200000,37000000,57302000,80000000,113600000,151700000,181600000,211003000,243600000,290000000,349000000,421600000,492500000,566055000,636583000,697658000,731901000,759677000,784942000,858951000,- -
65,Other Comprehensive Income/Loss,-8700000,-10500000,-13300000,-16800000,-21300000,-22000000,-26700000,-30124000,-46900000,-55900000,-64600000,-75200000,-86315000,-95200000,-104200000,-112100000,-121500000,-125200000,-119213000,-130067000,-135782000,-148312000,-156098000,-165092000,- -,- -
66,Other Total Stockholders Equity,56600000,64300000,67300000,71000000,77200000,79800000,86850000,95557000,96539000,66673000,49141000,12255000,11524000,26279000,13888000,-33550000,-61373000,-63677000,-122446000,-196056000,-228223000,-264382000,-267920000,-291258000,-468309000,- -
67,Total Stockholders Equity,26500000,38200000,45300000,54200000,66700000,80100000,97350000,122890000,130039000,124773000,136641000,119055000,136575000,175079000,200088000,203750000,239127000,304023000,324781000,310846000,334040000,319596000,336049000,328983000,391036000,- -
68,Total Liabilities And Stockholders Equity,40300000,53400000,68600000,83300000,101300000,115400000,129550000,168562000,202139000,195873000,212841000,216755000,235087000,276679000,314288000,313650000,377327000,416323000,452397000,442372000,458854000,461846000,546065000,769759000,808166000,703217000
69,Minority Interest,100000,- -,- -,- -,- -,-100000,50000,- -,-39000,-73000,59000,-55000,- -,21000,12000,50000,-27000,-23000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,40400000,53400000,68600000,83300000,101300000,115300000,129600000,168562000,202100000,195800000,212900000,216700000,235087000,276700000,314300000,313700000,377300000,416300000,452397000,442372000,458854000,461846000,546065000,769759000,808166000,703217000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1017480/000095014497004803/0000950144-97-004803-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176398001058/0000931763-98-001058-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176399001310/0000931763-99-001310-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176300001079/0000931763-00-001079-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176301500433/0000931763-01-500433-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176302001286/0000931763-02-001286-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000093176303001165/0000931763-03-001165-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748004000050/0001017480-04-000050-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748005000025/f05_10k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748006000080/f06_10-k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748007000050/0001017480-07-000050-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748008000020/0001017480-08-000020-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748009000008/0001017480-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748010000007/0001017480-10-000007-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748011000018/f11_10k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748012000015/0001017480-12-000015-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748013000010/0001017480-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748014000009/form10k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748015000006/form10k.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748016000052/0001017480-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748017000009/0001017480-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748018000012/0001017480-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748019000011/0001017480-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748020000010/0001017480-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1017480/000101748021000077/0001017480-21-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1017480/000101748022000023/0001017480-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1700000,5900000,6800000,8700000,10800000,11600000,14200000,20348000,25100000,33600000,38100000,30300000,29448000,32500000,46400000,59100000,72600000,70900000,73584000,70528000,61075000,35030000,28421000,27344000,74266000,174313000
74,Depreciation and Amortization,2000000,2300000,3100000,3762000,4802000,5873000,6866000,7267000,9939000,10119000,10932000,12154000,14324000,13905000,13623000,13205000,13029000,13847000,15990000,17038000,19047000,24207000,27052000,29323000,29583000,35827000
75,Deferred Income Tax,-100000,- -,-300000,-85000,-523000,-469000,1462000,478000,-45000,-1918000,-1073000,673000,-925000,-2433000,-1558000,-46000,-1507000,-73000,4220000,1285000,1418000,3488000,244000,-5143000,-5774000,7259000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3556000,4157000,4796000,5453000,5649000,5838000,4468000,5198000,4592000,3880000,4316000,2653000,3799000,5540000
77,Change in Working Capital,-3000000,3400000,8700000,13900000,4700000,14600000,26190000,8910000,-7500000,7800000,-17000000,17655000,40545000,27400000,2100000,25800000,29300000,21173000,-28195000,17014000,-10985000,-36624000,-55732000,75629000,-132330000,-51104000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000,759000,-757000,-738000,577000,-452000,117000,-106000,-879000,- -,- -,- -,- -,- -
79,Inventory,-3800000,-8700000,-14400000,-10372000,-11992000,-11024000,-5164000,-8531000,-8232000,-5853000,-16378000,-16022000,-10369000,-17618000,-5484000,-20193000,-26307000,-5167000,-13863000,-42691000,2398000,27500000,16804000,-8680000,85973000,-19181000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336000,489000,11036000,-2251000,28286000,-27489000,9907000,4017000,-11410000,16389000,-9927000,24347000,-26261000,-25580000
81,Other Working Capital,25700000,29100000,37800000,51700000,56400000,71000000,97190000,106100000,98600000,106400000,89400000,107055000,147600000,175000000,177100000,202900000,232200000,253373000,225178000,242192000,231207000,194583000,138851000,214480000,82150000,- -
82,Other Non-Cash Items,1200000,-10100000,-15700000,-22643000,-17233000,-18817000,-30515000,-3187000,18629000,-11555000,5503000,-12760000,-47951000,-38615000,-3443000,-48591000,-31947000,-58384000,32325000,-52584000,3528000,81945000,69116000,-37517000,228172000,-12347000
83,Cash Provided by Operating Activities,1800000,1500000,2600000,3634000,2546000,12787000,18203000,33816000,46123000,38046000,36462000,48022000,38997000,36914000,61918000,54921000,87124000,53301000,102392000,58479000,78675000,111926000,73417000,92289000,197716000,159488000
84,CAPEX,-4300000,-4500000,-6300000,-10619000,-8557000,-8726000,-6719000,-7563000,-12671000,-15348000,-16278000,-16376000,-13697000,-9605000,-10476000,-12997000,-21970000,-50507000,-22873000,-25147000,-29733000,-23081000,-17696000,-17326000,-34760000,-71153000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86837000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13227000,- -,-191000,-141000,-39000,-529000,-481000,-530000,-704000,-90000,- -,-104000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13227000,- -,- -,- -,- -,- -,- -,- -,- -,65000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,5300000,- -,- -,2315000,26000,28000,611000,12000,45000,43000,54000,18000,-13640000,-9564000,-10354000,-12894000,-21788000,-50286000,-22469000,-24742000,-29305000,-22900000,-17034000,-17006000,-32970000,-70161000
89,Cash Used for Investing Activites,1000000,-4500000,-6300000,-8304000,-8531000,-8698000,-6108000,-7551000,-12626000,-28532000,-2997000,-16549000,-13781000,-9603000,-10883000,-13375000,-22318000,-50990000,-22559000,-24677000,-29409000,-22900000,-103871000,-17006000,-32970000,-70161000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77000,-114000,-311000,-181000,-268000,-377000,-346000,-485000,-601000,-695000,-977000,-118552000,-39219000
91,Common Stock Issued,32900000,5200000,100000,194000,1652000,1844000,1852000,3682000,1993000,3351000,2684000,1054000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-19111000,-45263000,-32958000,-52672000,-16940000,- -,-37715000,-67484000,-45938000,-15807000,-56302000,-89212000,-42115000,-53794000,-16124000,-34904000,-16717000,-267826000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10939000
94,Other Financing Activites,-33400000,- -,- -,4391000,5357000,-5845000,-3903000,- -,- -,- -,1232000,520000,1632000,1807000,12620000,5870000,3086000,3080000,-984000,-367000,18000,-45000,35485000,-35080000,113735000,36421000
95,Cash Used/Provided by Financing Activities,-500000,5200000,100000,4585000,7009000,-4001000,-2051000,3682000,-17118000,-41912000,-29042000,-51098000,-15308000,1730000,-25209000,-61925000,-43033000,-12995000,-57663000,-89925000,-42582000,-54440000,18666000,-70961000,-21534000,-281563000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-500000,5200000,100000,-85000,1024000,88000,10044000,29947000,16379000,-32398000,4423000,-19625000,9908000,29041000,25826000,-20379000,21773000,-10684000,22170000,-56123000,6684000,34586000,-11788000,4322000,143212000,-192236000
98,Cash at the End of Period,- -,- -,- -,860000,1884000,1972000,12016000,41963000,58342000,25944000,30367000,10742000,20650000,49691000,75517000,55138000,76911000,66227000,88397000,32274000,38958000,73544000,61756000,66078000,209290000,17054000
99,Cash at the Beginning of Period,- -,2300000,4500000,945000,860000,1884000,1972000,12016000,41963000,58342000,25944000,30367000,10742000,20650000,49691000,75517000,55138000,76911000,66227000,88397000,32274000,38958000,73544000,61756000,66078000,209290000
100,Free Cash Flow,-2500000,-3000000,-3700000,-6985000,-6011000,4061000,11484000,26253000,33452000,22698000,20184000,31646000,25300000,27309000,51442000,41924000,65154000,2794000,79519000,33332000,48942000,88845000,55721000,74963000,162956000,88335000
