,https://roic.ai/company/MKL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096343/000091664101500015/0000916641-01-500015-index.html,- -,https://www.sec.gov/Archives/edgar/data/1096343/000091664103000751/0000916641-03-000751-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312504041548/0001193125-04-041548-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312505039831/0001193125-05-039831-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312506045092/0001193125-06-045092-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312507043689/0001193125-07-043689-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312508042863/0001193125-08-042863-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312509041947/0001193125-09-041947-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312510044413/0001193125-10-044413-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312511048986/0001193125-11-048986-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312512083817/0001193125-12-083817-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634313000005/0001096343-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634314000006/0001096343-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634315000013/0001096343-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634316000185/0001096343-16-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634317000046/0001096343-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634318000042/0001096343-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000074/0001096343-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000039/0001096343-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634321000032/0001096343-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634322000039/0001096343-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250320000,296781000,444236000,372511000,378939000,333757000,555115000,477661000,639578000,850494000,745259000,775032000,973181000,1978526000,1960169000,2630009000,1738747000,2198459000,2014168000,3072807000,4341736000,3978490000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80710000,64791000,67821000,82012000,121714000,248541000,139499000,51552000,508834000,492581000,325340000,541014000,5952613000,11594824000,12017731000,11036729000,12227661000,12101644000,11120884000,11167157000,12715833000,14387293000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331030000,361572000,512057000,454523000,500653000,582298000,694614000,529213000,1148412000,1343075000,1070599000,1316046000,6925794000,13573350000,13977900000,13666738000,13966408000,14300103000,13135052000,14239964000,17057569000,18365783000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1327547000,1805414000,2139421000,2221527000,2172108000,2250124000,1685438000,1447519000,271067000,279879000,312096000,350237000,1243802000,3098189000,3106092000,3180491000,3313486000,6312843000,6914473000,7280514000,7919548000,9707493000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2207242000,-2303539000,-2666444000,-2825848000,-2372517000,-1968944000,-1412571000,-1615105000,-1374471000,-1657555000,-8160263000,-16653927000,-17065354000,-16829048000,-17260835000,-20592376000,-19586460000,-20960667000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,444236000,372511000,6317000,6574000,7535000,7788000,6908000,7849000,8224000,8728000,9333000,17612000,18638000,18181000,19059000,20570000,463065000,559811000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347909000,421390000,- -,- -,- -,551542000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339717000,339717000,339717000,- -,- -,- -,- -,- -,674930000,967717000,1049115000,1167844000,1142248000,1777464000,2237975000,2308548000,2604624000,2899140000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402999000,372128000,361444000,357317000,- -,- -,- -,344911000,344031000,502833000,645900000,867558000,374295000,565083000,702747000,792372000,722542000,1355681000,1726196000,1738474000,1782718000,1822486000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402999000,372128000,361444000,357317000,339717000,339717000,339717000,344911000,344031000,502833000,645900000,867558000,1049225000,1532800000,1751862000,1960216000,1864790000,3133145000,3964171000,4047022000,4387342000,4721626000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3869916000,4977441000,5937808000,6240393000,6906741000,7229364000,6268878000,6998179000,7478537000,7953115000,8359564000,14846622000,16155307000,15111204000,16973502000,18069491000,16841829000,18757912000,19709943000,23411220000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3869916000,-4977441000,-5937808000,-6240393000,-6906741000,-7229364000,-6268878000,-6998179000,2692928000,-6068513000,-6197928000,-4898302000,-11252279000,-9877527000,-11685364000,-8697508000,-6960416000,-21283101000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361444000,357317000,339717000,339717000,339717000,344911000,344031000,502833000,10817365000,2752160000,3210861000,11829029000,7076280000,7193893000,7152928000,12505128000,14397126000,1521833000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5473153000,6440628000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41710054000,48448866000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5473153000,6440628000,805680000,729828000,346034000,346291000,347252000,352699000,350939000,510682000,10825589000,2760888000,3220194000,11846641000,7094918000,7212074000,7171987000,12525698000,14860191000,2081644000,41710054000,48448866000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42399000,46853000,50715000,64327000,881986000,2149910000,2144791000,2241586000,2238272000,4943640000,5399362000,5660135000,6230129000,7492982000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,963648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3998000000,4825000000,5609000000,6388000000,6886000000,7260000000,6934000000,6812000000,6565601000,5493499000,6587285000,6786673000,6293014000,12876090000,13207154000,12624108000,12601571000,15257998000,16105209000,17272149000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3998000000,4825000000,5609000000,6388000000,6886000000,7260000000,6934000000,6812000000,6608000000,6504000000,6638000000,6851000000,7175000000,15026000000,15351945000,14865694000,14839843000,20201638000,21504571000,22932284000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,573111000,381020000,490493000,762111000,855077000,848881000,858357000,680698000,688509000,963648000,1015947000,1293520000,1492550000,2256227000,2253594000,2241427000,2574529000,3099230000,3009577000,3534183000,3484023000,4361266000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149889000,149980000,149507000,-111000,-77000,119000,-357000,302000,491000,352000,53000,480000,450000,-227000,- -,-2156000,- -,- -,-288538000,-63519000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723000000,531000000,640000000,762000000,855000000,849000000,858000000,681000000,689000000,964000000,1016000000,1294000000,1493000000,2256000000,2253594000,2239271000,2574529000,3099230000,2721039000,3470664000,3484023000,4361266000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1280449000,- -,1710083000,- -,- -,1362257000,1378016000,- -,- -,- -,- -,- -,- -,- -,- -,6201027000,- -,- -,32379396000,38092224000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4570781000,5205520000,6249449000,7149954000,7741083000,8108665000,7791738000,7493257000,7297016000,7450182000,7637897000,8069757000,8667571000,17277501000,17598355000,17100662000,17407888000,23303435000,24205961000,26395399000,28895373000,33730958000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591891000,591891000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,884457000,- -,908980000,3288863000,3308395000,3342357000,3368666000,3381834000,3392993000,3404919000,3428340000,3441079000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302000000,176252000,251568000,375041000,537068000,669057000,1015679000,1417269000,1297901000,1514398000,1735973000,1835086000,2068340000,2294909000,2581866000,3137285000,3526395000,3776743000,5782310000,7457176000,8195182000,10424461000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000000,426000000,358000000,13000000,387000000,551000000,661000000,911000000,1090000000,1705000000,1355000000,1566000000,2346000000,-95000000,209000000,584376000,237617000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450372000,908856000,907543000,1007238000,1119435000,743376000,854714000,865893000,869773000,872962000,93000,891427000,337000,-195000,-443000,-492000,-134000,-429000,350000,-228000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752372000,1085108000,1159111000,1382279000,1656503000,1705433000,2296393000,2641162000,2180674000,2774360000,3171523000,3387513000,3888657000,6673577000,7594818000,7834150000,8460927000,9504148000,9080653000,11070867000,12799789000,14695048000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5323153000,6290628000,7408560000,8532233000,9397586000,9814098000,10088131000,10134419000,9477690000,10224542000,10809420000,11457270000,12556228000,23951078000,25193173000,24934812000,25868815000,32807583000,33286614000,37466266000,41695162000,48426006000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,150000000,-6602880000,-7802405000,-9051552000,-9467807000,-9740879000,-9781720000,-9126751000,-9713860000,16169000,-8696382000,-9336034000,-12104437000,-18098255000,-17722738000,-18696828000,-20281885000,-18426423000,-35384622000,14892000,22860000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5473153000,6440628000,805680000,729828000,346034000,346291000,347252000,352699000,350939000,510682000,10825589000,2760888000,3220194000,11846641000,7094918000,7212074000,7171987000,12525698000,14860191000,2081644000,41710054000,48448866000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1096343/000091664101500015/0000916641-01-500015-index.html,- -,https://www.sec.gov/Archives/edgar/data/1096343/000091664103000751/0000916641-03-000751-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312504041548/0001193125-04-041548-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312505039831/0001193125-05-039831-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312506045092/0001193125-06-045092-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312507043689/0001193125-07-043689-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312508042863/0001193125-08-042863-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312509041947/0001193125-09-041947-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312510044413/0001193125-10-044413-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312511048986/0001193125-11-048986-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312512083817/0001193125-12-083817-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634313000005/0001096343-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634314000006/0001096343-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634315000013/0001096343-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634316000185/0001096343-16-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634317000046/0001096343-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634318000042/0001096343-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000074/0001096343-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000039/0001096343-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634321000032/0001096343-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634322000039/0001096343-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13800000,5700000,14400000,25600000,23600000,18600000,34500000,46700000,50400000,57300000,40614000,-27592000,-125717000,75324000,123477000,165412000,147915000,392502000,405669000,-58767000,201638000,266793000,142026000,253385000,281021000,321182000,582772000,455689000,395269000,-128180000,1790466000,816030000,2425003000
74,Depreciation and Amortization,- -,- -,- -,- -,4300000,4800000,12600000,12300000,13000000,15400000,11100000,10900000,7300000,7300000,12855000,32398000,41913000,28231000,39264000,31336000,29581000,27610000,30528000,28670000,31172000,53587000,70572000,87326000,190066000,203580000,200987000,194147000,203871000,227846000,269239000,307069000,336393000
75,Deferred Income Tax,- -,- -,- -,- -,200000,-200000,1600000,200000,-1100000,4300000,1400000,-15300000,-600000,7000000,9477000,-18101000,-76201000,-3467000,-13221000,-29800000,-44513000,30561000,31935000,-100417000,-9144000,7185000,5649000,37648000,4050000,84543000,-9678000,63358000,-324090000,2729000,323385000,-2733000,453905000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3998000000,-827000000,-339764000,-850725000,-864194000,-373743000,326961000,122253000,203120000,104941000,-133625000,-212496000,-323395000,-7842721000,-324919000,485794000,26729000,-5360284000,-860438000,-1330967000,22372473000,941942000
78,Accounts Receivable,- -,- -,- -,- -,-900000,-100000,-2200000,47100000,7900000,35500000,12100000,800000,-5600000,5800000,-2500000,49419000,-13288000,-36466000,-42378000,34834000,50274000,11531000,27088000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-577828000,-1684749000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-900000,-100000,-2200000,47100000,7900000,35500000,12100000,800000,-5600000,5800000,-2500000,-111772000,10832000,538607000,680236000,514272000,321348000,243312000,17954000,2609000,- -,- -,- -,19190000,-150764000,-45204000,-31829000,11582000,-40761000,-4313000,65460000,76586000,131559000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3998000000,-4825000000,-5164764000,-6015489000,-6879683000,-7253426000,-6926465000,-6804212000,-6601092000,-6496151000,-6629776000,-6842272000,-7165667000,-15008388000,-15333307000,-14847513000,-14820784000,-20181068000,-21041506000,-22372473000,- -,- -
