,https://roic.ai/company/MCD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,1016500000,1084400000,1297200000,1429900000,1595000000,1739600000,1813600000,2003000000,2244100000,2515200000,2878100000,2993900000,3201100000,3188500000,3840400000,3893000000,3416000000,2614300000,3457800000,4403400000,4951100000,6087500000,4846300000,7888400000,8176400000,8727400000,9920000000,10084100000,10311500000,9587000000,8749700000,9267300000,10858200000,10279300000,10757900000,9110200000,10643400000
16,EBITDA ratio,0.2751,0.2617,0.2651,0.2569,0.2597,0.2620,0.2709,0.2808,0.3029,0.3023,0.2938,0.2802,0.2806,0.2567,0.2896,0.2733,0.2297,0.1697,0.2017,0.2310,0.2420,0.2820,0.2127,0.3354,0.3595,0.3625,0.3673,0.3658,0.3669,0.3494,0.3443,0.3764,0.4758,0.4889,0.5104,0.4743,0.4583
17,Operating Income,856900000,924300000,1161800000,1283700000,1459000000,1500600000,1564700000,1797600000,1922000000,2157300000,2495600000,2586800000,2694800000,3023300000,3214400000,3133300000,2697000000,2112900000,2832200000,3540500000,4021600000,4445100000,3879000000,6442900000,6841000000,7473100000,8529700000,8604600000,8764300000,7949200000,7145500000,7744500000,9552700000,8822600000,9069800000,7324000000,10356000000
18,Operating Income ratio,0.2319,0.2231,0.2374,0.2306,0.2375,0.2260,0.2337,0.2520,0.2594,0.2593,0.2548,0.2421,0.2362,0.2434,0.2424,0.2200,0.1814,0.1372,0.1652,0.1857,0.1966,0.2059,0.1702,0.2739,0.3008,0.3104,0.3158,0.3121,0.3118,0.2897,0.2812,0.3145,0.4186,0.4196,0.4303,0.3813,0.4459
19,Total Other Income Expenses (Gains),-74700000,-76200000,-203000000,-237200000,-302000000,-254300000,-265300000,-349500000,-246300000,-270700000,-326500000,-335800000,-287500000,-715900000,-330300000,-251000000,-367300000,-450800000,-485800000,-338100000,-320000000,-278700000,-306900000,-284900000,-354000000,-472800000,-517500000,-525600000,-559800000,-577200000,-589800000,-878500000,-979200000,-1006500000,-1051700000,-1183300000,-1228100000
20,Income Before Tax,782200000,848100000,958800000,1046500000,1157000000,1246300000,1299400000,1448100000,1675700000,1886600000,2169100000,2251000000,2407300000,2307400000,2884100000,2882300000,2329700000,1662100000,2346400000,3202400000,3701600000,4166400000,3572100000,6158000000,6487000000,7000300000,8012200000,8079000000,8204500000,7372000000,6555700000,6866000000,8573500000,7816100000,8018100000,6140700000,9127900000
21,Income Before Tax Ratio,0.2117,0.2047,0.1959,0.1880,0.1884,0.1877,0.1941,0.2030,0.2262,0.2267,0.2215,0.2106,0.2110,0.1858,0.2175,0.2024,0.1567,0.1079,0.1369,0.1680,0.1809,0.1930,0.1568,0.2618,0.2852,0.2908,0.2967,0.2931,0.2919,0.2686,0.2580,0.2789,0.3757,0.3717,0.3804,0.3197,0.3931
22,Income Tax expense (Gain),349200000,368400000,409700000,400600000,430000000,444000000,439800000,489500000,593200000,662200000,741800000,678400000,764800000,757300000,936200000,905000000,693100000,670000000,838200000,923900000,1099400000,1293400000,1237100000,1844800000,1936000000,2054000000,2509100000,2614200000,2618600000,2614200000,2026400000,2179500000,3381200000,1891800000,1992700000,1410200000,1582700000
23,Net Income,433000000,479700000,549100000,645900000,727000000,802300000,859600000,958600000,1082500000,1224400000,1427300000,1572600000,1642500000,1550100000,1947900000,1977300000,1636600000,893500000,1471400000,2278500000,2602200000,3544200000,2395100000,4313200000,4551000000,4946300000,5503100000,5464800000,5585900000,4757800000,4529300000,4686500000,5192300000,5924300000,6025400000,4730500000,7545200000
24,Net Income ratio,0.1172,0.1158,0.1122,0.1160,0.1184,0.1208,0.1284,0.1344,0.1461,0.1471,0.1457,0.1472,0.1440,0.1248,0.1469,0.1388,0.1101,0.0580,0.0858,0.1195,0.1272,0.1642,0.1051,0.1834,0.2001,0.2055,0.2038,0.1982,0.1987,0.1734,0.1782,0.1903,0.2275,0.2818,0.2859,0.2463,0.3249
25,EPS,0.28,0.32,0.37,0.43,0.49,0.55,0.59,0.65,0.73,0.84,0.98,1.10,1.18,1.14,1.44,1.49,1.27,0.70,1.16,1.81,2.06,2.87,2.02,3.87,4.23,4.69,5.39,5.45,5.64,4.94,4.99,5.72,6.54,7.72,8.07,6.35,10.12
26,EPS Diluted,0.28,0.32,0.37,0.43,0.48,0.54,0.57,0.64,0.71,0.84,0.98,1.10,1.15,1.10,1.39,1.46,1.25,0.70,1.15,1.79,2.04,2.83,1.98,3.76,4.11,4.58,5.27,5.36,5.55,4.82,4.80,5.44,6.37,7.54,7.88,6.31,10.12
27,Weighted Average Shares Outstanding,1530357143,1488125000,1479729730,1502093023,1474693878,1433272727,1424406780,1452153846,1418630137,1401428571,1407918782,1398190045,1378600000,1365300000,1355300000,1323200000,1289700000,1273100000,1269800000,1259700000,1260400000,1234000000,1188300000,1130300000,1097100000,1053599999,1021400000,1002700000,990400000,962900000,906800000,819300000,794100000,767100000,746300000,745400000,747245427
28,Weighted Average Shares Outstanding Diluted,1530357143,1488125000,1479729730,1502093023,1505416667,1459814815,1474385965,1474843750,1458591549,1401428571,1409178082,1436000000,1410200000,1405700000,1404200000,1356500000,1309300000,1281500000,1276500000,1273700000,1274200000,1251700000,1211800000,1146000000,1107400000,1080300000,1044900000,1020200000,1006000000,986300000,944600000,861200000,815500000,785600000,764900000,750100000,751600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63908/000006390895000003/0000063908-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/63908/000006390896000016/0000063908-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/63908/000006390897000007/0000063908-97-000007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63908/000104746903008450/0001047469-03-008450-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312504035282/0001193125-04-035282-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312505042609/0001193125-05-042609-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312506039862/0001193125-06-039862-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312507039707/0001193125-07-039707-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312508037220/0001193125-08-037220-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312509037008/0001193125-09-037008-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312510042025/0001193125-10-042025-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312511046701/0001193125-11-046701-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312512077317/0001193125-12-077317-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390813000010/0000063908-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390814000019/0000063908-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390815000016/0000063908-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390816000103/0000063908-16-000103-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390817000017/0000063908-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000010/0000063908-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/0000063908-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/0000063908-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/0000063908-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390822000011/0000063908-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,179900000,334800000,329900000,341400000,299200000,419500000,421700000,418100000,330400000,492800000,1379800000,4260400000,2136400000,1981300000,2063400000,1796000000,2387000000,2335700000,2336100000,2798700000,2077900000,7685500000,1223400000,2463800000,866000000,898500000,3449100000,4709200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,179900000,334800000,329900000,341400000,299200000,419500000,421700000,418100000,330400000,492800000,1379800000,4260400000,2136400000,1981300000,2063400000,1796000000,2387000000,2335700000,2336100000,2798700000,2077900000,7685500000,1223400000,2463800000,866000000,898500000,3449100000,4709200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,379300000,413600000,495400000,483500000,609400000,708100000,796500000,881900000,855300000,734500000,745500000,795900000,904200000,1053800000,931200000,1060400000,1179100000,1334700000,1375300000,1319800000,1214400000,1298700000,1474100000,1976200000,2441500000,2224200000,2110300000,1872400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,50500000,58000000,69600000,70500000,77300000,82700000,99300000,105500000,111700000,129400000,147500000,147000000,149000000,125300000,111500000,106200000,109900000,116800000,121700000,123700000,110000000,100100000,58900000,58800000,51100000,50200000,51100000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,149400000,207600000,246900000,323500000,362000000,344900000,413800000,418000000,528700000,585000000,646400000,435700000,421500000,411500000,453700000,692500000,615800000,1089000000,807900000,783200000,558700000,2092200000,828400000,694600000,385000000,632700000,566900000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,740700000,955800000,1102500000,1142300000,1309400000,1572300000,1662400000,1819300000,1715400000,1885400000,2857800000,5849700000,3625300000,3581900000,3517600000,3416300000,4368500000,4403000000,4922100000,5050100000,4185500000,9643000000,4848600000,5327200000,4053200000,3557900000,6243200000,7148500000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,11328400000,12811300000,14352100000,14961400000,16041600000,16324500000,17047600000,17289500000,18583400000,19924700000,20703100000,19908000000,20845700000,20984700000,20254500000,21531500000,22060600000,22834500000,24677200000,25747300000,24557500000,23117600000,21257600000,22448300000,22842700000,37421200000,38785900000,38272600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1950700000,2209200000,2301300000,2237400000,2425200000,2586100000,2653200000,2804000000,2872700000,2735300000,2516300000,2336500000,2379700000,2331500000,2677400000,2773100000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,483100000,534800000,747000000,827500000,- -,1261800000,1443400000,1419800000,1559800000,1665100000,1828300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,483100000,534800000,747000000,827500000,- -,1261800000,1443400000,1419800000,1559800000,1665100000,1828300000,1950700000,2209200000,2301300000,2237400000,2425200000,2586100000,2653200000,2804000000,2872700000,2735300000,2516300000,2336500000,2379700000,2331500000,2677400000,2773100000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222300000,1212700000,1335300000,1427000000,1380500000,1209100000,1004500000,792700000,725900000,1085700000,1202800000,1270300000,1297200000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1039700000,1112700000,1184400000,1310300000,2433400000,1824600000,1530100000,2005900000,2111900000,2049900000,2448300000,2280400000,2343600000,2523800000,1229700000,1639200000,1624700000,1672200000,1602700000,1747100000,1798600000,1869100000,1855300000,2562800000,2381000000,2584000000,3527400000,8185300000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12851200000,14458800000,16283500000,17099200000,18475000000,19410900000,20021100000,20715200000,22255100000,23639700000,24979700000,24139100000,25398500000,25809800000,24943900000,26808600000,27606700000,28586900000,30464400000,31576200000,30095900000,28295700000,26175300000,28476500000,28758000000,43952900000,46383600000,46457900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13591900000,15414600000,17386000000,18241500000,19784400000,20983200000,21683500000,22534500000,23970500000,25525100000,27837500000,29988800000,29023800000,29391700000,28461500000,30224900000,31975200000,32989900000,35386500000,36626300000,34281400000,37938700000,31023900000,33803700000,32811200000,47510800000,52626800000,53606400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,509400000,564300000,638000000,650600000,621300000,585700000,684900000,689500000,635800000,577400000,714300000,689400000,834100000,624100000,620400000,636000000,943900000,961300000,1141900000,1086000000,860100000,874700000,756000000,924800000,1207900000,988200000,741300000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1046900000,578200000,693300000,1629400000,854800000,1619900000,630000000,177600000,275500000,388000000,862200000,658700000,17700000,864500000,31800000,18100000,8300000,366600000,- -,- -,- -,- -,77200000,- -,- -,59100000,2945100000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,968100000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,895000000,652400000,804000000,704500000,1021000000,1068700000,1046000000,1381200000,1511000000,1520400000,1944000000,2688200000,2156300000,3009900000,1885700000,2334600000,1972500000,2181300000,2261200000,2084000000,1887800000,2075700000,2635100000,1965800000,1765600000,2573700000,2494800000,4020000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2451300000,1794900000,2135300000,2984500000,2497100000,3274300000,2360900000,2248300000,2422300000,2485800000,3520500000,4036300000,3008100000,4498500000,2537900000,2988700000,2924700000,3509200000,3403100000,3170000000,2747900000,2950400000,3468300000,2890600000,2973500000,3621000000,6181200000,4020000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2935400000,4257800000,4830100000,4834100000,6188600000,5632400000,7843900000,8555500000,9703600000,9342500000,8357300000,8937400000,8416500000,7310000000,10186000000,10560300000,11497000000,12133800000,13632500000,14129800000,14989700000,24122100000,25878500000,29536400000,31075300000,34118100000,48518100000,48643600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627800000,660600000,702000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,840800000,835900000,975900000,1063500000,1081900000,1173600000,1084900000,1112200000,1003700000,1015100000,781500000,976700000,1066000000,960900000,944900000,1278900000,1332400000,1344100000,1531100000,1647700000,1624500000,1704300000,1817100000,1119400000,1215500000,1318100000,2025600000,1827700000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,56200000,- -,- -,507800000,552100000,1263800000,1189400000,1130100000,560000000,699800000,976700000,892300000,1074900000,1342500000,1410100000,1363100000,1586900000,1612600000,1526200000,1669100000,2065900000,2074000000,2064300000,3525300000,3177500000,16003300000,3024800000,3716100000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3832400000,5093700000,5806000000,6405400000,7822600000,8069800000,10118200000,10797800000,11267300000,11057400000,10115500000,10806400000,10557400000,9613400000,12541000000,13202300000,14416300000,15090500000,16689800000,17446600000,18680100000,27900400000,29759900000,34181100000,36096100000,52100100000,54270500000,54187400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13378800000,14022800000,13020900000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6283700000,6888600000,7941300000,9389900000,10319700000,11344100000,12479100000,13046100000,13689600000,13543200000,13636000000,14842700000,13565500000,14111900000,15078900000,16191000000,17341000000,18599700000,20092900000,20616600000,21428000000,30850800000,33228200000,37071700000,39069600000,55721100000,60451700000,58207400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,16600000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,8625900000,9831300000,11173000000,12569000000,13879600000,15562800000,17259400000,18608300000,19204400000,20172300000,21755800000,23516000000,25845600000,26461500000,28953900000,31270800000,33811700000,36707500000,39278000000,41751200000,43294500000,44594500000,46222700000,48325800000,50487000000,52930500000,53908100000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3856200000,-4326300000,-4781800000,-5126800000,-5716400000,-6126300000,-6521400000,-6816500000,-7635200000,-8815500000,-9804700000,-733000000,-297000000,1337000000,101000000,747000000,753000000,450000000,796000000,428000000,-1520000000,-2880000000,-3093000000,-2178000000,-2610000000,-2483000000,-2586800000,-2573000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2115700000,2356300000,2327000000,1409400000,1301500000,186000000,- -,- -,-1304900000,608500000,2233800000,-7653500000,-10106900000,-12535300000,-15688900000,-18000500000,-19947100000,-22783900000,-24797000000,-26186100000,-28937700000,-34643200000,-45350600000,-49432400000,-54152000000,-58674400000,-59162800000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6885400000,7861300000,8718200000,8851600000,9464700000,9639100000,9204400000,9488400000,10280900000,11981900000,14201500000,15146100000,15458300000,15279800000,13382600000,14033900000,14634200000,14390200000,15293600000,16009700000,12853400000,7087900000,-2204300000,-3268000000,-6258400000,-8210300000,-7824900000,-4601000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13169100000,14749900000,16659500000,18241500000,19784400000,20983200000,21683500000,22534500000,23970500000,25525100000,27837500000,29988800000,29023800000,29391700000,28461500000,30224900000,31975200000,32989900000,35386500000,36626300000,34281400000,37938700000,31023900000,33803700000,32811200000,47510800000,52626800000,53606400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,422800000,664700000,726500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13591900000,15414600000,17386000000,18241500000,19784400000,20983200000,21683500000,22534500000,23970500000,25525100000,27837500000,29988800000,29023800000,29391700000,28461500000,30224900000,31975200000,32989900000,35386500000,36626300000,34281400000,37938700000,31023900000,33803700000,32811200000,47510800000,52626800000,53606400000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/63908/000006390895000003/0000063908-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/63908/000006390896000016/0000063908-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/63908/000006390897000007/0000063908-97-000007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63908/000104746903008450/0001047469-03-008450-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312504035282/0001193125-04-035282-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312505042609/0001193125-05-042609-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312506039862/0001193125-06-039862-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312507039707/0001193125-07-039707-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312508037220/0001193125-08-037220-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312509037008/0001193125-09-037008-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312510042025/0001193125-10-042025-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312511046701/0001193125-11-046701-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312512077317/0001193125-12-077317-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390813000010/0000063908-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390814000019/0000063908-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390815000016/0000063908-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390816000103/0000063908-16-000103-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390817000017/0000063908-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000010/0000063908-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/0000063908-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/0000063908-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/0000063908-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390822000011/0000063908-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
