,https://roic.ai/company/AMTY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,550430,1482301,2194322,1397049,1874356,3458216,2538585,3173149,5045895,10571052,5904117,6160335,5402078,4533142,2544291,2258386,2683203,2293404,1658279,1577495,1350784,1136627,1118623,1036101,1055001,1187644
11,COGS and Expenses,550430,1530183,2461196,1438293,1993346,3584788,3063739,4149281,6160125,11804233,6965653000,7873448000,6633904000,6103884000,4837744000,4191393000,5516588,4696284,5214858,5092103,4021226,3580729,3639422,3572682,3893668,4766871
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38571,19089,15081,9332,568,- -,- -,- -,- -,- -,- -,- -,1710
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78949000,41550,29883,92979,- -,3206,8468,4997,3658,1223,- -
14,Depreciation and Amortization,37994,189563,153360,213804,225911,175383,222742,298625,296232,605714,625552,443294,365915,258311,264793,238251,243930,213919,224150,221109,141524,102495,87039,90799,238838,210696
15,EBITDA,-512436,-1220109,-4114469,-1565542,-1671801,-3190845,-2303669,-2793347,-4425023,-9467294,-5323614448,-5007378706,-4223058085,-3623640689,-1402466207,-761945749,-889539,-890823,-952534,-78252,-98322,144284,53600,135469,282594,469032
16,EBITDA ratio,-Infinity,-17.5510,-11.0234,-52.5403,-27.8453,-27.4278,-4.5505,-2.6853,-3.1181,-5.6316,-2.6281,-1.4610,-1.4613,-1.5569,-0.3792,-0.2071,-0.2038,-0.2451,-0.2207,-0.0163,-0.0260,0.0398,0.0148,0.0377,0.0717,0.0964
17,Operating Income,- -,-1460665,-2087949,-1408496,-1933307,-3468452,-2557489,-3109035,-4741001,-10123142,-5424240,-5116426,-4432447,-3658995,-1406826,-908485,-1151832,-1061608,-898797,-298366,-240027,47837,-18995,17535,47536,96541
18,Operating Income ratio,- -,-21.0113,-5.5940,-47.2697,-32.2009,-29.8141,-5.0518,-2.9887,-3.3408,-6.0218,-0.0027,-0.0015,-0.0015,-0.0016,-0.0004,-0.0002,-0.2639,-0.2921,-0.2082,-0.0622,-0.0635,0.0132,-0.0052,0.0049,0.0121,0.0199
19,Total Other Income Expenses (Gains),-45660,56096,-1836545,-240000,516,-5125,17818,-67316,2512,-3101,-5318815760,-5002705574,-4218991553,-3620240005,-1401324174,-840224515,-23187,-73017,-370866,-995,-3025,-14516,-19441,23477,-5003,161795
20,Income Before Tax,-596090,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5324240000,-5007822000,-4223424000,-3623899000,-1402731000,-841133000,-1175019,-1134625,-1269663,-299361,-243052,33321,-38436,41012,42533,258336
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.6284,-1.4612,-1.4614,-1.5570,-0.3792,-0.2286,-0.2692,-0.3122,-0.2942,-0.0624,-0.0643,0.0092,-0.0106,0.0114,0.0108,0.0531
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-596090,-1409672,-4267829,-1779346,-1897712,-3366228,-2526411,-3091972,-4721255,-10073008,-5324240000,-5007822000,-4223424000,-3623899000,-1402731000,-841133000,-1175019,-1134625,-1269663,-299361,-243052,33321,-38436,41012,42533,258336
24,Net Income ratio,-Infinity,-20.2778,-11.4343,-59.7156,-31.6080,-28.9354,-4.9904,-2.9723,-3.3269,-5.9919,-2.6284,-1.4612,-1.4614,-1.5570,-0.3792,-0.2286,-0.2692,-0.3122,-0.2942,-0.0624,-0.0643,0.0092,-0.0106,0.0114,0.0108,0.0531
25,EPS,-0.16,-0.33,-1.20,-0.31,-0.23,-0.28,-0.19,-0.21,-0.26,-0.53,-0.26,-0.23,-0.18,-0.15,-0.05,-0.03,-0.04,-0.03,-0.03,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,0.00
26,EPS Diluted,-0.16,-0.33,-1.20,-0.31,-0.23,-0.28,-0.19,-0.21,-0.26,-0.53,-0.26,-0.23,-0.18,-0.15,-0.05,-0.03,-0.04,-0.03,-0.03,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,0.00
27,Weighted Average Shares Outstanding,3840642,4246888,3555799,5701524,8413121,12106491,13662411,14796744,17846910,18931779,20350981,21520394,23418907,24520938,30035266,32064182,33377620,36620798,40012990,41494497,41868634,42417601,43629328,45897154,51123318,70918758
28,Weighted Average Shares Outstanding Diluted,3840642,4246888,3555799,5701524,8413121,12106491,13662411,14796744,17846910,18931779,20350981,21520394,23418907,24520938,30035266,32064182,33377620,36620798,40012990,41494497,41868634,42417601,43629328,45897154,51123318,70918758
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945828/000117935005000061/0001179350-05-000061-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000117935006000085/0001179350-06-000085-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000117935007000070/0001179350-07-000070-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935008000043/0001179350-08-000043-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935009000072/0001179350-09-000072-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935010000080/0001179350-10-000080-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518511001721/0001185185-11-001721-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518512002129/0001185185-12-002129-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518513002107/0001185185-13-002107-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518514002590/0001185185-14-002590-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518515002327/0001185185-15-002327-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518516005484/0001185185-16-005484-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518517002015/0001185185-17-002015-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518518001690/0001185185-18-001690-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518519001258/0001185185-19-001258-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518520001310/0001185185-20-001310-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518521001320/0001185185-21-001320-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4467,501449,278822,3291,22483,530052,774345,2490604,1591289,2122320,3065675000,5788602000,1701191000,28634000,63822000,127990000,105838,108747,728585,455717,267302,340256,213854,557026,666756,516192
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4467,501449,278822,3291,22483,530052,774345,2490604,1591289,2122320,3065675000,5788602000,1701191000,28634000,63822000,127990000,105838,108747,728585,455717,267302,340256,213854,557026,666756,516192
34,Net Receivables,22767,76159,93434,1563,18864,13678,102996,128481,167002,168838,237788000,349125000,494690000,480433000,470173000,588001000,400458,338242,384160,314054,293358,284004,410425,277690,292642,728315
35,Inventory,131285,303704,138852,40313,367080,400920,407136,464984,557516,646798,592122000,739710000,819403000,642087000,583228000,696220000,553578,543752,770991,661129,614895,576191,516334,448407,493892,659333
36,Other Current Assets,120308,91320,173052,13805,10035,20160,56228,52667,99007,143392,393078000,157583000,287288000,118207000,26661000,87782000,90191,144788,56720,34172,103803,112368,84892,82596,86467,94483
37,Total Current Assets,278827,972632,684160,58972,418462,964810,1340705,3136736,2414814,3081348,4288663000,7035020000,3302572000,1269361000,1143884000,1499993000,1150065,1135529,1940456,1465072,1279358,1312819,1225505,1365719,1539757,1998323
38,PP&E,483357,880475,1082586,934298,834427,842117,615556,1302787,1445993,1141315,1352371000,1178824000,1121578000,928358000,775208000,807905000,682213,674956,456998,309460,232444,273129,211494,137519,126114,654135
39,Goodwill,- -,1694111,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,24822,55542,62417,16882,41940,82080,101052,156792,368011,- -,- -,- -,- -,- -,- -,531222,505006,286947,202710,175379,155952,132605,110601,92905,75977
41,Intangible Assets,- -,1718933,55542,62417,16882,41940,82080,101052,156792,368011,- -,- -,- -,- -,- -,- -,531222,505006,286947,202710,175379,155952,132605,110601,92905,75977
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,158935,4414,854,15854,11878,7180,7180,43180,43180,36000,- -,- -,- -,- -,- -,-36000,36000,11000,11000,197560,191050,239403,217842,1126080,1003785,174289
45,Total Non-Current Assets,642292,2603822,1138982,1012569,863187,891237,704816,1447019,1645965,1545326,1352371000,1178824000,1121578000,928358000,775208000,807905000,1249435,1190962,754945,709730,598873,668484,561941,1374200,1222804,904401
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,921119,3576454,1823142,1071541,1281649,1856047,2045521,4583755,4060779,4626674,5641034000,8213844000,4424150000,2197719000,1919092000,2307898000,2399500,2326491,2695401,2174802,1878231,1981303,1787446,2739919,2762561,2902724
48,Accounts Payable,98680,219077,350878,316337,239662,225872,95584,93880,42866,49904,246536000,327859000,212467000,464309000,298393000,459820000,376721,493723,617678,438680,348499,468489,379086,649046,691962,- -
49,Short-Term Debt,299838,55380,1147500,6000,77000,77000,- -,- -,- -,- -,- -,- -,- -,310000,- -,797960,477014,528088,16013,13608,26767,26349,21103,154609,205240,149600
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500,100000000,- -,9451000,6787000,- -,- -,3345,7293,- -,- -,- -,- -,20712,19408,12192,25892
52,Other Current Liabilities,265830,16032,17072,42125,136963,52837,19992,1504,15817,27424,10046000,292667000,111205000,557244000,304184000,1068630040,366004,186935,- -,- -,- -,- -,- -,- -,- -,767193
53,Total Current Liabilities,664348,290489,1515450,364462,453625,355709,115576,95384,58683,84828,356582000,620526000,333123000,1028650000,602577000,1529248000,1223084,1216039,633691,452288,375266,494838,420901,823063,909394,942685
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10046000,292667000,111205000,247554000,304184000,153203000,53840,53840,53840,53840,100142,124482,105633,75418,153996,361926
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8394,1426,- -,594000,448200,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10046000,292667000,111205000,247554000,304184000,153203000,53840,53840,53840,53840,108536,125908,105633,669418,602196,361926
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14643,8393,726,735000,594000,448200
61,Total Liabilities,664348,290489,1515450,364462,453625,355709,115576,95384,58683,84828,356582000,620526000,333123000,1028650000,602577000,1583088000,1276924,1269879,687531,506128,483802,620746,526534,1492481,1511590,1304611
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,2000,2000,2000,2000,2000,- -,- -
63,Common Stock,3841,4562,4619,6816,11163,13292,14188,17385,18429,19505,21018000,23414000,23427000,26231000,31817000,32251000,34176,39741,41441,41570,42175,43312,44476,47728,70173,73048
64,Retained Earnings,-844720,-2254392,-6522221,-8301567,-10199279,-13565507,-17357600,-21669572,-26390827,-36463835,- -,- -,- -,- -,- -,- -,-58062103,-59196728,-60491391,-60890752,-61233804,-61300483,-61438919,-61497908,-61538675,-61280339
65,Other Comprehensive Income/Loss,-39299,-150627,-301686,-465510,-635510,-807460,-976840,-353353,-219988,-1000000,-29167,-628074,-458140,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,1136949,5686422,7126980,9467340,11651650,15860013,20250197,26493911,30594482,41986176,-15205328,-14577693,-18147731,-24388589,-29888184,-30948364,59150503,60213599,62455820,62515856,62584058,62615728,62653355,62695618,62719473,62805404
67,Total Stockholders Equity,256771,3285965,307692,707079,828024,1500338,1929945,4488371,4002096,4541846,5783505,8208233,4821129,1842411,1928816,1302636,1122576,1056612,2007870,1668674,1394429,1360557,1260912,1247438,1250971,1598113
68,Total Liabilities And Stockholders Equity,921119,3576454,1823142,1071541,1281649,1856047,2045521,4583755,4060779,4626674,362365505,628734233,337944129,1030492411,604505816,1584390636,2399500,2326491,2695401,2174802,1878231,1981303,1787446,2739919,2762561,2902724
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5278668495,7585109767,4086205871,1167226589,1314586184,723507364,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,921119,3576454,1823142,1071541,1281649,1856047,2045521,4583755,4060779,4626674,5641034000,8213844000,4424150000,2197719000,1919092000,2307898000,2399500,2326491,2695401,2174802,1878231,1981303,1787446,2739919,2762561,2902724
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945828/000117935005000061/0001179350-05-000061-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000117935006000085/0001179350-06-000085-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000117935007000070/0001179350-07-000070-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935008000043/0001179350-08-000043-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935009000072/0001179350-09-000072-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935010000080/0001179350-10-000080-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518511001721/0001185185-11-001721-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518512002129/0001185185-12-002129-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518513002107/0001185185-13-002107-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518514002590/0001185185-14-002590-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518515002327/0001185185-15-002327-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518516005484/0001185185-16-005484-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518517002015/0001185185-17-002015-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518518001690/0001185185-18-001690-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518519001258/0001185185-19-001258-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518520001310/0001185185-20-001310-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518521001320/0001185185-21-001320-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-596090,-1409672,-4267829,-1779346,-1897712,-3366228,-2526411,-3091972,-4721255,-10073008,-5324240000,-5007822000,-4223424000,-3623899000,-1402731000,-841133000,-1175019,-1134625,-1269663,-299361,-243052,33321,-38436,41012,42533,258336
74,Depreciation and Amortization,37994,189563,153360,213804,225911,175383,222742,298625,296232,605714,625552,443294,365915,258311,264793,238251,243930,213919,224150,221109,141524,102495,87039,90799,238838,210696
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94410,137263,93246,480160,103971,180973,23706,68805,27807,28792,38015,44300,88806
77,Change in Working Capital,25471,1067664,-1513433,525800,270327,644264,616028,1816223,-685221,640389,3929084480,2482413000,-3445045000,-2728738000,300596000,-570562000,29181981,-7491,1387275,-293981,-108692,-86111,-13377,-261948,87707,425275
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-270457,51911,60574,186379,84285,-43651,88660,27297,9354,-126421,132735,-14952,-435674
79,Inventory,-131285,-172419,24140,-10964,-326767,-33840,-6216,-97444,-92532,-89282,54676,-147588,-79693,177315,58859,-140893,148258,9825,-216424,-76696,41929,-15042,81418,4945,-93667,-45176
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-385521,682143,-831290,-305490,-35163,609101,1225129,3041352,2356131,2996520,3932081000,6414494000,2969449000,240711000,541307000,-29255000,-73019,-80510,1306765,1012784,904092,817981,804604,542656,630363,1055638
82,Other Non-Cash Items,8900,-860958,4586410,341408,10187,555798,-32221,-1133645,2912661,6208007,1391123115,2521558802,7664326426,6349910428,1100925196,1410763707,-28943561,183238,-1303352,230317,67192,44988,-145492,576781,-371569,-1118676
83,Cash Provided by Operating Activities,-523725,-1013403,-1041492,-698334,-1391287,-1990783,-1719862,-2110769,-2197583,-2618898,-3406853,-3406904,-3776659,-2373851,-807748,-599796,-212509,-640988,-780617,-118210,-74223,122500,-81474,484659,41809,-135563
84,CAPEX,-140505,-469392,-357005,-92697,-136099,-192140,-277890,-984267,-436517,-75645,-599817,-326273,-311496,-89659,-89288,-118435,-119103,-225742,-46448,-59840,-7642,-28868,-19407,-104504,-56488,-14461
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,70000,-875,256475,-20560,-57847,-88426,- -,- -,744,-52303,-7710,11099,1646,1595,- -,3775,- -,-8000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-140505,-869392,-357005,-92697,-66099,-193015,-21415,-1004827,-494364,-164071,-599817,-326273,-310752,-89659,-89288,-107336,-98603,-224147,-46448,-52065,-7642,-28868,-19407,-104504,-56488,-14461
90,Debt Repayment,-98000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122040,-355845,-867257,-2405,-6550,-20678,-25521,-36983,-25161,-540
91,Common Stock Issued,292252,2624235,13750,477000,1482578,2693597,1566901,4479350,1776000,3314000,5314400,7752295,- -,494567,757499,- -,260000,814689,1983978,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26127,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000,-100000,-100000,- -,- -,- -,- -,- -
94,Other Financing Activites,381716,-244458,1392120,38500,-6000,-2230,418668,352505,16632,- -,-364375,-1296191,- -,322512,174725,771300,151000,409200,355182,-188,- -,- -,- -,- -,149570,- -
95,Cash Used/Provided by Financing Activities,575968,2379777,1175870,515500,1476578,2691367,1985569,4831855,1792632,3314000,4950025,6456104,- -,790952,932224,771300,288960,868044,1446903,-102593,-106550,-20678,-25521,-36983,124409,-540
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-88262,496982,-222627,-275531,19192,507569,244293,1716259,-899315,531031,943355,2722927,-4087411,-1672557,35188,64168,-22152,2909,619838,-272868,-188415,72954,-126402,343172,109730,-150564
98,Cash at the End of Period,4467,501449,278822,3291,22483,530052,774345,2490604,1591289,2122320,3065675,5788602,1701191,28634,63822,127990,105838,108747,728585,455717,267302,340256,213854,557026,666756,516192
99,Cash at the Beginning of Period,92729,4467,501449,278822,3291,22483,530052,774345,2490604,1591289,2122320,3065675,5788602,1701191,28634,63822,127990,105838,108747,728585,455717,267302,340256,213854,557026,666756
100,Free Cash Flow,-664230,-1482795,-1398497,-791031,-1527386,-2182923,-1997752,-3095036,-2634100,-2694543,-4006670,-3733177,-4088155,-2463510,-897036,-718231,-331612,-866730,-827065,-178050,-81865,93632,-100881,380155,-14679,-150024
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/945828/000117935005000061/0001179350-05-000061-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000117935006000085/0001179350-06-000085-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000117935007000070/0001179350-07-000070-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935008000043/0001179350-08-000043-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935009000072/0001179350-09-000072-index.html,https://www.sec.gov/Archives/edgar/data/945828/000117935010000080/0001179350-10-000080-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518511001721/0001185185-11-001721-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518512002129/0001185185-12-002129-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518513002107/0001185185-13-002107-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518514002590/0001185185-14-002590-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518515002327/0001185185-15-002327-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518516005484/0001185185-16-005484-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518517002015/0001185185-17-002015-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518518001690/0001185185-18-001690-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518519001258/0001185185-19-001258-index.html,https://www.sec.gov/Archives/edgar/data/945828/000118518520001310/0001185185-20-001310-index.htm,https://www.sec.gov/Archives/edgar/data/945828/000118518521001320/0001185185-21-001320-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
