,https://roic.ai/company/SJI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,9300000,10400000,12400000,15100000,13600000,11600000,11900000,15100000,15600000,35400000,48200000,61000000,26500000,45200000,38100000,64134000,66396000,67068000,77565000,91945000,102636000,148786000,132539000,154555000,150846000,162053000,183630000,177162000,146294000,209566000,229131000,314228000,149078000,241434000,345840000,468887000,473980000
16,EBITDA ratio,0.0360,0.0413,0.0486,0.0601,0.0525,0.0446,0.0427,0.0477,0.0467,0.0947,0.1362,0.1716,0.0760,0.1004,0.0971,0.1243,0.0793,0.1328,0.1113,0.1123,0.1114,0.1597,0.1386,0.1607,0.1784,0.1752,0.2216,0.2508,0.2000,0.2363,0.2388,0.3032,0.1199,0.1471,0.2124,0.3042,0.2379
17,Operating Income,258200000,251700000,255400000,251300000,259000000,260000000,278900000,316700000,333900000,35500000,48300000,48800000,49400000,47800000,62400000,67689000,69061000,69075000,77843000,90739000,101784000,145802000,129623000,153509000,111110000,116492000,121607000,109898000,69636000,127603000,156894000,189276000,4410000,100745000,201205000,282222000,349120000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0949,0.1365,0.1373,0.1417,0.1062,0.1590,0.1312,0.0825,0.1367,0.1117,0.1108,0.1105,0.1565,0.1355,0.1596,0.1314,0.1259,0.1468,0.1556,0.0952,0.1439,0.1635,0.1826,0.0035,0.0614,0.1235,0.1831,0.1753
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-16300000,-21300000,-20300000,-20300000,-22100000,-24000000,-24366000,-22897000,-19259000,-19694000,-18687000,-19429000,-23869000,-23908000,-24383000,-17581000,-17345000,-8436000,-7882000,-7846000,-17741000,-22112000,-21460000,-38545000,-87892000,-110269000,-110555000,-122538000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,19200000,27000000,28500000,29100000,25700000,38400000,43323000,46164000,49816000,58149000,72052000,82355000,121933000,105715000,129126000,93529000,99147000,113171000,102016000,61790000,109862000,134782000,167816000,-34135000,12853000,90936000,171667000,226582000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0513,0.0763,0.0802,0.0835,0.0571,0.0978,0.0840,0.0551,0.0986,0.0834,0.0880,0.0894,0.1309,0.1105,0.1342,0.1106,0.1072,0.1366,0.1444,0.0845,0.1239,0.1405,0.1619,-0.0275,0.0078,0.0558,0.1114,0.1137
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,9400000,10200000,10700000,11900000,16400000,18658000,19295000,20404000,23596000,29079000,33767000,49683000,43056000,51948000,34302000,28811000,22502000,11479000,-19014000,4449000,1360000,54151000,-24937000,561000,21061000,22664000,47107000
23,Net Income,9300000,10400000,12400000,15100000,13600000,11600000,11900000,15100000,15600000,12400000,17600000,30500000,15800000,11000000,21700000,24184000,26562000,28988000,33353000,42293000,47919000,71432000,62268000,76931000,58105000,66652000,89291000,91608000,81593000,97046000,105107000,118810000,-3490000,17663000,76917000,157042000,88091000
24,Net Income ratio,0.0360,0.0413,0.0486,0.0601,0.0525,0.0446,0.0427,0.0477,0.0467,0.0332,0.0497,0.0858,0.0453,0.0244,0.0553,0.0469,0.0317,0.0574,0.0479,0.0516,0.0520,0.0767,0.0651,0.0800,0.0687,0.0721,0.1078,0.1297,0.1116,0.1094,0.1095,0.1146,-0.0028,0.0108,0.0472,0.1019,0.0442
25,EPS,0.32,0.33,0.39,0.46,0.40,0.33,0.32,0.40,0.40,0.30,0.41,0.71,0.37,0.26,0.50,0.53,0.57,0.60,0.67,0.77,0.85,1.23,1.05,1.29,0.97,1.11,1.49,1.49,1.27,1.47,1.53,1.56,-0.04,0.21,0.84,1.62,0.81
26,EPS Diluted,0.32,0.33,0.39,0.46,0.40,0.33,0.32,0.40,0.40,0.30,0.41,0.71,0.37,0.26,0.50,0.53,0.57,0.60,0.66,0.77,0.84,1.22,1.05,1.29,0.97,1.11,1.49,1.49,1.27,1.46,1.52,1.56,-0.04,0.21,0.84,1.62,0.80
27,Weighted Average Shares Outstanding,28837209,32000000,31592357,32826087,33291925,34285714,36850394,37267081,38742138,41032000,42880000,42928000,43052000,43104000,43688000,45604000,46864000,48152000,50236000,54764000,56350000,58350000,58960000,59414000,59570000,59722000,60000000,61488000,63978000,66278000,68735000,76362000,79541000,83693000,92130000,96854000,109269000
28,Weighted Average Shares Outstanding Diluted,28837209,32000000,31592357,32826087,33291925,34285714,36850394,37267081,38742138,41032000,42947368,42928000,43478261,43104000,43688000,45604000,46864000,48464000,50632000,55192000,56798000,58522000,59186000,59686000,59786000,59948000,60172000,61648000,64092000,66428000,68931000,76475000,79541000,84471000,92253000,96995000,110120000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91928/000009192895000003/0000091928-95-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91928/000009192806000018/0000091928-06-000018-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192807000009/0000091928-07-000009-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192808000020/0000091928-08-000020-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192809000020/0000091928-09-000020-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000114036110008906/0001140361-10-008906-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000114036111013012/0001140361-11-013012-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000144530512000502/0001445305-12-000502-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192813000022/0000091928-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192814000018/0000091928-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192815000019/0000091928-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192816000088/0000091928-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192817000032/0000091928-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192818000034/0000091928-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192819000032/0000091928-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192820000013/0000091928-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192821000014/0000091928-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192822000010/0000091928-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,5600000,46900000,13100000,6600000,5600000,7227000,3965000,4291000,4364000,5272000,4884000,7932000,11678000,5775000,3823000,2363000,7538000,4638000,3818000,4171000,3877000,18282000,1707000,30030000,6417000,34045000,28754000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36512000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,5600000,46900000,13100000,6600000,5600000,7227000,3965000,4291000,4364000,5272000,4884000,7932000,11678000,5775000,40335000,2363000,7538000,4638000,3818000,4171000,3877000,18282000,1707000,30030000,6417000,34045000,28754000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,50400000,65800000,59400000,57800000,66500000,68100000,126557000,101731000,127642000,141113000,156140000,189231000,157229000,160203000,174590000,193941000,274413000,175624000,269802000,304214000,321247000,223085000,273190000,120740000,400143000,324032000,336411000,395124000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,29100000,26700000,26700000,28400000,31700000,31200000,35994000,63596000,45646000,73208000,84638000,118141000,148025000,126567000,175165000,106574000,73521000,71617000,58135000,60584000,65371000,59299000,60610000,15757000,62168000,55317000,42001000,60797000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,5800000,6900000,1500000,15300000,6100000,5045000,52792000,35120000,47091000,37821000,45207000,58538000,29882000,79554000,27505000,73540000,85830000,62262000,114282000,175908000,145013000,121231000,58323000,170851000,266742000,94371000,154287000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,95600000,103900000,139900000,100800000,120100000,111000000,174823000,222084000,212699000,265776000,283871000,357463000,371724000,328330000,435084000,368355000,423837000,340609000,394837000,482898000,566697000,431274000,473313000,196527000,663192000,652508000,506828000,638962000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,402100000,422700000,423900000,456500000,504300000,533300000,562323000,607043000,666574000,748265000,799870000,877348000,920005000,948869000,982608000,1073072000,1193255000,1352393000,1578021000,1859098000,2134103000,2448105000,2623770000,2154083000,3653473000,4073536000,4464234000,4912322000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8880000,4838000,- -,734607000,702070000,706960000,706960000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21553000,15820000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30433000,20658000,- -,734607000,702070000,706960000,706960000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13656000,23114000,57150000,83363000,86989000,77273000,31793000,28938000,2912000,76163000,87127000,106262000,38546000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,73400000,77700000,94600000,113300000,123700000,122600000,132833000,158718000,132487000,112162000,159593000,201335000,281303000,252242000,375735000,326925000,436409000,497358000,575219000,495870000,571352000,539295000,583888000,512452000,829142000,850099000,904864000,1011882000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,475500000,500400000,518500000,569800000,628000000,655900000,695156000,765761000,799061000,860427000,959463000,1078683000,1201308000,1201111000,1358343000,1413653000,1652778000,1906901000,2236603000,2441957000,2782728000,3049626000,3257254000,2669447000,5293385000,5712832000,6182320000,6669710000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,571100000,604300000,658400000,670600000,748100000,766900000,869979000,987845000,1011760000,1126203000,1243334000,1436146000,1573032000,1529441000,1793427000,1782008000,2076615000,2247510000,2631440000,2924855000,3349425000,3480900000,3730567000,2865974000,5956577000,6365340000,6689148000,7308672000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,35200000,44500000,50300000,49100000,52000000,40300000,84004000,48239000,76657000,80254000,118836000,179023000,101615000,101154000,120162000,123921000,165197000,153666000,193331000,259757000,272998000,186400000,243669000,60370000,410463000,232242000,256589000,330164000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,89700000,90800000,114900000,54900000,105900000,128900000,133076000,162093000,177196000,118073000,97648000,149664000,196969000,118396000,237662000,231719000,362087000,323587000,363900000,374900000,395609000,461154000,528009000,115809000,1004409000,1316609000,739201000,400076000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4937000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6081000,5442000,25910000,17757000,15546000,17958000,20146000,48068000,41656000,33830000,35004000,36378000,41108000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,23300000,24200000,33500000,35800000,30700000,34000000,39947000,99812000,62779000,70124000,68835000,74419000,124210000,108761000,142083000,117063000,107798000,84808000,76856000,114770000,163620000,164776000,132878000,135819000,132136000,148040000,131464000,184334000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,148200000,159500000,198700000,139800000,188600000,203200000,257027000,310144000,316632000,268451000,285319000,403106000,422794000,328311000,499907000,478784000,640524000,587971000,651844000,764973000,850185000,832476000,952624000,353654000,1580838000,1731895000,1163632000,955682000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,153100000,168700000,149700000,176400000,194700000,183600000,204981000,259247000,238016000,308781000,328914000,319066000,358022000,357896000,332784000,312793000,340000000,424213000,601400000,680400000,859491000,1006394000,808005000,758052000,2106863000,2070086000,2776400000,3189009000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,70200000,74800000,81800000,84200000,90000000,96000000,109550000,88883000,101709000,125393000,146197000,172218000,179690000,177836000,186126000,216864000,259609000,296339000,289489000,319368000,344520000,295945000,343549000,280746000,85836000,92166000,149534000,198901000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,42100000,41600000,53100000,59500000,68400000,61800000,59869000,72670000,80975000,123926000,136789000,150616000,169488000,184368000,259390000,229003000,266385000,314873000,352493000,333114000,362797000,308546000,337149000,552089000,916018000,1047408000,932706000,965639000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,265400000,285100000,284600000,320100000,353100000,341400000,374400000,420800000,420700000,558100000,611900000,641900000,707200000,720100000,778300000,758660000,865994000,1035425000,1243382000,1332882000,1566808000,1610885000,1488703000,1590887000,3108717000,3209660000,3858640000,4353549000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,533300000,572600000,571600000,677400000,743400000,719800000,748809000,- -,- -,1116201000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21646000,20656000,19659000,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,416100000,447000000,485700000,497100000,578900000,581600000,631436000,730869000,737278000,826552000,897005000,1044567000,1129535000,1047921000,1276979000,1237444000,1506518000,1623396000,1895226000,2097855000,2416993000,2443361000,2441327000,1944541000,4689555000,4941555000,5022272000,5309231000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36690000,1690000,1690000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,13400000,13400000,13500000,13500000,13900000,14375000,14826000,15258000,16536000,17350000,36228000,36657000,37010000,37161000,37245000,37341000,37765000,39567000,40894000,42709000,88707000,99347000,5848000,106883000,115493000,125740000,146675000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,31500000,33700000,48700000,49000000,44500000,50500000,58004000,67218000,78002000,91638000,111397000,134357000,174407000,206123000,249973000,271505000,297473000,341677000,382127000,406041000,439218000,474167000,510597000,585838000,343258000,313237000,355678000,310433000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-167900000,-180700000,-158700000,-168200000,-180600000,-193200000,-208292000,-222515000,-238241000,-212157000,-228546000,-4000000,-8000000,-10000000,-24000000,-19000000,-22000000,-28000000,-31000000,-21000000,-30000000,-24000000,-27000000,-37000000,-26000000,-33000000,-38216000,-26729000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,278000000,290900000,269300000,279200000,291800000,314100000,374456000,397447000,382773000,401944000,444211000,224600000,239972000,247947000,252120000,253851000,257283000,272672000,345520000,401065000,480505000,498665000,706296000,366747000,842881000,1028055000,1217679000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,157300000,172700000,173500000,169200000,185300000,238543000,256976000,274482000,299651000,346102000,391185000,443036000,481080000,515254000,543601000,570097000,624114000,736214000,827000000,932432000,1037539000,1289240000,921433000,1267022000,1423785000,1660881000,1989152000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,571100000,604300000,658400000,670600000,748100000,766900000,869979000,987845000,1011760000,1126203000,1243107000,1435752000,1572571000,1529001000,1792233000,1781045000,2076615000,2247510000,2631440000,2924855000,3349425000,3480900000,3730567000,2865974000,5956577000,6365340000,6683153000,7298383000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000,394000,461000,440000,1194000,963000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5995000,10289000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,571100000,604300000,658400000,670600000,748100000,766900000,869979000,987845000,1011760000,1126203000,1243334000,1436146000,1573032000,1529441000,1793427000,1782008000,2076615000,2247510000,2631440000,2924855000,3349425000,3480900000,3730567000,2865974000,5956577000,6365340000,6689148000,7308672000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/91928/000009192895000003/0000091928-95-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91928/000009192806000018/0000091928-06-000018-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192807000009/0000091928-07-000009-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192808000020/0000091928-08-000020-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192809000020/0000091928-09-000020-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000114036110008906/0001140361-10-008906-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000114036111013012/0001140361-11-013012-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000144530512000502/0001445305-12-000502-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192813000022/0000091928-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192814000018/0000091928-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192815000019/0000091928-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192816000088/0000091928-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192817000032/0000091928-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192818000034/0000091928-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192819000032/0000091928-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192820000013/0000091928-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192821000014/0000091928-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192822000010/0000091928-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,12400000,17600000,30500000,15800000,11000000,21700000,24184000,26562000,28988000,33353000,42293000,47919000,71432000,62268000,76931000,58105000,66652000,89291000,91608000,81593000,97046000,105107000,118810000,-3490000,17663000,76917000,157042000,88091000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39447000,44694000,47759000,55089000,64890000,78511000,91042000,109818000,123486000,132914000,133385000,170647000,211652000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,4300000,9700000,5400000,7700000,7100000,13845000,7310000,14343000,4274000,14930000,25179000,21829000,12030000,23014000,21917000,28895000,23303000,20306000,-21549000,1670000,3861000,55789000,10082000,10392000,21543000,21841000,14481000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1481000,2047000,2511000,2992000,3001000,1893000,2213000,3892000,4254000,4144000,5209000,5797000,5966000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11800000,-3000000,-3200000,19800000,-29500000,-23700000,9996000,-5856000,-15873000,101258000,1227000,-44195000,-5427000,51089000,-64842000,-45606000,-106258000,-30675000,-9645000,-25068000,-1413000,-117714000,-78109000,322184000,-760519000,-161741000,422583000,-56766000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28003000,-76634000,90407000,-59701000,-67825000,-14323000,92624000,-67160000,21000,-106283000,92614000,-48576000,-85911000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6100000,2300000,-8400000,-1600000,-3300000,500000,-4843000,-27602000,17950000,-27562000,-11430000,-33503000,-25726000,21459000,-48599000,68591000,32421000,1905000,13481000,-2449000,-4787000,9226000,387000,5589000,566000,6177000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52600000,-55600000,-58800000,-39000000,-68500000,-92200000,-82204000,-88060000,-103933000,-2675000,-1448000,-45643000,-51070000,19000,-64823000,-110429000,-216687000,-247362000,-257007000,-282075000,-283488000,-401202000,-479311000,-157127000,-917646000,-1079387000,-656804000,-51570000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,37700000,15900000,4900000,-1000000,18200000,36600000,-10336000,-17287000,52004000,-64989000,22300000,10423000,-58760000,22459000,-8714000,99846000,123064000,59168000,-42524000,56668000,-16375000,102285000,52040000,-266195000,738989000,45739000,-466271000,9689000
