,https://roic.ai/company/GNRC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,94836000,71185000,98512000,90296000,112981000,223555000,351465000,293375000,179561000,204617000,251064000,357181000,372163000,479106000,721136000
18,Operating Income ratio,0.1707,0.1240,0.1675,0.1523,0.1427,0.1900,0.2366,0.2008,0.1363,0.1417,0.1501,0.1765,0.1688,0.1928,0.1930
19,Total Other Income Expenses (Gains),-105121000,-626740000,-55118000,-33076000,-26015000,-67203000,-72749000,-35013000,-56578000,-48235000,-46376000,-46105000,-52556000,-32915000,-29610000
20,Income Before Tax,-10285000,-555555000,43394000,57220000,86966000,156352000,278716000,258362000,122983000,156382000,204688000,311076000,319607000,446191000,691526000
21,Income Before Tax Ratio,-0.0185,-0.9675,0.0738,0.0965,0.1098,0.1329,0.1876,0.1768,0.0934,0.1083,0.1224,0.1537,0.1450,0.1795,0.1850
22,Income Tax expense (Gain),-571000,400000,339000,307000,-237677000,63129000,104177000,83749000,45236000,57570000,43553000,69856000,67299000,98973000,134957000
23,Net Income,-9714000,-555955000,43055000,56913000,324643000,93223000,174539000,174613000,77747000,98788000,159386000,238257000,252007000,349329000,533392000
24,Net Income ratio,-0.0175,-0.9682,0.0732,0.0960,0.4099,0.0793,0.1175,0.1195,0.0590,0.0684,0.0953,0.1177,0.1143,0.1406,0.1427
25,EPS,-4.19,-32.52,-3.58,-1.65,4.84,1.38,2.56,2.55,1.14,1.51,2.58,3.57,4.09,5.61,8.51
26,EPS Diluted,-4.19,-32.52,-3.58,-1.65,4.79,1.35,2.51,2.49,1.12,1.50,2.56,3.54,4.03,5.48,8.30
27,Weighted Average Shares Outstanding,19908540,19908540,19908540,59364958,67130356,67360632,68081632,68538248,68096051,64905793,62040704,61662031,61926986,62280889,62686001
28,Weighted Average Shares Outstanding Diluted,65578790,19908540,19908540,59364958,67797371,69193138,69667529,70171044,69200297,65382774,62642872,62233225,62865446,63737734,64253408
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474735/000147473511000011/form10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000147473512000013/0001474735-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000147473513000006/0001474735-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000147473514000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/gnrc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774916026187/0001437749-16-026187-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/0001437749-17-003237-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774918003334/0001437749-18-003334-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774919003397/0001437749-19-003397-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774920003516/0001437749-20-003516-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774921003793/0001437749-21-003793-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774922004080/0001437749-22-004080-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,71314000,81229000,161307000,78583000,93126000,108023000,150147000,189761000,115857000,67272000,138472000,224482000,322883000,655128000,147339000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,71314000,81229000,161307000,78583000,93126000,108023000,150147000,189761000,115857000,67272000,138472000,224482000,322883000,655128000,147339000
34,Net Receivables,45856000,66241000,54130000,63154000,109705000,134978000,164907000,189107000,182185000,241857000,280002000,326133000,319538000,374906000,546466000
35,Inventory,97614000,123980000,123700000,127137000,162124000,225817000,300253000,319385000,325375000,349731000,380341000,544750000,522024000,603317000,1089705000
36,Other Current Assets,2966000,3547000,5880000,3645000,18310000,53735000,38872000,32225000,37955000,24649000,19741000,25404000,31384000,36382000,64954000
37,Total Current Assets,217750000,274997000,345017000,272519000,383265000,522553000,654179000,730478000,661372000,683509000,818556000,1120769000,1195829000,1669733000,1848464000
38,PP&E,78982000,76674000,73374000,75287000,84384000,104718000,146390000,168821000,184213000,212793000,230380000,278929000,352926000,416942000,562741000
39,Goodwill,1029068000,525875000,525875000,527148000,547473000,552943000,608287000,635565000,669719000,704640000,721523000,764655000,805284000,855228000,1409674000
40,Intangible Assets,559480000,431585000,379625000,328410000,233874000,272739000,282825000,284878000,256910000,255172000,235765000,246490000,297734000,292023000,1041162000
41,Intangible Assets,1588548000,957460000,905500000,855558000,781347000,825682000,891112000,920443000,926629000,959812000,957288000,1011145000,1103018000,1147251000,2450836000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,227363000,136754000,85104000,46509000,6673000,3337000,3238000,163000,2933000,1497000,15740000
44,Other Non-Current Assets,23379000,17083000,13352000,6519000,76434000,14140000,21420000,16291000,13929000,2233000,10502000,15308000,10963000,- -,- -
45,Total Non-Current Assets,1690909000,1051217000,992226000,937364000,1169528000,1081294000,1144026000,1152064000,1131444000,1178175000,1201408000,1305545000,1469840000,1565690000,3029317000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1908659000,1326214000,1337243000,1209883000,1552793000,1603847000,1798205000,1882542000,1792816000,1861684000,2019964000,2426314000,2665669000,3235423000,4877780000
48,Accounts Payable,20076000,54525000,33639000,41809000,81053000,94543000,109238000,132248000,108332000,181519000,233639000,328091000,261977000,330247000,674208000
49,Short-Term Debt,9500000,9500000,39076000,- -,22874000,94800000,22046000,5916000,9251000,46163000,22174000,47560000,68328000,43429000,77965000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,6569000,6718000,- -,- -,- -,- -,- -,- -,1497000,- -
52,Other Current Liabilities,65114000,63956000,59256000,44876000,61463000,98947000,112843000,102358000,95641000,114257000,133059000,185055000,166759000,266351000,403734000
53,Total Current Liabilities,94690000,127981000,131971000,86685000,165390000,294859000,250845000,240522000,213224000,341939000,388872000,560706000,497064000,641524000,1155907000
54,Long-Term Debt,1280750000,1121437000,1052463000,657229000,575000000,799018000,1175349000,1082101000,1050097000,1006758000,906548000,876396000,813635000,816704000,1243772000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6166000,17278000,43789000,71300000,96328000,115769000,205964000
57,Other Non-Current Liabilities,774509000,886990000,895623000,24902000,43514000,46342000,54940000,70120000,57458000,94597000,120924000,156651000,225791000,271222000,- -
58,Total Non-Current Liabilities,2055259000,2008427000,1948086000,682131000,618514000,845360000,1230289000,1152221000,1113721000,1118633000,1071261000,1104347000,1135754000,1203695000,1449736000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62971000,207326000,380856000
61,Total Liabilities,2149949000,2136408000,2080057000,768816000,783904000,1140219000,1481134000,1392743000,1326945000,1460572000,1460133000,1665053000,1632818000,1845219000,2605643000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,675000,676000,683000,688000,691000,696000,702000,708000,712000,717000,721000,725000
64,Retained Earnings,-25671000,-581626000,-538571000,-481658000,-157015000,-63792000,105813000,280426000,358173000,456052000,616347000,831123000,1084383000,1432565000,1965957000
65,Other Comprehensive Income/Loss,-15813000,-28650000,-4492000,-9752000,-15357000,-14496000,-2415000,-15767000,-22475000,-40163000,-21198000,-23813000,-24917000,-34254000,-54755000
66,Other Total Stockholders Equity,- -,- -,- -,931802000,940585000,541233000,212985000,224449000,129477000,-15469000,-36305000,-47473000,-27801000,-8739000,- -
67,Total Stockholders Equity,-241290000,-810194000,-742814000,441067000,768889000,463628000,317071000,489799000,465871000,401122000,559552000,760549000,1032382000,1390293000,2213774000
68,Total Liabilities And Stockholders Equity,1908659000,1326214000,1337243000,1209883000,1552793000,1603847000,1798205000,1882542000,1792816000,1861694000,2019685000,2425602000,2665200000,3235512000,4819417000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,279000,712000,469000,-89000,58363000
70,Total Liabilities & Equity,1908659000,1326214000,1337243000,1209883000,1552793000,1603847000,1798205000,1882542000,1792816000,1861684000,2019964000,2426314000,2665669000,3235423000,4877780000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474735/000147473511000011/form10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000147473512000013/0001474735-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000147473513000006/0001474735-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000147473514000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/gnrc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774916026187/0001437749-16-026187-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/0001437749-17-003237-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774918003334/0001437749-18-003334-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774919003397/0001437749-19-003397-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774920003516/0001437749-20-003516-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774921003793/0001437749-21-003793-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774922004080/0001437749-22-004080-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-9714000,-555955000,43055000,56913000,324643000,93223000,174539000,174613000,77747000,98788000,159386000,238257000,252007000,349329000,533392000
74,Depreciation and Amortization,53783000,54770000,59675000,59440000,56123000,54160000,36774000,34730000,40333000,54418000,51988000,47408000,60909000,68773000,92041000
75,Deferred Income Tax,- -,- -,- -,- -,-238170000,62429000,82675000,37878000,26955000,39347000,21439000,23600000,18733000,21195000,-2096000
76,Stock Based Compensation,357000,40000,38000,6363000,8646000,10780000,12368000,12612000,8241000,9493000,10205000,14563000,16694000,20882000,23954000
77,Change in Working Capital,7629000,23956000,66030000,-27212000,32041000,9819000,175640000,86622000,-41808000,-106578000,88114000,130379000,138702000,329444000,-258545000
78,Accounts Receivable,4808000,-20768000,11779000,-8621000,-22235000,-137000,-5257000,-2988000,9610000,-9082000,-29771000,-43243000,8231000,-55976000,-131861000
79,Inventory,21372000,-26366000,280000,-3151000,-11224000,-31656000,-52488000,3508000,9084000,15514000,-16278000,-152594000,26369000,-77983000,-470991000
80,Accounts Payable,-3369000,34449000,-20886000,7896000,18517000,-3898000,-5847000,15269000,-27771000,32908000,42788000,86359000,-69404000,66040000,297323000
81,Other Working Capital,123060000,147016000,213046000,185834000,217875000,227694000,403334000,489956000,448148000,341570000,429684000,560063000,698765000,1028209000,-31809000
82,Other Non-Cash Items,-13542000,487414000,-94191000,18977000,-13571000,5183000,-222052000,-93469000,77151000,157941000,-70016000,-206980000,-178158000,-303090000,22410000
83,Cash Provided by Operating Activities,38513000,10225000,74607000,114481000,169712000,235594000,259944000,252986000,188619000,253409000,261116000,247227000,308887000,486533000,411156000
84,CAPEX,-13191000,-5186000,-4525000,-9631000,-12060000,-22392000,-30770000,-34689000,-30651000,-30467000,-33261000,-47601000,-60802000,-62128000,-109992000
85,Acquisitions Net,- -,- -,- -,-1649000,-83907000,-47044000,-113859000,-61196000,-73782000,-76715000,1257000,-65440000,-112001000,-64797000,-717131000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3933000,2630000,2651000,9577000
88,Other Investing Activites,459000,148000,174000,76000,14000,91000,80000,394000,105000,1360000,82000,214000,95000,179000,-109733000
89,Cash Used for Investing Activites,-12732000,-5038000,-4351000,-11204000,-95953000,-69345000,-144549000,-95491000,-104328000,-105822000,-31922000,-108894000,-170078000,-124095000,-817287000
90,Debt Repayment,-9500000,-10396000,-9500000,-434310000,-59355000,-1198124000,-920166000,-120479000,-173975000,-65382000,-232349000,-129707000,-112567000,-282477000,-347669000
91,Common Stock Issued,1662000,- -,- -,248309000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-904000,-413000,- -,- -,- -,- -,- -,- -,-99942000,-149937000,-30012000,-25656000,- -,- -,-125992000
93,Dividends Paid,- -,- -,- -,- -,- -,-404332000,-343429000,-902000,-1436000,-76000,- -,- -,- -,- -,- -
94,Other Financing Activites,-195000,15537000,19322000,- -,139000,1451104000,1190196000,5358000,120870000,19690000,102218000,103329000,70649000,252049000,370691000
95,Cash Used/Provided by Financing Activities,-8937000,4728000,9822000,-186001000,-59216000,-151352000,-73399000,-116023000,-154483000,-195705000,-160143000,-52034000,-41918000,-30428000,-102970000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,128000,-1858000,-3712000,-467000,2149000,-289000,1510000,235000,1312000
97,Net Change In Cash,16844000,9915000,80078000,-82724000,14543000,14897000,42124000,39614000,-73904000,-48585000,71200000,86010000,98401000,332245000,-507789000
98,Cash at the End of Period,71315000,81230000,161307000,78583000,93126000,108023000,150147000,189761000,115857000,67272000,138472000,224482000,322883000,655128000,147339000
99,Cash at the Beginning of Period,54471000,71315000,81229000,161307000,78583000,93126000,108023000,150147000,189761000,115857000,67272000,138472000,224482000,322883000,655128000
100,Free Cash Flow,25322000,5039000,70082000,104850000,157652000,213202000,229174000,218297000,157968000,222942000,227855000,199626000,248085000,424405000,301164000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474735/000147473511000011/form10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000147473512000013/0001474735-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000147473513000006/0001474735-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000147473514000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/gnrc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774916026187/0001437749-16-026187-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/0001437749-17-003237-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774918003334/0001437749-18-003334-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774919003397/0001437749-19-003397-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774920003516/0001437749-20-003516-index.html,https://www.sec.gov/Archives/edgar/data/1474735/000143774921003793/0001437749-21-003793-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774922004080/0001437749-22-004080-index.htm
102,false,,,,,,,,,,,,,,,
