,https://roic.ai/company/MMP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.16,0.47,0.92,0.83,0.86,0.83,1.12,1.30,1.64,1.11,1.43,1.83,1.92,2.57,3.69,3.60,3.52,3.81,5.84,4.46,3.62,4.47
26,EPS Diluted,0.16,0.47,0.92,0.83,0.86,0.83,1.12,1.30,1.64,1.11,1.43,1.83,1.92,2.56,3.69,3.59,3.52,3.81,5.84,4.46,3.62,4.47
27,Weighted Average Shares Outstanding,18394000,45436000,87644000,108780000,117432000,108780000,132722000,133094000,133710000,114230000,218970000,225674000,226369000,226829000,227260000,227550000,227926000,228176000,228377000,228658000,225503000,213500000
28,Weighted Average Shares Outstanding Diluted,18394000,45436000,87872000,108940000,117688000,108940000,133226000,133400000,133854000,114290000,219122000,225974000,226608000,227094000,227626000,227888000,228057000,228338000,228573000,228842000,225531000,214100000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1126975/000095013403004294/0000950134-03-004294-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000119312504038322/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312505046594/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312506052302/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312507042518/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312508041357/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312509039040/0001193125-09-039040-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000119312510038751/0001193125-10-038751-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697511000032/mmp12311010k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697512000038/0001126975-12-000038-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697513000033/0001126975-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697514000032/mmp12311310-k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697515000073/mmp12311410-k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697516000223/0001126975-16-000223-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697517000071/0001126975-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697518000071/0001126975-18-000071-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697519000059/0001126975-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697520000047/0001126975-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697521000062/0001126975-21-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697522000070/0001126975-22-000070-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13831000,75151000,111357000,29833000,36489000,6390000,- -,33241000,4168000,7483000,209620000,328278000,25235000,17063000,28731000,14701000,176068000,218283000,58030000,13036000,13000000
32,Short-Term Investments,- -,- -,- -,- -,87802000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13831000,75151000,111357000,117635000,36489000,6390000,- -,33241000,4168000,7483000,209620000,328278000,25235000,17063000,28731000,14701000,176068000,218283000,58030000,13036000,13000000
34,Net Receivables,- -,16696000,40265000,43518000,64477000,60474000,65501000,73738000,48968000,81194000,98367000,92576000,103443000,122757000,100176000,96594000,131450000,153340000,129171000,149327000,146211000,140700000
35,Inventory,- -,- -,5224000,17282000,43397000,78155000,91550000,120462000,47734000,193001000,216408000,258860000,221888000,187224000,157762000,130868000,134378000,182345000,185735000,184399000,167389000,158200000
36,Other Current Assets,- -,330000,4584000,12164000,12232000,10571000,13577000,10882000,35640000,45605000,62325000,51134000,46669000,61517000,127666000,82661000,89865000,100086000,113154000,67652000,78557000,93200000
37,Total Current Assets,- -,30857000,125224000,184321000,237741000,185689000,177018000,205082000,165583000,323968000,384583000,612190000,700278000,396733000,402667000,338854000,370394000,611839000,646343000,459408000,405193000,405100000
38,PP&E,- -,329380000,933131000,940549000,1493618000,1609517000,1702739000,1820561000,2050009000,2780617000,3178556000,3249722000,3465302000,3916258000,4329334000,4819229000,5275741000,5552835000,5798181000,6575902000,6427769000,6153000000
39,Goodwill,- -,- -,- -,22057000,22007000,24430000,23945000,23945000,26809000,14766000,39925000,53260000,53260000,53260000,53260000,53260000,53260000,53260000,53260000,53260000,52830000,50100000
40,Intangible Assets,- -,24921000,24727000,11417000,10118000,11652000,8633000,7086000,5539000,5896000,16924000,15176000,13274000,7290000,4573000,1856000,51976000,52764000,51174000,47898000,44925000,44900000
41,Intangible Assets,- -,24921000,24727000,33474000,32125000,36082000,32578000,31031000,32348000,20662000,56849000,68436000,66534000,60550000,57833000,55116000,105236000,106024000,104434000,101158000,97755000,95000000
42,Investments,- -,- -,- -,- -,25084000,24888000,24087000,24324000,23190000,22054000,24895000,38128000,107356000,360852000,613867000,765628000,931255000,1082511000,1076306000,1240551000,1213856000,1213900000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,14286000,33279000,36280000,29264000,20342000,16227000,20196000,24985000,15847000,73017000,76525000,80597000,86419000,113584000,62740000,89447000,41166000,122273000,60710000,52409000,330000000
45,Total Non-Current Assets,- -,368587000,991137000,1010303000,1580091000,1690829000,1775631000,1896112000,2130532000,2839180000,3333317000,3432811000,3719789000,4424079000,5114618000,5702713000,6401679000,6782536000,7101194000,7978321000,7791789000,7791900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,399444000,1116361000,1194624000,1817832000,1876518000,1952649000,2101194000,2296115000,3163148000,3717900000,4045001000,4420067000,4820812000,5517285000,6041567000,6772073000,7394375000,7747537000,8437729000,8196982000,8197000000
48,Accounts Payable,- -,12476000,28477000,21457000,20891000,31329000,66557000,52569000,41383000,37063000,41425000,66384000,112002000,76326000,97131000,104094000,77248000,104852000,138735000,150992000,100022000,98000000
49,Short-Term Debt,- -,- -,1967000,900000,15100000,14345000,270839000,- -,- -,- -,- -,- -,- -,249971000,- -,250335000,- -,250974000,59489000,- -,27533000,27500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68313000,67700000
51,Deferred Revenue,- -,- -,11550000,10868000,12958000,17522000,22901000,20797000,21492000,27776000,34733000,39983000,46371000,63164000,71142000,81627000,101891000,117795000,121085000,109654000,98897000,98600000
52,Other Current Liabilities,- -,14283000,35902000,73658000,117055000,122699000,158092000,147279000,132383000,164558000,198889000,204688000,234247000,248815000,367882000,277016000,302517000,362889000,357247000,406230000,332122000,334500000
53,Total Current Liabilities,- -,26759000,77896000,106883000,166004000,185895000,518389000,220645000,195258000,229397000,275047000,311055000,392620000,638276000,536155000,713072000,481656000,836510000,676556000,666876000,558574000,558600000
54,Long-Term Debt,- -,140762000,574293000,569100000,789568000,782639000,518609000,914536000,1083485000,1680004000,1906148000,2151775000,2393408000,2435316000,2982895000,3189287000,4087192000,4273518000,4211380000,4706075000,5116174000,5116200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4763000,12415000,20492000,73151000,99994000,109169000,94849000,61930000,57393000,67134000,118768000,118337000,99778000,130002000,117472000,111120000,154694000,216167000,349750000,218428000,218400000
58,Total Non-Current Liabilities,- -,145525000,586708000,589592000,862719000,882633000,627778000,1009385000,1145415000,1737397000,1973282000,2270543000,2511745000,2535094000,3112897000,3306759000,4198312000,4428212000,4427547000,5055825000,5334602000,5334600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170244000,165016000,165000000
61,Total Liabilities,- -,172284000,664604000,696475000,1028723000,1068528000,1146167000,1230030000,1340673000,1966794000,2248329000,2581598000,2904365000,3173370000,3649052000,4019831000,4679968000,5264722000,5104103000,5722701000,5893176000,5893200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,101452000,844682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-51326000,-401396000,-431298000,-463266000,-2000000,-19000000,-11000000,-674317000,-8000000,-11000000,-47000000,-35000000,-20000000,-82000000,-96000000,-101000000,-138000000,-120000000,-162000000,-183190000,-183200000
66,Other Total Stockholders Equity,- -,174784000,8471000,- -,- -,810000000,825000000,882000000,1928317000,1204000000,1481000000,1510000000,1551000000,1667000000,1950000000,2118000000,2193000000,2268000000,2763000000,2877000000,- -,- -
67,Total Stockholders Equity,- -,224910000,451757000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,397194000,1116361000,696475000,1028723000,1876528000,1952167000,2101030000,2594673000,3162794000,3718329000,4044598000,4420365000,4820370000,5517052000,6041831000,6771968000,7394722000,7747103000,8437701000,8196982000,5893200000
69,Minority Interest,- -,2250000,- -,498149000,789109000,-10000,482000,164000,-298558000,354000,-429000,403000,-298000,442000,233000,-264000,105000,-347000,434000,28000,- -,2303800000
70,Total Liabilities & Equity,- -,399444000,1116361000,1194624000,1817832000,1876518000,1952649000,2101194000,2296115000,3163148000,3717900000,4045001000,4420067000,4820812000,5517285000,6041567000,6772073000,7394375000,7747537000,8437729000,8196982000,8197000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1126975/000095013403004294/0000950134-03-004294-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000119312504038322/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312505046594/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312506052302/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312507042518/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312508041357/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312509039040/0001193125-09-039040-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000119312510038751/0001193125-10-038751-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697511000032/mmp12311010k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697512000038/0001126975-12-000038-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697513000033/0001126975-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697514000032/mmp12311310-k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697515000073/mmp12311410-k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697516000223/0001126975-16-000223-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697517000071/0001126975-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697518000071/0001126975-18-000071-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697519000059/0001126975-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697520000047/0001126975-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697521000062/0001126975-21-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697522000070/0001126975-22-000070-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3005000,21747000,99153000,88169000,110203000,88169000,192728000,242790000,346613000,126746000,311977000,413629000,435670000,582237000,839519000,819122000,802771000,869531000,1333925000,1020849000,816965000,982000000
74,Depreciation and Amortization,9333000,11748000,45046000,36081000,41845000,56307000,60852000,63792000,71153000,97216000,110069000,123010000,128012000,142230000,161741000,166812000,178142000,196630000,265077000,246134000,258676000,227900000
75,Deferred Income Tax,1842000,187000,1641000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4751000,9622000,18899000,17710000,21036000,24083000,27284000,24245000,19358000,20641000,32053000,24012000,11985000,21800000
77,Change in Working Capital,1455000,5981000,43230000,30110000,-5701000,-71943000,-341165000,325808000,-14112000,124246000,14965000,191599000,6523000,-549201000,108055000,-240730000,262956000,-113409000,194458000,-177255000,54087000,-9700000
78,Accounts Receivable,- -,- -,- -,-3056000,687000,3102000,5052000,275000,- -,-31872000,-17173000,5791000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,5361000,-6812000,3864000,-34758000,-13395000,-28912000,- -,-59135000,-23407000,-42452000,36972000,34664000,29462000,26894000,-3510000,-47967000,-3390000,1336000,15771000,-122900000
80,Accounts Payable,- -,- -,- -,-6039000,-222000,10322000,21294000,-9554000,- -,-3909000,7794000,20226000,-11175000,2002000,-10918000,4107000,-4423000,8954000,21146000,-1237000,4225000,16000000
81,Other Working Capital,-1883000,4098000,47328000,77438000,71737000,-206000,-341371000,-15563000,-29675000,94571000,109536000,301135000,307658000,-241543000,-133488000,-374218000,-111262000,-224671000,-30213000,-207468000,-153381000,16400000
82,Other Non-Cash Items,- -,2845000,-28037000,-10402000,90154000,152269000,392264000,-371446000,27166000,-88393000,-31254000,-168625000,53850000,573351000,-29298000,300243000,-299187000,135285000,-472563000,207439000,-34335000,-25800000
83,Cash Provided by Operating Activities,15635000,42508000,161033000,143958000,236501000,224802000,304679000,260944000,435571000,269437000,424656000,577323000,645091000,772700000,1107301000,1069692000,964040000,1108678000,1352950000,1321179000,1107378000,1196200000
84,CAPEX,-10649000,-15511000,-37248000,-34636000,-51385000,-92791000,-168544000,-190182000,-272083000,-216698000,-221419000,-217472000,-354168000,-383757000,-366445000,-621151000,-674159000,-558669000,-552257000,-943990000,-439574000,-148600000
85,Acquisitions Net,-31100000,-49409000,-692493000,-15346000,-25441000,-55263000,- -,- -,-38302000,-390606000,-291292000,-40500000,-74934000,-442495000,-408001000,-207144000,-200023000,-134828000,-216424000,-212380000,-95068000,-5600000
86,Purchases of Investments,- -,- -,- -,- -,-345237000,-50500000,- -,- -,- -,- -,- -,-10701000,- -,- -,-408001000,-152466000,-200023000,-134828000,-216424000,-212380000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,232403000,138302000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1650000,2706000,4034000,-522666000,-15435000,20247000,-3473000,4523000,2386000,-77449000,9932000,-293147000,-439551000,-13982000,-451159000,-457320000,-300967000,313592000,-582492000,335395000,272300000
89,Cash Used for Investing Activites,-41749000,-63270000,-727035000,-45948000,-712326000,-75687000,-148297000,-193655000,-305862000,-604918000,-590160000,-258741000,-368081000,-882046000,-829984000,-810769000,-857366000,-570623000,-119256000,-1007252000,-199247000,118100000
90,Debt Repayment,-5955000,- -,- -,-92905000,-639060000,-15100000,-14771000,-277222000,-95548000,-4357000,15000,-9983000,- -,- -,-250000000,-16981000,-479975000,-49986000,-250000000,-558270000,-550000000,- -
91,Common Stock Issued,- -,89362000,279290000,9477000,286523000,- -,- -,- -,- -,- -,258407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-12060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-276940000,-523100000
93,Dividends Paid,- -,-16599000,-53373000,-90527000,-116943000,-160494000,-207966000,-236144000,-267184000,-285758000,-318817000,-350892000,-403485000,-475461000,-568806000,-662948000,-739157000,-803216000,-865431000,-921606000,-927117000,-906400000
94,Other Financing Activites,32069000,-26110000,401399000,112151000,863781000,33135000,36256000,439687000,266264000,591852000,229214000,244430000,245133000,281764000,533317000,432674000,1098428000,476514000,14930000,941287000,783774000,101800000
95,Cash Used/Provided by Financing Activities,26114000,34593000,627316000,-61804000,394301000,-142459000,-186481000,-73679000,-96468000,301737000,168819000,-116445000,-158352000,-193697000,-285489000,-247255000,-120704000,-376688000,-1100501000,-538589000,-970283000,-1327700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,26114000,34593000,61314000,36206000,-81524000,6656000,-30099000,-73679000,-96468000,-33744000,3315000,202137000,118658000,-303043000,-8172000,11668000,-14030000,161367000,133193000,-224662000,-62152000,-13400000
98,Cash at the End of Period,- -,13831000,75151000,111357000,29833000,36489000,6390000,- -,33241000,4168000,7483000,209620000,328278000,25235000,17063000,28731000,14701000,176068000,309261000,84599000,22447000,9000000
99,Cash at the Beginning of Period,- -,- -,13837000,75151000,111357000,29833000,36489000,6390000,- -,37912000,4168000,7483000,209620000,328278000,25235000,17063000,28731000,14701000,176068000,309261000,84599000,22400000
100,Free Cash Flow,4986000,26997000,123785000,109322000,185116000,132011000,136135000,70762000,163488000,52739000,203237000,359851000,290923000,388943000,740856000,448541000,289881000,550009000,800693000,377189000,667804000,1047600000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1126975/000095013403004294/0000950134-03-004294-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000119312504038322/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312505046594/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312506052302/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312507042518/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312508041357/d10k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000119312509039040/0001193125-09-039040-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000119312510038751/0001193125-10-038751-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697511000032/mmp12311010k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697512000038/0001126975-12-000038-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697513000033/0001126975-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697514000032/mmp12311310-k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697515000073/mmp12311410-k.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697516000223/0001126975-16-000223-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697517000071/0001126975-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697518000071/0001126975-18-000071-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697519000059/0001126975-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697520000047/0001126975-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1126975/000112697521000062/0001126975-21-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1126975/000112697522000070/0001126975-22-000070-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
