,https://roic.ai/company/EMMS,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
14,Depreciation and Amortization,6100000,4600000,7400000,6600000,9700000,32100000,53818000,94454000,124335000,68193000,74911000,75974000,19859000,14523000,15082000,14969000,11255000,10682000,8467000,5675000,4866000,5926000,5797000,4806000,3628000,3213000,1133000
15,EBITDA,14200000,16700000,25300000,32500000,24600000,39500000,64704000,125840000,36772000,-83010000,89617000,-212453000,362175000,130119000,10408000,-323776000,-126419000,22675000,36032000,63307000,21352000,-39284000,28936000,35833000,89168000,40835000,46360000
16,EBITDA ratio,0.2823,0.2500,0.2535,0.3146,0.1954,0.1697,0.1989,0.2674,0.0689,-0.1476,0.1514,-0.3435,0.9349,0.3619,0.0288,-0.9698,-0.5212,0.0902,0.1527,0.3229,0.1041,-0.1651,0.1250,0.1670,0.6005,0.3578,1.1675
17,Operating Income,13600000,20700000,34500000,37800000,42900000,42800000,58499000,65793000,44110000,125855000,114022000,140375000,37830000,59742000,17564000,-333669000,-165486000,19221000,14138000,16549000,22197000,-34063000,19664000,31908000,90797000,40989000,-17622000
18,Operating Income ratio,0.2704,0.3099,0.3457,0.3659,0.3407,0.1838,0.1799,0.1398,0.0826,0.2238,0.1926,0.2270,0.0977,0.1662,0.0486,-0.9994,-0.6822,0.0765,0.0599,0.0844,0.1082,-0.1432,0.0850,0.1487,0.6115,0.3591,-0.4438
19,Total Other Income Expenses (Gains),-5500000,-8600000,-16600000,-11900000,-28000000,-33800000,-49635000,-34407000,-132757000,-98541000,-89297000,-165651000,-77524000,-56617000,-34837000,-25378000,6712000,-21568000,-14724000,-25417000,-7605000,-24974000,-17899000,-18798000,-17770000,-8743000,-16495000
20,Income Before Tax,8100000,12100000,17900000,25900000,14900000,9000000,8864000,31386000,-88647000,27314000,24725000,-25276000,-39694000,3125000,-17273000,-359047000,-158774000,-2347000,-586000,-8868000,14592000,-59037000,1765000,13110000,73027000,32246000,-34117000
21,Income Before Tax Ratio,0.1610,0.1811,0.1794,0.2507,0.1183,0.0387,0.0273,0.0667,-0.1661,0.0486,0.0418,-0.0409,-0.1025,0.0087,-0.0478,-1.0754,-0.6546,-0.0093,-0.0025,-0.0452,0.0711,-0.2481,0.0076,0.0611,0.4918,0.2825,-0.8592
22,Income Tax expense (Gain),4400000,4500000,7600000,10500000,5900000,6200000,6875000,17650000,-25623000,13265000,12450000,15941000,-15455000,2015000,-3324000,-89312000,-39840000,6452000,-27472000,-7039000,-34063000,36948000,2069000,-110000,-11732000,6167000,-9079000
23,Net Income,3700000,7600000,10300000,15400000,9000000,1200000,4011000,13736000,-61940000,-164468000,2256000,-304368000,357771000,113581000,-1350000,-274984000,-122654000,-15558000,26193000,43772000,43481000,-99259000,2114000,13119000,82129000,23352000,50485000
24,Net Income ratio,0.0736,0.1138,0.1032,0.1491,0.0715,0.0052,0.0123,0.0292,-0.1160,-0.2925,0.0038,-0.4921,0.9236,0.3159,-0.0037,-0.8236,-0.5057,-0.0619,0.1110,0.2232,0.2120,-0.4172,0.0091,0.0611,0.5531,0.2046,1.2713
25,EPS,0.72,1.40,1.84,2.70,1.64,0.18,-0.36,0.40,-6.16,-13.08,-0.48,-22.32,32.52,11.24,-1.12,-31.24,-14.24,-2.68,8.32,4.32,4.32,-9.32,0.16,1.09,6.65,1.85,4.00
26,EPS Diluted,0.72,1.40,1.82,2.70,1.58,0.16,-0.36,0.40,-6.16,-13.08,-0.48,-22.32,32.52,11.24,-1.12,-31.24,-14.24,-2.68,2.32,4.32,3.76,-9.32,0.16,1.07,6.50,1.74,4.00
27,Weighted Average Shares Outstanding,5138889,5428571,5597826,5703704,5487805,6666667,8249027,11880000,11513636,13260856,14016667,14039068,10725308,9305783,9137750,9093500,9260250,9465750,9573250,9758500,10126500,10634250,11034000,12040000,12347000,12606000,12606000
28,Weighted Average Shares Outstanding Diluted,5138889,5428571,5659341,5703704,5696203,7500000,8529731,11880000,11830500,13260856,14016667,14039068,10725308,9305783,9137750,9093500,9260250,9465750,11238250,9758500,11510500,10634250,11316000,12229000,12626000,13448000,12606000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/783005/000078300597000008/0000783005-97-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/783005/000095013700002610/0000950137-00-002610-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300501500004/0000783005-01-500004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/783005/000095013704004133/c85541e10vk.htm,https://www.sec.gov/Archives/edgar/data/783005/000095013705006059/c95331e10vk.htm,https://www.sec.gov/Archives/edgar/data/783005/000095013406009726/c05253e10vk.htm,https://www.sec.gov/Archives/edgar/data/783005/000095012407002816/0000950124-07-002816-index.html,https://www.sec.gov/Archives/edgar/data/783005/000095013408009149/0000950134-08-009149-index.html,https://www.sec.gov/Archives/edgar/data/783005/000095012309008795/0000950123-09-008795-index.html,https://www.sec.gov/Archives/edgar/data/783005/000095012310045834/0000950123-10-045834-index.html,https://www.sec.gov/Archives/edgar/data/783005/000095012311047715/0000950123-11-047715-index.html,https://www.sec.gov/Archives/edgar/data/783005/000119312512223521/d335769d10k.htm,https://www.sec.gov/Archives/edgar/data/783005/000119312513205848/0001193125-13-205848-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300514000029/0000783005-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300515000023/0000783005-15-000023-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300516000072/0000783005-16-000072-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300517000022/0000783005-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300518000023/0000783005-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/783005/000156459019017430/0001564590-19-017430-index.html,https://www.sec.gov/Archives/edgar/data/783005/000156459020030419/0001564590-20-030419-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1200000,5800000,6100000,17370000,59899000,6362000,16079000,19970000,16054000,140822000,20747000,19498000,49731000,6814000,6068000,5619000,8735000,5304000,3669000,4456000,11349000,4107000,5438000,93036000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,1200000,5800000,6100000,17370000,59899000,6362000,16079000,19970000,16054000,140822000,20747000,19498000,49731000,6814000,6068000,5619000,8735000,5304000,3669000,4456000,11349000,4107000,5438000,93036000
34,Net Receivables,- -,- -,- -,23300000,32100000,51500000,66471000,111251000,95240000,102345000,105225000,106987000,67120000,62403000,62301000,46794000,45590000,39273000,32880000,28126000,31000000,37328000,34906000,26484000,20594000,16775000,4627000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,4200000,13300000,13500000,28875000,43956000,161920000,41257000,46824000,41417000,47264000,35859000,32741000,32816000,22159000,17664000,16183000,13847000,17708000,14894000,12329000,8624000,35092000,7781000,13873000
37,Total Current Assets,- -,- -,- -,28700000,51200000,71100000,112716000,215106000,263522000,159681000,172019000,164458000,255206000,119009000,114540000,129341000,74563000,63005000,54682000,50708000,54012000,55891000,51691000,46457000,59793000,29994000,111536000
38,PP&E,- -,- -,- -,13000000,33400000,106100000,128904000,237887000,231139000,223430000,217302000,193318000,66346000,61488000,59114000,55043000,50204000,45741000,40502000,32553000,32231000,34794000,33843000,30845000,26601000,23477000,23630000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,189462000,204429000,- -,- -,- -,77413000,77620000,81304000,29442000,24175000,24175000,24175000,12639000,12639000,15392000,14697000,4603000,4338000,4338000,- -
40,Intangible Assets,- -,- -,- -,131700000,234600000,802300000,1033970000,1791635000,1748902000,1676733000,1858857000,1360780000,895183000,838898000,827280000,508431000,339634000,331485000,215007000,150747000,150820000,218235000,208428000,199189000,171943000,171305000,66463000
41,Intangible Assets,- -,- -,- -,131700000,234600000,802300000,1033970000,1981097000,1953331000,1676733000,1858857000,1360780000,972596000,916518000,908584000,537873000,363809000,355660000,239182000,163386000,163459000,233627000,223125000,203792000,176281000,175643000,66463000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3155000,3122000,2814000,1691000,7889000,7181000,1026000,1137000,800000,800000,800000,420000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,16300000,14200000,35300000,51716000,72782000,62077000,56569000,52391000,31260000,218553000,110889000,57502000,13799000,6470000,5257000,4712000,7088000,8465000,9394000,6810000,7444000,7669000,7832000,19943000
45,Total Non-Current Assets,- -,- -,- -,161000000,282200000,943700000,1214590000,2291766000,2246547000,1956732000,2128550000,1658577000,1257495000,1088895000,1025200000,609870000,423605000,409472000,286087000,210916000,211336000,278841000,264915000,242881000,211351000,207752000,110456000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,189700000,333400000,1014800000,1327306000,2506872000,2510069000,2116413000,2300569000,1823035000,1512701000,1207904000,1139740000,739211000,498168000,472477000,340769000,261624000,265348000,334732000,316606000,289338000,271144000,237746000,221992000
48,Accounts Payable,- -,- -,- -,3700000,13100000,15600000,22957000,34206000,38995000,39526000,35791000,28595000,25221000,18791000,15802000,15907000,10062000,9832000,11344000,8301000,8958000,9497000,8127000,13398000,6394000,4451000,2393000
49,Short-Term Debt,- -,- -,- -,4800000,100000,10300000,22195000,32379000,170440000,14912000,6539000,7688000,129175000,4595000,5628000,5263000,3413000,3293000,7978000,12126000,12541000,6840000,17573000,23600000,16037000,32150000,8820000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11218000,3796000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,17418000,16392000,15805000,14393000,14335000,13734000,14894000,17697000,18885000,24269000,18615000,16669000,10862000,11506000,11568000,11435000,4560000,4030000,4055000,2605000
52,Other Current Liabilities,- -,- -,- -,4800000,14900000,43900000,39290000,33148000,29514000,61414000,62169000,65323000,53773000,21701000,22640000,17904000,19097000,19130000,17931000,13618000,16245000,14861000,14150000,13045000,6236000,16710000,6596000
53,Total Current Liabilities,- -,- -,- -,13300000,28100000,69800000,84442000,117151000,255341000,131657000,118892000,115941000,221903000,59981000,61767000,57959000,56841000,50870000,53922000,44907000,49250000,42766000,51285000,54603000,32697000,57366000,20414000
54,Long-Term Debt,- -,- -,- -,112300000,231400000,621000000,373192000,1441251000,1350456000,1207876000,1267477000,1179236000,667944000,497332000,436202000,417149000,337758000,327704000,229725000,131494000,114926000,254150000,228027000,190372000,122849000,48757000,47474000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,29300000,26300000,85000000,87139000,135468000,101198000,22345000,81994000,- -,127228000,170758000,173255000,76294000,73305000,81411000,52648000,38072000,9783000,41614000,43715000,43537000,31403000,25232000,24979000
57,Other Non-Current Liabilities,- -,- -,- -,400000,500000,3500000,5408000,5531000,67517000,49830000,35588000,27245000,175432000,191858000,171130000,163360000,159801000,154477000,57870000,10052000,8021000,8351000,7728000,4842000,5932000,6024000,9218000
58,Total Non-Current Liabilities,- -,- -,- -,142000000,258200000,709500000,465739000,1582250000,1519171000,1280051000,1385059000,1206481000,970604000,859948000,780587000,656803000,570864000,563592000,340243000,179618000,132730000,304115000,279470000,238751000,160184000,80013000,81671000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9982000
61,Total Liabilities,- -,- -,- -,155300000,286300000,779300000,550181000,1699401000,1774512000,1411708000,1503951000,1322422000,1192507000,919929000,842354000,714762000,627705000,614462000,394165000,224525000,181980000,346881000,330755000,293354000,192881000,137379000,102085000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000,29000,29000,- -,- -,- -,- -,- -,- -,- -,9000,9000,9000,9000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,488000,471000,481000,539000,557000,564000,371000,374000,356000,369000,376000,382000,387000,406000,419000,437000,462000,124000,127000,130000,133000
64,Retained Earnings,- -,- -,- -,-36600000,-27700000,-24300000,-27482000,-22730000,-95822000,-269274000,-276002000,-589354000,-240567000,-286150000,-270454000,-551053000,-705135000,-720693000,-632608000,-588836000,-545355000,-644614000,-642500000,-629381000,-547252000,-523900000,-478104000
65,Other Comprehensive Income/Loss,- -,- -,- -,-16400000,-21000000,-26300000,-39346000,-57561000,-86802000,-17359000,-1121000,225000,-1954000,316000,-1615000,-2664000,-1320000,1776000,1190000,-118000,-99000,- -,-83498000,-82389000,-69338000,-66150000,-43961000
66,Other Total Stockholders Equity,- -,- -,- -,87400000,95800000,286100000,843465000,887291000,917700000,990770000,1025483000,1041128000,513879000,522655000,515341000,524776000,527120000,528786000,529793000,578555000,580776000,585358000,672981000,674709000,664046000,662134000,641856000
67,Total Stockholders Equity,- -,- -,- -,34400000,47100000,235500000,777125000,807471000,735557000,704705000,748946000,452592000,271729000,237195000,243628000,-28572000,-178959000,-189749000,-101238000,-9984000,35750000,-58810000,-52546000,-36937000,47583000,72214000,119924000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,189700000,333400000,1014800000,1327306000,2506872000,2510069000,2116413000,2252897000,1775014000,1464236000,1157124000,1085982000,686190000,448746000,424713000,292927000,214541000,217730000,288071000,278209000,256417000,240464000,209593000,222009000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47672000,48021000,48465000,50780000,53758000,53021000,49422000,47764000,47842000,47083000,47618000,46661000,38397000,32921000,30680000,28153000,-17000
70,Total Liabilities & Equity,- -,- -,- -,189700000,333400000,1014800000,1327306000,2506872000,2510069000,2116413000,2300569000,1823035000,1512701000,1207904000,1139740000,739211000,498168000,472477000,340769000,261624000,265348000,334732000,316606000,289338000,271144000,237746000,221992000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/783005/000078300597000008/0000783005-97-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/783005/000095013700002610/0000950137-00-002610-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300501500004/0000783005-01-500004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/783005/000095013704004133/c85541e10vk.htm,https://www.sec.gov/Archives/edgar/data/783005/000095013705006059/c95331e10vk.htm,https://www.sec.gov/Archives/edgar/data/783005/000095013406009726/c05253e10vk.htm,https://www.sec.gov/Archives/edgar/data/783005/000095012407002816/0000950124-07-002816-index.html,https://www.sec.gov/Archives/edgar/data/783005/000095013408009149/0000950134-08-009149-index.html,https://www.sec.gov/Archives/edgar/data/783005/000095012309008795/0000950123-09-008795-index.html,https://www.sec.gov/Archives/edgar/data/783005/000095012310045834/0000950123-10-045834-index.html,https://www.sec.gov/Archives/edgar/data/783005/000095012311047715/0000950123-11-047715-index.html,https://www.sec.gov/Archives/edgar/data/783005/000119312512223521/d335769d10k.htm,https://www.sec.gov/Archives/edgar/data/783005/000119312513205848/0001193125-13-205848-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300514000029/0000783005-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300515000023/0000783005-15-000023-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300516000072/0000783005-16-000072-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300517000022/0000783005-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/783005/000078300518000023/0000783005-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/783005/000156459019017430/0001564590-19-017430-index.html,https://www.sec.gov/Archives/edgar/data/783005/000156459020030419/0001564590-20-030419-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3700000,7600000,10300000,15400000,9000000,1200000,4011000,13736000,-61940000,-164468000,2256000,-304368000,357771000,113581000,-1350000,-274984000,-122654000,-15558000,26193000,43772000,43481000,-99259000,2114000,13119000,82129000,23352000,50485000
74,Depreciation and Amortization,6100000,4600000,7400000,6600000,9700000,32100000,53818000,94454000,124335000,68193000,74911000,75974000,19859000,14523000,15082000,14969000,11255000,10682000,8467000,5675000,4866000,5926000,5797000,4806000,3628000,3213000,1133000
75,Deferred Income Tax,-1100000,4300000,4900000,1600000,-1800000,5000000,6670000,15810000,-25623000,13265000,12450000,15941000,-15588000,994000,-5385000,-92725000,-34341000,- -,-30277000,-6519000,-33176000,36713000,2100000,-178000,-12134000,-6171000,-9432000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1153000,2942000,4884000,2813000,4904000,2920000,2654000,1554000,1452000
77,Change in Working Capital,-10700000,-1000000,-4200000,-4500000,-5400000,-7600000,-46197000,-25706000,-8543000,-36331000,-51016000,-53296000,-14088000,-27222000,-2292000,6481000,15007000,-112000,4705000,-18007000,-2363000,-12389000,26000,8219000,-8650000,11097000,-30784000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11409000,4124000,-3333000,5665000,632000,-3256000,-6954000,1796000,3460000,5191000,3003000,-1538000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4501000,1704000,-373000,-1236000,5131000,-9701000,-4845000,-1776000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15467000,-15249000,1969000,2787000,9009000,-6989000,-2882000,-1608000,-169000,-439000,1143000,-503000,-148000,597000,440000
82,Other Non-Cash Items,-2200000,- -,4800000,2300000,11000000,4400000,8058000,-564000,41148000,214490000,79564000,388553000,-278777000,-73994000,40615000,392782000,156395000,24547000,-6483000,-26018000,7003000,84652000,10173000,-9834000,-67386000,-25306000,-25507000
83,Cash Provided by Operating Activities,-4200000,15500000,23200000,21400000,22500000,35100000,26360000,97730000,69377000,95149000,118165000,122804000,69177000,27882000,46670000,46523000,25662000,19559000,3758000,1845000,24695000,18456000,25114000,19052000,241000,7739000,-12653000
84,CAPEX,-700000,-1100000,-1400000,-7600000,-109400000,-542200000,-29316000,-26225000,-28416000,-30549000,-30191000,-25233000,-12833000,-5301000,-6783000,-20627000,-4779000,-4247000,-5728000,-3364000,-3057000,-3514000,-3388000,-2850000,-1809000,-518000,-318000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-231130000,-1060681000,-140746000,- -,-121126000,- -,-15930000,-1098000,-15309000,-335000,-4882000,- -,- -,- -,- -,-136006000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6489000,-659000,-516000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,73000,- -,- -,107000,54000,- -,- -,- -
88,Other Investing Activites,11100000,-101600000,1600000,-6300000,-7300000,700000,-11500000,-23849000,-5943000,136850000,4958000,79582000,- -,-421000,-568000,-221000,9211000,43000,1468000,10006000,11000,-182000,- -,31295000,80238000,60171000,129787000
89,Cash Used for Investing Activites,10400000,-102700000,200000,-13900000,-116700000,-541500000,-271946000,-1110755000,-175105000,106301000,-146359000,54349000,-28763000,-6820000,-22660000,-21183000,-450000,-4204000,125740000,226000,-3705000,-140218000,-3281000,28499000,78429000,59653000,129469000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23338000,-130660000,-29156000,-146151000,-279716000,-24126000,-79541000,-24228000,-55970000,-100833000,-62538000,-46552000
91,Common Stock Issued,10000000,40700000,2600000,1600000,3900000,186700000,535860000,8794000,3189000,127145000,10555000,2581000,4135000,246000,61000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-9200000,- -,- -,-7000000,- -,- -,- -,- -,-1937000,-1774000,- -,-398376000,- -,-13868000,- -,- -,- -,-31685000,- -,-107000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-2021000,-8984000,-8984000,-8984000,-8984000,-8984000,-8984000,-159164000,-8984000,-15254000,-3947000,-4413000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-17700000,57300000,-28000000,-9100000,101900000,320000000,-277000000,1055744000,57986000,-307957000,32288000,-174666000,-401452000,-299690000,-60379000,5315000,76279000,17734000,42515000,166834000,1470000,199668000,3182000,15312000,14921000,-3027000,24537000
95,Cash Used/Provided by Financing Activities,-7700000,88800000,-25400000,-7500000,98800000,506700000,256839000,1055554000,52191000,-191733000,32085000,-181069000,-804677000,-458608000,-83170000,-33277000,-58328000,-15835000,-135321000,-112882000,-22763000,120127000,-21046000,-40658000,-85912000,-65565000,-22015000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1427000,1645000,-714000,-663000,-266000,-177000,167000,-8000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-7700000,88800000,-25400000,- -,- -,300000,11253000,42529000,-53537000,9717000,3891000,-3916000,124768000,-120075000,-1249000,30233000,-33932000,-746000,-449000,3116000,-3431000,-1635000,787000,6893000,-7242000,1827000,95896000
98,Cash at the End of Period,- -,- -,- -,- -,- -,6100000,17370000,59899000,6362000,16079000,19970000,16054000,140822000,20747000,19498000,49731000,6814000,6068000,5619000,8735000,5304000,3669000,4456000,11349000,4107000,7942000,102743000
99,Cash at the Beginning of Period,3100000,1600000,3200000,1200000,1200000,5800000,6117000,17370000,59899000,6362000,16079000,19970000,16054000,140822000,20747000,19498000,40746000,6814000,6068000,5619000,8735000,5304000,3669000,4456000,11349000,6115000,6847000
100,Free Cash Flow,-4900000,14400000,21800000,13800000,-86900000,-507100000,-2956000,71505000,40961000,64600000,87974000,97571000,56344000,22581000,39887000,25896000,20883000,15312000,-1970000,-1519000,21638000,14942000,21726000,16202000,-1568000,7221000,-12971000
