,https://roic.ai/company/EBAY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,1700000,12400000,45600000,126208000,260189000,472413000,807512000,1381630000,1959265000,2091609000,1352558000,2911415000,3690097000,2860912000,4875029000,4347000000,4966000000,5144000000,3015000000,4539000000,3240000000,3742000000,3193000000,7491000000,14525000000
16,EBITDA ratio,0.2982,0.2616,0.2029,0.2925,0.3475,0.3891,0.3730,0.4223,0.4304,0.3504,0.1763,0.3409,0.4228,0.3125,0.4184,0.3089,0.3095,0.2873,0.3509,0.5055,0.3387,0.3482,0.2956,0.7293,1.3940
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2888000000,3371000000,3514000000,2197000000,2325000000,2265000000,2222000000,2321000000,2711000000,2923000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2052,0.2101,0.1963,0.2557,0.2589,0.2368,0.2068,0.2149,0.2639,0.2805
19,Total Other Income Expenses (Gains),200000,800000,17100000,44473000,22517000,43936000,32259000,68988000,107670000,124105000,137671000,58763000,1384198000,23439000,1537046000,196000000,95000000,17000000,209000000,1326000000,11000000,496000000,-114000000,709000000,-2525000000
20,Income Before Tax,1600000,7000000,20200000,81017000,162943000,398133000,661500000,1128230000,1549377000,1547061000,750851000,2183564000,2879151000,2098447000,3910046000,3084000000,3466000000,3531000000,2406000000,3651000000,2276000000,2718000000,2207000000,3420000000,398000000
21,Income Before Tax Ratio,0.2807,0.1477,0.0899,0.1878,0.2176,0.3279,0.3055,0.3449,0.3403,0.2592,0.0979,0.2556,0.3299,0.2292,0.3356,0.2192,0.2160,0.1972,0.2800,0.4066,0.2379,0.2529,0.2044,0.3330,0.0382
22,Income Tax expense (Gain),700000,4600000,9400000,32725000,80009000,145946000,206738000,343885000,467285000,421418000,402600000,404090000,490054000,297486000,680659000,475000000,610000000,3485000000,459000000,-3634000000,3288000000,190000000,415000000,878000000,146000000
23,Net Income,900000,2400000,10800000,48292000,90448000,249891000,441771000,778223000,1082043000,1125639000,348251000,1779474000,2389097000,1800961000,3229387000,2609000000,2856000000,46000000,1725000000,7266000000,-1016000000,2530000000,1786000000,5667000000,13608000000
24,Net Income ratio,0.1579,0.0506,0.0481,0.1119,0.1208,0.2058,0.2040,0.2379,0.2377,0.1886,0.0454,0.2083,0.2737,0.1967,0.2772,0.1854,0.1780,0.0026,0.2008,0.8092,-0.1062,0.2354,0.1654,0.5517,1.3060
25,EPS,0.00,0.00,0.01,0.05,0.09,0.22,0.34,0.29,0.79,0.80,0.26,1.37,1.85,1.38,2.50,2.02,2.20,-0.03,1.43,6.41,-0.95,2.58,2.10,7.98,21.03
26,EPS Diluted,0.00,0.00,0.01,0.04,0.08,0.21,0.34,0.28,0.78,0.79,0.25,1.36,1.83,1.36,2.46,1.99,2.18,-0.03,1.42,6.35,-0.95,2.55,2.10,7.89,20.68
27,Weighted Average Shares Outstanding,8640000000,1197480000,865880000,1007104000,1075884000,1149984000,1276576000,2638916000,1361708000,1399251000,1358797000,1303454000,1289848000,1305593000,1292775000,1292000000,1295000000,1251000000,1208000000,1133000000,1064000000,980000000,849000000,710000000,647000000
28,Weighted Average Shares Outstanding Diluted,8640000000,2750160000,1087280000,1121384000,1122380000,1171280000,1313314000,2735440000,1393875000,1425472000,1376174000,1312608000,1304981000,1327417000,1312950000,1313000000,1313000000,1251000000,1220000000,1144000000,1064000000,991000000,855500000,718000000,658000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1065088/000101287000001759/0001012870-00-001759-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000109581101001836/0001095811-01-001836-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000089161802001364/0000891618-02-001364-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000089161803001538/0000891618-03-001538-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000089161804000676/0000891618-04-000676-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000095013405003827/0000950134-05-003827-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000095013406003678/f17187e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013407004291/f27529e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013408003741/f36571e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013409003306/0000950134-09-003306-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000119312510033324/0001193125-10-033324-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508811000003/ebay10k20101231.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508812000006/0001065088-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508813000004/0001065088-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508814000010/ebay201310-k.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508815000054/ebay201410-k.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508816000265/0001065088-16-000265-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508817000007/0001065088-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508818000009/0001065088-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508819000006/0001065088-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/0001065088-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508821000006/0001065088-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/0001065088-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3700000,31800000,219700000,201873000,523969000,1109313000,1381513000,1330045000,1313580000,2662792000,4221191000,3188928000,3999818000,5577411000,4691101000,6817000000,4494000000,6328000000,1832000000,1816000000,2120000000,2202000000,975000000,1428000000,1379000000
32,Short-Term Investments,- -,- -,181100000,354166000,199450000,89690000,340576000,682004000,774650000,542103000,658854000,163734000,943986000,1045403000,1238301000,2591000000,4531000000,3770000000,4299000000,5333000000,3743000000,2713000000,1850000000,2398000000,5944000000
33,Cash and Short-Term Investments,3700000,31800000,400800000,556039000,723419000,1199003000,1722089000,2012049000,2088230000,3204895000,4880045000,3352662000,4943804000,6622814000,5929402000,9408000000,9025000000,10098000000,6131000000,7149000000,5863000000,4915000000,2825000000,3826000000,7323000000
34,Net Receivables,1000000,6400000,36500000,67163000,101703000,172467000,305764000,364280000,578070000,792492000,907894000,2473230000,3188298000,3961286000,6195280000,11438000000,12948000000,14942000000,619000000,592000000,1357000000,1382000000,1332000000,1351000000,779000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,300000,45200000,22500000,52262000,58683000,96988000,118029000,534820000,516937000,973199000,1334566000,460698000,328106000,481238000,536772000,552000000,1310000000,1491000000,1154000000,1134000000,523000000,829000000,549000000,2013000000,1009000000
37,Total Current Assets,5000000,83400000,459800000,675464000,883805000,1468458000,2145882000,2911149000,3183237000,4970586000,7122505000,6286590000,8460208000,11065338000,12661454000,21398000000,23283000000,26531000000,7904000000,8875000000,7743000000,7126000000,4706000000,7190000000,9111000000
38,PP&E,700000,7800000,111800000,125161000,142349000,218028000,601785000,709773000,801602000,998196000,1120452000,1198714000,1314328000,1523333000,1986216000,2491000000,2760000000,2902000000,1554000000,1516000000,1597000000,1597000000,2138000000,1867000000,1525000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,6544278000,6257153000,7025398000,6143086000,6193163000,8364989000,8537000000,9267000000,9094000000,4451000000,4501000000,4773000000,5160000000,5153000000,4675000000,4178000000
40,Intangible Assets,- -,1300000,8800000,23299000,198639000,1735489000,1993368000,3072703000,6943359000,682977000,596038000,736134000,767812000,540711000,1406380000,1128000000,941000000,564000000,90000000,102000000,69000000,92000000,67000000,12000000,8000000
41,Intangible Assets,- -,1300000,8800000,23299000,198639000,1735489000,1993368000,3072703000,6943359000,7227255000,6853191000,7761532000,6910898000,6733874000,9771369000,9665000000,10208000000,9658000000,4541000000,4603000000,4842000000,5252000000,5220000000,4687000000,4186000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,826000000,278000000,138000000,106178000,1381765000,2492012000,2452763000,3044000000,4971000000,5777000000,3391000000,3969000000,6331000000,3778000000,1316000000,833000000,7966000000
43,Tax Assets,- -,- -,- -,- -,21540000,84218000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4608000000,5195000000,4792000000,4377000000,3537000000,3255000000
44,Other Non-Current Assets,-100000,- -,383500000,358479000,432196000,618251000,1079099000,1297426000,34788000,19974000,131889000,239425000,341121000,189205000,448416000,476000000,266000000,264000000,395000000,276000000,273000000,274000000,417000000,1196000000,583000000
45,Total Non-Current Assets,600000,9100000,504100000,506939000,794724000,2655986000,3674252000,5079902000,8605749000,8523425000,8243532000,9305849000,9948112000,10938424000,14658764000,15676000000,18205000000,18601000000,9881000000,14972000000,18238000000,15693000000,13468000000,12120000000,17515000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5600000,92500000,963900000,1182403000,1678529000,4124444000,5820134000,7991051000,11788986000,13494011000,15366037000,15592439000,18408320000,22003762000,27320218000,37074000000,41488000000,45132000000,17785000000,23847000000,25981000000,22819000000,18174000000,19310000000,26626000000
48,Accounts Payable,300000,1400000,31500000,31725000,33235000,47424000,64633000,37958000,55692000,83392000,156613000,170332000,192412000,184963000,283102000,301000000,309000000,401000000,349000000,283000000,330000000,286000000,270000000,332000000,262000000
49,Short-Term Debt,300000,- -,12300000,15272000,16111000,2970000,2840000,456077000,- -,- -,- -,1000000000,- -,300000000,564601000,413000000,6000000,850000000,- -,1451000000,781000000,1546000000,1022000000,18000000,1505000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100423000,210522000,40468000,397052000,210000000,107000000,154000000,72000000,110000000,177000000,346000000,250000000,423000000,767000000
51,Deferred Revenue,- -,- -,- -,- -,15583000,18846000,28874000,50439000,81940000,128964000,166495000,181596000,99305000,96464000,110429000,137000000,158000000,188000000,106000000,110000000,117000000,170000000,158000000,110000000,79000000
52,Other Current Liabilities,500000,6600000,45000000,90445000,115210000,316984000,550929000,540396000,1347303000,2306039000,2776471000,2353159000,3350251000,3935087000,5776072000,10073000000,12166000000,16092000000,1808000000,2003000000,2311000000,2452000000,2616000000,3542000000,2776000000
53,Total Current Liabilities,1100000,8000000,88800000,137442000,180139000,386224000,647276000,1084870000,1484935000,2518395000,3099579000,3705087000,3641968000,4516514000,6734204000,10924000000,12639000000,17531000000,2263000000,3847000000,3539000000,4454000000,4066000000,4002000000,4622000000
54,Long-Term Debt,300000,- -,15000000,11404000,12008000,13798000,124476000,75000,- -,- -,- -,- -,- -,1494227000,1525047000,4100000000,4117000000,6777000000,6779000000,7509000000,9234000000,7685000000,6738000000,8115000000,7920000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,- -,- -,- -,- -,111843000,79238000,135971000,215682000,31784000,510557000,- -,- -,645457000,1072951000,972000000,841000000,792000000,2092000000,1888000000,3425000000,2925000000,2646000000,2359000000,3116000000
57,Other Non-Current Liabilities,- -,100000,7600000,6549000,19493000,22874000,33494000,37698000,40388000,39200000,51299000,803494000,978704000,45385000,58137000,213000000,244000000,126000000,75000000,64000000,1720000000,1474000000,1854000000,1273000000,1190000000
58,Total Non-Current Liabilities,500000,100000,22600000,17953000,31501000,148515000,237208000,173744000,256070000,70984000,561856000,803494000,978704000,2185069000,2656135000,5285000000,5202000000,7695000000,8946000000,9461000000,14379000000,12084000000,11238000000,11747000000,12226000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,- -,- -,- -,- -,- -,- -,492000000,380000000,350000000
61,Total Liabilities,1600000,8100000,111400000,155395000,211640000,534739000,884484000,1258614000,1741005000,2589379000,3661435000,4508581000,4620672000,6701583000,9390339000,16209000000,17841000000,25226000000,11209000000,13308000000,17918000000,16538000000,15304000000,15749000000,16848000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,269000,277000,311000,649000,1339000,1404000,1431000,1458000,1470000,1486000,1513000,1535000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,1000000,3300000,27600000,74504000,164633000,414474000,856245000,1634468000,2716511000,3842150000,4190546000,5970020000,8359117000,10160078000,13389465000,15998000000,18854000000,18900000000,7713000000,14959000000,13943000000,16459000000,17754000000,22961000000,36090000000
65,Other Comprehensive Income/Loss,-1400000,-1800000,-32200000,-69017000,-121682000,33245000,102188000,236817000,57590000,696197000,1701276000,903485000,818104000,751314000,549468000,856000000,1156000000,1171000000,526000000,-124000000,717000000,498000000,384000000,616000000,398000000
66,Other Total Stockholders Equity,4400000,82900000,857000000,1021252000,1423661000,3108443000,3937160000,4855717000,7272476000,6364854000,5811322000,4208883000,4608941000,4389274000,3989411000,4009000000,3635000000,-167000000,-1665000000,-4298000000,-6599000000,-10678000000,-15270000000,-20018000000,- -
67,Total Stockholders Equity,4000000,84400000,852500000,1027008000,1466889000,3556473000,4896242000,6728341000,10047981000,10904632000,11704602000,11083858000,13787648000,15302179000,17929879000,20865000000,23647000000,19906000000,6576000000,10539000000,8063000000,6281000000,2870000000,3561000000,9778000000
68,Total Liabilities And Stockholders Equity,5600000,92500000,963900000,1182403000,1678529000,4091212000,5780726000,7986955000,11788986000,13494011000,15366037000,15592439000,18408320000,22003762000,27320218000,37074000000,41488000000,45132000000,17785000000,23847000000,25981000000,22819000000,18174000000,19310000000,26626000000
69,Minority Interest,- -,- -,- -,- -,- -,33232000,39408000,4096000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5600000,92500000,963900000,1182403000,1678529000,4124444000,5820134000,7991051000,11788986000,13494011000,15366037000,15592439000,18408320000,22003762000,27320218000,37074000000,41488000000,45132000000,17785000000,23847000000,25981000000,22819000000,18174000000,19310000000,26626000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1065088/000101287000001759/0001012870-00-001759-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000109581101001836/0001095811-01-001836-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000089161802001364/0000891618-02-001364-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000089161803001538/0000891618-03-001538-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000089161804000676/0000891618-04-000676-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000095013405003827/0000950134-05-003827-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000095013406003678/f17187e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013407004291/f27529e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013408003741/f36571e10vk.htm,https://www.sec.gov/Archives/edgar/data/1065088/000095013409003306/0000950134-09-003306-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000119312510033324/0001193125-10-033324-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508811000003/ebay10k20101231.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508812000006/0001065088-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508813000004/0001065088-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508814000010/ebay201310-k.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508815000054/ebay201410-k.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508816000265/0001065088-16-000265-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508817000007/0001065088-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508818000009/0001065088-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508819000006/0001065088-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/0001065088-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1065088/000106508821000006/0001065088-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/0001065088-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,900000,2400000,10800000,48292000,90448000,249891000,441771000,778223000,1082043000,1125639000,348251000,1779474000,2389097000,1800961000,3229387000,2609000000,2856000000,46000000,1725000000,7266000000,-1016000000,2530000000,1786000000,5667000000,13608000000
74,Depreciation and Amortization,100000,5400000,25400000,45191000,89732000,76576000,159003000,259522000,409937000,544552000,601707000,719814000,810946000,762465000,939953000,1200000000,1400000000,1490000000,687000000,682000000,676000000,696000000,681000000,609000000,502000000
75,Deferred Income Tax,- -,1400000,- -,- -,-11408000,8134000,69770000,28652000,91690000,-227850000,-123371000,-206636000,-178813000,349595000,16958000,-35000000,-31000000,2808000000,-32000000,-4556000000,1729000000,-153000000,117000000,408000000,-680000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353323000,394807000,381492000,457188000,488000000,609000000,675000000,379000000,416000000,483000000,538000000,505000000,431000000,477000000
77,Change in Working Capital,-500000,295600000,167022000,165644000,378568000,416372000,327673000,-127977000,753889000,1570735000,-1441423000,2236737000,1730584000,-621574000,4546750000,170000000,-1644000000,-3359000000,-613000000,-824000000,-1532000000,-2032000000,2548000000,9272000000,-134000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66853000,-97494000,-111614000,-291822000,-207000000,-123000000,16000000,-105000000,-48000000,-195000000,-98000000,-124000000,8000000,195000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14946000,-27235000,-9263000,29424000,-16000000,7000000,87000000,226000000,-28000000,19000000,-47000000,4000000,101000000,9000000
81,Other Working Capital,75400000,371000000,538022000,703666000,1082234000,1498606000,1826279000,1698302000,2452191000,4022926000,2581503000,4818240000,6548824000,5927250000,10474000000,10644000000,9000000000,5641000000,5028000000,4204000000,2672000000,640000000,3188000000,12460000000,171000000
82,Other Non-Cash Items,300000,-298500000,-136622000,-158979000,-295228000,-271070000,-124098000,346895000,-327668000,-765285000,3255945000,-2000717000,-2238535000,72821000,-5916562000,-594000000,1805000000,4017000000,1887000000,-158000000,2806000000,1079000000,-2523000000,-13968000000,-11116000000
83,Cash Provided by Operating Activities,800000,6300000,66600000,100148000,252112000,479903000,874119000,1285315000,2009891000,2247791000,2641109000,2881995000,2908086000,2745760000,3273674000,3838000000,4995000000,5677000000,4033000000,2826000000,3146000000,2658000000,3114000000,2419000000,2657000000
84,CAPEX,-700000,-8900000,-86400000,-49753000,-57420000,-138670000,-365384000,-292838000,-338281000,-515448000,-453967000,-565890000,-567094000,-723912000,-963498000,-1257000000,-1250000000,-1271000000,-668000000,-626000000,-666000000,-651000000,-554000000,-494000000,-444000000
85,Acquisitions Net,- -,- -,- -,- -,-111730000,-59411000,-216367000,-1036476000,-2732230000,-45505000,-863565000,-1360293000,570888000,-90568000,-3223055000,1000000,-869000000,-59000000,-24000000,-212000000,-548000000,727000000,-253000000,- -,- -
86,Purchases of Investments,- -,-40400000,-140700000,-398998000,-602485000,-723307000,-2035053000,-1754808000,-1324353000,-583263000,-270676000,-108128000,-1142098000,-2643514000,-2290183000,-3128000000,-7505000000,-8834000000,-6744000000,-11212000000,-14599000000,-28115000000,-46977000000,-32887000000,-22271000000
87,Sales/Maturities of Investments,- -,- -,- -,248547000,738989000,727455000,1297262000,1079548000,1928539000,1380227000,888757000,136200000,103572000,1436207000,3865210000,1421000000,3943000000,8524000000,6781000000,10063000000,14520000000,30901000000,50548000000,33129000000,18969000000
88,Other Investing Activites,- -,- -,-375800000,-5850000,2827000,36174000,- -,-8646000,13594000,-7158000,6305000,-159235000,-114651000,-260683000,-695336000,-800000000,-331000000,-1033000000,-18000000,-21000000,-3000000,32000000,23000000,4046000000,7409000000
89,Cash Used for Investing Activites,-700000,-49300000,-602900000,-206054000,-29819000,-157759000,-1319542000,-2013220000,-2452731000,228853000,-693146000,-2057346000,-1149383000,-2282470000,-3306862000,-3763000000,-6012000000,-2673000000,-673000000,-2008000000,-1296000000,2894000000,2787000000,3794000000,3663000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-433981000,-1561709000,- -,-199271000,-550000000,-400000000,- -,-850000000,-20000000,-1452000000,-750000000,-1550000000,-1771000000,-1156000000
91,Common Stock Issued,3000000,71300000,710400000,83293000,123710000,252181000,700817000,650638000,599845000,313482000,506955000,135141000,102526000,235527000,242210000,483000000,437000000,300000000,221000000,102000000,120000000,109000000,106000000,90000000,93000000
92,Common Stock Repurchased,- -,- -,- -,-38000,- -,- -,- -,- -,- -,-1666540000,-1485397000,-2179712000,- -,-711068000,-1063986000,-898000000,-1343000000,-4658000000,-2149000000,-2943000000,-2746000000,-4502000000,-4973000000,-5137000000,-7055000000
93,Dividends Paid,- -,- -,-3900000,-157000,-319000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-473000000,-447000000,-466000000
94,Other Financing Activites,500000,-300000,12200000,2880000,-21886000,-64000,-11951000,-2969000,-128239000,92371000,285050000,804701000,513527000,1709947000,182551000,2916000000,-48000000,3336000000,-1776000000,2117000000,2294000000,-255000000,-201000000,1573000000,2052000000
95,Cash Used/Provided by Financing Activities,3500000,71000000,718700000,85978000,101505000,252067000,688866000,647669000,471606000,-1260687000,-693392000,-1673851000,-945656000,1234406000,-838496000,1951000000,-1354000000,-1022000000,-4554000000,-744000000,-1784000000,-5398000000,-7091000000,-5692000000,-6532000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1702000,11133000,28757000,28768000,-45231000,133255000,303828000,-183061000,-2157000,-120103000,-14626000,100000000,48000000,-148000000,-364000000,-90000000,238000000,-75000000,-33000000,77000000,24000000
97,Net Change In Cash,3600000,- -,182400000,-19928000,322096000,585344000,272200000,-51468000,-16465000,1349212000,1558399000,-1032263000,810890000,1577593000,-886310000,2126000000,-2323000000,1834000000,-4496000000,-16000000,304000000,79000000,-1223000000,598000000,-188000000
98,Cash at the End of Period,3700000,- -,219700000,201873000,523969000,1109313000,1381513000,1330045000,1313580000,2662792000,4221191000,3188928000,3999818000,5577411000,4691101000,6817000000,4494000000,6328000000,1832000000,1816000000,2120000000,2219000000,996000000,1594000000,1406000000
99,Cash at the Beginning of Period,100000,3700000,37300000,221801000,201873000,523969000,1109313000,1381513000,1330045000,1313580000,2662792000,4221191000,3188928000,3999818000,5577411000,4691000000,6817000000,4494000000,6328000000,1832000000,1816000000,2140000000,2219000000,996000000,1594000000
100,Free Cash Flow,100000,-2600000,-19800000,50395000,194692000,341233000,508735000,992477000,1671610000,1732343000,2187142000,2316105000,2340992000,2021848000,2310176000,2581000000,3745000000,4406000000,3365000000,2200000000,2480000000,2007000000,2560000000,1925000000,2213000000
