,https://roic.ai/company/COP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163165/000095012903001563/0000950129-03-001563-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095013404002756/h12939e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000095012905001641/h22551e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000110465906012015/a06-2522_110k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000110465907013338/a07-4741_110k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000095012908001094/h53977e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000136231009002769/0001362310-09-002769-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095012310017187/0000950123-10-017187-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095012311016957/h76276e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312512070636/0001193125-12-070636-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312513065426/0001193125-13-065426-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312514066358/d665238d10k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312515059281/d869001d10k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312516472901/0001193125-16-472901-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312517050077/0001193125-17-050077-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312520039954/0001193125-20-039954-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000156276221000027/0001562762-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000156276222000031/0001562762-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,676000000,1141000000,1006000000,1079000000,708000000,670000000,114000000,131000000,119000000,193000000,67000000,615000000,163000000,97000000,138000000,149000000,142000000,307000000,490000000,1387000000,2214000000,817000000,1456000000,755000000,542000000,9454000000,5780000000,3618000000,6246000000,5062000000,2368000000,3610000000,6325000000,5915000000,5088000000,2991000000,5028000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2056000000,581000000,- -,272000000,- -,- -,50000000,3772000000,1710000000,5139000000,4865000000,1563000000
33,Cash and Short-Term Investments,676000000,1141000000,1006000000,1079000000,708000000,670000000,114000000,131000000,119000000,193000000,67000000,615000000,163000000,97000000,138000000,149000000,142000000,307000000,490000000,1387000000,2214000000,817000000,1456000000,755000000,542000000,11510000000,6361000000,3618000000,6518000000,5062000000,2368000000,3660000000,10097000000,7625000000,10227000000,7856000000,6591000000
34,Net Receivables,1645000000,1046000000,1269000000,1261000000,1351000000,1595000000,1258000000,1268000000,1248000000,1462000000,1522000000,1988000000,1717000000,1282000000,1808000000,1779000000,1294000000,4380000000,5005000000,8788000000,11940000000,14106000000,16354000000,11995000000,13215000000,15812000000,16526000000,9182000000,8487000000,6807000000,4514000000,3414000000,4320000000,4067000000,3401000000,2754000000,6670000000
35,Inventory,642000000,507000000,543000000,562000000,584000000,704000000,686000000,664000000,538000000,527000000,505000000,472000000,500000000,540000000,515000000,357000000,2618000000,3845000000,3957000000,3666000000,3724000000,5153000000,4223000000,5095000000,4940000000,5197000000,4631000000,965000000,1194000000,1331000000,1124000000,1018000000,1060000000,1007000000,1026000000,1002000000,1208000000
36,Other Current Assets,181000000,106000000,67000000,160000000,233000000,353000000,401000000,286000000,288000000,283000000,315000000,231000000,268000000,430000000,312000000,321000000,309000000,2371000000,1740000000,1180000000,1734000000,4990000000,2702000000,2998000000,2470000000,2141000000,2700000000,10224000000,2824000000,1868000000,783000000,517000000,1035000000,575000000,2259000000,454000000,1581000000
37,Total Current Assets,3144000000,2800000000,2885000000,3062000000,2876000000,3322000000,2459000000,2349000000,2193000000,2465000000,2409000000,3306000000,2648000000,2349000000,2773000000,2606000000,4363000000,10903000000,11192000000,15021000000,19612000000,25066000000,24735000000,20843000000,21167000000,34660000000,30218000000,23989000000,19023000000,15068000000,8789000000,8609000000,16512000000,13274000000,16913000000,12066000000,16050000000
38,PP&E,10281000000,9139000000,8772000000,8417000000,7832000000,8301000000,8298000000,8489000000,7961000000,8042000000,8493000000,9120000000,10022000000,10585000000,11086000000,14784000000,23796000000,43030000000,47428000000,50902000000,54669000000,86201000000,89003000000,83947000000,87708000000,82554000000,84180000000,67263000000,72827000000,75444000000,66446000000,58331000000,45683000000,45698000000,42269000000,39893000000,64911000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31488000000,29336000000,3778000000,3638000000,3633000000,3332000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3594000000,15563000000,16169000000,16086000000,16439000000,951000000,896000000,846000000,823000000,801000000,745000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3594000000,15563000000,16169000000,16086000000,16439000000,32439000000,30232000000,4624000000,4461000000,4434000000,4077000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15406000000,19595000000,31457000000,30926000000,36192000000,31581000000,32108000000,23489000000,23907000000,24335000000,20490000000,21091000000,9224000000,9091000000,8444000000,7880000000,7015000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000000,121000000,85000000,82000000,100000000,83000000,- -,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,620000000,460000000,454000000,489000000,548000000,507000000,716000000,630000000,714000000,807000000,955000000,1037000000,1108000000,1182000000,1259000000,3119000000,3455000000,7340000000,7666000000,10852000000,873000000,1480000000,2330000000,2525000000,3060000000,3085000000,2647000000,2399000000,2300000000,1692000000,1759000000,1741000000,1943000000,1917000000,2888000000,2779000000,2685000000
45,Total Non-Current Assets,10901000000,9599000000,9226000000,8906000000,8380000000,8808000000,9014000000,9119000000,8675000000,8971000000,9569000000,10242000000,11212000000,11867000000,12428000000,17903000000,30854000000,65933000000,71263000000,77840000000,87387000000,139715000000,153022000000,122022000000,131421000000,121654000000,123012000000,93155000000,99034000000,101471000000,88695000000,81163000000,56850000000,56706000000,53601000000,50552000000,74611000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14045000000,12399000000,12111000000,11968000000,11256000000,12130000000,11473000000,11468000000,10868000000,11436000000,11978000000,13548000000,13860000000,14216000000,15201000000,20509000000,35217000000,76836000000,82455000000,92861000000,106999000000,164781000000,177757000000,142865000000,152588000000,156314000000,153230000000,117144000000,118057000000,116539000000,97484000000,89772000000,73362000000,69980000000,70514000000,62618000000,90661000000
48,Accounts Payable,- -,- -,- -,- -,1230000000,1372000000,1103000000,1289000000,1199000000,1371000000,1494000000,1793000000,1546000000,1340000000,1668000000,1914000000,2760000000,5949000000,6598000000,9131000000,12267000000,14634000000,17861000000,13990000000,15485000000,18399000000,19653000000,10013000000,9314000000,8026000000,4933000000,3653000000,4030000000,3895000000,3200000000,2698000000,5025000000
49,Short-Term Debt,237000000,188000000,178000000,133000000,86000000,59000000,123000000,104000000,18000000,18000000,19000000,574000000,234000000,167000000,31000000,262000000,44000000,849000000,1440000000,632000000,1758000000,4043000000,1398000000,370000000,1728000000,936000000,1013000000,955000000,589000000,182000000,1427000000,1089000000,2575000000,112000000,105000000,619000000,1200000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3402000000,4874000000,4220000000,3366000000,2713000000,1051000000,499000000,484000000,1038000000,1320000000,1030000000,320000000,2862000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2873000000,2043000000,2224000000,2335000000,1390000000,1479000000,1377000000,1124000000,1054000000,1052000000,1302000000,770000000,665000000,625000000,821000000,1316000000,1738000000,6018000000,5973000000,5823000000,7334000000,7754000000,7623000000,7420000000,6482000000,8084000000,7402000000,6475000000,5226000000,3329000000,2896000000,2167000000,2792000000,3388000000,3738000000,2049000000,5796000000
53,Total Current Liabilities,3110000000,2231000000,2402000000,2468000000,2706000000,2910000000,2603000000,2517000000,2271000000,2441000000,2815000000,3137000000,2445000000,2132000000,2520000000,3492000000,4542000000,12816000000,14011000000,15586000000,21359000000,26431000000,26882000000,21780000000,23695000000,27419000000,28068000000,17443000000,15129000000,11537000000,9256000000,6909000000,9397000000,7395000000,7043000000,5366000000,12021000000
54,Long-Term Debt,6547000000,5757000000,5419000000,4761000000,3939000000,3839000000,3876000000,3718000000,3208000000,3106000000,3097000000,2555000000,2775000000,4106000000,4271000000,6622000000,8645000000,18917000000,16340000000,14370000000,10758000000,23091000000,20289000000,27085000000,26925000000,22656000000,21610000000,20770000000,21073000000,22383000000,23453000000,26186000000,17128000000,14856000000,14790000000,14750000000,18734000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1673000000,1685000000,1705000000,1874000000,1721000000,1283000000,1195000000,1022000000,901000000,944000000,948000000,1047000000,1257000000,1317000000,1480000000,1894000000,4015000000,8361000000,8565000000,10385000000,11439000000,20074000000,21018000000,18167000000,17962000000,17335000000,18055000000,13185000000,15220000000,15070000000,10999000000,8949000000,5282000000,5021000000,4634000000,3747000000,6179000000
57,Other Non-Current Liabilities,1071000000,1002000000,968000000,752000000,758000000,1379000000,1042000000,1154000000,1438000000,1992000000,1930000000,2558000000,2569000000,2442000000,2381000000,2408000000,3675000000,6574000000,8331000000,8692000000,9503000000,11337000000,19412000000,19568000000,20949000000,19795000000,19763000000,17319000000,14143000000,15276000000,13694000000,12502000000,10754000000,10644000000,8997000000,8906000000,8321000000
58,Total Non-Current Liabilities,9291000000,8444000000,8092000000,7387000000,6418000000,6501000000,6113000000,5894000000,5547000000,6042000000,5975000000,6160000000,6601000000,7865000000,8132000000,10924000000,16335000000,33852000000,33236000000,33447000000,31700000000,54502000000,60719000000,64820000000,65836000000,59786000000,59428000000,51274000000,50436000000,52729000000,48146000000,47637000000,33164000000,30521000000,28421000000,27403000000,33234000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,12401000000,10675000000,10494000000,9855000000,9124000000,9411000000,8716000000,8411000000,7818000000,8483000000,8790000000,9297000000,9046000000,9997000000,10652000000,14416000000,20877000000,46668000000,47247000000,49033000000,53059000000,80933000000,87601000000,86600000000,89531000000,87205000000,87496000000,68717000000,65565000000,64266000000,57402000000,54546000000,42561000000,37916000000,35464000000,32769000000,45255000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,346000000,383000000,383000000,383000000,383000000,383000000,383000000,538000000,7000000,7000000,7000000,14000000,17000000,17000000,17000000,17000000,17000000,17000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,21000000
64,Retained Earnings,2507000000,2479000000,2351000000,2786000000,2719000000,3123000000,3024000000,2866000000,2751000000,2905000000,3030000000,3939000000,4491000000,4343000000,4563000000,6019000000,7197000000,5621000000,9234000000,16128000000,28018000000,41292000000,50510000000,30642000000,32658000000,40397000000,49194000000,35338000000,41160000000,44504000000,36414000000,31548000000,29391000000,34010000000,39742000000,35213000000,40674000000
65,Other Comprehensive Income/Loss,-6408000000,-6686000000,-7703000000,-8148000000,-8795000000,-9272000000,-10186000000,-10088000000,-10077000000,-10251000000,-10595000000,-10983000000,-11404000000,-12283000000,-11642000000,-9599000000,-11633000000,-1289000000,-236000000,534000000,-131000000,375000000,4432000000,-2679000000,2989000000,4773000000,3075000000,4087000000,2002000000,-1902000000,-6247000000,-6193000000,-5518000000,-6063000000,-5357000000,-5218000000,-4950000000
66,Other Total Stockholders Equity,5545000000,5931000000,6969000000,7475000000,8208000000,8868000000,9919000000,10279000000,10376000000,9953000000,10370000000,10912000000,11344000000,11776000000,11245000000,9290000000,18238000000,25178000000,25361000000,26054000000,24830000000,40962000000,34024000000,27185000000,26803000000,23375000000,12938000000,8544000000,8910000000,9291000000,9577000000,9601000000,6716000000,3974000000,578000000,-164000000,- -
67,Total Stockholders Equity,1644000000,1724000000,1617000000,2113000000,2132000000,2719000000,2757000000,3057000000,3050000000,2953000000,3188000000,4251000000,4814000000,4219000000,4549000000,6093000000,14340000000,29517000000,34366000000,42723000000,52731000000,82646000000,88983000000,55165000000,62467000000,68562000000,65224000000,47987000000,52090000000,51911000000,39762000000,34974000000,30607000000,31939000000,34981000000,29849000000,45406000000
68,Total Liabilities And Stockholders Equity,14045000000,12399000000,12111000000,11968000000,11256000000,12130000000,11473000000,11468000000,10868000000,11436000000,11978000000,13548000000,13860000000,14216000000,15201000000,20509000000,35217000000,76185000000,81613000000,91756000000,105790000000,163579000000,176584000000,141765000000,151998000000,155767000000,152720000000,116704000000,117655000000,116177000000,97164000000,89520000000,73168000000,69855000000,70445000000,62618000000,90661000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,651000000,842000000,1105000000,1209000000,1202000000,1173000000,1100000000,590000000,547000000,510000000,440000000,402000000,362000000,320000000,252000000,194000000,125000000,69000000,- -,- -
70,Total Liabilities & Equity,14045000000,12399000000,12111000000,11968000000,11256000000,12130000000,11473000000,11468000000,10868000000,11436000000,11978000000,13548000000,13860000000,14216000000,15201000000,20509000000,35217000000,76836000000,82455000000,92861000000,106999000000,164781000000,177757000000,142865000000,152588000000,156314000000,153230000000,117144000000,118057000000,116539000000,97484000000,89772000000,73362000000,69980000000,70514000000,62618000000,90661000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163165/000095012903001563/0000950129-03-001563-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095013404002756/h12939e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000095012905001641/h22551e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000110465906012015/a06-2522_110k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000110465907013338/a07-4741_110k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000095012908001094/h53977e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000136231009002769/0001362310-09-002769-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095012310017187/0000950123-10-017187-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095012311016957/h76276e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312512070636/0001193125-12-070636-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312513065426/0001193125-13-065426-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312514066358/d665238d10k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312515059281/d869001d10k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312516472901/0001193125-16-472901-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312517050077/0001193125-17-050077-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312520039954/0001193125-20-039954-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000156276221000027/0001562762-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000156276222000031/0001562762-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
