,https://roic.ai/company/CECE,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,67815,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,100000,- -,100000,100000,100000,183828,154837,- -,260567,- -,3807453,3542000,2744000,2275000,2561000,2413000,1997000,1978000,1479000,1321000,1225000,1137000,1168000,1499000,3138000,5964000,7712000,6721000,7140000,5397000,3535000,-2952000
14,Depreciation and Amortization,- -,100000,- -,200000,200000,300000,429660,416988,384661,617964,729333,2154572,2320000,1789000,1581000,1254000,1167000,1229000,1623000,3176000,2519000,1758000,1399000,1250000,6647000,11268000,16520000,18903000,16088000,13272000,10609000,9921000,- -
15,EBITDA,- -,-200000,-100000,200000,- -,800000,513559,1078696,338087,1784779,514534,4968353,5729000,4194000,3628000,2639000,3792000,8088000,14267000,12291000,-14336000,6459000,14219000,17781000,14601000,30620000,19520000,-6313000,24218000,22909000,29350000,25339000,1722000
16,EBITDA ratio,- -,-0.2857,-1.0000,0.0500,- -,0.1096,0.0609,0.1095,0.0233,0.0677,0.0216,0.0553,0.0630,0.0532,0.0526,0.0380,0.0465,0.0598,0.0605,0.0564,-0.1031,0.0459,0.1022,0.1317,0.0740,0.1163,0.0531,-0.0151,0.0702,0.0679,0.0859,0.0802,0.0053
17,Operating Income,- -,-500000,100000,- -,-300000,500000,56537,718243,-24254,1136807,441571,2009787,3005000,2201000,1834000,1185000,3525000,6047000,12634000,8195000,-15830000,5036000,12368000,16683000,6972000,21663000,4949000,-25562000,8024000,10002000,17990000,13346000,9857000
18,Operating Income ratio,- -,-0.7143,1.0000,- -,-0.0577,0.0685,0.0067,0.0729,-0.0017,0.0431,0.0185,0.0224,0.0330,0.0279,0.0266,0.0171,0.0432,0.0447,0.0535,0.0376,-0.1139,0.0358,0.0889,0.1235,0.0353,0.0823,0.0135,-0.0613,0.0233,0.0296,0.0526,0.0422,0.0304
19,Total Other Income Expenses (Gains),- -,100000,- -,- -,- -,-100000,-183828,-72074,-46375,-192752,-145857,-3042084,-3146000,-2540000,-2062000,-2361000,-3313000,-1185000,-1968000,-559000,-2081000,-1360000,-645000,-1320000,-517000,-5449000,-8045000,-7402000,-6615000,-7505000,-4646000,-1502000,-5183000
20,Income Before Tax,- -,- -,- -,- -,-300000,400000,-127291,646169,-70629,944055,295714,-1032297,-141000,-339000,-228000,-1176000,212000,4862000,10666000,7636000,-17911000,3676000,11723000,15363000,6455000,16214000,-3096000,-32964000,1409000,2497000,13344000,11844000,4674000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.0577,0.0548,-0.0151,0.0656,-0.0049,0.0358,0.0124,-0.0115,-0.0015,-0.0043,-0.0033,-0.0170,0.0026,0.0359,0.0452,0.0350,-0.1289,0.0261,0.0842,0.1138,0.0327,0.0616,-0.0084,-0.0790,0.0041,0.0074,0.0390,0.0375,0.0144
22,Income Tax expense (Gain),- -,- -,- -,- -,-100000,200000,-51192,205788,7200,373322,151362,-303748,131000,-216000,-62000,-248000,647000,1768000,4361000,2626000,-3144000,1371000,3411000,4513000,-102000,3137000,2638000,5290000,4438000,9618000,-4363000,3672000,2691000
23,Net Income,- -,-400000,-100000,-100000,-200000,200000,-48737,301083,-53774,532926,-366161,-689924,-264000,-123000,-166000,-928000,-435000,3094000,6305000,5010000,-15032000,2105000,8272000,10850000,6557000,13077000,-5602000,-38218000,-3029000,-7121000,17707000,8211000,1983000
24,Net Income ratio,- -,-0.5714,-1.0000,-0.0250,-0.0385,0.0274,-0.0058,0.0306,-0.0037,0.0202,-0.0153,-0.0077,-0.0029,-0.0016,-0.0024,-0.0134,-0.0053,0.0229,0.0267,0.0230,-0.1082,0.0150,0.0594,0.0803,0.0332,0.0497,-0.0152,-0.0916,-0.0088,-0.0211,0.0518,0.0260,0.0061
25,EPS,- -,-2.25,-0.05,-0.01,-0.05,0.04,-0.01,0.04,-0.01,0.06,-0.04,-0.08,-0.03,-0.01,-0.02,-0.09,-0.04,0.27,0.47,0.34,-1.06,0.15,0.58,0.73,0.33,0.51,-0.19,-1.12,-0.09,-0.21,0.51,0.23,0.06
26,EPS Diluted,- -,-2.25,-0.05,-0.01,-0.05,0.04,-0.01,0.04,-0.01,0.06,-0.04,-0.08,-0.03,-0.01,-0.02,-0.09,-0.04,0.24,0.45,0.30,-1.06,0.15,0.51,0.65,0.32,0.50,-0.19,-1.12,-0.09,-0.21,0.50,0.23,0.06
27,Weighted Average Shares Outstanding,- -,9186000,1986000,4513000,5714286,5000000,6437345,7001036,7412739,8882100,9154025,8624050,7899092,9582011,9852280,9989666,9993260,11260459,13456580,14633209,14221095,14308130,14386410,14813186,20116991,25750972,28791662,33979549,34445256,34714395,34987878,35289616,35472298
28,Weighted Average Shares Outstanding Diluted,- -,9186000,1986000,4513000,5714286,5000000,6437345,7001036,7412739,8882100,9154025,8624050,7899092,9582011,9852280,9989666,9993260,12890401,14042324,15275690,14221095,17102357,17115284,17246058,20719951,26196901,28791662,33979549,34445256,34714395,35484273,35520670,35472298
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3197/0000950137-96-000406-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3197/000119312504052176/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312505077739/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312506068031/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312507071909/0001193125-07-071909-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312508058939/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312509055504/0001193125-09-055504-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312510069639/0001193125-10-069639-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312511067373/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312512119293/0001193125-12-119293-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312513109153/0001193125-13-109153-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312514098407/d661608d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312515095828/d864880d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000156459016015157/0001564590-16-015157-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459017004264/0001564590-17-004264-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459018005085/0001564590-18-005085-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459019006619/0001564590-19-006619-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459020008551/0001564590-20-008551-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459021010416/0001564590-21-010416-index.htm,https://www.sec.gov/Archives/edgar/data/3197/000095017022003502/0000950170-22-003502-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,400000,- -,- -,- -,200000,1043011,412174,847827,364648,1134792,664155,53000,194000,136000,339000,310000,445000,656000,1169000,1393000,5792000,12724000,22994000,22661000,19362000,34194000,45824000,29902000,43676000,35602000,35992000,29902000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1015521,634150,695944,2690919,1002399,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,400000,- -,- -,- -,200000,1043011,1427695,1481977,1060592,3825711,1666554,53000,194000,136000,339000,310000,445000,656000,1169000,1393000,5792000,12724000,22994000,22661000,19362000,34194000,45824000,29902000,43676000,35602000,35992000,29902000
34,Net Receivables,- -,100000,- -,- -,2000000,1100000,1856541,2077045,3214868,4443083,20156312,22471508,22572000,12037000,16707000,18236000,17832000,37691000,59277000,47574000,23751000,26772000,23109000,35246000,55474000,82765000,140953000,121185000,101937000,82919000,103239000,108544000,74991000
35,Inventory,- -,300000,- -,- -,300000,300000,654826,565371,771068,541315,2173010,2372811,2157000,2055000,1575000,1689000,1981000,2755000,4694000,6169000,4877000,4432000,4344000,3898000,25376000,23416000,32509000,21487000,20969000,20817000,20578000,17343000,17052000
36,Other Current Assets,- -,- -,- -,- -,100000,- -,77625,104199,414135,524861,1121223,1880426,1805000,7438000,1983000,1515000,1672000,1762000,2907000,14907000,15527000,11456000,13293000,2183000,21261000,17424000,20800000,24482000,21134000,13453000,20079000,21606000,67066000
37,Total Current Assets,- -,800000,- -,- -,2400000,1600000,3632003,4174310,5882048,6569851,27276256,28391299,26587000,21724000,20401000,21779000,21795000,42653000,67534000,69819000,45548000,48452000,53470000,64321000,124772000,142967000,228456000,212978000,173942000,160865000,179498000,183485000,189011000
38,PP&E,- -,-200000,-200000,- -,1700000,1500000,2019631,1806126,1947482,2062452,14244457,13586851,13136000,12122000,9987000,9385000,8796000,8530000,9284000,12205000,11362000,5880000,5651000,4885000,21665000,18961000,44981000,27270000,23400000,22200000,28881000,27604000,26841000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9527000,14761000,31116000,14591000,14713000,14661000,19548000,132220000,167547000,220163000,170153000,166951000,152156000,152020000,161820000,161183000
40,Intangible Assets,- -,300000,- -,- -,2000000,2000000,2918542,3220841,6107554,6440133,7770459,12627740,11994000,11816000,11738000,11659000,11580000,1971000,3575000,5355000,4679000,4191000,3744000,4809000,65232000,78164000,101294000,82770000,69647000,54217000,45574000,42574000,35470000
41,Intangible Assets,- -,300000,- -,- -,2000000,2000000,2918542,3220841,6107554,6440133,7770459,12627740,11994000,11816000,11738000,11659000,11580000,11498000,18336000,36471000,19270000,18904000,18405000,24357000,197452000,245711000,321457000,252923000,236598000,206373000,197594000,204394000,196653000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,23896,68500,309200,- -,- -,- -,- -,- -,- -,- -,- -,- -,348000,602000,848000,- -,66000,3003000,- -,- -,- -,- -,- -,- -,505000
44,Other Non-Current Assets,- -,900000,1500000,- -,- -,- -,75000,- -,- -,333900,1473054,1289915,1313000,1015000,997000,618000,729000,507000,1381000,1522000,987000,953000,971000,541000,4581000,3723000,3925000,5463000,4609000,3144000,2664000,3831000,3187000
45,Total Non-Current Assets,- -,1000000,1300000,- -,3700000,3500000,5013173,5026967,8078932,8904985,23797170,27504506,26443000,24953000,22722000,21662000,21105000,20535000,29001000,50198000,31967000,26339000,25875000,29783000,223764000,271398000,370363000,285656000,264607000,231717000,229139000,235829000,227186000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1800000,1300000,- -,6100000,5100000,8645176,9201277,13960980,15474836,51073426,55895805,53030000,46677000,43123000,43441000,42900000,63188000,96535000,120017000,77515000,74791000,79345000,94104000,348536000,414365000,598819000,498634000,438549000,392582000,408637000,419314000,416197000
48,Accounts Payable,- -,- -,- -,- -,800000,600000,1166006,1220595,1873965,3104004,9569882,11808182,13103000,11675000,11309000,12211000,12017000,22684000,37211000,22886000,11235000,9712000,8215000,11098000,23108000,31882000,62199000,58985000,45409000,51984000,48762000,55899000,- -
49,Short-Term Debt,- -,100000,- -,- -,1000000,600000,1028231,489143,339425,1588372,2788054,3775662,2826000,2120000,2094000,4188000,1568000,620000,278000,1474000,836000,- -,- -,- -,9922000,8887000,19494000,14127000,16596000,1700000,5110000,5399000,2203000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2291000,- -,1646000,393000,1079000,1569000,405000,1582000,1536000,- -,1813000,- -,543000,2784000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11368000,13486000,14597000,28000000,35085000,20469000,26685000,40035000,24665000,- -
52,Other Current Liabilities,- -,300000,- -,- -,200000,100000,10745,276976,3019902,1427527,576148,1175203,2595000,1652000,1320000,3470000,4608000,5038000,8825000,20616000,18408000,16785000,15394000,5074000,12817000,19985000,38480000,38161000,25377000,23517000,21281000,23393000,114482000
53,Total Current Liabilities,- -,400000,- -,- -,2000000,1300000,2204982,1986714,5233292,6197903,12934084,16759047,18524000,15447000,14723000,19869000,18193000,28342000,46314000,44976000,30479000,26497000,23609000,27540000,59333000,75351000,148173000,146358000,107851000,103886000,115188000,109356000,116685000
54,Long-Term Debt,- -,- -,- -,- -,1200000,1000000,1238795,1132869,1732993,1569713,28289680,26101213,18588000,16202000,13388000,11894000,12847000,14872000,4429000,25200000,12671000,10800000,9600000,- -,79160000,103541000,157834000,114366000,103537000,74456000,63001000,69491000,68136000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8390000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,100000,19888,- -,- -,- -,- -,5263927,4065000,3480000,3185000,2462000,3143000,2527000,2688000,2311000,- -,- -,- -,128000,29335000,26365000,17719000,12964000,10210000,8755000,5943000,6970000,8390000
57,Other Non-Current Liabilities,- -,900000,900000,- -,500000,-100000,14955,9882,3821,- -,713003,703608,2032000,2137000,2591000,1967000,1934000,2524000,2178000,3017000,2605000,2320000,3146000,4442000,10302000,27884000,30072000,34864000,30382000,26925000,31488000,29886000,8639000
58,Total Non-Current Liabilities,- -,900000,900000,- -,1700000,1000000,1273638,1142751,1736814,1569713,29002683,32068748,24685000,21819000,19164000,16323000,17924000,19923000,9295000,30528000,15276000,13120000,12746000,4570000,118797000,157790000,205625000,162194000,144129000,110136000,100432000,106347000,93555000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13726000,11584000,- -
61,Total Liabilities,- -,1300000,900000,- -,3700000,2300000,3478620,3129465,6970106,7767616,41936767,48827795,43209000,37266000,33887000,36192000,36117000,48265000,55609000,75504000,45755000,39617000,36355000,32110000,178130000,233141000,353798000,308552000,251980000,214022000,215620000,215703000,210240000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,69563,73385,81070,83888,83888,86398,104000,104000,104000,102000,102000,116000,149000,150000,144000,144000,146000,171000,257000,264000,340000,343000,347000,349000,353000,355000,350000
64,Retained Earnings,- -,1400000,-1200000,- -,-2500000,-2100000,-3097188,-2796105,-2849879,-2316953,-2683114,-3950038,-4214000,-4337000,-4503000,-6637000,-7072000,-3978000,1674000,6684000,-8348000,-6243000,1301000,9691000,11911000,19051000,5472000,-41741000,-52673000,-59427000,-46344000,-38141000,- -
65,Other Comprehensive Income/Loss,- -,-200000,-200000,- -,-500000,-700000,-1269158,-1553541,-1754091,-1973489,-2298434,-3468881,-4248000,-865000,-894000,-760000,-791000,-1280000,-1337000,-3303000,-2021000,-1608000,-2350000,-2312000,-972000,-6621000,-9577000,-13042000,-8919000,-13415000,-14505000,-14496000,-12070000
66,Other Total Stockholders Equity,- -,- -,1800000,- -,5400000,5600000,9463339,10348073,11513774,11913774,14034319,14400531,18179000,14509000,14529000,14544000,14544000,20065000,40440000,40982000,41985000,42881000,43893000,54444000,159210000,168530000,242918000,244522000,247814000,251053000,253513000,254940000,217677000
67,Total Stockholders Equity,- -,500000,400000,- -,2400000,2800000,5166556,6071812,6990874,7707220,9136659,7068010,9821000,9411000,9236000,7249000,6783000,14923000,40926000,44513000,31760000,35174000,42990000,61994000,170406000,181224000,239153000,190082000,186569000,178560000,193017000,202658000,205957000
68,Total Liabilities And Stockholders Equity,- -,1800000,1300000,- -,6100000,5100000,8645176,9201277,13960980,15474836,51073426,55895805,53030000,46677000,43123000,43441000,42900000,63188000,96535000,120017000,77515000,74791000,79345000,94104000,348536000,414365000,592951000,498634000,438549000,392582000,408637000,418361000,416197000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5868000,- -,- -,- -,- -,953000,- -
70,Total Liabilities & Equity,- -,1800000,1300000,- -,6100000,5100000,8645176,9201277,13960980,15474836,51073426,55895805,53030000,46677000,43123000,43441000,42900000,63188000,96535000,120017000,77515000,74791000,79345000,94104000,348536000,414365000,598819000,498634000,438549000,392582000,408637000,419314000,416197000
71,SEC Link,undefined,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/3197/0000950137-96-000406-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3197/000119312504052176/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312505077739/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312506068031/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312507071909/0001193125-07-071909-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312508058939/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312509055504/0001193125-09-055504-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312510069639/0001193125-10-069639-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312511067373/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312512119293/0001193125-12-119293-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312513109153/0001193125-13-109153-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312514098407/d661608d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312515095828/d864880d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000156459016015157/0001564590-16-015157-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459017004264/0001564590-17-004264-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459018005085/0001564590-18-005085-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459019006619/0001564590-19-006619-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459020008551/0001564590-20-008551-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459021010416/0001564590-21-010416-index.htm,https://www.sec.gov/Archives/edgar/data/3197/000095017022003502/0000950170-22-003502-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-400000,-100000,-100000,-200000,200000,-48737,301083,-53774,532926,-366161,-689924,-264000,-123000,-166000,-928000,-435000,3094000,6305000,5010000,-15032000,2105000,8272000,10850000,6557000,13077000,-5602000,-38218000,-3029000,-7121000,17707000,8211000,1983000
74,Depreciation and Amortization,- -,100000,- -,200000,200000,300000,429660,416988,384661,617964,729333,2154572,2320000,1789000,1581000,1254000,1167000,1229000,1623000,3176000,2519000,1758000,1399000,1250000,6647000,11268000,16520000,18903000,16088000,13272000,10609000,9921000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-60356,-57734,1362,-95627,-148000,-609041,-103000,-59000,-5000,-553000,423000,-160000,-489000,265000,-2848000,-399000,513000,454000,1126000,-3183000,-3488000,-3750000,-3123000,-42000,-940000,1038000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1189000,997000,885000,693000,662000,1100000,1659000,2070000,2280000,1768000,3187000,2668000,1758000,- -
77,Change in Working Capital,- -,- -,-400000,-400000,400000,-100000,1127021,760575,-1538840,-276808,13970224,-2709920,-3569252,-1786000,-599000,-3768000,1692000,10709000,6909000,3623000,-9774000,6886000,7906000,6920000,28658000,2177000,12667000,-13663000,-529000,-9112000,7331000,9819000,-1803000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8771000,14422000,-614000,- -,-5089000,2753000,2492000,-15605000,13294000,14107000,-6084000,-15616000,8367000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-249818,89455,-60318,229753,1568999,-199801,216000,102000,480000,-114000,-292000,-774000,-547000,-729000,1191000,-135000,-181000,458000,1680000,1993000,-3477000,9449000,887000,-1704000,-207000,4366000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,-2563000,1837000,319000,4472000,1465000,-8582000,-6593000,-15847000,21321000,-4028000,336000,- -
81,Other Working Capital,- -,400000,- -,- -,400000,300000,1427021,2187596,648756,371948,14342172,11632252,8063000,6277000,5678000,1910000,3602000,14311000,21220000,24843000,15069000,21955000,29861000,36781000,65439000,67616000,80283000,66620000,66091000,56979000,64310000,74129000,72326000
82,Other Non-Cash Items,- -,300000,500000,300000,-1300000,1000000,-1508622,-1310754,3267059,-1537522,-15022605,4485189,5998252,3880000,782000,5877000,-261000,-19022000,-10390000,-8186000,39030000,-8297000,-10045000,-3307000,-19907000,-8735000,-9530000,104047000,-4605000,21768000,-27148000,-26326000,13118000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-900000,1400000,-61034,110158,2060468,-759067,-837209,2630876,4382000,3701000,1593000,1882000,2586000,-4150000,3958000,5077000,14892000,2938000,8738000,16829000,24181000,16263000,12637000,69599000,6570000,21952000,10227000,4421000,13298000
84,CAPEX,- -,- -,- -,- -,-100000,-100000,-168059,-78720,-210087,-240996,-165284,-559763,-793000,- -,-112000,-472000,-661000,-898000,-1692000,-2249000,-999000,-654000,-913000,-273000,-1377000,-1151000,-763000,-1076000,-1028000,-3090000,-5655000,-3945000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-16870,-39688,-2186910,-111465,-25488445,- -,- -,-240000,- -,- -,- -,- -,-9955000,-23535000,- -,- -,- -,-4000000,-104432000,-44399000,-37481000,- -,- -,35052000,- -,-5895000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,100000,- -,100000,- -,- -,- -,-198855,-340848,-283034,253550,- -,470000,1568000,- -,- -,- -,- -,- -,- -,5158000,714000,382000,215000,7738000,3205000,657000,368000,6296000,509000,605000,-2083000
89,Cash Used for Investing Activites,- -,- -,100000,- -,- -,-100000,-184929,-118408,-2595852,-693309,-25936763,-306213,-793000,230000,1456000,-472000,-661000,-898000,-11647000,-25784000,-999000,4504000,-199000,-3891000,-105594000,-37812000,-35039000,-419000,-660000,38258000,-5146000,-9235000,-2083000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000,-27447000,-2707000,- -,- -,-14218000,-8867000,-107695000,-56588000,-11879000,-45754000,-11075000,-92276000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,900000,27500,24100,- -,- -,31114,4377000,9000,20000,13000,- -,3362000,18996000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
