,https://roic.ai/company/CCUR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749038/000095011294002605/0000950112-94-002605-index.html,https://www.sec.gov/Archives/edgar/data/749038/000074903895000007/0000749038-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/749038/000095014496006649/0000950144-96-006649-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540297000155/0001015402-97-000155-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540298000338/0001015402-98-000338-index.html,- -,https://www.sec.gov/Archives/edgar/data/749038/000101540200002360/0001015402-00-002360-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540201502732/0001015402-01-502732-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540202003217/0001015402-02-003217-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749038/000114036107017527/0001140361-07-017527-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036108020318/0001140361-08-020318-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036109019931/0001140361-09-019931-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036110035681/0001140361-10-035681-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036111044076/0001140361-11-044076-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036112038661/0001140361-12-038661-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036113036155/0001140361-13-036155-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036114034313/0001140361-14-034313-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036115033559/0001140361-15-033559-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420416122127/0001144204-16-122127-index.htm,https://www.sec.gov/Archives/edgar/data/749038/000114420417048837/0001144204-17-048837-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420418048540/0001144204-18-048540-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420419042110/0001144204-19-042110-index.htm,https://www.sec.gov/Archives/edgar/data/749038/000110465920105213/0001104659-20-105213-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17600000,20000000,16400000,12000000,25700000,23400000,20600000,30400000,9400000,5700000,3600000,4000000,5700000,6900000,10082000,9460000,30519000,30697000,27928000,19880000,14423000,20416000,27359000,29110000,31364000,27814000,29613000,27927000,28074000,25451000,20268000,35893000,32992000,8083000,9336000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5497000,- -,- -,- -,- -,- -,6870000,20010000,27798000,28801000
33,Cash and Short-Term Investments,17600000,20000000,16400000,12000000,25700000,23400000,20600000,30400000,9400000,5700000,3600000,4000000,5700000,6900000,10082000,9460000,30519000,30697000,27928000,19880000,14423000,20416000,27359000,29110000,31364000,33311000,29613000,27927000,28074000,25451000,20268000,42763000,53002000,35881000,38137000
34,Net Receivables,15300000,17300000,15700000,82700000,74700000,52500000,43600000,37500000,34500000,25500000,27900000,25700000,19000000,14900000,12907000,14348000,23894000,10371000,10192000,16577000,15111000,20987000,14422000,14546000,14194000,8033000,8739000,10701000,11355000,10174000,15104000,8930000,2150000,12573000,15314000
35,Inventory,13900000,17500000,17500000,58400000,47400000,27800000,22900000,21900000,17800000,14500000,11700000,8400000,6300000,4600000,5621000,7187000,6822000,7174000,9617000,5071000,6164000,3457000,5094000,3060000,4300000,3847000,3683000,2844000,3272000,3428000,3495000,1865000,- -,- -,- -
36,Other Current Assets,1000000,1200000,5000000,8000000,11000000,23400000,13000000,10900000,5400000,4300000,12500000,5000000,1500000,1000000,2381000,1058000,1879000,1877000,1378000,1084000,1578000,934000,1360000,1444000,1704000,1888000,2129000,2324000,2262000,2160000,1061000,1366000,1419000,1779000,1204000
37,Total Current Assets,47800000,56000000,54600000,161100000,158800000,127100000,100100000,100700000,67100000,50000000,55700000,43100000,32500000,27400000,30991000,32053000,63114000,50119000,49115000,42612000,37276000,45794000,48235000,48160000,51562000,47079000,44164000,43796000,44963000,41213000,39928000,54924000,56571000,50233000,54655000
38,PP&E,13500000,14500000,28400000,113900000,96100000,53700000,48500000,48200000,42700000,38600000,16500000,14200000,12400000,10900000,11314000,10484000,10696000,11862000,11569000,8319000,6015000,4303000,3867000,3860000,5050000,4754000,3966000,3102000,3081000,2448000,3061000,1726000,1000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15560000,15560000,15990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260000,480000
40,Intangible Assets,- -,- -,- -,19500000,17400000,15300000,- -,- -,- -,- -,- -,- -,- -,- -,2943000,10744000,10744000,10744000,10744000,11567000,8787000,7699000,6611000,4423000,3463000,2565000,1667000,834000,476000,323000,- -,- -,- -,2910000,1870000
41,Intangible Assets,- -,- -,- -,19500000,17400000,15300000,- -,- -,- -,- -,- -,- -,- -,- -,2943000,10744000,10744000,10744000,10744000,11567000,24347000,23259000,22601000,4423000,3463000,2565000,1667000,834000,476000,323000,- -,- -,- -,4170000,2350000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3265000,3568000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1087000,1749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13231000,12711000,924000,15000,975000,475000,6632000
44,Other Non-Current Assets,3000000,4200000,5600000,32900000,26600000,17300000,9500000,8200000,13400000,9800000,8000000,6200000,1300000,2300000,2792000,3771000,13047000,3365000,3114000,1479000,1120000,777000,836000,692000,2014000,1588000,1076000,737000,635000,1178000,1323000,1142000,3759000,4331000,2645000
45,Total Non-Current Assets,16500000,18700000,34000000,166300000,140100000,86300000,58000000,56400000,56100000,48400000,24500000,20400000,13700000,13200000,17049000,24999000,35574000,27720000,25427000,21365000,31482000,28339000,27304000,8975000,10527000,8907000,6709000,4673000,17423000,16660000,5308000,2883000,4735000,12241000,15195000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,64300000,74700000,88600000,327400000,298900000,213400000,158100000,157100000,123200000,98400000,80200000,63500000,46200000,40600000,48040000,57052000,98688000,77839000,74542000,63977000,68758000,74133000,75539000,57135000,62089000,55986000,50873000,48469000,62386000,57873000,45236000,57807000,61306000,62474000,69850000
48,Accounts Payable,- -,- -,- -,- -,86000000,77400000,48200000,47300000,44700000,29300000,40600000,23900000,13300000,9000000,13297000,13929000,15514000,14644000,12069000,4727000,11581000,7955000,7003000,- -,- -,- -,1277000,2075000,1838000,- -,4767000,2452000,582000,221000,294000
49,Short-Term Debt,1800000,3500000,5300000,21300000,184700000,183500000,16200000,11000000,16700000,14000000,6300000,10200000,1500000,- -,- -,- -,- -,- -,- -,954000,1034000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,221000,- -,389000,415000,217000,35000,35000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,4055000,5433000,10668000,6692000,7277000,7996000,8570000,7870000,11094000,9266000,8850000,8383000,7441000,8362000,8126000,1454000,- -,- -,- -
52,Other Current Liabilities,7800000,10300000,18000000,83200000,9900000,11600000,12100000,7600000,6300000,4800000,9600000,4400000,4000000,3800000,2608000,- -,- -,- -,- -,7328000,- -,7611000,6981000,10582000,9985000,7534000,4654000,5596000,5753000,6342000,4424000,5712000,707000,1189000,3125000
53,Total Current Liabilities,9600000,13800000,23300000,104500000,280600000,272500000,76500000,65900000,67700000,48100000,56500000,38500000,18800000,12800000,15905000,17229000,19569000,20077000,22737000,19701000,19892000,23562000,22554000,18452000,21079000,16800000,14781000,16054000,15032000,14704000,17317000,9618000,1289000,1410000,3644000
54,Long-Term Debt,3400000,2800000,13100000,175900000,13600000,2100000,61600000,67900000,13200000,9500000,6600000,4500000,- -,- -,- -,- -,- -,- -,- -,1583000,549000,1077000,949000,949000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041000,4349000,3655000,2788000,1924000,1400000,1658000,1168000,66000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1634000,2107000,278000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1100000,1200000,900000,9500000,6200000,7100000,5200000,4800000,7300000,5600000,4400000,1200000,1900000,1800000,2902000,6540000,8261000,12197000,5801000,4340000,4544000,2899000,4608000,3165000,3180000,4052000,4198000,4706000,5500000,4905000,5753000,4654000,3951000,7108000,4917000
58,Total Non-Current Liabilities,4500000,4000000,14000000,185400000,19800000,9200000,66800000,72700000,20500000,15100000,11000000,5700000,1900000,1800000,2902000,6540000,9895000,14304000,6079000,5923000,5093000,3976000,5557000,5155000,7529000,7707000,6986000,6630000,6900000,6563000,6921000,4720000,3951000,8708000,4917000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000
61,Total Liabilities,14100000,17800000,37300000,289900000,300400000,281700000,143300000,138600000,88200000,63200000,67500000,44200000,20700000,14600000,18807000,23769000,29464000,34381000,28816000,25624000,24985000,27538000,28111000,23607000,28608000,24507000,21767000,22684000,21932000,21267000,24238000,14338000,5240000,10118000,8561000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,538000,551000,618000,623000,628000,637000,716000,829000,83000,83000,84000,85000,87000,88000,90000,91000,92000,94000,91000,87000,88000
64,Retained Earnings,-6300000,- -,-7900000,-32600000,-74200000,-141000000,900000,4800000,-35000000,-37100000,84300000,-74600000,-71200000,-72900000,-95955000,-102760000,-98377000,-122929000,-128712000,-136455000,-145800000,-157971000,-157782000,-172259000,-173273000,-176528000,-179415000,-183085000,-169001000,-173795000,-189265000,-165498000,-151795000,-150795000,-143077000
65,Other Comprehensive Income/Loss,-5500000,-7600000,-15300000,-33500000,-59800000,-79700000,-5600000,-18200000,-26600000,-76100000,-44200000,-23100000,-17800000,-25000000,-22163000,-22903000,-25059000,-8574000,-486000,-1598000,-538000,921000,553000,737000,1034000,1061000,859000,360000,-91000,109000,-545000,-2890000,-2313000,-6579000,-6206000
66,Other Total Stockholders Equity,62000000,64500000,74500000,103600000,132500000,152400000,19500000,31900000,96600000,148400000,- -,117000000,114500000,123400000,146813000,158395000,192042000,174338000,174296000,175769000,189395000,202816000,204574000,204967000,205636000,206861000,207575000,208422000,209456000,210201000,210716000,211763000,210083000,208881000,209223000
67,Total Stockholders Equity,50200000,56900000,51300000,37500000,-1500000,-68300000,14800000,18500000,35000000,35200000,12700000,19300000,25500000,26000000,29233000,33283000,69224000,43458000,45726000,38353000,43773000,46595000,47428000,33528000,33481000,31479000,29106000,25785000,40454000,36606000,20998000,43469000,56066000,51594000,60028000
68,Total Liabilities And Stockholders Equity,64300000,74700000,88600000,327400000,298900000,213400000,158100000,157100000,123200000,98400000,80200000,63500000,46200000,40600000,48040000,57052000,98688000,77839000,74542000,63977000,68758000,74133000,75539000,57135000,62089000,55986000,50873000,48469000,62386000,57873000,45236000,57807000,61306000,61712000,68589000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,762000,1261000
70,Total Liabilities & Equity,64300000,74700000,88600000,327400000,298900000,213400000,158100000,157100000,123200000,98400000,80200000,63500000,46200000,40600000,48040000,57052000,98688000,77839000,74542000,63977000,68758000,74133000,75539000,57135000,62089000,55986000,50873000,48469000,62386000,57873000,45236000,57807000,61306000,62474000,69850000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749038/000095011294002605/0000950112-94-002605-index.html,https://www.sec.gov/Archives/edgar/data/749038/000074903895000007/0000749038-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/749038/000095014496006649/0000950144-96-006649-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540297000155/0001015402-97-000155-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540298000338/0001015402-98-000338-index.html,- -,https://www.sec.gov/Archives/edgar/data/749038/000101540200002360/0001015402-00-002360-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540201502732/0001015402-01-502732-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540202003217/0001015402-02-003217-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749038/000114036107017527/0001140361-07-017527-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036108020318/0001140361-08-020318-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036109019931/0001140361-09-019931-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036110035681/0001140361-10-035681-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036111044076/0001140361-11-044076-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036112038661/0001140361-12-038661-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036113036155/0001140361-13-036155-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036114034313/0001140361-14-034313-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036115033559/0001140361-15-033559-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420416122127/0001144204-16-122127-index.htm,https://www.sec.gov/Archives/edgar/data/749038/000114420417048837/0001144204-17-048837-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420418048540/0001144204-18-048540-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420419042110/0001144204-19-042110-index.htm,https://www.sec.gov/Archives/edgar/data/749038/000110465920105213/0001104659-20-105213-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-41700000,-66800000,60100000,3900000,-39800000,-2000000,-41300000,4100000,3400000,-1700000,-23100000,-6200000,4400000,-24600000,-5700000,-7700000,-9300000,-12200000,300000,-14500000,-1000000,-3300000,-2900000,4200000,18505000,-345000,-11113000,28400000,16100000,681000,12230000
74,Depreciation and Amortization,- -,- -,- -,- -,41800000,33900000,21500000,14100000,12500000,12300000,11100000,5200000,5700000,5000000,5529000,5995000,5008000,4849000,5511000,5428000,5163000,5355000,3935000,3177000,2950000,3351000,3714000,3162000,2322000,1762000,1701000,1726000,606000,182000,496000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13954000,246000,13209000,859000,-1030000,- -,-6681000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,648000,670000,1226000,716000,848000,1130000,902000,789000,931000,2313000,231000,411000
77,Change in Working Capital,- -,- -,- -,- -,9000000,37200000,7500000,2300000,-7400000,-10000000,400000,-12000000,-1600000,-200000,2287000,-3383000,-6660000,13181000,2707000,-6939000,-988000,1564000,3868000,-1837000,3387000,2560000,-3452000,-1561000,-1545000,411000,-2387000,-450000,-4704000,-291000,3307000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-137000,352000,6161000,-708000,-1976000,-674000,432000,-4805000,4203000,115000,- -,- -
79,Inventory,- -,- -,- -,- -,11900000,18900000,6000000,-2000000,4100000,-2000000,-200000,3900000,1900000,500000,-1530000,-3278000,-118000,-669000,-3367000,4535000,-1061000,2211000,-1804000,2014000,-1628000,546000,-25000,593000,-461000,-336000,-43000,180000,-146000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3402000,- -,-2550000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1513000,-311000,582000,240000,-456000,5452000,452000,-924000,-1099000,-1234000,1289000,359000,-2409000,1422000,217000,-11000
82,Other Non-Cash Items,- -,- -,- -,- -,24800000,17000000,-61000000,9100000,39900000,8900000,33100000,2800000,1400000,2000000,14769000,3375000,3010000,13669000,-4904000,671000,1156000,1385000,-529000,16812000,530000,-333000,347000,-1725000,310000,568000,-4420000,-34470000,-21454000,979000,-6173000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,33900000,21300000,28100000,29400000,5200000,9200000,3300000,100000,8900000,5100000,-515000,-213000,5758000,7099000,-2386000,-8540000,-3969000,-3896000,7574000,4300000,6537000,3504000,-1575000,4924000,6768000,3544000,-2221000,-3004000,-8169000,1782000,3590000
