,https://roic.ai/company/PLUG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46958921,-27453954,-31862454,-63079941,-88812503,-55690000,-57879000,-127080000,-87332000,-85465000,-627000000,-476162000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.4115,-0.9938,-1.2204,-2.3713,-1.3827,-0.5392,-0.6736,-0.9560,-0.5001,-0.3712,6.7248,-0.9479
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-410259,-324680,- -,-392000,- -,-9217000,- -,-30845000,-16197000
23,Net Income,-9600000,-33469000,-86241899,-73112027,-47218326,-53038802,-46738827,-51743462,-50309587,-60570816,-121700024,-40708552,-46958921,-27453954,-31862454,-62669682,-88487823,-55690000,-57487000,-127080000,-78115000,-85465000,-596155000,-459965000
24,Net Income ratio,-1.4769,-3.0426,-10.2936,-12.7339,-3.9954,-4.2424,-2.8956,-3.8367,-6.4205,-3.7227,-6.7984,-3.3116,-2.4115,-0.9938,-1.2204,-2.3559,-1.3777,-0.5392,-0.6690,-0.9560,-0.4473,-0.3712,6.3940,-0.9156
25,EPS,-7.10,-12.70,-19.90,-15.60,-9.30,-8.80,-6.40,-6.60,-5.80,-6.90,-13.60,-3.20,-3.60,-1.46,-0.93,-0.83,-0.56,-0.32,-0.32,-0.60,-0.36,-0.36,-1.58,-0.82
26,EPS Diluted,-7.10,-12.70,-19.90,-15.60,-9.30,-8.80,-6.40,-6.60,-5.80,-6.90,-13.60,-3.20,-3.60,-1.46,-0.93,-0.83,-0.56,-0.32,-0.32,-0.60,-0.36,-0.36,-1.58,-0.82
27,Weighted Average Shares Outstanding,1352113,2628270,4330815,4684009,5064495,6014594,7312595,7846323,8610032,8734171,8938348,12911066,13123161,18778066,34376427,76436408,159228815,176067231,180619860,216343985,218882337,237152780,354790106,558182177
28,Weighted Average Shares Outstanding Diluted,1352113,2628270,4330815,4684009,5064495,6014594,7312595,7846323,8610032,8734171,8938348,12911066,13123161,18778066,34376427,76436408,159228815,176067231,180619860,216343985,218882337,237152780,354790106,558182177
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1093691/000092701601001596/0000927016-01-001596-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000092701602001777/0000927016-02-001777-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000092701603001543/0000927016-03-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312504039283/0001193125-04-039283-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312505050763/0001193125-05-050763-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312506053806/0001193125-06-053806-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312507057114/0001193125-07-057114-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312508058776/0001193125-08-058776-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329709000075/0001003297-09-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329710000066/0001003297-10-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329711000114/0001003297-11-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329712000141/0001003297-12-000141-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000100329713000101/0001003297-13-000101-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000100329714000159/0001003297-14-000159-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000104746915002340/0001047469-15-002340-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000104746916011132/0001047469-16-011132-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837017001631/0001558370-17-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837018001828/0001558370-18-001828-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837019001929/0001558370-19-001929-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837020002267/0001558370-20-002267-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837021007147/0001558370-21-007147-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837022002620/0001558370-22-002620-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4000000,171496000,58511563,53648145,27257641,88685255,18976767,21877726,26899866,12076938,80844500,14580983,10955403,13856893,9380059,5026523,146205071,63961000,46014000,24828000,38602000,139496000,1312404000,2481269000
32,Short-Term Investments,- -,- -,28221852,39034314,28590378,13318850,47872662,75685634,242223202,153623670,76494604,107334921,10403315,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1388260000
33,Cash and Short-Term Investments,4000000,171496000,86733415,92682459,55848019,102004105,66849429,97563360,269123068,165700608,157339104,121915904,21358718,13856893,9380059,5026523,146205071,63961000,46014000,24828000,38602000,139496000,1312404000,3869529000
34,Net Receivables,1300000,5213000,1415049,2608321,4145328,3307627,2989481,1516969,892641,4608456,2151121,2004670,4196361,13388909,4021725,6429400,16094788,22650000,11923000,15331000,37347000,25448000,43041000,131312000
35,Inventory,- -,305000,2168006,2271278,2031995,2663741,3527140,4692515,5558710,5787180,6264372,6360755,10539116,10354707,8550457,10406320,24735601,32752000,29940000,48776000,47910000,72391000,139386000,269163000
36,Other Current Assets,- -,399000,3025846,3002850,5109895,2306991,1595713,1909004,3706400,2720915,2350738,3217446,2584466,1894014,1988457,1850859,5709766,11867000,23056000,30672000,31756000,76005000,108365000,178521000
37,Total Current Assets,5300000,177413000,93342316,100564908,67135237,110282464,74961763,105681848,279280819,178817159,168105335,133498775,38678661,39494523,23940698,23713102,192745226,131230000,110933000,119607000,155615000,313340000,1603196000,4448525000
38,PP&E,2800000,23334000,32290492,30240631,26320676,24122266,21829254,19826111,18048254,21064795,17769974,14342740,9838631,8686840,9678036,7730979,7248733,8922000,62306000,97479000,159620000,259699000,273096000,573556000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,10388980,51399497,- -,- -,- -,- -,- -,- -,- -,8478000,8291000,9445000,9023000,8842000,72387000,220436000
40,Intangible Assets,- -,- -,6827066,3470139,514847,13826480,11076480,10388980,- -,16979327,12843182,11821830,- -,7474000,5270571,2901595,1490319,4644000,3933000,3785000,3890000,5539000,39251000,158208000
41,Intangible Assets,- -,- -,6827066,3470139,514847,13826480,11076480,10388980,10388980,68378824,12843182,11821830,9871394,7474636,5270571,2901595,1490319,13122000,12224000,13230000,12913000,14381000,111638000,378644000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,2255772,263239,- -,- -,- -,2000000,2000000,54000000,- -,- -,- -,- -,12892000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,15379000,18369344,17098329,14712031,12357561,10129993,3887438,201859,130940,393476,2265405,525000,- -,570697,1009945,2396382,54182000,1369000,40494000,62178000,183764000,263352000,536459000
45,Total Non-Current Assets,2800000,38713000,57486902,50809099,41547554,50306307,43035727,34102529,28639093,89574559,41006632,30685747,20498264,16161476,15519304,11642519,13135434,78226000,129899000,151203000,234711000,457844000,648086000,1501551000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8100000,216126000,150829218,151374007,108682791,160588771,117997490,139784377,307919912,268391718,209111967,164184522,59176925,55655999,39460002,35355621,205880660,209456000,240832000,270810000,390326000,771184000,2251282000,5950076000
48,Accounts Payable,600000,4644000,3479031,762972,947839,1975370,2339143,2660130,1989983,4636997,3274972,2877270,3560048,4668721,3558157,3094385,15795774,22899000,34156000,48183000,36614000,47630000,61948000,92307000
49,Short-Term Debt,- -,353000,377201,330072,329706,345000,427238,526806,- -,- -,62875000,59788708,9956,5405110,3380835,- -,- -,- -,2964000,18762000,16803000,42007000,25389000,92832000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,5684793,5878784,5184932,5675227,3148048,2692320,3341341,5425270,4596717,4349749,5542004,2950375,3434735,3318919,4468000,5736000,8630000,12055000,11691000,23275000,116377000
52,Other Current Liabilities,2000000,3205000,6134529,3421106,3103135,3491583,2447316,3835973,7596990,6932992,10359153,6227125,7100081,4463907,7149833,6073951,6591948,15339000,23629000,40146000,80898000,49463000,111754000,119037000
53,Total Current Liabilities,2600000,8202000,9990761,10198943,10259464,10996885,10888924,10170957,12279293,14911330,81934395,73489820,15019834,20079742,17039200,12603071,25706641,42706000,66485000,115721000,146370000,150791000,222366000,420553000
54,Long-Term Debt,- -,5717000,5340620,5000274,4644288,4365955,3998391,3603641,- -,- -,- -,1150408,- -,- -,- -,- -,- -,- -,20829000,13371000,63380000,289830000,235653000,717317000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4362092,5579281,8501404,13997000,17413000,25809000,28021000,23369000,32944000,66713000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,800000,1367193,1171899,1082271,939810,997349,1054888,1112427,4579914,1313450,1275541,1243728,6540592,3028407,35045419,13389496,28017000,51017000,42263000,149842000,172515000,293400000,139797000
58,Total Non-Current Liabilities,- -,6517000,6707813,6172173,5726559,5305765,4995740,4658529,1112427,4579914,1313450,2425949,1243728,6540592,7390499,40624700,21890900,42014000,89259000,81443000,241243000,485714000,561997000,923827000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1955128,3797079,3012907,14809000,44554000,71575000,192340000,205313000,300887000,489470000
61,Total Liabilities,2600000,14719000,16698574,16371116,15986023,16302650,15884664,14829486,13391720,19491244,83247845,75915769,16263562,26620334,24429699,53227771,47597541,84720000,155744000,197164000,387613000,636505000,784363000,1344380000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,3950,3950,- -,- -,- -,- -,- -,2371080,1152720,1153000,9622000,709000,31643000,1150000,- -,- -
63,Common Stock,- -,430000,437955,503229,509971,728506,733509,858353,867952,878829,1281640,1305913,1336992,229244,384048,1063566,1736445,1806000,1917000,2291000,2342000,3186000,4740000,5947000
64,Retained Earnings,-15500000,-48989000,-135230514,-208342541,-255560867,-308599669,-355338496,-407081958,-457391545,-517962361,-639662385,-680370937,-727329858,-754783812,-786646266,-849437066,-938080766,-993876000,-1051467000,-1178636000,-1260290000,-1345807000,-1946488000,-2396903000
65,Other Comprehensive Income/Loss,-400000,-1776000,-4814289,-9325016,-14598027,-18522939,-22562376,-24582911,-27631145,8000000,-35272393,1000000,1000000,1000000,1000000,1000000,1000000,1000000,-34210000,2000000,2000000,-53685000,-22186000,-1532000
66,Other Total Stockholders Equity,21400000,251742000,273737492,352167219,362345691,470680223,479280189,555761407,778678980,757980056,799517260,766333777,767906229,782590233,800292521,827130270,1092474720,1114653000,1159226000,1247282000,1227018000,1529835000,3430853000,- -
67,Total Stockholders Equity,5500000,201407000,134130644,135002891,92696768,144286121,102112826,124954891,294528192,248900474,125864122,88268753,42913363,29035665,15030303,-17872150,158283119,124736000,85088000,73646000,2713000,134679000,1466919000,4605696000
68,Total Liabilities And Stockholders Equity,8100000,216126000,150829218,151374007,108682791,160588771,117997490,139784377,307919912,268391718,209111967,164184522,59176925,55655999,39460002,35355621,205880660,209456000,240832000,270810000,390326000,771184000,2251282000,5950076000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8100000,216126000,150829218,151374007,108682791,160588771,117997490,139784377,307919912,268391718,209111967,164184522,59176925,55655999,39460002,35355621,205880660,209456000,240832000,270810000,390326000,771184000,2251282000,5950076000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1093691/000092701601001596/0000927016-01-001596-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000092701602001777/0000927016-02-001777-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000092701603001543/0000927016-03-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312504039283/0001193125-04-039283-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312505050763/0001193125-05-050763-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312506053806/0001193125-06-053806-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312507057114/0001193125-07-057114-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312508058776/0001193125-08-058776-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329709000075/0001003297-09-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329710000066/0001003297-10-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329711000114/0001003297-11-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329712000141/0001003297-12-000141-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000100329713000101/0001003297-13-000101-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000100329714000159/0001003297-14-000159-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000104746915002340/0001047469-15-002340-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000104746916011132/0001047469-16-011132-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837017001631/0001558370-17-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837018001828/0001558370-18-001828-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837019001929/0001558370-19-001929-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837020002267/0001558370-20-002267-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837021007147/0001558370-21-007147-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837022002620/0001558370-22-002620-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9600000,-33469000,-86241899,-73112027,-47218326,-53038802,-46738827,-51743462,-50309587,-60570816,-121700024,-40708552,-46958921,-27453954,-31862454,-62669682,-88487823,-55690000,-57487000,-127080000,-78115000,-85465000,-596155000,-459965000
74,Depreciation and Amortization,600000,1452000,5835252,7907437,8234123,6469397,6756578,4046438,3219790,5461127,6623101,5767001,7232890,4454993,4376161,4178798,4337764,2987000,5240000,9783000,11707000,12687000,15569000,23369000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9217000,- -,-30845000,-16197000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1928501,1174576,1452259,2001840,2180869,4156636,7817000,9290000,9209000,8771000,10890000,17135000,76470000
77,Change in Working Capital,900000,166511000,-85859445,7014410,-33490192,42409806,-35212740,31438052,171490635,-103095697,-77734889,-26161985,-36350128,-4244046,-12513283,4208533,155928554,-78514585,-44076000,-40562000,5359000,153304000,1218281000,-73830000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65440,-2193325,-9192901,9367539,-2407675,-9349413,-5638000,10727000,-3408000,-14398000,10646000,-15701000,-27601000
79,Inventory,- -,-290000,-1863295,-103272,239283,-277173,-863399,-1165375,-866195,655753,-521253,-95935,-4409582,1438195,-1294671,-1855863,-9168058,-7251000,2812000,-18836000,19041000,-24481000,-63389000,-98791000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1101000,914388,-2140157,10817631,7214000,10772000,11430000,-10266000,19879000,51880000,24908000
81,Other Working Capital,2700000,169211000,83351555,90365965,56875773,99285579,64072839,95510891,267001526,163905829,86170940,60008955,23658827,19414781,6901498,11110031,167038585,88524000,44448000,3886000,9245000,162549000,1380830000,70654000
82,Other Non-Cash Items,600000,-158233000,100773418,2903032,35579959,-33857181,41298734,-23610100,-170507950,108894624,136215344,20946788,34131114,-7519319,17832740,25220671,-116714665,76126585,57397000,88468000,3878000,-142938000,-779461000,91977000
83,Cash Provided by Operating Activities,-7500000,-23739000,-65492674,-55287148,-36894436,-38016780,-33896255,-39869072,-46107112,-49310762,-56596468,-38228247,-40770469,-33310067,-20164996,-26880811,-40779534,-47274000,-29636000,-60182000,-57617000,-51522000,-155476000,-358176000
84,CAPEX,-2400000,-10788000,-11994519,-2678802,-1267556,-627348,-1616525,-999582,-1274794,-2944405,-1418641,-532960,-1100478,-1326144,-77527,-111032,-1413103,-3520000,-58075000,-44363000,-19572000,-14619000,-50221000,-193266000
85,Acquisitions Net,- -,- -,- -,- -,- -,-7055750,- -,- -,- -,- -,- -,- -,- -,- -,- -,3234717,414000,1496000,- -,- -,- -,- -,-45113000,-125586000
86,Purchases of Investments,- -,- -,-28221852,-10812462,- -,- -,-76217470,-204938727,-1014319441,-472899139,-199713772,-164264734,-44545068,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3329165000
87,Sales/Maturities of Investments,- -,- -,- -,- -,10443936,15271528,41181267,177351026,852968512,556640568,266774180,141055930,139129040,10399396,- -,- -,- -,- -,- -,- -,- -,- -,- -,1907126000
88,Other Investing Activites,- -,- -,-11124500,36666,274000,36521491,- -,5000,-1000000,-47718903,14587,-2042405,5083137,1245008,63605,84250,33792,- -,- -,- -,-929000,-2029000,-1957000,-928000
89,Cash Used for Investing Activites,-2400000,-10788000,-51340871,-13454598,9450380,44109921,-36652728,-28582283,-163625723,33078121,65656354,-25784169,98566631,10318260,-13922,3207935,-965311,-2024000,-58075000,-44363000,-19572000,-14244000,-95334000,-1740891000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3729602,-60936371,-9956,-2194497,-4079509,-777244,-587000,-50000000,-12292000,-47454000,-86540000,-165470000,-88311000
91,Common Stock Issued,- -,94653000,4201480,64400296,1104610,433578,910721,71765835,217707839,480654,202875,- -,- -,22583877,17192500,14807718,176700006,- -,13000000,22992000,7195000,158428000,1271714000,3587833000
92,Common Stock Repurchased,- -,-1640000,- -,- -,- -,-315296,- -,- -,- -,- -,-618642,-534418,-441506,-158492,- -,- -,-603113,-247000,-182000,-3700000,- -,-4040000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10800000,109017000,-352658,-521968,-51058,55216191,-70226,-413521,-2952864,-400000,60639756,1869954,- -,3513732,703052,8639911,7603744,-32089000,107067000,76011000,159603000,257212000,409285000,98257000
95,Cash Used/Provided by Financing Activities,10800000,202030000,3848822,63878328,1053552,55334473,840495,71352314,214754975,80654,60223989,-2394066,-61377877,25929161,15701055,19368120,182923393,-32923000,69885000,83011000,119344000,325060000,1515529000,3597779000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,1329059,-516313,142965,-43865,-35864,1029,-48780,- -,-23000,-121000,348000,-57000,53000,65000,-802000
97,Net Change In Cash,900000,167503000,-112984723,-4863418,-26390504,61427614,-69708488,2900959,5022140,-14822928,68767562,-66263517,-3625580,2901490,-4476834,-4353536,141178548,-82244000,-17947000,-21186000,42098000,259347000,1264784000,1497910000
98,Cash at the End of Period,4000000,171496000,58511563,53648145,27257641,88685255,18976767,21877726,26899866,12076938,80844500,14580983,10955403,13856893,9380059,5026523,146205071,63961000,46014000,24828000,110153000,369500000,1634284000,3132194000
99,Cash at the Beginning of Period,3100000,3993000,171496286,58511563,53648145,27257641,88685255,18976767,21877726,26899866,12076938,80844500,14580983,10955403,13856893,9380059,5026523,146205000,63961000,46014000,68055000,110153000,369500000,1634284000
100,Free Cash Flow,-9900000,-34527000,-77487193,-57965950,-38161992,-38644128,-35512780,-40868654,-47381906,-52255167,-58015109,-38761207,-41870947,-34636211,-20242523,-26991843,-42192637,-50794000,-87711000,-104545000,-77189000,-66141000,-205697000,-551442000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1093691/000092701601001596/0000927016-01-001596-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000092701602001777/0000927016-02-001777-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000092701603001543/0000927016-03-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312504039283/0001193125-04-039283-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312505050763/0001193125-05-050763-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312506053806/0001193125-06-053806-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312507057114/0001193125-07-057114-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000119312508058776/0001193125-08-058776-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329709000075/0001003297-09-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329710000066/0001003297-10-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329711000114/0001003297-11-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000100329712000141/0001003297-12-000141-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000100329713000101/0001003297-13-000101-index.html,https://www.sec.gov/Archives/edgar/data/1093691/000100329714000159/0001003297-14-000159-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000104746915002340/0001047469-15-002340-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000104746916011132/0001047469-16-011132-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837017001631/0001558370-17-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837018001828/0001558370-18-001828-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837019001929/0001558370-19-001929-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837020002267/0001558370-20-002267-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837021007147/0001558370-21-007147-index.htm,https://www.sec.gov/Archives/edgar/data/1093691/000155837022002620/0001558370-22-002620-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
