,https://roic.ai/company/ZBRA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,11100000,13800000,18600000,29500000,34300000,40200000,48400000,68300000,76400000,117800000,129246000,110621000,124502000,147572000,196803000,181569000,119048000,194277000,26668000,103436000,176144000,248019000,191358000,196070000,154836000,350000000,368000000,578000000,790000000,862000000,782000000,1160000000
16,EBITDA ratio,0.2921,0.3026,0.3169,0.3371,0.3203,0.2705,0.2852,0.3555,0.2274,0.2956,0.2684,0.2458,0.2618,0.2751,0.2968,0.2585,0.1567,0.2237,0.0273,0.1287,0.1841,0.2522,0.1921,0.1889,0.0927,0.0958,0.1030,0.1553,0.1873,0.1922,0.1758,0.2061
17,Operating Income,10600000,12700000,15400000,25000000,30300000,32500000,39300000,52800000,69700000,109300000,119736000,92459000,101805000,129218000,175170000,154211000,80429000,143185000,-15346000,68802000,143852000,182036000,164351000,160264000,88590000,53000000,80000000,322000000,610000000,692000000,651000000,979000000
18,Operating Income ratio,0.2789,0.2785,0.2624,0.2857,0.2829,0.2187,0.2316,0.2749,0.2074,0.2743,0.2486,0.2055,0.2141,0.2409,0.2642,0.2196,0.1059,0.1649,-0.0157,0.0856,0.1503,0.1851,0.1650,0.1544,0.0530,0.0145,0.0224,0.0865,0.1446,0.1543,0.1464,0.1740
19,Total Other Income Expenses (Gains),100000,600000,2400000,3500000,2600000,5500000,5300000,13900000,-4600000,-500000,-7825000,3680000,9078000,6774000,9378000,14254000,21213000,24190000,3433000,1721000,1083000,-2317000,-177000,3563000,-71961000,-217000000,-209000000,-234000000,-86000000,-94000000,-91000000,-11000000
20,Income Before Tax,10700000,13300000,17800000,28500000,32900000,38000000,44600000,66700000,65100000,108800000,111911000,96139000,110883000,135992000,184548000,168465000,101642000,167375000,-11913000,70523000,144935000,179719000,164174000,163827000,16629000,-164000000,-129000000,88000000,524000000,598000000,560000000,968000000
21,Income Before Tax Ratio,0.2816,0.2917,0.3032,0.3257,0.3072,0.2557,0.2628,0.3472,0.1938,0.2730,0.2324,0.2136,0.2331,0.2535,0.2783,0.2399,0.1338,0.1928,-0.0122,0.0878,0.1515,0.1827,0.1648,0.1578,0.0100,-0.0449,-0.0361,0.0236,0.1242,0.1333,0.1259,0.1720
22,Income Tax expense (Gain),4100000,4800000,6000000,10200000,11800000,15400000,15700000,23900000,25000000,39200000,40289000,34610000,39288000,44296000,63905000,56862000,32015000,57262000,26508000,23419000,43157000,49376000,42277000,29602000,-15800000,-27000000,8000000,71000000,103000000,54000000,56000000,131000000
23,Net Income,6600000,8500000,11800000,18300000,21100000,22600000,28900000,40100000,40100000,69600000,71622000,61529000,71595000,91696000,120643000,111603000,70946000,110113000,-38421000,47104000,101778000,174643000,122904000,134358000,32429000,-137000000,-137000000,17000000,421000000,544000000,504000000,837000000
24,Net Income ratio,0.1737,0.1864,0.2010,0.2091,0.1970,0.1521,0.1703,0.2087,0.1193,0.1747,0.1487,0.1367,0.1505,0.1709,0.1820,0.1589,0.0934,0.1268,-0.0393,0.0586,0.1064,0.1776,0.1234,0.1294,0.0194,-0.0375,-0.0383,0.0046,0.0998,0.1213,0.1133,0.1487
25,EPS,0.03,0.04,0.05,0.08,0.09,0.19,0.53,0.74,0.58,0.99,1.04,0.89,1.03,1.30,1.69,1.56,1.01,1.61,-0.60,0.79,1.78,3.24,2.38,2.65,0.83,-2.69,-2.65,0.33,7.86,10.08,9.43,15.66
26,EPS Diluted,0.03,0.04,0.05,0.08,0.09,0.18,0.53,0.73,0.57,0.98,1.02,0.88,1.02,1.28,1.66,1.55,1.00,1.60,-0.60,0.79,1.77,3.22,2.37,2.63,0.63,-2.69,-2.65,0.32,7.76,9.97,9.35,15.52
27,Weighted Average Shares Outstanding,53847139,53847139,53847139,53923562,54094393,54182054,54456750,54573750,69567750,70143750,69277500,68951250,69711750,70647000,71556000,71364000,70516000,68463000,64524000,59306000,57143000,53854000,51566000,50693000,50789000,50996000,51579112,53021761,53562341,53991249,53441375,53441375
28,Weighted Average Shares Outstanding Diluted,53847139,53847139,53847139,53923562,54094393,54182054,54456750,54715500,70146000,70922250,70098750,69482250,70346250,71494500,72539000,72022000,70956000,68908000,64524000,59425000,57428000,54191000,51843000,51063000,51380000,50996000,51579112,53688832,54252577,54594417,53913245,53913245
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/877212/000091205702011604/a2074627z10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/877212/000110465904005927/a04-2920_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465905009342/a05-1760_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465906012591/a06-1914_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465907015616/a07-5489_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/877212/000119312509040579/0001193125-09-040579-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312510037472/0001193125-10-037472-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312511045274/d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000119312512075320/0001193125-12-075320-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312513069145/0001193125-13-069145-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312514060748/d639974d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/d845903d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000162828016011978/0001628280-16-011978-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721217000009/0000877212-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721218000011/0000877212-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721219000011/0000877212-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721220000006/0000877212-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721221000008/0000877212-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/877212/000087721222000026/0000877212-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,5200000,7200000,11400000,38500000,24815000,26328000,18418000,14266000,17983000,25621000,41014000,38211000,33267000,38943000,47476000,36353000,64740000,62827000,393950000,192000000,156000000,62000000,44000000,30000000,168000000,332000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,197100000,131899000,223021000,330159000,435698000,540010000,518618000,219930000,98438000,85654000,114064000,125567000,182398000,324140000,350380000,24385000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,5200000,7200000,11400000,235600000,156714000,249349000,348577000,449964000,557993000,544239000,260944000,136649000,118921000,153007000,173043000,218751000,388880000,413207000,418335000,192000000,156000000,62000000,44000000,30000000,168000000,332000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,31600000,31000000,57700000,62900000,83941000,67160000,71299000,81867000,96881000,111551000,122540000,150775000,152679000,155716000,154146000,195921000,168732000,184539000,683390000,678000000,657000000,519000000,544000000,645000000,524000000,760000000
35,Inventory,- -,- -,- -,- -,- -,- -,21500000,22400000,39700000,42400000,56852000,39923000,38066000,42781000,59255000,63638000,81190000,85038000,100199000,79926000,113742000,133288000,123357000,121023000,394176000,394000000,345000000,458000000,520000000,474000000,511000000,491000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,90700000,126900000,157700000,5000000,6179000,7906000,6638000,8922000,10509000,13286000,15016000,48370000,25019000,22288000,35373000,36913000,29894000,35334000,176149000,68000000,64000000,24000000,54000000,46000000,70000000,106000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,149000000,187500000,266500000,345900000,303686000,364338000,464580000,583534000,724638000,732714000,479690000,420832000,396818000,410937000,476304000,584873000,710863000,754103000,1672050000,1332000000,1222000000,1063000000,1162000000,1195000000,1273000000,1689000000
38,PP&E,- -,- -,- -,- -,- -,- -,11300000,12800000,38900000,41700000,41587000,40742000,39462000,39286000,46283000,49643000,57431000,67686000,75363000,77589000,88983000,97822000,101349000,109588000,255092000,298000000,292000000,264000000,249000000,366000000,409000000,403000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32735000,- -,- -,- -,- -,70714000,246510000,151356000,153225000,151933000,79703000,94942000,155800000,2489510000,2493000000,2458000000,2465000000,2495000000,2622000000,2988000000,3265000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63810000,26693000,58011000,70181000,68310000,88099000,34025000,119424000,66359000,55982000,49706000,12667000,39151000,68968000,1029293000,757000000,480000000,299000000,232000000,275000000,402000000,469000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63810000,59428000,58011000,70181000,68310000,88099000,104739000,365934000,217715000,209207000,201639000,92370000,134093000,224768000,3518803000,3250000000,2938000000,2764000000,2727000000,2897000000,3390000000,3734000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104326000,91989000,85478000,107879000,17943000,28657000,51998000,40000000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,902000,1722000,- -,- -,- -,11917000,28407000,51251000,35842000,21254000,11866000,2602000,- -,- -,52000000,113000000,119000000,114000000,127000000,139000000,192000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,3000000,3300000,4600000,7000000,9813000,14146000,9313000,8610000,22991000,41743000,309365000,151419000,5405000,4915000,5206000,4196000,898000,2696000,70908000,52000000,67000000,65000000,87000000,126000000,164000000,197000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,14300000,16100000,43500000,48700000,115210000,115218000,108508000,118077000,137584000,179485000,483452000,613446000,454060000,419542000,402560000,314133000,256885000,365709000,3896801000,3692000000,3410000000,3212000000,3177000000,3516000000,4102000000,4526000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,163300000,203600000,310000000,394600000,418896000,479556000,573088000,701611000,862222000,912199000,963142000,1034278000,850878000,830479000,878864000,899006000,967748000,1119812000,5568851000,5024000000,4632000000,4275000000,4339000000,4711000000,5375000000,6215000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,12200000,11100000,20600000,23800000,23838000,14414000,15447000,16238000,24130000,24885000,28980000,42351000,38152000,28137000,35304000,33273000,23045000,34688000,326524000,289000000,413000000,383000000,552000000,552000000,601000000,700000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,100000,200000,11700000,500000,226000,300000,420000,153000,54000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7522000,24000,- -,51000000,157000000,226000000,394000000,102000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,558000,- -,5900000,- -,1609000,6898000,15964000,41000000,22000000,43000000,60000000,38000000,19000000,12000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9633000,18366000,24082000,26757000,11089000,13326000,15506000,196213000,198000000,191000000,186000000,210000000,238000000,308000000,380000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,7900000,11300000,4500000,18800000,22823000,19114000,21037000,29211000,35392000,29463000,45874000,70188000,68469000,52591000,73990000,64612000,58843000,68860000,425588000,388976000,345000000,380000000,382000000,388000000,548000000,618000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,20200000,22600000,36800000,43100000,46887000,33828000,36904000,45602000,59576000,54348000,74854000,122172000,124987000,104810000,136051000,108974000,95214000,119054000,955847000,876000000,949000000,1000000000,1301000000,1404000000,1851000000,1800000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,100000,100000,- -,600000,513000,- -,605000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3182962000,3012000000,2648000000,2176000000,1434000000,1080000000,881000000,1043000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4903000,4108000,2406000,1592000,- -,- -,115847000,124000000,124000000,148000000,172000000,221000000,273000000,315000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,900000,1900000,1500000,- -,- -,- -,723000,417000,1242000,- -,- -,- -,- -,- -,- -,- -,25492000,199853000,1000000,3000000,- -,8000000,- -,- -,6000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2500000,400000,400000,100000,208000,721000,1424000,3371000,4575000,6095000,10607000,9413000,10250000,9432000,10375000,11515000,15532000,16608000,74434000,98000000,116000000,117000000,89000000,167000000,226000000,67000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2600000,1400000,2300000,2200000,721000,721000,2029000,4094000,4992000,7337000,10607000,9413000,15153000,13540000,12781000,13107000,15532000,42100000,3573096000,3235000000,2891000000,2441000000,1703000000,1468000000,1380000000,1431000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,605000,452000,117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000000,159000000,154000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,22800000,24000000,39100000,45300000,47608000,34549000,38933000,49696000,64568000,61685000,85461000,131585000,140140000,118350000,148832000,122081000,110746000,161154000,4528943000,4111000000,3840000000,3441000000,3004000000,2872000000,3231000000,3231000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,315000,315000,315000,474000,718000,722000,722000,722000,722000,722000,722000,722000,722000,722000,722000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,108600000,148800000,219800000,289400000,361026000,422555000,494150000,585846000,706489000,818092000,850399000,960512000,922091000,969195000,1070973000,1245616000,1368520000,1502878000,1535307000,1398000000,1240000000,1248000000,1688000000,2232000000,2736000000,3573000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-10800000,-14600000,-26600000,-34000000,-42692000,-50891000,-28000,3429000,6267000,2377000,6812000,4995000,-12789000,-8061000,-9349000,-4213000,-10325000,-9781000,-8547000,-49000000,-45000000,-52000000,-35000000,-44000000,-69000000,-29000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,42700000,45400000,77700000,93600000,52639000,73028000,- -,62166000,84180000,29323000,19748000,- -,-199286000,-249727000,-332314000,-465200000,-501915000,-535161000,-487574000,-437000000,-404000000,-363000000,-319000000,-350000000,-524000000,-561000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,140500000,179600000,270900000,349300000,371288000,445007000,534155000,651915000,797654000,850514000,877681000,902693000,710738000,712129000,730032000,776925000,857002000,958658000,1039908000,913000000,792000000,834000000,1335000000,1839000000,2144000000,2984000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,163300000,203600000,310000000,394600000,418896000,479556000,573088000,701611000,862222000,912199000,963142000,1034278000,850878000,830479000,878864000,899006000,967748000,1119812000,5568851000,5024000000,4632000000,4275000000,4339000000,4711000000,5375000000,6215000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,163300000,203600000,310000000,394600000,418896000,479556000,573088000,701611000,862222000,912199000,963142000,1034278000,850878000,830479000,878864000,899006000,967748000,1119812000,5568851000,5024000000,4632000000,4275000000,4339000000,4711000000,5375000000,6215000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/877212/000091205702011604/a2074627z10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/877212/000110465904005927/a04-2920_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465905009342/a05-1760_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465906012591/a06-1914_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465907015616/a07-5489_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/877212/000119312509040579/0001193125-09-040579-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312510037472/0001193125-10-037472-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312511045274/d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000119312512075320/0001193125-12-075320-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312513069145/0001193125-13-069145-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312514060748/d639974d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/d845903d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000162828016011978/0001628280-16-011978-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721217000009/0000877212-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721218000011/0000877212-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721219000011/0000877212-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721220000006/0000877212-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721221000008/0000877212-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/877212/000087721222000026/0000877212-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6600000,8500000,11800000,18300000,21100000,22600000,28900000,40100000,40100000,69600000,71622000,61529000,71595000,91696000,120643000,111603000,70946000,110113000,-38421000,47104000,101778000,174643000,122904000,134358000,32429000,-137000000,-137000000,17000000,421000000,544000000,504000000,837000000
74,Depreciation and Amortization,400000,500000,800000,1000000,1400000,2200000,3800000,4300000,11300000,9000000,17335000,14482000,13619000,11580000,12255000,13104000,16087000,26902000,38581000,32913000,31209000,24000000,26177000,32110000,81371000,320000000,304000000,263000000,175000000,175000000,146000000,187000000
75,Deferred Income Tax,- -,- -,-400000,-300000,-300000,-800000,-500000,-3200000,2000000,1200000,-6076000,2873000,-616000,-697000,-2358000,-834000,-6737000,-5477000,-23138000,12550000,-1347000,10796000,8067000,7929000,-44340000,-124000000,-44000000,-9000000,2000000,-42000000,-40000000,-69000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14962000,11467000,11871000,14095000,14727000,13109000,19891000,31000000,27000000,35000000,45000000,48000000,51000000,76000000
77,Change in Working Capital,-1500000,- -,- -,- -,- -,128800000,36100000,64800000,73100000,-46001000,73711000,97166000,110256000,127130000,13304000,-273530000,-106176000,-26829000,34296000,34126000,135646000,139750000,19400000,81154000,-260203000,-183000000,-210000000,-202000000,-70000000,-369000000,521000000,67000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21891000,8747000,-4603000,-3269000,-8647000,-6488000,-69628000,-6000000,34000000,161000000,-31000000,-96000000,130000000,-239000000
79,Inventory,-400000,-1400000,-2400000,-5000000,-2500000,-3200000,-1100000,-900000,4200000,-2700000,-7179000,17284000,2922000,-1659000,-15456000,-6204000,-13430000,-134000,-26222000,22315000,-33884000,-19545000,11530000,2743000,-2398000,-10000000,34000000,-110000000,-43000000,51000000,-42000000,18000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17891000,-16105000,6619000,-5439000,-14605000,7544000,62188000,-21000000,125000000,-40000000,122000000,-5000000,47000000,96000000
81,Other Working Capital,- -,- -,- -,- -,- -,128800000,164900000,229700000,302800000,256799000,330510000,427676000,537932000,665062000,678366000,404836000,298660000,271831000,306127000,340253000,475899000,615649000,635049000,716203000,456000000,273000000,63000000,-139000000,-209000000,-578000000,-57000000,105000000
82,Other Non-Cash Items,3900000,2000000,500000,-8900000,11400000,-141100000,-66800000,-111300000,-94800000,-10799000,-22671000,-161974000,-208247000,-125190000,-32588000,242247000,114132000,53411000,112002000,-32462000,-138698000,-283663000,-7944000,-73894000,419177000,204000000,432000000,374000000,212000000,329000000,-220000000,-29000000
83,Cash Provided by Operating Activities,9400000,11000000,12700000,10100000,33600000,11700000,1500000,-5300000,31700000,23000000,133921000,14076000,-13393000,104519000,111256000,92590000,88252000,158120000,138282000,105698000,140459000,79621000,183331000,194766000,248325000,111000000,372000000,478000000,785000000,685000000,962000000,1069000000
84,CAPEX,-1000000,-700000,-2200000,-2500000,-2100000,-4300000,-6000000,-5300000,-25600000,-11300000,-8948000,-9613000,-8481000,-8407000,-16243000,-14286000,-37288000,-26870000,-42273000,-25315000,-34218000,-28150000,-25943000,-21711000,-39291000,-122000000,-77000000,-50000000,-64000000,-61000000,-67000000,-59000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88476000,- -,- -,-13680000,- -,-7657000,-2681000,-286761000,-18588000,- -,- -,161206000,-32296000,-95328000,-3398600000,-52000000,39000000,- -,-72000000,-262000000,-548000000,-452000000
86,Purchases of Investments,-200000,-30100000,-2200000,-6500000,-20000000,-6100000,- -,- -,- -,- -,- -,- -,- -,-1057241000,-1287388000,-1021813000,-1110472000,-1025089000,-723791000,-329292000,-382091000,-991633000,-356734000,-422304000,-654152000,-2000000,-1000000,-1000000,-3000000,-22000000,-32000000,-34000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,300000,11500000,- -,6900000,- -,- -,- -,951702000,1180960000,1033177000,1131915000,1281979000,791290000,313956000,376693000,911797000,309438000,386194000,980707000,28000000,- -,- -,2000000,10000000,6000000,- -
88,Other Investing Activites,100000,- -,- -,- -,- -,-2600000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,-13754000,- -,- -,14796000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000
89,Cash Used for Investing Activites,-1100000,-30800000,-4400000,-9000000,-22100000,-13000000,-6700000,6200000,-25600000,-4400000,-97424000,-9613000,-8481000,-127626000,-122671000,-24333000,-18526000,-56741000,21434000,-40651000,-39616000,53220000,-105535000,-153149000,-3111336000,-148000000,-39000000,-51000000,-137000000,-335000000,-641000000,-546000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165000000,-484000000,-1825000000,-1566000000,-949000000,-342000000,-303000000
91,Common Stock Issued,- -,- -,- -,300000,600000,900000,500000,1000000,2000000,10200000,7292000,8895000,13106000,17762000,15531000,11753000,10402000,8375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
