,https://roic.ai/company/AUD,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4000000,- -,23926000,26016000,55961000,25630000,27474000,19238000,18254000,272838000,11708000,8486000,10563000,24515000,18934000,18698000,13362000,17360000,9667000,223777000,24429000,15540000,26133000,2330449000
45,Total Non-Current Assets,471800000,- -,1383695000,1350960000,1381091000,1471698000,1562501000,1588875000,1614917000,1795258000,911644000,826637000,819529000,837863000,829562000,821422000,816611000,916043000,929548000,4138698000,3460129000,3218998000,2934187000,3018260000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,522900000,- -,1473928000,1438740000,1568530000,1577052000,1667961000,1697758000,1733258000,1919352000,996734000,934536000,901025000,919269000,915581000,912688000,926615000,1022108000,1076233000,4539201000,4020358000,3643678000,3288757000,3421889000
48,Accounts Payable,10900000,- -,18967000,10992000,11625000,1735000,1569000,1326000,1239000,5781000,352000,477000,4209000,404000,400000,200000,324000,73000,481000,598000,1858000,5961000,13776000,18897000
49,Short-Term Debt,- -,- -,11000,24389000,42671000,- -,17000,19000,20000,21000,30023000,80024000,165026000,3778000,22418000,3000000,3000000,31832000,4817000,13319000,- -,51712000,45927000,296477000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8196000,17306000,5610000,1332000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17519000,22692000,9894000,15651000,- -
52,Other Current Liabilities,5900000,- -,8803000,18200000,18736000,89719000,24197000,33612000,41067000,29587000,31939000,42330000,21013000,27191000,26458000,26452000,27437000,36696000,62419000,166607000,154195000,143021000,118174000,-81599000
53,Total Current Liabilities,16800000,- -,27781000,53581000,73032000,91454000,25783000,34957000,42326000,35389000,62314000,122831000,190248000,31373000,49276000,29652000,30761000,68601000,67717000,198043000,178745000,210588000,193528000,233775000
54,Long-Term Debt,321100000,- -,461249000,363934000,394044000,329027000,483259000,577240000,676219000,973697000,803674000,685143000,485122000,598446000,560133000,514124000,476929000,455187000,467651000,1859442000,1872203000,1697114000,1689949000,1999412000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,1138000,2113000,1294000,- -
56,Deferred Tax Liabilities,- -,- -,124197000,135974000,80522000,116771000,155918000,192783000,229205000,235579000,- -,- -,23704000,11317000,26226000,44272000,63470000,81643000,92898000,609789000,545982000,549658000,473398000,487665000
57,Other Non-Current Liabilities,-200000,- -,- -,4370000,5427000,8190000,6928000,7063000,8416000,13920000,30489000,12610000,31284000,26989000,15229000,26247000,26434000,55227000,54593000,94567000,88030000,302762000,285850000,-184943000
58,Total Non-Current Liabilities,320900000,- -,585446000,504278000,479993000,453988000,646105000,777086000,913840000,1223196000,834163000,697753000,540110000,636752000,601588000,584643000,566833000,592057000,615142000,2576798000,2507353000,2551647000,2450491000,2302134000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12610000,12610000,12610000,12610000,- -,- -,- -,- -,- -,- -,288681000,269839000,- -
61,Total Liabilities,337700000,- -,613227000,557859000,553025000,545442000,671888000,812043000,956166000,1258585000,896477000,820584000,730358000,668125000,650864000,614295000,597594000,660658000,682859000,2774841000,2686098000,2762235000,2644019000,2535909000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,452000,453000,498000,514000,486000,428000,404000,387000,371000,372000,381000,382000,384000,385000,391000,397000,407000,1437000,1412000,1379000,1409000,1441000
64,Retained Earnings,182800000,- -,-11850000,5418000,-77634000,-5854000,69780000,148141000,134655000,64597000,-467177000,-461610000,-415080000,-346565000,-337514000,-306713000,-279885000,-250701000,-212636000,25791000,-360664000,-775578000,-1017037000,-1020142000
65,Other Comprehensive Income/Loss,-9700000,- -,-26532000,-37680000,455000,1799000,-76000,-1238000,144000,-132000,-15262000,-13432000,-7277000,- -,-148605000,-145193000,-118667000,-124870000,-128322000,-132209000,-158341000,-139000,-1789000,-289000
66,Other Total Stockholders Equity,12100000,- -,898631000,912690000,967186000,1035151000,925883000,738384000,641889000,595915000,582325000,588622000,592643000,597327000,750452000,749914000,727182000,736624000,733925000,1869341000,1851853000,1655781000,1662155000,1671195000
67,Total Stockholders Equity,185200000,- -,860701000,880881000,890505000,1031610000,996073000,885715000,777092000,660767000,100257000,113952000,170667000,251144000,264717000,298393000,329021000,361450000,393374000,1764360000,1334260000,881443000,644738000,652205000
68,Total Liabilities And Stockholders Equity,522900000,- -,1473928000,1438740000,1443530000,1577052000,1667961000,1697758000,1733258000,1919352000,996734000,934536000,901025000,919269000,915581000,912688000,926615000,1022108000,1076233000,4539201000,4020358000,3643678000,3288757000,3188114000
69,Minority Interest,- -,- -,- -,- -,125000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233775000
70,Total Liabilities & Equity,522900000,- -,1473928000,1438740000,1568530000,1577052000,1667961000,1697758000,1733258000,1919352000,996734000,934536000,901025000,919269000,915581000,912688000,926615000,1022108000,1076233000,4539201000,4020358000,3643678000,3288757000,3421889000
71,SEC Link,- -,undefined,https://www.sec.gov/Archives/edgar/data/1067837/000089322001000295/0000893220-01-000295-index.html,https://www.sec.gov/Archives/edgar/data/1067837/000089322002000108/0000893220-02-000108-index.html,https://www.sec.gov/Archives/edgar/data/1067837/000104746903007357/0001047469-03-007357-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465904006228/0001104659-04-006228-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465905009047/0001104659-05-009047-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465906011928/0001104659-06-011928-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465907014768/0001104659-07-014768-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465908012418/0001104659-08-012418-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465909012539/0001104659-09-012539-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465910014263/0001104659-10-014263-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465911005957/0001104659-11-005957-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312512088604/0001193125-12-088604-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312513079469/0001193125-13-079469-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312514080209/0001193125-14-080209-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312515072436/0001193125-15-072436-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312516480572/0001193125-16-480572-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312517062132/0001193125-17-062132-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312518085958/0001193125-18-085958-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312519054296/0001193125-19-054296-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000162828020002635/0001628280-20-002635-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000162828021003544/0001628280-21-003544-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000162828022004551/0001628280-22-004551-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7000000,-60877000,47254000,17268000,-83052000,71780000,75634000,78361000,47981000,-8357000,-516651000,5398000,46436000,68510000,11268000,26024000,26823000,29184000,38065000,233849000,-361435000,-420212000,-242224000,-3572000
74,Depreciation and Amortization,13100000,21564000,43475000,46509000,16270000,15740000,16996000,17996000,17172000,18333000,20442000,16600000,12660000,11276000,10839000,8545000,7794000,8419000,9793000,15546000,44288000,45331000,50231000,52238000
75,Deferred Income Tax,- -,89374000,32993000,16242000,31591000,42547000,38703000,37386000,35975000,9628000,-232600000,999000,23053000,-14801000,13296000,22422000,19811000,18322000,14688000,-263551000,-61798000,5407000,-76260000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9856000,6888000,5528000,7671000,5754000,4270000,5232000,5524000,6539000,9567000,15149000,15882000,11134000,- -
77,Change in Working Capital,-1600000,- -,28152000,-28253000,80208000,-100507000,65777000,-5751000,2089000,12690000,-65929000,-37708000,-93820000,158785000,-13290000,24871000,17629000,-41779000,41504000,123492000,179024000,-167392000,-53050000,8812000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10365000,4324000,-3532000,208000,-2138000,-1678000,565000,-4027000,-4202000,-14127000,1777000,-30856000,86662000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-535000,-952000,1633000,700000,-739000,8370000,1217000,-27777000,-8800000,- -
81,Other Working Capital,34300000,34300000,62452000,34199000,114407000,13900000,79677000,73926000,76015000,88705000,22776000,-14932000,-108752000,50033000,36743000,61614000,79243000,37464000,78968000,202460000,381484000,214092000,161042000,169854000
82,Other Non-Cash Items,4500000,-9361000,-82399000,33477000,59325000,100806000,-65628000,8560000,-1634000,61198000,915499000,81725000,96553000,-145916000,41835000,-22783000,-11993000,45120000,-38559000,-89791000,287021000,653172000,395395000,-57478000
83,Cash Provided by Operating Activities,23000000,40700000,69475000,85243000,104342000,130366000,131482000,136552000,101583000,93492000,130617000,73902000,90410000,85525000,69702000,63349000,65296000,64790000,72030000,29112000,102249000,132188000,85226000,- -
84,CAPEX,-11200000,-777425000,-9532000,-9820000,-245365000,-137150000,-108427000,-57762000,-43717000,-277589000,-8927000,-2467000,-3112000,-6897000,-3688000,-4325000,-8408000,-7043000,-7689000,-21193000,-41786000,-77901000,-30837000,- -
85,Acquisitions Net,- -,-4023000,- -,- -,-30534000,27997000,275000,-900000,-1254000,1419000,4149000,- -,-1350000,-7650000,-25325000,- -,- -,-83553000,-92000,-12000000,-71434000,-40136000,-31639000,- -
86,Purchases of Investments,- -,-8000000,-9927000,-5721000,-520000,-288000,-122000,-76000,-50000,-68000,- -,- -,- -,- -,- -,- -,- -,-9000,- -,-9700000,-1250000,-1800000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,21000,132000,- -,456000,6041000,29000,2857000,251000,419000,49000,32000,482000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-142500000,77125000,-45225000,-2371000,988000,4363000,-93000,14079000,-154000,-495000,36471000,-14000,151000,231000,-828000,-258000,1353000,-1139000,7923000,59540000,243999000,21896000,9610000,- -
89,Cash Used for Investing Activites,-153700000,-712323000,-64684000,-17891000,-275299000,-105078000,-107911000,-38618000,-45146000,-273876000,31944000,-2062000,-4262000,-14284000,-29359000,-4583000,-7055000,-91744000,495000,17310000,141478000,-90516000,-51659000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-188155000,-115295000,-123104000,-852527000,-68529000,-86023000,-53000000,-51250000,-513266000,-669750000,-81348000,-778700000,-249388000,- -
91,Common Stock Issued,- -,637721000,1715000,3079000,209050000,6764000,3291000,672000,1015000,926000,278000,82000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-115923000,-188363000,-100499000,-56291000,-15319000,-993000,-1628000,-3057000,- -,- -,-1514000,- -,- -,-37779000,-30040000,-18340000,- -,- -
93,Dividends Paid,-3100000,-88113000,- -,- -,- -,- -,- -,- -,-60448000,-58088000,-22500000,-756000,-874000,-512000,-43000,- -,- -,-413000,-10454000,-31870000,-49770000,-30273000,-2692000,- -
94,Other Financing Activites,136800000,126808000,-4511000,-72937000,43749000,-108751000,85013000,93982000,98219000,293987000,56474000,51589000,32475000,784712000,33527000,30565000,15582000,56246000,488869000,680301000,75522000,613776000,229084000,- -
95,Cash Used/Provided by Financing Activities,133700000,676416000,-2796000,-69858000,252799000,-101987000,-27619000,-93709000,-61713000,180534000,-169222000,-65373000,-93131000,-71384000,-35045000,-55458000,-38932000,4583000,-34851000,-59098000,-85636000,-213537000,-22996000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,133700000,4793000,1995000,-2506000,81842000,-76699000,-4050000,4227000,-5276000,150000,-6661000,6467000,-6983000,-143000,5298000,3308000,19309000,-22371000,37674000,-12676000,158091000,-171865000,10571000,- -
98,Cash at the End of Period,- -,11262000,13257000,10751000,92593000,15894000,11844000,16071000,10795000,10945000,4284000,10751000,3768000,3625000,8923000,12231000,31540000,9169000,46843000,34167000,192258000,20393000,30964000,- -
99,Cash at the Beginning of Period,3600000,6469000,11262000,13257000,10751000,92593000,15894000,11844000,16071000,10795000,10945000,4284000,10751000,3768000,3625000,8923000,12231000,31540000,9169000,46843000,34167000,192258000,20393000,- -
100,Free Cash Flow,11800000,-736725000,59943000,75423000,-141023000,-6784000,23055000,78790000,57866000,-184097000,121690000,71435000,87298000,78628000,66014000,59024000,56888000,57747000,64341000,7919000,60463000,54287000,54389000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1067837/000089322001000295/0000893220-01-000295-index.html,https://www.sec.gov/Archives/edgar/data/1067837/000089322002000108/0000893220-02-000108-index.html,https://www.sec.gov/Archives/edgar/data/1067837/000104746903007357/0001047469-03-007357-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465904006228/0001104659-04-006228-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465905009047/0001104659-05-009047-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465906011928/0001104659-06-011928-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465907014768/0001104659-07-014768-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465908012418/0001104659-08-012418-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465909012539/0001104659-09-012539-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465910014263/0001104659-10-014263-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000110465911005957/0001104659-11-005957-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312512088604/0001193125-12-088604-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312513079469/0001193125-13-079469-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312514080209/0001193125-14-080209-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312515072436/0001193125-15-072436-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312516480572/0001193125-16-480572-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312517062132/0001193125-17-062132-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312518085958/0001193125-18-085958-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000119312519054296/0001193125-19-054296-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000162828020002635/0001628280-20-002635-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000162828021003544/0001628280-21-003544-index.htm,https://www.sec.gov/Archives/edgar/data/1067837/000162828022004551/0001628280-22-004551-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
