,https://roic.ai/company/DHC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1075415/000090873700000102/0000908737-00-000102-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1075415/000110465903005173/0001104659-03-005173-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465904007217/0001104659-04-007217-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465905010121/0001104659-05-010121-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465906016205/a06-1932_110k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000110465907015004/a07-5500_110k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000110465908014130/0001104659-08-014130-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746909002109/0001047469-09-002109-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746910001036/0001047469-10-001036-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746911001263/a2201648z10-k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000104746912001158/0001047469-12-001158-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746913001252/0001047469-13-001252-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746914001668/a2218465z10-k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000155837015000221/snh-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000155837016003411/0001558370-16-003411-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541517000007/0001075415-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541518000010/0001075415-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541519000013/0001075415-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541520000009/0001075415-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541521000005/0001075415-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1075415/000107541522000007/0001075415-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,139000,17091000,515000,352026000,8654000,3530000,3409000,14642000,5464000,43521000,5990000,10494000,10866000,23560000,42382000,39233000,27594000,37656000,31749000,31238000,54976000,37357000,74417000,634848000
32,Short-Term Investments,- -,- -,- -,- -,8288000,10244000,13126000,10626000,12740000,- -,3424000,17695000,29249000,16865000,- -,29078000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,139000,17091000,515000,352026000,16942000,13774000,16535000,25268000,18204000,43521000,9414000,28189000,40115000,40425000,42382000,68311000,27594000,37656000,31749000,31238000,54976000,37357000,74417000,634848000
34,Net Receivables,22939000,- -,- -,3275000,- -,6062000,7961000,8845000,9988000,11388000,15042000,17645000,17587000,18450000,18331000,19618000,18296000,17912000,18439000,18539000,18701000,1990000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4344000,46991000,4994000,7128000,9432000,-16564000,10544000,6155000,3829000,16083000,15095000,224437000,128869000,382097000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,92825000,62696000,66003000,70145000,71365000,56434000,61723000,54017000,65860000,88772000,263784000,203286000,1016945000
38,PP&E,637777000,600030000,486714000,468947000,1113448000,1257815000,1401720000,1447138000,1537851000,1616456000,2425917000,2863666000,3222840000,4091330000,- -,4422865000,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115837000,103494000,472788000,604286000,514446000,472265000,419244000,337875000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115837000,103494000,472788000,604286000,514446000,472265000,419244000,337875000,286513000,48746000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25177000,29078000,23993000,51472000,115612000,162751000,142027000,1571000,73772000,215127000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42157000,31435000,107120000,225715000,4536843000,137864000,5415054000,6466497000,6543679000,6593143000,6510383000,6050596000,5912853000,5342696000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2468074000,2895101000,3329960000,4317045000,4677857000,4693301000,5911835000,7122255000,7173737000,7228159000,7071654000,6390042000,6273138000,5606569000
46,Other Assets,686296000,654000000,530573000,867303000,1158200000,1304100000,1447730000,1499648000,1584774000,1701894000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,686296000,654000000,530573000,867303000,1158200000,1304100000,1447730000,1499648000,1584774000,1701894000,2496874000,2987926000,3392656000,4383048000,4748002000,4764666000,5968269000,7183978000,7227754000,7294019000,7160426000,6653826000,6476424000,6623514000
48,Accounts Payable,- -,- -,13000,9367000,- -,894000,1516000,786000,1624000,1496000,2287000,2535000,- -,3553000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7974000,9687000,18239000,17778000,190000000,100000000,80000000,775000000,327000000,596000000,139000000,537500000,- -,800000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,44600000,11287000,3233000,21100000,20506000,20384000,90514000,18576000,24104000,24822000,32835000,41550000,61726000,-162716000,-72285000,-48279000,-743018000,-286233000,-511602000,-58519000,-497903000,51844000,29845000
53,Total Current Liabilities,- -,44600000,11300000,12600000,21100000,21400000,21900000,91300000,20200000,25600000,35083000,45057000,59789000,83057000,27284000,27715000,31721000,31982000,40767000,84398000,80481000,39597000,51844000,829845000
54,Long-Term Debt,- -,200000000,97000000,243607000,357364000,527429000,535178000,556400000,545085000,426852000,730433000,1042219000,1204890000,1827385000,2006530000,1892764000,2800704000,3503025000,3714465000,3674526000,3648417000,3501661000,3566641000,2879080000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,36493000,27436000,27371000,22000,-70200000,15000,48000,- -,- -,- -,- -,67620000,67198000,183437000,289211000,273117000,257907000,251658000,235518000,238717000,252199000
58,Total Non-Current Liabilities,- -,200000000,97000000,280100000,384800000,554800000,535200000,486200000,545100000,426900000,730433000,1042219000,1204890000,1827385000,2074150000,1959962000,2984141000,3792236000,3987582000,3932433000,3900075000,3737179000,3805358000,3131279000
59,Other Liabilities,44227000,- -,- -,- -,- -,- -,- -,976571000,1090208000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7974000,9687000,18239000,17778000,738169000,711955000,749902000,798322000,1223687000,901422000,830490000,771444000,759403000,72269000
61,Total Liabilities,44227000,244594000,108263000,292679000,405874000,576194000,557063000,581671000,565308000,452484000,765516000,1087276000,1264679000,1910442000,2101434000,1987677000,3015862000,3824218000,4028349000,4016831000,3980556000,3776776000,3857202000,3961124000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,264000,260000,259000,434000,584000,585000,685000,718000,776000,887000,1145000,1273000,1418000,1626000,1765000,1881000,2039000,2375000,2375000,2376000,2377000,2379000,2383000,- -
64,Retained Earnings,- -,-35365000,-23650000,-86245000,-103429000,-130027000,-151076000,-180093000,-202159000,-229418000,-267321000,-329078000,-397350000,-469460000,-593113000,-730894000,-878024000,-1141781000,-1370975000,-1593973000,-1590418000,-1878371000,-2120450000,- -
65,Other Comprehensive Income/Loss,-94616000,-108709000,-106681000,-124252000,1534000,3490000,6372000,3872000,5986000,1266000,-3331000,1981000,13536000,-3772000,4562000,8412000,3329000,-32537000,34549000,87231000,-266000,- -,- -,- -
66,Other Total Stockholders Equity,736421000,553220000,552382000,784687000,853637000,853858000,1034686000,1093480000,1214863000,1476675000,2000865000,2226474000,2510373000,2944212000,3233354000,3497590000,3825063000,4531703000,4533456000,4609316000,4611419000,4612511000,4613904000,- -
67,Total Stockholders Equity,642069000,409406000,422310000,574624000,752326000,727906000,890667000,917977000,1019466000,1249410000,1731358000,1900650000,2127977000,2472606000,2646568000,2776989000,2952407000,3359760000,3199405000,3104950000,3023112000,2736519000,2495837000,2662390000
68,Total Liabilities And Stockholders Equity,686296000,654000000,530573000,867303000,1158200000,1304100000,1447730000,1499648000,1584774000,1701894000,2496874000,2987926000,3392656000,4383048000,4748002000,4764666000,5968269000,7183978000,7227754000,7121781000,7003668000,6513295000,6353039000,6623514000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172238000,156758000,140531000,123385000,- -
70,Total Liabilities & Equity,686296000,654000000,530573000,867303000,1158200000,1304100000,1447730000,1499648000,1584774000,1701894000,2496874000,2987926000,3392656000,4383048000,4748002000,4764666000,5968269000,7183978000,7227754000,7294019000,7160426000,6653826000,6476424000,6623514000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1075415/000090873700000102/0000908737-00-000102-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1075415/000110465903005173/0001104659-03-005173-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465904007217/0001104659-04-007217-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465905010121/0001104659-05-010121-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465906016205/a06-1932_110k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000110465907015004/a07-5500_110k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000110465908014130/0001104659-08-014130-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746909002109/0001047469-09-002109-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746910001036/0001047469-10-001036-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746911001263/a2201648z10-k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000104746912001158/0001047469-12-001158-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746913001252/0001047469-13-001252-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746914001668/a2218465z10-k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000155837015000221/snh-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000155837016003411/0001558370-16-003411-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541517000007/0001075415-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541518000010/0001075415-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541519000013/0001075415-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541520000009/0001075415-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541521000005/0001075415-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1075415/000107541522000007/0001075415-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,46236000,14834000,58437000,17018000,50184000,45874000,56742000,58705000,66101000,85303000,106511000,109715000,116485000,151419000,135884000,151164000,158637000,123968000,141295000,147610000,286872000,-88234000,-139453000,174515000
74,Depreciation and Amortization,18297000,22247000,20140000,19431000,31596000,35728000,41408000,45906000,44073000,47384000,60891000,79589000,91300000,113172000,143053000,157481000,183069000,253723000,282890000,271512000,280448000,282234000,262742000,271131000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-4297000,-44600000,33300000,-1300000,-8500000,-300000,-500000,-69400000,71100000,-5400000,19317000,54051000,-44861000,-19961000,59915000,789000,-18937000,5028000,-16491000,-31788000,26829000,215896000,-72745000,628820000
78,Accounts Receivable,- -,-3363000,339000,-6079000,7775000,-11327000,-2520000,-1336000,-3270000,-4384000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1591000,-10853000,-12965000,8232000,6150000,777000,4043000,1141000,2061000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-44600000,-11300000,-12600000,-21100000,-21400000,-21900000,-91300000,-20200000,-25600000,-6283000,47768000,2907000,-17054000,42861000,43650000,24713000,29741000,13250000,-18538000,8291000,224187000,151442000,780262000
82,Other Non-Cash Items,- -,71604000,-80854000,-17745000,25831000,-1683000,-2462000,69011000,-68939000,8611000,-2259000,-33963000,52381000,10929000,-55550000,-2731000,28132000,22802000,19113000,19716000,-201309000,-144051000,108000000,-1137789000
83,Cash Provided by Operating Activities,60236000,64085000,31023000,17404000,99111000,79619000,95188000,104222000,112335000,135898000,184460000,209392000,215305000,255559000,283302000,306703000,350901000,405521000,426807000,407050000,392840000,265845000,158544000,-63323000
84,CAPEX,-2000,- -,-2300000,-2176000,-622462000,-179391000,-137748000,-97480000,-133132000,-110238000,- -,- -,-467441000,- -,-365859000,-153023000,-1263199000,-1202380000,-292869000,-221435000,99091000,-18812000,- -,- -
85,Acquisitions Net,- -,- -,- -,-2176000,-622462000,- -,- -,- -,- -,- -,-862908000,-547603000,-467441000,-837745000,- -,- -,-825000,-17286000,- -,- -,- -,98557000,- -,- -
86,Purchases of Investments,- -,- -,-38530000,- -,- -,- -,- -,- -,- -,- -,- -,-14094000,-76000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,308000,387000,- -,- -,728000,288000,5900000,- -,- -,- -,- -,- -,- -,42000000,- -,- -,- -,6571000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,135178000,-21482000,622527000,600000,- -,12537000,6879000,- -,21336000,4898000,468891000,-41337000,-327859000,92550000,-1263199000,-1202380000,-292869000,-221435000,99091000,-12386000,-40436000,242696000
89,Cash Used for Investing Activites,306000,387000,94348000,-25834000,-621669000,-178503000,-131848000,-84943000,-126253000,-110238000,-841572000,-556799000,-466067000,-842082000,-327859000,-153023000,-1264024000,-1213095000,-292869000,-221435000,99091000,86171000,-40436000,242696000
90,Debt Repayment,- -,-200000000,-152000000,-140000000,-359537000,-213801000,-249864000,-117851000,-181945000,-200738000,-267845000,-405291000,-500286000,-827711000,-970528000,-401371000,-676432000,-1321122000,-1288418000,-808964000,-1291116000,-1142345000,-1423941000,-3159000
91,Common Stock Issued,- -,- -,- -,213710000,195210000,- -,180194000,58170000,120781000,260447000,522907000,223973000,281986000,432233000,287052000,261813000,322807000,659496000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212000,-452000,-341000,-411000,-299000,-171000,-383000
93,Dividends Paid,-60403000,-47520000,-38947000,-37388000,-67368000,-72472000,-77791000,-87722000,-93374000,-112562000,-144414000,-171472000,-184757000,-223529000,-259537000,-288945000,-305767000,-356390000,-370489000,-370608000,-370746000,-199719000,-42825000,- -
94,Other Financing Activites,- -,200000000,49000000,316441000,419981000,380033000,184000000,139357000,159278000,65250000,508933000,704701000,654191000,1218224000,1006392000,271674000,1560876000,1835864000,1519514000,993787000,1193092000,972500000,1387454000,750265000
95,Cash Used/Provided by Financing Activities,-60403000,-47520000,-141947000,352763000,188286000,93760000,36539000,-8046000,4740000,12397000,619581000,351911000,251134000,599217000,63379000,-156829000,901484000,817636000,-139845000,-186126000,-469181000,-369863000,-79483000,746723000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,16952000,-16576000,351511000,-343372000,-5124000,-121000,11233000,-9178000,38057000,-37531000,4504000,372000,12694000,18822000,-3149000,-11639000,10062000,-5907000,-511000,22750000,-17847000,38625000,926096000
98,Cash at the End of Period,139000,17091000,515000,352026000,8654000,3530000,3409000,14642000,5464000,43521000,5990000,10494000,10866000,23560000,42382000,39233000,27594000,37656000,31749000,31238000,70071000,52224000,90849000,1016945000
99,Cash at the Beginning of Period,- -,139000,17091000,515000,352026000,8654000,3530000,3409000,14642000,5464000,43521000,5990000,10494000,10866000,23560000,42382000,39233000,27594000,37656000,31749000,47321000,70071000,52224000,90849000
100,Free Cash Flow,60234000,64085000,28723000,15228000,-523351000,-99772000,-42560000,6742000,-20797000,25660000,184460000,209392000,-252136000,255559000,283302000,306703000,350901000,405521000,426807000,407050000,392840000,265845000,158544000,-63323000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1075415/000090873700000102/0000908737-00-000102-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1075415/000110465903005173/0001104659-03-005173-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465904007217/0001104659-04-007217-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465905010121/0001104659-05-010121-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000110465906016205/a06-1932_110k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000110465907015004/a07-5500_110k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000110465908014130/0001104659-08-014130-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746909002109/0001047469-09-002109-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746910001036/0001047469-10-001036-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746911001263/a2201648z10-k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000104746912001158/0001047469-12-001158-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746913001252/0001047469-13-001252-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000104746914001668/a2218465z10-k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000155837015000221/snh-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1075415/000155837016003411/0001558370-16-003411-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541517000007/0001075415-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541518000010/0001075415-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541519000013/0001075415-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541520000009/0001075415-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1075415/000107541521000005/0001075415-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1075415/000107541522000007/0001075415-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
