,https://roic.ai/company/TWI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,96700000,104300000,137200000,369000000,550200000,573300000,636400000,629600000,584200000,551715000,490940000,476906000,507892000,477249000,458134000,657443000,812183000,963379000,734791000,840807000,1354825000,1672104000,2061200000,1956581000,1419050000,1286830000,1482106000,1560164000,1477098000,1294664000,1695040000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1681000,2717000,1352000,- -,- -,556000,859000,3396000,3038000,2667000,3206000,3363000,2107000,1133000,- -,- -
13,Interest Expense (Gain),3400000,2800000,3200000,8500000,12000000,10700000,- -,18300000,- -,22558000,20919000,20565000,20231000,16159000,8617000,17001000,18710000,15122000,16246000,26667000,25259000,27658000,47120000,36564000,34032000,32539000,30229000,30456000,33137000,30554000,32221000
14,Depreciation and Amortization,2900000,3400000,5300000,17400000,23400000,28000000,30900000,34700000,38600000,37221000,37263000,33622000,32277000,24907000,20746000,26850000,28620000,30368000,34296000,37567000,44908000,54095000,80622000,88704000,69618000,59768000,58444000,57618000,54376000,54655000,47991000
15,EBITDA,2800000,12100000,18700000,56000000,98700000,95700000,71400000,66200000,20200000,68481000,10054000,9894000,18840000,56281000,26478000,52425000,43446000,68500000,18540000,64883000,166078000,263919000,187994000,22988000,66298000,61601000,39834000,110923000,42563000,31767000,130947000
16,EBITDA ratio,0.0280,0.1069,0.1243,0.1376,0.1584,0.1508,0.1035,0.1002,0.0344,0.1261,0.0220,0.0214,0.0383,0.1102,0.0563,0.0772,0.0519,0.0661,0.0255,0.0736,0.1117,0.1450,0.0869,0.0121,0.0475,0.0487,0.0271,0.0692,0.0294,0.0252,0.0736
17,Operating Income,3400000,8900000,13200000,38000000,73000000,61300000,53700000,31200000,3800000,-8646000,-33465000,-14086000,-16220000,33322000,11999000,22011000,24838000,73321000,-18894000,40784000,132173000,174708000,102395000,-97625000,-24279000,-21333000,-13184000,42244000,-28432000,-35351000,85175000
18,Operating Income ratio,0.0340,0.0786,0.0878,0.0934,0.1171,0.0966,0.0778,0.0472,0.0065,-0.0159,-0.0732,-0.0304,-0.0330,0.0653,0.0255,0.0324,0.0297,0.0707,-0.0260,0.0463,0.0889,0.0960,0.0473,-0.0515,-0.0174,-0.0169,-0.0090,0.0264,-0.0196,-0.0281,0.0478
19,Total Other Income Expenses (Gains),-6900000,-2400000,-3000000,-7900000,-9700000,-4300000,-13200000,-18000000,-22200000,17348000,-17277000,-30207000,-17448000,-18107000,-14884000,-13437000,-20954000,-50311000,-13108000,-40135000,-36278000,5865000,-47661000,-54619000,-27727000,-11523000,-39692000,-22437000,-19612000,-22780000,-34135000
20,Income Before Tax,-3500000,6500000,10200000,30100000,63300000,57000000,40500000,13200000,-18400000,8702000,-50742000,-44293000,-33668000,15215000,-2885000,8574000,3884000,23010000,-32002000,649000,95895000,180573000,54734000,-152244000,-52006000,-32856000,-52876000,19807000,-48044000,-58131000,51040000
21,Income Before Tax Ratio,-0.0350,0.0574,0.0678,0.0740,0.1016,0.0898,0.0587,0.0200,-0.0313,0.0160,-0.1109,-0.0957,-0.0685,0.0298,-0.0061,0.0126,0.0046,0.0222,-0.0440,0.0007,0.0645,0.0992,0.0253,-0.0803,-0.0373,-0.0260,-0.0360,0.0124,-0.0332,-0.0462,0.0287
22,Income Tax expense (Gain),100000,2400000,3800000,11600000,25300000,21600000,15400000,5000000,-7000000,4177000,-13339000,-8416000,2989000,4108000,-13927000,3430000,3363000,9673000,-7357000,291000,37759000,86613000,25047000,-21819000,38281000,3281000,11203000,6762000,3475000,6946000,1149000
23,Net Income,-3600000,3500000,6400000,18500000,38000000,35400000,25100000,8200000,-11400000,4525000,-34789000,-35877000,-36657000,11107000,11042000,5144000,-7247000,13337000,-24645000,358000,58152000,95553000,35205000,-80461000,-75633000,-33987000,-60042000,16087000,-48425000,-60388000,49586000
24,Net Income ratio,-0.0360,0.0309,0.0426,0.0455,0.0610,0.0558,0.0364,0.0124,-0.0194,0.0083,-0.0760,-0.0775,-0.0746,0.0218,0.0235,0.0076,-0.0087,0.0129,-0.0339,0.0004,0.0391,0.0525,0.0163,-0.0424,-0.0542,-0.0269,-0.0409,0.0100,-0.0334,-0.0480,0.0279
25,EPS,-0.07,0.07,0.16,0.41,1.53,1.26,0.89,0.30,-0.44,0.18,-1.34,-1.38,-1.40,0.50,0.49,0.21,-0.22,0.39,-0.71,0.01,1.40,2.20,0.66,-1.50,-1.74,-0.81,-1.12,0.06,-0.84,-0.99,0.82
26,EPS Diluted,-0.07,0.07,0.16,0.32,1.20,1.04,0.88,0.30,-0.44,0.18,-1.34,-1.38,-1.40,0.49,0.48,0.21,-0.22,0.38,-0.71,0.01,1.18,1.83,0.64,-1.50,-1.74,-0.81,-1.12,0.06,-0.84,-0.99,0.82
27,Weighted Average Shares Outstanding,54241071,17093750,19752500,20323750,24869110,28184713,28265766,26973684,25909091,25867500,25820000,25988750,26230000,22247500,22566250,24627500,32081250,34410000,34708000,34896000,41657000,43380000,53039000,53497000,53696000,53916000,59340000,59820000,60100000,60818000,60818000
28,Weighted Average Shares Outstanding Diluted,54241071,17093750,19752500,20323750,31666667,34038462,28522727,26973684,25909091,25867500,25820000,25988750,26230000,26967500,22855000,25055000,32081250,34838000,34708000,35391000,53144000,54662000,59522000,53497000,53696000,53916000,59340000,59909000,60100000,60818000,60818000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899751/000095012404000565/0000950124-04-000565-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975105000011/0000899751-05-000011-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975106000015/0000899751-06-000015-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975107000020/0000899751-07-000020-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975108000010/0000899751-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975109000007/0000899751-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975110000008/0000899751-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975111000007/0000899751-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975112000018/0000899751-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975113000026/0000899751-13-000026-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975114000017/0000899751-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975115000007/0000899751-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975116000098/0000899751-16-000098-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975117000009/0000899751-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975118000008/0000899751-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975119000016/0000899751-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975120000005/0000899751-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975121000006/0000899751-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975122000010/0000899751-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3800000,200000,25800000,7200000,14200000,27400000,21200000,14100000,8600000,5668000,9214000,22049000,6556000,1130000,592000,33412000,58325000,61658000,229182000,239500000,129170000,189114000,189360000,201451000,200188000,147827000,143570000,81685000,66799000,117431000,98108000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,12393000,- -,- -,- -,- -
33,Cash and Short-Term Investments,3800000,200000,25800000,7200000,14200000,27400000,21200000,14100000,8600000,5668000,9214000,22049000,6556000,1130000,592000,33412000,58325000,61658000,229182000,239500000,129170000,189114000,189360000,201451000,200188000,197827000,155963000,81685000,66799000,117431000,98108000
34,Net Receivables,13900000,16200000,40800000,70200000,107100000,95600000,112800000,108200000,97500000,83689000,78144000,82588000,83975000,52781000,47112000,73882000,98394000,126531000,67513000,89004000,189527000,301912000,277591000,209389000,185654000,186541000,235903000,252983000,200925000,204666000,279652000
35,Inventory,21500000,21800000,66800000,107000000,124900000,138800000,138400000,154000000,133400000,160309000,116801000,109142000,112496000,84658000,122692000,154604000,128048000,147306000,110136000,127982000,190872000,366385000,384920000,331432000,269791000,269291000,339836000,395735000,333356000,293679000,392615000
36,Other Current Assets,2800000,2500000,8300000,8000000,18700000,22900000,26200000,35900000,39600000,35890000,58564000,40790000,83919000,16099000,35771000,48035000,42998000,33704000,38385000,31454000,55024000,121584000,156007000,93658000,54368000,72577000,51491000,49078000,43182000,42823000,42929000
37,Total Current Assets,42000000,40700000,141700000,192400000,264900000,284700000,298600000,312200000,279100000,285556000,262723000,254569000,286946000,154668000,206167000,309933000,327765000,369199000,445216000,487940000,564593000,978995000,1007878000,835930000,710001000,726236000,783193000,779481000,644262000,658599000,813304000
38,PP&E,24000000,27800000,90700000,143300000,178300000,205100000,210300000,284400000,267000000,232335000,205047000,186540000,138482000,80644000,140382000,184616000,196078000,248442000,254461000,248054000,334742000,568344000,638807000,527414000,450020000,437201000,421248000,384872000,398712000,344210000,322054000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11702000,11702000,11702000,11702000,- -,- -,- -,24941000,42075000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,200000,- -,23100000,36400000,51200000,41200000,42500000,40800000,39100000,18921000,16985000,17839000,18823000,11702000,- -,- -,- -,- -,- -,- -,- -,21208000,32613000,23689000,17798000,16401000,15275000,11647000,9766000,12767000,8202000
41,Intangible Assets,200000,- -,23100000,36400000,51200000,41200000,42500000,40800000,39100000,18921000,16985000,17839000,18823000,11702000,11702000,11702000,11702000,11702000,- -,- -,- -,46149000,74688000,23689000,17798000,16401000,15275000,11647000,9766000,12767000,8202000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,66000000,35000000,2649000,- -,- -,- -,44523000,53264000,53380000,52035000,53583000,51904000,51216000,38955000,5601000,6522000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7256000,7253000,- -,- -,8383000,2772000,15623000,5967000,4663000,3779000,2874000,2331000,2591000,16831000
44,Other Non-Current Assets,800000,800000,5800000,28400000,17700000,27600000,33700000,40900000,52000000,54829000,84199000,73051000,78833000,107152000,34505000,12875000,19950000,15534000,29533000,51476000,110951000,46713000,43822000,39688000,39370000,24867000,14713000,21166000,20281000,8116000,15772000
45,Total Non-Current Assets,25000000,28600000,119600000,208100000,247200000,273900000,286500000,366100000,358100000,306085000,306231000,277430000,236138000,199498000,234589000,275193000,262730000,285583000,291247000,299530000,445693000,714112000,813353000,659794000,565190000,536715000,506919000,471775000,470045000,373285000,369381000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,67000000,69300000,261300000,400500000,512100000,558600000,585100000,678300000,637200000,591641000,568954000,531999000,523084000,354166000,440756000,585126000,590495000,654782000,736463000,787470000,1010286000,1693107000,1821231000,1495724000,1275191000,1262951000,1290112000,1251256000,1114307000,1031884000,1182685000
48,Accounts Payable,10200000,12000000,25300000,36000000,58600000,60600000,70500000,66500000,51400000,53524000,54658000,49007000,51931000,26733000,24435000,25884000,43992000,65547000,24246000,35281000,76574000,188578000,176719000,146305000,132435000,155873000,196952000,212129000,158647000,167210000,278099000
49,Short-Term Debt,- -,- -,- -,- -,- -,900000,1100000,7900000,20200000,5377000,4304000,10615000,21161000,217000,11995000,98000,- -,25000000,- -,- -,11723000,145801000,75061000,26233000,31222000,97412000,43651000,51885000,67982000,38652000,38680000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11741000,10924000,5881000,5831000,8370000,5535000,4912000,10071000,9274000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4960000,8399000,6396000,1945000,- -
52,Other Current Liabilities,10900000,10500000,25600000,36400000,55000000,42100000,43100000,67300000,36700000,40539000,23077000,24684000,29883000,12820000,11753000,36942000,43788000,46088000,45826000,57072000,87469000,127322000,134791000,129018000,106440000,112819000,127359000,102655000,94128000,121904000,134034000
53,Total Current Liabilities,21100000,22500000,50900000,72400000,113600000,103600000,114700000,141700000,108300000,99440000,82039000,84306000,102975000,39770000,48183000,62924000,87780000,136635000,70072000,92353000,175766000,461701000,386571000,301556000,270097000,366104000,372922000,375068000,327153000,329711000,450813000
54,Long-Term Debt,38100000,36700000,123600000,178300000,142300000,113100000,181700000,247600000,255500000,227975000,256622000,249119000,248397000,169688000,190464000,291266000,200000000,200000000,366300000,373564000,317881000,439771000,497694000,494754000,479729000,408376000,407171000,407238000,443349000,433584000,463803000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,700000,3500000,10400000,10800000,15700000,18800000,21000000,23400000,28400000,20754000,24161000,12009000,22796000,9164000,13581000,27924000,14044000,- -,- -,- -,38691000,62259000,60985000,18582000,14509000,13183000,13545000,9416000,6672000,3895000,3978000
57,Other Non-Current Liabilities,- -,- -,9700000,31300000,24600000,21900000,19600000,18600000,16100000,14767000,20225000,42538000,36960000,28663000,20715000,15835000,16149000,38959000,38138000,43238000,81069000,108763000,77945000,90774000,166173000,185354000,186390000,189437000,98145000,88429000,36919000
58,Total Non-Current Liabilities,38800000,40200000,143700000,220400000,182600000,153800000,222300000,289600000,300000000,263496000,301008000,303666000,308153000,207515000,224760000,335025000,230193000,238959000,404438000,416802000,437641000,610793000,636624000,604110000,660411000,606913000,607106000,606091000,548166000,525908000,504700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3110000,- -,3271000,1875000,902000,- -,3145000,24089000,24670000,17532000
61,Total Liabilities,59900000,62700000,194600000,292800000,296200000,257400000,337000000,431300000,408300000,362936000,383047000,387972000,411128000,247285000,272943000,397949000,317973000,375594000,474510000,509155000,613407000,1072494000,1023195000,905666000,930508000,973017000,980028000,981159000,875319000,855619000,955513000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000,27000,27000,27000,27000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,600000,3000000,9200000,27200000,64100000,98100000,121900000,128800000,116100000,119405000,83998000,47705000,10629000,21385000,32053000,36802000,29012000,41726000,16377000,16028000,67053000,161729000,207541000,126007000,49297000,14269000,-44022000,-29048000,-74334000,-135025000,-85439000
65,Other Comprehensive Income/Loss,-8000000,-11100000,-16300000,-32000000,-54000000,-75400000,-75400000,-124200000,-155900000,-161012000,-189632000,-24973000,-20546000,-16566000,-19752000,-11462000,-31044000,-34759000,-28306000,-17042000,-33575000,-56954000,-61794000,-112630000,-187751000,-188278000,-157076000,-203571000,-218651000,-217254000,-246480000
66,Other Total Stockholders Equity,14500000,14700000,73800000,112500000,205800000,278500000,201600000,242400000,268700000,270285000,291514000,121268000,121846000,102035000,155482000,161375000,274510000,272462000,273576000,279287000,362186000,488725000,542182000,547765000,483762000,467603000,521951000,512096000,528185000,531543000,- -
67,Total Stockholders Equity,7100000,6600000,66700000,107700000,215900000,301200000,248100000,247000000,228900000,228705000,185907000,144027000,111956000,106881000,167813000,187177000,272522000,279188000,261953000,278315000,395239000,594454000,687723000,560772000,345059000,293872000,320929000,279048000,234851000,179264000,229300000
68,Total Liabilities And Stockholders Equity,67000000,69300000,261300000,400500000,512100000,558600000,585100000,678300000,637200000,591641000,568954000,531999000,523084000,354166000,440756000,585126000,590495000,654782000,736463000,787470000,1008646000,1666948000,1710918000,1466438000,1275567000,1266889000,1300957000,1260207000,1110170000,1034883000,1184813000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1640000,26159000,110313000,29286000,-376000,-3938000,-10845000,-8951000,4137000,-2999000,-2128000
70,Total Liabilities & Equity,67000000,69300000,261300000,400500000,512100000,558600000,585100000,678300000,637200000,591641000,568954000,531999000,523084000,354166000,440756000,585126000,590495000,654782000,736463000,787470000,1010286000,1693107000,1821231000,1495724000,1275191000,1262951000,1290112000,1251256000,1114307000,1031884000,1182685000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899751/000095012404000565/0000950124-04-000565-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975105000011/0000899751-05-000011-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975106000015/0000899751-06-000015-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975107000020/0000899751-07-000020-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975108000010/0000899751-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975109000007/0000899751-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975110000008/0000899751-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975111000007/0000899751-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975112000018/0000899751-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975113000026/0000899751-13-000026-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975114000017/0000899751-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975115000007/0000899751-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975116000098/0000899751-16-000098-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975117000009/0000899751-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975118000008/0000899751-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975119000016/0000899751-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975120000005/0000899751-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975121000006/0000899751-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975122000010/0000899751-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3600000,3500000,6400000,18500000,38000000,35400000,25100000,8200000,-11400000,4525000,-34789000,-35877000,-36657000,11107000,11042000,5144000,-7247000,13337000,-24645000,358000,58152000,95553000,35205000,-80461000,-75633000,-33987000,-60042000,16087000,-48425000,-60388000,49586000
74,Depreciation and Amortization,2900000,3400000,5300000,17400000,23400000,28000000,30900000,34700000,38600000,37221000,37263000,33622000,32277000,24907000,20746000,26850000,28620000,30368000,34296000,37567000,44908000,54095000,80622000,88704000,69618000,59768000,58444000,57618000,54376000,54655000,47991000
75,Deferred Income Tax,-600000,-400000,3900000,- -,- -,- -,- -,- -,- -,-2747000,-9746000,3511000,2453000,- -,-14476000,2597000,1995000,13987000,-2950000,1476000,-449000,17170000,-4004000,-24800000,27969000,-680000,785000,-2291000,-2300000,-3007000,-14180000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201000,2392000,4087000,4815000,5360000,2335000,1993000,1539000,1130000,1381000,2462000,3441000
77,Change in Working Capital,1900000,-2700000,72600000,29200000,31300000,29800000,2800000,-13400000,300000,15316000,-5432000,-10421000,13708000,-69073000,43086000,89025000,-7024000,-7421000,142580000,20443000,-6760000,128467000,104013000,-86933000,-94470000,-79772000,50139000,-5858000,-87304000,11779000,-84173000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28137000,59018000,-21491000,-105619000,35839000,26417000,54686000,497000,4007000,-38478000,-36092000,56832000,-15236000,-74736000
79,Inventory,4200000,300000,-10300000,-25500000,7200000,-26800000,300000,-4300000,10600000,-36751000,41140000,9414000,1023000,-8804000,2212000,-19509000,26556000,-19258000,37170000,-17846000,-55607000,23917000,-30280000,20933000,31333000,4374000,-55562000,-77919000,63654000,37747000,-112850000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21555000,-41301000,11035000,44991000,-44542000,9479000,-23777000,1402000,20953000,37584000,29364000,-53183000,11942000,121189000
81,Other Working Capital,20900000,18200000,90800000,120000000,151300000,181100000,183900000,170500000,170800000,186116000,180684000,170263000,183971000,114898000,157984000,247009000,239985000,232564000,375144000,395587000,388827000,517294000,621307000,534374000,439904000,360132000,410271000,404413000,317109000,328888000,- -
82,Other Non-Cash Items,4400000,2500000,-95000000,-73500000,-55200000,-39000000,-14800000,3200000,-24400000,-80122000,38467000,26073000,-1399000,51208000,-37499000,-129156000,59649000,899000,-76968000,-9334000,-93817000,-169204000,-104002000,212202000,134111000,96178000,-52154000,-102862000,127714000,51728000,8061000
83,Cash Provided by Operating Activities,5000000,6300000,-6800000,-8400000,37500000,54200000,44000000,32700000,3100000,-25807000,25763000,16908000,10382000,18149000,22899000,-5540000,75993000,51170000,72313000,50711000,4426000,130168000,116649000,114072000,63930000,43500000,-1289000,-36176000,45442000,57229000,10726000
84,CAPEX,-5200000,-3000000,-5400000,-15200000,-20100000,-36700000,-38300000,-79600000,-51300000,-28769000,-11865000,-9759000,-14564000,-4328000,-6752000,-8282000,-38048000,-79953000,-39537000,-28854000,-35744000,-65740000,-80131000,-58439000,-48429000,-41948000,-32626000,-39000000,-36414000,-21680000,-38802000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-44642000,-8900000,- -,-2399000,- -,-99118000,780000,-103698000,-13395000,- -,- -,- -,- -,-71722000,- -,- -
86,Purchases of Investments,- -,- -,-3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,- -,- -,- -,- -,-50000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,3500000,- -,- -,- -,- -,- -,- -,- -,- -,4636000,- -,- -,- -,- -,- -,- -,- -,31586000,- -,- -,- -,- -,- -,50000000,- -,19021000,32852000,- -
88,Other Investing Activites,- -,100000,-3900000,-42000000,-17200000,3700000,-3400000,-7100000,15300000,95026000,-4621000,618000,410000,42111000,30009000,198000,532000,-79849000,-38495000,-28748000,-33271000,-64674000,-89381000,-39127000,-49937000,-39726000,-31633000,-36931000,-39890000,369000,-37599000
89,Cash Used for Investing Activites,-5200000,-2900000,-12800000,-53700000,-37300000,-33000000,-41700000,-86700000,-36000000,66257000,-16486000,-9141000,-9518000,37783000,-76743000,-52726000,-46416000,-79849000,-40894000,-28748000,-130803000,-63894000,-193079000,-52522000,-49937000,-89726000,18367000,-36931000,-92591000,33221000,-37599000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000,-36833000,-211223000,-9920000,-20811000,-773171000,-60345000,-5521000,-22634000,-470555000,-38557000,-100901000,-126393000,-482182000
91,Common Stock Issued,- -,- -,32200000,17500000,64900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,5407000,6631000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-5000000,- -,- -,- -,-9500000,-77100000,-9200000,-3600000,-640000,-375000,-111000,-244000,-15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
