,https://roic.ai/company/AWI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30800000,17700000,21200000,48500000,53700000,68800000,46000000,45300000,49800000,35400000,39200000,38400000,24100000,22900000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,133400000,- -,- -,- -,142700000,169200000,23900000,22800000,- -,173600000,151000000,141000000,32200000,137800000,149800000,146800000,143300000,113800000,112700000,109000000,129400000,118300000,89200000,89200000,79400000,72100000,84000000,96500000
15,EBITDA,122400000,150400000,162700000,187600000,141000000,48200000,-227700000,63500000,437900000,117900000,231300000,296200000,122100000,198400000,-5300000,158100000,-2970600000,132600000,96400000,253700000,38200000,389500000,370600000,239700000,231200000,355400000,373800000,343300000,322400000,329100000,294100000,280900000,357600000,382100000,-33600000,360000000
16,EBITDA ratio,0.0945,0.0935,0.0909,0.1024,0.0756,0.0264,-0.1191,0.0340,0.1591,0.0565,0.1073,0.1347,0.0445,0.0576,-0.0018,0.0504,-0.9364,0.0407,0.0276,0.0713,0.0467,0.1097,0.1092,0.0862,0.0836,0.1243,0.1427,0.1262,0.1282,0.1360,0.2382,0.3143,0.3667,0.3681,-0.0359,0.3253
17,Operating Income,165500000,207900000,226400000,250100000,262200000,120100000,-31900000,98500000,333200000,44100000,255900000,322000000,39900000,127800000,-100000,140100000,-2337300000,-10400000,-42200000,99100000,16500000,296700000,210900000,90600000,81100000,239200000,271200000,238600000,239100000,187400000,184600000,255100000,249400000,317400000,254800000,260000000
18,Operating Income ratio,0.1278,0.1292,0.1264,0.1365,0.1406,0.0657,-0.0167,0.0528,0.1210,0.0212,0.1187,0.1465,0.0145,0.0371,-0.0000,0.0447,-0.7368,-0.0032,-0.0121,0.0278,0.0202,0.0836,0.0622,0.0326,0.0293,0.0837,0.1036,0.0877,0.0951,0.0774,0.1495,0.2855,0.2557,0.3058,0.2720,0.2350
19,Total Other Income Expenses (Gains),-3100000,-4300000,-13100000,-11600000,12900000,-21000000,-168000000,-95400000,-28700000,-35900000,-15700000,-25800000,-60500000,-98600000,-130300000,-24400000,-39500000,-30600000,-12000000,3200000,-9400000,-37500000,-21500000,-15400000,-14400000,-46100000,-50700000,-66700000,-53900000,-63500000,-40300000,-33000000,-6700000,-18000000,-381500000,-17300000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,304500000,8200000,240200000,296200000,-20600000,29200000,-130400000,115700000,-2376800000,-41000000,-54200000,102300000,7100000,259200000,189400000,75200000,66700000,193100000,220500000,171900000,185200000,123900000,144300000,222100000,242700000,299400000,-126700000,242700000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.1106,0.0039,0.1114,0.1347,-0.0075,0.0085,-0.0434,0.0369,-0.7492,-0.0126,-0.0155,0.0287,0.0087,0.0730,0.0558,0.0271,0.0241,0.0675,0.0842,0.0632,0.0736,0.0512,0.1169,0.2485,0.2488,0.2884,-0.1352,0.2193
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,94100000,-5400000,75400000,111200000,-11300000,14900000,-41400000,42500000,-827800000,-1700000,25100000,1600000,3800000,106400000,109000000,-2500000,55700000,80700000,76100000,71400000,83200000,71300000,50400000,1500000,53100000,57100000,-42600000,57400000
23,Net Income,122400000,150400000,162700000,187600000,141000000,48200000,-227700000,63500000,210400000,123300000,155900000,185000000,-9300000,14300000,12200000,92800000,-2142800000,-39300000,-79700000,111100000,2200000,145300000,81000000,77700000,11000000,112400000,131300000,94100000,63800000,94200000,104700000,154800000,185900000,214500000,-99100000,183200000
24,Net Income ratio,0.0945,0.0935,0.0909,0.1024,0.0756,0.0264,-0.1191,0.0340,0.0764,0.0591,0.0723,0.0841,-0.0034,0.0042,0.0041,0.0296,-0.6755,-0.0121,-0.0228,0.0312,0.0027,0.0409,0.0239,0.0279,0.0040,0.0393,0.0501,0.0346,0.0254,0.0389,0.0848,0.1732,0.1906,0.2066,-0.1058,0.1656
25,EPS,3.00,3.69,4.00,4.38,2.99,0.71,-5.95,1.22,5.22,2.90,3.76,4.55,-0.23,0.36,0.30,2.29,-52.91,-0.97,-2.00,2.77,24.69,2.59,1.44,1.36,0.19,1.91,2.21,1.62,1.15,1.69,1.88,2.89,3.61,4.47,-2.07,3.83
26,EPS Diluted,3.00,3.69,3.99,4.37,2.99,0.71,-5.95,1.22,4.64,2.67,3.60,4.50,-0.23,0.36,0.30,2.27,-52.91,-0.97,-2.00,2.75,24.55,2.56,1.43,1.36,0.19,1.90,2.19,1.60,1.14,1.68,1.87,2.86,3.56,4.32,-2.07,3.82
27,Weighted Average Shares Outstanding,40600000,40600000,40600000,40600000,40600000,40600000,40600000,40600000,37605364,37586207,39654255,40659341,40434783,39722222,40200000,40500000,40500000,40500000,40500000,40500000,55000000,56000000,56400000,56800000,57700000,58300000,58900000,57800000,55000000,55500000,55400000,53300000,51300000,47992348,47874396,47874396
28,Weighted Average Shares Outstanding Diluted,40700000,40700000,40700000,40700000,40700000,40700000,40700000,40700000,42306034,40823970,41416667,41111111,40434783,39722222,40500000,40800000,40700000,40700000,40700000,40700000,55300000,56700000,56600000,57000000,58200000,58800000,59500000,58400000,55400000,55900000,55700000,53900000,52100000,49500000,47900000,47900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7431/000095010901000791/0000950109-01-000791-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/7431/000119312504034633/0001193125-04-034633-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312505065072/0001193125-05-065072-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312506038254/0001193125-06-038254-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312507070590/0001193125-07-070590-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312508042694/0001193125-08-042694-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000136231009002802/0001362310-09-002802-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095012310018254/0000950123-10-018254-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095012311019272/0000950123-11-019272-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312512079973/0001193125-12-079973-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312513078379/0001193125-13-078379-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312514063795/0001193125-14-063795-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312515057190/0001193125-15-057190-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312516470804/0001193125-16-470804-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459017002497/0001564590-17-002497-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459018003128/0001564590-18-003128-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459019003978/0001564590-19-003978-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459020006193/0001564590-20-006193-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459021007297/0001564590-21-007297-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095017022001531/0000950170-22-001531-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,12000000,256900000,65400000,57900000,38200000,35600000,156500000,277400000,380000000,484300000,515900000,602200000,252500000,514300000,355000000,569500000,315800000,480600000,336400000,135200000,185300000,244800000,141900000,159600000,325700000,45300000,136900000,98100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,400000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,12000000,256900000,65400000,57900000,38200000,35600000,156500000,277400000,380000000,484300000,515900000,602200000,252500000,514300000,355000000,569500000,315800000,480600000,336700000,135200000,185300000,244800000,142300000,159600000,325700000,45300000,136900000,98100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,320000000,217900000,216700000,252600000,440400000,436000000,316500000,316500000,332400000,315400000,343100000,347000000,403300000,336500000,269900000,245600000,250200000,255900000,221500000,239600000,200500000,195400000,134500000,121500000,81600000,115100000,80600000,110500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,293500000,195500000,205700000,220100000,465100000,429700000,340200000,443100000,443400000,454400000,529200000,514500000,521700000,543500000,544000000,445000000,398500000,388900000,369800000,381700000,335500000,344200000,109000000,53800000,61200000,68500000,81500000,90200000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,65500000,52400000,76700000,69400000,177400000,128600000,130800000,77300000,100100000,104700000,94000000,97600000,193900000,106700000,92600000,71500000,56200000,83900000,91900000,127500000,90200000,96400000,20400000,314000000,284300000,15500000,12800000,23100000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,691000000,722700000,564500000,600000000,1121100000,1029900000,944000000,1114300000,1255900000,1358800000,1482200000,1561300000,1371400000,1501000000,1261500000,1331600000,1020700000,1209300000,1019900000,884000000,811500000,880800000,406200000,648900000,752800000,244400000,311800000,321900000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1069900000,878200000,964000000,972200000,1502000000,1439100000,1253500000,1283700000,1303700000,1267300000,1208800000,1145300000,966200000,1012800000,954200000,929200000,854900000,902900000,1005000000,1107200000,1062400000,1096300000,669600000,499900000,501000000,559900000,569500000,582200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,965400000,935100000,846000000,822800000,227600000,244100000,136000000,134200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11300000,19200000,53000000,160700000,167000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63200000,56600000,91900000,89000000,87900000,79000000,76000000,68100000,669900000,686500000,626300000,592800000,556100000,545100000,527700000,522900000,501400000,489700000,433400000,429800000,422800000,411900000,457900000,421400000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1028600000,991700000,937900000,911800000,315500000,323100000,212000000,202300000,669900000,686500000,626300000,592800000,556100000,545100000,527700000,522900000,501400000,489700000,433400000,441100000,442000000,464900000,618600000,588400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43900000,- -,- -,- -,- -,- -,208200000,194600000,188600000,141000000,133500000,132000000,129000000,130800000,106200000,107300000,40800000,58500000,50800000,59700000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,869700000,988300000,941600000,967400000,201400000,424500000,219600000,58200000,- -,46400000,35100000,30100000,26600000,21000000,15400000,19600000,14800000,10400000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,471600000,548900000,607100000,803300000,621500000,703800000,739200000,724600000,716100000,710300000,764800000,729700000,961800000,1025100000,82000000,196200000,302100000,150000000,133100000,240400000,75300000,73300000,127200000,156700000,122100000,155200000,168200000,157800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1541500000,1427100000,1571100000,1775500000,3152100000,3134600000,2930600000,2920100000,3248900000,3289000000,3127200000,3044700000,2799300000,3148900000,2090300000,1971000000,1901700000,1785400000,1834400000,2032600000,1794700000,1811100000,1351800000,1224600000,1120700000,1248900000,1407100000,1388100000
46,Other Assets,1277500000,1574900000,2057800000,1992300000,2105400000,2109400000,1922300000,1844800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1277500000,1574900000,2057800000,1992300000,2105400000,2109400000,1922300000,1844800000,2232500000,2149800000,2135600000,2375500000,4273200000,4164500000,3874600000,4034400000,4504800000,4647800000,4609400000,4606000000,4170700000,4649900000,3351800000,3302600000,2922400000,2994700000,2854300000,2916600000,2606200000,2691900000,1758000000,1873500000,1873500000,1493300000,1718900000,1710000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,304900000,281000000,253800000,306900000,519100000,663400000,209500000,257800000,333300000,221900000,447400000,392500000,231500000,241700000,179300000,311000000,340300000,213500000,216700000,250600000,224800000,234100000,108600000,67600000,82200000,79400000,81300000,105800000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,37400000,62100000,28200000,98600000,182800000,107000000,24700000,25000000,19000000,22100000,19300000,20000000,14700000,28600000,42200000,40100000,35300000,20100000,33000000,23900000,39600000,52100000,25000000,32500000,55000000,11500000,31800000,32800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,- -,- -,- -,- -,- -,1600000,3100000,4900000,4000000,4100000,2700000,2500000,3200000,2000000,500000,900000,200000,4000000,1900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237600000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,45000000,32800000,39000000,66000000,51400000,14600000,57000000,81600000,52000000,181500000,29700000,20800000,270400000,227000000,163900000,6200000,7300000,152500000,135000000,136400000,123700000,150100000,90500000,169800000,174700000,64300000,59200000,71000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,387300000,375900000,321000000,471500000,753300000,785000000,291200000,364400000,404300000,425500000,496400000,433300000,516600000,497300000,385400000,357300000,382900000,386100000,384700000,410900000,388100000,436300000,224100000,269900000,549500000,155200000,172300000,209600000
54,Long-Term Debt,58800000,67700000,185900000,181300000,233200000,301400000,266600000,256800000,237200000,188300000,219400000,223100000,1562800000,1412900000,56800000,50300000,39900000,39400000,29200000,21500000,801500000,485800000,454800000,432500000,839600000,822900000,1038000000,1042600000,1003000000,950900000,848600000,817700000,764800000,604500000,723900000,638800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,32100000,16500000,30500000,53700000,107600000,62000000,- -,18400000,20700000,95100000,19800000,21200000,11200000,471400000,173700000,17400000,58800000,61000000,66200000,181000000,144700000,114000000,156500000,141700000,124400000,163900000,158400000,166900000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,832200000,784100000,762400000,801600000,1123700000,1213600000,2854600000,2832100000,5377100000,5423100000,5480000000,5442000000,669200000,751300000,593600000,587500000,550300000,594500000,646300000,608900000,421300000,421900000,262400000,224900000,173600000,204800000,213000000,175000000
58,Total Non-Current Liabilities,58800000,67700000,185900000,181300000,233200000,301400000,266600000,256800000,1101500000,988900000,1012300000,1078400000,2794100000,2688500000,2911400000,2900800000,5437700000,5557600000,5529000000,5484700000,1481900000,1708500000,1222100000,1037400000,1448700000,1478400000,1750500000,1832500000,1569000000,1486800000,1267500000,1184300000,1062800000,973200000,1095300000,980700000
59,Other Liabilities,523300000,728800000,1221900000,1197100000,1439400000,1525300000,1619700000,1532100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35300000,40200000,40200000
61,Total Liabilities,464500000,661100000,1036000000,1015800000,1206200000,1223900000,1353100000,1275300000,1488800000,1364800000,1333300000,1549900000,3547400000,3473500000,3202600000,3265200000,5842000000,5983100000,6025400000,5918000000,1998500000,2205800000,1607500000,1394700000,1831600000,1864500000,2135200000,2243400000,1957100000,1923100000,1491600000,1454200000,1612300000,1128400000,1267600000,1190300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,51900000,51900000,51900000,51900000,51900000,51900000,51900000,51900000,51900000,51900000,51900000,51900000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,1076800000,1133800000,1222600000,1339600000,1257000000,1196200000,1151500000,1244300000,-898500000,-942200000,-1021900000,-910800000,2200000,147500000,66700000,144400000,-35300000,77100000,113100000,207200000,271000000,365200000,469900000,633400000,865000000,1008200000,869800000,1011400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12200000,-98900000,-99400000,-105100000,62100000,176500000,-347700000,-297800000,-325700000,-415000000,-471400000,-371600000,-495500000,-487400000,-403800000,-345900000,-459600000,-376100000,-109300000,-109600000
66,Other Total Stockholders Equity,813000000,913800000,1021800000,976500000,899200000,885500000,569200000,569500000,- -,- -,- -,- -,- -,- -,- -,- -,-487900000,-355800000,-355900000,-355900000,2099800000,2112600000,2024700000,2052100000,1451200000,1467500000,1076800000,837000000,873000000,890400000,199700000,131200000,-144800000,-267800000,-310200000,- -
67,Total Stockholders Equity,813000000,913800000,1021800000,976500000,899200000,885500000,569200000,569500000,743700000,785000000,802300000,825600000,725800000,691000000,672000000,769200000,-1346700000,-1345000000,-1425300000,-1319900000,2164700000,2437200000,1744300000,1899300000,1090800000,1130200000,719100000,673200000,649100000,768800000,266400000,419300000,261200000,364900000,450900000,519700000
68,Total Liabilities And Stockholders Equity,1277500000,1574900000,2057800000,1992300000,2105400000,2109400000,1922300000,1844800000,2232500000,2149800000,2135600000,2375500000,4273200000,4164500000,3874600000,4034400000,4495300000,4638100000,4600100000,4598100000,4163200000,4643000000,3351800000,3294000000,2922400000,2994700000,2854300000,2916600000,2606200000,2691900000,1758000000,1873500000,1873500000,1493300000,1718500000,1710000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,9700000,9300000,7900000,7500000,6900000,- -,8600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -
70,Total Liabilities & Equity,1277500000,1574900000,2057800000,1992300000,2105400000,2109400000,1922300000,1844800000,2232500000,2149800000,2135600000,2375500000,4273200000,4164500000,3874600000,4034400000,4504800000,4647800000,4609400000,4606000000,4170700000,4649900000,3351800000,3302600000,2922400000,2994700000,2854300000,2916600000,2606200000,2691900000,1758000000,1873500000,1873500000,1493300000,1718900000,1710000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7431/000095010901000791/0000950109-01-000791-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/7431/000119312504034633/0001193125-04-034633-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312505065072/0001193125-05-065072-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312506038254/0001193125-06-038254-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312507070590/0001193125-07-070590-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312508042694/0001193125-08-042694-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000136231009002802/0001362310-09-002802-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095012310018254/0000950123-10-018254-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095012311019272/0000950123-11-019272-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312512079973/0001193125-12-079973-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312513078379/0001193125-13-078379-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312514063795/0001193125-14-063795-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312515057190/0001193125-15-057190-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312516470804/0001193125-16-470804-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459017002497/0001564590-17-002497-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459018003128/0001564590-18-003128-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459019003978/0001564590-19-003978-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459020006193/0001564590-20-006193-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459021007297/0001564590-21-007297-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095017022001531/0000950170-22-001531-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,122400000,150400000,162700000,187600000,141000000,48200000,-227700000,63500000,210400000,123300000,155900000,185000000,-9300000,14300000,12200000,92800000,-2142800000,-39300000,-79700000,111100000,2200000,145300000,81000000,77700000,11000000,112400000,131300000,94100000,63800000,94200000,104700000,154800000,185900000,214500000,-99100000,183200000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,133400000,- -,- -,- -,142700000,169200000,23900000,22800000,- -,173600000,151000000,141000000,32200000,137800000,149800000,146800000,143300000,113800000,112700000,109000000,129400000,118300000,89200000,89200000,79400000,72100000,84000000,96500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,14600000,-8700000,11200000,24200000,-27900000,-38300000,-35700000,23700000,-870400000,-51500000,-21900000,-24600000,1800000,79600000,74000000,135600000,21300000,62700000,26500000,37000000,33100000,-48500000,51000000,-12300000,-3800000,14000000,-89300000,8700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,38200000,5000000,11100000,15600000,15900000,12700000,13400000,12400000,10200000,14000000,9500000,6800000,11300000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,303700000,43100000,-103300000,-115000000,239300000,-122900000,407900000,97100000,101700000,81700000,52500000,142200000,-273200000,148900000,-127600000,98200000,-336500000,185400000,-188000000,-162100000,-49700000,21100000,-262400000,196900000,-175700000,-114100000,50300000,-22100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,-26300000,-11500000,-12800000,44400000,-9900000,18800000,-50200000,18100000,6600000,-61700000,1500000,54800000,-12700000,-16100000,105900000,41200000,9200000,-600000,-11900000,-26800000,-15700000,-7000000,3600000,-8900000,-7200000,-7700000,-10600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88200000,-36900000,10800000,11400000,-23600000,47400000,-6100000,49300000,-82100000,-20000000,5400000,- -,- -,38600000
