,https://roic.ai/company/ROL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761000,964000,437000,508000,- -,- -,- -,- -,- -,- -,- -,-6917000,5082000,830000
14,Depreciation and Amortization,- -,6100000,6700000,7000000,7500000,7500000,7800000,8000000,8300000,8100000,8000000,8600000,8400000,8900000,13400000,18421000,20292000,21635000,20179000,23034000,24280000,26860000,27068000,33443000,37169000,36408000,37503000,38655000,39571000,42277000,42139000,49894000,55533000,64675000,79544000,89444000,94205000
15,EBITDA,- -,42700000,46300000,48500000,46200000,52800000,59900000,70800000,81200000,88700000,71400000,45400000,-54300000,17400000,25000000,33824000,47618000,65361000,80209000,115542000,112235000,122019000,131981000,147158000,164424000,180390000,199107000,215297000,231177000,261761000,285317000,310530000,350035000,375408000,333787000,449246000,569873000
16,EBITDA ratio,- -,0.1385,0.1373,0.1274,0.1148,0.1210,0.1259,0.1342,0.1410,0.1465,0.1151,0.0724,-0.1008,0.0317,0.0426,0.0521,0.0730,0.0982,0.1185,0.1539,0.1399,0.1421,0.1475,0.1442,0.1531,0.1587,0.1652,0.1694,0.1729,0.1854,0.1921,0.1974,0.2091,0.2061,0.1656,0.2079,0.2351
17,Operating Income,- -,37300000,39400000,39800000,36500000,42900000,50000000,61000000,70500000,77600000,70300000,30800000,-59600000,-3900000,8500000,14953000,27128000,43530000,57898000,73623000,81214000,93571000,102572000,113715000,130197000,144105000,161604000,176188000,191056000,218612000,241065000,259699000,294001000,309638000,317394000,361401000,439989000
18,Operating Income ratio,- -,0.1210,0.1169,0.1045,0.0907,0.0983,0.1051,0.1156,0.1224,0.1282,0.1133,0.0491,-0.1107,-0.0071,0.0145,0.0230,0.0416,0.0654,0.0855,0.0980,0.1012,0.1089,0.1146,0.1114,0.1212,0.1268,0.1341,0.1386,0.1429,0.1549,0.1623,0.1650,0.1756,0.1700,0.1575,0.1672,0.1815
19,Total Other Income Expenses (Gains),- -,-700000,200000,1700000,2200000,2400000,2100000,1800000,2400000,3000000,-6900000,6000000,-109400000,9000000,3100000,450000,198000,196000,2132000,25089000,6741000,1588000,2341000,-761000,-3906000,-560000,-508000,454000,550000,872000,2113000,937000,501000,1095000,-56234000,-6681000,34849000
20,Income Before Tax,- -,36600000,39600000,41500000,38700000,45300000,52100000,62800000,72900000,80600000,63400000,36800000,-169000000,5100000,11600000,15403000,27326000,43726000,60030000,98712000,87955000,95159000,104913000,112954000,126291000,143545000,161096000,176642000,191606000,219484000,243178000,260636000,294502000,310733000,261160000,354720000,474838000
21,Income Before Tax Ratio,- -,0.1187,0.1175,0.1090,0.0962,0.1038,0.1095,0.1190,0.1266,0.1332,0.1022,0.0587,-0.3138,0.0093,0.0198,0.0237,0.0419,0.0657,0.0887,0.1315,0.1096,0.1108,0.1172,0.1107,0.1176,0.1263,0.1337,0.1390,0.1433,0.1555,0.1637,0.1656,0.1759,0.1706,0.1296,0.1641,0.1959
22,Income Tax expense (Gain),- -,18000000,19700000,16800000,15200000,17900000,20600000,24800000,28400000,31000000,24100000,14000000,-64200000,1900000,4400000,5853000,10384000,16616000,24269000,40453000,35182000,37350000,40182000,44020000,42307000,53543000,60385000,65310000,68276000,81820000,91029000,93267000,115378000,79070000,57813000,93896000,124151000
23,Net Income,- -,18600000,19900000,24700000,23500000,27400000,31500000,38000000,44500000,49600000,39300000,22800000,1500000,6600000,7200000,9550000,16942000,27110000,35761000,52055000,52773000,57809000,64731000,68934000,83984000,90002000,100711000,111332000,123330000,137664000,152149000,167369000,179124000,231663000,203347000,260824000,350687000
24,Net Income ratio,- -,0.0603,0.0590,0.0649,0.0584,0.0628,0.0662,0.0720,0.0773,0.0819,0.0633,0.0363,0.0028,0.0120,0.0123,0.0147,0.0260,0.0407,0.0528,0.0693,0.0658,0.0673,0.0723,0.0675,0.0782,0.0792,0.0836,0.0876,0.0922,0.0975,0.1024,0.1064,0.1070,0.1272,0.1009,0.1207,0.1447
25,EPS,- -,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.06,0.04,0.00,0.02,0.02,0.02,0.03,0.05,0.07,0.10,0.10,0.11,0.13,0.14,0.17,0.18,0.20,0.23,0.25,0.28,0.31,0.34,0.36,0.47,0.41,0.53,0.71
26,EPS Diluted,- -,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.06,0.04,0.00,0.02,0.02,0.02,0.03,0.05,0.07,0.10,0.10,0.11,0.13,0.14,0.17,0.18,0.20,0.23,0.25,0.28,0.31,0.34,0.36,0.47,0.41,0.53,0.71
27,Weighted Average Shares Outstanding,- -,598720060,595612884,601988032,598383187,607080804,603821862,605880704,607348231,611163984,612513773,606174890,427148438,538745322,522814980,509908447,514867640,512817328,513364078,518812593,515600437,510034218,507763687,502245562,503480812,499601250,495726750,493759125,493023375,492061500,491811750,491049000,490473000,490936500,491215500,491605000,492069000
28,Weighted Average Shares Outstanding Diluted,- -,598720060,595612884,601988032,598383187,607080804,603821862,605880704,607348231,613574689,614171725,609300279,582064481,538745322,522814980,512625453,517122984,517236890,526315218,532830656,529831125,523027125,513383062,506660062,504979312,500279625,495942750,493782750,493023375,492061500,491811750,491049000,490473000,490936500,491215500,491605000,492069000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84839/000091205795001795/0000912057-95-001795-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84839/000091205702010621/0000912057-02-010621-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84839/000091205706000285/0000912057-06-000285-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746907001460/0001047469-07-001460-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746908002054/0001047469-08-002054-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746909002119/0001047469-09-002119-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746910001320/0001047469-10-001320-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/0001047469-11-001349-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746912001690/0001047469-12-001690-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746913001764/0001047469-13-001764-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278114000153/0001552781-14-000153-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278115000273/0001552781-15-000273-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278116001318/0001552781-16-001318-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120017000077/0001171200-17-000077-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483918000065/0000084839-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120019000087/0001171200-19-000087-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/0001171200-20-000103-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/0001171200-21-000076-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/0000084839-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,31900000,33600000,12200000,125800000,1200000,5700000,399000,8650000,38315000,59540000,56737000,43065000,63344000,71280000,13716000,9504000,20913000,46275000,65082000,118216000,108372000,134574000,142785000,107050000,115485000,94276000,98477000,105301000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,- -,- -,- -,21866000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,31900000,33600000,12200000,125800000,1200000,18700000,399000,8650000,38315000,81406000,56737000,43065000,63344000,71280000,13716000,9504000,20913000,46275000,65082000,118216000,108372000,134574000,142785000,107050000,115485000,94276000,98477000,105301000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,101900000,88500000,78900000,49200000,42400000,44900000,50099000,48479000,47740000,48471000,45469000,47705000,52693000,54457000,59069000,62754000,70433000,73346000,80743000,85069000,90088000,93694000,104458000,115065000,122470000,145033000,150053000,165731000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,16300000,13900000,15000000,15000000,13300000,13400000,12980000,11895000,10662000,9837000,8876000,9082000,8401000,8846000,10893000,10208000,11899000,11125000,11847000,12251000,14078000,12801000,13724000,14983000,15788000,19476000,30843000,28926000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,64800000,86800000,99600000,111600000,142200000,30700000,25491000,31459000,29505000,30657000,35723000,37832000,26635000,25657000,33160000,38064000,47776000,45076000,48320000,58906000,71420000,72810000,29204000,25697000,32278000,51002000,35404000,52422000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,214900000,222800000,205700000,301600000,199100000,107700000,88969000,100483000,126222000,170371000,146805000,137684000,151073000,160240000,116838000,120530000,151021000,175822000,205992000,274442000,283958000,313879000,290171000,262795000,286021000,309787000,314777000,352380000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,37800000,41000000,34600000,35500000,46200000,49349000,44273000,38880000,35836000,49163000,65932000,72141000,77370000,78625000,74644000,74013000,76858000,82263000,87215000,101669000,121356000,133477000,134088000,136885000,396260000,390394000,378041000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72392000,- -,- -,- -,133606000,126684000,187266000,189658000,210779000,211019000,212477000,211847000,255563000,249939000,255665000,346514000,368481000,572847000,653176000,721819000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,42100000,42000000,41900000,39400000,40600000,112000000,115966000,112450000,35507000,102831000,195470000,205584000,68610000,72288000,154811000,24785000,30265000,29178000,141789000,128569000,133472000,138931000,161776000,214417000,243258000,386784000,418770000,446584000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,42100000,42000000,41900000,39400000,40600000,112000000,115966000,112450000,107899000,102831000,195470000,205584000,202216000,198972000,342077000,214443000,241044000,240197000,354266000,340416000,389035000,388870000,417441000,560931000,611739000,959631000,1071946000,1168403000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39309000,44406000,15902000,13328000,15946000,14069000,7576000,17886000,17901000,15106000,22604000,26841000,4544000,7881000,- -,41877000,18420000,6915000,2180000,2222000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,12300000,20200000,57100000,52100000,47000000,44535000,44000,- -,24964000,14014000,14491000,13676000,31070000,17091000,138978000,137830000,130169000,23144000,32600000,25619000,28326000,33572000,57429000,52564000,76518000,66561000,82046000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,80400000,92100000,103100000,131100000,128200000,205200000,209850000,196076000,191185000,179533000,271975000,301953000,302102000,314988000,455679000,445966000,467993000,469828000,486514000,464775000,524204000,538552000,626367000,770868000,808103000,1434589000,1531123000,1628490000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,295300000,314900000,308800000,432700000,327300000,312900000,298819000,296559000,317407000,349904000,418780000,439637000,453175000,475228000,572517000,566496000,619014000,645650000,692506000,739217000,808162000,852431000,916538000,1033663000,1094124000,1744376000,1845900000,1980870000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,13300000,15900000,25400000,10900000,15300000,15302000,12920000,12138000,12290000,15438000,17204000,16309000,19140000,18782000,15841000,25940000,22584000,24854000,23194000,22878000,24919000,30284000,26161000,27168000,35234000,64596000,44568000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,3100000,3400000,3600000,1829000,256000,- -,- -,- -,825000,498000,1186000,65000000,30000000,26000000,- -,- -,- -,- -,- -,- -,- -,- -,78617000,90436000,93990000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43049000,46007000,81195000,81207000,79441000,81678000,88288000,85883000,85489000,85636000,87753000,91014000,94056000,96192000,99820000,109029000,116005000,122825000,131253000,145122000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,54900000,57700000,60900000,102200000,100800000,92500000,93675000,95360000,74675000,86725000,91347000,91649000,88958000,85697000,100757000,101029000,109012000,117631000,115809000,121584000,135745000,131875000,146887000,159379000,155856000,173359000,186226000,207482000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,66900000,71000000,79500000,130700000,115100000,111400000,110806000,108536000,129862000,145022000,187980000,190885000,185206000,187701000,272827000,232753000,246441000,225851000,228416000,235792000,252679000,252986000,276991000,294569000,299029000,410035000,472511000,491162000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,12200000,9200000,6100000,2500000,256000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414651000,326709000,308770000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,6200000,6200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3780000,- -,- -,- -,9927000,10612000,13255000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,22600000,7500000,20600000,147200000,125900000,127200000,109158000,102525000,96855000,66108000,63251000,71801000,56510000,53974000,71257000,69177000,74603000,95802000,109134000,65170000,92807000,71636000,71002000,85170000,83187000,94013000,94708000,85635000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,34800000,29600000,39000000,156400000,132000000,129700000,109414000,102525000,96855000,66108000,63251000,71801000,56510000,53974000,71257000,69177000,74603000,95802000,109134000,65170000,92807000,75416000,71002000,85170000,83187000,518591000,432029000,407660000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,560000,124000,601000,621000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,201768000,214145000,247760000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,101700000,100600000,118500000,287100000,247100000,241100000,220220000,211061000,226717000,211130000,251231000,262686000,241716000,241675000,344084000,301930000,321044000,321653000,337550000,300962000,345486000,328402000,347993000,379739000,382216000,928626000,904540000,898822000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29900000,30036000,30070000,44799000,45157000,69060000,70079000,70789000,100636000,100041000,98904000,147181000,146251000,146015000,145864000,145722000,218753000,217792000,217992000,327308000,327431000,491612000,491911000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,51400000,224000000,155700000,112400000,49700000,41900000,48563000,60250000,62838000,89523000,107927000,123621000,149615000,121783000,145063000,175134000,155463000,189282000,220752000,270397000,319803000,306892000,343376000,400483000,370292000,420015000,358888000,500919000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54000000,-50700000,-49800000,-37000000,-39700000,-41900000,-42046000,-46229000,-52381000,-57747000,-60767000,-23000000,-18000000,-4000000,-35000000,-32000000,-32000000,-48000000,-57000000,-32000000,-65000000,-71000000,-70000000,-46000000,-71000000,-21109000,-10897000,-16411000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,196200000,41000000,84400000,70200000,70200000,41900000,42046000,41407000,35434000,61841000,51329000,6251000,9055000,15134000,18329000,22528000,27326000,36464000,45189000,53994000,62151000,69384000,77377000,81449000,85308000,89413000,101757000,105629000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,193600000,214300000,190300000,145600000,80200000,71800000,78599000,85498000,90690000,138774000,167549000,176951000,211459000,233553000,228433000,264566000,297970000,323997000,354956000,438255000,462676000,524029000,568545000,653924000,711908000,815750000,941360000,1082048000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,295300000,314900000,308800000,432700000,327300000,312900000,298819000,296559000,317407000,349904000,418780000,439637000,453175000,475228000,572517000,566496000,619014000,645650000,692506000,739217000,808162000,852431000,916538000,1033663000,1094124000,1744376000,1845900000,1980870000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,295300000,314900000,308800000,432700000,327300000,312900000,298819000,296559000,317407000,349904000,418780000,439637000,453175000,475228000,572517000,566496000,619014000,645650000,692506000,739217000,808162000,852431000,916538000,1033663000,1094124000,1744376000,1845900000,1980870000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/84839/000091205795001795/0000912057-95-001795-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84839/000091205702010621/0000912057-02-010621-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84839/000091205706000285/0000912057-06-000285-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746907001460/0001047469-07-001460-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746908002054/0001047469-08-002054-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746909002119/0001047469-09-002119-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746910001320/0001047469-10-001320-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/0001047469-11-001349-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746912001690/0001047469-12-001690-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746913001764/0001047469-13-001764-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278114000153/0001552781-14-000153-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278115000273/0001552781-15-000273-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278116001318/0001552781-16-001318-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120017000077/0001171200-17-000077-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483918000065/0000084839-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120019000087/0001171200-19-000087-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/0001171200-20-000103-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/0001171200-21-000076-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/0000084839-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,23500000,27400000,31500000,38000000,44500000,49600000,39300000,22800000,1500000,6600000,7200000,9550000,16942000,27110000,35761000,52055000,52773000,57809000,64731000,68934000,83984000,90002000,100711000,111332000,123330000,137664000,152149000,167369000,179124000,231663000,203347000,260824000,350687000
74,Depreciation and Amortization,- -,- -,- -,- -,7500000,7500000,7800000,8000000,8300000,8100000,8000000,8600000,8400000,8900000,13400000,18421000,20292000,21635000,20179000,23034000,24280000,26860000,27068000,33443000,37169000,36408000,37503000,38655000,39571000,42277000,42139000,49894000,55533000,64675000,79544000,89444000,94205000
75,Deferred Income Tax,- -,- -,- -,- -,-1500000,-4000000,400000,-500000,-1900000,1800000,-7800000,1000000,-69200000,9000000,7100000,2671000,3360000,3643000,10405000,13617000,3653000,6007000,1033000,4457000,- -,2075000,784000,-1870000,356000,8440000,3493000,-3248000,18636000,7628000,-7228000,-1215000,1652000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4392000,5800000,7538000,7555000,9494000,10427000,10579000,12110000,12415000,12399000,13726000,14159000,20850000,14865000
77,Change in Working Capital,- -,- -,- -,- -,1600000,- -,- -,- -,- -,148000000,3800000,-25600000,44700000,-86900000,-87700000,-18137000,13784000,4413000,28989000,-66524000,-12026000,19068000,6672000,-128528000,43766000,16803000,45391000,27605000,61074000,-7371000,29614000,-47713000,-44954000,18766000,-45677000,48346000,-39210000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8167000,-9893000,-15074000,-10663000,-16438000,-13617000,-13369000,-12494000,-15868000,-13661000,-12549000,-20151000,-12045000,-22439000
79,Inventory,- -,- -,- -,- -,600000,-1100000,-2100000,-2600000,1500000,-400000,2400000,-1000000,-3400000,1700000,1300000,614000,1085000,1244000,878000,2645000,2385000,681000,-26000,-422000,1040000,-1391000,837000,-655000,-118000,-1525000,814000,-671000,-837000,-374000,-2151000,-10706000,2644000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2175000,4918000,15273000,-2039000,11182000,-25691000,-23820000,-9925000,50212000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,151800000,126200000,170900000,84000000,-3700000,-21837000,-8053000,-3640000,25349000,-41175000,-53201000,-34133000,-27461000,-155989000,-112223000,-95420000,-50029000,-22424000,38650000,31279000,60893000,13180000,-31774000,-13008000,7724000,24681000,4796000
